Magazine Title: 개벽 제72호
Publication Date: 1926년 08월 01일
Article Title: 六號通信 (Sixth Communication)
Author: 無等山人 (Mudŭng Sanin), 一記者 (Il Kija - One Reporter), 昭陽學人 (Soyang Hagin)
Article Type: 소식 (News/Updates)

**Sixth Communication**

**Kwangju Snippets**
By Mudŭng Sanin

Due to a slip of the tongue, the evil women of a wealthy Kwangju family—Kim Yongjin, Kuk Ch'aeun, Chŏng Chinsun, Mun T'ae, and others—who inflicted cruel and inhumane torture upon a pregnant woman, causing serious injury and even miscarriage, and who had evaded consequences for over a year through the power of money, have finally had their crimes exposed. They are now inevitably facing months of eating prison beans (kongbap) at Kwangju Prison. No matter how much modern law protects the propertied class, how could it forgive such grave sins? However, since they are women from a wealthy family, perhaps they'll get generous servings of prison beans even in prison.

Under the banner of so-called "industry-first" politics, the Kwangju County Office, which makes its living and handles local industrial administration, summoned farmers because they had intercropped upland cotton (陸地棉) with other field grains. Scolding them as if they had committed a major crime, the office, in cooperation with each township office (面事務所), forcibly pulled out all the painstakingly cultivated chestnuts (栗), bitter plants (possibly tobacco) (苦草), beans (豆), and soybeans (太). Promoting upland cotton might be necessary, but pulling out already cultivated field grains like that shows ignorance of the fundamental spirit of so-called industrial promotion. If they had promoted native cotton (在來棉) as well as upland cotton, there probably wouldn't be a single seed of any other crop left in the entire Kwangju region. Is this industrial promotion (産業獎勵) or industry *scattering* (散業獎勵)?

The Confucian Way Promotion Society (儒道彰明會) is a famous institution of South Chŏlla Province (全南), and its building was also a "high-collar" (하이카라), grand structure within Kwangju County. It was established under the grand policy of Mr. Sŏk, the so-called "Ch'ilmyŏndo" (七面島) Councilor, a great loyal servant (忠僕) of the Government-General of Korea (朝鮮總督府), who believed that reverence for Confucianism (儒敎尊崇) was the best way to pacify Korean sentiment (人心). It gathered stale and rotten Confucian scholars (儒生) from each county to pass the time with poetry meetings (詩會) or Go games (碁會). The current Councilor, who succeeded him, added a more modern touch, constructing a high-collar brick (煉瓦) building and exclusively gathering wealthy Confucian scholars among the literati to engage in all sorts of peculiar activities. As the saying goes, "There's no sincerity in the Buddhist offering (不供), only in the ceremonial food (齋飯)" [meaning interest is not in the main purpose but in the side benefits]. If they do nothing to promote the Confucian Way (儒道彰明) but merely build a high-collar house and engage in corrupt idle talk and trivial matters (閑談冗事), will it have any effect on Confucian culture (斯文)? Modern Koreans don't particularly feel the need for the promotion of the Confucian Way, but I say a word because it's so pitiful how poor Confucius (孔子) is being sold out.

The opium smokers (阿片장이) of South Chŏlla Province are also famous. Among them, the children (子弟) of wealthy Kwangju families seem to have obtained a monopoly license (專賣特許) for opium, spending day and night smoking it, unable to attend to their business. I could expose their names (姓名), but I'll hold back for now and wait for the next installment.

**Ŭiju Miscellany**
By One Reporter

Since the Provincial Office (道廳) moved to Sinŭiju several years ago and took all the electric lights (電燈) with it, the city streets (市街) have been in a state of darkness. Furthermore, since July 1st, the two newspapers, Chosŏn [Ilbo] and [Tong]a [Ilbo] (朝鮮 時代 兩新聞)—institutions of press reporting (言論報道) which are supposed to be society's wooden bell (木鐸) [moral guide] and lighthouse for the lost (迷津)—have had their mail delivery suspended (發送停止). Thus, society here has now completely fallen into social darkness. Since it was already a dark society, it's not surprising that people didn't pay their subscription fees even after reading the newspapers, causing the branch office manager (支局經營者) to suffer the delivery suspension. However, unaware of this situation, the main office authorities (本社當局) took the drastic measure of suspending delivery over a few Won (元) of unpaid fees (未俸) (which they promised to send within a month anyway). Public commentary (評論) universally decries this as excessively harsh (苛酷).

When collecting sympathy money (同情金) for public works (公共事業) or charity (慈善事業) from society as a whole, <69> it is the usual practice (行事) of the Ŭiju wealthy to make all sorts of excuses (稱託)—claiming their income (收入) is small and expenditures (支出) are many, so they can't help it—and barely part with 1 or 2 Won, as if they can't completely refuse. However, these gentlemen do know when to really open their wallets. When the traveling theater troupe (巡廻劇團), Kwangwŏltan (光月團) (old style - 舊派), arrived in Ŭiju early last month, a certain local wealthy man donated 50 Won to the troupe upon a single promise (一諾). When will the wealthy of Ŭiju, who prioritize immediate pleasure (享樂) over the welfare of society, realize they are sacrificing the farmers' (農民) blood for other purposes?

**Sŏnch'ŏn Short Story**
By One Reporter

Sinsŏng School (信聖學校) in Sŏnch'ŏn is managed by an American Missionary Society (宣敎師會). Starting this spring, the school planned a school building expansion (校舍增築) with a budget (豫算) of 80,000 Won. Former principal Widae Mo went back to his home country in North America (北米) for fundraising (寄附募集) and managed to collect about half the amount. To begin construction (工事), they solicited bids (入札) from contractors (請負業者). They granted bidding qualifications (資格) to Koreans (朝鮮人) as well. When the bids were opened (開票), despite the lowest bid (最低額) being 45,110 Won from Yang Kihyŏk of the local Korean Labor Union (勞働組合) side, they signed the contract (契約) with the Chinese (中國人) Mu Munsŏ, whose bid was over 2,000 Won higher. This has caused public opinion (輿論) to boil over (沸騰), and sentiment for excluding foreigners (外國人排斥熱) has arisen. (Bidding amounts (入札工費額): Korean Yang Kihyŏk 45,110 Won, O Kigap 49,460 Won; Chinese Mu Munsŏ 47,450 Won, Mr. Wang 49,730 Won). Their excuse (辨明) is: First, the bidding documents stated that selection (選擇) is at their discretion (自由), regardless of the bid amount (金額多少), and there is no need for questions (質問) regarding this condition (條件). Therefore, contracting with a Chinese bidder with a higher price than the Korean bidders is within their rights, and there's no need for questions. True. If they had contracted with the Chinese from the start (當初) without a single word of explanation (無一言理由), there would be no issue. But on the 6th of last month, when Mr. Yang and other related parties visited for contract negotiations (交渉), Principal Ham Karyun spoke as if he would give the construction work to the Koreans. Yet that very night, they held a meeting of the Americans (美詢會?) and secretly signed the contract with the Chinese Mr. Mu. What kind of manipulative (籠絡的) action is this, where words and reality (言實) differ (不同)? (When the Korean bidders, including Mr. Yang, were meeting with Principal Ham, Mr. Mu, who got the contract, walked past the room. Principal Ham looked out and muttered to himself, "I thought Mu-ge [哥 - brother Mu?] went home, why hasn't he left yet?" Hearing this, the Koreans thought the Chinese bidder had been sent away and were overjoyed (喜不自勝), believing they had secured the contract. However, according to what was heard, when Mr. Mu met Principal Ham, he said, "In my decades as a contractor since coming to Korea, this is the first time I've competed in bidding with Koreans. Inferring (推察) from this, it testifies (證言) to the development (發達) of the Sŏnch'ŏn construction industry. This is a very pleasing phenomenon (現象), so I think it's best to give the contract to the Koreans. I will yield (讓步) to the Koreans and go home." But Principal Ham asked him to wait a bit, kept him there, and then secretly signed the contract and sent him off. Judging from this fact, they originally had no intention (意向) of giving the contract to Koreans.) Second excuse: Lack of financial resources (資力) and skill (技能). Regarding financial resources, Sŏnch'ŏn's top-tier wealthy (一流富豪) guaranteed (保證) it and even offered to invest (出資). Not only that, the wealthy Mr. O Chŏngŭn declared to Principal Ham that he would deposit (供託) 10,000 [Won] as security, stating that if any loss (損害) occurred, he would bear it himself, not letting the school suffer (貽), sacrificing the money for Sŏnch'ŏn's laborers. The Korean contractors also offered to lend (先貸) the roughly 10,000 Won shortfall in construction costs. As for skill, they have experience (經驗) constructing large buildings (宏大한 건물) like the Inje Hospital (仁濟病院) and mansions (邸宅) of certain wealthy individuals, so this is also a baseless pretext (口實). If, as they claim, they deemed the Korean contractors lacking in financial resources or skill, why did they grant them bidding qualifications in the first place? To speak plainly, while selecting the lowest bid is common practice (通例) in all bidding, attaching the condition that selection is discretionary was either done to create a pretext later, or <70> they are using pretexts that don't even fit the concept of discretion. Their original intention was not to give the work to Koreans, but granting bidding qualifications served firstly to gain the goodwill (好感) of the general Korean populace, and secondly, to make Koreans compete (競爭) with the Chinese bidder to lower the construction cost from the Chinese contractor (請負者). This was a sinister plot (陰凶手段). Despite the aforementioned Chinese contractor Mr. Mu himself approving (贊成) of giving the contract to the Korean bidder, those who hold the position (職責) of so-called missionaries, who preach God's gospel (福音) and claim to bring happiness (幸福) to Koreans, should naturally (當然) have awarded the contract for a building intended for Korean children (子弟) to a Korean contractor. Doing so would have sustained the livelihoods of hundreds of Korean laborers for several years. Even if the Korean bid was slightly higher than the Chinese one, giving it to the Korean contractor was the proper thing to do. Yet, they used sinister methods and flimsy excuses to manipulate Koreans. What is their intention (心事)? In Sunan, there was a missionary who committed the barbaric act (蠻行) of tattooing letters (刺字) on a child's face (面像) and was forced to return to his home country (本國). In Sŏnch'ŏn last spring (去春), the husband of a housemaid (食母) working at the home of Miss In Kŏsŏn, the head nurse (看護部長) at Midong Hospital (美東病院?), arrived late at night (夜半) from China, sick (病). The woman said she didn't want to live [with him?], so the so-called missionaries residing (在留) here, Mr. No Seyŏng and Mr. Kam Moyŏl, cooperated (協力) and expelled (逐出) the sick man who had come looking for his home from afar in the middle of the night. This immoral act (不道德行爲) caused considerable public outcry for a while. Just as things quieted down, this Sinsŏng School contract issue has again manipulated Koreans, causing public opinion (輿論) to boil (沸騰) and anti-Western sentiment (西洋人排斥熱) to reach a peak (高潮). Furthermore, an article defending (誹護 - likely 庇護) the missionaries with false (虛僞的) information was published in the Amnokkang Ilbo (鴨江日報 - Yalu River Daily News) on the 11th. Claiming this was the missionaries' doing (所爲), the local Labor Union (當地勞働組合) is preparing to denounce (聲討) them. Meanwhile, on the 14th, dozens of enraged (憤氣衝天) laborers rushed (殺到) to the house of the American missionary Peter (彼得) (said to be the main culprit - 張本人 - in this contract issue), blocked the gate with acacia trees, and posted a notice (廣告) on the street in front saying, "Lying pastors cannot use this road." How numerous are the barbaric acts (蠻行) and misconduct (非行) everywhere by these monopolists (專賣特許者) of philanthropy (博愛主義)! It seems more like "Thin Love-ism" (薄愛主義 - P'agae chuŭi) than Philanthropy (博愛主義 - Pagae chuŭi).

As public opinion rose regarding the Sinsŏng School contract issue and anti-Western sentiment grew, last Sunday the 11th, at the Sŏnch'ŏn South Church (南禮拜堂), when worship time (禮拜時間) came and the Western woman Miss In Kŏsŏn went to sit at the organ (風琴) as usual, Mr. Kil Kyŏngch'un, a deacon (집사) of the church, stood up, called the pastor, and said, "It's fine to borrow Westerners' help for things we cannot do ourselves, but things we can do ourselves, we should do. Playing the organ is something we can do with our own hands, so please send the Western woman out." Hearing this, Miss In Kŏsŏn's face turned scarlet (朱紅빗), she came down, didn't sit on a chair (倚子), but squatted on the floor (마루), sniffling embarrassedly. She then went home without finishing the service. Was it tears of anger? Tears of repentance (悔改)? Tears of shame (羞恥)? What is your reflection (省察) on your deeds?

**Such'un [Ch'unch'ŏn] Rambling Critique**
By Soyang Hagin

Among Korea's provinces, our Ch'unch'ŏn probably has the most inconvenient transportation (交通). Forget railways (鐵道); even the automobile roads (自動車길) are incomplete (不完全), and since last year's flood (洪水), they have become even more damaged (破壞), causing severe (甚) inconvenience. Yet, it seems the authorities (當局) are playing games (遊戱) with the road construction contractor (道路工事 請負人). Who knows when that road, started long ago, will ever be completed (完成)? Not only are its future prospects (前途) bleak (茫然), but this recent heavy rain (暴雨) has caused further loss (損失) to most of the already completed (旣成) work. Who knows when it will ever be finished (竣工)? As long as the Japanese (日本人) contractor in charge (마튼) fills his belly, is that the best policy (上策)? I want to ask the authorities one question (一問).

Speaking of transportation, the automobile fare (賃金) between Seoul and Ch'unch'ŏn (京春間) must be the highest (高價) fare rarely seen (稀有) in the world (世界). What is this 6 Won for merely (不過) 190 ri (朝鮮里)? When the private sector (民間) raised the issue (問題) of reducing (減下) the fare, the automobile company's (會社) response was reportedly, "Reduction is natural, but as long as the roads are not yet completed like in Southern Korea (南鮮), the actual costs (實費) are high due to time constraints, so we cannot reduce the fare." It sounds like a plausible excuse, but isn't it a bit excessive (過)?

About 40 female students (女子學生) at the Provincial Industrial Training Institute (道立機業傳習所) reportedly went on a hunger strike (斷食同盟) because their Japanese teacher (先生) resigned (辭職). If he had died instead of resigning, would they all have followed him in death (殉死)? Haha (呵呵)!
<71>

**Summary**

This article compiles several short reports from Kwangju, Ŭiju, Sŏnch'ŏn, and Ch'unch'ŏn in 1926, painting a critical picture of colonial Korean society. Issues covered include the abuse of power and impunity of the wealthy elite (Kwangju torture case, opium use), detrimental colonial agricultural policies (forced removal of crops for cotton), the superficiality and perceived corruption of government-sponsored cultural initiatives (Confucian Society), the suppression of the press (newspaper delivery suspension in Ŭiju), the indifference of the rich towards social welfare contrasted with spending on entertainment (Ŭiju donations), controversial practices and perceived hypocrisy of American missionaries (unfair bidding process, past misconduct in Sŏnch'ŏn), and poor infrastructure development coupled with exploitative pricing (Ch'unch'ŏn roads and fares). The reports highlight social tensions, economic hardships, anti-foreign sentiment (particularly anti-American in Sŏnch'ŏn), and disillusionment with both traditional elites and colonial/foreign authorities.

From a historical perspective, the article is valuable for its ground-level reporting on diverse local issues across Korea during the colonial period. It reveals Korean discontent with economic policies, social inequality, the perceived failures of both Japanese colonial administration and Western missionary activities, and the struggles related to modernization and infrastructure. The specific incidents, like the Sinsŏng School contract dispute and the newspaper suspension, offer concrete examples of Korean resistance, public opinion formation, and the complex interactions between Koreans, Japanese authorities, and Westerners.

**Named Entities**

光州	광주	Kwangju
無等山人	무등산인	Mudŭng Sanin
金庸津	김용진	Kim Yongjin
鞠彩運	국채운	Kuk Ch'aeun
鄭眞順	정진순	Chŏng Chinsun
文太	문태	Mun T'ae
光州刑務所	광주형무소	Kwangju Prison
光州郡廳	광주군청	Kwangju County Office
陸地棉	육지면	Upland Cotton
面事務所	면사무소	Township Office
在來棉	재래면	Native Cotton
儒道彰明會	유도창명회	Yudo Ch'angmyŏnghoe (Confucian Way Promotion Society)
全南	전남	Chŏnnam (South Chŏlla Province)
朝鮮總督府	조선총독부	Chosŏn Ch'ongdokpu (Government-General of Korea)
七面島	칠면도	Ch'ilmyŏndo (Nickname/Place?)
石氏	석씨	Sŏk-ssi (Mr. Sŏk)
孔子	공자	Kongja (Confucius)
義州	의주	Ŭiju
一記者	일기자	Il Kija (One Reporter)
道廳	도청	Toch'ŏng (Provincial Office)
新義州	신의주	Sinŭiju
朝鮮	조선	Chosŏn (Korea)
時代	시대	Sidae (Times - likely part of newspaper name, e.g., Tonga Ilbo)
本社	본사	Ponsa (Main Office)
光月團	광월단	Kwangwŏltan (Theater Troupe)
宣川	선천	Sŏnch'ŏn
信聖學校	신성학교	Sinsŏng Hakkyo (Sinsŏng School)
米國人	미국인	Migugin (American)
宣敎師會	선교사회	Sŏn'gyosahoe (Missionary Society)
魏大模	위대모	Widae Mo
北米	북미	Pungmi (North America)
勞働組合	노동조합	Nodong Chohap (Labor Union)
梁基赫	양기혁	Yang Kihyŏk
吳起甲	오기갑	O Kigap
中國人	중국인	Chunggugin (Chinese)
慕文序	모문서	Mu Munsŏ
王某	왕모	Wang-mo (Mr. Wang)
咸嘉倫	함가륜	Ham Karyun
吳正殷	오정은	O Chŏngŭn
仁濟病院	인제병원	Injebyŏngwŏn (Inje Hospital)
順安	순안	Sunan
美東病院	미동병원	Midong Pyŏngwŏn (Midong Hospital?)
印居善	인거선	In Kŏsŏn
魯世榮	노세영	No Seyŏng
甘茂悅	감모열	Kam Moyŏl
鴨江日報	압강일보	Amnokkang Ilbo (Yalu River Daily News)
彼得	피득	P'idŭk (Peter?)
南禮拜堂	남예배당	Namyebaidang (South Church)
吉京春	길경춘	Kil Kyŏngch'un
壽春	수춘	Such'un (Likely refers to Ch'unch'ŏn)
昭陽學人	소양학인	Soyang Hagin
春川	춘천	Ch'unch'ŏn
日本人	일본인	Ilbonin (Japanese)
京春間	경춘간	Kyŏngch'un'gan (Between Seoul and Ch'unch'ŏn)
南鮮	남선	Namsŏn (Southern Korea)
道立機業傳習所	도립기업전습소	Torip Kiŏp Chŏnsŭpso (Provincial Industrial Training Institute)

**Glossary**

酷刑拷問	곡형고문	Severe torture
墮胎	타태	Abortion; induced miscarriage
富豪家	부호가	Wealthy family
刑務所	형무소	Prison
有産者	유산자	Propertied person; capitalist
陸地棉	육지면	Upland cotton
田穀	전곡	Field grains
怒發號令	노발호령	Shouting angrily; yelling orders in anger
在來棉	재래면	Native cotton (as opposed to imported varieties)
儒道彰明會	유도창명회	Confucian Way Promotion Society (organization name)
參與官	참여관	Councilor; participant official (colonial government position)
儒生	유생	Confucian scholar
齋飯	재밥	Ceremonial food offering; implies interest in side benefits rather than the main purpose
阿片	아편	Opium
專賣特許	전매특허	Monopoly license/patent
木鐸	목탁	Wooden bell (metaphor for a moral guide or societal awakener)
迷津	미진	Being lost; delusion (metaphor for societal confusion or moral decay)
發送停止	발송정지	Suspension of mailing/delivery
同情金	동정금	Sympathy money; donation
巡廻劇團	순회극단	Traveling theater troupe
校舍增築	교사증축	School building expansion
請負業者	청부업자	Contractor
入札	입찰	Bidding; tender
排斥熱	배척열	Exclusionist fever; strong sentiment to exclude (foreigners, etc.)
辨明	변명	Explanation; excuse; justification
籠絡的	농락적	Manipulative
陰凶手段	음흉수단	Sinister method; insidious plot
刺字	자자	Tattooing letters; branding
蠻行	만행	Barbaric act; atrocity
逐出	축출	To expel; drive out
誹護	비호	To defend; protect (often with negative connotation of shielding wrongdoing, likely 庇護)
博愛主義	박애주의	Philanthropy; humanitarianism
薄愛主義	박애주의	"Thin Love-ism"; pun on 博愛主義, implying lack of genuine philanthropy
斷食同盟	단식동맹	Hunger strike
殉死	순사	Following one's lord/master in death; committing suicide upon someone's death
엇지	어찌	How; why (older spelling)
잇스랴	있으랴	Would there be? (older spelling/form)
업슬	없을	Will not be; without (older spelling)
놋코	놓고	Placing; putting; leaving (older spelling)
맛텃는지	맡았는지	Whether one took charge of (older spelling)
갓기	갔기	Because (someone/something) went (older spelling)
잇거니와	있거늘	Although there is/are (older spelling/form)
하야곰	하여금	Make someone do something; cause (older spelling)
만흐니까	많으니까	Because there are many/much (older spelling)
머처지는	멈춰지는	Being stopped at; limited to (older spelling)
막길	맡길	To entrust; assign (older spelling)
맛게	맡게	To take charge of (older spelling)
맛지	맞지	Not fitting; incorrect (older spelling)
업스나	없으나	Although there isn't/aren't (older spelling)
맛기기를	맡기기를	The act of entrusting (older spelling)
맛기는	맡기는	Entrusting; assigning (older spelling)
잇서	있어	Being; existing (older spelling)
놉고	높고	Being high; tall (older spelling)
안자	앉아	Sitting (older spelling)
끗마추지	끝마치지	Not finishing (older spelling)
낫스니	났으니	Since it arose/happened (older spelling)
닐으키닛가	일으키니까	Because (someone) raises/starts (an issue) (older spelling)
만흔닛가	많으니까	Because there are many/much (older spelling - variant of 만흐니까)
마튼	맡은	Took charge of; was in charge of (older spelling)
되얏스니	되었으니	Since it became/happened (older spelling)
-e 

---------------------------


잡지명	개벽 제72호
발행일	1926년 08월 01일
기사제목	六號通信
기사형태	소식

六號通信
光州片言
無等山人

일시 言失의 관계로 孕婦에게 殘忍無*한 酷刑拷問을 하야 中傷 墮胎까지 식히고도 金錢의 세력으로 1년 이상이 되도록 無事安過하게 지내오던 光州 富豪家의 惡婦女 金庸津, 鞠彩運, 鄭眞順, 文太 등의 죄악은 그여이 폭로되야 光州刑務所에서 여러 달 동안식 콩밥신세를 짓지 안으면 안되게 되엿다. 아모리 有産者를 보호하는 현대의 법률이라도 원래 죄악이 深重한 데야 엇지 용서할 수 잇스랴. 그러나 刑務所에서도 富豪家의 婦女이닛가 콩밥은 두둑하게 줄 터이지.

소위 産業第一主義의 간판 정치 하에서 밥을 어더 먹고 지방산업행정을 마터 보는 光州郡廳에서는 농가에서 陸地棉을 재배하는데 다른 田穀과 혼동 재배하엿다고 농민을 불너서 큰 범죄나 한 듯시 怒發號令하고 各 面事務所와 협력하야 일껀 피땀을 흘리여 재배한 栗, 苦草, 豆, 太 등을 모조리 뽑아 버리엿다. 陸地棉 장려도 필요는 하겟지만 기왕 재배한 田穀을 그와가티 뽑아 버리는 것은 소위 산업장려의 근본정신을 모르는 것이 안인가. 陸地棉을 장려하기에 그럿치 만일 在來棉까지 장려하엿더면 光州一境에는 다른 곡물은 씨도 업슬 것이다. 産業獎勵인지 散業獎勵인지

儒道彰明會는 全南의 명물인 동시에 그 건물도 역시 光州郡內의 하이카라  대건물이엿다. 朝鮮總督府의 大忠僕인 소위 七面島 參與官 石氏 당시에 조선 인심을 완화식히는 데는 儒敎尊崇이 제일이라는 大政策 下에 생겨나서 各郡의 케케묵고 썩어진 유생들을 모와가지고 詩會나 碁會로 세월을 보내더니 其 後를 계승한 현 參與官은 일층 현대식 가미를 하야 하이카라의 벽돌집을 지어놋코 유생 중에도 부호유생만 꼭 망라하야 별별 珍奇의 일을 한다. 眞所謂 불공에는 정셩이 업고 재밥에만 정성이 잇다고 儒道彰明할 일은 한아도 하는 것이 업고 하이카라의 집이나 지여노코 부패한 閑談冗事나 하면 斯文의 효과가 잇슬가. 儒道의 彰明을 현대의 우리 조선사람이 그다지 필요하게 생각지는 안는다 만은 애꾸진 孔子의 팔리는 것이 너무 불상하야 한 말한다.

全南의 阿片장이도 또한 명물이다. 그런 중에 光州富豪家 자제들은 阿片의 專賣特許를 맛텃는지 밤낫 먹고 짜르기에 볼일을 못본다. 성명까지 노출하야 말하겟지만 아즉 이만하야 下回를 기다리랴 한다.

義州雜信 一記者

수년 전에 道廳이 新義州로 이전하면서 전등을 모다 떼어 가지고 갓기 때문에 시가** 伊來 암흑한 상태에 잇거니와 사회의 木鐸이오 迷津의 등대라는 언론보도의 기관인 朝鮮 時代 兩 신문이 7월 1일부터 발송정지를 당하얏슴으로 이즘에는 사회적으로 아조 암흑한 상태에 빠지어 잇다. 원래가 암흑한 사회인지라 신문을 보고도 대금을 안 내여서 支局經營者로 하야곰 발송정지를 당케 하는 것도 괴이치 안타만은 이런 사정은 모르고 未俸 멧元(그나마 1개월 이내로 보내여 주겟다는 것)에 발송정지의 단호한 처치를 하는 本社 當局도 너무나 가혹하다고 일반의 평론이 자자.

공공사업이나 자선사업에 보태여 쓰기 위하야 사회전체로서 同情金을 모집하노라면＜69＞ 의례히 (수입은 적고 지출은 만흐니까 엇졀 수가 업다고) 별아별 稱託을 다하면서 아조 막을 수는 업다는 듯이 겨우 1,2원에 머처지는 것이 義州富豪들의 보통행사이다. 한데 이 양반들도 졍말 손을 펼 적이 잇다. 去月 초순경에 巡廻劇團, 光月團(舊派)이 義州에 도착하자 當地富豪 某는 一諾에 일금 50원을 仝團에 기부하엿다. 사회를 위하는 마음보다 목전의 향락을 위주하는 義州富豪들 농민의 피를 빨아다가 딴 대다가 희생하는 줄을 언제나 깨달을지.

宣川小話 一記者

