Magazine Title	개벽 제72호
Publication Date	1926년 08월 01일
Article Title	六年만에 본 나의 故國, 東京 金墨君에게 (My Homeland Seen After Six Years, To Kim Muk in Tokyo)
Author	金振九
Article Type	세태비평 (Critique of the Times)

My Homeland Seen After Six Years, To Kim Muk in Tokyo
						Kim Chin-gu
Hey Kim!
I've occasionally heard news of you through Kim Hak-wŏn's letters, but I didn't know your and Yi In-hwang's lodging and was curious. Then this morning, I suddenly received a kind postcard (一葉惠書), and the abundant warmth filling the page is incomparably delightful! By the way, I roughly knew about the turbulent events that occurred in the meantime, and I had already heard that you and Wŏn were taken away on the day of Pak Yŏl's public trial. And the Hŭguhoe moved to Chapsagok (Zōshigaya), right? Kim Ch'ŏl-ho, who was here with me, already left for Tokyo, Japan, three weeks ago.

Hey Kim!
The phrase "Returning home in silken robes" (錦衣還鄕) seems to signify the most glorious and successful thing in an era of官尊民卑 (official reverence, civilian debasement). However, although I have returned to the hometown mountains and streams I always yearned for, now for the first time in the six years since I left my homeland, I feel no delight or glory whatsoever. This seems to be because I went and came back empty-handed (虛往虛來) without any success. When I meet the village elders (鄕黨父老) and dear old friends (故友), rather than feeling happy, a sense of shame (憫愧) comes first. Hey Kim!
As the proverb goes, "The one who shat gets angry first," and although I brought nothing back, my feeling of shame (憫愧) is brief. When I see the environment of our society and the behavior of our elders and brothers (父老兄弟), having returned after a long time, and look back again at our past 500 years of history, anger (울화) instantly flares up, and I can't stand the burst of rage.

Hey Kim!
In Japan, I always criticized Kyŏngsŏng, the city where you grew up. It wasn't out of any regional sentiment, but I harshly condemned (痛罵) the people of Kyŏngsŏng, saying that city life continues by exploiting the blood and sweat of people from the provinces, while city dwellers are rich in cunning (奸智) and skilled in fraud (詐欺), always viewing provincial people<72> as objects of ridicule (愚弄物) or captives (捕虜) from a sort of superior, arrogant attitude (高慢的 態度), thereby perpetrating cunning exploitation and brutal aggression (暴戾한 침략). This isn't limited just to Kyŏngsŏng but is a fact inevitably seen in cities in any country. On this point, you also agreed.

Hey Kim!
Now, let me introduce our countryside, Ch'ungch'ŏng-do, which is even more yangban-like and genteel than your hometown, Kyŏngsŏng. Please listen! This is what deeply impressed me upon returning home this time. I offer this in place of a report on my impressions of returning home.

Hey Kim!
Let's recall the hardships we endured at Kyerimjang. Even when we couldn't properly eat even one meal of flour dough soup (sujebi) a day, we played, free and lively to a certain extent, didn't we? Didn't we play unrestrainedly and boisterously (放恣豪蕩), as if swallowing mountains and rivers and smashing the universe, spewing forth immense spirit with boastful talk (豪語壯談)?

Hey Kim!
To me, who used to bustle about and make noise like this, suddenly orders like "Don't bustle about, be dignified, become mute, mind your appearance" pour down like a hail of arrows. Like a snake hit on the head, I can't collect my thoughts, and anger (울화) begins to surge in my chest, until finally, nothing but malice and fury (毒殺惡殺) remains.
So, like striking with an iron pole (쇠경장대 내즛듯이), I defend myself here with whatever curses come to mind and absurd talk (悖談*). While they scornfully called Puyŏ, Piryŏ, Okchŏ, Suksin, and Yemaek "barbarians" (오랑캐), I praised (稱揚) them as our chivalrous, magnificent, valiant, and heroic ancestors. I tried completely denying the Legend of Kija Coming East (箕子東來說), which they most revere (崇敬) and have believed in as our true ancestor. They just stare blankly with wide eyes and gaping mouths, watching my lips. I continued firing bullets. I cited concrete examples (*) like the Paekse Ch'ŏngp'ungbi (Monument to Eternal Integrity 百世淸風碑) on Suyangsan mountain in Haeju and Waryonggang (臥龍崗) in Namyang. I brought up the Mandongmyo (萬東廟) shrine in Hwayangdong again. I dissected their psychology of enshrining the two emperors from the end of the Ming dynasty (明末) as a tool for their own self-serving protection and attempting to propagate Sadae ideology (事大思想). No. I bitterly criticized (痛罵) them, saying if the "red-chins" (홍턱이 - derogatory term for Japanese) held political power for several thousand years, they would borrow the power of politics to obliterate (湮滅) history and actual achievements and create a second Tomb of Kija (箕子陵). Receiving this unexpected attack from me, they couldn't say anything, as if struck by a bolt from the blue (晴天에 霹靂).
I recklessly said of the Sadae masters (事大先生) they most revere, "Those bastards committed the sins, and we receive the punishment."<73> When I referred to our Taejo (founder of Joseon) as Yi Sŏng-gye to them, they were startled. They looked utterly dumbfounded. Their surprise was more interesting (滋味) to me than anything, so I tried calling him Wŏnhyang (吾父名 - my father's name) again. At that, they immediately slapped a price tag on me as a "madman" (狂人). I spoke, citing the example of the processional caterpillar (行列蟲), about the advantages of being a madman, that is, a derailer (脫線者)... ...

Hey Kim!
I declare to the people of the world: If you want to study the living history of the 500 years of the Yi Dynasty, rather than nitpicking over phrases (尋章摘句) at a desk, take a tour of our countryside, Ch'ungch'ŏng-do... ...
Returning to my village, I greeted a village elder (村老) warmly. The village elder said, "Ah— yes, you were in the Mainland (內地 - i.e., Japan), when did you come back?" I lost the courage to reply to those words. It's not just the village elders; in our countryside, government officials (官公吏), of course, but even ordinary townspeople (市井人) routinely use "Mainland" (內地) as a synonym for Japan. When they gather, conversation blossoms with praise for the resident policeman. "What about Officer So-and-so?" "So-and-so speaks Korean well." "Officer So-and-so is good at catching gamblers." "He came to my house first and greeted me politely before leaving," and so on. My ears ache, and I can't listen anymore. It seems they think associating with policemen is the highest honor and path to power (權道). In any case, the propaganda for the so-called Cultural Rule (標榜文化政治) was thorough and harvested good results.
Several years ago, I experienced something like this in Pusan. Seeing the train heading south from Kyŏngsŏng to Pusan referred to as "upbound" (上り - nobori), I asked a Pusan gentleman, "Why is that?" He gave me a sharp rebuke, "Goodness, a Japanese newspaper reporter and you still don't know that? Isn't it obvious... It's because it's the train going to Tokyo!" That gentleman's tone was sarcastic (諷刺) towards me. I was left speechless (無言無答).
People in the Kyŏngsang-do region straightforwardly call Japanese people "those fellows/bastards" (애놈 - yaenom/yatsudomo 奴놈). The Japanese in that region hear this casually. However, in the "Mainland" (內地) environment of Ch'ungch'ŏng-do, if someone were to say "those fellows" (애놈), they would immediately face trouble (逢變); it becomes material for a report by the higher criminal affairs detective titled "Subversive Speech and Actions of a Malcontent Korean" (不逞鮮人の不穩言動). I know this particularly well because I have experience... ...
I attribute the entirety of this sin too to the "red-chins" (홍탁이). I say it's because of the Sadae ideology (事大思想) they have instilled through education. The old idea of "entering the Great Country" (大國 들어간다) has today become "entering the Mainland" (內地 들어간다).

Hey Kim!
Let's stop attacking the "red-chins" for now. The fever for official posts (仕宦熱), rotten for 500 years, is probably also most severe in Ch'ungch'ŏng-do. <74> For anything that involves putting a hat on one's head, like being a member of the elementary school affairs committee (普通學校 學務委員) or a Hyanggyo staff member (鄕校職員), they rush in headfirst, scrambling over each other, to the point where the County Magistrate (郡守) and Township Head (面長) are said to be losing their minds. Consequently, there must be powerful local figures (豪强) too, right? During the reign of King Ch'ŏlchong (哲宗) at the end of the Joseon Dynasty (鮮末), they say the house of the Changdong Kim clan produced "dog officials" (개山林 - worthless officials); in our countryside, they say "dog staff members" (개職員) have appeared. It's said that malicious gossipers in the world bestowed such splendid titles (職啣) on those esteemed gentlemen because they supposedly got their positions by butchering a dog and giving it as a bribe. How many bastards were there who, during the national mourning in the year Kiminyŏn (己未年 - 1919), sold off good fertile land to foreigners and got heated up in the campaign for Ch'ambong (叅奉 - a minor official post)?
Our hometown, Koesan, originally has many yangban and wealthy families, making it a prominent yangban village (班鄕) even within Ch'ungch'ŏng-do. Conversely, I am from Ch'ŏngan, a district of Koesan with the fewest yangban in Ch'ungch'ŏng-do, so of course, I'm a commoner (상놈), but anyway, it's true there are many yangban. However, these tremendous yangban are recently engaging in all sorts of campaigns to become even greater yangban. I was once subjected to a kind of sarcasm (諷刺) from O T'aek of Pusan Hŏmguja, who said, "In your town, even the Township Head (面長) can't be chosen from his own township but is always brought in from another township." Indeed, the campaigning for Township Head (面長) is so fierce – with secret maneuvering (暗中飛躍), secret bribery (賄賂暗行), etc., as if "Truly, it is the autumn for heroes to establish merit" (正是英雄立功秋) – that dark clouds hang low, schemes crisscross, changes of Township Heads are an everyday occurrence (恒茶飯), and even the dismissal (馘首) of County Magistrates often results from the exposure of scandals. This past spring, when I returned home, it was right in the middle of the drama of a major Township Head reshuffle (面長大更迭).

Hey Kim!
Well, the status of a Joseon Township Head (面長) has risen considerably now... ... Consider a man who is related to the inner circle of Emperor Emeritus Kojong (高宗 太皇帝), whose family status (門戶) was illustrious as a Ch'amnyŏng (參領) and County Magistrate (郡守) during the old Korean Empire period (舊韓時代), who owns grand (宏傑) mansions in both the capital and the countryside, and who, perhaps feeling that what his father and elder brother had extorted was still insufficient (猶恐不足), engaged in usury (高利貸金) for decades, earning the elegant alias (雅號) "Payment" (支拂 - Chipul, likely a sarcastic nickname referring to demands for payment) from the populace – just seeing this, one can already tell he is a master of the 'butter' (빠다 - flattery/bribery) business. This kind of yangban, perhaps feeling an overwhelming desire for political power (勢道) lately, campaigned so fiercely both overtly and covertly (陰으로 陽으로) that, as they say, "utmost sincerity moves heaven" (至誠感天), and he finally obtained the honorable post (榮職) of Township Head (面長). This kind of comical play (滑稽劇) would be hard to see anywhere outside Ch'ungch'ŏng-do. This is a specialty product of our countryside.
Besides this, the fact that only the bones of the mountains remain and the sand-carrying efficiency (運砂能率 - i.e., erosion rate) of the rivers are probably also number one in our countryside. Introducing such specialty products one by one would be endless, so I'll stop. The exploitative methods of the Monopoly Bureau (專賣局) were roughly written about in a previous letter, so I'll omit that here.
For now, just with this, my malice (毒殺) and pent-up anger (鬱火) seem slightly eased, so I'll lay down my pen here. <75>
<72-75>

**Summary**

Writing to his friend Kim Muk in Tokyo, Kim Chin-gu expresses his profound disillusionment upon returning to his hometown in Ch'ungch'ŏng Province, Korea, after a six-year absence in 1926. Instead of the joy of homecoming, he feels shame and then intense anger at the social conditions he observes. He criticizes the servility towards Japanese authorities, the persistence of outdated Sadae ideology (now directed towards Japan instead of China), the intense competition and corruption surrounding even minor official posts like Township Head, and the general lack of spirit compared to the impoverished but free intellectual life he experienced among Koreans in Tokyo. The article paints a stark picture of rural Korean society under Japanese rule, highlighting internalized subservience, social decay masked by traditional yangban pretensions, and the author's biting critique of his compatriots' behavior. Historians might find the article valuable for its firsthand account of rural social dynamics, the psychological impact of colonialism (internalization of terms like 'Naichi'/'Mainland'), the critique of the 'Cultural Rule' policy's effects, the specific examples of local power struggles and corruption, and the raw expression of frustration from a Korean intellectual of the period.

**Named Entities**

金墨	김묵	Kim Muk
東京	동경	Tokyo
金學元	김학원	Kim Hak-wŏn
李寅幌	이인황	Yi In-hwang
朴烈	박열	Pak Yŏl
黑友會	흑우회	Hŭguhoe
雜司谷	잡사곡	Chapsagok (Zōshigaya)
金喆鎬	김철호	Kim Ch'ŏl-ho
京城	경성	Kyŏngsŏng
忠淸道	충청도	Ch'ungch'ŏng-do
鷄林莊	계림장	Kyerimjang
扶餘	부여	Puyŏ
沸流	비류	Piryŏ
沃沮	옥저	Okchŏ
肅愼	숙신	Suksin
濊貊	예맥	Yemaek
箕子	기자	Kija
海州	해주	Haeju
首陽山	수양산	Suyangsan
百世淸風碑	백세청풍비	Paekse Ch'ŏngp'ungbi
南陽	남양	Namyang
臥龍崗	와룡강	Waryonggang
華陽洞	화양동	Hwayangdong
萬東廟	만동묘	Mandongmyo
明末	명말	Ming Mal (End of Ming Dynasty)
李成桂	이성계	Yi Sŏng-gye
元鄕	원향	Wŏnhyang (Author's father's name)
釜山	부산	Pusan
慶尙道	경상도	Kyŏngsang-do
內地	내지	Naeji (Mainland Japan)
槐山	괴산	Koesan
淸安	청안	Ch'ŏngan
吳澤	오택	O T'aek
哲宗	철종	Ch'ŏlchong
壯洞 金씨	장동 김씨	Changdong Kim-ssi
己未年	기미년	Kiminyŏn (1919)
高宗 太皇帝	고종 태황제	Kojong T'aehwangje (Emperor Gojong)
舊韓時代	구한시대	Kuhan Sidae (Old Korean Empire Period)
專賣局	전매국	Chŏnmaeguk (Monopoly Bureau)

**Glossary**

故國	고국	Homeland
一葉惠書	일엽혜서	A kind letter or postcard (lit. 'one leaf gracious letter')
錦衣還鄕	금의환향	Returning home in silken robes; returning home in glory
憫愧	민괴	Shame, remorse
업시	없이	Without (Older spelling of 없이)
울화	울화	Pent-up anger, resentment
奸智	간지	Cunning, craftiness
高慢的	고만적	Arrogant (Older adjectival form)
愚弄物	우롱물	Object of ridicule
暴戾	포려	Brutal, violent
痛罵	통마	Bitter criticism, denunciation
인저	이제	Now (Older form of 이제)
바든	받은	Received (Older spelling of 받은)
豪語壯談	호어장담	Boasting, grandiloquent talk
放恣豪蕩	방자호탕	Unrestrained and boisterous, wild abandon
안엇든가	않았던가	Didn't (we/you)...? (Older spelling/form of 않았던가)
드러오는데	들어오는데	Entering, coming in (Older spelling of 들어오는데)
밧게	밖에	Only, outside of (Older spelling of 밖에)
내즛듯이	내리치듯이	As if striking down (Older spelling/form)
悖談	패담	Absurd talk, rebellious talk
稱揚	칭양	Praise, extol
崇敬	숭경	Reverence, adoration
箕子東來說	기자동래설	Legend of Kija coming east
湮滅	인멸	Obliteration, annihilation
晴天에 霹靂	청천에 벽력	A bolt from the blue; sudden unexpected event
事大思想	사대사상	Ideology of serving the great (historically China, contextually Japan)
滋味	자미	Interesting quality, flavor, appeal (can imply schadenfreude here)
狂人	광인	Madman, lunatic
脫線者	탈선자	One who goes off track; a deviant, non-conformist
行列蟲	행렬충	Processional caterpillar (used metaphorically)
尋章摘句	심장적구	Nitpicking over phrases; focusing on trivial details in text
村老	촌로	Village elder
內地	내지	Inner Land; Mainland Japan (colonial term)
官公吏	관공리	Government officials
市井人	시정인	Townspeople, ordinary citizens
標榜文化政治	표방문화정치	So-called Cultural Rule (Japan's colonial policy post-1919)
不逞鮮人	불령선인	"Malcontent/rebellious Korean" (Japanese colonial term)
不穩言動	불온언동	"Subversive speech and actions" (Japanese colonial term)
애놈	애놈	Those fellows/bastards (derogatory term for Japanese, likely 奴놈, やつのむ)
홍턱이	홍턱이	Red-chins (derogatory term for Japanese)
仕宦熱	사환열	Fever/craze for government positions
學務委員	학무위원	School affairs committee member
鄕校職員	향교직원	Staff member of a Hyanggyo (local Confucian school)
豪强	호강	Powerful local figure, local strongman
鮮末	선말	End of the Joseon Dynasty period
暗中飛躍	암중비약	Secret maneuvering, clandestine activities
賄賂暗行	회뢰암행	Secret bribery, corruption
恒茶飯	항다반	Everyday occurrence (lit. 'always tea rice')
馘首	괵수	Dismissal from office (lit. 'cutting off the head')
太皇帝	태황제	Emperor Emeritus
參領	참령	Military rank from Joseon/Korean Empire period
門戶	문호	Family status, lineage, background
宏傑	굉걸	Grand, magnificent, imposing
高利貸金	고리대금	Usury, high-interest money lending
雅號	아호	Elegant alias, pen name, nickname
빠다	빠다	'Butter'; slang for flattery or bribery
勢道	세도	Political power and influence, often wielded by powerful families
至誠感天	지성감천	Utmost sincerity moves heaven
榮職	영직	Honorable post or position
滑稽劇	활계극	Comical play, farce
運砂能率	운사능률	Sand-carrying efficiency (used to describe river erosion)
專賣局	전매국	Monopoly Bureau (Government agency controlling salt, tobacco, etc.)
毒殺	독살	Malice, spite, venom (lit. 'poison killing')
鬱火	울화	Pent-up anger, resentment (same as 울화 above)
擱하다	각하다	To lay down (one's pen)
-e 

---------------------------


잡지명	개벽 제72호
발행일	1926년 08월 01일
기사제목	六年만에 본 나의 故國, 東京 金墨君에게
필자	金振九
기사형태	세태비평

六年만에 본 나의 故國, 東京 金墨君에게
						金振九
여게 金군!
군의 소식은 金學元군의 서신으로 잇다금 들엇다만은 군과 李寅幌군의 숙소를 몰라서 궁금하던 차에 오날 아참 홀연 一葉惠書를 바다보니 滿幅都 是情一字의 탐탐반갑기 견줄데가 업고나! 그런데 그 사이 波瀾重疊한 경과는 대강 알앗거니와 朴烈 公判日에 군과 元군이 채여 갓더란 말을 벌서 들엇고 黑友會는 雜司谷으로 옴겻다지? 金喆鎬군은 여긔서 가티 잇다가 일본 東京으로 간지 벌서 3주일이 지낫다.
여게 金군!
『錦衣還鄕』이란 말은 官尊民卑 시대의 가장 영화롭고 성공한 것을 의미한 듯 하다. 그런데 나는 고국을 떠난 지 6년 만에 못처럼 금번에 항상 그려하던 고향산천으로 돌아왓다 만은 도모지 반갑고 영화로운 것을 몰으겟다. 이것은 아모 성공한 것이 업시 虛往虛來한 까닭인 듯 하다. 鄕黨父老와 정든 故友를 맛날 때에 반갑기는 갓보다 憫愧한 마음이 먼저 압흘 선다. 여게 金君!
속담에 『똥싼 년이 골낸다』고 나도 아모 것도 가저 온 것은 업지만은 憫愧한 마음은 잠간이오, 오래간만에 왓느냐고 우리 사회의 환경과 우리 父老兄弟의 짓거리는 것을 보고 다시 우리 과거 500년 역사를 돌아볼 때에는 대번에 울화가 치밀어 화ㅅ증이 버럭 나서 못 견대겟다.
여게 金군!
내가 일본서는 항상 군의 生長한 京城을 비평하엿다. 무슨 지방관념으로 나온 것은 아니지만은 도시생활이란 것은 지방인의 고혈을 착취함으로 계속하는 동시에 도시인은 奸智에 富하고 사기에 長하야 일종 우월감에서 나오는 高慢的 態度로 항상 지방인을＜72＞ 볼 때에 愚弄物로 또 捕虜로 보는 데 따라서 간교한 착취와 暴戾한 침략을 자행한다는 것으로 京城人을 痛罵하엿다. 이것은 京城 뿐만에 한한 것이 아니라 어느 나라에던지 도시에서는 반듯이 보는 사실이다. 이 점에는 군도 역시 동감이엿섯다.
여게 金군!
인제는 군의 고향인 京城보다도 더- 양반이고 점잔은 우리 시골 忠淸道를 좀 소개할 것이니 들어보게! 이것은 금번 귀국하는데 깁히 인상바든 것일세. 이것으로 귀국감상의 보고를 대신한다.
여게 金군!
우리가 鷄林莊에서 고생하던 일을 생각해보자. 하로에 밀가루 수제비 한번을 변변히 못먹어도 우리 깜녕에는 어느 정도까지는 자유롭고 활발하게 놀엇다! 豪語壯談으로 萬丈의 氣陷을 토하야 山河를 들어마시고 우주를 때러부실드키 放恣豪蕩하게 놀지 안엇든가?
여게 金군!
이러케 덤벙대고 떠들든 나더러 급작시리 『덤벙이지 말아 점잔어라 벙어리 돼라 체면을 봐라』하는 주문이 비ㅅ발지듯 드러오는데 대가리 마진 독사처럼 정신을 차릴 수 업고 가슴속에 울화가 치밀기 시작을 하더니 乃終에는 毒殺惡殺밧게 남지 안는다.
그래서 쇠경장대 내즛듯이 되는 대로 욕설 닷는 대로 悖談*로 여긔 방패한다. 그네들이 『오랑캐』라고 睡罵하든 扶餘, 沸流, 沃沮, 肅愼, 濊貊을 나는 義俠 壯快하고 悍勇 豪邁한 우리의 한아버지라고 稱揚하고 그네의 가장 崇敬하야 우리의 참 한아버지라고 신앙해오든 箕子東來說을 절대로 부인해 보앗다. 그네들은 어안이 벙벙한지 눈만 번이 뜨고 입만 떡 버리고 나의 입만 치여다 본다. 나는 계속하야 탄환을 放射햇다. 海州 首陽山의 百世淸風碑며 南陽의 臥龍崗 外 이런 實*를 引證햇다. 다시 華陽洞 萬東廟를 끌어냇다. 明末 兩皇帝의 사당을 뫼서 노코 自家努力擁護의 기구로 또 사대사상의 보급을 企圖하는 그네의 심리를 해부햇다. 안이다. 만일 『홍턱이』에게 몃 천년 동안 정권이 계속한다 하면 그네는 정치의 힘을 빌어 역사와 實蹟을 湮滅식혀서 제 2의 箕子陵을 맨들 것이라고 痛罵하엿다. 불의에 나에게 이 습격을 바든 그네들은 晴天에 霹靂이나 맛난 듯이 아모 말도 못한다.
그네들이 가장 숭배하는 事大先生님들을 나는 함부로 『그놈들이 죄는 짓고 형벌은 우리가 밧는다』고 햇다.＜73＞ 그네들에게 我太祖더러 李成桂라고 불럿더니 그에 깜작 놀낸다. 아주 기가 막히는 모양이다. 그 놀래는 것이 나에게는 무엇보다도 滋味스러워 다시는 元鄕(吾父名)이라고 불너 보앗다. 그러닛가 그네들은 즉석에서 『狂人』으로 定價表를 딱 붓친다. 나는 狂人 즉 脫線者의 利益點을 들어 말햇다. 行列蟲의 引例로... ...
여게 金군!
나는 세상사람에게 言明한다. 李朝 500년의 活歷史를 연구하려면 机上에서 尋章摘句하는 것보다 우리 시골 忠淸道를 한번 답사하라고... ...
