Magazine Title	개벽 第72號
Publication Date	1926년 08월 01일
Article Title	在京學生團軆의 內面 (The Inner Workings of Student Groups in the Capital)
Author	一記者 (One Reporter)
Article Type	소식 (News/Report)

The Inner Workings of Student Groups in the Capital
						One Reporter

It has already been over 20 years since the student movement arose in Chosŏn, originating from the Kwangmu era. However, the movements at that time were simply confined to a single school or a single region (e.g., certain school student fellowship associations, certain regional student fellowship associations, certain regional student abroad associations, etc.), and their purpose was merely limited to fostering friendship and exchanging knowledge, so there were no particular organizations of general social significance. Then, around the time of the Japan-Korea annexation (日韓合邦), the so-called military rule of the Terauchi (寺內式) style was implemented, and along with the merciless suppression of all Chosŏn people's speech and assembly, the student movement also could not raise its head on the surface. When the March First Movement (己未運動) arose, the student movement, like the re-eruption of a volcano's crater (噴火口), became temporarily fierce, startling the public eye more than once or twice. Afterwards, stimulated by the currents of the times (시대사조), it formed organized bodies, established social connections, and began numerous activities. Now, without offering a fresh critique, we will simply provide an overview (槪容) of the student groups residing in the capital (在京學生團體) to briefly introduce them to the general public.

Chosŏn Student Scientific Research Society (朝鮮學生科學硏究會)
I. To strive for scientific research and the dissemination of scientific thought.
I. To aim for the unification of thought and mutual solidarity among Chosŏn students.
I. To strive for the realization of human-centric education and the resolution of problems currently facing Chosŏn students.
The Chosŏn Student Scientific Research Society, with the three points above as its platform (강령), first held its inaugural general meeting (發起總會) on September 27, 1925, inside the **[Cheondo]gyo Church (**敎堂) in Kahoe-dong (嘉會洞), Kyŏngsŏng. However, the police authorities, who do everything according to their own whims, suddenly ordered its dissolution (해산) on the 31st of the same month for an unjust (*塗한) reason. Thus, it faced the adversity of temporary dissolution, but as a result of the devoted efforts (盡瘁) of the executives and members initiating a movement for its cancellation (解除運動), it was allowed to revive after deleting the two characters "Chosŏn" (朝鮮). On November 4th of the same year, it held its founding general meeting (創立總會) again at the Sicheon'gyo Church (侍天敎堂) in Kyŏnji-dong (堅志洞) within the city, making its signboard known to the world. Just as its birth was fraught with problems, its progress also had many issues. When the Kyŏngsŏng Library (京城圖書館) was transferred to municipal management (府管), they passionately campaigned to manage the Chosŏn people's library purely with Chosŏn hands but failed to achieve their goal due to prohibition by the authorities (당곀­). Their plan to open summer universities (夏期大學) in major cities across the country using this summer also seems likely to be halted because many committee members and members are currently imprisoned (抱禁中) due to the June 10th Incident (6월 10일 사건). In any case, the fact that many members of this society participated in this June incident is noted by everyone. The current number of members is 509 (as of June), the office is at 98 Kyŏnji-dong, Kyŏngsŏng-bu, and the committee members are **Yang (imprisoned), Kwŏn O-ton, Kim Pok-i, Yi Sŏn-ho (imprisoned), Pak Tu-jong (imprisoned), Pak In-ja, Yu Myŏn-hŭi (imprisoned), Pak Ha-gyun, Ch'oe Sŭng-ik, Kwŏn T'ae-sŏng (imprisoned), and 9 others. The work is reportedly divided into five departments: general affairs, library, editing, investigation, and projects. <50>

Seoul Student Club (서울學生俱樂部)
The Seoul Student Club, organized by students of middle school level and above within Kyŏngsŏng, first let out its baby cry (呱呱의 聲을 發하얏다) on November 10, 1925. The purpose of the club is "to promote friendship among students and develop the three aspects of virtue, intellect, and physical education (德智體 3育)," and its activities so far are said to include holding lectures (講座) and providing aid to struggling students (苦學生). The number of members is about 80, the managers (幹事) are Ch'oe Mun-hyŏk, Nam Man-sŏng, Kim Ku-gye, Kim Ch'ang-su, Kwŏn Hyŏk, and 7 others, and its location is 18 Che-dong within the city.

Kyŏngsŏng Student League (京城學生聯盟)
Initiated on November 17, 1925, and holding its founding general meeting on the 23rd of the same month and year, the Kyŏngsŏng Student League currently boasts a membership of over 300 and is located at 39 An'guk-dong (安國洞). Organized with students of middle school level and above within Kyŏngsŏng, its platform (강령) was (1) We shall strive for mutual solidarity and connection through the spirit of mutual aid (相互扶助), (2) We shall strive for the research and dissemination of scientific thought and the self-determination (自決) of current problems, and (3) We shall strive for the necessary training to become brave vanguards (前衛) and workers (役軍) in the future society. The executive committee members are Yi Ki-yong, Yi Kyŏng, Pak Rin-sik, Yi Pong-un, Kim Chong-sŏng, * Kwan-jin, Ch'oe Sae-rok, and 10 others. Their planned projects included publishing a student movement magazine and pamphlets (팜플레트), holding monthly lectures, matters concerning support for struggling student groups (苦學生團體), etc.

Hakch'asa (學車社)
Hakch'asa, organized with a membership system of regular (普通) and supporting (贊助) members (社友), encompassing male and female students who study student issues and pay attention to the student movement, as well as supporters of mass education, was founded on January 23, 1926. It established its location at 42 Sup'yo-jŏng/chō (水標町) within the city and proclaimed its platform: "Let's build a new culture and new education centered on the masses (大衆 本位)! - A secure life only exists on a scientific foundation (科學的 土臺)! - Tomorrow's world is in the hands of students (學生의 수중)!" and its mission: "Literature, research, criticism, education research, criticism and encouragement, student problem research and resolution, student movement assistance and implementation, scientific research and dissemination of scientific thought." Among the current 121 members, Yi Kwan-hŭi, Kim Ku, Son Sŏng-yŏp, Yi Chi-p'yŏng, Pak No-su, O Hyŏn-p'al, Hong Sun-myŏng, Sŏ Chŏng-gwan, Yu Chin-gŏl, and 6 others serve as responsible members (責任社友), handling administrative affairs. They are preparing to publish the organ "Hakch'a" (學車), pamphlets, and leaflets (리프레트), but the police authorities, for some reason, have recently prohibited all assemblies.

Chosŏn Student Association (朝鮮學生會)
This Chosŏn Student Association is the successor (後身) to the former Student Congress (學生大會). Founded on May 5, 1919, it engaged in many activities until 1922, when, due to a resolution by the so-called Meeting of Kyŏngsŏng Middle School [Principals] (京城中等學校七*長會議), all middle school students were forced to withdraw. Consequently, the association inevitably had to be reorganized solely with students from professional schools (專門學校), and its name was accordingly changed to the current one. Current members encompass students from all professional schools in Kyŏngsŏng, so their number is quite large (頗多). There are three committee members selected from each school, totaling 36. The standing committee members (常務) are Pak Yŏng-wŏn and Yi Pyŏng-nip (imprisoned). Its platform and projects are similar to other student groups and offer nothing particularly distinctive. The current hall is in Kyŏnji-dong within the city.
The general situation of student groups in the capital is as described above. What warrants attention here is the Konghakhoe (共學會), founded on May 25, 1925, and forced to dissolve by order of the police authorities on October 5 of the same year. Although this society had only 63 members and its existence was short-lived, its organization was highly systematic (有氣的), attracting the authorities' attention, and most members held new ideologies and thoughts (새主義 새사상). Consequently, the clear establishment of a new planning direction for the student movement also began with this society. Due to circumstances, the introduction ends here. Furthermore, student groups with regional characteristics and religious student groups are deferred to a later date and omitted here. <51> <50-51>

**Summary**

This 1926 article from the magazine *Kaebyŏk* provides an overview of major student organizations active in Kyŏngsŏng (colonial Seoul). It details the formation, objectives, leadership, membership size, activities, and struggles faced by groups like the Chosŏn Student Scientific Research Society (later Scientific Research Society), Seoul Student Club, Kyŏngsŏng Student League, Hakch'asa, and Chosŏn Student Association. The article highlights the strong nationalist and social consciousness within these groups, their focus on scientific thought, education, mutual aid, and addressing student issues, as well as the constant surveillance, suppression (including forced dissolution and arrests of members, particularly related to the June 10th Incident), and interference by Japanese colonial police authorities. For historians, the article is valuable as a primary source documenting the landscape of organized student activism in colonial Korea during the mid-1920s. It reveals the students' resilience, ideological leanings (mentioning "new ideologies"), organizational structures, specific activities (like planning summer universities or aiding poor students), and the significant role they played in nationalist and social movements, despite heavy-handed colonial control exemplified by censorship, forced name changes, and arrests. The mention of the short-lived but influential Konghakhoe indicates the authorities' sensitivity to ideologically driven student groups.

**Named Entities**

光武時代	광무시대	Kwangmu era
日韓合邦	일한합방	Japan-Korea Annexation
寺內式	데라우치식	Terauchi style
己未運動	기미운동	March First Movement
朝鮮學生科學硏究會	조선학생과학연구회	Chosŏn Student Scientific Research Society
京城	경성	Kyŏngsŏng
嘉會洞	가회동	Kahoe-dong
**敎堂	**교당	**[Cheondo]gyo Church (likely 천도교당)
堅志洞	견지동	Kyŏnji-dong
侍天敎堂	시천교당	Sich'ŏn'gyo Church
朝鮮	조선	Chosŏn
京城圖書館	경성도서관	Kyŏngsŏng Library
6월 10일 사건	6월 10일 사건	June 10th Incident
**陽	**양	**Yang (Given name likely obscured)
權五敦	권오돈	Kwŏn O-ton
金福伊	김복이	Kim Pok-i
李先鎬	이선호	Yi Sŏn-ho
朴斗鍾	박두종	Pak Tu-jong
朴仁子	박인자	Pak In-ja
柳冕熙	유면희	Yu Myŏn-hŭi
朴河鈞	박하균	Pak Ha-gyun
崔承翼	최승익	Ch'oe Sŭng-ik
權泰晟	권태성	Kwŏn T'ae-sŏng
서울學生俱樂部	서울학생구락부	Seoul Student Club
崔文革	최문혁	Ch'oe Mun-hyŏk
南晩星	남만성	Nam Man-sŏng
金龜溪	김구계	Kim Ku-gye
金昌洙	김창수	Kim Ch'ang-su
權赫	권혁	Kwŏn Hyŏk
齊洞	제동	Che-dong
京城學生聯盟	경성학생연맹	Kyŏngsŏng Student League
安國洞	안국동	An'guk-dong
李起龍	이기룡	Yi Ki-yong
李景	이경	Yi Kyŏng
朴燐式	박린식	Pak Rin-sik
李奉運	이봉운	Yi Pong-un
金鍾聲	김종성	Kim Chong-sŏng
*寬珍	*관진	* Kwan-jin (Family name likely obscured)
崔灑落	최쇄락	Ch'oe Sae-rok
學車社	학차사	Hakch'asa
水標町	수표정	Sup'yo-jŏng / Sup'yo-chō
李觀熙	이관희	Yi Kwan-hŭi
金鳩	김구	Kim Ku
孫盛燁	손성엽	Son Sŏng-yŏp
李之平	이지평	Yi Chi-p'yŏng
朴魯洙	박노수	Pak No-su
吳鉉八	오현팔	O Hyŏn-p'al
洪淳明	홍순명	Hong Sun-myŏng
徐廷觀	서정관	Sŏ Chŏng-gwan
柳震杰	유진걸	Yu Chin-gŏl
學車	학차	Hakch'a (Magazine name)
朝鮮學生會	조선학생회	Chosŏn Student Association
學生大會	학생대회	Student Congress
京城中等學校七*長會議	경성중등학교교장회의	Meeting of Kyŏngsŏng Middle School Principals (inference)
朴榮遠	박영원	Pak Yŏng-wŏn
李柄立	이병립	Yi Pyŏng-nip
共學會	공학회	Konghakhoe

**Glossary**

닐어나기	일어나기	To arise, to occur (older spelling of 일어나기)
하얏다	하였다	Did, had done (older spelling/form of 하였다)
限局	한정	Limitation, confinement
敦睦	돈목	Friendship, amity
日韓合邦	일한합방	Japan-Korea Annexation Treaty (1910)
際하야	즈음하여	Around the time of, on the occasion of (older form/usage)
寺內式	데라우치식	Terauchi style (referring to Terauchi Masatake's administration)
무단정치	무단정치	Military rule
언론집회	언론집회	Speech and assembly
압박	압박	Pressure, oppression
표면상	표면상	On the surface
치 못하게	떨치지 못하게	To be unable to raise/show (inferred missing verb 떨치다)
닐어나자	일어나자	As soon as it arose (older spelling)
噴火口	분화구	Volcano crater
再燃	재연	Rekindling, re-eruption
如히	같이	Like, as (older form using 히 instead of 이/같이)
격렬	격렬	Fierce, intense
聳動	용동	To startle, shock, stir up
시대사조	시대사조	Currents of the times, zeitgeist
자극	자극	Stimulus, stimulation
조직적 기관	조직적 기관	Organized body/institution
개시	개시	Beginning, commencement
논평치	논평하지	To not comment/critique (contraction/older form)
在京	재경	Residing in the capital (Kyŏngsŏng/Seoul)
槪容	개용	Overview, general condition
擧하야	들어	To raise, list, give (as an example) (older form)
강령	강령	Platform, guiding principles
期함	기함	To aim for, strive for
圖함	도함	To seek, plan, aim for
發起總會	발기총회	Inaugural general meeting
경찰 당국	경찰 당국	Police authorities
해산	해산	Dissolution, disbandment
역경	역경	Adversity, hardship
盡瘁	진췌	Devoted effort, exertion
解除運動	해제운동	Movement for cancellation/lifting (of the dissolution order)
부활케	부활하게	To be revived, resurrected (older causative form)
創立總會	창립총회	Founding general meeting
産出	산출	Production, birth (here referring to its founding)
多端	다단	Numerous, manifold (problems)
京城圖書館	경성도서관	Kyŏngsŏng Library
府管	부관	Municipal management
순조선인	순조선인	Purely Chosŏn people
경영하랴고	경영하려고	Intending to manage (older spelling/form)
열중 운동	열중 운동	Passionate campaign/movement
금지	금지	Prohibition, ban
夏期大學	하기대학	Summer university
위원	위원	Committee member
抱禁中	포금중	Currently imprisoned/detained
중지	중지	Stoppage, halt
至할 것 갓다	이르것 같다	Seems likely to reach (the point of) (older forms/spelling)
주목	주목	Attention, notice
사무소	사무소	Office
俱樂部	구락부	Club (Sino-Korean reading of Japanese kurabu クラブ)
중등 이상	중등 이상	Middle school level or higher
呱呱의 聲을 發하얏다	고고의 성을 발하였다	Let out its first cry (like a baby), i.e., was founded (literary expression)
德智體 3育	덕지체 삼육	Virtue, Intellect, Physical Education (three aspects of education)
계발	계발	Development, enlightenment
講座	강좌	Lecture course, seminar
苦學生	고학생	Struggling student (working their way through school)
援助	원조	Aid, assistance
幹事	간사	Manager, secretary, executive staff
聯盟	연맹	League, federation
我等	아등	We, us (older/formal pronoun)
相互扶助	상호부조	Mutual aid/assistance
互相團結	호상단결	Mutual solidarity
당면문제	당면문제	Current problems, pressing issues
自決	자결	Self-determination
未來社會	미래사회	Future society
前衛	전위	Vanguard
役軍	역군	Worker, laborer (here metaphorical, like 'soldiers' of the cause)
훈련	훈련	Training, drill
집행위원	집행위원	Executive committee member
팜플레트	팜플렛	Pamphlet
應援	응원	Support, backing
學車社	학차사	Hakch'asa (name of the society)
밋	및	And, as well as (older spelling of 및)
유지	유지	Supporter, person of like mind
망라	망라	To encompass, include all
普通	보통	Ordinary, regular (member)
贊助	찬조	Supporting (member), sponsorship
社友制	사우제	Membership system
水標町	수표정	Sup'yo-jŏng (Korean reading) / Sup'yo-chō (Japanese reading) (place name)
大衆 本位	대중 본위	Mass-centric, centered on the masses
新文藝	신문예	New literature and arts
新敎育	신교육	New education
安全	안전	Safety, security
科學的 土臺	과학적 토대	Scientific foundation/basis
明日 세상	명일 세상	Tomorrow's world
學生의 수중	학생의 수중	In the hands of students
責任社友	책임사우	Responsible member (likely executive/leading member)
機關紙	기관지	Organ (official publication of an organization)
리프레트	리플렛	Leaflet
警察當局	경찰당국	Police authorities
後身	후신	Successor body, later form
專門學校	전문학교	Professional school, college (colonial era higher education institution below university)
頗多	파다	Quite numerous, many
每校	매교	Each school
三人式	삼인식	Three persons each (older usage of 式)
常務	상무	Standing committee member(s), executive(s)
共學會	공학회	Konghakhoe (name of the society)
會員	회원	Member
運命	운명	Fate, destiny
當局	당국	The authorities
注意	주의	Attention, caution
組織	조직	Organization, structure
有氣的	유기적	Systematic, organic (here implies well-structured, potentially 'spirited' or effective)
새主義	새주의	New ideology/principle
새思想	새사상	New thought/ideology
計劃線	계획선	Planning line, direction of plans
始하얏다	시작하였다	Began, started (older form)
事情	사정	Circumstances, situation
地方的 色彩	지방적 색채	Regional characteristics/color
宗教的	종교적	Religious
後日	후일	A later day, the future
讓하고	양하고	To yield, defer, postpone
略한다	략한다	To omit, abbreviate
-e 

---------------------------


