Magazine Title	동광 제35호
Publication Date	1932년 07월 03일
Article Title	한글學의 先驅 周時經 先生 (Pioneer of Hangeul Studies, Mr. Ju Sigyŏng)
Author	金善琪
Article Type	논설 (Editorial/Essay)

Pioneer of Hangeul Studies, Mr. Ju Sigyŏng
						Kim Sŏn'gi

Mr. Ju Sigyŏng

A Word Before Starting
Mr. Ju Sigyŏng is an elder who will shine eternally in Korean history. However, his true value has not yet been revealed. A proper biography that ought to exist has not yet emerged. Therefore, I have long intended to clarify his position in the history of Korean linguistics, along with his biography.
However, I could not find the time to realize this intention, and suddenly, the 18th anniversary of his passing has arrived.

Childhood Years
The Master was a descendant of the famously fearsome Chief State Councilor Ju Se-bung (周政丞世鵬). On the 7th day of the 11th month of the Pyŏngja year (1876), in the land of Muryŏng, Chŏnsanbang, Pongsan County, Hwanghae Province, he cried out his first powerful sound. His father was Myŏn-sŏk (冕錫), and his mother was Lady Yi (李氏夫人). Born the second of four brothers, he was later adopted out (出繼) to his paternal uncle (仲父), Myŏn-jin (冕鎭).
After his birth, milk was scarce, and that year and the following Chŏngch'uk year were terribly lean years. Even the thin gruel (암죽) the young Master ate was not available for every meal, and three times he lost consciousness (氣盡) before barely reviving. This shows that Heaven sends trials even from the very beginning when bringing forth a great person.
At the age of six, he began studying classical Chinese at home, continuing until twelve. At thirteen, he was brought to live (率養) at his adoptive father's house in Seoul. Again, at thirteen, he went to a teacher and studied classical Chinese until seventeen. It seems the Master did not only study classical Chinese around the age of seventeen; in his book *Kugŏ Munpŏp Ŭmhag* (國語文典音學, Grammar and Phonology of the National Language) (page 34), it is seen that he understood the English alphabet at seventeen.
It was spring when he turned eight. The Master was playing outside the gate with neighborhood children when he suddenly saw the Tŏllŏng Peak (덜렁峰) to the south touching the sky. The thought of touching the sky occurred to him, and he set off with the neighborhood children to climb the mountain (뫼). While the other children got absorbed in picking wildflowers halfway up the mountain, completely forgetting the idea of touching the sky, the Master alone braved the difficult climb and finally reached the summit.
Upon reaching the top, he found the sky was still endlessly far away. Looking down, the houses were far below. Only then did he realize that the sky is truly boundless and limitless, and that appearing high <50> or low is merely an illusion of the eyes. He then joyfully ran back down.
From this, we can infer that the spirit of inquiry (究理心) burned within the Master even from a young age.

Youthful Years
At the age of eighteen, one year before the Kabo Reforms (甲午更張), he had a great awakening regarding the times. He studied mathematics, domestic and foreign geography, history, and other so-called new learning (新學問) from Paejae Haktang (培材學堂) teachers Pak Se-yang (朴世陽), Chŏng In-dŏk (鄭寅德), and several others. From this time, a strange new world began to appear in the Master's mind, like mountains and rivers becoming visible as the fog lifts.
The following year was the Kabo year (甲午年). After spending some time back in the countryside, the Sino-Japanese War broke out in the 5th month. Seeing the rapidly changing situation, he thoroughly realized that it was not a time for youth to retreat and shrink back, but a time to advance, understand the new era, and cultivate new knowledge. He resolutely came up to Seoul and entered Paejae Haktang (培材學堂).
While studying at the Haktang, he was as heavy as a mountain and spoke little, yet his sharpness was revealed. His unusually deep concern for the times and his keen spirit (氣槪) to move forward set him apart from the crowd, and he earned great respect (推重) among his peers.
However, even during this period of study, his life was by no means smooth. Sometimes he worked as a hired hand (雇傭사리), sometimes as a printing worker (인쇄직공), and struggling with tuition fees, he endured unimaginable hardships (難苦). Yet, he gladly accepted all tribulations (千辛萬苦), strengthened his resolve (砥勵), and pursued his studies. There was no one who did not admire (嘆賞) him.
The Master set his mind on studying Hangeul around the age of seventeen. At that time, while learning classical Chinese from Yi Hoe-jong (李會鍾), a Chinsa (進士), he saw that explaining the meaning of the text was always done in our language. He reasoned internally that writing is simply recording speech, and if the method of recording, the symbols (符號), were as difficult as Chinese characters, acquiring knowledge would be exceedingly difficult. But if done with our script, it would be much more efficient (事半功倍). Considering that the Master had learned English, when he realized our script was alphabetic like English, he must have seen a strange light in his mind. I suspect this light ultimately led the Master to possess the great spirit for Korean language research.
From this time, the Master began researching our script and language. The more he researched, the more he realized the wondrousness (靈妙) of our script and the beauty of our language. Like someone who discovered jewels, he forgot everything else day and night, dedicating himself to cutting, polishing, grinding, and shining this treasure.
His life (生涯) was certainly not simple. He learned seamanship (航海業), studied surveying (測量術), worked as a factory hand (공장직공), became an errand boy in a shop (商廛), worked as a newspaper reporter (신문記者), became an educator (교육가), and even participated in political movements for a time. Despite the many twists and turns (曲折波浪) in his life, his sincerity (誠心) and effort in researching the Korean language never ceased for a moment. Before the Master's Korean language research, nothing else mattered. Neither poverty (困窮) nor impossibility existed.
The Master found his greatest pleasure in dedicating his entire life (全생명) to Korean language research. Therefore, since his awakening, he truly forgot sleep and food (癈寢忘食), spending twenty years as if they were a single day.
Let me briefly list his activities for the research and dissemination of the Korean language.
While studying at Paejae Haktang (培材學堂), he organized the Hyŏpsŏnghoe (協成會) with fellow students. While working at the *Tongnip Sinmun* (독립신문사), he managed the Kukmun Tongshikhoe (國文同式會) with colleagues. When the Ch'ŏngnyŏn Hagwŏn (청년학원) was established in Sangdong (尙洞), he had a National Language Grammar course specially created. Having acquaintances at the Medical School (醫學校) at the time, he established a National Language Research Institute (국어연구소) within it. He founded night schools (夜學) and Sunday lecture centers (日曜강습소). When the National Script Research Institute (국문연구소) was established within the Ministry of Education (學部), he became its central figure. When a Korean Language Research Society (韓語연구회) was established among foreigners, he became the standard for debates (辯難). He pushed for Korean language courses to be taught in public and private schools and took it upon himself to nurture the roots of this movement. When the Chosŏn Kwangmunhoe (朝鮮光文會) was established, he dedicated himself to correcting documents related to the Korean language and script (朝鮮言文) and guiding dictionary compilation (辭典編纂). To make the research of half his life <51> a foundational movement, he founded the Chosŏnŏ Kangseupwŏn (朝鮮語講習院), gathered talented individuals (英俊), and devoted himself to teaching.
Thus, fighting tooth and nail (血眼奮鬪) alone for twenty years for the research and dissemination of the Korean language, he eventually fell ill from this effort and offered his pioneering life on July 27th of the Kabin year (1914). The profound sorrow (悲痛) of society at that time can be well understood by looking at the *Maeil Sinbo* (每日申報) of that day. *Maeil Sinbo* No. 2644, Friday, July 29th:
"Misfortune in the Korean Linguistics World: The sudden passing of Mr. Ju Sigyŏng, the paramount figure (覇王) in the Korean research field, on the 27th was briefly reported yesterday. Upon receiving this news, I visited his main residence (本邸) in Naesusadong, West Kyŏngsŏng (京城西部內需司). The atmosphere (風色) of the household was extremely bleak. Four or five students (書生) were busy preparing for the funeral in the main hall (大廳). The widow (未亡人) and orphaned children (遺孤子女) were all suppressing their mournful tears (哀淚) while sewing the burial clothes (送終衣). One could guess the daily impoverished life of the scholar. I conveyed condolences to the widow through a student. The wife (夫人), her face full of tear marks (淚痕), said, 'My husband's sudden passing is entirely the result of his daily exertions in the educational field. His burden was truly heavy, but he disregarded his personal hardship (苦勞) and never rested for a moment. For several years, his body had become noticeably weaker, and finally, he succumbed to a serious illness, and medicine (藥石) proved ineffective (其效를 奏치 못한 것이야요),' she choked up (鳴咽) and could not form words. 'Moreover, he always left home around 7 AM, taught rotatingly at various schools, and barely returned home around 6 or 7 PM, only to immediately immerse himself in Korean language and other research without a moment's rest. There are five children; the eldest daughter is 16 this year and graduated from Sukmyŏng Girls' School (淑明여학교). The other four siblings are still quite young (幼沖), and especially the 3-year-old infant (襁褓) is pitiable (惻隱). On a meager income, the family barely managed (僅僅히 경과하노라). There are no savings (幾何의 저축도 無하와), and we are helpless (속수무책) regarding the funeral expenses (初終凡節) with our family resources. However, thanks to the loving care (愛顧) of the educational community and my husband's acquaintances (親知諸氏), we will manage a modest funeral (薄敎). Our gratitude is truly difficult to express in words (形言키 難하오이다).' How could Mr. Ju, lying quietly in the next room (越房), depart for the distant road to the Yellow Springs (黃泉) without fully accomplishing his life's great work (一生大業) and without thought for his family's sad fate (悲運)? It makes the observer unable to suppress tears of sympathy (一掬의 同情淚를 難禁이러라).
Furthermore, I visited Mr. Pak Chung-hwa (朴重華), head of Hwimun Ŭisuk (徽文義熟長), who had a close relationship (契分이 敦厚하던) with Mr. Ju. Mr. Pak solemnly straightened his collar (襟을 正하고), tears welling in his eyes (兩眼에 淚를 凝하며), and said, 'My acquaintance with Mr. Ju spans about 10 years now. Our thoughts aligned considerably in public and private matters, and we had promised to join hands (携手同進) in our endeavors. Now, to suddenly bid him eternal farewell (永別) to the netherworld (九泉) fills me with a sorrow (痛惜의 情) truly hard to express (形言키 難하오). His nature (天性) was gentle and peaceful, yet the power of his research thought was strong. Especially, he dedicated himself (其一身을...獻하야) to Korean language research several decades ago, and until today, for a long time, he never changed his determination (基志) for even a moment, consistent from beginning to end (始終이 一日과 如하야). He brought great light (廣히 其光이 有케 하얏고) to the disordered and ruleless (無修理 無규칙한) Korean language. Also, he was good at living contentedly in poverty (安貧을 善히 하아). Though his large family managed on a small income, he never showed the slightest sign of hardship (小毫도 困窮한 색을 現치 아니하며). When others faced hardship and suffering (患難疾苦), he took the lead in helping (率先救助하며). In dealing with people (人接物), he was like a mass of spring breeze (混然히 一團春風이라). To give a concrete example (實例), the number of his students currently in various academic fields reaches several thousand, but all look up to him like a father or older brother (父兄과 如히 仰慕하야), and there is not a single person who does not respect and love him (親敬치 아니하는 者가 無함). From this, one can know his character. In short, his mind (두뇌) was broad and open (恢恢然하야), without any obstruction (一物의 碍滯가 無하고). But his lifelong thought and hope lay entirely in pioneering the future (前途를 개척하며) of the general youth and reversing the declining fortunes (衰運을 만회함) of the Korean language. He was able to forget food and sleep for this (此에 忘會廢寢하야), working diligently without stopping (孜孜不己하얏으며). His way of dealing with the world (處世의 방법) was to hold firmly to the middle path (中道에 善執하야): he liked the new but did not lean towards lightness (輕에 偏치 아니하며); he preserved the old but was not stubborn (固치 아니하고). He toured numerous schools to teach, and his number of teaching hours per week (1주간 敎授시간 數) exceeded that of a student's timetable, yet he never missed a single day (曾히 一日의 결석이 無하며). He never used vehicles (車馬를 不用하고) for commuting, braving wind, snow, rain, and dampness (風雪雨濕을 冒하며), carrying a huge bundle of books (거대한 冊褓를 狹하고) and traveling on foot (徒步來往). He even earned the nickname 'Ju Pottŭngi' (周보퉁이, Ju Bundle). Now, Heaven (皇天) did not help the benevolent (仁을 不助하야), and he has suddenly left this world (奄然히 此世를 去하니) in the prime of his life at 39. I feel as if I have lost one of my arms (余의 一臂를 失한 듯 하오). Regarding the aid for his pitiful surviving family (其 가련한 遺族의 救助), we are currently discussing it, <52> but considering his usual life (彼의 평일을 恐하면), it seems likely that a good support plan will be established.'
I also visited Mr. Ch'oe Nam-sŏn (崔南善), a friend of Mr. Ju who had maintained a close relationship (交誼가 頗密하던) with him over the years. Mr. Ch'oe was also impassioned and sorrowful (慷慨悽悽하야):
'The Master's passing today is a great loss both publicly and privately (公私間 其失이 多大하오). Not just a loss, but truly a major blow (大타격을 被하얏다 하겟소). Just as the results of the Master's decades of painstaking effort (數十年 苦心참담한 결과) were about to be revealed (顯露될 好機를 際하야), he met such a tragic end (悲境에 陷하니). One can only lament the unpredictability of life (인생의 數奇를 恨할 뿐이오). The Master's legacy (遺跡) includes the two books, *Chosŏnŏ Munpŏp* (朝鮮語 文典, Korean Grammar) and *Marŭi Sori* (말의 소리, The Sound of Speech), which are the crystallization (結晶) of his over 20 years of research. His surviving work (遺業) is the Korean Language Research Institute (朝鮮語 연구소). Regardless of how busy he was, he devoted himself earnestly (열심從事하야) and produced graduates. Now, if we succeed his legacy (先生님의 遺業을 繼하야) and maintain this institute, perhaps the Master's work will not be lost (實手치 아니하겟고). Since last year, the Master and like-minded people (有志) were preparing to undertake a major writing project (大著作에 착수하기를 준비하다가), but suddenly we lost the central figure (中心人物을 失하얏은 즉). It is difficult to predict (預言키 難하고) what will happen in the future. Regarding the support for his surviving family (其 遺族救護), this is our responsibility (責任이오) and duty (의무라). If we do not teach this (此를 敎치 아니하면), who in this world would dedicate themselves (一身을 獻하야) to public service (公公에 從事할 者가 有하오리까)?'
(Postscript) Originally intended only as a brief biography.
I intended to cover: 1. The Master's position in the history of Korean linguistics. 1. The Master's personality and achievements. 1. A critique of the Master's writings, etc., but due to space and time constraints, I lay down my pen (붓을 던지니) here with only the brief biography. I ask for the readers' understanding. (From Sŏngbuk-tong) <53>
<50-53>

**Summary**

This 1932 article by Kim Sŏn'gi eulogizes Ju Sigyŏng, a pioneering scholar of the Korean language (Hangeul), 18 years after his death in 1914. It recounts his modest origins, early intellectual curiosity, embrace of "new learning," and his pivotal decision around age 17 to dedicate his life to studying and promoting the Korean script and language, recognizing its potential efficiency compared to classical Chinese. Despite enduring significant poverty and hardship, working various jobs, Ju relentlessly pursued his linguistic research, established numerous organizations (like the Kukmun Tongshikhoe, Chosŏnŏ Kangseupwŏn), taught widely, and became a central figure in standardizing and advocating for Korean language education. The article includes moving contemporary accounts from the *Maeil Sinbo* newspaper detailing the grief at his premature death at 39, highlighting his dedication, poverty, gentle character, and the immense respect he commanded, along with testimonies from colleagues Pak Chung-hwa and Ch'oe Nam-sŏn lamenting the loss and vowing to continue his work and support his family.

From a historical perspective, the article is significant as it reflects the burgeoning linguistic nationalism and cultural consciousness among Korean intellectuals during the Japanese colonial period. Ju Sigyŏng's efforts to systematize and promote Hangeul were implicitly acts of cultural resistance against assimilation policies. The emphasis on his poverty, hard work ("Ju Pottŭngi"), and dedication paints him as a national hero sacrificing for the Korean language, a potent symbol for a colonized people. The inclusion of prominent figures like Ch'oe Nam-sŏn and Pak Chung-hwa underscores the intellectual network dedicated to preserving Korean identity through language study. Historians might find the contemporary newspaper excerpts and personal testimonies particularly valuable for understanding the social impact of Ju's work and the atmosphere among Korean intellectuals grappling with cultural preservation under colonial rule.

**Named Entities**

周時經	주시경	Ju Sigyŏng
金善琪	김선기	Kim Sŏn'gi
朝鮮	조선	Chosŏn (Korea)
周政丞世鵬	주정승세붕	Ju Chŏngsŭng Sebung
黃海道	황해도	Hwanghae Province (Hwanghae-do)
鳳山郡	봉산군	Pongsan County (Pongsan-gun)
錢山坊茂陵	전산방무릉	Chŏnsanbang Muryŏng
冕錫	면석	Myŏn-sŏk (Ju Sigyŏng's father)
李氏夫人	이씨부인	Lady Yi (Ju Sigyŏng's mother)
冕鎭	면진	Myŏn-jin (Ju Sigyŏng's uncle/adoptive father)
서울	서울	Seoul
培材學堂	배재학당	Paejae Haktang
朴世陽	박세양	Pak Se-yang
鄭寅德	정인덕	Chŏng In-dŏk
日淸戰爭	일청전쟁	Sino-Japanese War
李會鍾	이회종	Yi Hoe-jong
協成會	협성회	Hyŏpsŏnghoe
독립신문사	독립신문사	Tongnip Sinmunsa (Independence Newspaper Company)
國文同式會	국문동식회	Kukmun Tongshikhoe
尙洞	상동	Sangdong (Place name, likely in Seoul)
청년학원	청년학원	Ch'ŏngnyŏn Hagwŏn (Youth Academy)
醫學校	의학교	Ŭihakkyo (Medical School)
국어연구소	국어연구소	Kugŏ Yŏn'guso (National Language Research Institute)
學部	학부	Hakpu (Ministry of Education)
국문연구소	국문연구소	Kungmun Yŏn'guso (National Script Research Institute)
韓語연구회	한어연구회	Hanŏ Yŏn'guhoe (Korean Language Research Society)
朝鮮光文會	조선광문회	Chosŏn Kwangmunhoe
朝鮮語講習院	조선어강습원	Chosŏnŏ Kangseupwŏn (Korean Language Lecture Institute)
每日申報	매일신보	Maeil Sinbo (Newspaper name)
京城	경성	Kyŏngsŏng (Colonial name for Seoul)
西部內需司	서부내수사	Sŏbu Naesusadong (Area in Seoul)
淑明여학교	숙명여학교	Sukmyŏng Yŏhakkyo (Sukmyŏng Girls' School)
徽文義熟	휘문의숙	Hwimun Ŭisuk (School name)
朴重華	박중화	Pak Chung-hwa
崔南善	최남선	Ch'oe Nam-sŏn
城北洞	성북동	Sŏngbuk-tong (District in Seoul)

**Glossary**

先驅	선구	Pioneer
어른	어른	Elder, respected person (used deferentially for Ju Sigyŏng)
맛당히	마땅히	Properly, fittingly (older spelling)
傳記	전기	Biography
아울러	아울러	Along with, together with
겨를	겨를	Leisure time, opportunity
여이신지	여의신지	Since passing away (honorific form of 여의다, older form)
朞年	기년	Anniversary (of a death)
後裔	후예	Descendant
으아	으아	Sound of a baby's first cry (onomatopoeia)
出繼	출계	To be adopted out (specifically to a relative to continue their line)
암죽	암죽	Thin rice gruel, often for babies or the sick
氣盡	기진	To lose consciousness, be utterly exhausted
偉人	위인	Great person
生初	생초	Beginning of life, birth
시련	시련	Trial, ordeal
率養	솔양	To be brought to live with and be raised by (often adoptive parents)
漢學	한학	Classical Chinese studies
英文	영문	English writing, English language
子母	자모	Letters of an alphabet (lit. consonants and vowels)
더부러	더불어	Together with (older form/dialect)
뫼	뫼	Mountain (archaic word, now 산)
산꼭다기	산꼭대기	Mountain summit (older form)
究理心	구리심	Spirit of inquiry, desire to investigate principles
更張	경장	Reform, renovation (often refers to Kabo Reforms)
時運	시운	The times, current trends
數理	수리	Mathematics
內外地理	내외지리	Domestic and foreign geography
新學問	신학문	New learning (referring to Western subjects vs. traditional Hanja studies)
時勢	시세	Current situation, state of affairs
退嬰萎縮	퇴영위축	To retreat and shrink back
奮然히	분연히	Resolutely, determinedly
修學	수학	To study, pursue learning
氣槪	기개	Spirit, mettle, strong disposition
推重	추중	High respect, esteem
雇傭사리	고용살이	Life as a hired hand, wage labor
인쇄직공	인쇄직공	Printing worker
難苦	난고	Hardship, suffering
欣然히	흔연히	Gladly, cheerfully
千辛萬苦	천신만고	Innumerable hardships (idiom)
砥勵	지려	To encourage, strengthen resolve
글뜻	글뜻	Meaning of the text
푸리할 제마다	풀이할 때마다	Every time explaining/interpreting (older verb form/spelling)
符號	부호	Symbol, sign
事半功倍	사반공배	To achieve twice the result with half the effort (idiom)
알파베트式	알파벳식	Alphabetic style
靈妙	영묘	Wondrous, miraculous, ingenious
生涯	생애	Lifetime, career
航海業	항해업	Seamanship, maritime business
測量術	측량술	Surveying technique
공장직공	공장직공	Factory worker
商廛	상전	Shop, store
曲折波浪	곡절파랑	Twists and turns, ups and downs (lit. bends and waves)
誠心	성심	Sincerity, wholeheartedness
全생명	전생명	Entire life
癈寢忘食	폐침망식	To neglect sleep and forget food (due to dedication to something) (idiom)
同門生	동문생	Fellow student(s)
國語文法科	국어문법과	National Language Grammar Course
特設	특설	Specially established
親知	친지	Acquaintance, close friend
夜學	야학	Night school
日曜강습소	일요강습소	Sunday lecture center/school
中樞	중추	Pivot, center, nucleus
辯難	변난	Debate, argument (often formal)
自擔	자담	To take upon oneself, shoulder (responsibility)
朝鮮言文	조선언문	Korean language and script (older term often distinguishing vernacular script from Hanja)
文書校正	문서교정	Document correction/proofreading
辭典編纂	사전편찬	Dictionary compilation
半生	반생	Half a lifetime
根底	근저	Foundation, basis
英俊	영준	Talented person, brilliant youth
單身	단신	Alone, single-handedly
血眼奮鬪	혈안분투	To fight desperately, tooth and nail (lit. bloodshot eyes struggle)
因하야	인하여	Due to, because of (older spelling)
甲寅	갑인	Kabin year (1914 in the sexagenary cycle)
悲痛	비통	Deep sorrow, grief
覇王	패왕	Supreme ruler, hegemon (used metaphorically for Ju's dominance in the field)
畧記	약기	Briefly noted/recorded
此報	차보	This report/news
本邸	본저	Main residence
風色	풍색	Atmosphere, appearance (of a place or situation)
書生	서생	Student (often one studying classics or living with a teacher)
大廳	대청	Main hall or large wooden-floored room in a traditional house
葬禮	장례	Funeral
忙殺	망쇄	Extremely busy (older term)
未亡人	미망인	Widow
遺孤子女	유고자녀	Orphaned children
哀淚	애루	Mournful tears
送終衣	송종의	Burial clothes
窮貧	궁빈	Impoverished, poor
吊意	조의	Condolences
淚痕	누흔	Tear marks
滿面	만면	All over the face
家夫	가부	My husband (humble term used by wife)
奔走	분주	To be busy, hustle about
殆重	태중	Extremely heavy/serious
苦勞	고로	Hardship, toil
顯著히	현저히	Noticeably, markedly
心竟	심경	Finally, in the end
陷하야	함하여	Falling into (a state, like illness) (older spelling)
藥石	약석	Medicine and acupuncture needles (metaphor for medical treatment)
其效를 奏치 못하다	기효를 주치 못하다	To prove ineffective (lit. not achieve its effect)
鳴咽	명열	To choke up, sob
姑히	고히	Still, yet (often implying 'unfortunately still')
幼沖	유충	Very young, immature
襁褓	강보	Swaddling clothes, infant
惻隱	측은	Pitiable, pathetic
略少	약소	Meager, small in amount
僅僅히	근근히	Barely, narrowly
경과하노라	경과하노라	Managed to get by (narrative ending)
幾何	기하	How much? (here implying 'any significant amount')
저축	저축	Savings
無하와	무하여	Being non-existent (older connective form)
初終凡節	초종범절	All the funeral rites from beginning to end
家力	가력	Family resources/means
속수무책	속수무책	Helpless, having no way out (idiom)
諸氏	제씨	Messrs., various sirs/people (plural honorific)
愛顧	애고	Loving care, patronage
薄敎	박교	Modest funeral/rites (humble term)
形言키 難하오이다	형언키 난하오이다	Difficult to express in words (polite, slightly older form)
越房	월방	Next room
一生大業	일생대업	Life's great work/undertaking
悲運	비운	Sad fate, misfortune
黃泉	황천	Yellow Springs (the underworld, land of the dead)
一掬	일국	One scoop (of tears, implying many tears)
同情淚	동정루	Tears of sympathy
難禁	난금	Difficult to suppress/hold back
契分	계분	Bond of friendship, close relationship
敦厚	돈후	Sincere, cordial, close (of relationship)
徽文義熟長	휘문의숙장	Headmaster of Hwimun Ŭisuk
槪然히	개연히	Solemnly, with deep emotion
襟	금	Collar of a garment
凝하며	응하며	Gathering, welling up (tears)
于今	우금	Up to now, currently (formal/older term)
頗히	파히	Quite, considerably
意思	의사	Thought, intention
携手同進	휴수동진	To join hands and advance together (idiom)
九泉	구천	Nine Springs (another term for the underworld)
永別	영별	Eternal farewell, final parting
痛惜	통석	Deep regret, lamentation
天性	천성	Natural disposition, innate character
其一身	기일신	His own self/body
獻하야	헌하여	Dedicating, offering (older spelling)
基志	기지	His determination/will (基 used for 其)
始終	시종	Beginning and end (implying consistency)
如하야	여하여	Being like (older spelling)
無修理 無규칙	무수리 무규칙	Disordered and ruleless (修理 can mean order/arrangement here)
廣히	광히	Widely, broadly
其光	기광	Its light/radiance
有케 하얏고	있게 하였고	Made it have/exist (older causative form)
安貧	안빈	Contentment in poverty
善히 하아	선히 하여	To do well, be good at (older spelling)
多率	다솔	Large family/dependents
小毫	소호	Slightest bit, tiny amount (lit. small hair)
現치 아니하며	현치 아니하며	Does not show/reveal (older negative form)
患難疾苦	환난질고	Hardships, suffering, and illness
率先救助	솔선구조	To take the lead in rescuing/helping
人接物	인접물	Dealing with people and things, social interaction
混然히	혼연히	Completely, harmoniously
一團春風	일단춘풍	A mass of spring breeze (metaphor for pleasant/harmonious nature)
實例	실례	Concrete example
仰慕	앙모	To look up to, admire greatly
親敬	친경	To love and respect
두뇌	두뇌	Brain, mind, intellect
恢恢然	회회연	Broad-minded, vast, open
碍滯	애체	Obstruction, hindrance
前途	전도	Future path, prospects
衰運	쇠운	Declining fortune/fate
만회함	만회함	Recovering, reversing (a decline)
此에	차에	For this, regarding this
忘會廢寢	망회폐침	Forget food and neglect sleep (variant of 廢寢忘食)
孜孜不己	자자불기	Diligently without stopping
處世	처세	Conducting oneself in the world, dealing with life
中道	중도	Middle path, moderation
輕	경	Lightness, frivolity
偏치 아니하며	편치 아니하며	Does not lean towards, is not biased (older negative form)
固치 아니하고	굳치 아니하고	Is not stubborn/rigid (older negative form)
巡廻敎授	순회교수	To tour and teach, circuit teaching
猶多하나	유다하나	Is even more numerous, but... (猶 = still, even)
曾히	증히	Ever, (not) once (used with negative)
車馬	차마	Vehicles and horses (meaning transportation)
不用하고	불용하고	Does not use
風雪雨濕	풍설우습	Wind, snow, rain, and dampness
冒하며	모하며	Braving, defying
거대한	거대한	Huge, massive
冊褓	책보	Bundle of books wrapped in cloth (bojagi)
狹하고	협하고	Carrying under the arm (夾)
徒步來往	도보내왕	To come and go on foot
周보퉁이	주보퉁이	Ju Pottŭngi (Ju Bundle - nickname)
皇天	황천	August Heaven
仁	인	Benevolence, the benevolent person
不助	부조	Does not help
壯年	장년	Prime of life (manhood)
奄然히	엄연히	Suddenly (often of death)
此世	차세	This world
余	여	I, me (formal, used by Pak Chung-hwa)
一臂	일비	One arm (metaphor for essential support/person)
遺族	유족	Surviving family
救助	구조	Aid, relief, rescue
恐하면	공하면	Considering, thinking about (archaic usage of 恐)
兩眼	양안	Both eyes
慷慨悽悽	강개처처	Impassioned and sorrowful
