잡지명	개벽 제67호
발행일	1926년 03월 01일
기사제목	一九一七年 二月의 露西亞 (Russia in February 1917)
필자	道友
기사형태	소식 (News/Report)

Russia in February 1917
						Toyu

As the war brought only failure day after day, the Russian bourgeoisie could no longer trust their allies, such as the monarchical government. Their once fervent "patriotism" gradually cooled, and an attitude of opposition towards the government began to appear within their ranks. In November 1916, voices first emerged in the National Assembly demanding the formation of a new cabinet trusted by the entire nation. Sŭt'ulmerŭ resigned. His place was taken by P'ŭrottoppoppop'u. The restless attitude of the bourgeoisie simply grew. In opposition, the government dissolved their representative meeting scheduled to convene in Mossŭk'ŭba. Signs of opposition began to appear even within the palace. The imperial family and the nobility in general were deeply fearful that Rassŭpputchin's continuous "holy work" in the Emperor's household would completely ruin monarchism. Soon, they assassinated Rassŭpputchin and frequently convened secret meetings to prepare for "XXXX". At this time, the discontent of the working class reached its peak, and the situation was such that riots could break out at any moment. The bourgeoisie had to choose between two OOs: "Palace OO" and "National OO". The bourgeoisie did not waver for long. It was clear that in that situation, the nobility were their natural allies. The nobility also realized this. Preserving the monarchy and merely moving the crown from one head to another would rescue both the bourgeoisie and the nobility from the war externally and from OO internally. At a secret meeting of "social activists" convened in Mossŭk'ŭba, a leader of the Constitutional Democratic Party (Bourgeois Party) openly stated, "It is right to ally with the Imperial House rather than shake hands with the people," and "OOOO is more necessary than OO." This was the common thought of those gathered at that time. However, OO gradually raised its head. On February 14th (1917), the National Assembly once again voiced the need to reorganize the cabinet. In response, the workers began to move from words to actual practice.<57> Thus, they first decided to hold a demonstration, which was already impossible to proceed with, on February 17th. The food crisis in the capital worsened. The workers could endure no longer.

On February 23rd, the workers of Pet'ŭrogŭradŭ came out onto the streets shouting, "Give us bread!" From this day, the February Revolution began. Factories ceased operations. The streets were overflowing with people. The army and police were fully mobilized. The first clash occurred between workers and police. On this day, the Cossacks, who had brutally suppressed riots during the First Russian Revolution in 1905, decidedly did not turn their guns on the people. On the 25th, real street fighting broke out here and there. The movement, founded on hunger, gradually took on a political color. The shouts of "Give us bread!" mingled with shouts of "Bury the autocracy!" The number of red flags flying above the crowds grew steadily. The unrest soon began to spread to the army. By the 26th, the government attempted to firmly suppress the rising revolutionary movement. From 3 PM, general firing of rifles and machine guns began. The streets turned into a world of blood. On the 27th, the army decisively came over to the side of the workers. The revolutionary army occupied the arsenal and also seized the Pet'ŭrop'aŭllobŭssŭkki Fortress, releasing the political prisoners held there. On the 28th, the garrison of Ch'arŭsskoye, where the Emperor was staying, rose up.

As the revolution achieved victory, the fear of the nobility and the bourgeoisie grew. On one hand, the Empress informed the Emperor at the front lines of the daily events by telegram, and on the other hand (on the 26th), the President of the National Assembly, Rotchyankko, telegraphed, "The situation is very dangerous. - The capital is in chaos. - Please entrust the formation of a new cabinet to a trustworthy person." Even at this time, the bourgeoisie still clung to the thought that if the Emperor made concessions, as in the winter of 1916, they could form a new cabinet and show that the bourgeoisie had saved the state from chaos. To Rotchyankko's telegram, the Emperor replied with an order to dissolve the current National Assembly and hold elections for new deputies within April. Although the Emperor showed no sign of making such concessions, the bourgeoisie strove to make him yield rather than joining the populace to reject him. Thus, a second telegram was sent: "The situation grows increasingly perilous. Swift measures must be taken. Tomorrow will be too late. The final hour for the homeland and the Emperor has arrived." It was indeed too late. The bourgeoisie came to realize this too. <58> The revolution relied on the bayonets of the army. General Iwanop'u attacked Ch'arŭsskoye once on March 1st (March 14th by the solar calendar) but met with failure. The bourgeoisie had no choice but to recognize the revolution. Following Pet'ŭrogŭradŭ, revolutions broke out in Mossŭk'ŭba and throughout the country, achieving victory everywhere without much difficulty. For this reason, the February Revolution is even called the "Bloodless Revolution."

Although the revolution achieved victory, because contradictions arising from class interests strongly asserted themselves, two organizational centers, namely governments, emerged from the first day. On the 27th, the National Assembly organized the Provisional Executive Committee. Among the committee members, the only socialists were Kkerenssŭkki (Socialist Revolutionary Party) and Ch'ŭheitche (Menshevik). On the day it was organized, it inquired of the entire nation with the words, "We believe the general public and the army will provide much help in organizing the new government." The thought of monopolizing the nation's sovereignty completely filled the minds of the bourgeoisie. However, the workers in blue clothes and the common soldiers in worn-out uniforms blocked the way, preventing them from achieving their desire.

On the same day the bourgeoisie's Provisional Executive Committee was organized, the Council (Soviet) of Workers' and Soldiers' Deputies arose in Pet'ŭrogŭradŭ. The chairman was Ch'ŭheitche, and the vice-chairman was Kkerenssŭkki. Soviets were subsequently organized following the Pet'ŭrogŭradŭ model in Mossŭk'ŭba and other places. The number grew from 82 in March to 386 by June. The Pet'ŭrogŭradŭ Soviet also soon proclaimed its formation to the entire nation, stating the need to wash away the old sovereignty down to its foundations and to implement complete "universal suffrage," which the bourgeoisie was reluctant to speak of, in order to convene a "Constituent Assembly."

Thus, the issue of organizing a new government stood equally large before these two centers that had emerged separately. To resolve this issue, representatives of the Executive Committee and the Soviet met together on the night of the 28th. The bourgeoisie sought to seize sovereignty but feared democracy, while democracy, fearing its own weak organization, did not seek to seize sovereignty. The meeting ended in mutual compromise. The bourgeoisie would organize a government with its representative figures and implement the democratic platform (freedom of assembly, speech, association, strike, etc.; abolition of class, religious, and ethnic discrimination; non-disarmament of revolutionary troops and keeping them in the capital; prompt convocation of the Constituent Assembly, etc.), while the Soviet would supervise the government's activities <59> and have the right to veto unsuitable ministerial candidates.

Through such compromise, the so-called Provisional Government was organized on March 2nd. Among the ministers, only Kkerenssŭkki was a socialist. However, this compromise was merely external. The conflict of interest between those upholding the revolution and those driving it inevitably remained as it was. The contradiction became clearly revealed in two issues closely related to the revolution. One was the issue concerning the form of government, and the other was the issue concerning the war.

As previously written, the bourgeoisie did not participate in the revolution to destroy the monarchy and build a republic, but only to force Nikollai to abdicate and install another monarch as the head of state. Therefore, the representatives sent from the Provisional Government to Nikollai returned dancing with joy after receiving the imperial edict stating, "I entrust the state to our younger brother Mihail." That was the ultimate goal of the bourgeoisie. However, the workers had not fought merely to change the location of the crown. Therefore, the Pet'ŭrogŭradŭ Soviet soon demanded Mihail's abdication from the Provisional Government as well. Inevitably, Mihail also had to abdicate without even having the leisure to consider accession.

So much respect for the former monarch remained within the Provisional Government that Nikollai traveled freely here and there and even exchanged coded communications with the Empress. The Pet'ŭrogŭradŭ Soviet was again compelled to demand that the government render Nikollai harmless. Thus, on March 7th, an arrest warrant for Nikollai was issued, and he was taken to Ch'arŭsskoye and confined there. With this, Rosia became an irrevocably established republic.

Regarding the issue of the war, the perspectives of the bourgeoisie and the workers pointed in diametrically opposite directions. The bourgeoisie participated in the revolution to carry the war through to victory. The speech by National Assembly President Rotchyankko, "Let us organize a new government that will set the nation on the path to victory," and furthermore, the words written in the Provisional Government's first proclamation, "People and soldiers of Rosia! The fate of the nation is in your hands. We trust that you will give much help to the government you organized in the task of leading you onto the path of victory," clearly stated the hopes of the bourgeoisie. The workers did not shed blood for a "war" that only benefited the capitalists. Their objective was to put an end not only to the monarchy but also to the war. (Continued on page 56) <60>

On March 14th, the Pet'ŭrogŭradŭ Soviet sent a manifesto to the peoples of the world. The manifesto reported the news that Russian democracy had permanently buried the tyranny of the monarch, widely declared that Rosia was "no longer the gendarme of Europe," called on others to "cast off the bonds of autocracy like the Russian people, cease being tools of coercion, and end the war," and concluded with the cry, "Workers of the world! Over the mountains of our brothers' corpses, across the rivers of innocently shed blood and tears, through the still-smoking ruins of cities and villages, past the vanished treasures of culture, we extend our hand first to our brothers and call for forging firm worldwide solidarity. This is the foundation for future victory and the liberation of humankind. Proletarians of all countries, unite!"
Thus, following the conflict between monarchism and republicanism, the conflict between aggressionism and internationalism arose. Such contradictions never end smoothly. That contradiction reached its resolution in the October Revolution. (End) <56>
<57-60,56>

**Summary**

This 1926 article from the Korean magazine *Kaebyŏk* provides a detailed account of the February 1917 Russian Revolution. Written by "Toyu" (道友 - Comrade/Friend), it describes the growing discontent among the bourgeoisie and workers leading up to the revolution, the key events from February 23rd to early March (demonstrations, strikes, military defections, street fighting, abdication of the Tsar), and the establishment of dual power between the bourgeois Provisional Government and the Petrograd Soviet of Workers' and Soldiers' Deputies. The article highlights the fundamental conflict between these two bodies, particularly regarding the continuation of World War I, portraying the bourgeoisie as wanting victory and the workers/Soviet seeking peace and an end to capitalist wars, ultimately foreshadowing the October Revolution.

From the perspective of Korean colonial history, this article is significant. Published in *Kaebyŏk*, a magazine known for its nationalist and sometimes socialist-leaning content, during the Japanese occupation, a detailed report on a successful popular revolution overthrowing an autocratic regime could serve as both information and inspiration. The focus on class struggle, the mobilization of workers and soldiers, and the critique of imperialism ("aggressionism") and war would have resonated with Korean intellectuals and activists grappling with Japanese colonial rule and exploring different ideologies for national liberation. The presence of censored words (OO, XXXX) suggests that even reporting on foreign events touched upon sensitive themes like revolution and regime change, possibly monitored by colonial authorities.

**Named Entities**

露西亞	러시아	Rosia
스툴메르	스툴메르	Sŭt'ulmerŭ
프로또뽀뽀푸	프로토포포프	P'ŭrottoppoppop'u
모쓰크바	모스크바	Mossŭk'ŭba
라쓰뿌찐	라스푸틴	Rassŭpputchin
立憲民主黨	입헌민주당	Iphŏn Minjudang (Constitutional Democratic Party)
볼죠아黨	볼셰비키당	Poljoa Tang (Bourgeois Party - Kadets)
뻬트로그라드	페트로그라드	Pet'ŭrogŭradŭ
카자-크	카자크	K'ajak'ŭ (Cossacks)
뻬트로빠을놉쓰끼	페트로파블롭스크	Pet'ŭrop'aŭllobŭssŭkki (Peter and Paul Fortress)
찰쓰꼬예	차르스코예	Ch'arŭsskoye (Tsarskoye Selo)
롯쟌꼬	로젠코	Rotchyankko (Rodzianko)
이와노푸	이바노프	Iwanop'u (Ivanov)
께렌쓰끼	케렌스키	Kkerenssŭkki (Kerensky)
社會革命黨	사회혁명당	Sahoe Hyŏngmyŏngdang (Socialist Revolutionary Party)
츠헤잇제	치헤이젬	Ch'ŭheitche (Chkheidze)
멘세뷔크	멘셰비키	Mensebwik' (Menshevik)
勞, 軍, 代議會(쏘베트)	노, 군, 대의회(소비에트)	No, Kun, Taeŭihoe (Ssobet'ŭ) (Council (Soviet) of Workers' and Soldiers' Deputies)
뻬市	페시	Pe si (Petrograd City)
뻬쏘베트	페소비에트	Pe Ssobet'ŭ (Petrograd Soviet)
니꼴나이	니콜라이	Nikollai (Nicholas)
미하일	미하일	Mihail (Michael)
歐洲	구주	Kuju (Europe)

**Glossary**

불죠아	부르주아	Bourgeoisie (older transliteration)
君主政府	군주정부	Monarchical government
업게되엿다	없게 되었다	Came to not have; Became unable (older spelling/form of 없게 되었다)
끌턴	끓던	Boiled; Seethed (older spelling of 끓던)
漸漸	점점	Gradually
식어가며	식어가며	Cooling down; Fading away
隊列	대열	Ranks; Line
反對的態度	반대적 태도	Oppositional attitude
始作하얏다	시작하였다	Began (older spelling/form of 시작하였다)
國會	국회	National Assembly (Duma)
信任	신임	Trust; Confidence
內閣	내각	Cabinet (government)
組織	조직	Organization; Formation
辭職하얏다	사직하였다	Resigned (older spelling/form of 사직하였다)
不穩態度	불온 태도	Restless/Unstable attitude
잘앗다	자랐다	Grew (older spelling/form of 자랐다)
對抗	대항	Opposition; Resistance
召集	소집	Convocation; Summoning
解散식혓다	해산시켰다	Dissolved; Disbanded (older spelling/form of 해산시켰다)
宮內	궁내	Within the palace
皇帝	황제	Emperor (Tsar)
繼續	계속	Continuation
君主主義	군주주의	Monarchism
零落식힌다	영락시킨다	Causes to fall into ruin; Degrades
皇族	황족	Imperial family
貴族	귀족	Nobility
甚히	심히	Severely; Greatly
怯을 내엿섯다	겁을 내었었다	Were afraid; Had been fearful (older spelling/form)
暗殺	암살	Assassination
頻頻히	빈번히	Frequently
秘密會議	비밀회의	Secret meeting
準備하얏다	준비하였다	Prepared (older spelling/form)
勞働階級	노동계급	Working class (older form of 노동)
不平	불평	Discontent; Complaint
極度	극도	Extreme degree
暴動	폭동	Riot; Uprising
形便	형편	Situation; Circumstances
잇섯다	있었다	Existed; Was (older spelling/form)
彷徨	방황	Wandering; Hesitation
안엇다	않았다	Did not (older spelling/form)
天然的同盟軍	천연적 동맹군	Natural allies
覺悟	각오	Realization; Determination
保全	보전	Preservation
冕冠	면관	Crown
옴겨	옮겨	Moving (older spelling of 옮겨)
노음이	놓음이	Placing; Setting (older spelling of 놓음이)
救出	구출	Rescue; Deliverance
露骨的	노골적	Blunt; Open; Explicit
올슴니다	옳습니다	Is right; Is correct (older spelling/form)
必要	필요	Necessity
思想	사상	Thought; Ideology
머리를 들엇다	머리를 들었다	Raised its head; Emerged (older spelling)
改造	개조	Reorganization; Remodeling
첫다	쳤다	Struck; Uttered (older spelling)
實地	실지	Actual practice; Reality
옴기어	옮기어	Moving (older spelling)
爲先	우선	First of all; To begin with
示威運動	시위운동	Demonstration movement
京內	경내	Within the capital
食糧恐慌	식량공황	Food crisis
긋치엇다	그쳤다	Stopped; Ceased (older spelling)
넘치엇다	넘치었다	Overflowed (older spelling)
軍隊	군대	Army; Troops
警官	경관	Police officer(s)
衝突	충돌	Clash; Conflict
일어낫다	일어났다	Occurred; Broke out (older spelling)
第一革命	제일혁명	First Revolution
騷動鎭壓	소요진압	Riot suppression
酷毒히	혹독히	Brutally; Severely
決코	결코	Never; By no means
돌니지 안엇다	돌리지 않았다	Did not turn (older spelling)
市街戰	시가전	Street fighting
饑餓	기아	Hunger; Starvation
基礎	기초	Basis; Foundation
政治的色彩	정치적 색채	Political color/character
띄엿다	띠었다	Took on; Assumed (older spelling)
專制	전제	Autocracy; Despotism
埋葬	매장	Burial
석기어졋다	섞이어졌다	Became mixed (older spelling)
群衆	군중	Crowd; Masses
날니는	날리는	Flying (older spelling)
赤旗	적기	Red flag
數爻	수효	Number; Count
만하 갓다	많아 갔다	Increased; Became many (older spelling)
닐어나는	일어나는	Rising; Occurring (older spelling)
鎭壓	진압	Suppression
小銃	소총	Rifle
機關銃	기관총	Machine gun
總射擊	총사격	General firing; Volley
始作되엿다	시작되었다	Began (older spelling/form)
血世界	혈세계	World of blood; Scene of bloodshed
釁하엿다	흔하였다	Was stained; Was common (Hanja 釁 often means 'blood-offering' or 'smear with blood', context suggests staining/bloodshed)
確實히	확실히	Certainly; Decidedly
便	편	Side; Party
넘어왓다	넘어왔다	Came over; Defected (older spelling)
兵器廠	병기창	Arsenal
占領	점령	Occupation; Seizure
要塞	요새	Fortress
갓치어 잇는	갇히어 있는	Imprisoned; Confined (older spelling)
政治犯	정치범	Political prisoner
내여노핫다	내어놓았다	Released; Let out (older spelling)
守備隊	수비대	Garrison; Guards
勝利	승리	Victory
엇게 됨과	얻게 됨과	As it achieved (older spelling)
함끠	함께	Together (older spelling)
恐怖	공포	Fear; Terror
皇后	황후	Empress
戰線	전선	Battlefront; Front line
電報	전보	Telegram
混沌天地	혼돈천지	Chaos; Pandemonium
信用	신용	Trust; Credit
委任	위임	Entrustment; Mandate
讓步	양보	Concession; Compromise
國家	국가	State; Nation
마지 안엇다	마지 않았다	Did not stop; Continued to (older spelling)
빗출	비출	To show; To shine (older spelling of 비출)
보이지 안엇스나	보이지 않았으나	Although did not show (older spelling)
民衆	민중	The populace; The masses
排斥	배척	Exclusion; Rejection
힘썻다	힘썼다	Strove; Endeavored (older spelling)
險하여 감니다	험하여 갑니다	Is becoming perilous (older spelling/form)
速한	속한	Swift; Prompt
느즐 터임니다	늦을 터입니다	Will be late (older spelling/form)
故國	고국	Homeland
마즈막	마지막	Final; Last (older spelling)
當하여 왓슴니다	당하여 왔습니다	Has arrived; Has come upon (older spelling/form)
깨달게 되엿다	깨달게 되었다	Came to realize (older spelling/form)
槍釰	창검	Spears and swords; Bayonets (older term for guns/weapons)
依支하엿섯다	의지하였었다	Had relied on; Had depended on (older spelling/form)
攻擊	공격	Attack
失敗	실패	Failure
當하고 말앗다	당하고 말았다	Ended up suffering; Met with (older spelling)
할 일 업시	할 일 없이	Having no choice; Inevitably (older spelling)
承認	승인	Recognition; Approval
밋	및	And; As well as (older spelling)
勝利를 어덧다	승리를 얻었다	Achieved victory (older spelling)
이럼으로	이러므로	Therefore; For this reason
無血	무혈	Bloodless
이른다	이른다	Is called; Reaches
階級的利害關係	계급적 이해관계	Class interests/relations
矛盾	모순	Contradiction
힘잇게	힘있게	Powerfully; Strongly (older spelling)
生起여 잇섯다	생기어 있었다	Had arisen; Had emerged (older spelling/form)
臨時執行委員會	임시집행위원회	Provisional Executive Committee
委員	위원	Committee member
社會主義者	사회주의자	Socialist
社會革命黨	사회혁명당	Socialist Revolutionary Party
멘세뷔크	멘셰비키	Menshevik
主權	주권	Sovereignty
獨占	독점	Monopoly; Domination
腦속	뇌 속	Inside the brain/mind
푸른 옷	푸른 옷	Blue clothes (often symbolizing workers)
부잇부어한	부인부인한(?)	Possibly worn-out, tattered (meaning uncertain, archaic form)
軍服	군복	Military uniform
良民	양민	Good people; Common soldiers (here implies rank-and-file)
所願	소원	Wish; Desire
成就	성취	Achievement; Fulfillment
勞, 軍, 代議會(쏘베트)	노, 군, 대의회(소비에트)	Council (Soviet) of Workers' and Soldiers' Deputies
議會長	의회장	Chairman of the council
副會長	부회장	Vice-chairman
其外	그 외	Besides that; Other
니어니어	이어이어	One after another; Subsequently
이르럿섯다	이르렀었다	Had reached (older spelling/form)
宣佈	선포	Proclamation; Declaration
舊主權	구주권	Old sovereignty
基址	기지	Foundation; Base
싯처버리자	씻어버리자	Let's wash away; Let's abolish
말하기 실혀하는	말하기 싫어하는	Reluctant to speak of; Dislikes mentioning
普通選擧	보통선거	Universal suffrage
實施	실시	Implementation; Enforcement
創造會	창조회	Constituent Assembly (lit. Creation Assembly)
