잡지명	개벽 제67호
발행일	1926년 03월 01일
기사제목	그해 그달 그날 그때 (That Year, That Month, That Day, That Time)
필자	P 生
기사형태	문예기타 (Literary Miscellany)

That Year, That Month, That Day, That Time
						P Saeng

K Hyŏng. Do you remember, Hyŏng? I mean, do you remember that year, that month, that day, that time? Thinking back, it seems like a dream, yet also like reality. If one were to call it joyful, it was the most joyful event; if one were to call it sad, it was as sad as waking from an immortal's dream. But anyway, it was the first time such a thing had happened in my entire life. No, it wouldn't just be me, would it?

K Hyŏng. You and I grew up holding onto our fathers' coattails in houses next to each other, and eventually, didn't we experience that year, that month, that day, that time together? Didn't you, Hyŏng, ultimately sacrifice your body for that cause? You clearly remember what happened then, don't you? Though our worlds are now different (幽明), having sacrificed your body for that cause, how could your spirit not remember?

K Hyŏng. On this day, how about thinking back once more? At that time, you were sitting in the warmest part of the room, I sat next to you, next to me sat my cousin (八寸兄님), and next to him sat my father. Like that, a total of four people were sitting, talking about church matters and worldly affairs, waiting for someone, not parting ways even after eleven at night. Wasn't it right at that moment? Wasn't there the loud sound of dogs barking outside the gate, and someone rushing in, panting?
The voice calling, "Mr. Pak," wasn't it clearly the voice of the errand boy from the parish (敎區)? At that time, like someone caught red-handed while stealing, while forcibly calming my thumping heart, didn't I go out to meet him, saying, "Ah, what brings you here? What is this, so late at night?" Weren't you surprised too, Hyŏng, and wasn't my father also surprised? In the end—what came out from inside that errand boy's clothes? What did we do when we saw it?

K Hyŏng. What did that boy take out? Do you remember? It wasn't a notice (通牒), nor an official letter (公函), nor a private letter (私簡), was it? It definitely wasn't, right? Don't be surprised. Wasn't it a Declaration (宣言書)? Wasn't it the long Declaration stating, "We hereby <95> declare that Korea is..."? It was, wasn't it? It definitely was, right? Do you remember the signatories too?

K Hyŏng. At that time, what did we do when we saw it? Did we dance? Did we sing? No. As if waking from a terrifying dream, weren't our eyes wide for a while, unable to comprehend what was happening? That's how I clearly remember it. Only after considering the world situation (世界大勢) and recalling Mr. Wilson's (월손氏) proposals seen in the newspaper a few days earlier, didn't we jump for joy as if it were reality?

K Hyŏng. Thinking about that time, it truly seems laughable and dreamlike. Didn't I instantly become the County Magistrate (郡守) and you the County Secretary (郡主事)? Blindly—no, didn't we talk about provincial governors and magistrates without any basis? Do you remember those words? Didn't my cousin—with his halting speech—jump up and down, saying, "That younger brother (pointing at me) has secured the position of County Magistrate. County Magistrate—... And that younger brother (pointing at you, Hyŏng) has secured the position of County Secretary. County Secretary!"? Hearing this, weren't we delighted, saying "Indeed!" and doing shoulder dances one after another? Aside from that, what about my father's words? Didn't he say, "Living life, times like these must pop up now and then for life to be interesting. Anyway, the effort of educating you has paid off!" and wasn't he puffed up with pride at being the Magistrate's father? Didn't even my stooped grandmother rise from her seat asking, "Our boy became a Magistrate?" and didn't my mother, who had been bowing nearby, move closer, chattering, "Our humble father's grave site is truly a propitious spot (명당)!"? And didn't my wife, who was sewing, just keep smiling gently?

K Hyŏng. Thinking about that time, it's truly laughable. Isn't there a limit even to the rice cake in the jar (proverb: pie in the sky)? Knowing full well since ancient times that there's no such thing as gaining without labor (不勞自得), didn't we act so recklessly and inflate ourselves with empty hope? Thinking about it makes my face tingle with embarrassment. At that time, we had no time to even consider how much real strength (實力) Korea had, or what level (程度) the Korean people had reached. Truly—we were ridiculous humans. Honestly, we were humans fit only to be mock Magistrates. I'm definitely not saying all Koreans were like that. I mean that we humans, you and I, who were sitting in that spot at that time, were like that. <96>

K Hyŏng. At that time, despite it being the middle of the night, didn't the four of us—you, my cousin, that boy, and I—set off for the town (邑) thirty li away? Didn't we cross paddy ridges and field ridges in the pitch-dark night, falling and stumbling, yet joyfully and gladly rushing towards the town? Don't you remember crossing that stream then? When both you and I were about to take off our foot wrappings, didn't my cousin rush over, saying, "Hey, how can the Honorable Magistrate (郡守令監) take off his foot wrappings? Let me carry you across," stopping us both from removing them, and didn't he carry us both across on his back (越川)? Thinking about it brings a burst of laughter.

K Hyŏng. After that, didn't you take charge of the work in the town, Hyŏng, while I came up to Seoul? Didn't you, Hyŏng, ultimately spend three years in prison (獄中生活) because of that work, eventually contracting an illness there and becoming a guest who never returned (不歸의 客)? That's what happened, wasn't it? K Hyŏng. It definitely happened that way, didn't it? I feel ashamed facing you, Hyŏng. But I suppose it was a phase in our process. I just deeply think about better times ahead.

K Hyŏng. Since you left, Hyŏng, there hasn't been much to speak of in Korea yet. The knowledge and thought of the general populace must have evolved considerably compared to that time. But on the other hand, the hardship of life (生活苦) is no small matter. The economic ruin (經濟的破滅) of the Korean people is tilting towards an indescribable peak (絶頂). However, on the other hand, the fierce rise of the social movement (社會運動) seems to offer considerable hope for the construction of a new society (新社會建設).

K Hyŏng. There are many constraints, so I cannot go into detail. I will only tell you that there are three main ideologies (主義) in Korea. They are Socialism (社會主義), Nationalism (民族主義), and Japan-Korea Assimilationism (日鮮同化主義). Besides these, there are also the Cultivation of Strength Faction (實力養成派), the Autonomy Faction (自治派), and perhaps Superstition Factions (迷信派), but the most prominent and dominant one, even more so than Nationalism, is Socialism. Please know this much. (February 15th) <97>

**Summary**

The author, P Saeng, writes a poignant letter to his deceased friend, K Hyŏng, reminiscing about their shared experience during the March 1st Movement of 1919. He recalls the night they received the Declaration of Independence, their naive excitement, and their dreams of immediately taking up positions like County Magistrate and Secretary in an independent Korea. He contrasts this past hope with the present reality of 1926: K Hyŏng's death resulting from imprisonment, the author's feelings of shame and disillusionment, the severe economic hardship faced by Koreans, but also the rise of social movements. The letter concludes by outlining the main competing ideologies in contemporary Korea: Socialism, Nationalism, and Assimilationism, noting the growing strength of Socialism.

This article is valuable for historians as a personal, emotional account of the initial impact and subsequent disillusionment following the March 1st Movement. It provides insight into the immediate, perhaps unrealistic, hopes the Declaration inspired among some individuals, contrasting sharply with the harsh colonial reality. Furthermore, its 1926 perspective on the prevailing ideological currents—specifically naming Socialism, Nationalism, Assimilationism, and factions like the 'Cultivation of Strength' and 'Autonomy' groups—offers a contemporary snapshot of the political and social landscape of colonial Korea. The mention of Socialism's growing prominence is particularly noteworthy.

**Named Entities**

K兄	K형	K Hyŏng (Addressed friend)
P 生	P 생	P Saeng (Author)
八寸兄님	팔촌 형님	Author's male cousin (lit. 8th degree relation elder brother)
아버님	아버님	Author's father
월손氏	월손 씨	Mr. Wilson (Woodrow Wilson)
敎區	교구	Parish/District
宣言書	선언서	Declaration (of Independence)
朝鮮	조선	Chosŏn (Korea)
郡守	군수	County Magistrate
郡主事	군주사	County Secretary/Clerk
할머니	할머니	Author's grandmother
어머니	어머니	Author's mother
안해	아내	Author's wife
邑	읍	Ŭp (Town)
서울	서울	Seoul
日鮮同化主義	일선동화주의	Japan-Korea Assimilationism
社會主義	사회주의	Socialism
民族主義	민족주의	Nationalism
實力養成派	실력양성파	Cultivation of Strength Faction
自治派	자치파	Autonomy Faction

**Glossary**

記憶하시겟슴잇가	기억하시겠습니까	Do you remember? (Older polite interrogative form)
갓기도	같기도	Seems like/also like (Older spelling)
깃분	기쁜	Joyful/happy (Older spelling)
섭섭함니다	섭섭합니다	Is sad/disappointing (Older polite declarative form)
엇잿든	어쨌든	Anyway (Older spelling)
맛츰내	마침내	Finally/ultimately (Older spelling)
격지 안으섯슴닛가	겪지 않으셨습니까	Didn't you experience? (Older negative interrogative form)
밧치지	바치지	Didn't dedicate/sacrifice? (Older spelling)
幽明	유명	Different worlds (life and death)
니약이	이야기	Story/talk (Older spelling)
안저	앉아	Sitting (Older spelling)
都合	도합	In total
헤여지지	헤어지지	Didn't separate/part (Older spelling)
드러오지	들어오지	Didn't enter? (Older spelling)
찻든	찾던	Who was looking for/calling (Older spelling)
심부림군애	심부름꾼 아이	Errand boy (Combination of 'errand runner' and 'child')
진뎠하면서	진정하면서	While calming down (Older spelling)
맛지	맞이	Didn't greet? (Older spelling)
놀내고	놀래고/놀라고	Being surprised (Older spelling)
宣言書	선언서	Declaration/Manifesto
吾等은 玆에	오등은 자에	We hereby... (Archaic phrase often used in declarations)
멧출젼	며칠 전	A few days ago (Older spelling)
날뛰지	날뛰지	Didn't jump about/frolic?
덥허놋코	덮어놓고	Blindly/unconditionally (Older spelling)
語訥하신	어눌하신	Who speaks haltingly/stutters
저근이	저 아이/동생	That younger one/person (Dialectal/older term)
떼놋코	떼어놓고	Having set aside/secured (Older spelling)
억개춤	어깨춤	Shoulder dance
자미가	재미가	Interest/fun (Older spelling)
헛배가 불느지	헛배가 부르지	Wasn't puffed up with false hope/pride? (Older spelling)
니러나	일어나	Getting up/rising (Older spelling)
밧삭 닥아 안즈며	바싹 다가앉으며	Sitting closely/drawing near (Older spelling/phrasing)
명당	명당	Propitious site (esp. for a grave, according to geomancy)
안해	아내	Wife (Common term, distinct from modern 아내)
不勞自得	불로자득	Gaining without labor/unearned gain
無作定하고	무작정하고	Recklessly/without a plan (Older spelling)
붓그럽슴니다	부끄럽습니다	Am embarrassed/ashamed (Older polite form)
實力	실력	Real strength/capability
程度	정도	Degree/level/standard
헤아림	헤아림	Consideration/counting
餘暇	여가	Leisure/spare time
업섯슴니다	없었습니다	There wasn't/didn't exist (Older polite past tense)
全軆	전체	The whole/entirety (Older Hanja form for 체)
업더지며	엎어지며	Falling over (forward) (Older spelling)
잣바지며	자빠지며	Falling down (backward/sideways) (Older spelling)
몰녀가지	몰려가지	Didn't flock/rush? (Older spelling)
개쳔	개천	Stream/ditch (Older spelling)
뽑고	벗고	Taking off (shoes/socks, context suggests foot wrappings) (Likely older usage/spelling for 벗고)
달겨들며	달겨들며/달려들며	Rushing towards (Older spelling)
越川	월천	Crossing a stream/river
挽止하고	만지하고/만류하고	Stopping/dissuading (Older spelling/usage for 만류)
업어 건네주지	업어 건네주지	Didn't carry across on the back?
올나오지	올라오지	Didn't come up (to Seoul)? (Older spelling)
獄中生活	옥중생활	Prison life
不歸의 客	불귀의 객	Guest who does not return (euphemism for the deceased)
압흐로	앞으로	In the future (Older spelling)
그윽키	그윽히	Deeply/earnestly (Older spelling)
別로	별로	Particularly/specially
進化되얏겟지오	진화되었겠지요	Must have evolved/advanced (Older spelling and grammar)
反面에	반면에	On the other hand
生活苦	생활고	Hardships of life/difficulty living
經濟的破滅	경제적 파멸	Economic ruin/destruction
絶頂	절정	Peak/climax/zenith
기우러짐니다	기울어집니다	Is tilting/declining (Older polite form)
社會運動	사회운동	Social movement
猛烈히	맹렬히	Fiercely/violently
니러나는	일어나는	Rising/occurring (Older spelling)
新社會建設	신사회건설	New society construction
仔細한	자세한	Detailed
主義	주의	-ism/doctrine/principle
日鮮同化主義	일선동화주의	Japan-Korea Assimilationism
實力養成派	실력양성파	Cultivation of Strength Faction
自治派	자치파	Autonomy Faction
顯著하고	현저하고	Remarkable/noticeable
優勢한	우세한	Dominant/superior
-e 

---------------------------


잡지명	개벽 제67호
발행일	1926년 03월 01일
기사제목	그해 그달 그날 그때
필자	P 生
기사형태	문예기타

그해 그달 그날 그때
						P 生
K兄. 兄도 記憶하시겟슴잇가? 그 해 그 달 그 날 그 때를 記憶하시겟나 말이외다. 생각하면 꿈갓기도 하고 生時 갓기도 하고 깃브다면 더 업시 깃분 일이요 섭섭하다면 신선 꿈이나 깬 듯이 섭섭함니다 그려. 그러나 저러나 엇잿든 내 平生에는 처음 당햇든 일임니다. 안이 나뿐만 안이겟지오?

K兄. 兄과 나와는 부자지를 맛잡고 압 뒷집에서 길려나서 마츰내 그 해 그 달 그 날 그 때를 가티 격지 안으섯슴닛가? 兄은 맛츰내 그 일로써 몸을 밧치지 안으섯슴니가? 그때 일이 分明 記憶되시지오.
비록 幽明이 다르지만 그 일로써 몸을 밧쳐스니 靈인들 엇지 記憶이 업겟슴닛가?

K兄. 이 날에 잇서 또 한번 생각함이 엇덜까요? 그때의 兄은 웃목에 안고 나는 그 다음에 안고 그 다음에는 나의 八寸兄님이 안고 그 다음에는 나의 아버님이 안즈시고 그리해서 都合 네 사람이 안저 敎會 니약이 世上 니약이를 말해 가면서 누구를 기다리는 듯 밤 열한時가 지나도록 헤여지지 안코 잇지 안엇슴닛가. 바로 그때가 안임닛가? 문밧게서 개짓는 소리 요란히 나며 누가 씩은씩은 드러오지 안엇슴니가?
