Magazine Title: 개벽 제67호
Publication Date: 1926년 03월 01일
Article Title: 隨聞隨見 (Things Heard and Seen)
Article Type: 회고·수기 (Memoir/Recollection)

Things Heard and Seen
The Stingy Psychology of the Japanese

This is something I briefly witnessed a few days ago in front of the ticket gate at Kyŏngsŏng Station. It might seem like a small matter, but thinking about it again, it cannot be seen as so small; it might seem trivial, but nothing could be stingier than this.
So, what was it? Well, look here.
As everyone knows, the train fare from Kyŏngsŏng Station to Yongsan Station is 5 chŏn. A platform ticket is 10 chŏn. Therefore, those so-called economic experts who have experienced this several times, when seeing off southbound guests, customarily don't buy the 10-chŏn platform ticket but instead buy the 5-chŏn Yongsan ticket (excluding limited express trains). Saving 5 chŏn and seeing off a friend a bit further, this is the so-called killing two birds with one stone. Be that as it may,
On this day, I was seeing off a friend heading to Tōkyō, and likewise, I didn't buy a platform ticket but bought a Yongsan ticket. Other friends did the same. The talk about not buying platform tickets but Yongsan tickets to save 5 chŏn and see friends off further spread outside the ticket gate like a grand discovery of some profit, making quite a clamor. This talk immediately provoked those buying platform tickets. Two or three unfamiliar friends stood outside the platform ticket gate holding three or four platform tickets and lamented [탄식] thus:
"Ah, what should we do in this situation? We've needlessly lost 5 chŏn each. We should have bought Yongsan tickets too. What is this? Losing 20 chŏn..." Then, one friend, as if having discovered a great plan, snatched the platform tickets and said, "Hey, there's a way. It's settled, it's settled. Let's sell them again. Let's sell them again and buy Yongsan tickets. Let's stand right here, explain the situation to people wanting to buy platform tickets, and resell them. That'll work." As their opinions aligned, they said, "Let's do it," and the two stood waiting for someone to buy platform tickets. As luck would have it, no Chosŏnin came, only Ilbonin. They seemed to speak Japanese quite well. A young Japanese woman approached the ticket gate. "Alright! We got one!" they thought, stepping right in front of the woman, "[Japanese, 3 lines]" they pleaded [청(請)을 하것다], asking her to buy theirs since it was the same price. The woman stared intently at them, then without a word, said "[Japanese, 7 characters]" and bought a ticket from the ticket window before coming out. Having been rebuffed the first time, they clicked their tongues, muttering, "Damn woman, what's wrong with buying that since it's the same price," and waited for another person. Alright. Another Japanese man came. Determined not to miss this one, they hurried towards him, "[Japanese, 2 lines]" they pleaded [청(請)을 하다]. He didn't even look, also bought a ticket from the window, glanced back at them, muttered "[Japanese, 7 characters]..." cursed, and left. They stood there blankly, clicking their tongues like a dog that had chased a chicken. Yet, perhaps having some courage left, they stood their ground, scanning [검시(檢視)] for people buying platform tickets. If a Chosŏn fellow came, they would surely sell, but unfortunately, not a single Chosŏn fellow came, only Japanese fellows. They encountered [맛내다] nearly five or six people, but all refused. Seemingly having no choice, they turned away. How embarrassing it was for the onlookers! At this moment, I couldn't help but be astonished at the exceedingly stingy mindset [고-매사운 심사(心思)] of the Japanese fellows. Firstly, a surge of ethnic sentiment [민족적 감정(民族的 感情)] arose. Secondly, I realized what their concept of national economy [국가경제관념(國家經濟觀念)] was. Railway Bureau [철도국(鐵道局)] revenue is Government-General [총독부(總督府)] revenue, Government-General revenue is the revenue of the Great Japanese Empire [대일본제국(大日本帝國)], and the revenue of the Great Japanese Empire is the revenue of the Great Japanese People [대일본국민(大日本國民)]. The Railway Bureau managed to get a mere 5 or 10 chŏn from a Chosŏnin; why should we buy platform tickets from the hands of a Chosŏnin and cause the Railway Bureau to lose even that mere 5 chŏn in revenue? This was their psychology [심리(心理)]. This wasn't instructed [교촉(敎囑)] by anyone, nor was it a temporary impulse [임시발작(臨時發作)]. One must know that their national character [민족성(民族性)] has already become like this. They possess such a stingy mindset [매삽게 심사(心思)] as individuals and for their nation. O people who are soft and yielding [물렁물렁하고 헌덕헌덕한 사람들아]. What is your name? <87> Isn't it the person who tried to resell the platform ticket only to be snubbed [코만 뗀 사람이 안인가]?

Whose Disrespect Is It?

This is something I heard quite a while ago. But I'll write it down while I remember. I hear there is a so-called Teachers' Fellowship Association [교역자친목회(敎役者親睦會)] in Kyŏngsŏng, organized by elementary-level educators [초등정도교역자(初等程度敎役者)]. It is said that such an incident occurred at one of these Teachers' Fellowship Gatherings [교역자간친회(敎役者懇親會)]. The place was a certain restaurant [모요리점(某料理店)], and the members were teachers from various private elementary schools, along with guests such as so-and-so from the Provincial Office [도(道)], so-and-so from the Bureau of Educational Affairs [학무국(學務局)], and so-and-so from the Prefectural Office [부청(府廳)]. The food tables [요리상(料理床)] were brought in. Just as they were about to raise their cups, a certain Japanese person suddenly stood up and, with that typical frivolous attitude [경태(輕態)], said,
"Today, at such a grand gathering [성대한 좌석(盛大한 坐席)], especially a gathering of us educators [교역자(敎役者)] engaged in education [교육(敎育)], we cannot fail to respectfully read [봉독(奉讀)] the Imperial Rescript [칙어(勅語)]. Let us all bow our heads and respectfully read the Imperial Rescript." He gave the order [령(令)] like a shaman [매신자(賣神者)] praying. Faced with the Imperial Rescript, it was a situation [판국(判局)] where no one could lift their face. Who would dare utter a single word [일언반구(一言半句)], whether yes or no [왈가왈부(曰可曰否)]? Everyone in the room [좌중(坐中)] remained silent [침묵(沈黙)]. But from among them, someone abruptly stood up and said,
"Hey, that is rather disrespectful [불경(不敬)]. Respectfully reading the Imperial Rescript at such a drinking party [주석(酒席)], holding cups of alcohol, is rather disrespectful. Let's stop." He lodged a protest [항의(抗議)], it is said. At this, the Japanese person became quite angry [골이 잔득 나서] and retorted [반박(反駁)], "Hey, who are you calling disrespectful? Is the person respectfully reading the Imperial Rescript disrespectful, or is the person saying not to respectfully read the Imperial Rescript disrespectful? What nonsense is this?" Thus, a dispute arose [왈시왈비 일장쟁론(曰是曰非 一場爭論)]. In the end, a certain Mr. [某] from the Prefectural Office [부윤(府尹)] stood up to mediate [중재(仲裁)], saying, "Mr. So-and-so's words seem reasonable, and Mr. So-and-so's words also seem reasonable, so let's stop this and just drink." He acted like someone in a position of authority [존위행세(尊位行勢)], it is said. This is the so-called "This disrespect, that disrespect, whose disrespect is it?" [차불경피불경 시수지불경(此不敬彼不敬 是誰之不敬)]. By the way, the proposer of the Imperial Rescript reading was the Japanese [OOOO] from OOO Sŏng School [OOO성학교(OOO成學校)], and the one who opposed it was Kim OO [김OO(金OO)] from O Hwa School [O화학교(O花學校)]. Like the words of the Prefectural official [부리원(府吏員)], this side seems reasonable, and that side seems reasonable.

This Too Is a Reactionary Force

"Solar calendar is the Japanese New Year [왜설]," "Lunar calendar is the Chosŏn New Year [조선설]"... This is what the obstinate scholars [완고샌님], obstinate women [완고부녀], and the boys and girls of obstinate families [완고가(頑固家)] in Chosŏn say year after year [년년세세(年年歲歲)]. Will this backward saying disappear this year? Will it disappear next year? Truly, it is a fact that this brings quiet concern among the knowledgeable [식자간(識者間)].
So, how was the solar calendar New Year this year, and how was the lunar calendar New Year? Don't be surprised. They were also sharply divided north and south. The Japanese celebrating the solar New Year is routine [예사(例事)], so there's nothing more to discuss. But the Chosŏnin's lunar New Year celebration certainly showed signs of being somewhat more flourishing [자성(紫盛)한 미(味)] than last year. The colorful clothes activities [색의활동(色衣活動)] of boys and girls on every street [거리거리] were also more resplendent [*란만(*熳)하다], the closure of shops and restaurants [상점음식점(商店飮食店)] was even more severe [우심(尤甚)] than last year, and moreover, the fact that there were schools that completely suspended [전폐(全廢)] classes is a strange event [기사(奇事)] this year, unheard of in previous years [예년(例年)]. (Perhaps there are places the reporter [기자(記者)] did not reach [부도처(不到處)], I don't know.) In any case, hearing that extra streetcars [전차(電車)] had to be dispatched [증발(增發)] on January 1st because of the New Year's greeting troops [세배군(歲拜軍)], doesn't it show how prosperous [성황(盛況)] it was? Considering this, when imagining how much consumption [소비(消費)] there must have been for rice-cake soup [떡국], Toso wine [도소주(屠蘇酒)], clothing fabric [옷감], hair ribbons [당기], pop guns [딱총]... isn't there a kind of new fear [공구(恐懼)]?
This too can be seen as a kind of reactionary phenomenon [반동적 현상(反動的 現像)] against the Japanese, but in any case, one must know that such reaction [반동(反動)] is harmful and without benefit [유해무익(有害無益)]. One must know that such reaction always leads to falling behind [낙오(落伍)].

Is There No Other Means Besides Finger-Cutting and Blood Oaths?

It is said that the movement by third and fourth-year students at P'yŏngyang Higher Common School [평양고등보통학교(平壤高等普通學校)] to expel Japanese teachers [일본인교원배척운동(日本人敎員排斥運動)] has still not reached a conclusion [귀결(歸決)] over a month after the incident [사건(事件)] occurred. Whether the school authorities [학교당국(學校當局)] are at fault or the students [학생(學生)] are at fault is a separate issue [별문제(別問題)], but when encountering newspaper reports [신문보도(新聞報道)] as a third party [제삼자(第三者)], there is something that evokes a feeling of unpleasantness [불쾌(不快)].
That is the "Blood-written Petition [혈서진정(血書陳情)] by all fourth-year students of P'yŏngyang Higher Common School" or the "Finger-Cutting [단지(斷指)]" and so on [운운(云云)]. As students, trying to push through their demands [요구(要求)] to the very end [끗끗내], there are undoubtedly [모론(母論)] various methods [별별 수단], but still. Is there really no other means [별로히 수단] besides finger-cutting and blood oaths [단지혈서외(斷指血書外)]? In the students' minds, this might be considered the most drastic and best method [끔즉한 최선(最善)의 수단], or the sole method [유일(唯一)한 수단] born out of passion [열정(熱情)] for the school or the school's idea [관념(觀念)], but in the eyes [안목(眼目)] of us third parties, it seems rather crude [야비(野鄙)], like the methods of women and children [아녀자(兒女子)]. <88> As students receiving higher education [고등교육(高等敎育)], who might be expected, in terms of spirit [지기(志氣)] or temperament [기질(氣質)], to undertake bold, decisive actions [건곤일척(乾坤一擲)의 장부적(丈夫的) 쾌사(快事)]... that's how it seems. However, this is not meant to incite [충동(衝動)] the students. It's just that it gives third parties a sense of crudeness [야비(野鄙)의 감(感)]. (Pak Tŭri) <89>

**Summary**

This article presents three anecdotes reflecting Korean society under Japanese rule in 1926. The first describes Japanese individuals refusing to buy train tickets resold by Koreans, interpreting this as a nationalistic effort to protect Japanese railway revenue, highlighting perceived Japanese economic stinginess and ethnic division. The second recounts a debate at a teachers' gathering over the appropriateness of reciting the Imperial Rescript during a drinking party, touching on issues of forced loyalty and differing interpretations of respect. The third observes the increased fervor of Lunar New Year celebrations among Koreans as a form of passive resistance against Japanese attempts to enforce the solar calendar, though the author views this "reactionary" trend as ultimately harmful. A final comment criticizes the P'yŏngyang students' use of "finger-cutting" protests as crude. Historians might find the article valuable for its firsthand accounts of everyday Korean-Japanese interactions, the complex interplay of nationalism, cultural resistance (both passive and perceived as counterproductive by some Koreans), imposed colonial symbols (Imperial Rescript), and debates within the Korean community about appropriate forms of protest and adaptation under colonial rule.

**Named Entities**

京城驛	경성역	Kyŏngsŏng Station
龍山驛	용산역	Yongsan Station
東京	동경	Tōkyō
朝鮮人	조선인	Chosŏnin (Korean person/people)
日本人	일본인	Ilbonin (Japanese person/people)
日本女子	일본여자	Ilbon yŏja (Japanese woman)
鐵道局	철도국	Ch'ŏldoguk (Railway Bureau)
總督府	총독부	Ch'ongdokpu (Government-General)
大日本帝國	대일본제국	Taeilbon Cheguk (Great Japanese Empire)
大日本國民	대일본국민	Taeilbon Kungmin (Great Japanese People/Nationals)
京城	경성	Kyŏngsŏng (Colonial name for Seoul)
敎役者親睦會	교역자친목회	Kyoyŏkcha Ch'inmokhoe (Teachers' Fellowship Association)
某料理店	모요리점	Mo yorijŏm (A certain restaurant)
道	도	To (Province/Provincial Office)
學務局	학무국	Hakmuguk (Bureau of Educational Affairs)
府廳	부청	Puch'ŏng (Prefectural Office)
OOO成學校	OOO성학교	OOO Sŏng Hakkyo (OOO Sŏng School)
日本人OOOO	일본인OOOO	Ilbonin OOOO (Japanese person OOOO)
O花學校	O화학교	O Hwa Hakkyo (O Hwa School)
金OO	김OO	Kim OO
府吏員	부리원	Pu riwŏn (Prefectural/City Official)
朝鮮	조선	Chosŏn (Korea)
平壤高等普通學校	평양고등보통학교	P'yŏngyang Kodŭng Pot'ong Hakkyo (P'yŏngyang Higher Common School)
日本人敎員	일본인교원	Ilbonin kyowŏn (Japanese teacher)
平壤高普	평양고보	P'yŏngyang Kobo (Abbreviation for P'yŏngyang Higher Common School)

**Glossary**

멧츨전	며칠 전	A few days ago (Older spelling)
出札口	출찰구	Ticket gate
車賃	차임	Fare (train fare)
入場券	입장권	Platform ticket
錢別	전별	Seeing someone off, farewell gift (often money)
經濟通	경제통	Economically savvy person, expert in economy
利窟	이굴	Source of profit, advantage (less common term)
宣傳演說하다	선전연설하다	To make a propaganda speech (assuming 演說 for *)
刺戟	자극	Stimulus, provocation
空然히	공연히	Needlessly, futilely (Older spelling/usage)
損	손	Loss, damage
數	수	Method, plan, way
發見	발견	Discovery
되넘겨 팔다	되넘겨 팔다	To resell
請을 하것다	청을 하였다	Made a request (Older verb ending; assuming 하 for *)
不間曲直	불문곡직	Without asking right or wrong, unconditionally
코를 떼다	코를 떼이다	To be snubbed, rebuffed (Idiom lit. 'to have one's nose detached')
입맛을 다시다	입맛을 다시다	To smack one's lips (often in regret or anticipation)
망할년	망할 년	Damn woman (Derogatory)
놋치다	놓치다	To miss, let slip (Older spelling)
밥비	바삐	Hurriedly (Older spelling)
닭 쫏든 개	닭 쫓던 개	A dog that was chasing a chicken (Idiom for looking blank/foolish after failure)
벗티다	버티다	To endure, stand one's ground (Older spelling)
檢視하다	검시하다	To inspect, scan, examine
맛내다	만나다	To meet, encounter (Older spelling/usage)
마럿것다	말았다	Ended up (doing), stopped (Older verb ending)
매삽다	매섭다	Stingy; harsh, severe (Older form/meaning variation)
心思	심사	Mindset, thoughts, psychology
敎囑	교촉	Instruction, instigation
臨時發作	임시발작	Temporary fit, impulse
民族性	민족성	National character, ethnicity
물렁물렁하다	물렁물렁하다	Soft, yielding, squishy
헌덕헌덕하다	흐늘흐늘하다/헤픈	Yielding, lax, flimsy (Similar to 물렁물렁하다, perhaps regional/older)
일흠	이름	Name (Older spelling)
初等程度敎役者	초등정도교역자	Elementary level educator
親睦會	친목회	Fellowship association, social gathering
來賓	내빈	Guest of honor, visitor
料理床	요리상	Table set with food/dishes
輕態	경태	Frivolous or light attitude/manner
勅語	칙어	Imperial Rescript
奉讀하다	봉독하다	To read respectfully (esp. imperial texts)
賣神者	매신자	Shaman, spirit medium (Lit. 'god seller', possibly derogatory term)
令	영	Order, command
판국	판국	Situation, state of affairs
一言半句	일언반구	A single word or phrase (assuming 句 for *)
曰可曰否	왈가왈부	To argue the pros and cons, say yes or no
坐中	좌중	Those present, the audience/gathering
沈黙	침묵	Silence
不敬	불경	Disrespect, irreverence (esp. towards emperor/state)
酒席	주석	Drinking party, banquet with alcohol
抗議	항의	Protest, objection
골이 나다	골이 나다	To get angry
反駁	반박	Rebuttal, counterargument
曰是曰非	왈시왈비	Arguing right and wrong
爭論	쟁론	Dispute, argument
仲裁	중재	Mediation, arbitration
尊位行勢	존위행세	Acting important, putting on airs of authority
此亦反動勢力	차역반동세력	This too is a reactionary force (Hanja phrase)
陽曆	양력	Solar calendar
陰曆	음력	Lunar calendar
왜설	왜설	Japanese New Year (Colloquial/derogatory term)
朝鮮설	조선설	Chosŏn (Korean) New Year
頑固샌님	완고샌님	Obstinate/stubborn scholar (old-fashioned man)
頑固婦女	완고부녀	Obstinate/stubborn women
뒤떠러진	뒤떨어진	Backward, lagging behind (Older spelling)
識者	식자	Knowledgeable person, intellectual
紫盛하다	자성하다	Flourishing, prosperous (Less common term)
色衣活動	색의활동	Activity involving colorful clothes
爛熳하다	난만하다	Resplendent, brilliant, glorious (assuming 爛 for *)
尤甚하다	우심하다	To be extreme, severe
全廢하다	전폐하다	To abolish completely, suspend entirely
奇事	기사	Strange event, unusual affair
不到處	부도처	Place not reached/covered
歲拜軍	세배군	Groups going around for New Year's bows (often children)
電車	전차	Streetcar, tram
增發하다	증발하다	To dispatch extra (vehicles), increase service
盛況	성황	Prosperous situation, thriving state
屠蘇酒	도소주	Special wine drunk on New Year's Day
딱총	딱총	Pop gun, cap gun
消費	소비	Consumption, spending
恐懼	공구	Fear, dread, apprehension
反動的 現像	반동적 현상	Reactionary phenomenon
有害無益	유해무익	Harmful and without benefit
落伍되다	낙오되다	To fall behind, drop out
斷指血書	단지혈서	Finger-cutting and blood oath/petition
排斥運動	배척운동	Exclusion/expulsion movement
歸決	귀결	Conclusion, settlement, outcome
當局	당국	The authorities (concerned)
第三者	제삼자	Third party, bystander
不快	불쾌	Unpleasantness, displeasure
血書陳情	혈서진정	Petition written in blood
斷指 云云	단지 운운	Finger-cutting, etcetera
끗끗내	끝끝내	To the very end, persistently (Older spelling)
관철하다	관철하다	To carry through, achieve (a goal)
母論	물론	Of course, undoubtedly (Older form/Hanja representation)
別別 수단	별별 수단	Various means, all sorts of methods
唯一한 手段	유일한 수단	The sole/only means
眼目	안목	Eye (for discerning), perspective
野鄙	야비	Crude, vulgar, base
兒女子	아녀자	Women and children (sometimes implies weakness)
高等敎育	고등교육	Higher education
志氣	지기	Spirit, mettle, morale (assuming 氣 for *)
氣質	기질	Temperament, disposition
乾坤一擲	건곤일척	Risking everything on one decisive chance (Idiom)
丈夫的 快事	장부적 쾌사	A bold/manly pleasant undertaking
衝動하다	충동하다	To incite, impel, stir up
-e 

---------------------------


잡지명	개벽 제67호
발행일	1926년 03월 01일
기사제목	隨聞隨見
기사형태	회고·수기

隨聞隨見
매사운 日本人들의 心理

이것은 내가 멧츨전 京城驛出札口 압헤서 잠간 본 事實이다. 적다하면 적은 일이나 다시 생각하면 그러케 적게 볼 수도 업섯고 숭겁다면 숭거운 일이나 그러나 매삽기도 게서 더 매사운 일은 업슬 것이다.
그러면 그것은 무엇인가? 자-보란 말이다.
누구나 아는 바와 가티 京城驛서 龍山驛까지는 車賃이 5錢이것다. 또 入場券은 10錢이것다. 그래서 멧번 지내본 所謂 經濟通이란 사람들은 南行 손님을 餞別하게 될 때는 依例 十錢짜리 入場券을 안사고 五錢자리 龍山票를 사것다.(特急車除外) 五錢經濟하그 친구좀더 錢送하닛가 此 所謂 一擧兩得이것다. 그는 그럿타하고
이날 나는 東京行 엇던 친구를 錢別하게되야 亦是 入場券은 안사고 龍山票를 사게 되얏다. 다른 친구들도 그러케 하것다. 入場券 사지 말고 龍山票사면 五錢經濟하고 친구 좀더 멀니 餞送한다는 말이 무슨 宏壯한 利窟이나 발견한 것처럼 宣傳*說하다 십히 出札口밧게서 왁자자 떠들엇것다. 이 말은 入場券사는 사람들에게 當場 刺戟을 주엇다. 엇던 아지 못할 친구 二三人이 入場券出札口밧게 서서 入場券三四枚를 들고 이런 *식을 한다.
