Magazine Title: 三千里 第七卷 第六號
Publication Date: 1935년 07월 01일 (July 1, 1935)
Article Title: 三千里 社交室 (Samch'ŏlli Social Room)
Article Type: 잡저 (Miscellaneous writing/jottings)

三千里 社交室 (Samch'ŏlli Social Room)
Starting this month, we have established a Social Room. This is intended to be a place similar to a "smoking room," where figures from all classes of the peninsula—thinkers, financiers, writers, educators, etc.—can converse lightly and freely without any constraints. Therefore, this month, we have primarily recorded, in no particular order, snippets gathered during conversations between our company's reporters and various notable figures. Next month, we will change the format, selecting pairs of figures who fit well together in combination, and publish one dialogue from each pair.

General Suetsugu's Yi Sun-sin

Mr. Song Chin-u says—Although it was widely reported in the Ōsaka Mainichi Shinbun, when Admiral Suetsugu was the Commander-in-Chief of the Combined Fleet, he gave a speech at a public hall somewhere, either in Osaka or Tokyo. At that time, he highly praised Yi Sun-sin's strategy and tactics as rare in all ages, saying, "Yi Sun-sin of the East (東洋) is a greater commander than Nelson of the West (西洋)." Perhaps it's a case of a great commander recognizing another great commander.

Plan for the Realization of a Second "Sŏul"

Mr. Pak Hŭng-sik says—Unbeknownst to anyone in the world right now, I have purchased 100,000 p'yŏng of land<201> X at a certain location near Sŏul. This is part of a plan to build a large city here, about the size of Sŏul. As for the nature of this city, it is still a secret within a secret (秘中의 又 秘事), so I cannot speak of it externally. However, just as Osaka has Takarazuka (寶塚), an ideal land (이상향) will arise here that will provide spiritual comfort and material supply to the people of Sŏul. To realize this, funds amounting to several million or tens of millions of won are needed. In any case, the detailed plan (복안) is all set, but since it is not yet time to announce it, I will stop here.

Eight Banks Merged

Mr. Pak Yŏng-ch'ŏl says—The Commercial Bank (商業銀行) recently acquired the Pusan Bank (釜山銀行), but this doesn't mean the capital of the Commercial Bank increases. Since Pusan Bank was simply paid-in (拂込한) at 750,000 won, and we paid 750,000 won to acquire it, the nominal capital (公稱資本) of 10 million won remains the same. Pusan Bank had 8 branches, so they all changed their signs to become our branches. For now, it's just the contract; the complete handover is scheduled for early next month, and I will also go to Pusan then. Anyway, with the Commercial Bank acquiring Pusan Bank, it means we have merged or acquired eight banks so far.

On the Marriage of Ewha Womans College Graduates

Mr. Yi In says—Today, while returning in a car after visiting Ewha Womans College (梨花女專), I discussed this with fellow passengers Mr. Song Chin-u, Mr. Paek Kwan-su, and Mr. Kim Chun-yŏn. Where could all the graduates of Ewha Womans College, who studied literature and music in such a splendid academy, possibly find places to marry? It seems too far removed from the reality of Chosŏn (朝鮮).

Chungdong Foundation Progressing Well

Mr. Ch'oe Kyu-dong says—Many people kindly inquire about the establishment of the Chungdong School (中東學校) incorporated foundation after its separation from the Kogyŏ Academy (高啓學園) foundation. Originally, the land, buildings, and equipment/books (器書) currently in Susong-dong (壽松洞) are worth about 200,000 won. Therefore, externally, only about 100,000 won more is needed. Funds of that amount are progressing smoothly, and the 300,000 won incorporated foundation will be completed soon (未久).

Osaka Asahi and Sŏl Ŭi-sik

Mr. Pak Ch'ang-hun says—Among all newspapers, the one I read with the greatest interest is the Ōsaka Asahi (大阪朝日), and even then, it's mainly for its "Tensei Jingo" (天聲人語) column rather than all its articles. The writer of that column can truly be called a genius—the humor, the harmless satire, the pithy, cutting phrases (寸鐵殺人)—it's truly astonishing writing. Also, I hear that Mr. Sŏl Ŭi-sik, the editorial director of the Tonga Ilbo (東亞日報), writes its "Hoengsŏl Susŏl" (횡설수설) column. There are many brilliant phrases there that make one listen intently (赤 귀를 기우리고) and sigh thrice in admiration (三嘆). Even if I can't read other articles, I meticulously read those two columns in those two newspapers every single day without fail, laughing and admiring them to myself afterwards.<202>

Tonga Securities' 500,000 Won

Mr. Chang Hŭng-su says—(Director (取締役), Tonga Securities Stock Company (東亞證券 株式會社))—Our company mainly focuses on stock brokerage. The nominal capital is 500,000 won with 125,000 won paid-in. The president is Cho Chun-ho; Directors (取締役) are Kim Hŭng-gyŏm, Chang Hŭng-su, Nakano Yūkichi, Hwang Yun-su; Auditors (監査役) are Kim Tong-jun, Kim Tong-sŏk. Since our founding last January, we have been growing significantly. We have also constructed a new company building...

Definition of a Hero

Mr. Sŏ Chŏng-hŭi says—My goodness, what is this world coming to? Everyone boasts that they are a hero (英雄), except for those who think, "I am certainly not a hero." It's truly dumbfounding, really dumbfounding (긔가 막힐세)!

Always Wondering About Sŏul

Mr. Hŏ Hŏn says—Although there's nothing special happening in Sŏul, when I'm staying in the countryside, I can't help but feel curious, as if something must be happening in Sŏul. While staying in the countryside, you wouldn't believe how eagerly I wait each day for the newspapers that arrive two or three days late.

Students Abroad Are High-Spirited

Mr. An Chae-hong says—When I visited Tokyo (東京) recently for the first time in over 20 years, it was truly surprising. Every single person was tense, and the city streets were splendid and well-ordered—and what's more, I was invited by the Meiji University (明治大學) alumni association, gave a lecture one evening, and afterwards had intimate talks (交膝而談) with the Chosŏn students there. They were all very high-spirited (意氣張大), seeming quite reliable.

Publish Old Literary Works

Mr. Yi Kwang-su says—If someone with purpose among publishers would step forward to collect and republish works like Silla (新羅) hyangga, Ch'unhyangjŏn, Simch'ŏngjŏn, etc., it would be a great help to our culture. Is there no one who will do so?

What I Learned This Time

Mr. Kim Yak-su says—Previously, when I went to study in Tokyo (東京), I learned about "Class" (階級). This time, having returned from Tokyo, I have come to understand "Nation" (民族).

Revival of Local Folk Songs

Mr. Yi Ki-se says—The popular songs circulating on the streets these days are becoming increasingly decadent; some are truly unbearable to the ear. And are there any popular songs with long lives? Not really. They just appear suddenly and are discarded just as suddenly—it's truly lamentable. The conclusion drawn from many years of experience is that, no matter what, we must revive songs based on our own folk songs (民謠).<203>

**Summary**

This 1935 article from *Samch'ŏlli* magazine introduces a new "Social Room" feature, presenting short remarks from prominent Korean figures of the era on various topics. These include praise for Admiral Yi Sun-sin by a Japanese admiral, Pak Hŭng-sik's ambitious plan for a "Second Sŏul," a bank merger, concerns about Ewha graduates' marriage prospects, updates on the Chungdong School foundation, commentary on newspaper columns, business news from Tonga Securities, reflections on heroism, the experience of being away from Sŏul, impressions of high-spirited Korean students in Tokyo, calls for publishing classical Korean literature and reviving folk songs, and Kim Yak-su's notable shift in focus from "class" to "nation." The article offers a snapshot of the interests, activities, and evolving thoughts of the Korean elite under Japanese colonial rule, touching upon economic development, cultural identity, social change, and political consciousness. For historians, Kim Yak-su's statement about prioritizing "Nation" over "Class" is particularly revealing of the ideological shifts occurring among Korean intellectuals facing intensified assimilation pressures in the mid-1930s. Pak Hŭng-sik's large-scale urban development plan also highlights the ambitions of Korean capitalists within the colonial economy.

**Named Entities**

末次將軍	스에쓰구 쇼군	Suetsugu Shōgun
李舜臣	이순신	Yi Sun-sin
宋鎭禹	송진우	Song Chin-u
大阪每日新聞	오사카 마이니치 신문	Ōsaka Mainichi Shinbun
東洋	동양	Tongyang
西洋	서양	Sŏyang
넬손	넬슨	Nelson
朴興植	박흥식	Pak Hŭng-sik
서울	서울	Sŏul
大阪	오사카	Ōsaka
寶塚	다카라즈카	Takarazuka
朴榮喆	박영철	Pak Yŏng-ch'ŏl
商業銀行	상업은행	Sangŏp Ŭnhaeng (Commercial Bank)
釜山銀行	부산은행	Pusan Ŭnhaeng (Pusan Bank)
釜山	부산	Pusan
梨花女專	이화여전	Ihwa Yŏjŏn (Ewha Womans College)
李仁	이인	Yi In
白寬洙	백관수	Paek Kwan-su
金俊淵	김준연	Kim Chun-yŏn
朝鮮	조선	Chosŏn
崔奎東	최규동	Ch'oe Kyu-dong
高啓學園	고계학원	Kogyŏ Hakwŏn
中東學校	중동학교	Chungdong Hakkyo (Chungdong School)
壽松洞	수송동	Susong-dong
朴昌薰	박창훈	Pak Ch'ang-hun
大阪朝日	오사카 아사히	Ōsaka Asahi
天聲人語	덴세이 진고	Tensei Jingo
東亞日報	동아일보	Tonga Ilbo
橫說竪說	횡설수설	Hoengsŏl Susŏl
薛義植	설의식	Sŏl Ŭi-sik
張興秀	장흥수	Chang Hŭng-su
東亞證券 株式會社	동아증권 주식회사	Tonga Chŭnggwŏn Chusik Hoesa (Tonga Securities Stock Company)
趙俊鎬	조준호	Cho Chun-ho
金興謙	김흥겸	Kim Hŭng-gyŏm
中野勇吉	나카노 유키치	Nakano Yūkichi
黃潤秀	황윤수	Hwang Yun-su
金銅駿	김동준	Kim Tong-jun
金東晳	김동석	Kim Tong-sŏk
徐廷禧	서정희	Sŏ Chŏng-hŭi
許憲	허헌	Hŏ Hŏn
安在鴻	안재홍	An Chae-hong
東京	도쿄	Tonggyŏng (Tokyo)
明治大學	메이지대학	Meiji Taehak (Meiji University)
李光洙	이광수	Yi Kwang-su
新羅	신라	Silla
金若水	김약수	Kim Yak-su
階級	계급	Kyegŭp
民族	민족	Minjok
李基世	이기세	Yi Ki-se
民謠	민요	Minyo

**Glossary**

社交室	사교실	Social room
반도	반도	Peninsula (referring to the Korean Peninsula)
재정가	재정가	Financier
업시	없이	Without (older spelling of 없이)
가비엽게	가볍게	Lightly, freely (older spelling/form of 가볍게)
이약이하는	이야기하는	Talking, conversing (older spelling of 이야기하는)
스목-킹, 룸	스모킹 룸	Smoking room (loanword)
처소	처소	Place, location
담편	단편	Snippet, fragment
채록키로	채록하기로	To record, to transcribe (older grammatical ending)
밧고아	바꾸어	Changing (older spelling of 바꾸어)
어울니는	어울리는	Matching, suitable (older spelling of 어울리는)
콘비네-슌적	콤비네이션적	Combination-like (loanword + Korean suffix)
싯기로	싣기로	To publish, to load (older spelling of 싣기로)
激稱	격찬	High praise, lavish praise
可謂	가위	Indeed, it can be called
명장	명장	Great general, master craftsman
실현설	실현설	Realization plan/theory
모처에	모처에	At a certain place
꾸밀	꾸밀	To decorate, plan, devise
秘中의 又 秘事	비중의 우 비사	A secret within a secret (literary expression)
이상향	이상향	Ideal land, utopia
복안	복안	Detailed plan, underlying scheme
섯스나	섰으나	Stood up, was established, was set (older spelling of 섰으나)
매수하엿는데	매수하였는데	Acquired, purchased (older spelling of -하였는데)
拂込한	불입한	Paid-in (capital)
公稱자본	공칭자본	Nominal capital
간판	간판	Signboard
인계 밧기로	인계받기로	To take over, receive transfer (older spelling of 받기로)
합병	합병	Merger
어대로	어디로	Where to (older spelling of 어디로)
갓해요	같아요	Seems like, is like (older spelling/form of 같아요)
재단법인	재단법인	Incorporated foundation
밧갓흐로는	바깥으로는	Externally, on the outside (older spelling of 바깥으로는)
未久에	미구에	Soon, before long (Sino-Korean term)
천재	천재	Genius
유-모어	유머	Humor (loanword)
풍자	풍자	Satire
寸鐵殺人	촌철살인	Killing with an inch of steel (idiom: pithy, cutting remark)
경구	경구	Aphorism, witty phrase
필치여요	필치예요	It is (someone's) style of writing (older spelling/form)
횡설수설	횡설수설	Incoherent talk, rambling (also name of a column)
귀를 기우리고	귀를 기울이고	To listen attentively (older spelling of 기울이고)
三嘆	삼탄	To sigh three times (in admiration)
명구	명구	Famous line, brilliant phrase
숙독하고	숙독하고	To read carefully, peruse
마지아니다	마지아니하다	Cannot help but do (older form of 마지않다)
取締役	취체역	Company director (Japanese loanword 取締役)
불입이고	불입이고	Is paid-in (capital)
감사역	감사역	Auditor (Japanese loanword 監査役)
사옥	사옥	Company building
신축하엿고	신축하였고	Newly built (older spelling of -하였고)
뽑내니	뽐내니	Boasting, showing off (older spelling of 뽐내니)
긔가 막힐세	기가 막힐세	It's dumbfounding/appalling (older spelling/expression)
궁금한	궁금한	Curious, anxious
느저오는	늦어오는	Coming late (older spelling of 늦어오는)
意氣張大	의기장대	High-spirited, full of mettle
交膝而談	교슬이담	To talk knee-to-knee, talk intimately (literary expression)
미덤성	믿음성	Trustworthiness, reliability (older form of 믿음성)
잇드군만요	있더구먼요	It seems there was/is (older spelling/dialectal form)
古文籍	고문적	Old documents, classical literature
향가	향가	Hyangga (Silla era poetry)
깨달어 알엇서요	깨달아 알았어요	Came to realize, understood (older spelling of 깨달아 알았어요)
저조하여	저조하여	Being low-spirited, decadent, dull
복흥식히지	부흥시키지	To revive, restore (older spelling of 부흥시키지)


---------------------------


잡지명	삼천리 제7권 제6호
발행일	1935년 07월 01일
기사제목	三千里 社交室
기사형태	잡저

三千里 社交室
이달부터 사교실을 두엇습니다. 여기에는 반도의 사상가 재정가 문인 교육자 등 온갓 계급의 인사가 아모 구속받음이 업시 가비엽게 또한 자유롭게 서로 이약이하는 「스목-킹, 룸」 비슷한 처소로 만들엇슴니다. 그래서 이번달은 주로 본사 기자가 諸 명사와 대화 중 어든 담편을 순서업시 채록키로 하엿는데 이 다음달은 형식을 밧고아 서로 어울니는 콘비네-슌적 인물 두 분씩 택하여 서로 서로의 대화 한쌍식 싯기로 하겟습니다.

末次將軍의 李舜臣

宋鎭禹氏 曰-大阪每日新聞 기사에도 크게 난 일이지만 末次大將이 연합함대사령장관으로 잇슬 적에는 大阪선가 東京선가 어느 공회당에서 연설한 일이 잇섯는데 그때 「東洋에 李舜臣은 西洋의 넬손보다 더 나은 名將」이라고 李舜臣의 전략전술을 고금에 드문 명전략이라 하야 激稱한 일이 잇섯지요. 可謂 명장이 명장을 안다 할 일일넌지요.

第二「서울」實現設

