Magazine Title: 개벽 제20호
Publication Date: 1922년 02월 08일
Article Title: 開闢支社新設 (Establishment of New Kaebyŏk Branch Offices)
Article Type: 사고·편집후기 (Notice/Editorial Postscript)

Establishment of New Kaebyŏk Branch Offices

Name: Kaebyŏk P'yŏngnam Branch Office
Location: 125 Sŏram-dong, P'yŏngyang-bu
Jurisdiction: P'yŏngyang, Chinnamp'o, Taedong, Yonggang, Chunghwa, P'yŏngwŏn, Kangsŏ, Anju, Kaech'ŏn, Tŏkch'ŏn, Yŏngwŏn Counties
Staff:
Branch Manager: Kim Yun-sŏn
General Affairs: Ch'oe Yun-ok
Reporter: Yi Sŏng-sam
External Affairs and Accountant: Ch'ae Man-jun

Name: Kaebyŏk Chinju Branch Office
Location: P'yŏnggŏ-ri, P'yŏnggŏ-myŏn, Chinju-gun
Jurisdiction: Chinju, Sach'ŏn, Sanch'ŏng, Hadong, Ŭiryŏng Counties

Name: Kaebyŏk Hwanghae Branch Office
Location: Town center, Chaeryŏng-gun
Jurisdiction: Chaeryŏng, Sinch'ŏn, Anak Counties
Staff:
Branch Manager: Yi Wŏn-yŏng

Name: Kaebyŏk Hamnam Branch Office
Location: 320 Sang-ni, Hamnam-myŏn, Hamnam-gun
Jurisdiction: All of South Hamgyŏng Province (咸鏡南道 一圓)
Staff:
Branch Manager and General Affairs: Ch'oe Ki-p'il
External Affairs Staff Member and Reporter: Mun T'ae-jik

Name: Kaebyŏk Kaesŏng Branch Office
Location: 106 Pukpon-chŏng, Songdo-myŏn, Kaesŏng-gun
Jurisdiction: Kaesŏng, Changdan, P'aju Counties

Name: Kaebyŏk Sŏngch'ŏn Branch Office
Location: 253 Habu-ri, Sŏngch'ŏn-myŏn, Sŏngch'ŏn-gun
Jurisdiction: Sŏngch'ŏn, Sunch'ŏn, Kangdong, Yangdŏk Counties

Branch Bureau Establishment

Name: Kaebyŏk Magazine Sunch'ŏn Branch Bureau
Location: Osu-jŏng, Sunch'ŏn-myŏn, Sunch'ŏn-gun, South Chŏlla Province
Jurisdiction: South Chŏlla Province's Sunch'ŏn, Kwangyang, Yŏsu, Kohŭng Counties and the Pŏlgyo-myŏn area of Posŏng-gun
Staff:
Branch Bureau Chief and Reporter: Kim Yŏng-sŏk
General Affairs: Kim Chong-sŏk

Regarding the above, readers in each respective region, please direct all magazine requests, payments, accounting, and any other business to your relevant Branch Office or Branch Bureau from now on.<63>

**Summary**

This article serves as a notice announcing the establishment of several new branch offices (支社) and a branch bureau (支局) for the magazine *Kaebyŏk* (開闢) across Korea in early 1922. It lists the names, locations, jurisdictions (covering numerous counties and provinces like P'yŏngan, Hwanghae, Hamgyŏng, Kyŏngsang, Chŏlla, and Kyŏnggi), and staff members for offices in P'yŏngyang, Chinju, Chaeryŏng, Hamnam (likely Hamhŭng area), Kaesŏng, Sŏngch'ŏn, and Sunch'ŏn. The notice instructs readers to direct future correspondence, subscriptions, and payments to their local branch. From a historical perspective, this demonstrates the expanding organizational network and reach of influential Korean cultural and nationalist publications like *Kaebyŏk* during the Japanese colonial period. It highlights efforts to establish a nationwide distribution and operational structure, indicating a growing readership and the magazine's significance in disseminating ideas despite colonial constraints. The detailed listing of jurisdictions and staff provides insight into regional engagement and the personnel involved in cultural movements of the time.

**Named Entities**

開闢平南支社	개벽평남지사	Kaebyŏk P'yŏngnam Branch Office
平壤府	평양부	P'yŏngyang-bu
薛巖洞	설암동	Sŏram-dong
平壤	평양	P'yŏngyang
鎭南浦	진남포	Chinnamp'o
大同	대동	Taedong
龍岡	용강	Yonggang
中和	중화	Chunghwa
平原	평원	P'yŏngwŏn
江西	강서	Kangsŏ
安州	안주	Anju
价川	개천	Kaech'ŏn
德川	덕천	Tŏkch'ŏn
寧遠	영원	Yŏngwŏn
金潤璿	김윤선	Kim Yun-sŏn
崔允鈺	최윤옥	Ch'oe Yun-ok
李成三	이성삼	Yi Sŏng-sam
蔡萬俊	채만준	Ch'ae Man-jun
開闢晋州支社	개벽진주지사	Kaebyŏk Chinju Branch Office
晋州郡	진주군	Chinju-gun
平居面	평거면	P'yŏnggŏ-myŏn
平居里	평거리	P'yŏnggŏ-ri
晋州	진주	Chinju
泗川	사천	Sach'ŏn
山淸	산청	Sanch'ŏng
河東	하동	Hadong
宜寧	의령	Ŭiryŏng
開闢黃海支社	개벽황해지사	Kaebyŏk Hwanghae Branch Office
載寧郡	재령군	Chaeryŏng-gun
載寧	재령	Chaeryŏng
信川	신천	Sinch'ŏn
安岳	안악	Anak
李元榮	이원영	Yi Wŏn-yŏng
開闢咸南支社	개벽함남지사	Kaebyŏk Hamnam Branch Office
咸南郡	함남군	Hamnam-gun
咸南面	함남면	Hamnam-myŏn
上里	상리	Sang-ni
咸鏡南道	함경남도	Hamgyŏngnam-do
崔基弼	최기필	Ch'oe Ki-p'il
文泰稷	문태직	Mun T'ae-jik
開闢開城支社	개벽개성지사	Kaebyŏk Kaesŏng Branch Office
開城郡	개성군	Kaesŏng-gun
松都面	송도면	Songdo-myŏn
北本町	북본정	Pukpon-chŏng
開城	개성	Kaesŏng
長湍	장단	Changdan
坡州	파주	P'aju
開闢成川支社	개벽성천지사	Kaebyŏk Sŏngch'ŏn Branch Office
成川郡	성천군	Sŏngch'ŏn-gun
成川面	성천면	Sŏngch'ŏn-myŏn
下部里	하부리	Habu-ri
成川	성천	Sŏngch'ŏn
順天	순천	Sunch'ŏn
江東	강동	Kangdong
陽德	양덕	Yangdŏk
開闢雜誌 順天支局	개벽잡지 순천지국	Kaebyŏk Magazine Sunch'ŏn Branch Bureau
全南 順天郡	전남 순천군	Chŏnnam Sunch'ŏn-gun
順天面	순천면	Sunch'ŏn-myŏn
大手町	대수정	Osu-jŏng
光陽	광양	Kwangyang
麗水	여수	Yŏsu
高興	고흥	Kohŭng
寶城郡	보성군	Posŏng-gun
筏橋面	벌교면	Pŏlgyo-myŏn
金榮錫	김영석	Kim Yŏng-sŏk
金鍾錫	김종석	Kim Chong-sŏk

**Glossary**

支社	지사	Branch office
新設	신설	New establishment
位置	위치	Location
管轄區域	관할구역	Jurisdiction, area of control
職員	직원	Staff member(s)
支社長	지사장	Branch manager
總務	총무	General affairs manager/staff
記者	기자	Reporter
外務	외무	External affairs
會計員	회계원	Accountant
邑內	읍내	Town center (literally 'within the town')
一圓	일원	The entire area of, all of
兼	겸	Concurrently, serving also as
支局	지국	Branch bureau (smaller than a branch office)
雜誌	잡지	Magazine
地方	지방	Region, local area
代金	대금	Payment, price, charge
會計	회계	Accounting, payment settlement
其他	기타	Other(s), the rest
一切	일체	All, everything, entirely
交涉	교섭	Dealings, negotiations, business contact
各其	각기	Each, respectively
所管	소관	Jurisdiction, under the control of
讀者	독자	Reader(s)
諸賢	제현	Gentlemen, esteemed people (used for readers here)
今後	금후	From now on, hereafter
하오시오	하오시오	Please do (older, formal imperative form of 하다)
