Magazine Title: 개벽 제20호
Publication Date: 1922년 02월 08일
Article Title: 鎭南浦의 人力 車夫 康一成씨를 訪問하고 (Visiting Mr. Kang Ilsŏng, a Rickshaw Puller in Chinnamp'o)
Author: 趙基栞
Article Type: 소식 (News/Report)

Visiting Mr. Kang Ilsŏng, a Rickshaw Puller in Chinnamp'o
						Cho Kig'an

It was during January last. The reporter had an occasion to go to Chinnamp'o carrying out a task for this company, and using that opportunity, I sought out Mr. Kang Ilsŏng, a man who pulls a rickshaw in Namp'o, whom I had known about from reading the newspapers. I now wish to write down just as I felt it at that time and introduce it to the general public.

When I went to Chinnamp'o, I happened to stay at the Ch'ŏndogyo district office in Pisŏk-ri of that place. Around 3 PM on the XX day, I, along with two or three staff members from the district office, went looking for the Kubo Gumi (久保組) main office, which is Mr. Kang's place of business. On the way, we stopped by its branch office and asked about Mr. Kang's whereabouts, and they said he happened to have come to that branch office. At that moment, I gave my business card to a person standing outside and requested to see him, and Mr. Kang, who was inside the room, heard this, stopped the story he was telling several colleagues, opened the room door, and greeted the reporter with a very sensitive and emotional face. (Greetings exchanged here are omitted)

Following Mr. Kang's guidance, we went to the Kubo Gumi main office, that is, the place where he stays. I listened to the explanation that the building was two stories, with the lower floor housing the rickshaws and rooms for people, and the upper floor made into a lecture hall and office for the Labor Night School (勞働夜學會), as I followed Mr. Kang up to the second floor and entered the office.

Risking rudeness, the reporter asked about his background from the beginning until now. Mr. Kang said he was born in P'yŏngyang, graduated from Kwangsŏng Elementary School (光成 初等學校), subsequently came to Chinnamp'o, graduated from the Commercial and Industrial School (商工學校), worked at the Chinnamp'o branch of the Industrial Bank (殖産銀行), and then went to work at the Kyŏngsŏng main office. Then what was the motive for starting this work? When asked, Mr. Kang, with a most solemn and deeply moved expression, said: You must have seen much of the criticism given about me in various newspapers. However, I neither particularly like nor dislike what the various newspaper companies have said this way or that, but anyway, it seems the human heart in this world likes to speak ill of others. But I don't want to talk about that, nor do I keep it in mind. What I originally have thought deeply regrettable and unfair for a long time is that this human society we live in is entirely a world of falsehood. If you look at what is clamored about in any newspaper, magazine, or lecture hall, there is no one who is not a hero, no one who is not a sage, but if you look at the actual footsteps they take as they act and walk, although not all are like that, the vast majority – their ideals, words, and writings they clamored about are entirely false things, just empty shells (almost all of them). Therefore, thinking about whether I could actually do something, although lacking strength and sincerity, and disregarding that, I carefully observed our society. Speaking of things necessary for our society, whether it be religion, education, industry, or anything else – there is nothing that is not necessary, but while there are many religious figures in religion, many educators in education, and many industrialists in industry, each earnestly doing their best in the work they have undertaken, I found it extremely deplorable that there is no one exerting effort for the fourth class, namely the laboring society, which is considered the lowest and treats itself as lowly in our society. Therefore, as a bank employee, I could live in fine clothes and good food just by doing office work for a few hours a day, or even if I quit being a bank employee and returned home, I would not be particularly constrained in terms of food and clothing. However, disregarding all that, the reason I resolutely decided to wear the rickshaw puller's *happi* coat is, firstly, to gradually fix the Korean people's habit of having many ideals but little action, and to cultivate the habit of matching ideals with action; secondly, to gradually correct the habit of distinguishing occupations as noble or mean, which is a great cause of the ruin of humanity and nations, and at the same time viewing people according to class; and thirdly, for the dissemination of knowledge and improvement of character among our laboring compatriots who constitute the majority of our society, those who are highest in shedding sweat (labor) but lowest in food and clothing in our society. He spoke with a firm spirit and determined attitude.

Regarding Mr. Kang's work and spirit, as briefly mentioned above, he has established a Labor Night School on the second floor of the Kubo Gumi building where he currently stays, and the number of enrolling students increases by an average of 7 or 8 people daily, so the current attendance is over one hundred. Due to the lack of space, they are acquiring the second floor of the building behind it and are in the process of creating a place to accommodate 300 people. Furthermore, Mr. Kang says that after this night school becomes well-established, he intends to exert some effort for the Chinnamp'o Orphanage. Fearing that his spirit might lose tension if his body is comfortable, he does not eat or sleep at his own home but stays at the Kubo Gumi, eating and sleeping with his several colleagues, sharing the sweet and bitter, while pulling a rickshaw and teaching. (End) <56>

**Summary**

This 1922 article reports on reporter Cho Kig'an's visit to Kang Ilsŏng, an educated former bank employee in Chinnamp'o who chose to become a rickshaw puller. Kang explains his motivations: to combat the prevalent gap between ideals and action in Korean society, to challenge the social hierarchy that demeans manual labor ('fourth class'), and to uplift fellow laborers through education by establishing a Labor Night School. He lives and works alongside other pullers, sharing their hardships, and plans future philanthropic work, including supporting an orphanage. Historically, the article provides a fascinating glimpse into social consciousness among some educated Koreans during the colonial period. Kang Ilsŏng's deliberate choice to join the working class and his critique of societal hypocrisy and class discrimination reflect emerging social reform movements and nationalist sentiments focused on practical action and solidarity, offering a counter-narrative to collaboration or purely intellectual resistance.

**Named Entities**

鎭南浦	진남포	Chinnamp'o
康一成	강일성	Kang Ilsŏng
趙基栞	조기栞	Cho Kig'an
本社	본사	This company (referring to 개벽사, Kaebyŏk Publishing)
新聞紙	신문지	Newspaper
南浦	남포	Namp'o (likely abbreviation for Chinnamp'o)
碑石里	비석리	Pisŏk-ri
天道敎區室	천도교구실	Ch'ŏndogyo district office
久保組	구보조	Kubo Gumi (Japanese name)
勞働夜學會	노동야학회	Labor Night School
平壤	평양	P'yŏngyang
光成 初等學校	광성초등학교	Kwangsŏng Elementary School
商工學校	상공학교	Commercial and Industrial School
殖産銀行	식산은행	Industrial Bank
京城	경성	Kyŏngsŏng (Colonial name for Seoul)
朝鮮	조선	Chosŏn (Korea)

**Glossary**

人力 車夫	인력거꾼	Rickshaw puller
訪問하고	방문하고	Visiting and... (older verb form)
任務	임무	Task, duty
帶하고	대하고	Carrying, undertaking (older verb form using Hanja)
갓던	갔던	Went (older spelling/form of 갔던)
잇섯는데	있었는데	There was, existed (older spelling/form of 있었는데)
알은	알은	Known (older adjectival form of 알다)
찻게	찾게	To look for, seek (older spelling of 찾게)
적어 써	적어 써	Writing down (older expression)
一般	일반	General public
留宿하게	유숙하게	To stay overnight, lodge
職員	직원	Staff member, employee
가티	같이	Together (older spelling of 같이)
들니여	들러	Stopping by (older spelling/form of 들러)
動靜	동정	Whereabouts, movements
마츰	마침	Just then, coincidentally (older spelling of 마침)
합듸다	합니다	Says, does (older polite ending, dialectal or archaic form of 합니다)
밧갓테	바깥에	Outside (older spelling of 바깥에)
名啣	명함	Business card
듯고	듣고	Hearing (older spelling of 듣고)
마잣습니다	맞았습니다	Greeted, met (older spelling of 맞았습니다)
依하야	의하여	According to, by (older form using Hanja)
卽	즉	Namely, that is
層	층	Story, floor (of a building)
講堂	강당	Lecture hall
事務室	사무실	Office
올나가	올라가	Going up (older spelling of 올라가)
갓습니다	갔습니다	Went (older spelling of 갔습니다)
自初至今	자초지종	From beginning to end, the whole story
來歷	내력	History, background
仍히	잉하여	Subsequently, following that (older adverb)
니여	이어	Continuing, following (older spelling of 이어)
잇다가	있다가	Being at/in (a place/state), then... (older spelling of 있다가)
잇섯느라고	있었다고	Said that (he) was there (older reported speech form)
動機	동기	Motive, reason
어떳습니까	어떻습니까	How is it? What is it like? (older spelling of 어떻습니까)
한즉	하니	When asked/said (older connective form)
깁흔	깊은	Deep (older spelling of 깊은)
批評	비평	Criticism, review
만히	많이	Many, much (older spelling of 많이)
보섯겟습니다	보셨겠습니다	You must have seen (older honorific past presumptive form)
조아도	좋아도	Even if liking (older spelling of 좋아도)
시려도	싫어도	Even if disliking (older spelling of 싫어도)
左右間	좌우간	Anyway, in any case
거즛	거짓	Falsehood, lie (older spelling of 거짓)
왼통	온통	Entirely, wholly
席上	석상	Seat, place (often fig., e.g., lecture platform)
안인	아닌	Not being (older spelling of 아닌)
업고	없고	Not having, there is not (older spelling of 없고)
업지마는	없지마는	Although there is not (older spelling of 없지만은)
갓트면	같으면	If it is like... (older spelling of 같으면)
大多數	대다수	Vast majority
깝댁이	껍데기	Shell, husk, superficiality (older spelling of 껍데기)
업고	없고	Lacking (older spelling of 없고)
적으나마	적으나마	Although small/few
볼가	볼까	Shall I see/try? (older spelling of 볼까)
만히	많이	Much, greatly (older spelling of 많이)
勞心하던	노심하던	Worried about, troubled oneself over
가만이	가만히	Quietly, carefully (older spelling of 가만히)
必要치	필요치	Not necessary (older contraction)
만코	많고	Many, much (older spelling of 많고)
마튼 바	맡은 바	What one has undertaken/is responsible for
衷心 盡力	충심 진력	Wholehearted effort
만치마는	많지만은	Although there are many (older spelling of 많지만은)
踐히	천히	Lowly, meanly (older adverbial form)
自處하는	자처하는	Considering oneself as, posing as
第4階級	제4계급	The fourth class (proletariat/working class)
爲하야서는	위하여서는	For the sake of (older form)
痛憤히	통분히	Indignantly, deplorably
아랏습니다	알았습니다	Knew, understood (older spelling of 알았습니다)
몃	몇	A few, several (older spelling of 몇)
好衣好食	호의호식	Fine clothes and good food
拘束되지	구속되지	Be constrained, restricted
奮然히	분연히	Resolutely, determinedly
합피	핫피	Happi coat (Japanese loanword 法被 - worker's coat)
닙기로	입기로	To wear (older spelling of 입기로)
곳처서	고쳐서	Fixing, correcting (older spelling of 고쳐서)
一致케	일치케	To make consistent, match
기르고저	기르고자	Intending to cultivate/foster
둘재는	둘째는	Secondly (older spelling of 둘째는)
滅亡	멸망	Ruin, destruction, downfall
貴賤	귀천	Noble or mean, high or low status
同時에	동시에	At the same time
차츰	차츰	Gradually, step by step
셋재는	셋째는	Thirdly (older spelling of 셋째는)
흘니기로	흘리기로	For shedding (sweat) (older spelling of 흘리기로)
爲함이라고	위함이라고	Said it is for the sake of
꿋꿋한	꿋꿋한	Steadfast, firm
態度	태도	Attitude
設하엿는데	설하였는데	Established (older verb form)
平均	평균	Average
式	씩	Each, per (counter suffix)
增加하여	증가하여	Increasing (older verb form)
좁음을	좁음을	Narrowness, lack of space (older nominalization)
因하야	인하여	Due to, because of (older form using Hanja)
엇고	얻고	Getting, obtaining (older spelling of 얻고)
充實히	충실히	Substantially, fully
孤兒院	고아원	Orphanage
코저 한다 하며	하고자 한다 하며	Saying that one intends to...
安逸하면	안일하면	If comfortable/idle
緊張	긴장	Tension, nervousness
일흘가	잃을까	Fear of losing (older spelling of 잃을까)
寢食	침식	Sleeping and eating
自家	자가	One's own home
동무들과	동무들과	With colleagues/comrades (older term for friend/colleague)
甘苦	감고	Sweet and bitter, hardships and joys
가티하면서	같이하면서	Doing together (older spelling)
-e 

---------------------------


잡지명	개벽 제20호
발행일	1922년 02월 08일
기사제목	鎭南浦의 人力 車夫 康一成씨를 訪問하고
필자	趙基栞
기사형태	소식

鎭南浦의 人力 車夫 康一成씨를 訪問하고
						趙基栞
지난 1月 中 일입니다. 記者는 本社의 任務를 帶하고 鎭南浦에 갓던 일이 잇섯는데 그 機會를 利用하야 일즉히 新聞紙上에서 보아 알은 南浦에서 人力車를 끄는 사람 康一成氏를 찻게 되엇습니다. 이제 그 때에 對하고서 느낀 그것을 그대로 적어 써 一般여게 紹介코저 한다.
내가 鎭南浦에 갓슬 때에는 그 곳의 碑石里 天道敎區室에서 留宿하게 되엇습니다. 00日 下午 3時頃 나는 敎區의 職員 2, 3人과 가티 康氏의 營業所인 久保組本店을 차잣습니다. 가는 길노 그 支店에 들니여 康氏의 動靜을 물은 즉 마츰 그 支店에 왓다고 합듸다. 어때에 나는 그 밧갓테 서 잇는 사람에게 名啣을 주면서 좀 보기를 願한 즉 房안에 잇던 康氏는 그 말을 듯고 여러 동무들에게 무슨 이야기 하던 것을 中止하고 房門을 열고 나아와서 多感多情한 얼골로써 記者를 마잣습니다. (此間의 禮辭畧)
氏의 指導에 依하야 久保組本店 即 自己의 잇는 곳에 갓습니다. 其 집은 二層집인데 下層에는 人力車를 두고 房에는 사람들이 잇게 되엇스며 上層에는 勞働夜學會 講堂과 事務室을 만드럿다는 說明을 들으면서 氏의 뒤를 조차 2層에 올나가 事務室에 들어갓습니다.
記者는 失禮됨을 무릅쓰고 그의 自初至今의 來歷을 물엇습니다. 씨는 平壤에서 나서 光成 初等學校를 卒業하고 仍히 鎭南浦에 와서 商工學校를 卒業하고 니여 殖産銀行 鎭南浦支店에 잇다가 다시 京城本店에 가서 잇섯느라고 하엿다. 그러면 이 일을 始作하게 된 動機는 어떳습니까. 한즉 氏는 가장 엄숙하고도 感慨가 깁흔 얼굴로 各 新聞紙上에서 제에게 對하야 준 批評은 만히 보섯겟습니다. 그러나 저는 各 新聞社에서 이러케 저러케 말한 것을 그다지 조아도 아니하고 시려도 아니합니다 마는 左右間 이 세상 人心이란 것은 다른 사람의 惡評하기를 조아하는 듯 합니다. 그러나 그것은 제가 말하고 십지도 안코 念頭에 두지도 안습니다. 저는 本來 以前부터 甚히 遺憾으로 생각하고 不平히 여긔는 것은 우리가 사는 이 人間社會라는 것은 왼통 거즛世上이라고 합니다. 어느 新聞 雜誌나 講演 席上에서 떠드는 것을 보면 英雄안인 이가 업고 聖賢안인 이가 업지마는 그들의 實地로 行하며 걸어 나아가는 발자취를 볼 것 갓트면 다- 그런 것은 아니겟지만 大多數는 自己가 떠들던 理想과 言論과 文章은 왼통 거즛 것 뿐이요 것 깝댁이 뿐인 것이 만(거의 全部)습니다. 그래서 힘이 업고 정성이 적으나마 그것을 不拘하고 무슨 일을 좀 實地로 行하여 볼가 하는 생각으로써 만히 勞心하던 中에 우리社會를 가만이 살펴 보앗습니다. 우리社會에 必要한 일로 말하면 宗敎나 敎育이나 産業 其他 무엇 무엇이다- 必要치 아는 것이 업지마는 宗敎에는 宗敎家가 만코 敎育에는 敎育家가 만코 産業에는 産業家가 만아서 各各 自己의 마튼 바 일에 衷心 盡力하는 사람이 만치마는 우리 社會에서 第一 踐히 여긔고 踐하로라고 自處하는 第4階級 卽 勞働社會를 爲하야서는 盡力하는 사람이 업는 것을 甚히 痛憤히 아랏습니다. 그래서 저는 銀行員으로서 하로 몃 時間만 事務를 보면 好衣好食 할 수가 잇고 또는 銀行員을 그만두고 집에 도라와 잇더라도 衣食에 나는 그다지 拘束되지 안습니다. 그러나 그것 저것을 다- 不拘하고 奮然히 人力車 합피를 닙기로 決心한 것은 첫재에는 우리 朝鮮사람의 理想만 만코 實行이 적은 버릇을 漸漸히 곳처서 理想과 實行이 一致케 하는 버릇을 기르고저 함이요 둘재는 人類와 民族의 滅亡에 大原因이 되는 營業의 貴賤을 區別하는 同時에 사람까지 階級視 하는 버릇을 차츰 고치고저 함이요 셋재는 우리社會에서 땀 (勞力) 흘니기로 第一 高等이고도 衣食으로는 第一 下等인 우리社會의 大部分을 차지한 勞働하는 同胞의 知識普及과 人格向上을 爲함이라고 꿋꿋한 精神과 決心잇는 態度로 말하엿습니다.
氏의 事業과 精神은 以上에도 暫間 말슴하엿거니와 現在 自己가 잇는 久保組合 2層에다 勞働夜學會를 設하엿는데 날마다 入學員이 平均 7, 8人 式 增加하여 現在 出席生이 百餘命이 됩디다. 그래서 場所의 좁음을 因하야 그 뒤 집 2層을 엇고 3百名 收容할 곳을 만드는 中입니다. 그리고 氏는 이 夜學會가 充實히 된 뒤에는 鎭南浦 孤兒院을 爲하야 좀 盡力코저 한다 하며 그는 肉體가 安逸하면 精神上 緊張을 일흘가 두려워서 寢食을 自家에서 아니 하고 久保組에서 여러 동무들과 寢食하며 甘苦를 가티하면서 人力車를 끌며 글을 가르치고 잇습디다. (끗)＜56＞
＜56＞
