Magazine Title	三千리 제10호
Publication Date	1930년 11월 01일
Article Title	海牙密使事件 眞相, 萬國平和會議와 極東의 風雲 (The True Story of the Hague Secret Emissary Affair, The International Peace Conference and the Storm Clouds in the Far East)
Author	韓末 某老政客...述 (Narrated by a certain elderly statesman from the late Korean Empire)
Article Type	회고·수기 (Memoir/Recollection)

The True Story of the Hague Secret Emissary Affair, The International Peace Conference and the Storm Clouds in the Far East
						Narrated by a certain elderly statesman from the late Korean Empire...

The Taegeukgi Suddenly Hoisted in the Capital of Holland Where Envoys of Nations Gathered

In June 1907 (Meiji 40 = Gwangmu 11), when the storm clouds over the Far East were rapidly gathering, the International Peace Conference, proposed by Tsar Nicholas II of Russia, was held in The Hague, the international city of Holland. To attend it, envoys from dozens of countries across the globe gathered. Not only from nearby European nations like Great Britain, Germany, France, and Belgium, but also from the distant Far East came Japan, and from the Americas came the United States. Each brought numerous international law scholars, authoritative politicians, and newspaper reporters, bustling about to handle the world's affairs. At this time, in front of a certain hotel in the center of The Hague, a large Taegeukgi (太極旗), like a door panel, was hoisted and fluttered well in the passing breeze. This was a common sight during international conferences, as it was customary for envoys from each country to raise their national flag in front of their accommodation, and the Korean envoys formally did so as well.

The curtain rose on the great storm clouds of the late Korean Empire—which would later see the abdication of Emperor Kojong, the disbandment of the army, the conclusion of the Jeongmi Seven Treaties (丁未 7條約), and other rapid changes like the establishment of the Residency-General (統監府)—from this single Taegeukgi fluttering in the center of The Hague.

So, what was the nature of this Peace Conference in The Hague, and what role did Korea's secret envoys strive to play in this conference?

Today, there are the League of Nations, the London Conference, the Washington Conference, etc., which formulate international public law and smooth over political friction. However, over 20 years ago, such permanent organs did not yet exist. This conference was convened solely by the Russian Tsar to resolve the political situation in the Balkan Peninsula, establish rules for land and naval warfare, and settle political disputes among nations through peaceful means. It was an extremely authoritative and important gathering. Naturally, the world's attention was focused on this small capital, The Hague. The expectations and movements of small and weak nations were also particularly significant. At the very beginning of the conference, representatives of the Georgian people, who were annexed by Russia, had already entered the city and were actively campaigning for their independence movement.

The Activities of the Osaka Mainichi Shimbun and the Shock to Japanese Political Circles, Both Domestic and International

In this atmosphere, on June 29th, three envoys suddenly appeared in The Hague, planted the Taegeukgi in front of their hotel, claimed to have been personally dispatched by the Korean Emperor, and vigorously attempted to engage in activities. Who were these figures? As the world knows, they were Yi Sangsŏl (李相卨), Yi Chun (李儁), and Yi Wiyŏng (李偉鍾). Yi Sangsŏl was a man of righteous indignation. Seeing the state of affairs deteriorating, he was a passionate man who had once even attempted to commit suicide in protest by striking his head against the bell tower of P'yŏngyang Castle. He had served as Uiŭijŏngbu Ch'amch'an (議政府 參贊), equivalent to the current Chief Cabinet Secretary, but was dismissed during the Protectorate Treaty of Gwangmu year 9 (1905). Yi Chun, after graduating from Waseda Senmon Gakkō (早稻田專門學校) in Japan, served as a prosecutor at the P'yŏngniwŏn (平理院). He was a man of strong principles who even sued the then Minister of Justice, asserting that the special amnesty granted during Emperor Sunjong's wedding was unfair. Yi Wiyŏng was a secretary at the legation in Russia, fluent in English, French, and Russian, a young diplomat with a refined appearance. At that time, communicating with Hulbert (헐버트) and carrying Emperor Kojong's credentials (信任狀) and 200,000 wŏn in personal funds (親用金), Yi Sangsŏl and Yi Chun traveled through Hamgyŏng Province to Vladivostok (海參威), and from there took the Trans-Siberian Railway (西伯利亞鐵道) to The Hague. However, as recorded in modern history, Korea's diplomatic rights had already passed to Japan due to the Five Treaties of Gwangmu year 9 (1905). Therefore, since Japanese commissioners were present, it was ostensibly impossible for the Korean Emperor's envoys to attend concurrently. Looking briefly at the activities of the aforementioned secret envoys: the three first visited Count Nelidov (래리또푸 伯), the President of the Peace Conference (a Russian commissioner), requesting participation in the main conference, but he refused due to certain external relations. They then made similar efforts with the Dutch Foreign Minister, the initial chair of the conference, but the <21> result was unsatisfactory. The true objective of the three secret envoys, should they attend the main conference, was to declare that the Protectorate Treaty concluded in Gwangmu year 10 (1906) was contrary to the Korean Emperor's will and should be annulled, and also to appeal to the nations about the course of events between the two countries. However, as attendance at the main conference became unlikely, the secret envoys resorted to visiting envoys from each country individually. Notably, they even submitted a certain resolution to the International Association of Journalists, composed of newspaper reporters from various countries, and managed to get it passed. It was a fact that the attention of both domestic and international audiences was intensely focused (瀑注) on these three envoys. The shocking news of the secret envoys' appearance in The Hague was disseminated worldwide by Reuters (로이델사), and in Japan, it was published in the Osaka Mainichi Shimbun (大阪每日新聞). In the morning edition of July 8th, a telegram from the special correspondent Takaisai (高石), dispatched to The Hague by the Mainichi Shimbun, was featured prominently with large headlines. One excerpt from the original text is presented here:

Telegram from The Hague
As reported yesterday, the leaders of the Korean group, who issued an open letter and are campaigning among the commissioners of various countries, are former Uiŭijŏngbu Ch'amch'an Yi Sangsŏl, former P'yŏngniwŏn Judge Yi Chun, and former Secretary of the Korean Legation in Russia Yi Wiyŏng. Yi Chun studied at Waseda Senmon Gakkō 13 years ago. Yi Sangsŏl was Ch'amch'an two years ago. He arrived in the Russian capital via the Trans-Siberian Railway on April 20th, met Secretary Yi there, and came to The Hague. Before departing, Yi Sangsŏl had an audience with the Korean Emperor and received the seal of a special envoy.
Furthermore, according to Yi Chun, regarding their mission, if Japan questions the Korean Emperor, the Emperor will answer that he knows nothing of it. From this point, it is believed they are indeed acting under the Korean Emperor's secret orders.
Yi Wiyŏng is fluent in Russian, English, and French. He visited the Russian, British, American, and French commissioners, but none welcomed him, so he is currently meeting with the Dutch Foreign Minister to continue his efforts.

As can be seen from this telegram, the shock among the Japanese elite and populace at the appearance of the secret envoys was indeed tremendous.

Resident-General Itō's Secret Telegram Order and Foreign Envoys' Attendance at Yi Chun's Funeral

At that time, the special correspondent for the Osaka Mainichi was a man named Takaisai (高石) (currently an executive at Osaka Mainichi). He received orders from the head office and rushed to The Hague from his post in London. However, this Mainichi reporter, utilizing his position as a journalist, visited the three secret envoys at the aforementioned hotel under the instruction of one of the Japanese envoys, Fleet Admiral Shimamura (島村元師), and listened to their arguments for a long time <22> before returning. The gist was that they came with the Emperor's credentials to petition the Peace Conference and aimed to recover the sovereignty partially lost by Korea due to the Japan-Korea Treaty. The conversation between the two parties at that time went:
"So, did you really bring the Korean Emperor's credentials?"
"We certainly did."
"Then please show them."
"We cannot show them. We received strict orders from the Emperor not to show them to anyone other than the Peace Conference envoys until the mission is completed."
"Then, would you like to meet the Japanese Plenipotentiary?"
"Absolutely not."
In reality, the reporter had intended to ask to see the credentials to quickly photograph the secret document and send it to the Japanese government, but he was refused by the secret envoys in this manner. (Japanese Plenipotentiary Baron Tsuzuki (都筑男爵) also confessed that he had earnestly requested this of Takaisai.) The reason the Japanese Plenipotentiary and others scrambled to obtain a photograph of the secret letter was that the then Resident-General of Korea, Itō (伊藤), was greatly alarmed upon learning of the secret envoys' appearance and had telegraphed the Japanese Plenipotentiary headquarters in The Hague demanding conclusive evidence.
This secret envoy incident became the rapid fuse that led to events such as the abdication in the middle of the night, civil disturbances in various places, attacks on train stations, and the activities of figures like Yi Kap (李甲). However, there will be another day to detail these under a different topic, so they are omitted here.
Furthermore, the panicked Korean government at the time put the three secret envoys on trial and delivered judgments in absentia (闕席判決), sentencing Yi Sangsŏl to death by hanging and Yi Wiyŏng to life imprisonment. Prior to this, Yi Chun had died of illness or committed suicide in The Hague. It is said that plenipotentiaries from three unspecified countries participating in the Peace Conference even attended Yi Chun's funeral.
The days and months flow by, history has turned many times, and as we today look back at this Hague Secret Emissary Affair, one of the most dramatic scenes in East Asian politics, we cannot suppress the myriad emotions that spontaneously fill our hearts. (End) <23>
<20-23>

**Summary**

This 1930 article, presented as a memoir by a former official of the late Korean Empire, recounts the 1907 Hague Secret Emissary Affair. It details the arrival of three Korean envoys (Yi Sangsŏl, Yi Chun, Yi Wiyŏng) at the Second Hague Peace Conference, carrying a secret mission from Emperor Kojong to protest the invalidity of the 1905 Protectorate Treaty and appeal for Korea's sovereignty. Despite their efforts, including hoisting the Korean flag and attempting to meet conference officials and foreign journalists, they were denied official participation due to Japan's control over Korea's foreign affairs. The article highlights the shock caused in Japan, particularly the efforts of the Osaka Mainichi Shimbun correspondent and Japanese officials to obtain proof of the Emperor's involvement, which ultimately contributed to Kojong's forced abdication. The piece concludes by reflecting on the tragic outcome, including Yi Chun's death in The Hague and the subsequent crackdown by the Korean government under Japanese pressure. For historians, the article offers a contemporary Korean perspective (albeit published under Japanese rule in 1930) on the event, emphasizing the envoys' determination, the Emperor's secret backing (and deniability strategy), the international context, the role of the press, and Japan's alarmed reaction, framing it as a pivotal precursor to further colonization steps. The mention of foreign dignitaries attending Yi Chun's funeral is also noteworthy.

**Named Entities**

海牙	해아	Hae'a (The Hague)
和蘭	화란	Hwa'ran (Holland/Netherlands)
太極旗	태극기	T'aegŭkki
露國	노국	Noguk (Russia)
니코라이 第 2世	니콜라이 제 2세	Nikolai II (Nicholas II)
萬國平和會議	만국평화회의	Man'guk P'yŏnghwa Hoeŭi (International Peace Conference)
英吉利	영길리	Yŏnggilli (Great Britain)
獨逸	독일	Togil (Germany)
佛蘭西	불란서	Pullanseo (France)
伯耳義	백이의	Paegiŭi (Belgium)
歐羅巴	구라파	Kurap'a (Europe)
日本	일본	Ilbon (Japan)
美洲	미주	Miju (The Americas)
亞美利加	아메리카	Amerik'a (America/USA)
高宗皇帝	고종황제	Kojong Hwangje (Emperor Kojong)
純宗帝	순종제	Sunjong Che (Emperor Sunjong)
丁未 7條約	정미 7조약	Chŏngmi Ch'il Choyak (Jeongmi Seven Treaties)
統監府	통감부	T'onggambu (Residency-General)
巴爾幹半島	발칸 반도	Palk'an Pando (Balkan Peninsula)
조-지아	조지아	Chojia (Georgia)
大阪每日新聞	오사카 마이니치 신문	Ōsaka Mainichi Shinbun
李相卨	이상설	Yi Sangsŏl
李儁	이준	Yi Chun
李偉鍾	이위종	Yi Wiyŏng
平壤城	평양성	P'yŏngyangsŏng (P'yŏngyang Castle)
議政府 參贊	의정부 참찬	Ŭijŏngbu Ch'amch'an
保護條約	보호조약	Poho Choyak (Protectorate Treaty)
早稻田專門學校	와세다전문학교	Waseda Senmon Gakkō
平理院	평리원	P'yŏngniwŏn
駐露公使舘	주로공사관	Churo Kongsagwan (Legation in Russia)
헐버트	헐버트	Hŏlbŏt'ŭ (Hulbert)
咸鏡道	함경도	Hamgyŏngdo
海參威	해삼위	Haesamwi (Vladivostok)
西伯利亞鐵道	시베리아 철도	Siberia Ch'ŏldo (Trans-Siberian Railway)
래리또푸 伯	넬리도프 백작	Nellidop'ŭ Paekchak (Count Nelidov)
로이델사	로이터사	Roit'ŏsa (Reuters)
高石	다카이시	Takaisai
倫敦	런던	Rŏndŏn (London)
島村元師	시마무라 원수	Shimamura Gensui (Fleet Admiral Shimamura)
信任狀	신임장	Sinimchang (Credentials)
都筑男爵	쓰즈키 남작	Tsuzuki Danshaku (Baron Tsuzuki)
伊藤統監	이토 통감	Itō T'onggam (Resident-General Itō)
李甲	이갑	Yi Kap
國際聯盟	국제연맹	Kukche Yŏnmaeng (League of Nations)
倫敦會議	런던회의	Rŏndŏn Hoeŭi (London Conference)
華盛頓會議	워싱턴회의	Wŏsingt'ŏn Hoeŭi (Washington Conference)

**Glossary**

密使	밀사	Secret envoy
眞相	진상	True state of affairs, the truth
萬國平和會議	만국평화회의	International Peace Conference (lit. Ten Thousand Countries Peace Conference)
風雲	풍운	Storm clouds (lit. wind and clouds); turbulent situation
述	술	Narrate, relate
列國	열국	Various countries, the Powers
使臣	사신	Envoy, emissary
飜揚	번양	To flutter, fly (a flag)
提唱	제창	Proposal, advocacy
參席	참석	Attendance, participation
極東	극동	Far East
實로	실로	Truly, indeed
料理	요리	Handling, managing (here, of world affairs)
奔走	분주	Being busy, bustling about
엇든	어떤	Certain, some (older spelling)
꼬치어	꽂히어	To be stuck in, planted (older spelling/form)
날니고 잇섯스니	날리고 있었으니	Was fluttering (older spelling/form)
慣例	관례	Custom, precedent
讓位	양위	Abdication
締結	체결	Conclusion (of a treaty)
其他	기타	Other(s)
統監府	통감부	Residency-General (Japanese administrative body in Korea 1906-1910)
序幕	서막	Prologue, prelude
이러낫든	일어났던	Had arisen, started (older spelling)
性質	성질	Nature, character
作用	작용	Action, function, effect
이르키고저	일으키고자	Intending to cause/start (older form)
活躍	활약	Activity, active efforts
國際公法	국제공법	International public law
制定	제정	Establishment, enactment
軋轢	알력	Friction, discord
撫摩	무마	Soothing, settling, smoothing over
常設機關	상설기관	Permanent organ/institution
업섯고	없었고	Did not exist (older spelling)
政局	정국	Political situation
紛料	분료	Dispute, trouble (less common term)
權威	권위	Authority
視聽	시청	Attention (lit. seeing and listening)
集中	집중	Concentration, focus
弱小民族	약소민족	Small and weak nations/peoples
期待	기대	Expectation, anticipation
劈頭	벽두	Beginning, outset
倂含	병함	Annexation, absorption
慷慨	강개	Righteous indignation
世事	세사	Worldly affairs, state of affairs
글너짐을	글러짐을	Going wrong, deteriorating (older spelling)
憤死	분사	To die of indignation/anger
議政府 參贊	의정부 참찬	Councillor of the State Council (high position in late Joseon/Korean Empire)
免職	면직	Dismissal from office
平理院	평리원	Court of Justice (during Korean Empire)
檢事	검사	Prosecutor
特赦	특사	Special amnesty/pardon
硬骨男兒	경골남아	Man of strong principle (lit. hard-boned man)
公使舘	공사관	Legation
暢達	창달	Fluent, proficient
風釆	풍채	Appearance, bearing
潚酒	소쇄	Refined, neat, elegant (often written 瀟灑)
氣脈을 通하고	기맥을 통하고	To communicate secretly, be in collusion
信任狀	신임장	Credentials, letter of credence
親用金	친용금	Personal funds (often of a ruler)
거처서	거쳐서	Via, passing through (older spelling)
밧고	받고	Receiving (older spelling)
記載	기재	Record, description
保護條約	보호조약	Protectorate Treaty (specifically the 1905 Eulsa Treaty)
말미아마	말미암아	Due to, because of (older spelling)
外交權	외교권	Diplomatic rights
二重列席	이중열석	Double attendance, concurrent participation
表面	표면	Surface, ostensibly
一瞥	일별	A glance, a brief look
列席	열석	Attendance (at a meeting/conference)
呼訴	호소	Appeal, plea
眞目的	진목적	True objective/purpose
加意하다	가의하다	To be possible, likely (less common usage)
個別訪問	개별방문	Individual visit
組織	조직	Organization
決議案	결의안	Resolution (proposal)
提出	제출	Submission, presentation
可決	가결	Approval, passing (of a motion)
內外	내외	Internal and external, domestic and foreign
瀑注	폭주	Pouring down (like a waterfall); concentrated (attention)
驚報	경보	Alarming news/report
揭載	게재	Publication, insertion (in print)
特派	특파	Special dispatch
電文	전문	Telegram
大書特筆	대서특필	Highlighting in large letters, special mention
首班	수반	Leader, head
判事	판사	Judge
在學	재학	Being enrolled in school
在職	재직	Being in office
倒着	도착	Arrival (older variant of 도착 到着)
同所	동소	The same place
謁見	알현	Audience (with a ruler)
印綬	인수	Seal and ribbon (symbol of authority/commission)
詰問	힐문	Interrogation, questioning
確信	확신	Conviction, firm belief
熟達	숙달	Proficiency, mastery
上下	상하	High and low; ruling class and populace
驚愕	경악	Shock, astonishment
大端	대단	Extreme, great
本社	본사	Head office (of a company/newspaper)
幹部	간부	Executive, management
駐地	주지	Stationed place, post
利用	이용	Utilization, use
元師	원수	Fleet Admiral / Marshal
듯고	듣고	Hearing, listening to (older spelling)
請願	청원	Petition, appeal
協約	협약	Agreement, treaty, convention
一部	일부	Part, portion
回復	회복	Recovery, restoration
確實히	확실히	Certainly, surely
보여달나	보여달라	Please show (older spelling/form)
嚴命	엄명	Strict order
全權	전권	Plenipotentiary (envoy with full power)
맛나겟다	만나겠다	Will meet (older spelling/form)
實狀	실상	Reality, actual situation
얼는	얼른	Quickly, promptly (older spelling)
寫眞	사진	Photograph
內約	내약	Secret agreement, understanding
가섯스나	갔으나	Although (someone) went (older spelling/form)
拒絶	거절	Refusal, rejection
懇扥	간탁	Earnest request, entreaty (less common term)
告白	고백	Confession
엇고저	얻고자	Wanting to obtain/get (older spelling/form)
奔走	분주	Being busy, running about
急激	급격	Rapid, drastic
導火體	도화체	Fuse (lit. fire-leading body)
夜半	야반	Midnight
民擾	민요	Civil disturbance, popular unrest
襲擊	습격	Attack, raid
略	략	Omission, abbreviation
蒼慌	창황	Panicked, flustered
裁判	재판	Trial
附하다	부하다	To submit to, refer to
絞刑	교형	Execution by hanging
終身徵役	종신징역	Life imprisonment with hard labor
闕席判決	궐석판결	Judgment in absentia
先是	선시	Prior to this, before this
病死	병사	Death from illness
自決	자결	Suicide
葬式	장식	Funeral
廻轉	회전	Rotation, turning
萬感	만감	Myriad emotions, deep feelings
덥는	덮는	Covering (older spelling)


---------------------------


잡지명	삼천리 제10호
발행일	1930년 11월 01일
기사제목	海牙密使事件 眞相, 萬國平和會議와 極東의 風雲
필자	韓末 某老政客...述
기사형태	회고·수기

海牙密使事件 眞相, 萬國平和會議와 極東의 風雲
						韓末 某老政客...述
列國使臣이 모힌 和蘭 首都에 突然히 太極旗가 飜揚
