Magazine Title: 개벽 제48호
Publication Date: 1924년 06월 01일
Article Title: 녜로 보고 지금으로 본 서울 中心勢力의 流動 (The Flow of Central Power in Seoul, Seen from the Past and Present)
Author: 小春 (Soch'un)
Article Type: 문예기타 (Literature/Other)

Setting aside questions of right and wrong, there was nothing like old Seoul for its orderly social structure. Centered around the Royal Family, from the Chief State Councilor and Ministers above down to the A-frame carriers and laborers below, everyone's affiliation was clear, existing in a state of perfect order, without a thread tangled. In peacetime, each person was content in their assigned duties, and in times of crisis, decisions right and left were made under a single command. Thus, even residence within Seoul Castle was such that one side was inhabited by a certain class of people, and another side by certain *yangban*, so that simply knowing where someone lived allowed one to directly judge that person's status and affiliation without asking their name or character. While this may not have been the case immediately after the capital was established, the lines became even clearer from around the time the Easterners and Westerners split during the reign of King Sŏnjo.
Now, to briefly record the distribution of various affiliated groups in old Seoul:
The area below Puksan (North Mountain) was called Pukch'on (North Village), below Namsan (South Mountain) was Namch'on (South Village), near Naksan (Camel Mountain) was Tongch'on (East Village), inside and outside Sŏsomun (West Small Gate) was Sŏch'on (West Village), around Changgyo and Sup'yogyo bridges was Chungch'on (Middle Village), above Kwangt'onggyo bridge was Uttae (Upper Area), below Hyogyo bridge was Araettae (Lower Area), the riverside was Ogang (Five Rivers), and the area within 10 *ri* (approx. 4km) outside the four sides of the city wall was called Chanae (字內 - The reason it's called Chanae is that the Seoul city wall sections were marked in the order of *Ch'ŏn-Chi-Hyŏn-Hwang* [Heaven-Earth-Black-Yellow characters], designating areas like the 'Ch'ŏn Character Zone' or 'Chi Character Zone' between points, and each military camp was assigned a section between these characters to guard). The four villages (commonly called *Sasallimit*, 'Four Mountain Bases') in the east, west, south, and north were inhabited by *yangban*. Pukch'on housed civil officials (*munban*), and Namch'on housed military officials (*muban*). Furthermore, among the same civil official *yangban*, Sŏch'on was home to the "Westerners" (西人 - The origin of the terms Westerner and Easterner, the start of the so-called Four-Color Factions [四色黨爭] that ruined the entirety of Chosŏn, was because the central figure of the Westerners, Sim Ŭigyŏm [沈義謙], lived in Chŏngdong in Sŏch'on, and the central figure of the Easterners, Kim Hyowŏn [金孝元], lived in Yŏndong in Tongch'on, hence they were called Westerners and Easterners). Later, when the Westerners further split into the Noron (Old Doctrine) and Soron (Young Doctrine) factions, and the Easterners split into the Namin (Southerners) and Pugin (Northerners), and then further into Taebuk (Greater North) and Sobuk (Lesser North), it could be said that Sŏch'on was inhabited by Soron, Pukch'on by Noron, and Namch'on by Namin <56> , but in reality, Soron also lived mixed in Namch'on, though it was predominantly *muban*. Tongch'on was home to Sobuk, Chungch'on to *chungin* (middle people). Uttae was inhabited by clerks (*ibae*) and warehouse keepers (*kojik*) belonging to the Six Ministries and various offices below them, with merchants (commonly called *sijŏngbae*, market folk) particularly living in places like Tadong and Sangsadong. Araettae was home to various military personnel (*kun sok*; officers, attendants, etc.); notably, centered around palace affiliates, the area near Kyŏngbok Palace's West Annex (*Sŏbyŏn'gung*) and Nuhadong housed the so-called Taejŏn Pyŏlgam (大殿別監, palace attendants) faction, while the area near Ch'angdŏk Palace's east side, Wŏnnamdong and Yŏnjidong, housed the Mugam (武監, military supervisor) kin group. Inside Tongsomun (East Small Gate), near Sŏnggyun'gwan (National Confucian Academy), lived the Kwannin (舘人, academy people, commonly called *Kwansaram*), while Wangsimni housed musketeers (*kunch'ong*; soldiers). Along the Ogang riverside lived many boatmen and merchants, and the common term *kangdaesaram* referred to people living by the river.
In Kyŏngsŏng during those times when people lived like this, not only foreigners but even one person from the provinces could not recklessly invade; only commoners from the nearby Kyŏnggi province might come in as *haengnang* servants, or wild women (*yabu*) from the Hwanghae region might enter Seoul as basket peddlers. Other than that, provincial people, except those entering the capital to visit powerful families, could not otherwise make a living in Seoul.

Alas, what a swift turn! In the 11th month of the 9th year of Kwangmu (1905), the so-called Japan-Korea Protectorate Treaty (commonly called the Five-Article Treaty, 을사조약) was concluded, the entirety of Chosŏn fell into the hands of Resident-General Itō, first the armies of the various camps were disbanded, and then in the 4th year of Yung Hŭi (1910), Japan and Korea were annexed. The livelihoods of the entire official class (*sahwan kyegŭp*) in Kyŏngsŏng and their affiliated groups were completely cut off, and the influence of the Japanese surged in like a tide. The foundation of Kyŏngsŏng was shaken to its core, and except for a few newly titled aristocrats (*sin kwijok*) and merchants in a few neighborhoods, the native people of Kyŏngsŏng all began to weep in indignation, hunger, and cold. Consequently, those who retreated to the provinces went to the provinces, those who wandered abroad went abroad, or they moved from below Namsan to below Puksan, from central Kyŏngsŏng to the Four Mountain Bases. Now, unable even to do that, they are pushed out beyond Kwanghŭimun Gate, beyond Tongdaemun Gate, or beyond Sŏdaemun Gate. The distribution of Kyŏngsŏng citizens first underwent a complete change in its state, and it is still changing little by little.
The reason there are people in Seoul these days who still appear rather well-dressed is that wealthy types (*puhoja ryu*), fearing the Independence Army (*Tongniptan*) in the provinces or avoiding various public and private financial burdens, flee to Seoul day after day.
Let's stop talking about the past now and briefly describe the large and small centers of today's Kyŏngsŏng, here and there.

(First) The political center. At Kyŏngbok Palace, the *Haet'ae* statues wrapped in straw mats weep, and at Ch'angdŏk Palace, the tiger confined behind iron bars weeps. The time when the <57> myriad people of Kyŏngsŏng looked up to these two palaces is already an old dream, and today's political center is, needless to say, the Government-General of Chosŏn (朝鮮總督府). The entire area of Namsan, with the line from below Namsan through Honmachi (本町) as its outer boundary, is the sphere of influence of the Government-General. In other words, it is the political center. However, this too will move into Kyŏngbok Palace next year (or the year after). From south to north, the power of the Government-General—no, the power of the Japanese—flows evenly through Kyŏngsŏng. Will the future prosperity of Kyŏngsŏng be along Kwanghwamun Street (光化門通) and T'aep'yŏngjŏng Street (太平町通)? As the weather is strange these days, shall we just quietly watch the clouds gather?
(Second) The commercial center. "I wondered what Seoul people were doing, bustling about in the streets day and night like that, and it turns out they were going to Chin'gogae to empty their pockets and offer their money to the Japanese there." This was the impression of a certain country person visiting Seoul for the first time, and indeed it is so. That is, Chin'gogae is the commercial center of Kyŏngsŏng. Goods claimed to be directly imported from Europe or America, or under special contract from Japan, mostly pass through Japanese merchants in Chin'gogae. Next would be Chongno Street (鍾路通) and Namdaemun Street (南大門通). However, until some time ago, the direct influence of Japanese merchants did not extend beyond Chin'gogae and Namdaemun Street, but in recent years, it has stealthily crossed Hwanggeumjŏng Street (黃金町通), and lately, one occasionally sees new Japanese shop signs even on Chongno Street. Following the northward move of the Government-General, this situation will likely change even more rapidly. According to recent talk, the center of Greater Kyŏngsŏng (大京城) is moving to Chongno 4-ka, but its master is said to be someone else.
(Third) The cultural center. Where is the center of Kyŏngsŏng's culture? Truly, where is the cultural center that elevates the dignity of the Korean people? This is a very difficult observation. Some might say that Kyŏngbok Palace and Ch'angdŏk Palace, which house museums with collections of Chosŏn's traditional art—whether complete or not—and zoos, could be seen as cultural centers. But isn't this too superficial an observation? Alternatively, speaking broadly, should the area north of Chongno be called the cultural center, or the area south of it? In any case, looking at the current situation today, excluding the far east and far west north of Chongno, there are several specialized schools like Posŏng College (普專), Law College (法專), Kyŏngsŏng Higher School (高等), Medical College (醫專), and Higher Technical School (高等工業). There are media organizations such as the Tonga Ilbo (東亞日報社), Chosŏn chi Kwang Sa (朝鮮之光社), and Kaebyŏk Sa (開闢社). There is a library and a youth center. And there are the collections of art in the aforementioned palaces. So, forcing the point, shall we say that the cultural center of Kyŏngsŏng lies in the central part north of Chongno? Haha.
(Fourth) Various centers. Broadly dividing Kyŏngsŏng, one could say that south of Hwanggeumjŏng is the Japanese sphere of influence, and north of Hwanggeumjŏng is the Korean sphere of influence. <58> However, looking closer, there are various smaller centers. For instance, inside and outside Sŏsomun and Sŏdaemun, mainly British and Americans live; in parts of Kwanch'ŏltong and Puk Mich'angjŏng (北米倉町), Chinese people reside collectively. Even within the Japanese sphere of influence, setting aside the official residence neighborhoods (*kwansa purak*), there are official residence zones (*kwansa chidae*) occupying such vast land and buildings that they would account for six-tenths of all Kyŏngsŏng if removed. To quickly count: Taehwajŏng (大和町) official residences, Waesŏngdae (倭城臺) official residences, the judicial official residences in Inŭidong, the bank residences in An'guktong, the Kilyano (吉野) residences and residential land in Puk Mich'angjŏng. Among these, the immense Yongsan military barracks area and the railway district (*ch'ŏlto purak*) are truly so vast that it's impossible to count them all. In these official residences occupying six-tenths of Kyŏngsŏng, how many houses might have name plates (*munp'ae*) with three-character [Japanese] surnames attached? Looking briefly at transportation convenience, the main transportation arteries of Kyŏngsŏng are the lines connecting Namdaemun and Chongno, the East and West Gates, plus the Hwanggeumjŏng line. Since Mr. Collbran's (골부란 씨) time, the electric trams operated by the current Kyŏngjŏn Company (京電會社) have generally been laid along these main lines.
Regarding Kyŏngsŏng's transportation connections, it is situated at the center of the Kyŏngbu (Seoul-Pusan), Kyŏngŭi (Seoul-Sinŭiju), Kyŏngin (Seoul-Inch'ŏn), and Kyŏngwŏn (Seoul-Wŏnsan) railway lines. Additionally, the water transport of the Han River, which flows across central Chosŏn, runs outside Kyŏngsŏng city, so it is not without value as a major metropolis. Furthermore, if the currently planned Northern Arterial Line (北部幹線; the line that will pass from in front of Kyŏngbok Palace through the front of Ch'angdŏk Palace) is realized, the appearance and influence of northern Kyŏngsŏng will change once again.
Finally, a word about the scenery of Kyŏngsŏng. The scenery is truly splendid. Though perhaps not vast, the surrounding mountain ridges embrace it beautifully. Beyond these mountains, Mt. Pukhan (三角) to the north and Mt. Kwanak (冠嶽) to the south, far, far away, send feelings of reverence to the people of Seoul. Especially the deep blue-green of the Han River flowing southwest of Seoul is truly a natural park (*ch'ayŏn ŭi yuwŏn*). Being able to transcend the worldly passions of the city while living in it is perhaps a special privilege limited to those living in Seoul. Moreover, outside Tongdaemun lies Ch'ŏngnyangsa Temple; outside the North Gate are Sŏkp'a Villa (石坡山莊) and Se'gŏmjŏng Pavilion; at the foot of Namsan are Hongyŏpjŏng Pavilion and Noinjŏng Pavilion; to the north are Samch'ŏngdong and Ch'wiunjŏng Pavilion; to the south are Changch'ungdan Altar and Hanyang Park; centrally located is T'aptong Park; to the west is Sajiktan Altar. In the small city of Kyŏngsŏng, paradises for amusement (*yuhŭng ŭi nakt'ŏnji*) are open everywhere one goes. But in such a land, who are those full on scenery (*kyŏng*) but hungry for food, and who are those full on food and also drunk on scenery? Oh, immature wandering youths (*purang ŭi adŭl*) jingling a bit of money (*tonp'un*), do not senselessly disturb the scenery of Seoul with geishas (*kisaeng*) and automobiles. Hasn't the water in the big cauldron (*k'ŭn kama*) been boiling for a long time now? Sink the ships and break the cauldrons (沉船破釜甑, Ch'imsŏn p'abusŭng) – how should we take these words? <59>

**Summary**

This article contrasts the rigidly structured social geography of pre-colonial Seoul (Kyŏngsŏng), where residence clearly indicated class and faction (Pukch'on for civil officials, Namch'on for military, etc.), with the dramatic shifts following Japanese colonization. The author describes the displacement of the traditional Korean elite and populace outwards from the city center due to the influx of Japanese power and settlers, culminating in Japanese dominance of political (Government-General) and commercial (Chin'gogae, spreading to Chongno) centers. It also reflects on the changing cultural landscape and laments the disparities between those who enjoy Seoul's beauty and wealth (often Japanese or collaborators) and those (Koreans) who are dispossessed and struggling.

From a historical perspective, the article is valuable for its detailed, albeit somewhat nostalgic, mapping of Seoul's social hierarchy onto its physical space in the late Joseon period, pinpointing specific neighborhoods for different groups (civil/military officials, factions like Noron/Soron, *chungin*, merchants, military personnel, palace affiliates). It provides a contemporary Korean perspective on the profound disruption caused by colonization, charting the physical displacement of Koreans ("pushed out beyond Kwanghŭimun") and the clear demarcation of Japanese versus Korean spheres of influence (south vs. north of Hwanggeumjŏng/Koganechō). The commentary on the shifting commercial center towards Chongno and the planned relocation of the Government-General to Kyŏngbok Palace grounds highlights the ongoing consolidation of colonial power. The concluding lament, using the idiom "sink the ships and break the cauldrons," suggests a sense of impending crisis or a point of no return, reflecting the anxieties of the period.

**Named Entities**

小春	소춘	Soch'un
서울	서울	Sŏul
北山	북산	Puksan
北村	북촌	Pukch'on
南山	남산	Namsan
南村	남촌	Namch'on
駱山	낙산	Naksan
東村	동촌	Tongch'on
西小門	서소문	Sŏsomun
西村	서촌	Sŏch'on
長橋	장교	Changgyo
手標橋	수표교	Sup'yogyo
中村	중촌	Chungch'on
廣通橋	광통교	Kwangt'onggyo
孝橋	효교	Hyogyo
江邊	강변	Kangbyŏn
五江	오강	Ogang
城밧	성밧	Sŏngbat
天地玄黃	천지현황	Ch'ŏn-Chi-Hyŏn-Hwang
軍營	군영	Kunyŏng (Military Camp)
東人	동인	Tongin (Easterners Faction)
西人	서인	Sŏin (Westerners Faction)
宣祖朝	선조조	Sŏnjo Dynasty Reign
沈義謙	심의겸	Sim Ŭigyŏm
貞洞	정동	Chŏngdong
金孝元	김효원	Kim Hyowŏn
蓮洞	연동	Yŏndong
老論	노론	Noron (Old Doctrine Faction)
少論	소론	Soron (Young Doctrine Faction)
南人	남인	Namin (Southerners Faction)
北人	북인	Pugin (Northerners Faction)
大北	대북	Taebuk (Greater North Faction)
小北	소북	Sobuk (Lesser North Faction)
六曹	육조	Yukcho (Six Ministries)
各司	각사	Kaksa (Various Offices)
茶洞	다동	Tadong
相思洞	상사동	Sangsadong
景福 西便宮 樓下洞	경복 서변궁 누하동	Kyŏngbok Sŏbyŏn'gung Nuhadong
大殿別監	대전별감	Taejŏn Pyŏlgam (Palace Attendants)
昌德宮 東便	창덕궁 동편	Ch'angdŏk Palace East Side
苑南洞	원남동	Wŏnnamdong
蓮池洞	연지동	Yŏnjidong
武監	무감	Mugam (Military Supervisor)
東小門	동소문	Tongsomun (East Small Gate)
成均館	성균관	Sŏnggyun'gwan
舘人	관인	Kwannin (Academy People)
往十里	왕십리	Wangsimni
近畿	근기	Kŭn'gi (Kyŏnggi Province)
黃海地方	황해지방	Hwanghae Province
光武9년	광무9년	Kwangmu 9th year (1905)
日韓新協約	일한신협약	Ilhan Sinhyŏbyak (Japan-Korea Protectorate Treaty / Eulsa Treaty)
五條約	오조약	Ojoyak (Five-Article Treaty)
朝鮮	조선	Chosŏn
伊藤 統監	이등 통감	Itō T'onggam (Resident-General Itō Hirobumi)
隆熙4년	융희4년	Yung Hŭi 4th year (1910)
日韓	일한	Ilhan (Japan-Korea)
京城	경성	Kyŏngsŏng (Seoul, colonial name)
新貴族	신귀족	Sin Kwijok (New Aristocrats)
光熙門	광희문	Kwanghŭimun
東大門	동대문	Tongdaemun
西大門	서대문	Sŏdaemun
獨立團	독립단	Tongniptan (Independence Army/Group)
景福宮	경복궁	Kyŏngbok Palace
昌德宮	창덕궁	Ch'angdŏk Palace
朝鮮總督府	조선총독부	Chosŏn Ch'ongdokpu (Government-General of Chosŏn)
本町	본정	Ponjŏng (Honmachi)
光化門通	광화문통	Kwanghwamun Street
太平町通	태평정통	T'aep'yŏngjŏng Street (Taiheichō-dōri)
진고개	진고개	Chin'gogae
歐米	구미	Kumi (Europe and America)
日本	일본	Ilbon (Japan)
鍾路通	종로통	Chongno Street
南大門通	남대문통	Namdaemun Street
黃金町通	황금정통	Hwanggeumjŏng Street (Koganechō-dōri)
鍾路四街	종로4가	Chongno 4-ka
大京城	대경성	Tae Kyŏngsŏng (Greater Kyŏngsŏng)
普專	보전	Pojŏn (Posŏng College)
法專	법전	Pŏpchŏn (Law College)
高等	고등	Kodŭng (Kyŏngsŏng Higher School)
醫專	의전	Ŭijŏn (Medical College)
高等工業	고등공업	Kodŭng Kongŏp (Higher Technical School)
東亞日報社	동아일보사	Tonga Ilbo Company
朝鮮之光社	조선지광사	Chosŏn chi Kwang Sa
開闢社	개벽사	Kaebyŏk Sa
鍾路	종로	Chongno
西小門	서소문	Sŏsomun
西大門	서대문	Sŏdaemun
英米人	영미인	Yŏngmiin (British and Americans)
貫鐵洞	관철동	Kwanch'ŏltong
北米倉町	북미창정	Puk Mich'angjŏng (Kita Beisō-chō)
中國人	중국인	Chung'gugin (Chinese people)
日本人	일본인	Ilbonin (Japanese people)
大和町	대화정	Taehwajŏng (Yamato-chō)
倭城臺	왜성대	Waesŏngdae (Wajōdai)
仁義洞	인의동	Inŭidong
安國洞	안국동	An'guktong
吉野	길야	Kilyano (Yoshino)
龍山	용산	Yongsan
鐵道部落	철도부락	Ch'ŏlto Purak (Railway District/Settlement)
南大門	남대문	Namdaemun
東西 兩門	동서 양문	Tong-Sŏ Yangmun (East and West Gates)
골부란 씨	골부란 씨	Mr. Kollburan (Collbran)
京電會社	경전회사	Kyŏngjŏn Hoesa (Kyŏngsŏng Electric Company)
京釜	경부	Kyŏngbu (Seoul-Pusan line)
京義	경의	Kyŏngŭi (Seoul-Sinŭiju line)
京仁	경인	Kyŏngin (Seoul-Inch'ŏn line)
京元	경원	Kyŏngwŏn (Seoul-Wŏnsan line)
漢江	한강	Han River
北部幹線	북부간선	Pukpu Kansŏn (Northern Arterial Line)
淸凉寺	청량사	Ch'ŏngnyangsa Temple
石坡山莊	석파산장	Sŏkp'a Sanjang (Sŏkp'a Villa)
洗釰亭	세검정	Se'gŏmjŏng (Segeomjeong Pavilion)
紅葉亭	홍엽정	Hongyŏpjŏng Pavilion
老人亭	노인정	Noinjŏng Pavilion
三淸洞	삼청동	Samch'ŏngdong
翠雲亭	취운정	Ch'wiunjŏng Pavilion
獎忠壇	장충단	Changch'ungdan Altar
漢陽公園	한양공원	Hanyang Park
塔洞公園	탑동공원	T'aptong Park (Pagoda Park)
社稷壇	사직단	Sajiktan Altar

**Glossary**

녜로	네로/예로	From the past (old form of 예로)
녯적	옛적	Old times, the past (old spelling of 옛적)
업섯다	없었다	Did not exist, there was no... (old spelling of 없었다)
밋흘	밑을	Beneath, under (old spelling of 밑을)
제 各히	제각기	Each, respectively, individually (old spelling/spacing)
마튼 바	맡은 바	What was entrusted, assigned duty (old spelling of 맡은 바)
一朝有事	일조유사	In case of emergency, should a crisis arise
一絲不亂	일사불란	In perfect order, not tangled even by a single thread (idiom)
品位	품위	Dignity, status, class
族屬	족속	Affiliated group, kin, clan, type of people
直判	직판	To judge directly
分布狀況	분포상황	Distribution status/situation
양반	양반	Yangban (traditional ruling class)
文班	문반	Civil officials
武班	무반	Military officials
난위고	나뉘고	Being divided (old spelling of 나뉘고)
雜居	잡거	To live mixed together
吏輩	이배	Clerks, petty functionaries (often derogatory)
庫直	고직	Warehouse keeper
市井輩	시정배	Market folk, townspeople (sometimes derogatory)
軍屬	군속	Military personnel, those attached to the military
舘人	관인	People associated with an academy/institution (here, Sŏnggyun'gwan)
行廊살이	행랑살이	Living in servant's quarters (*haengnang*)
權門	권문	Powerful family, influential household
嗚呼	오호	Alas!, Oh! (interjection of sorrow or lament)
是何急轉	시하급전	What a swift turn/change this is!
仕宦階級	사환계급	Official class, bureaucracy
아조 뚝 더러지고	아주 뚝 떨어지고	To be completely cut off/lost
潮水	조수	Tide
基盤	기반	Foundation, base
本土	본토	Native land, mainland; here, native (to Seoul)
慷慨	강개	Indignation, resentment
飢寒	기한	Hunger and cold
流離	유리	To wander, drift, become displaced
번즈르르하게	번지르르하게	Glossily, showily, sleekly (often implying superficiality)
忌避	기피	To avoid, evade
富豪者流	부호자류	Wealthy people, the rich class (lit. 'rich person types')
거적	거적	Straw mat
쌔힌	싸인	Wrapped in (old spelling of 싸인)
해태	해태	Haetae (mythical lion-like creature, often seen as statues)
鐵窓	철창	Iron bars (of a cage or window)
萬民	만민	All the people, the entire populace
녯꿈	옛꿈	An old dream, something past
總督府	총독부	Government-General (specifically, the Japanese colonial administration)
勢力圈	세력권	Sphere of influence
明󠄁年	명년	Next year (older form using 明 instead of 來)
來明󠄁年	내명년	The year after next (older form using 明 instead of 來)
날새	날씨	Weather (dialectal or older form)
니러나는	일어나는	Rising, gathering (old spelling of 일어나는)
복작복작	복작복작	Bustlingly, crowd bustling sound/manner
밧치려	바치려	To offer, present, give up (old spelling of 바치려)
넘겨 오는	넘겨 오는	To come via, pass through
너머서	넘어서	Crossing, going beyond (old spelling of 넘어서)
음을 딸하	옮을 따라	Following the move (older spelling/phrasing for 옮김에 따라)
具備	구비	To possess, be equipped with
놉혀 주는	높여 주는	That which elevates/raises (old spelling of 높여 주는)
억지로	억지로	Forcibly, reluctantly, stretching the point
占有	점유	To occupy, possess
宏大	굉대	Vast, immense
이기여	이겨	Overcoming, surpassing (here used idiomatically with 헤아릴 수 없다 to mean 'impossible to count')
헤일	헤아릴	To count, estimate (old spelling of 헤아릴)
업스리	없으리	Will likely not exist/be (old spelling of 없으리)
門牌	문패	Name plate (on a door/gate)
아지 못게라	아직 몇 개나	Yet how many (combines older forms/dialect?) - meaning 'how many might there still be?'
交通幹線	교통간선	Main transportation artery/line
敷設	부설	To lay, install (e.g., railway tracks, cables)
橫流	횡류	To flow across/horizontally
水運	수운	Water transport
面目	면목	Face, appearance, dignity
널지는	넓지는	Though not wide (old spelling of 넓지는)
돌녀 안은	돌려 안은	That embraces by turning/circling (old spelling of 돌려 안은)
四圍	사위	Surroundings, all four sides
山勢	산세	Mountain topography/configuration
너머서	넘어서	Beyond, over (old spelling of 넘어서)
멀니멀니서	멀리멀리서	From far, far away (old spelling)
敬虔	경건	Reverence, piety
深碧	심벽	Deep blue-green color
遊園	유원	Park, garden for amusement
俗情	속정	Worldly desires, mundane feelings
超脫	초탈	To transcend, rise above
特典	특전	Special privilege/benefit
樂天地	낙천지	Paradise, land of pleasure
주리는	주리는	Hungry, starving (standard form, but context is notable)
醉하는	취하는	To get drunk on, be intoxicated by
돈푼	돈푼	A small amount of money, pocket change
달낭거리는	달랑거리는	Jingling, dangling (sound/motion of small items like coins)
철업는	철없는	Immature, naive, lacking sense (old spelling of 철없는)
浮浪	부랑	Wandering, vagrancy
兒들아	아들아	Children, youths (vocative plural)
속절업시	속절없이	Hopelessly, uselessly, without recourse (old spelling of 속절없이)
기생	기생	Gisaeng (female entertainer, courtesan)
어즈럽게	어지럽게	Disorderly, messily, dizzyingly (old spelling of 어지럽게)
마러라	마라	Do not (imperative prohibition, old spelling of 마라)
큰 가마	큰 가마	Big cauldron/pot
끌는지가	끓은지가	Since it started boiling (old spelling of 끓은 지가)
오래지를 안엇너냐	오래지 않았느냐	Has it not been long? (old spelling/phrasing)
沉船破釜甑	침선파부증	Sink the ships and break the cauldrons (idiom: point of no return, burn one's bridges)
올흘고	옳을꼬	Would it be right/correct? (interrogative ending, old form)
-e 

---------------------------


잡지명	개벽 제48호
발행일	1924년 06월 01일
기사제목	녜로 보고 지금으로 본 서울 中心勢力의 流動
필자	小春
기사형태	문예기타

녜로 보고 지금으로 본 서울 中心勢力의 流動
						小春
是非善惡은 別問題로 하고, 녯적의 서울처럼 사회조직의 整然한 것은 업섯다. 王室을 중심으로 하고, 우으로 領議政 判書로부터 아래로 지게군 땅군까지 제 各히 소속이 분명하야, 一絲不亂의 整備狀態에 잇섯다. 平時에는 제各히 마튼 바의 임무에 편안하고, 一朝有事의 秋에는 한 令의 밋해서 좌우를 決하게 되엿섯다. 그래서 서울城 안에는 그 거주하는 것조차 어느 편에는 어느 級의 족속이 살고 어느 쪽에는 어느 양반이 산다하야 아모데에 사는 사람이라 하면 그 사람의 姓名 性質 如何를 물을 것 업시 그 사람의 品位 族屬의 如何를 直判하게 되얏다. 이것이 물론 京城 開都 직후의 일은 아니엿슬지나, 宣祖朝 年間 東人 西人이 갈닌 이후쯤부터는 일층 그 線이 분명하게 되엿다.
이제 녯 서울의 各 族屬의 분포상황을 畧記하면
