Magazine Title: 삼천리 제10권 제8호
Publication Date: 1938년 08월 01일
Article Title: 太平洋서 絶讚밧는 崔承喜 - 米國 건너가서 最高 人氣 속에 싸히다 (Ch'oe Sŭnghŭi Receives Rave Reviews Across the Pacific - Goes to America and is Surrounded by Top Popularity)
Author: Unspecified (Quotes a letter from An Mak)
Article Type: 소식 (News/Report)

Ch'oe Sŭnghŭi Receives Rave Reviews Across the Pacific - Goes to America and is Surrounded by Top Popularity

**Explosion of Popularity in Western Society**

It has already been over half a year since our proud dancer (舞姬), Ms. Ch'oe Sŭnghŭi, left Chosŏn. Since then, how many flower garlands has she been showered with, and how buried has she been in the world's lavish praise? We can glimpse a part of this from a letter sent from Hollywood by her husband, Mr. An Mak (安漠), to her older brother in Seoul, Mr. Ch'oe Sŭngil (崔承一).

*To Brother Sŭngil -*

*「After concluding the performance in San Francisco (桑港) on the 22nd of last month with great success, we arrived in Hollywood on the 24th. Here, there will be a performance on February 2nd at the Ebell Theatre, which is the most high-class venue here. We are spending busy days practicing daily. We are meeting various stars here in Hollywood. We are looking for an opportunity to get a chance to enter the film industry.*

*After finishing here, we will depart for New York on February 3rd. We have formally signed with the Metropolitan Musical Bureau, and it has been decided that we will first perform 12 times in New York, three times a week. It means Sŭnghŭi has reached an international level, carrying the label 'Metropolitan Presents'.*

*We are keeping healthy and are engrossed in new works every day without even a moment's rest. We created new pieces because we lacked works. When we get to New York, I expect letters from home will have arrived, and I will read them gladly. Please write often and tell me about life in Seoul. As I wrote in my previous letter, our address in the U.S. (米國) can be care of the Japanese Consulate General, or care of the Metropolitan [Musical Bureau]; please send it to either address. <164>*

*If you are going to announce it in the newspapers, it seems better to use the Metropolitan address. Also, the Metropolitan people travel to provincial areas and go out for performances almost daily, unlike the Japanese Consulate, so it might be more convenient to send mail to the Metropolitan address.*

*Respectfully, An Mak, from the Hollywood Hotel」*

The "Metropolitan Music" mentioned in this letter is a place that introduces and arranges performances only for the world's foremost artists. In the past, even Mei Lanfang (梅蘭芳) from the East requested their services but was refused, and the tenor Fujihara Yoshie (藤原義江) and Sekiya Toshiko (關屋敏子) also did not succeed. Only Ms. Miura Tamaki (三浦環), who held much popularity among Westerners, is said to have attained this fortune. It is said that Ms. Ch'oe Sŭnghŭi appeared on this path of highest honor, with the managers there bowing respectfully to invite her.

**Popularity Explodes on the Other Side of the Pacific**

When Ms. Ch'oe Sŭnghŭi, elegantly dressed in simple Chosŏn attire (소복 단장) and wearing blue leather shoes (판란 갓신), arrived in San Francisco (桑港) via Hawaii (布哇), many people from the local arts organizations came out. Some presented splendid floral wreaths (花環), while others seemed to conduct welcoming music with batons (指揮棒). From her first step ashore on the Pacific Coast (太平洋岸 上陸 第一步), she captured the popularity of all levels of American society. When she drove her car to the hotel, numerous newspaper and magazine reporters, led by the San Francisco Times (桑港日報 - Sanggak Ilbo, lit. 'San Francisco Daily Report'), rushed over, busy reporting her every word and phrase (일언척구), her every move (일거수일투족). Truly, the newspapers that day were adorned with the gently smiling beautiful figure from this peninsula and news about her. Of course, Korean compatriots residing there also came out to the wharf (波止場) or the station entrance (驛頭), waving handkerchiefs and shouting welcomes. <165>

And when she finally revealed her neat and lovely figure in first-rate theaters in San Francisco and Hollywood, exuding the sentiment unique to our peninsula's dance, the applause, cheers, admiration (驚嘆), and cries of praise (讚聲) from the packed audiences were, needless to say, immense, deep, and broad.

The popularity across America was entirely engulfed in a storm of rave reviews. Thus, through the efforts of the single Ms. Ch'oe, who crossed thousands of *ri* without considering the distance, the dance and sentiment (情調) of Chosŏn—which had budded, sprouted, and begun to flourish in the small Eastern Peninsula (東半島) of Asia—gave great inspiration and emotion to people of all nations, who were suffocatingly immersed in machine civilization (機械文明) upon machine civilization, material civilization (物質文明) upon material civilization.

**Now Across the Atlantic (太西洋) to England and France (英佛)**

Now, after finishing her final performances in America in the world's largest city, New York (紐育), she will set sail again on the Atlantic Ocean (太西洋) and head towards the European Continent (歐洲大陸), her original destination, where Paris (巴里), Vienna (維也納) - city of musical greats - and London (倫敦) are located. Truly, if one thinks about it, the world-renowned dancers of the past — for example, Anna Pavlova or Isadora Duncan — have all passed away now. Now, the world is truly calling for a new genius dancer (天才舞踊家). At this time, is not the dancer (무히) of the peninsula emerging, not betraying this expectation? This can truly be called a joyous matter. Here is an excerpt of a dance review from a New York newspaper ("뉴욕산 신문지") regarding Ms. Ch'oe's performance in New York:

*「When encountering a guest from a distant land like Chosŏn, one would imagine the audience would naturally adopt an attitude of sympathetic tolerance, but there is absolutely no need for that with Ms. Ch'oe Sŭnghŭi. She is an exceptional artist. While devoted to the traditions of her homeland, she is an artist who displays exquisite agility and skill that transcends racial limitations. Her slender and beautiful figure and her expressively lovely face on stage captivate the audience.*

*The program that day featured Chosŏn's classical and humorous dances, but what most captured the audience's popularity were the 'humor' and folk dances. Among them, the masked dance called 'Chosŏn's Wanderer' (조선의 漂泊者) was itself bizarre, and its mask was truly an extraordinary fantasy (奇想). The dance of the proud Koryŏ General, gorgeous and imposing, was also a rare masked dance. The elegant and splendid costumes changed with each dance,<166> winning the audience's endless favor.*

*Her beautiful movements (동정) and ever-changing postures (천태만상) could be seen in the 'Chosŏn Dancer Suite'. Generally speaking, the elegant and delicate sentiment (情味) unique to Eastern art was its distinctive feature.*

*The accompaniment (반주) was janggu (장고) and piano under the direction of Yi Kosan (李孤山).」*

*(End)*

The program that day was as follows:
1. Honeymoon Trip 2. Silla Court Lady 3. Temptation of the Virtuous Monk (道僧) 4. Song of Parting (相別曲) 5. Mural Painting of Nangnang (樂浪)
6. Sword Dance (劍舞) 7. Chosŏn's Wanderer (조선의 漂泊者) 8. War Dance of Koguryŏ (高句麗) 9. Koryŏ General (高麗 大將) 10. Chosŏn Dancer Suite (조선 무희)
11. Commemorative Festival Dance (기념제 舞) 12. Farmer's Daughter (농가의 처녀) 13. Physiognomist (관상가) 14. [Cut off]

**Ms. Ch'oe's First Statement (第 1聲) During Her U.S. Visit**

And here is a newspaper article published in the Hollywood Sun about an interview with Ms. Ch'oe Sŭnghŭi:

*Ms. Ch'oe Sŭnghŭi is currently staying at the Hollywood Roosevelt Hotel during her sojourn in America. She is introducing Chosŏn classical dance while also showing her own creations imbued with modern color.*

*Ms. Ch'oe Sŭnghŭi spoke as follows to an American reporter who visited her:*

*"Being far away, everyone wants to see America. America is a civilized country and also a miraculous country where everyone lives well. Even the performers (배우) here all wish to see it at least once.*

*Furthermore, modern young men and women like anything American. For instance, American food, American clothes, American customs, even American dance, they like it all."*

*She spoke thus quite well in halting English, and then continued,*

*"However, it's regrettable, but Chosŏn has no dance halls (땐쓰홀), which is a problem. But people can dance in their respective homes. I really like the social dance (사교땐쓰) that can be done in homes, in the Western style," she said and laughed briefly. Ms. Ch'oe came to America (渡米) as an envoy of Chosŏn dance after accumulating deep research, ranging from the classical to the modern. Having finished her first performance in San Francisco (쌘푸랜씨쓰코), she plans to head to New York next. After that (其後엔), it seems she is likely to leave for Europe (유롭).*

*Ms. Ch'oe was very pleased.<167>*
<164-167>

**Summary**

This 1938 article from the magazine *Samch'ŏlli* celebrates the acclaimed dancer Ch'oe Sŭnghŭi's successful tour in the United States. It quotes a letter from her husband, An Mak, describing her triumphant performances in San Francisco and Hollywood, her contract with the prestigious Metropolitan Musical Bureau for a New York run, and their busy schedule creating new works. The article highlights the enthusiastic reception from American audiences and media, emphasizing how Ch'oe's artistry, rooted in Korean tradition, captivated Westerners. It includes a positive review excerpted from a New York newspaper and details her performance program. The piece concludes with an interview where Ch'oe expresses admiration for America while noting the lack of dance halls in Korea, and confirms her plans to tour Europe next.

From a historical perspective, the article is significant for showcasing Korean cultural pride and international achievement during the oppressive colonial period. Ch'oe Sŭnghŭi is presented as a cultural ambassador for "Chosŏn," bringing its unique "dance and sentiment" to the world stage, a source of immense national joy. Historians might find the mention of using the Japanese Consulate General for mail alongside the American arts bureau indicative of the complex political reality faced by Koreans abroad – operating within the framework of the Japanese empire while simultaneously asserting a distinct Korean cultural identity. The comparison with Japanese artists (Fujihara, Sekiya, Miura) and the mention of Mei Lanfang also contextualize her success within the broader East Asian artistic landscape and its reception in the West.

**Named Entities**

太平洋	태평양	Pacific Ocean
崔承喜	최승희	Ch'oe Sŭnghŭi
米國	미국	United States (America)
西洋人	서양인	Westerner(s)
朝鮮	조선	Chosŏn (Korea)
安漠	안막	An Mak
崔承一	최승일	Ch'oe Sŭngil
허리우트 / 헐리웃드 / 하리욷	헐리우드	Hollywood
桑港 / 쌍후란 시스꼬 / 쌘푸랜씨쓰코	샌프란시스코	San Francisco
이-벨극장	이벨극장	Ebell Theatre
뉴-욕 / 紐育	뉴욕	New York
메트로 포리타 뮤지칼 비유-로 / 메트로포리탄	메트로폴리탄 뮤지컬 뷰로	Metropolitan Musical Bureau
日本總領事館	일본 총영사관	Japanese Consulate General
梅蘭芳	매란방	Mei Lanfang
藤原義江	후지와라 요시에	Fujihara Yoshie
關屋敏子	세키야 도시코	Sekiya Toshiko
三浦環	미우라 다마키	Miura Tamaki
布哇	하와이	Hawaii
桑港日報	상항일보	San Francisco Times (as interpreted/named in text)
朝鮮同胞	조선 동포	Korean compatriots
아메리까	아메리카	America
東半島	동반도	Eastern Peninsula (Korea)
太西洋	태서양	Atlantic Ocean
英佛	영불	England and France
巴里	파리	Paris
維也納	비엔나	Vienna
倫敦	런던	London
歐洲大陸	구주대륙	European Continent
안나바보로니	안나 파블로바	Anna Pavlova (likely intended name)
싸이라스 마-나라	이사도라 덩컨	Isadora Duncan (likely intended name)
李孤山	이고산	Yi Kosan
新羅	신라	Silla
道僧	도승	Virtuous Monk
樂浪	낙랑	Nangnang (Lolang)
高句麗	고구려	Koguryŏ
高麗	고려	Koryŏ
루스벨트 호텔	루스벨트 호텔	Roosevelt Hotel

**Glossary**

絶讚밧는	절찬받는	Receiving rave reviews (older spelling: 밧는 for 받는)
舞姬	무희	Dancer (often implies female dancer, sometimes with classical/traditional nuance)
반개년	반개년	Half a year
옵바	오빠/오라버니	Older brother (older form/term)
있읍니다	있습니다	Is/am/are (polite declarative ending, older spelling)
끗내고	끝내고	Finishing, concluding (older spelling)
됨니다	됩니다	Becomes, it is decided (polite declarative ending, older spelling)
맨들었읍니다	만들었습니다	Made, created (older spelling)
하섰을 듯	하셨을 듯	Seems you probably did (honorific, older spelling/form)
아모조록	아무쪼록	Please, kindly, by all means (older spelling)
읏듬가는	으뜸가는	Foremost, best, top
마네-자	매니저	Manager (loanword transcription)
청격하는	청하는	Inviting, requesting (청격 is an unusual form, likely meant 청하다)
소복 단장	소복 단장	Dressed in plain white traditional mourning/simple clothes
갓신	갖신	Leather shoes (traditional)
화완 (花環)	화환	Flower wreath, garland
지휘봉 (指揮棒)	지휘봉	Conductor's baton
상하 사회	상하 사회	Upper and lower classes of society
일언척구	일언척구	One word and one phrase; every single word
일거수일투족	일거수일투족	Every single move; one's every action
재류	재류	Residing (abroad)
波止場	파지장	Quay, wharf, pier
驛頭	역두	Station front/entrance
끗끗내	끝끝내	Finally, in the end (older spelling)
아릿다운	아리따운	Beautiful, lovely, graceful (older spelling/form)
정조 (情調)	정조	Sentiment, mood, atmosphere, spirit
경탄 (驚嘆)	경탄	Admiration, wonder, astonishment
찬성 (讚聲)	찬성	Voice of praise
널벗슴니다	넓었습니다	Was wide, broad (older spelling)
잠겻슴니다	잠겼습니다	Was submerged, immersed, engulfed (older spelling)
조고마한	조그마한	Small, little (older spelling/form)
않코	않고	Not doing and... (older spelling)
기게문명	기계 문명	Machine civilization
물질 문명	물질 문명	Material civilization
일홈	이름	Name (older spelling)
날니든	날리던	Who used to be famous/renowned (older spelling)
례하면	예하면	For example
모도	모두	All, everyone (older spelling)
있잔는가	있지 않은가	Isn't there...? / Doesn't it exist...?
초록하면	초록하면	If summarized, if excerpted
전여	전혀	Completely, entirely, absolutely (older spelling)
날신하고	날씬하고	Slender, slim (older spelling)
푸로그람	프로그램	Program (loanword transcription)
유모어	유머	Humor (loanword transcription)
漂泊者	표박자	Wanderer, drifter
奇想	기상	Fantastic idea, extraordinary concept
고아하고도	고아하고도	Elegant and...
삿다	샀다	Bought, earned, won (favor)
동정	동정	Movement(s)
천태만상	천태만상	Myriad shapes and forms, ever-changing appearances
우아섬세	우아 섬세	Elegant and delicate
정미 (情味)	정미	Flavor, charm, sentiment, taste
반주	반주	Musical accompaniment
장고	장구	Korean hourglass-shaped drum
相別曲	상별곡	Song of parting/farewell
壁畫	벽화	Mural, wall painting
劍舞	검무	Sword dance
戰舞	전무	War dance
大將	대장	General, commander
깁분	기쁜	Joyful, happy (older spelling)
체류하고	체류하고	Staying, residing
머믈너	머물러	Staying, remaining (older spelling)
보고저	보고자	Wanting to see (older spelling/form for -고자)
배우	배우	Actor, performer
모다들	모두들	Everyone (older spelling)
조와해요	좋아해요	Likes (polite informal ending, older spelling)
땐쓰홀	댄스홀	Dance hall (loanword transcription)
사교땐쓰	사교댄스	Social dance (loanword transcription)
우섰다	웃었다	Laughed (older spelling)
사절노서	사절로서	As an envoy/delegate (older spelling/particle usage)
니르기까지	이르기까지	Up to, ranging to (older spelling)
싸흔	쌓은	Accumulated, built up (older spelling)
渡米	도미	Going to America
맟이고	마치고	Finishing (older spelling)
其後엔	그 후엔	After that
유롭	유럽	Europe (loanword transcription)
깁버하엿다	기뻐하였다	Was pleased, rejoiced (older spelling)


---------------------------


잡지명	삼천리 제10권 제8호
발행일	1938년 08월 01일
기사제목	太平洋서 絶讚밧는 崔承喜 - 米國 건너가서 最高 人氣 속에 싸히다
기사형태	소식

太平洋서 絶讚밧는 崔承喜 - 米國 건너가서 最高 人氣 속에 싸히다
西洋人 社會에서 人氣爆發
조선을 떠나 이미 반개년을 넘은 우리의 자랑할 무희(舞姬) 최승히여사는 그 뒤 얼마나 많은 꽃관 속에 쌓히고 또 전세게의 호화로운 칭찬 속에 무처, 있는가. 이제 그 남편 되는 안막(安漠)씨로 붙어 녀사의 옵바되는 서울 최승일(崔承一)씨에게 허리우트로 붙어 온 편지를 보면 그 일단을 짐작하리라.
承一 형 - .
「지난 달 22일 桑港에서의 공연을 대성공 속에 끗내고 24일 해리우트로 와 있읍니다. 이곳은 여기서 제일 고급인 이-벨극장에서 2월 2일에 공연이 있읍니다. 매일 연습으로 바뿌게 지냄니다. 허리우트에서 각 스타-들과 같이 맛나고 있읍니다. 기회를 보아 영화 入의 찬쓰를 어드려 합니다.
이 곳을 마치고는 2월 3일에 뉴-욕을 향하야 출발합니다. 메트로 포리타 뮤지칼 비유-로와 정식 調印하야 爲先 뉴-욕을 최초로 12회 공연을 1주일에 3회식 하기로 되였읍니다. 承喜가 메트로포리탄 푸레센트라는 렛텔을 가지고 국제적 수준에 올나간 셈이지요.
우리는 몸 건강히 지내며 매일 휴식할 틈도 없이 신작에 열중함니다. 작품이 부족하여 맨들었읍니다. 뉴-욕에 가면 집에서 온 편지가 도착하섰을 듯 반가히 읽겠읍니다. 아모조록 자주 편지 주시고 서울 살님 이야기나 해 주세요. 일전 편지에도 썼읍니다마는 米國 저이들의 주소는 일본총영사관 기부로 해도 좋고 메트로포리탄 기부도 좋으니 그리고 어디든지 하십시요.＜164＞
신문지상에 발표하시려면 메트로로 하는 것이 좋을 것 같읍니다. 또한 일본영사관보다 메트로 사람들은, 매일같이 지방에도 가고 공연을 나가게 되니까 아마도 메트로 주소로 보내시는 것이 편리할 것도 합니다.
허리웃트 호텔에서 安漠 拜
이 편지 속에 있는 「메트로포리탄 뮤직」이란 곳이 전세계의 가장 읏듬가는 예술가만 소개하고 흥행을 알선하는 곧으로서 동양 사람으로는 매란방(梅蘭芳)도 알선을 청하다가 과거에 거절을 당했고 후지하라 요시에(藤原義江) 테너도 세끼야 도시꼬(關屋敏子)도 잘 안되고 다만 서양사람 사이에 많은 인기를 가진 미우라 다마끼(三浦環)여사가, 이 행운(幸運)을 어떻다든가. 그렇게 최고급의 명여의 길을 그 곳의 마네-자가 허리를 굽혀 청격하는 속에 최승히여사는 등장하였든 것이라 한다.

太平洋 저쪽에서 人氣爆發
