Magazine Title: 삼천리 (Samch'ŏlli) Vol. 10, No. 8
Publication Date: 1938-08-01
Article Title: 黃金이 끌는 戰時 下의 明治町 柱式街 (Meijichō Stock Street Boiling with Gold in Wartime)
Article Type: 세태비평 (Social Commentary/Critique of the Times)

Meijichō Stock Street Boiling with Gold in Wartime

These days, on Seoul's Meijichō (Myeongdong) stock street, the fortunes of stock speculators rise and fall as frequently as the tempo of the war situation progresses rapidly.
It is a common occurrence in the stock or futures rice markets for yesterday's millionaire to become a penniless beggar overnight due to a single telegram from the Ōsaka market, and conversely, for today's beggar to become a millionaire overnight. However, in a situation where the state of affairs changes chaotically moment by moment, like rain or wind, the fluctuations are so severe that they defy human prediction – such is the scene at this Meijichō stock market.
Every day, several hundred people join and leave, and in terms of money, several hundred thousand won, even several million won, change hands in this marketplace. Before digging into who among the city's figures made money and who lost tens of thousands of won, it seems right to first talk about the general situation of stocks.

The Star Stocks Among Chosŏn-Related Shares are:
As everyone knows, the so-called star stocks (花形株, *hwayŏngju*) are either Chongbang (鍾紡) or Tongsin (東新), and if not Tongsin, then some steel stock, or automobile or oil stocks related to the war effort and military supply – everyone knows this. But what we want to know is not such common knowledge, but which Chosŏn-related stocks have the most marketability within the Chosŏn stock market. If we were to choose such stocks, they would be called national policy stocks (國策 株, *kukch'aek chu*), and inevitably, stocks of semi-governmental, semi-private companies under the influence of the Government-General would take the top spot.

Pukson Cheji (北鮮 製紙, North Chosŏn Paper Manufacturing) = In an era when both pulp and paper are as precious as gold dust, this company makes them. Until recently, it was in a trial period, focusing on determining how good the quality of pulp and paper made from Chosŏn timber would be, so its products couldn't significantly influence national market prices. However, now that it's focusing on full-scale production, its stock price has started to rise sharply, with the 25 won paid-in shares reaching a market price of 55 won. There were several Korean shareholders,<97> but it's said that Pak Hŭngsik (朴興植) and a few others sold off many of the shares they held. The dividend is 10%, with accounting periods in March and September.

Kuksan Chadongch'a Stock (國産 自動車 株, National Automobile Stock) = As you know, this is a national policy company backed by the Siksan Bank (殖産銀行, Industrial Bank of Korea). The current war is an era of mechanization, and transportation of soldiers and military supplies largely relies on mobile power like automobiles. In this respect, the automobile industry is currently most important. Under the understanding of mainland (內地, *Naeji*) industry, a national policy was established to build a manufacturing plant in Chosŏn. Initially a 2.5 million won company, it underwent a significant capital increase, not just any increase, but jumping to 10 million won. That was this March. Consequently, the 12.50 won paid-in shares, which hovered around 14 won, have now reached 65 won for the 37.50 won paid-in shares.

Chosŏn Sŏgyu Stock (朝鮮 石油 株, Chosŏn Oil Stock) = This one is also good. Originally, the Chosŏn Oil Company, despite being an oil company, did not possess oil fields and was merely a subsidiary of Nisseki (日石), importing crude oil from America for refining, so it didn't show great potential for growth. However, as the war situation progressed, the importance of gasoline intensified, transforming it into a very promising stock.

Chosŏn Cheryŏn Stock (朝鮮 製鍊 株, Chosŏn Smelting Stock) = This stock gained popularity in line with the national policy for gold production. However, as it was initially just starting, its performance was unclear, and it didn't attract significant interest. But that's not the case now; the 25 won paid-in shares are trading up to 28 won, and there was a time when they reached 37-38 won.
There are many others besides these, but they will generally be shown in the table below. <98>

Do Stocks of Korean-Owned Companies Have Market Value or Not?
Do the stocks of companies owned by Koreans trade frequently in the Meijichō market? If so, what are their trading prices? First, attracting interest, also as a star stock:

Hwasin Department Store Stock (和信百貨店 株) = Even among department store stocks like this, Mitsukoshi (三越), with its 30 million won capital, sees its 50 won paid-in shares trade at 95.50 won; Matsuya's (松屋) 50 won shares are at 77.20 won; and Takashimaya's (高島屋) 50 won paid-in shares are at 55 won – all showing good market prices. But how is our Hwasin? Regrettably, it is said that there aren't many sellers, nor are there many buyers, so it barely trades on the market.

Kyŏngsŏng Pangjŏk Stock (京城紡績 株, Kyŏngsŏng Spinning Stock) = Kyŏngsŏng Pangjŏk, run by Kim Kyesu (金季洙), could be called Chosŏn's Chongbang (鍾紡) and is a star stock, yet it generally lacks momentum in the stock market. Once it expands into Shijiazhuang (石家莊, Sŏkkajang) and other key locations in North China (北支, Pukchi), it will likely gain marketability then.

Taedong Kwang'ŏp Stock (大同鑛業 株, Taedong Mining Stock) = With a capital of 3 million won, the Taedong Mining stock run by Yi Chongman (李鍾萬) is also not yet widely publicly traded. Perhaps for that reason, although the gold mining business is known to be promising, it is not trading on the Meijichō stock street. It seems premature.

Besides these, stocks of newspaper companies like Chosŏn Ilbo (朝鮮日報), Tong'a Ilbo (東亞日報), Maeil Sinbo (每日新報), or other companies and banks do not command any particularly noteworthy market prices. <99>

2 Million Won Daily in Meijichō - Brokerage Commissions Alone Reach 20,000 Won -
So, under the current wartime scenery, how much capital moves daily in Meijichō? With all the financial institutions bustling about – the Oriental Development Company (東拓, Tongt'ak), the Industrial Bank of Korea (殖銀, Sigŭn), Daiichi (제일?), Yasuda (安田), Savings (저축?), Bank of Chosŏn (조선은행), the Post Office (우편국), the Bankers' Association (은행 집회소?), the Chosŏn Exchange (조선 취인소) – on this stock street, Seoul's Wall Street (위 - 로 街 - literally "Willow Street"? likely a typo or colloquialism for Wall Street, perhaps referencing Yulgok-ro or the street name itself?), teeming with gold and stock speculators, how many stock brokerage firms are there in total? Combining Japanese and Korean (*Naesŏnin*, 內鮮人) firms, there are 27 in total. Among them, about half, 12 or 13, are Korean-owned brokerage firms like Cho Chunho's (趙俊鎬) Tong'a Securities (東亞증권) or Kimik Securities (金益증권). The principal capital moved daily by each brokerage firm from its own coffers can be estimated at an average of 100,000 won per firm, totaling about 3 million won. As for the commission fees (手段料, *susullyo*) earned by the brokerages, popular stocks like Chongbang (鍾紡) command 1.50-1.60 won per share, and Tongsin (東新) 90 chŏn. Assuming an average trading volume of 20,000 shares, this amounts to around 20,000 won daily. Of course, during favorable periods like before and after the fall of Nanking, daily trading volume reached several hundred thousand shares, meaning the commissions earned by these brokerages amounted to several hundred thousand won.
However, while commission income is high when volatility is large, it is said that commission income is also extremely slow these days when fluctuations of even 10 won are rare. In other words, brokerage firms are also like the night market vendors on Chongno street; they can earn enough in one day to live for a month, or earn enough in spring to live for a year – it's a peculiar place. The 2 million won mentioned above is the daily moving principal; the total value of shares traded is undoubtedly enormous, beyond estimation.

3 Million Won Moved from Trust and Savings Banks - Towards Advantageous Stocks like Quasi-Securities -
Last year, when stocks kept falling, influential banks like the Bank for Encouragement of Industry (勸業은행, Kwŏn'ŏp Ŭnhaeng) provided backing, forming a securities company with 40 million won, ultimately purchasing 40 million won worth of stocks and significantly boosting market popularity. Good news might be heard in the future as well for market popularity. No matter the controls, the general observation is that the vitality of the stock market will be sustained to some extent.
According to recent rumors, the Chosŏn Trust (조선신탁, Chosŏn Sint'ak), looking for ways to invest its surplus funds, has turned its attention to the securities market and bought around 2 million won worth of influential stocks that can be considered quasi-national policy securities, such as the Oriental Development Company (東拓) and the Bank of Chosŏn (조선은행). It is also said that the Savings Bank (저축은행) invested about 1 million won, received as deposits at cheap interest rates, into the securities market.
If low interest rates continue, and if Hankow (漢口) and Canton (廣東) fall, wouldn't it be reasonable to expect another explosion of popularity like the one seen before and after the fall of Nanking?
These days, many of Seoul's intellectuals gather in Meijichō. <100> (Continued on page 111) Some hold 300 won, others hold 1,000 won; among them, some have lost, and some have profited. And among the stock market professionals, rises and falls have also been frequent. However, in this round, those who gained hundreds of thousands or millions of won are rare, as are those who lost that much. Though stories of winning or losing 10,000 or 20,000 won are many. And one more thing to add: it is said that so far, those who profited were all on the selling side. An example like the president of Yamaichi Securities (山一증권) losing about 5 million yen and committing suicide is still something only seen in dreams on Meijichō's Wall Street. (June 7th) <111>

**Summary**

This 1938 article describes the frenetic atmosphere of the stock market on Meijichō (Myeongdong), Seoul, during the Sino-Japanese War. It notes the extreme volatility driven by the war, where fortunes are made and lost overnight. The piece highlights popular "national policy" stocks linked to the war effort and Government-General backing (paper, automobiles, oil, smelting), contrasting their success with the poor performance and low trading volume of purely Korean-owned enterprises like Hwasin Department Store and Kyŏngsŏng Spinning. It details the daily capital flow, brokerage commissions, and the involvement of major financial institutions like the Bank of Chosŏn and trust companies, speculating on future market booms tied to war developments.

From a historical perspective, the article offers a fascinating glimpse into the colonial economy under wartime mobilization. It underscores the dominance of Japanese capital and state-backed enterprises ("national policy stocks") even within Chosŏn, the marginalization of Korean businesses in the formal stock market, and the pervasive influence of the war on economic activity and speculation. The mention of specific companies, figures like Pak Hŭngsik, and the comparison to Japanese finance (Ōsaka market, Yamaichi suicide) highlight the integration and subordination of the Korean economy within the Japanese empire.

**Named Entities**

明治町	메이지초	Meijichō (Myeongdong)
大阪	오사카	Ōsaka
朝鮮	조선	Chosŏn (Korea)
鍾紡	종방	Chongbang
東新	동신	Tongsin
北鮮 製紙	북선 제지	Pukson Cheji
朴興植	박흥식	Pak Hŭngsik
國産 自動車	국산 자동차	Kuksan Chadongch'a
殖産은행	식산은행	Siksan Ŭnhaeng (Industrial Bank of Korea)
朝鮮 石油	조선 석유	Chosŏn Sŏgyu
日石	일석	Ilsŏk (Nippon Oil/Nisseki)
朝鮮 製鍊	조선 제련	Chosŏn Cheryŏn
和信百貨店	화신백화점	Hwasin Paekhwajŏm
三越	미쓰코시	Mitsukoshi
松屋	마쓰야	Matsuya
高島屋	다카시마야	Takashimaya
京城紡績	경성방적	Kyŏngsŏng Pangjŏk
金季洙	김계수	Kim Kyesu
石家莊	석가장	Sŏkkajang (Shijiazhuang)
北支	북지	Pukchi (North China)
大同鑛業	대동광업	Taedong Kwang'ŏp
李鍾萬	이종만	Yi Chongman
朝鮮日報	조선일보	Chosŏn Ilbo
東亞日報	동아일보	Tong'a Ilbo
每日新報	매일신보	Maeil Sinbo
東拓	동척	Tongt'ak (Oriental Development Company)
殖銀	식은	Sigŭn (Industrial Bank of Korea)
제일	제일	Cheil (Likely Daiichi Bank)
安田	야스다	Yasuda (Yasuda Bank)
조선은행	조선은행	Chosŏn Ŭnhaeng (Bank of Chosŏn)
우편국	우편국	Up'yŏn'guk (Post Office)
은행 집회소	은행 집회소	Ŭnhaeng Chip'oeso (Bankers' Association?)
조선 취인소	조선 취인소	Chosŏn Ch'wiinso (Chosŏn Exchange)
趙俊鎬	조준호	Cho Chunho
東亞증권	동아증권	Tong'a Chŭnggwŏn (Tong'a Securities)
金益증권	김익증권	Kimik Chŭnggwŏn (Kimik Securities)
勸業은행	권업은행	Kwŏn'ŏp Ŭnhaeng (Bank for Encouragement of Industry)
조선신탁	조선신탁	Chosŏn Sint'ak (Chosŏn Trust)
저축은행	저축은행	Chŏch'uk Ŭnhaeng (Savings Bank)
漢口	한커우	Hank'ou (Hankow)
廣東	광둥	Kwangtung (Canton)
山一증권	산이치증권	San'il Chŭnggwŏn (Yamaichi Securities)

**Glossary**

黃金	황금	Gold
끌는	끓는	Boiling (older spelling/form)
戰時 下	전시 하	Under wartime conditions
柱式街	주식가	Stock street (likely older term for 증권가)
요지간	요즈음	These days (older form)
잣다	잦다	To be frequent (older spelling/form)
아츰	아침	Morning (older spelling)
하로	하루	One day (older spelling)
자즌	잦은	Frequent (older spelling)
원악	워낙	Originally, fundamentally, by nature (older spelling/form)
期米	기미	Rice futures
뒤법석하는	뒤벌석하는	Chaotic, bustling (older spelling/form)
인지	인지	Human wisdom/intelligence (人智)
없시	없이	Without (older spelling)
붙어다 떼였다	붙었다 떼였다	Figurative: Gained and lost (money/status); attached and detached
미쩟는가	미쳤는가	Figurative: Went bankrupt, lost money (colloquial/older form related to 미치다 - to lose money/go bankrupt)
캐여	캐어	To dig out, investigate (older spelling)
爲先	우선	First of all (優先)
올으리라	옳으리라	Will be right/correct (older spelling)
花形株	화형주	Star stock, popular stock
범밖한	범박한	Ordinary, common (older spelling)
었든	어떤	What kind of, which (older spelling)
골느라면	고르라면	If one were to choose (older spelling)
일커를	일컬을	To be called, named (older spelling)
힘미	힘이	Power, influence (older spelling)
아모래도	아무래도	Anyway, after all (older spelling)
좋이	종이	Paper (older spelling)
모도	모두	All, entirely (older spelling)
금싸래기	금싸라기	Gold dust, nugget; fig. very precious thing
많드는	만드는	Making (older spelling)
널니	널리	Widely (older spelling)
못 되였으나	못 되었으나	Could not become (older spelling)
붓적	부쩍	Suddenly, rapidly, greatly (older spelling)
올느기	오르기	Rising (noun form, older spelling)
가젔든	가졌던	Had owned, possessed (older spelling)
만히	많이	Many, much (older spelling)
바주는	봐주는	Backing, supporting (colloquial, from 보다 + 주다)
아다시피	알다시피	As (you) know
까소린	가솔린	Gasoline (loanword, older spelling)
퍽으나	퍽이나	Very much, quite (emphasized form)
化하였다	화하였다	Transformed into, became (化하다)
선에 연하야	선에 연하여	In line with, connected to
끄으지	끌지	To attract, draw (interest) (older spelling)
그러치 안어	그렇지 않아	Not so, unlike that (older spelling)
이밧게도	이 밖에도	Besides this (older spelling)
몬저	먼저	First (older spelling)
끄으는	끄는	Attracting (older spelling)
라같은	같은	Like, such as (older spelling/form)
었든가	어떤가	How is it? (older spelling)
만치 못하고	많지 못하고	Not many (older spelling)
밖게	밖에	Outside of; besides (older spelling)
띨	띨	Will carry, possess (marketability) (띠다 future tense)
안어	않아	Not (older spelling, verb ending)
붓잡지	붙잡지	To catch, hold onto (market price) (older spelling)
動하고	동하고	Moving (capital) (動하다)
들복고	들볶고	Bustling, crowded, chaotic (older form/spelling)
들끌는	들끓는	Boiling, swarming, teeming (older spelling)
內鮮人	내선인	Japanese and Koreans (colonial term, 内地人 + 朝鮮人)
움지기는	움직이는	Moving (money) (older spelling)
手段料	수수료	Commission fee (手段 can mean means/way, here used for 수수료)
버러	벌어	Earning (money) (older spelling of 벌어)
버으러	벌어	Earning (money) (older spelling of 벌어)
우에	위에	Above, on top of (older spelling)
취측하고도	추측하고도	Even guessing, estimating (older spelling)
떠러어지니까	떨어지니까	Because it falls/fell (price) (older spelling)
보아주어	보아주어	Backed up, supported (봐주어)
도다	돋우어	Raised, stimulated (interest/popularity) (older spelling of 돋우어)
들닐는지	들릴는지	Might be heard (news/rumors) (older spelling)
지탱하게	지탱하게	To sustain, maintain
그러케	그렇게	Like that, so (older spelling)
하리라 함이	하리라 함이	The view that it will be done
들니는	들리는	Heard (rumors) (older spelling)
돌닐	돌릴	To turn (funds), invest (older spelling)
삿다 하며	샀다 하며	It is said that (they) bought
갑산	값싼	Cheap, inexpensive (older spelling)
저금리가	저금리가	Low interest rates (低金利)
보든	보던	Seen (past tense modifier) (older spelling)
터지리라고	터지리라고	That it will burst/explode (popularity)
타당치 않을가	타당치 않을까	Wouldn't it be reasonable/valid?
쥐고	쥐고	Holding (money)
자젔다	잦았다	Was frequent (older spelling)
낙는	남는	Profiting, gaining (older form of 남는)
이저버린	잊어버린	Lost (money, colloquial) (older spelling)
만치만도	많지만도	Although there are many (older spelling)
부처	붙여	Adding, attaching (a comment)
패엇다든가	패였다든가	Were the selling side (it is said) (older form)
밋저	미처	Lost (money), went bankrupt (colloquial/dialectal?)
할진저	할진저	Indeed it might be (archaic sentence ending)


---------------------------


잡지명	삼천리 제10권 제8호
발행일	1938년 08월 01일
기사제목	黃金이 끌는 戰時 下의 明治町 柱式街
기사형태	세태비평

黃金이 끌는 戰時 下의 明治町 柱式街
요지간의 서울 明治町 주식가에는 戰局 진전의 템포가 빠른 것 만치 주식꾼의 흥망성패도 몹시 잣다.
어젯날 백만 장자가 오늘 아츰의 大阪 시장 入電 한 장으로 한 푼 없는 거지로 털고 나안고 그 반대로 오늘 거지 하로 밤 사이에 십만 장자되는 일이 자즌 것이 원악 주식이나 期米 시장의 통례이지만은 시국이 시시각각으로 비냐 바람이냐 하고 뒤법석하는 판에는 인지로 미처 헤아릴 수 없시 등락이 심한 것이 이 明治町 주식 시장 광경이다.
이제 하로에도 여러 수 백명이 붙어다 떼였다 하며 또 돈으로 칠지라도 여러 십 만원, 여러 백 만원이 출입하는 이 저자에서 장안 인사치고 누가 돈을 벌고 누가 수만원 돈을 미쩟는가 하는 것을 캐여 알기 전에 爲先, 주식의 형세부터 이야기하고 지남이 올으리라.

朝鮮 關係의 株式 中 花形株는
세상에서 이르는 화형주야 누구나 아는 바와 같이 鍾新이 아니면 東新이요, 東新이 아니면 어느 강철 株나 어느 자동차나 석유 같은 시국 관계의 군수 株인 것은 다 아는 바이지만 우리가 알고 싶은 것은 그러한 범밖한 것이 아니고 조선 안의 주식 시장에서 가장 시장성을 띤, 조선 관계의 株는 었든 것인가 함이다. 그런 것을 골느라면 國策 株라 일커를 것이요 총독부의 힘미 미친 半官半民의 회사株가 아모래도 제 一席으로 등장 아니할 수 없다.
