**Header Section:**
Magazine Title: 삼천리 제7호
Publication Date: 1930년 07월 01일
Article Title: 臺灣의 自由運動 (Taiwan's Freedom Movement)
Author: 臺灣人 蔡培火 (Taiwanese Person, Ch'ae Pae-hwa / Cai Pei-huo)
Article Type: 회고·수기 (Memoir/Recollection)

**Body Text Translation:**
Taiwan's Freedom Movement
						By Taiwanese Person, Ch'ae Pae-hwa

It has already been 30 years since Taiwan came under Japanese rule. During this time, the economic and political freedom of the Taiwanese people has been greatly [suppressed/illegible]. Even the patient and peaceful Taiwanese people could finally endure it no longer, and thus began their movement to acquire freedom 10 years ago. This took the form of a demand for the establishment of a Taiwanese Parliament (臺灣議會開設), submitted to the Imperial Diet (帝國議會) as a petition in the spring of 1920. Its main point was to demand the enactment of a Taiwan Governance Law (臺灣통치법) that would respect Taiwan's unique culture and distinct popular sentiment through special legislation, and also establish a parliament composed of representatives publicly elected by the residents of Taiwan, granting them the right to deliberate on the Taiwanese budget. The timing for this becoming an overt movement was extremely<4> late, and the content and methods of the movement were so exceedingly weak that one might doubt if it could even be called a freedom movement.

However, even towards such a movement, the suppression by the Taiwanese authorities was truly harsh. Indeed, it could be said that the reason the movement for establishing a Taiwanese parliament has drawn even a little public attention, as it does today, is because of the violent oppression by the Taiwanese authorities.

Initially, those who signed this petition were immediately dismissed from their positions if employed in government offices or companies (官衙會社), and government and public schools (官公立學校) would not even accept the children of petitioners. Furthermore, anyone connected to government-run enterprises had all their vested rights taken away. For those figures who still intended to continue the movement despite this, the police engaged in various forms of [interference/illegible], and finally, on December 16, Taishō 12 (1923), they carried out a large-scale island-wide roundup (一大檢擧) of the petitioners, targeting key figures in various regions, and imprisoned over 50 people.

This petition movement, which they thought could be eradicated by this final great iron hammer, has weakly but nonetheless continued, and the 11th petition was submitted even to the 58th special session of the Diet. However, the Taiwanese authorities have still not loosened their hand of suppression, and to this day, they continue to strictly forbid associations, assemblies, and speech related to this matter.

The movement to establish a Taiwanese Parliament, on one hand,<5> aims to secure the freedom of the Taiwanese people and establish the right to self-governance (自治權). However, the biggest reason given for opposing the Taiwanese parliament movement is that many people desperately cry out that it is a violation of the constitution (헌법위반). Yet, I believe the appropriateness of this movement is a matter to be judged from a political perspective, not something to be interpreted through legal theory. (Omitted section - original text)

The Taiwanese authorities, as described above, not only forcefully suppress the moderate freedom movement of the Taiwanese people, but all their policies are consistently implemented in a way that threatens the livelihood of the Taiwanese people, driving them to a state where, as the saying goes, "a cornered rat will bite the cat" (窮鼠가 고양이를 무는 격). That is, materially, they have adopted an imperialistic (帝國主義) policy of economic exploitation (經濟搾取), and spiritually, they have forcefully implemented a blatant assimilationist (仝化主義的) obscurantist policy (愚民政策). With these two great wheels, they are attempting to drive [them] thoroughly into a state of poverty.

The reason why the Taiwanese people are being dragged into economic poverty can be understood by reading the publication titled "Taiwan Under Imperialism" (帝國主義下의 臺灣).

Now, I intend to record a glimpse of the reality of being led into spiritual poverty.

The common language of the Taiwanese people is not Japanese. Our common languages are the two major languages of Southern China (南中語, 即 南部中國), namely Hokkien (福建語) and Cantonese (廣東語), and our common written script was the Han characters (한문한자) used throughout the 400-plus provinces of China. It is indisputable that our spiritual wealth is stored in this common spoken and written language.

Qualitatively, due to the National Language Monolingualism Policy (國語單一主義 - referring to Japanese), the intellectual capacity of the Taiwanese people has greatly declined. Quantitatively, the policy favoring government schools above all (官學萬能) coupled with the suppression of private schools (私學抑制) has severely<6> hindered the spread of education among the Taiwanese populace.

Elementary education operates under an absolute government monopoly principle. For secondary education, while 2 or 3 private schools are allowed to exist, they are still not granted general, standard accreditation. Moreover, since the commonly used Han characters (한문) are not taught, even the Japanese language learned laboriously through gestures becomes gradually forgotten, as if one had never received education, the moment one steps outside the school.

Finding this miserable situation painful to watch, we planned to promote the Roman script (羅馬字) to alleviate the general hardship, but the authorities bravely prohibited even this. (Remainder omitted - original text) <7>

**Summary**

This 1930 article by Taiwanese author Ch'ae P'ae-hwa (Cai Pei-huo) recounts the Taiwanese freedom movement under Japanese rule, focusing on the petition campaign for a Taiwanese Parliament initiated in 1920. Ch'ae details the harsh suppression faced by activists, including job loss, denial of education for children, confiscation of rights, police harassment, and mass arrests. He criticizes Japanese colonial policies as imperialistic economic exploitation and assimilationist "obscurantist policy," arguing they aimed to impoverish Taiwanese people materially and spiritually. Specifically, he laments the decline in intellectual capacity due to the imposition of Japanese and the neglect of native languages (Hokkien, Cantonese) and Han characters, hindering education and cultural continuity, even noting the suppression of efforts to use Roman script for literacy.

From the perspective of Korean colonial history, this article is highly interesting as it provides a contemporary, parallel account of Japanese colonial practices from a non-Korean colonized subject. Historians might find value in comparing the specific methods of suppression (targeting jobs, schools, language), the nature of the resistance movement (parliamentary petition), and the critiques of economic and cultural policies (exploitation, assimilation, language suppression) described in Taiwan with those experienced in Korea during the same period. The mention of suppressing Roman script use offers a specific point of comparison to language policies in Korea.

**Named Entities**

臺灣	대만	Taiwan
日本	일본	Japan
臺灣人	대만인	Taiwanese person
蔡培火	채배화	Ch'ae Pae-hwa
帝國議會	제국의회	Imperial Diet
官衙會社	관아회사	Government Offices and Companies
官公立學校	관공립학교	Government and Public Schools
臺灣당국	대만당국	Taiwanese Authorities
大正	대정	Taishō (Japanese era name)
南中語	남중어	Southern Chinese languages
福建語	복건어	Hokkien language
廣東語	광동어	Cantonese language
中國	중국	China

**Glossary**

통치	통치	rule, governance
자유	자유	freedom
획득	획득	acquisition, attainment
이르키엇다	일으켰다	started, initiated (older spelling of 일으켰다)
開設	개설	establishment, opening
요구	요구	demand, request
請願	청원	petition
제출되엇다	제출되었다	was submitted (older spelling of 제출되었다)
고유	고유	unique, inherent
특유	특유	distinctive, peculiar
존중	존중	respect
특별입법	특별입법	special legislation
예산	예산	budget
의결권	의결권	right to vote, voting rights
부여	부여	granting, bestowal
公選	공선	public election
조직	조직	organization, formation
엇섯다	있었다	was, existed (older spelling of 있었다)
표면운동	표면운동	overt movement, public movement
其時機	기 시기	that timing, that opportunity (uses Hanja 其 for 'that')
느젓섯고	늦었었고	was late and... (older spelling of 늦었었고)
연약	연약	weak, feeble
의심	의심	doubt, suspicion
정도	정도	degree, extent
가튼	같은	like, such as (older spelling of 같은)
대하여서도	대하여서도	even towards, even regarding
당국	당국	authorities
禁壓	금압	suppression, prohibition
실로	실로	truly, indeed
가혹	가혹	harsh, severe
하엿다	하였다	did, was (older spelling of 하였다)
가치	같이	like, as (older spelling of 같이)
조곰이라도	조금이라도	even a little
주목	주목	attention
끄을게	끌게	to draw, to attract (older spelling of 끌게)
식힌	시킨	caused by, made by (older spelling of 시킨)
加名	가명	signing one's name, adding one's name
취직	취직	getting a job, employment
즉시	즉시	immediately
罷逸	파면	dismissal (likely 파면, dismissal from office)
當하고	당하고	suffering, undergoing
자제	자제	children
수용	수용	acceptance, admission
안엇다	않았다	did not (older spelling of 않았다)
관영	관영	government-run
기득권	기득권	vested rights
빼앗기엇다	빼앗기었다	was taken away, was deprived of (older spelling of 빼앗기었다)
계속	계속	continuation
경찰	경찰	police
끗끗내	끝끝내	finally, in the end (older spelling of 끝끝내)
마즈막에는	마지막에는	in the end, finally (older spelling of 마지막에는)
중심인물	중심인물	key figure, central person
全島	전도	the entire island
一大檢擧	일대검거	large-scale roundup, mass arrest
단행	단행	carrying out, execution
투옥	투옥	imprisonment
버리엿다	버렸다	did completely (auxiliary verb indicating completion, older spelling of 버렸다)
최후	최후	final, last
大鐵槌	대철퇴	great iron hammer
撲滅	박멸	eradication, extermination
잇다고	있다고	that there is/was (older spelling of 있다고)
미약	미약	weak, feeble
여전히	여전히	still, as ever
되엿든	되었던	which had become (older spelling of 되었던)
의연히	의연히	resolutely, firmly
탄압	탄압	oppression, suppression
늣추지	늦추지	not loosening, not relaxing (older spelling of 늦추지)
안어서	않아서	because not... (older spelling of 않아서)
결사	결사	association, society
집회	집회	assembly, meeting
언론	언론	speech, press
嚴禁	엄금	strict prohibition
오는 터이다	오는 터이다	continues to be the case, is the situation that... (idiomatic ending)
일면	일면	one aspect, one side
往民	왕민	people, populace (less common term, likely 백성/주민)
자치권	자치권	autonomy, right to self-govern
확립	확립	establishment
반대	반대	opposition
최대	최대	greatest, largest
이유	이유	reason
구태어	구태여	insistently,わざわざ (older form of 구태여)
헌법위반	헌법위반	constitutional violation
絶叫	절규	scream, outcry
可否	가부	right or wrong, appropriateness
정치론	정치론	political theory/argument
판단	판단	judgment
성질	성질	nature, characteristic
법이론	법이론	legal theory
해석	해석	interpretation
안다	안다	know, believe (here used like 'believe')
상술	상술	above-mentioned description
바와가치	바와 같이	as... (older spelling of 바와 같이)
穩當	온당	moderate, reasonable
강압	강압	coercion, force
뿐더러	뿐더러	not only... but also
정책	정책	policy
모도가	모두가	all of them (older spelling of 모두가)
일관	일관	consistency
생활	생활	livelihood, life
위협	위협	threat
所謂	소위	so-called
窮鼠	궁서	cornered rat
격의	격의	like, similar to
狀態	상태	state, condition
이르게 하여 마지 안는다	이르게 하여 마지 않는다	cannot but lead to, inevitably leads to (older grammatical structure)
물질적	물질적	material
제국주의적	제국주의적	imperialistic
경제착취	경제착취	economic exploitation
취하고	취하고	adopting, taking
정신적	정신적	spiritual, mental
露骨	노골	blatant, undisguised
仝化主義	동화주의	assimilationism (仝 is an old form of 同)
愚民政策	우민정책	obscurantist policy (policy of keeping people ignorant)
강행	강행	forceful implementation
왓다	왔다	have done (past tense auxiliary, older spelling of 왔다)
車輪	차륜	wheel
徹底的	철저적	thorough, complete
빈곤	빈곤	poverty
경지	경지	state, level
이끌니어	이끌려	being led, being dragged (older spelling of 이끌리어)
所以	소이	reason why (Hanja compound)
著表	저서	publication, work (likely 저서 or 표제)
보면	보면	if one looks at
실상	실상	actual situation, reality
一端	일단	one aspect, a glimpse
기록	기록	record, write down
보려 한다	보려 한다	intend to try seeing/writing
상용어	상용어	commonly used language
상용문자	상용문자	commonly used script/characters
한문한자	한문한자	Chinese characters used in Classical Chinese text
재산	재산	wealth, assets
擧하야	거하여	mentioning, listing (older form of 거하여)
저장	저장	storage, preservation
업는	없는	non-existent, without (older spelling of 없는)
질적	질적	qualitative
國語單一主義	국어단일주의	National Language Monolingualism Policy (referring to Japanese as the national language)
의하야	의하여	due to, according to (older spelling of 의하여)
지능	지능	intelligence, intellectual capacity
저하	저하	decline, lowering
되엇다	되었다	became (older spelling of 되었다)
양적	양적	quantitative
官學萬能	관학만능	Almightiness of Government Schools
私學抑制	사학억제	Suppression of Private Schools
서로 맛서서	서로 맞서서	in opposition to each other, countering each other (older spelling of 맞서서)
주민	주민	residents, inhabitants
교육보급	교육보급	spread of education
심히	심히	severely, greatly
방해	방해	hindrance, obstruction
초등교육	초등교육	elementary education
절대적	절대적	absolute
관영주의	관영주의	principle of government management/monopoly
중등교육	중등교육	secondary education
존재	존재	existence
식히나	시키나	allow to... but (causative + 'but', older spelling of 시키나)
아직	아직	still, yet
일반적	일반적	general
보통자격	보통자격	standard qualification/accreditation
더둔다나	더군다나	moreover, furthermore (older spelling of 더군다나)
日常	일상	daily life
사용	사용	use
배워주지	배워주지	not teaching (lit. not learning and giving)
안음으로	않음으로	because not... (older spelling of 않음으로)
손짓발짓	손짓발짓	gestures (lit. hand gestures, foot gestures)
겨우	겨우	barely, with difficulty
배워 둔	배워 둔	learned and kept
한거름	한 걸음	one step (older spelling of 한 걸음)
밧갓흐로	밖으로	outside (older spelling of 밖으로)
나가기만 하면	나가기만 하면	as soon as one goes out
마치	마치	as if, like
업는 드시	없는 듯이	as if there is none (older spelling of 없는 듯이)
점차	점차	gradually
이저버리고	잊어버리고	forgetting (older spelling of 잊어버리고)
만다	만다	end up doing (auxiliary verb)
우리들	우리들	we, us
참담	참담	miserable, tragic
보기 괴로워서	보기 괴로워서	finding it painful to see
羅馬字	나마자/로마자	Roman script/letters (나마자 is the Sino-Korean reading, 로마자 is the loanword)
보급	보급	dissemination, spread
계획	계획	plan
하야써	하여서	in order to, by doing (older spelling of 하여서)
일반	일반	general public
곤궁	곤궁	hardship, destitution
구제	구제	relief, aid
하려 하엿더니	하려 하였더니	intended to do... but (older spelling of 하려 하였더니)
용감	용감	brave
금지	금지	prohibition
하엿다	하였다	did (older spelling of 하였다)


---------------------------


잡지명	삼천리 제7호
발행일	1930년 07월 01일
기사제목	臺灣의 自由運動
필자	臺灣人 蔡培火
기사형태	회고·수기

臺灣의 自由運動
						臺灣人 蔡培火
臺灣은 日本의 통치에 속한지 이에 30년 이 동안에 臺灣人의 경제적, 정치적 자유는 크게 XX되엇다. 인내가 강한 평화한 臺灣人들도 끗끗내 참지 못하야 그 자유획득운동을 10년전부터 이르키엇다. 그것은 즉 臺灣議會開設의 요구로 1920년 春에 請願의 형식으로써 제국의회의 제출되엇다. 그 요지는 臺灣고유의 문화와 특유한 민정을 존중할 특별입법-과 또 臺灣예산이 의결권을 부여하는 臺灣주민으로부터 公選된 議員으로써 조직한 臺灣통치법의 제정을 요구함에 엇섯다. 이것이 표면운동으로 된 其時機도 대단히＜4＞ 느젓섯고 또 그 운동의 내용과 방법도 극히 연약한 것으로 이런 것도 자유획득의 운동인가고 의심할 정도의 것이엇다.
그러나 이와가튼 운동에 대하여서도 臺灣당국의 禁壓은 실로 가혹하엿다. 실로 오늘과 가치 臺灣의회설치운동이 조곰이라도 世人의 주목을 끄을게 된 것은 臺灣당국의 暴壓이 식힌 일이라 할 것이다.
처음에는 이 請願에 加名한 자는 官衙會社에 취직하면 즉시 그 職을 罷逸當하고 官公立學校에는 請願人의 자제를 수용조차 하여주지 안엇다. 또 관영사업에 관계잇는 것은 모다 그 기득권을 빼앗기엇다. 이러고도 아직도 운동을 계속하려는 인물에게 대하여는 경찰에서 여러 가지로 XX를 하며 끗끗내 마즈막에는 그 중심인물인 각지의 請願人에 대하야 大正12년 12월 16일을 기하야 全島에 一大檢擧를 단행하여 50여명을 투옥하여 버리엿다.
이 최후의 大鐵槌로 撲滅할 수 잇다고 생각하엿든 청원운동은 미약하나마 여전히 계속되어 58특별의회에도 제11차의 청원서가 제출되엿든 것이다. 그러나 臺灣당국은 의연히 그 탄압의 손을 늣추지 안어서 오늘에도 此에 관한 결사와 집회와 언론을 嚴禁하여 오는 터이다.
臺灣議會設置運動은 일면으로는 臺灣往民의 자유를 획득할 자치권의 확립을＜5＞ 요함에 잇다. 그런데 臺灣의회운동에 반대하는 최대 이유로는 만혼 사람들이 구태어 헌법위반이라고 絶叫하나 그러나 該운동의 可否는 정치론으로부터 판단할 성질의 것으로 결코 법이론으로 해석할 것이 아닌 줄로 안다.(중략-원문)
臺灣당국은 상술한 바와가치 臺灣人의 穩當한 자유운동을 강압할 뿐더러 그 정책까지 모도가 일관하야 臺灣人의 생활을 위협하고 所謂 窮鼠가 고양이를 무는 격의 狀態에까지 이르게 하여 마지 안는다. 즉 물질적으로는 제국주의적 경제착취정책을 취하고 정신적으로는 露骨한 仝化主義的愚民政策을 강행하여 왓다. 이 2大車輪으로써 臺灣人을 徹底的 빈곤의 경지에까지 XX려 한다.
臺灣人이 경제적 빈곤에 끄을너어가고 잇는 所以는 「帝國主義下의 臺灣」이란 著表를 보면 알 것이다.
이제 정신적 빈곤에 이끌니어 가는 實狀의 一端을 나는 기록하여 보려 한다.
臺灣人의 상용어는 日語가 아니다. 우리의 상용어는 南中語(卽 南部中國)의 二大用語인 福建語와 廣東語인데 그 상용문자는 中國 400餘州에 통용된 한문한자이엇섯다. 우리의 정신적 재산을 擧하야 此常用語와 常用文을 저장하고 잇는 것도 더 무를 여지업는 일이다.
