Magazine Title:	동광 제16호
Publication Date:	1927-08-05
Article Title:	明陵遊感-朱元璋의 五百年 迷夢, 銷夏特輯 凉味萬斛 (Impressions from Visiting the Ming Tombs - Zhu Yuanzhang's 500-Year Delusion, Summer Heat Relief Special Feature: A Full Measure of Coolness)
Author:	海星 (Hae Sŏng)
Article Type:	기행문 (Travelogue)

Impressions from Visiting the Ming Tombs - Zhu Yuanzhang's 500-Year Delusion, Summer Heat Relief Special Feature: A Full Measure of Coolness
						By Hae Sŏng (海星)

During the spring break, along with about 30 members of our school's geology field trip group, we passed through Beijing (北京) and headed to Nankou (南口) via the Jingzhang Railway (京裬線 - *Translator's note: Likely the Jingzhang Railway, noted as China's only line built without foreign assistance*), which was constructed solely by Chinese hands without borrowing foreign expertise, to inspect the nearby rocks and geology. The next day, about 20 *ri* (approx. 8 km) from Nankou, we reached Juyongguan Pass (巨庸關). About 5 *ri* (approx. 2 km) north of Nankou station, there is the entrance to a long and winding mountain valley extending from Badaling (八達嶺). On both sides stand beacon towers and mountain fortresses, remnants that once served as communication methods in bygone days.

Upon entering this mountain pass, the valley width is merely about 700-800 meters, while high cliffs of about 600-700 meters flank a small stream and the railway line in the center, winding like a sheep's intestine for over 50 *ri* (approx. 20 km). As we proceeded slowly to observe the rocks and strata on both sides of the valley, our group finally reached Juyongguan Pass (巨庸關) around noon. Here, the cliffs on both sides became even higher, and the valley narrowed. On the mountain peaks, the Great Wall snaked and coiled, seemingly displaying the might of Emperor Qin Shi Huang of old, or perhaps lamenting the resentment of countless thousands of laborers, standing tall. Truly, it is a strategic pass where one man could hold off ten thousand (萬夫 莫開). To enter the mountain fortress from the valley, we had to almost crawl through collapsed sections of the wall and landslide debris. Along the way, I discovered a stone mortar (石臼). I had previously heard that stone mortars were tools used exclusively by the "white-clad people" (白衣人 - i.e., Koreans). Realizing then that this place too was an ancient site of our ancestors, ah! Our ancestors were this strong and brave, yet why are we so weak? Our ancestors were not satisfied with the 3,000-*ri* land of embroidered rivers and mountains (Korea) and the 700-*ri* Liao Dong plains, even coming here to achieve military feats, yet we [7 characters deleted here] cry out in hunger. Truly, reflecting on the past and present, I cannot hold back a flood of tears. I recall the speech by Captain Ham (함교장) that moved Kye Wŏrhyang (계월향) to the point of death. We must strive and strive again to become strong like our ancestors.

Main Hall of the Tomb of Emperor Chengzu Wen (Yongle Emperor) of the Ming Dynasty (明成祖文皇帝陵之正殿)

The next morning, riding small mules, we observed the winding moats and battle traces along the riverbank as we proceeded towards the Ming Tombs (明陵). <11> About 20 *ri* northeast from Nankou, we reached the entrance path to the tomb complex. There stood a stele pavilion (碑樓) made of marble carved with twin dragons. From there, a plain approximately 5 *ri* wide and 10 *ri* long was enclosed like a folding screen by not-so-high mountains, leaving an opening to the south.

Traveling along the central main road for about 10 *ri*, we reached the tomb of Emperor Chengzu (成祖 - Yongle Emperor) of the Ming Dynasty, situated on the slope of the northern mountain amidst a dense pine forest. To its left and right, at intervals of every 4-5 *ri*, the tombs of the 12 emperors following Chengzu were lined up.

Gate of the Tomb of Emperor Chengzu Wen (Yongle Emperor) of the Ming Dynasty (明成祖文皇帝之陵門)

Regardless of the dynasty, China has always had close ties with the peninsula, but the Ming Dynasty had a particularly deep relationship. It was the Ming Dynasty that responded to our court's plea during the Imjin War (壬辰亂) and aided us with a large army. It was also because of this Ming Dynasty that Korea, refusing the Qing Dynasty's (愛親覺羅氏 - Aisin Gioro clan) request for an alliance—calling them usurpers of the benefactor nation—suffered the great shame and humiliation of the Manchu Invasion (丙子胡亂).

The structure of Changling (成陵 - Yongle's tomb) is similar to the Qing palaces in Beijing. In front stands a tomb gate built with green glazed tiles (淸瓦) and large bricks (大磚). Inside the gate is a spacious courtyard, perhaps seven or eight days' plowing wide (七八日畊될). Directly facing it, atop a marble staircase carved with dragons, stands the majestic Main Hall (正殿), where the spirit tablet is housed. Subsidiary shrine buildings (廟房) flank it on the left and right. Behind the Main Hall is the burial mound (陵), an artificial hill about 30 *ch'ŏk* (approx. 9 meters) high and about 1 *ri* (approx. 400 meters) in circumference. In front of the mound, the lower structure is a staircase (升階) leading up to the top of the mound, and the upper structure is a gate containing a stele pavilion (碑磅 - *likely 碑亭, stele pavilion*). Inside stands a stele about 10 *ch'ŏk* (approx. 3 meters) high, inscribed "Tomb of Emperor Chengzu Wen of the Ming Dynasty" (明成祖文皇帝之陵). On top of the mound, hundreds-of-years-old cypress trees (柏樹) form a dense forest. Whenever the wind rustles through them, they seem to shudder pitifully, as if trembling before their final moments. Although the construction project was vast (浩大), having neglected centuries of spring winds and autumn rains (春秋), its dilapidated and desolate state seems to poignantly narrate the rise and fall of the 500-year foundation laid by Zhu Yuanzhang (朱元璋), who rose from commoner to emperor.

The other 12 tombs are all similar to Changling but comparatively smaller; Siling (世陵 - Tomb of the Chongzhen Emperor) is even smaller. In front of Siling lies the tomb of the eunuch Wang Cheng'en (王承恩). When Li Zicheng (李自成) conquered Beijing, the Chongzhen Emperor (世宗 - *historically 崇禎帝, Sùngzhēn Dì*), lamenting the loss of his ancestral heritage, killed his beloved wife and daughter with his own hands and hanged himself at Jingshan (景山 - behind Shenwu Gate). Wang followed his master in death out of loyalty. Later generations, mindful of his faithful heart, buried him in front of Siling. Those vile characters in the world, who often become high officials entrusted with the weighty responsibility of the state and its people, yet greedily seek petty fame and fortune by selling out their country and compatriots to the enemy, surely cannot face Mr. Wang without shame. Perhaps because he is considered a ruler of a fallen dynasty, this tomb is particularly small and unimpressive, yet due to its historical significance, the footprints of visitors never cease.

In the afternoon, fearing we would miss our vehicle, the two of us who had fallen farthest behind urged our donkeys onward. The people ahead were out of sight, and we couldn't clearly determine the path, so we turned into a small village beside the road to ask for directions. The villagers all claimed not to know. One person even stopped another who was about to answer, telling them not to bother, and they dispersed here and there. Professor Wang, who was with me, followed them asking, "Why tell others not to bother when someone asks for directions?" Only then, perhaps out of fear, did the villager give us directions. I occupy this valuable page with such a trivial story to plead with our own rural compatriots not to be like this. <12>

This is because such behavior is used to gauge the level of a nation's civilization. Even Russian peasants, who bore the nickname of European barbarians, would put aside their work and give detailed directions if they didn't know the way (*Translator's note: This seems contradictory, likely meant 'if asked for directions'*). Let us not earn a reputation for being unkind to others over small matters.

1927. At Beiyang University (北洋大學), Tianjin (天津) <13>

**Summary**

This 1927 travelogue by "Hae Sŏng" recounts a geology field trip to the Beijing area, focusing on visits to Juyongguan Pass on the Great Wall and the Ming Tombs. The author reflects on the historical significance of these sites, particularly the Great Wall as evidence of past Korean ancestral strength and the Ming Tombs as symbols of dynastic cycles and Korea's historical relationship with Ming China (Imjin War aid, refusal of Qing alliance leading to the Manchu invasion). The author laments the perceived weakness of contemporary Koreans compared to their ancestors and expresses nationalist sentiments. The narrative concludes with an anecdote criticizing the unhelpfulness of local Chinese villagers near the tombs, contrasting it unfavorably with Russian peasants, as a lesson for improving Korean rural manners and national image. For historians, the article offers insight into Korean intellectual perspectives during the colonial period: the blending of travelogue with historical reflection, the invocation of ancient history to critique the present colonial condition, the complex view of China (Ming as benefactor vs. Qing as enemy, contemporary villagers as uncivilized), and the explicit nationalist call for Koreans to regain strength, all framed within the context of a seemingly innocuous university field trip. The deleted passage regarding Korean suffering likely contained stronger anti-colonial sentiment.

**Named Entities**

北京	베이징	Beijing
京裬線	경수선	Kyŏngsu Line (Jingzhang Railway)
南口	남구	Namgu (Nankou)
巨庸關	거용관	Kŏyonggwan (Juyongguan Pass)
八達嶺	팔달령	P'altallyŏng (Badaling)
朱元璋	주원장	Chu Wŏnjang (Zhu Yuanzhang)
明成祖文皇帝	명성조문황제	Myŏng Sŏngjo Mun Hwangje (Yongle Emperor)
明朝	명조	Myŏngjo (Ming Dynasty)
壬辰亂	임진란	Imjin Ran (Imjin War)
我廷	아정	Ajŏng (Our Court - referring to the Joseon Court)
愛親覺羅氏	애친각라씨	Aech'in'gangna Ssi (Aisin Gioro Clan - Manchu rulers/Qing Dynasty)
丙子胡亂	병자호란	Pyŏngja Horan (Manchu Invasion of 1636)
成陵	성릉	Sŏngnŭng (Changling - Yongle Emperor's Tomb)
淸宮	청궁	Ch'ŏnggung (Qing Palaces)
世陵	세릉	Serŭng (Siling - Chongzhen Emperor's Tomb)
王承恩	왕승은	Wang Sŭngŭn (Wang Cheng'en)
李自成	이자성	Yi Chasŏng (Li Zicheng)
景山	경산	Kyŏngsan (Jingshan Park)
世宗	세종	Sejong (Chongzhen Emperor - *Note: historically 崇禎帝 Sùngzhēn Dì*)
王교수	왕교수	Professor Wang
俄國	아국	Aguk (Russia)
天津	천진	Ch'ŏnjin (Tianjin)
北洋大學	북양대학	Pukyang Taehak (Beiyang University)
海星	해성	Hae Sŏng (Author's pen name)
함교장	함교장	Hamgyojang (Captain Ham - possibly fictional/literary reference)
계월향	계월향	Kye Wŏrhyang (Possibly refers to the famous Gisaeng, but context suggests a different reference)

**Glossary**

춘기	춘기	Spring season
본교	본교	Our school
지질	지질	Geology
경하여	경하여	Passing through; via
익일	익일	The next day
가량	가량	Approximately
이르 때	이를 때	When reaching
연연한	연연한	Continuous; stretching out
산곡	산곡	Mountain valley
봉화대	봉화대	Beacon tower
산성	산성	Mountain fortress
미돌	미터	Meter (older loanword transcription)
양장	양장	Sheep's intestine (used metaphorically for winding path)
내뻗히었다	내뻗었다	Stretched out; extended
서행함으로	서행함으로	Because of moving slowly
오경	오경	Around noon
골작이	골짜기	Valley (older spelling/form)
완연	완연	Winding; meandering
굴곡하다	굴곡하다	To wind; to curve
역부	역부	Laborer; coolie
원정	원정	Resentment; grievance
우뚝하게	우뚝하게	Toweringly; prominently
만부막개	만부막개	Impassable even for ten thousand men (idiom for impregnable pass)
어진 터	무너진 터	Collapsed site/ruins
사태 나린 틈	사태 내린 틈	Gap created by a landslide
기다싶이	기다시피	As if crawling
돌절구확	돌절구	Stone mortar
일쯕이	일찍이	Previously; long ago (older spelling)
백의인	백의인	White-clad people (traditional epithet for Koreans)
조상	조상	Ancestor
웨	왜	Why (older spelling)
금수강산	금수강산	Land of embroidered rivers and mountains (poetic name for Korea)
요동벌	요동벌	Liao Dong plains
무공	무공	Military achievement
기아	기아	Hunger; starvation
호곡하니	호곡하니	Wailing; crying bitterly
금석지감	금석지감	Feelings aroused by comparing past and present
일국	일국	A handful; a flood (of tears)
불금하겠다	불금하겠다	Cannot refrain from; cannot hold back
함교장	함교장	Captain Ham (name, possibly literary)
계월향	계월향	Kye Wŏrhyang (name, possibly literary)
노력	노력	Effort; endeavor
소로	소로	Small mule; donkey
천변	천변	Riverside; stream bank
호참	호참	Moat; trench
전적	전적	Battle traces; ruins of war
나아갈 때	나아갈 때	When proceeding; advancing
릉소	능소	Tomb site; mausoleum area
대리석	대리석	Marble
비루	비루	Stele pavilion
빗타리	비탈에	On the slope (older spelling/form)
자욱한	자욱한	Dense; thick
나열되였다	나열되었다	Were lined up; arranged in a row
반도	반도	Peninsula (referring to Korea)
밀접한	밀접한	Close; intimate
임진란	임진란	Imjin War (Japanese invasions of 1592-1598)
조전한 자	조전한 자	Those who aided in battle
은국	은국	Benefactor nation
찬탈한 자	찬탈한 자	Usurper
간청하는	간청하는	Pleading; earnestly requesting
합종	합종	Alliance
병자호란	병자호란	Manchu invasion of Korea in 1636
기치대욕	기치대욕	Great shame and humiliation
인함이다	인함이다	Is due to; is because of
청와	청와	Blue/Green glazed tiles
대전	대전	Large bricks
일경될	일경 될	Amounting to one *kyŏng* (unit of area, here used figuratively for 'days of plowing')
정원	정원	Courtyard; garden
정면	정면	Front face; facade
신위	신위	Spirit tablet; ancestral tablet
묘방	묘방	Subsidiary shrine buildings
척	척	*Ch'ŏk* (unit of length, approx. 30.3 cm)
주위	주위	Circumference
조산	조산	Artificial hill; burial mound
승계	승계	Ascending stairs
비방	비정	Stele pavilion (*likely typo for 碑亭*)
비석	비석	Stele; tombstone
백수	백수	Cypress tree (柏樹)
삼림	삼림	Forest
일우어	이루어	Forming; creating (older spelling)
찌걱일 때마다	삐걱거릴 때에는	Whenever it creaks (older spelling/form)
최후	최후	The end; final moment
부르르 떠는 듯이	부르르 떠는 듯이	As if trembling violently
비참하게	비참하게	Miserably; pitifully
공정	공정	Construction project; engineering work
호대하나	호대하나	Although vast/grand
춘풍추우	춘풍추우	Spring winds and autumn rains (metaphor for passage of time)
실수한 소이로	실수한 소이로	Because of having neglected/passed (or possibly 'erred')
폐퇴하고	폐퇴하고	Being dilapidated; ruined
황량함	황량함	Desolation; bleakness
기반	기반	Foundation; base
성쇠	성쇠	Rise and fall; vicissitudes
처량하게	처량하게	Pathetically; sorrowfully
태감	태감	Eunuch
묻엄	무덤	Tomb (older spelling)
공파함에	공파함에	Upon conquering/breaking through
비분하여	비분하여	Being indignant; lamenting bitterly
자수	자수	With one's own hands
순국하였음으로	순국하였으므로	Because he died loyally for his country
후인	후인	Later people; posterity
충심	충심	Loyal heart; faithfulness
국가	국가	Nation; state
인민	인민	The people
중탁	중탁	Weighty responsibility; important trust
장상	장상	General; high official
구차한	구차한	Petty; sordid; makeshift
명리	명리	Fame and fortune
탐하여	탐하여	Coveting; being greedy for
동포	동포	Compatriots; fellow countrymen
팔아 써	팔아서	By selling
비루한	비루한	Vile; base; mean
무리	무리	Group; crowd; ilk
부끄러움	부끄러움	Shame; embarrassment
망국지군	망국지군	Ruler of a fallen dynasty
역사상	역사상	Historical
유객	유객	Visitor; tourist
족적	족적	Footprints; traces
부절한다	부절한다	Does not cease; is continuous
놓치지 않기	놓치지 않기	In order not to miss
맨 뒤에	맨 뒤에	At the very back
떨어진	떨어진	Fallen behind; separated
급히	급히	Hurriedly; quickly
 수 없음으로	알 수 없음으로	As it couldn't be known/recognized (archaic character usage for '알')
노방	노방	Roadside
촌민	촌민	Villager
상관하지 말라	상관하지 말라	Don't interfere; don't bother
헤어지고 맔다	헤어지고 말았다	They dispersed and that was it (older spelling '맔다')
딸아가면서	따라가면서	While following (older spelling)
뭇는데	묻는데	When asking (question)
지면	지면	Page space (of publication)
실없은	실없는	Trivial; pointless; nonsensical
차지함은	차지함은	The reason for occupying (space)
농촌	농촌	Rural village; farming village
말아달라고 함이다	말아 달라고 함이다	It is to request not to do so
국민	국민	People of a nation; citizens
문명	문명	Civilization
정도	정도	Degree; level
측량하는	측량하는	Measuring; gauging
연고다	연고다	It is the reason; therefore
유럽	유럽	Europe
야만	야만	Barbarian; savage
별호	별호	Nickname; alias
듯던	듣던	Heard; known as (older spelling)
아국	아국	Russia (俄國)
농민	농민	Peasant; farmer
정도 없다	정 없다	To be unkind; lacking affection/warmth
