Magazine Title	동광 제18호
Publication Date	1931년 02월 01일
Article Title	辛未革命과 辛未洋擾(二) (The Shinmi Revolution and the Shinmi Disturbance (Part 2))
Author	李允宰
Article Type	논설 (Editorial/Essay)

The Shinmi Revolution and the Shinmi Disturbance
						Yi Yun-jae

Shinmi Yangyo (1871 Foreign Disturbance)

I. Korea and the West

Sixty years (one sexagenary cycle) after the aforementioned Hong Kyŏng-nae Revolution, the Yangyo (Foreign Disturbance) occurred. This Yangyo, along with the Japanese invasions (Waeran) and the Manchu invasions (Horan), is one of the three major foreign incursions during the 500 years of the Chosŏn Dynasty and holds the most significant historical meaning. Before discussing the Yangyo, I will first speak of the relationship between Chosŏn and the West.
Although word of Western affairs reached the ears of the Korean people over 410 years ago during the reign of King Chungjong, the first footprints of Westerners were marked on Korean soil 337 years ago in the 27th year of King Sŏnjo, the year Kabja (Western calendar 1594), with the arrival of the foreign missionary Gregorio de Cespedes. Records mentioning "absurd ships" (荒唐船) or "strange-looking ships" (異樣船) often appear in recent historical writings. Since then, there were instances of foreigners residing in Korea, and envoys from our country went to China and interacted with Westerners. During the reign of King Injo, Chŏng Tu-wŏn, an envoy to the remnant Ming, imported Western culture such as Western cannons (西洋火砲), gunpowder (熖焇), telescopes (千里鏡), and self-striking clocks (自鳴鍾). Furthermore, during the reign of King Hyojong, the Sihŏn calendar (時憲曆), a Western calendar system, was implemented. In the early years of King Sukchong, Catholicism, called Sŏhak (Western Learning, 西學) or Yanghak (Ocean Learning, 洋學), began to spread. It flourished greatly in the central region during the reigns of Kings Yŏngjo and Chŏngjo, with many famous scholars of the time becoming believers. However, it suffered a major blow in the first year of King Sunjo. Later, in the second year of King Hŏnjong, French priests like Maubant (모방) entered the country, marking the beginning of Western missionaries coming to Korea. Shortly after, they were all executed, and an edict denouncing heterodoxy (斥邪綸音) was issued, implementing a policy to eradicate Western religion. In this way, through the medium of Christianity, Chosŏn came to know the West, encounter Westerners, and import Western culture. This became the path through which the relationship between Chosŏn and the West was formed.

II. Origins of the Shinmi Yangyo

To speak of the Shinmi Yangyo (1871 Disturbance), I believe one must first discuss the Pyŏng'in Yangyo (1866 Disturbance) which occurred five years prior. Christianity, which had been severely persecuted, saw a period of relaxed prohibition (弛禁) after King Ch'ŏlchong, and from this time, the influence of the religion grew rapidly again. The believers were striving hard to obtain official national recognition. Seizing the opportunity presented by Russia (俄羅斯) casting glances over the northern border (北邊) in the second year of Emperor Kojong's reign, influential figures among the believers advised the Taewŏn'gun that using Catholicism would make it easy to expel the Russians (俄人). It nearly succeeded, but the Russians withdrew on their own. Furthermore, unpleasant <43> feelings arose between the negotiators, and the final breakdown turned into hatred towards the believers, eventually leading to such a grave incident: the great massacre of Christians. This became the issue, and in August of the Pyŏng'in year (Western calendar 1866), French Admiral Roze (로스 提督), using the pretext of demanding accountability for the massacre of Catholic believers, entered with several warships. Realizing his own weakness (勢弱함을), he temporarily withdrew, only to return in September with five more warships, invading Kanghwa. However, he was repulsed by our forces. France intended to take further retaliatory measures, but due to the Franco-Prussian War (普佛戰爭) occurring at that time, the issue completely faded away (沈銷되고). This is the general course of the Pyŏng'in Yangyo.
Initially, the relationship between Chosŏn and the United States began in the early 18th century with competition (角逐) over the ginseng trade in the Chinese market. From this, the United States coveted Chosŏn's resources (富源) and sought to open avenues for acquiring concessions. On one hand, they focused on investigating the Korean coast and observing the climate and customs, while on the other hand, they frequently demanded trade relations. Thus, in the fifth month of the third year of Emperor Kojong's reign, the American merchant ship Surprise (서프라이쓰號) was wrecked at Sŏnsap'o in Ch'ŏlsan County, and the locals diligently rescued the crew. Sometime later, an American named Preston (普來屯) loaded the sailing ship General Sherman (제너날 서만號) with goods favored by Koreans, such as glassware and self-striking clocks. Sailing from Tianjin (天津) via Chefoo (芝罘) and riding the high tide, he sailed up the Taedong River (大同江) to Mangyŏngdae near P'yŏngyang (平壤 萬景臺). However, the water receded, stranding the ship, and when their provisions ran out, they resorted to plunder (掠奪). Our soldiers and civilians rushed in, set the ship ablaze, and brutally killed several crew members, including the interpreter Ch'oe Nan-hŏn (崔蘭軒) (the Chinese name of the American Thomas (도마스)). This is known as the Ch'oe Nan-hŏn Incident and became the cause of the Shinmi Yangyo discussed here.
Afterward, Americans in Qing China became anxious as the General Sherman failed to return for a long time. They tried to search for its whereabouts (踪跡) but found no leads. Hearing rumors (風說) from soldiers of the French fleet returning from Chosŏn that a foreign ship had been burned, their suspicions grew stronger. The US government specifically sent a steamship to Chosŏn to ascertain the fate (行衛) of the General Sherman, but they failed to get any clear information (要領). This became the center of an issue, even leading to various rumors (流言) circulating. Through this, Chosŏn attracted the attention of people from various countries around the world, becoming a focal point of global attention.
At this time, Ernst Oppert (오펠트), a German Jew residing in Shanghai (上海), under the pretext of avenging the wrongs done to Catholics, came with the steamship China (촤이나號), carrying a few Frenchmen, Americans, Chinese, Malays, and four Koreans. With the aim of stealing treasures (盜取할), he attempted to excavate (발굴하다) the tomb of Prince Namyŏn (南廷君), the father of the Taewŏn'gun, located in Tŏksan County, Ch'ungch'ŏng Province (忠淸道 德山郡). Failing to achieve his objective, he was repulsed by the Commander of Yŏngjongjin (永宗僉使). This incident further deepened the ill feelings (惡憾) of the Chosŏn scholar-officials (士民), and especially the Taewŏn'gun, towards Western barbarians and Catholicism.

III. The Outbreak of War

With the General Sherman Incident as the starting point, Americans in Qing China began to fervently call for (熱叫하게 되엇다) Korean-American trade (韓美通商). Consequently, the American Minister stationed (駐在) in Beijing (北京), F. F. Low (로우), and the Commander (司令官) of the Asiatic Squadron, Rear Admiral J. Rodgers (로저스), notified the Qing Ministry of Rites (禮部) of their intention to lead a fleet (艦隊) to Chosŏn. Qing promptly informed (報知하엿다) the Chosŏn government of this matter. This happened in the second month of the eighth year of Emperor Kojong, the Shinmi year (Western calendar 1871). <44>
In response, the Chosŏn government strengthened defenses (방비를 嚴修함과) along the coast (邊海) and expressed its intention to flatly reject (截然히 拒斥하는) the United States, stating that Chosŏn had no goods worth trading and thus no reason to establish relations. However, American Minister Low, along with Naval Commander (水師提督) Rodgers, led the flagship USS Colorado (콜로라도號) and four other vessels. Using the pretext of searching for the fate (行衛を搜探함과) of the Sherman and demanding Korean-American trade, they departed Shanghai for Chosŏn in the third month.
Upon arriving in Chosŏn, the American fleet first measured the water depth (水深) of Asan Bay (牙山灣) and Namyang Bay (南陽灣). Then, establishing a base (根據地) on Mulch'ido (勿淄島), north of Inch'ŏn, they began reconnaissance of the Kyŏnggang (the Han River near Seoul) and attempted negotiations (담판) by meeting with Chosŏn officials (官憲).
Chosŏn, mindful (鑑하여) of the precedent (前例) of the French fleet's attack during the Pyŏng'in Yangyo, strictly guarded the Kyŏnggang waterway, deployed numerous cannons (銃砲) at the fortresses (堡壘) of Ch'oji (草芝) and Tŏkchin (德津), and recruited skilled gunners (砲手), thus completing war preparations. As the situation grew tense (事機가 切迫하매), a part of the American fleet passed through the swift currents (急湍) of Sondolmok (孫乭項) and approached the vicinity of Kwangsŏngjin (廣城鎭). There, they were subjected to fierce artillery fire (猛烈한 砲火を浴び) from one of our coastal batteries and returned fire (應戰하여), opening the first engagement (싸움의 뚜에가 열리엇다). Although casualties on both sides were not particularly high in this battle, its intensity can be gauged by the fact that Blake (부레키), renowned as a valiant general in the American Civil War, reportedly exclaimed in admiration (嘆服한), "Such fierce firing (猛射) has truly never been seen before."
On April 24th, the enemy forces captured Tŏkchinbo (德津堡) and advanced simultaneously by land and water, closing in (肉迫하엿다) on Kwangsŏngjin. At that time, Ŏ Chae-yŏn (魚在淵), the Chinmu Chunggun (鎭撫中軍 - Garrison Commander) of Kanghwa defending Kwangsŏngjin, resolved to defend the fortress to the death (死守하기로). He counterattacked (逆擊하여) the enemy, inflicting heavy losses. However, the enemy troops landed, flanked our position using the mountains, and charged, leading to fierce hand-to-hand combat (白兵戰). Ultimately, our forces were routed (敗潰하고), and the fortress fell (陷落되엇다). In this battle, Chunggun Ŏ Chae-yŏn, his younger brother Ŏ Chae-sun (魚在淳), and Royal Guard Officer (御營哨官) Yu P'ung-no (柳豊魯) were killed in action. Besides them, there were 350 casualties among the soldiers. The enemy forces suffered only 3 deaths, including Lieutenant McKee (막키 中尉), and about 10 wounded. This was undoubtedly partly due to the enemy's weaponry being superior (精銳하엿든) to ours. After their victory at Kwangsŏngjin, the enemy forces did not press further. For whatever reason, they withdrew to their base on Mulch'ido, observed the situation in Chosŏn, and, presumably realizing there was little prospect of success (별 신통한 도리가 없을 것을 헤아리고), departed dispiritedly (無聊히 退去하고 말앗다) on the 16th of the fifth month, about 40 days after arriving in Chosŏn.

IV. Post-War Exclusionist Policy (攘夷政策)

Having experienced foreign disturbances twice like this, the Taewŏn'gun became enraged, saying, "Hmph - let those scoundrels try whatever they want!" With a renewed determination never to establish friendly relations (通好하지 아니하리라는) with the West, he resolutely implemented an anti-foreign policy (攘夷의 政策). To galvanize (衝激할 뜻으로) the national sentiment, he had the oath (誓辭) "洋夷侵犯 非戰則和 主和賣國 戒我萬年子孫 丙寅作 辛未立" (When Western barbarians invade, not fighting means appeasement; advocating appeasement is selling the country. Let our descendants for ten thousand years be warned. Composed in Pyŏng'in [1866], Erected in Shinmi [1871]) clearly carved onto stone monuments and erected them on Chongno in Hansŏng (漢城 鍾路) and along major roads throughout the country. These are the so-called Ch'ŏkhwabi (斥和碑 - Stele Rejecting Reconciliation). He also had ink makers (墨工) carve the characters onto the surface of inksticks (墨面), thereby widely propagating the idea of rejecting Western barbarians.
This Yangyo, one might say, was a golden opportunity to awaken the secluded Chosŏn and present it to the world, yet Chosŏn, merely intoxicated (鴆醉하여) by the spirit of subservience to the powerful (事大主義), did not respond. It goes without saying for figures like Hong Sun-mok (洪淳穆) and Kim Pyŏng-hak (金炳學), who clung to notions like being a "Millennium Land of Propriety" (千年禮義之邦). But even the Taewŏn'gun, despite possessing great reformist skill (大改革 手腕), was thus lacking in international perspective (國際眼). By establishing isolationism (鎖國主義) as the national policy (國是), he ultimately caused the Korean people to fall into the position of stragglers (落伍者) in the world, which is truly lamentable (痛惜함을 말지 아니한다). (End) <45>

**Summary**

This article by Yi Yun-jae, published in 1931, recounts the events leading up to and including the Shinmi Yangyo (1871 US-Korean conflict). It details Korea's early, limited interactions with the West, primarily through Catholicism, the preceding Pyŏng'in Yangyo (1866 French conflict) sparked by anti-Catholic persecution, the General Sherman incident which directly provoked US intervention, and the Oppert grave-robbing attempt which further hardened anti-Western sentiment. The article describes the US naval expedition under Rodgers and Low, the fierce battles at Kanghwa Island, particularly Kwangsŏngjin where commander Ŏ Chae-yŏn died fighting, and the eventual US withdrawal. Yi concludes by lamenting the Taewŏn'gun's subsequent doubling-down on isolationism, marked by the erection of Ch'ŏkhwabi monuments, viewing it as a missed opportunity for Korea to engage with the world, fostered by an outdated adherence to Sinocentrism (Sadaejuui) and a lack of international awareness.

From a colonial history perspective, the article is interesting for its nationalist framing of the *Yangyo* events as major historical incursions comparable to earlier invasions. Written during Japanese rule, Yi Yun-jae's critique of the Taewŏn'gun's isolationism implicitly reflects on Korea's path to colonization, suggesting earlier engagement might have led to a different outcome. Historians might find valuable the contemporary (1931) Korean intellectual perspective on 19th-century foreign relations, the assessment of the Taewŏn'gun's policies, and the underlying tone lamenting Korea's "backwardness" leading to its current status, a common theme in colonial-era discourse.

**Named Entities**

李允宰	이윤재	Yi Yun-jae
洪景來	홍경래	Hong Kyŏng-nae
朝鮮	조선	Chosŏn
西洋	서양	Sŏyang (The West)
中宗	중종	Chungjong
宣祖	선조	Sŏnjo
西歷	서력	Sŏryŏk (Western Calendar)
그리꼬리오 다 코쓰페레테쓰	그리꼬리오 다 코쓰페레테쓰	Gregorio de Cespedes
支那	지나	China
仁祖	인조	Injo
鄭斗源	정두원	Chŏng Tu-wŏn
孝宗	효종	Hyojong
時憲曆	시헌력	Sihŏn Calendar
肅宗	숙종	Sukchong
天主敎	천주교	Ch'ŏnjugyo (Catholicism)
英祖	영조	Yŏngjo
正祖	정조	Chŏngjo
純祖	순조	Sunjo
憲宗	헌종	Hŏnjong
佛國	불국	Pulguk (France)
모방	모방	Maubant
基督敎	기독교	Kidokkyo (Christianity)
哲宗	철종	Ch'ŏlchong
高宗帝	고종제	Kojongje (Emperor Kojong)
俄羅斯	아라사	Arasa (Russia)
露國	노국	Noguk (Russia)
北邊	북변	Pukpyŏn (Northern Border)
大院君	대원군	Taewŏn'gun
俄人	아인	Ain (Russians)
丙寅年	병인년	Pyŏng'innyŏn (Year 1866)
로스 提督	로스 제독	Rosŭ Chedok (Admiral Roze)
江華	강화	Kanghwa
普佛戰爭	보불전쟁	Pobul Chŏnjaeng (Franco-Prussian War)
美國	미국	Miguk (United States)
鐵山郡	철산군	Ch'ŏlsan County
宣沙浦	선사포	Sŏnsap'o
프레스톤	프레스톤	Preston
普來屯	보래둔	Poraedun (Preston - Hanja rendering)
제너날 서만號	제너럴 셔먼호	Chenŏnal Syŏman-ho (General Sherman)
琉璃器	유리기	Yurigi (Glassware)
自鳴鍾	자명종	Chamyŏngjong (Self-striking Clock)
天津	천진	Ch'ŏnjin (Tianjin)
芝罘	지부	Chibu (Chefoo/Yantai)
大同江	대동강	Taedong River
平壤	평양	P'yŏngyang
萬景臺	만경대	Mangyŏngdae
崔蘭軒	최난헌	Ch'oe Nan-hŏn
도마스	도마스	Thomas
淸國	청국	Ch'ŏngguk (Qing China)
上海	상해	Sanghae (Shanghai)
猶太系	유태계	Yut'aegye (Jewish descent)
獨逸人	독일인	Togirin (German person)
오펠트	오펠트	Oppert (Ernst Oppert)
촤이나號	차이나호	Ch'waina-ho (SS China)
馬來人	마래인	Maraein (Malay people)
忠淸道	충청도	Ch'ungch'ŏng Province
德山郡	덕산군	Tŏksan County
南廷君	남연군	Namyŏn'gun (Prince Namyŏn)
永宗僉使	영종첨사	Yŏngjong Ch'ŏmsa (Commander of Yŏngjongjin)
辛未	신미	Shinmi (Year 1871)
北京	북경	Pukkyŏng (Beijing)
로우	로우	Low (Frederick F. Low)
亞細亞艦隊	아세아함대	Asea Hamdae (Asiatic Squadron)
로저스	로저스	Rodgers (John Rodgers)
魯籍	노적	Nojŏk (Rodgers - Hanja rendering)
禮部	예부	Yebu (Ministry of Rites)
콜로라도號	콜로라도호	K'ollorado-ho (USS Colorado)
牙山灣	아산만	Asan Bay
南陽灣	남양만	Namyang Bay
仁川	인천	Inch'ŏn
勿淄島	물치도	Mulch'ido
京江	경강	Kyŏnggang (Han River near Seoul)
草芝	초지	Ch'oji (Chŏjijin Fortress)
德津	덕진	Tŏkchin (Tŏkchinjin Fortress)
손돌목	손돌목	Sondolmok
孫乭項	손돌항	Sondolhang (Sondolmok - Hanja rendering)
廣城鎭	광성진	Kwangsŏngjin
부레키	부레키	Blake (Homer C. Blake)
魚在淵	어재연	Ŏ Chae-yŏn
德津堡	덕진보	Tŏkchinbo (Tŏkchin Fortress)
魚在淳	어재순	Ŏ Chae-sun
御營哨官	어영초관	Ŏyŏng Ch'ogwan (Royal Guard Company Officer)
柳豊魯	유풍로	Yu P'ung-no
막키 中尉	맥키 중위	Maek'i Chungwi (Lieutenant McKee)
斥和碑	척화비	Ch'ŏkhwabi (Stele Rejecting Reconciliation)
漢城	한성	Hansŏng (Old name for Seoul)
鍾路	종로	Chongno
洪淳穆	홍순목	Hong Sun-mok
金炳學	김병학	Kim Pyŏng-hak

**Glossary**

洋擾	양요	Foreign Disturbance (term for 19th C. Western military incursions)
革命後	혁명후	After the revolution
1週甲	일주갑	One sexagenary cycle (60 years)
傳聞되기는	전문되기는	To be heard as rumor (older verb ending)
荒唐船	황당선	"Absurd ship," term for early unfamiliar Western ships
文籍	문적	Documents, writings, records
入居한	입거한	Resided, lived in (older form/usage)
遺明使	유명사	Envoy to the remnant Ming Dynasty
文物	문물	Culture, cultural artifacts
曆法	역법	Calendar system
斥邪綸音	척사륜음	Royal edict denouncing heterodoxy (specifically Catholicism)
媒介	매개	Medium, intermediary
接應하게	접응하게	To encounter, meet, receive (older usage)
移入하게	이입하게	To import, bring in
起因	기인	Origin, cause
弛禁	이금	Relaxation of a prohibition
敎勢	교세	Influence/power of a religion
公認	공인	Official recognition
機會	기회	Opportunity
驅逐하기	구축하기	To expel, drive out
無難하다	무난하다	To be easy, without difficulty (older nuance)
破綻	파탄	Breakdown, failure, rupture
憎惡心	증오심	Hatred, animosity
虐殺	학살	Massacre
문책	문책	Demanding accountability, censure
구실	구실	Pretext, excuse
戰艦	전함	Warship
勢弱함을	세약함을	Being weak in power/force (older nominalization)
보복	보복	Retaliation, revenge
沈銷되고	침소되고	To disappear, fade away (less common today)
角逐	각축	Competition, rivalry
富源	부원	Sources of wealth, resources
틔우려고	틔우려고	Intending to open up/clear (a path)
沿海	연해	Coast, coastal area
觀察	관찰	Observation
난파한	난파한	Shipwrecked
각근히	각근히	Diligently, carefully (slightly archaic adverb)
溯航하여	소항하여	Sailing upstream
붙고	붙고	To get stuck, be stranded (context: ship)
掠奪을	약탈을	Plunder, looting (Object marker '을' used, common older form)
踪跡	종적	Whereabouts, traces
탐색하려	탐색하려	Trying to search for
風說	풍설	Rumor, hearsay
行衛	행위	Fate, whereabouts, course of action (older/formal term)
要領	요령	Gist, main point, clear information
流言	유언	Rumor, groundless talk
초점	초점	Focal point
盜取할	도취할	To steal, purloin
발굴하다가	발굴하다가	While excavating, in the process of digging up
士民	사민	Scholar-officials and common people
惡憾	악감	Ill feeling, bad sentiment, animosity
심각케	심각케	To make serious/profound (older causative form)
발단으로	발단으로	As a starting point, origin
熱叫하게	열규하게	To shout fervently, clamor for
駐在	주재	Stationed, resident (diplomatic context)
公使	공사	Minister (diplomatic rank)
司令官	사령관	Commander
艦隊	함대	Fleet (naval)
報知하엿다	보지하였다	Informed, notified (older spelling/form '엿')
邊海	변해	Coastal border area
방비를	방비를	Defenses (Object marker '를' used)
嚴修함과	엄수함과	Strictly repairing/preparing and... (older nominalization + 'and')
截然히	절연히	Flatly, resolutely, abruptly
拒斥하는	거척하는	Rejecting, refusing
水師提督	수사제독	Naval Commander, Admiral
搜探함과	수탐함과	Searching/investigating and... (older nominalization + 'and')
水深	수심	Water depth
측량하고	측량하고	Measuring, surveying
根據地	근거지	Base, foothold
官憲	관헌	Government official(s)
회견하고	회견하고	Meeting, having an interview
담판	담판	Negotiations, talks
前例에 鑑하여	전례에 감하여	In view of the precedent (鑑 older usage)
堡壘	보루	Fortress, stronghold, battery
召募하는	소모하는	Recruiting, drafting
事機가 切迫하매	사기가 절박하매	As the situation became urgent/critical (older construction)
急湍	급단	Swift currents, rapids
浴하고	욕하고	To bathe in, be subjected to (context: artillery fire)
應戰하여	응전하여	Returning fire, fighting back
뚜에가	뚜껑이/시작이	Lid, beginning (likely '뚜껑이 열리다' - lid opened / fight started; '뚜에' is archaic/dialectal)
猛射한	맹사한	Fierce firing
嘆服한	탄복한	Admired, expressed admiration
肉迫하엿다	육박하였다	Closed in on, pressed hard upon (older spelling '엿')
鎭撫中軍	진무중군	Garrison Commander (historical military title)
死守하기로	사수하기로	Deciding to defend to the death
逆擊하여	역격하여	Counterattacking
白兵戰	백병전	Hand-to-hand combat, bayonet fight
敗潰하고	패궤하고	To be routed, collapse
陷落되엇다	함락되었다	Fell, was captured (older spelling '엿')
哨官	초관	Company officer (historical military rank)
精銳하엿든	정예하였던	Was elite, superior (older spelling '엿든')
헤아리고	헤아리고	Considering, figuring out, judging
無聊히	무료히	Dispiritedly, tediously, forlornly
退去하고	퇴거하고	Withdrew, departed
攘夷政策	양이정책	Anti-foreign policy, exclusionist policy
通好하지	통호하지	Not establishing friendly relations
衝激할	충격할	To shock, impact, galvanize
誓辭	서사	Oath, pledge text
새기어서	새기어서	Carving, engraving
墨工	묵공	Ink maker, artisan specializing in inksticks
墨面	묵면	Surface of an inkstick
事大主義	사대주의	Sadaejuui (Flunkeyism, policy of serving the great/powerful - referring to China)
鴆醉하여	짐취하여	To be poisoned/intoxicated (figurative)
禮義之邦	예의지방	Land of propriety and righteousness
手腕	수완	Skill, ability, capability
國際眼	국제안	International perspective/outlook
鎖國主義	쇄국주의	Isolationism, closed-country policy
國是	국시	National policy, fundamental policy of the state
落伍者	낙오자	Straggler, one who falls behind
痛惜함을	통석함을	Being lamentable, regrettable (older nominalization)


---------------------------


잡지명	동광 제18호
발행일	1931년 02월 01일
기사제목	辛未革命과 辛未洋擾(二)
필자	李允宰
기사형태	논설

辛未革命과 辛未洋擾
						李允宰
辛未洋擾
一. 朝鮮과 西洋
우에 말한 洪景來 革命後 1週甲을 지나 洋擾가 일어낫다. 이 洋擾는 倭亂, 胡亂과 한 가지 朝鮮 500년간 三大外寇의 하나로 역사상 가장 중대한 意義가 잇는 것이다. 이제 洋擾를 말하기 전에 먼저 朝鮮과 西洋과의 관계를 말하리라.
朝鮮人의 耳朶에 西洋事情이 傳聞되기는 410여년전 中宗때의 일이지마는 西洋人의 발자국이 맨 처음으로 朝鮮땅에 박이기는 지금으로부터 337년전 宣祖 27년 甲子(西歷 1594년)에 洋人 宣敎師 그리꼬리오 다 코쓰페레테쓰의 옴으로부터다. 荒唐船이니 異樣船이니 하는 記事가 近世 文籍에 종종 나타남을 보겟으며 그 후로 洋人의 入居한 일이 잇엇고 또 本國 使臣이 支那에 가서 西洋人과 교제한 일이 잇엇으며仁祖때에는 遺明使 鄭斗源이 西洋火砲, 熖焇, 千里鏡, 自鳴鍾등 西洋文物을 수입한 것으로 비롯하여 孝宗때에는 時憲曆이란 西洋曆法을 실행한 일까지 잇엇고 肅宗초에는 西學 혹 洋學이라 하는 天主敎가 전파되기 시작하여 英祖, 正祖 兩代에 중부지방에 크게 성행하여 당시 名士로 信敎者가 많앗으나 純祖元年에 대타격을 받앗으며 其後 憲宗 2년에 佛國敎士 모방 등이 입국하엿으니 이것이 西洋敎士 入來의 시초라 할 것이다. 얼마 뒤에 그들은 다 殺戮을 당하고 斥邪綸音을 내려 西敎撲滅策을 실행케 되엇다. 이와 같이 基督敎를 媒介로 하여 朝鮮은 西洋을 알게되고 西洋人을 接應하게 되고 西洋文化를 移入하게 되엇다. 이것이 곳 朝鮮과 西洋과의 관계를 맺게 되는 경로가 되는 것이다.

二. 辛未洋擾의 起因
