잡지명	동광 제18호
발행일	1931년 02월 01일
기사제목	革命中國 新女性들의 活躍 (The Activities of Revolutionary China's New Women)
필자	南京居士
기사형태	소식 (News Report)

The Activities of Revolutionary China's New Women
						By Nankin Kŏsa (南京居士)

In newly rising China, which is fiercely struggling to liberate itself from the oppression of imperialism, the oppression of warlords, and all other inequalities and unfreedoms, the activities of new women, who possess a new consciousness and resolutely demand a position of freedom and equality, are astonishing. Bound feet (纏足) have become natural feet (天足) – the small feet that received artificial restraint have been liberated into naturally large feet, and the legs of Chinese women, which received the strictest confinement in the world, have leaped to become free bare feet (赤脚) – feet of freedom that boldly expose themselves and stride vigorously on broad daylight avenues. Their large, bare feet are indeed feet that have kicked away the old Confucian ethics of several thousand years and have freely stretched and developed.

The old condition for beauties, "a fair lady in the deep chamber" (深閨佳人), has been utterly destroyed, and they are imitating the beauty of primitive people with their new attire of bare feet, short sleeves, and semi-nudity. Old descriptions of beauties like "graceful lotus steps" (楚楚한 蓮步) or "slender willow waist" (纖纖한 柳腰) are already outdated and rotten adjectives for beauty. Ample curves, long legs like vertical lines, and vigorous, healthy steps are the new standards of beauty.

Needless to say, Madame Chiang Kye-sŏk (蔣介石), Song Mi-ryŏng (宋美齡) yŏsa, wife of the Chairman of the Nationalist Government, is the leader (魁) of modern girls in present-day China. During the recent great war in Honam (河南), when her husband was busy with military and political affairs, Madame demonstrated extraordinary activity. It is true that she traveled back and forth between Sanghae (上海) and Nankin (南京), lobbying financiers with considerable success. There is also talk that when Mr. Chiang spent 50 million won of his private funds for military expenses, Ms. Song also contributed 5,000 won of her private funds to relieve her husband's financial difficulties. When the Central Army (中央軍) suffered successive defeats due to the stubborn counterattacks of the Northwest Army (西北軍) and faced a critical moment, upon hearing of Mr. Chiang's decision to commit suicide after defeat, his wife hurriedly flew by airplane (비행긔) to Chŏngju (鄭州) to comfort her husband. Although Mr. Chiang is a renowned general skilled in warfare, it is not difficult to imagine how much Ms. Song's visit restored Mr. Chiang's spirits when he was in a crisis of discouragement and despair. Recently, due to the persuasion of Ms. Song, a fervent Christian believer, Mr. Chiang suddenly experienced an awakening (菩提心) and received Christian baptism.

The activities of Madame Chang Hak-ryang (張學良), U Pong-ji (于鳳至) yŏsa, have also recently become a focus of general attention. When her husband sent a telegram advocating "Saving the Nation" and dispatched troops into the passes, Madame initiated a "Flood Relief" campaign, held a dance party at Pukrŭng (北陵), Mr. Chang's villa, and personally took part, obtaining a large sum in donations.

In the current political situation aiming for peaceful unification through Chiang-Chang cooperation, Madame U Pong-ji's entry into Nankin (南京) along with her husband to attempt friendly exchanges with Madame Song Mi-ryŏng holds importance comparable to the Chiang-Chang meeting. <29>

A star in the Chinese women's sports world, concentrating the popularity of all China onto herself with her shapely legs and fitness, is the 16-year-old girl this year, Sun Kye-un (孫桂雲), the Chinese female athlete who drew international attention at the Far Eastern Championship Games. Her records are 13.8 seconds for 100 meters and 7.4 seconds for 50 meters.

Chinese women, liberated starting from their feet, have recently been making leapfrog advancements into the sports world. Basketball and volleyball are their most favored sports. Other female athletes like O Mae-sŏn (吳梅仙), Yu Chŏng-jŏng (劉靜貞), etc.—their physical beauty and healthy beauty have decidedly kicked away the China of the past. The healthy beauty of Chinese women has further advanced recently in the developing Girls' Youth Corps (Girl Scouts). Their dignified attire and posture would surely amaze Korean girls if they saw them. The Girls' Youth Corps recently organized in Nankin carries the latest model firearms in addition to batons and conducts modern military training. Recently, Mr. Chiang Kye-sŏk inspected the Girls' Youth Corps and praised them, saying that in terms of physique and training, they were even superior to the current Chinese male soldiers.

A female fighter of the Chinese Communist Party (共産黨) named Ho Yŏng (胡英), who gained extraordinary popularity through her activities on the class struggle front, is a beautiful woman of 22 this year. She organized a women's communist army and engaged in battles with government punitive forces, employing elusive tactics in the wilderness of Honam (湖南).

As giants in the political world, the two ladies Ho Ch'un-ŭng (何春凝) and Song Kyŏng-ryŏng (宋慶齡) are world-renowned female politicians. As they are currently in exile abroad, their news cannot be known, but Madame Wang Cho-myŏng (汪兆銘), Chin Pyŏk-kun (陳壁君) yŏsa, is likely the foremost female politician residing within the country. Mr. Wang, the leftist giant who acted as the chief strategist of the anti-Chiang movement and decisively opposed Mr. Chiang with the two heroes Yŏm (閻錫山) and P'ung (馮玉祥) at his sides, receives great support from his wife, Madame Chin. Madame Chin possesses all the qualities of a passionate revolutionary, is skilled in oratory, and when engaging in political debates with political giants, her eloquent speech is said to surpass even Mr. Wang's. This time, while in the North, she bustled about lobbying between the generals like Yŏm and P'ung and the Western Hills Group (西山派).

Dr. Chŏng Yuk-su (鄭毓秀), a legal scholar who holds a position of importance in the judicial world, was the president of the Sanghae Provisional Court (上海臨時法院), becoming an object of international astonishment. Currently, she has hung out her shingle as a lawyer in Sanghae and is making extraordinary efforts for the protection of women's rights.

Ms. Kwak Pong-myŏng (郭鳳鳴), the county magistrate of Habuk Province (河北省), is a cutting-edge woman of 26 with short hair and Western dress. In her two years as county magistrate, she modernized the entire county, provoking backlash from the county's conservatives, making it difficult for her to maintain her official position for a time. However, as the influence of the "modern" general Chang Hak-ryang reached Habuk Province, Ms. Kwak was able to resolutely suppress the opposition movement of the conservatives and continue her "modernist" politics.

Women, who at the age of seven were not supposed to share the same space with men, now attend co-educational schools, and women who had no property rights have acquired inheritance rights. As the progressive laws of the Nationalist Government are based on the fundamental principle of gender equality, the legal status of women has improved to the point where it can disregard other advanced countries. Demands for suffrage or legal equality already belong to past stages of the women's liberation movement; currently, economic equality is the target of their liberation front. Female clerks, female conductors, female teachers, dancers, mannequin girls (마네킨껄)—standing upright on the front lines of livelihood and fighting bravely is the recent direction of their advancement. Under the slogan "Complete Liberation is Economic Liberation," they are all aspiring to become professional women. Depending on male protection is considered a great shame to them.

Female police officers, female detectives, female barbers, female lawyers—their occupations are pioneering new directions that women in advanced countries could not even dream of. Thus, the advancement of women into the political world, economic world, party affairs, legal circles, and other various fields presents an extraordinary fierce momentum, and they are striving alongside men for the construction of a new state. <30>
<29-30>

**Summary**

This 1931 article from the Korean magazine *Tonggwang* details the remarkable activities of "new women" in Republican China, portraying them as agents of revolutionary change. It highlights their liberation from traditional constraints like foot-binding, their embrace of modern fashion and beauty standards emphasizing health and athleticism, and their active participation in sports, politics (citing figures like Soong Mei-ling and Yu Fengzhi), military training (Girl Scouts/women's army), communist movements (Ho Ying), and various professions including law (Zheng Yuxiu) and administration (Guo Fengming). The article emphasizes their pursuit of economic independence as the key to complete liberation, moving beyond earlier demands for legal equality and suffrage, and concludes by noting their significant role alongside men in building a new China.

From the perspective of Korean colonial history, this article is interesting as it reflects Korean intellectuals' keen observation of social transformations in neighboring China, a nation grappling with similar pressures of modernization and nationalism, albeit under different political circumstances. It presents Chinese women's liberation as dynamic and advanced, implicitly contrasting it with the situation in colonized Korea and potentially serving as both inspiration and a benchmark. The focus on specific, named Chinese women active in diverse fields provided tangible examples for the Korean audience, while the admiration for their "fierce momentum" could reflect aspirations for similar social progress within Korea itself. Historians might find the article valuable for understanding transnational feminist and modernist discourses in East Asia during this period and the ways social change in China was perceived and reported in colonial Korea.

**Named Entities**

帝國主義	제국주의	Imperialism
軍閥	군벌	Warlords
中國	중국	China
南京居士	난징거사	Nankin Kŏsa (Author's pen name: "Nanjing Lay Scholar")
纏足	전족	Bound feet
天足	천족	Natural feet
赤脚	적각	Bare feet
蔣介石	장개석	Chiang Kye-sŏk (Chiang Kai-shek)
宋美齡	송미령	Song Mi-ryŏng (Soong Mei-ling)
河南	하남	Honam (Henan)
上海	상해	Sanghae (Shanghai)
南京	난징	Nankin (Nanjing)
西北軍	서북군	Sŏbuk-kun (Northwest Army)
中央軍	중앙군	Chungang-kun (Central Army)
鄭州	정주	Chŏngju (Zhengzhou)
基督	기독	Christ/Christian
張學良	장학량	Chang Hak-ryang (Zhang Xueliang)
于鳳至	우봉지	U Pong-ji (Yu Fengzhi)
北陵	북릉	Pukrŭng (Beiling)
孫桂雲	손계운	Son Kye-un (Sun Guiyun)
極東 올림픽 대회	극동 올림픽 대회	Far Eastern Championship Games
吳梅仙	오매선	O Mae-sŏn (Wu Meixian)
劉靜貞	유정정	Yu Chŏng-jŏng (Liu Jingzhen)
女子少年軍	여자소년군	Girls' Youth Corps
껄, 스카웃	걸, 스카웃	Girl Scouts
胡英	호영	Ho Yŏng (Hu Ying)
共産黨	공산당	Communist Party
湖南	호남	Honam (Hunan)
何春凝	하춘응	Ha Ch'un-ŭng (He Chunying - likely refers to He Xiangning 何香凝/하향응 Ha Hyang-ŭng, but written as 何春凝)
宋慶齡	송경령	Song Kyŏng-ryŏng (Soong Ching-ling)
汪兆銘	왕조명	Wang Cho-myŏng (Wang Zhaoming / Wang Jingwei)
陳壁君	진벽군	Chin Pyŏk-kun (Chen Bijun)
閻馮	염풍	Yŏm P'ung (Yan Xishan and Feng Yuxiang)
西山派	서산파	Sŏsanp'a (Western Hills Group)
鄭毓秀	정육수	Chŏng Yuk-su (Zheng Yuxiu)
上海臨時法院	상해임시법원	Sanghae Imsi Pŏpwŏn (Shanghai Provisional Court)
河北省	하북성	Habuk-sŏng (Hebei Province)
郭鳳鳴	곽봉명	Kwak Pong-myŏng (Guo Fengming)
國民政府	국민정부	Nationalist Government

**Glossary**

잇다	있다	to be; to exist (older spelling)
하얏다	하였다	did; had done (older spelling of 하였다)
奮鬪	분투	struggle; strenuous effort
놀란만 하다	놀랄 만하다	to be astonishing; be surprising (slight variation in spelling/spacing)
엄밀한	엄밀한	strict; close; rigorous
一躍	일약	with one leap; suddenly
활보	활보	stride; walk vigorously
數千年來	수천 년래	for the past several thousand years
舊禮敎	구례교	old Confucian ethics/propriety
타파되다	타파되다	to be overthrown; be destroyed
赤裸裸	적나라	naked; bare
原始人	원시인	primitive people
楚楚한 蓮步	초초한 연보	graceful lotus steps (literary description of a beautiful woman's walk)
纖纖한 柳腰	섬섬한 유요	slender willow waist (literary description of a beautiful woman's waist)
발서	벌써	already (older spelling)
풍만하다	풍만하다	ample; plump; full-figured
魁	괴	leader; chief; doyen
夫君	부군	husband (honorific)
다망하다	다망하다	to be very busy
過般	과반	recent; the other day
際하야	제하여	at the time of; during (older form/usage of ~즈음하여/때에)
왕래하다	왕래하다	to come and go; travel back and forth
遊說	유세	lobbying; canvassing; persuasion campaign
私資	사자	private funds; personal assets
財政難	재정난	financial difficulties
頑强	완강	stubborn; persistent
連戰連敗	연전연패	suffer successive defeats
危機一髮	위기일발	imminent danger; critical moment
決心	결심	determination; resolution
비행긔	비행기	airplane (older spelling)
赴하야	부하여	going to; proceeding to (Hanja form 赴 + 하야)
위안하다	위안하다	to comfort; console
善戰名將	선전명장	renowned general skilled in warfare
失意落魄	실의낙백	discouragement and despair; dejection
만회하다	만회하다	to restore; recover
熱烈한	열렬한	ardent; fervent
勸誘	권유	persuasion; inducement
菩提心	보리심	Bodhicitta (Buddhist term for enlightened mind); awakening
洗禮	세례	baptism
밧게 되엇다	받게 되었다	came to receive (older spelling of 받게 되었다)
注目	주목	attention; notice
發起	발기	initiation; proposal; starting (something)
別墅	별서	villa; country house
출마하다	출마하다	to come forward; participate; run for office (here contextually means 'personally took part')
거액	거액	large sum of money
기부	기부	donation; contribution
得하다	득하다	to obtain; get (Hanja form 得 + 하다)
謀하는	모하는	planning; plotting; scheming (older spelling/form of 모의하는)
現時局	현시국	current political situation
親善	친선	friendly relations; goodwill
同樣	동양	same kind; similar
健身	건신	physical fitness; health building
花形	화형	star (figure); flower shape
야기하다	야기하다	to cause; bring about; give rise to
記錄	기록	record (in sports)
米突	미돌	meter (unit of length, older transliteration)
飛躍的	비약적	by leaps and bounds; rapid
進出	진출	advance; entry; expansion
得意한	득의한	one's specialty; forte; proud accomplishment
肉軆美	육체미	physical beauty
健康美	건강미	healthy beauty
凜凜한	늠름한	dignified; imposing; gallant
服裝	복장	attire; clothes
姿	자	figure; posture
驚異	경이	wonder; astonishment; amazement
마지 못할 것이다	마지 못할 것이다	will not be able to stop (doing); cannot help but (do)
편성된	편성된	organized; formed
團杖	단장	baton; staff (carried by leader)
최신식	최신식	latest style; up-to-date
총기	총기	firearms
携帶	휴대	carrying; possessing
近代式	근대식	modern style
敎練	교련	military drill; training
施하고 잇다	시하고 있다	is conducting; is implementing (施 + 하고 있다, older spelling of 있다)
찬탄하얏다	찬탄하였다	praised admiringly; extolled (older spelling of 찬탄하였다)
階級鬪爭	계급투쟁	class struggle
戰線	전선	battlefront; front line
組續하야	조직하여	organizing (older form/spelling of 조직하여)
曠野	광야	wilderness; vast field
神出鬼沒	신출귀몰	elusive; appearing and disappearing unexpectedly
兵略	병략	military strategy; tactics
應戰	응전	meet an attack; fight back
官軍	관군	government troops
討伐隊	토벌대	punitive force; subjugation unit
거두	거두	giant; magnate; leading figure
女流	여류	female (often implying artistic or intellectual pursuits)
政治家	정치가	politician; statesman
망명하고 잇음으로	망명하고 있으므로	because (they) are in exile (older spelling/form)
屈하다	굴하다	to bend; yield; count (on fingers)
反蔣運動	반장운동	Anti-Chiang Movement
參謀	참모	staff officer; strategist
閻馮兩雄	염풍양웅	The two heroes Yan (Xishan) and Feng (Yuxiang)
左右에 挾하고	좌우에 협하고	having (them) at one's sides; flanked by
단행한	단행한	carried out decisively; executed boldly
左派	좌파	left wing; leftist faction
내조	내조	(wife's) support; assistance from behind the scenes
多大하다	다대하다	great; considerable
소질	소질	aptitude; disposition; quality
완비하다	완비하다	to be fully equipped with; perfectly possess
雄辯	웅변	eloquence; oratory
滔滔雄辯	도도웅변	fluent and powerful eloquence
우월하다	우월하다	to be superior; surpass
奔走하다	분주하다	to bustle about; be busy running around
法學者	법학자	legal scholar
法曹界	법조계	legal circles; the judiciary
重鎭	중진	important figure; heavyweight
地位	지위	position; status
점한	점한	occupied; held
博士	박사	Doctor (Ph.D.); learned person
法院長	법원장	chief justice; president of a court
驚異의 的	경이의 적	object of astonishment/wonder
辯護士	변호사	lawyer; attorney
문패	문패	doorplate; nameplate
女權擁護	여권옹호	protection/advocacy of women's rights
縣知事	현지사	county magistrate
現年	현년	current age
短髮	단발	short hair
洋裝	양장	Western clothing
尖端	첨단	cutting-edge; forefront
頑固	완고	stubbornness; obstinacy
반감	반감	antipathy; repulsion; ill feeling
야기하다	야기하다	to cause; provoke
抑壓하다	억압하다	to suppress; oppress
主義	주의	-ism; principle; doctrine
계속케 되엇다	계속하게 되었다	came to continue (older spelling/form)
男女 七歲 不同席	남녀 칠세 부동석	"Males and females do not sit together after the age of seven" (traditional Confucian precept)
共學	공학	co-education
재산권	재산권	property rights
상속권	상속권	inheritance rights
획득하다	획득하다	to acquire; obtain
進步的	진보적	progressive
法律	법률	law; statute
남녀평등	남녀평등	gender equality
근본원칙	근본원칙	fundamental principle
先進國	선진국	advanced country
무시하다	무시하다	to disregard; ignore
만치	만큼	as much as; to the extent that (older spelling)
향상되엇으며	향상되었으며	has improved and... (older spelling)
參政權	참정권	suffrage; political participation rights
婦女解放運動	부녀해방운동	women's liberation movement
階段	계단	stage; phase; step
經濟的 均等	경제적 균등	economic equality
解放戰線	해방전선	liberation front
的	적	target; mark; object(ive)
女事務員	여사무원	female clerk; office worker (woman)
女車掌	여차장	female conductor (bus/train)
女敎員	여교원	female teacher
舞女	무녀	dancer (female)
마네킨껄	마네킹 걸	mannequin girl (likely referring to models)
생활전선	생활전선	front line of livelihood; struggle for living
직립하다	직립하다	to stand upright
용맹스럽게	용맹스럽게	bravely; courageously
舊鬪	구투	old struggle (likely typo or older form for 奮鬪/분투 - fierce struggle)
최근	최근	recently; latest
진출방향	진출방향	direction of advancement/entry
標語	표어	slogan; motto
모도	모두	all; everyone (older spelling)
職業婦人	직업부인	professional woman; working woman
지원하다	지원하다	to aspire to; apply for; support
보호하에	보호 하에	under the protection of
寄生	기생	parasitism; living dependently
막대한	막대한	huge; enormous
羞耻	수치	shame; disgrace
인정되엇다	인정되었다	has been recognized/considered as (older spelling)
女警察	여경찰	policewoman
女刑事	여형사	female detective
女理髮師	여이발사	female barber
夢想	몽상	dream; fantasy; reverie
개척하다	개척하다	to pioneer; develop; open up
