Magazine Title: 삼천리 제13호
Publication Date: 1931년 03월 01일
Article Title: 新春樂壇 은파렛드, 李東伯·宋萬甲·朴綠珠孃과 安基永·金永煥 諸氏의 大混舞 (New Spring Music Scene Silver Parade, The Grand Mixed Performance of Yi Tongbaek, Song Man'gap, Miss Pak Nokchu, and Messrs. An Kiyŏng & Kim Yŏnghwan)
Author: Not specified
Article Type: 소식 (News/Report)

Factions
Chosŏn Rhythm Association (朝鮮音律協會) - Master Singers' Grand Meeting
Korean Music Club's (朝鮮音樂俱樂部) - New Spring Performance
Korean Popular Song Association's (朝鮮歌謠協會) - Composition Promotion <26>

When looking at the age of the old vocalists (聲樂家) who sing "Kogo ch'ŏnbyŏn iryun hong" or "Pannam-a nŭlgŏssŭni," most are old. Mr. Kim Ch'anghwan (金昌煥) from Chŏlla Province (全羅道出) is 78, Mr. Kim Ch'angnyong (金昌龍) from Ch'ungch'ŏng Province (忠淸道出) is 60, and Messrs. Song Man'gap (宋萬甲) and Yi Tongbaek (李東伯) from Chŏlla Province are 68; all these master singers are aged youths past their sixties (六旬). However, like a new trunk on an old tree (枯木新幹), as if gaining new vital energy (正氣) upon greeting the new spring, their spirits all soar to the heavens (意氣衝天). Thus, starting from the New Spring (新春), they plan to hold Master Singers' Grand Meetings (名唱大會) occasionally, disseminate the gramophone (蓄音機) records they have prolifically recorded throughout all of Korea (全朝鮮), and even have intentions (意圖) to establish (設立) a specialized theater (專門劇場) centered around the venerable Yi Tongbaek (李東伯翁). Within this group, besides the aforementioned aged youths (老靑春), there are prime youths (二八靑春) like the twenty-six-year-old Pak Nokchu (朴綠珠) and thirty-two-year-old Kim Ch'ohyang (金楚香). Also gathered are masters skilled enough to match a hundred (一當百) such as Ha Kyuil (河奎一) for Seoul *kasa* (歌詞), Sim Sang'gŏn (沈相健) for the *kayagŭm* (伽倻琴), Cho Tong'sŏk (趙東奭) and Kim Sangsun (金相淳) for the *tanso* (短簫), and Kim Kisŏn (金箕善) for the *chŏttae* (젓대, transverse flute). Therefore, the parade of the traditional vocal music group (傳統的 聲樂團) this spring (今春) can be said to be colorful and magnificent (多彩 壯觀).

Meanwhile, looking around the newly rising music scene (新興樂壇), there is the genius vocalist (天才聲樂家) An Kiyŏng (安基永), backed by the Ewha Women's Professional School (梨花女專) Chorus Troupe; Ch'oe Ho'yŏng (崔虎永), the famous drummer (名鼓手) of the Koryŏ (高麗) Jazz Band; Hong Yŏnghu (洪永厚), who guides the Chungang Nursery School Chorus Troupe and the Chungang Music Friends Association (中央樂友會); and besides them, a gathering of many talented people (濟濟多士) such as Messrs. Kim Yŏnghwan (金永煥), Hyŏn Chemyŏng (玄濟明), and Kye Chŏngsik (桂貞植). They have founded (創立) a Music Association (音樂協會) and decided to hold regular performances (定期公演) four times a season (四季) - spring, summer, autumn, winter (春夏秋冬) - starting this April (四月). With cello, conductor, and jazz, modern (近代 的), bright (明朗), and complex (複雜) melodies steeped in European and American style (歐美風) will adorn (裝飾) the Peninsula's (半島) music world (樂壇). Shall we say this land's spring is fortunate (多幸)?

In addition to this, the Chosŏn Popular Song Association (朝鮮歌謠協會), formed by the mingling of modern poets (近代詩人) like Sŏk Song (石松), Yi Kwangsu (李光洙), Pak P'aryang (朴八陽), Yi Ŭnsang (李殷相), Ansŏ (岸曙), and Yohan (요한) with composers (作曲家) and vocalists like Kim Yŏnghwan (金永煥), Chŏng Sunch'ŏl (鄭順哲), and An Kiyŏng (安基永), also plans to create and widely spread (널니 펴리라) many new, contemporary folk songs (民謠) and popular songs (俗謠) starting from the New Spring (新春), which is a heartening matter. Also, the chorus troupes of each university (大學) are making grand pronouncements (선성을 지릅이 큰즉) that they will sing good songs brimming with new energy (새긔운) to enrich everyone's ears. In any case, shall we call this spring's music scene (今春樂壇) a profusion of blooming flowers (百花爛漫)?... <27>

**Summary**

This 1931 article from *Samch'ŏlli* magazine reports on the vibrant Korean music scene at the start of spring. It contrasts the activities of established, older traditional vocalists (*myŏngch'ang*) like Yi Tongbaek and Song Man'gap, who are forming associations, holding performances, and even planning a dedicated theater, with the burgeoning "newly rising music scene." This modern faction includes Western-trained musicians like An Kiyŏng and Kim Yŏnghwan, involved with choruses, jazz, and forming their own Music Association for regular seasonal concerts featuring European and American styles. A third group, the Korean Popular Song Association, unites modern poets and composers aiming to create and popularize new contemporary folk and popular songs.

From a historical perspective, the article is interesting as it vividly illustrates the cultural landscape of colonial Korea in the early 1930s. It shows the coexistence and parallel development of traditional Korean performing arts (represented by the aging *p'ansori* masters) and the newly imported Western musical forms embraced by a younger generation, often educated in modern institutions like Ewha. The formation of multiple associations (Chosŏn Ŭmnyul Hyŏphoe, Chosŏn Ŭmak Kurakpu, Chosŏn Kayo Hyŏphoe, Ŭmak Hyŏphoe) reflects attempts to organize and promote distinct musical visions – traditional preservation, Western classical/jazz adoption, and the creation of new "Korean" popular songs blending modern sensibilities. Historians might find the explicit mention of generational differences ("aged youths" vs. "newly rising music scene"), the specific names involved in both traditional and modern music circles, and the description of musical styles (jazz, cello, chorus vs. *kasa*, *kayagŭm*, *tanso*) valuable for understanding cultural dynamics, modernization efforts, and the negotiation of identity under Japanese rule. The mention of disseminating gramophone records also points to the growing influence of mass media technology.

**Named Entities**

朝鮮音律協會	조선음률협회	Chosŏn Ŭmnyul Hyŏphoe
朝鮮音樂俱樂部	조선음악구락부	Chosŏn Ŭmak Kurakpu
朝鮮歌謠協會	조선가요협회	Chosŏn Kayo Hyŏphoe
金昌煥	김창환	Kim Ch'anghwan
全羅道	전라도	Chŏlla Province
忠淸道	충청도	Ch'ungch'ŏng Province
金昌龍	김창룡	Kim Ch'angnyong
宋萬甲	송만갑	Song Man'gap
李東伯	이동백	Yi Tongbaek
朴綠珠	박록주	Pak Nokchu
金楚香	김초향	Kim Ch'ohyang
河奎一	하규일	Ha Kyuil
沈相健	심상건	Sim Sang'gŏn
趙東奭	조동석	Cho Tong'sŏk
金相淳	김상순	Kim Sangsun
金箕善	김기선	Kim Kisŏn
梨花女專	이화여전	Ihwa Yŏjŏn (Ewha Women's Professional School)
安基永	안기영	An Kiyŏng
高麗째스뺀트	고려째스밴드	Koryŏ Jazz Band
崔虎永	최호영	Ch'oe Ho'yŏng
中央保育코러스團	중앙보육코러스단	Chungang Po'yuk Chorus Troupe (Central Childcare Chorus Troupe)
中央樂友會	중앙악우회	Chungang Ag'uhoe (Central Music Friends Association)
洪永厚	홍영후	Hong Yŏnghu
金永煥	김영환	Kim Yŏnghwan
玄濟明	현제명	Hyŏn Chemyŏng
桂貞植	계정식	Kye Chŏngsik
音樂協會	음악협회	Ŭmak Hyŏphoe (Music Association)
半島	반도	Pando (Peninsula, i.e., Korea)
石松	석송	Sŏk Song (Pen name)
李光洙	이광수	Yi Kwangsu
朴八陽	박팔양	Pak P'aryang
李殷相	이은상	Yi Ŭnsang
岸曙	안서	Ansŏ (Pen name)
요한	요한	Yohan (John)
鄭順哲	정순철	Chŏng Sunch'ŏl
朝鮮	조선	Chosŏn (Korea)

**Glossary**

樂壇	악단	Music world, music scene
은파렛드	은파레드	Silver parade (likely a metaphorical title element)
孃	양	Suffix for young, unmarried women; Miss
諸氏	제씨	Messrs.; Gentlemen (plural honorific)
大混舞	대혼무	Grand mixed dance/performance (metaphor for diverse activities)
陣營	진영	Camp, faction, group
名唱	명창	Master singer (esp. of traditional Korean vocal music like *p'ansori*)
성악가	성악가	Vocalist, singer
녯	옛	Old, former (older spelling of 옛)
늙엇스니	늙었으니	Since (one) grew old (older spelling/form)
六旬	육순	Sixties (age)
枯木新幹	고목신간	Old tree, new trunk (idiom: renewed vigor in old age)
마저	맞아	To greet, meet (older spelling/form)
나는드시	나는 듯이	As if rising/occurring (older spelling/form)
의기가 창천한다	의기가 충천하다	Spirit soars to the heavens (idiom: high morale/spirit)
각금	가끔	Sometimes, occasionally (older spelling)
불어너흔	불어넣은	Recorded, blown into (referring to records; older spelling/form)
축음기	축음기	Gramophone, phonograph
보급식히고	보급시키고	To disseminate, popularize (older spelling/form)
翁	옹	Venerable old man (honorific suffix)
專門劇場	전문극장	Specialized theater
의도	의도	Intention, plan
잇다고	있다고	It is said there is/are (older spelling)
前記	전기	Aforementioned
老靑春	노청춘	"Old youth"; elderly but vigorous people
잇스며	있으며	And there is/are (older spelling)
二八靑春	이팔청춘	16 years old (2x8); prime of youth (esp. for young women)
가튼	같은	Like, such as (older spelling)
歌詞	가사	*Kasa* (a genre of traditional Korean narrative song)
가야금	가야금	*Kayagŭm* (traditional Korean 12-stringed zither)
단소	단소	*Tanso* (small notched vertical bamboo flute)
저	젓대	*Chŏttae* (transverse bamboo flute, often *taegŭm*)
일당백	일당백	One against a hundred (idiom: highly capable person)
모혀 잇스니	모여 있으니	Since they are gathered (older spelling/form)
今春	금춘	This spring
다채 장관하다	다채롭고 장관이다	To be colorful and magnificent (older phrasing)
그리는 한편에	그러는 한편에	Meanwhile, on the other hand (older spelling/form)
신흥악단	신흥악단	Newly rising music scene/group
둘너보면	둘러보면	If one looks around (older spelling)
코러쓰團	코러스단	Chorus group/troupe
째스뺀트	재즈밴드	Jazz band (older transliteration)
名鼓手	명고수	Famous drummer
그밧게	그밖에	Besides that, other than that (older spelling)
지도하는	지도하는	Guiding, leading
濟濟多士	제제다사	A gathering of many talented people (classical phrase)
되엿다	되었다	Became, has been decided (older spelling)
쎌로	첼로	Cello (older transliteration)
컨닥타	컨덕터	Conductor (older transliteration)
째즈	재즈	Jazz (older transliteration)
저즌	젖은	Soaked in, steeped in (older spelling)
歐美風	구미풍	European and American style
근대적	근대적	Modern
명랑	명랑	Bright, cheerful
복잡한	복잡한	Complex, complicated
만히	많이	Many, much (older spelling)
널니 펴리라	널리 펴리라	Will spread widely (older spelling/form)
어울너서	어울려서	Mingling, joining together (older spelling)
시대적	시대적	Contemporary, relating to the era
민요	민요	Folk song
속요	속요	Popular song (can sometimes imply common or vulgar song)
긔운	기운	Energy, spirit, vigor (older spelling)
뻐치는	뻗치는	Spreading out, extending (older spelling)
조흔	좋은	Good (older spelling)
불너	불러	To sing (older spelling/form)
살지게 하리라고	살찌게 하리라고	Saying they will enrich/fatten (idiomatically: satisfy ears)
선성을 지릅이 큰즉	선언함이 큰즉	As the proclamation is great (older phrasing for 선언하는 바가 크니)
아무튼	아무튼	Anyway, in any case
百花爛漫	백화난만	A hundred flowers blooming profusely (idiom: flourishing state)


---------------------------


잡지명	삼천리 제13호
발행일	1931년 03월 01일
기사제목	新春樂壇 은파렛드, 李東伯·宋萬甲·朴綠珠孃과 安基永·金永煥 諸氏의 大混舞
기사형태	소식

