Magazine Title	삼천리 제13호
Publication Date	1931년 03월 01일
Article Title	亡友追憶 (Recollection of a Deceased Friend)
Author	林元根
Article Type	문예기타 (Literary Miscellaneous)

Recollection of a Deceased Friend
						Im Wŏn'gŭn
To Kwŏn Osol, who departed one year ago

My dear friend Kwŏn! Already, almost a full year has passed since you vanished from this world like a dream path. My dear Kwŏn! Casting aside all the people who trusted you most and the parents and siblings you loved most dearly, you left on an eternal journey from which you could never return. Alas, whether you knew it or not, that day was April 17th, 1930.

The time was late spring, when the mournful cries of the cuckoos (杜鵑) from mountain to mountain further wrenched the hearts of the heartbroken (斷膓人), and countless, innumerable flower blossoms covering the mountains and fields were at their peak, freshly and beautifully adorning the vast universe.
In the blue sky, larks sang songs of joy (歡喜), and on the back East Mountain and the front South Mountain hills, nameless flower blossoms wore smiles of peace. The mellow, beautiful scenery (佳景) of lush spring (芳春) brightened and cleared the dark, gloomy human hearts of the past winter, bringing the light (光明) of new rebirth (蘇生) upon the great earth (大地). Everything in the universe, without exception, stepped forth from death to life, from stillness to motion.

Ah—but, but Kwŏn! Only you alone came to tread the path of the dark underworld (冥府). All your aspirations and hopes, all your efforts and struggles up to this day, were all offered up before this insurmountable death. When the terrible news of your passing unexpectedly became known to the world one morning, an inextinguishable flame ignited in the hearts of countless people, unknowingly.
How sorrowful! What words could measure the grief (悲痛) of your lifelong confidant who intended to share life and death with you, or of the parents who gave you your body? Furthermore, how great must be the disappointment and despair (落膽失望) of the many seniors and juniors who held great expectations for you and watched over your path ahead?
My friend, full of affection and sorrow (多情多恨)! Your heart, which could not conceal its feelings, must surely have felt as if it were tearing apart in the final<59> moment of breath, reluctant to leave the world. Your conscience must not have permitted you to abandon the great tasks awaiting you and the heavy burdens placed upon your shoulders by the wayside and set foot into the land of eternity. Your firm determination (決心) must not have wavered so easily. Oh—but what could be done? The terrifying command of "Death" ultimately forced you to obey all its necessary conditions.
A decisive throw (乾坤一蹴)! At last, you too kicked aside everything around you with weary feet and departed forever for the land of "Death," never to return.

Who does not feel the impermanence (無常) of human life amidst the beauty of flowers in the morning and the moon at night (花朝月夕)? Yet today, on this first anniversary of your departure from the world, as I quietly reflect upon the bygone days between you and us, tears mourning the transience of human affairs (人間事理) endlessly soak my collar.
To be born once and die once, to bloom once and fade once—this is the unavoidable, inevitable fate (必然的 運命) of humans, flowers, and all living beings (生物界). However, depending on the final form (形態) of that death and fading, our deaths become all the more desolate.
My beloved friend Kwŏn! When was the last time you and I saw each other's faces in this world? Sorting through the tangled threads of memory (追憶), I seem to recall it was around noon on a day in the early spring of 1929. At that time, I was on work duty (出役) at the Tenth Workshop, weaving sedge mats (莞草作業), and you, due to your usual chronic illness—said to be heart or lung disease (心臟 或 肺病)—were confined (收容) to the prison infirmary (病監). So, one day, as I was returning from the infirmary with other fellow inmates after an examination (診察), I called your name from outside the window as I walked past. From behind the thin iron bars, your gaunt face appeared, your white teeth and lips (齒唇) forming a pitiful, bitter smile (苦笑). And then, we just nodded at each other several times and parted without a chance to exchange a single word.
Kwŏn Osol, now in the underworld (地下)! How utterly empty and weightless is this human intelligence (聰明) that chatters as if it knows everything! If only we had possessed more reliable intelligence and foresight (先見), how could we not have realized then that such an encounter between you and me would be our final, eternal parting (永遠의 作別), never to meet again after just over a year? Alas, looking back on the bygone days, there are only tears of recollection, ten thousand times boundless.

My dear friend! Whenever I have had the chance to think of you, your warrior (X士的)-type face, with cheekbones protruding on both cheeks, appears clearly before my eyes. And your powerful tone of voice, filled with passion (熱) and sincerity (誠), still lingers in my ears, its echo (餘音) seeming to reach me even now.
When was that time already? It was when the grand public trial (大公判) for what we called the "First Communist Party Incident" (第一次共産黨事件) was held. As the 101 defendants occupied the large courtroom and the case examination (事件審理) proceeded person by person, you were indeed one of the most exceptional individuals who consistently maintained a steadfast courtroom [censored] (法廷XX) from beginning to end. Your clear (明晳) and bold (大膽) responses truly kept the entire courtroom atmosphere constantly filled with tension (緊張味). Especially, after our examination concluded, during the free statement (自由供述) session, your fiery, passionate speech (熱辯) about [censored] (X) spanning a long time—though perhaps not oratory (雄辯)—was certainly sufficient to be considered a complete political treatise (政治論文) perfect in both content and form. I deeply lament, along with you, that I cannot transcribe even a single phrase from that speech here today.

My dear friend! During my imprisonment (在監當時), I was one of the unfortunate ones who never had the chance to share a cell with you even once. However, whether I was on workshop duty (工場出役) for some time or doing solitary cell work (獨房作業), I always kept abreast of news about you. When in the workshop, being with many people, I naturally learned of your situation—that you were constantly in poor health, confined to the infirmary (病監收容), with your condition fluctuating (一輕一重), sometimes even becoming paralyzed on one side (半身不遂), or that hope was now completely lost (絶望), such various rumors (區區한 風聞) constantly reached me. Each time, our comrades together, though it was useless worry, would always knit their brows. And sometimes, from someone's lips, the concern would spill out: "Generally, that person is too nervous (神經質) <60> and cannot calm his mind at all, so no illness can recover quickly."
While I was doing solitary cell work, when I was in cell 48 on the second floor, I learned that you were staying (居接) in cells 7 and 8 below. This was because, inevitably, your cell-tapping signal (通房信號) would be heard shortly after work ended and the evening inspection (點檢) was finished. I don't know who was in the next cell, but I couldn't help but admire and be fascinated by your ingenious communication skills (通X術). Above all, the point that most caught my attention (注目) was how you could commit the offense of communicating between cells (通房犯則) so persistently every night without being discovered even once by the sharp-eyed guards (看守).

My dear friend! Furthermore, your unceasing display of [censored] (XX性發揮) even during prison life was also admired (敬X) by many comrades. Despite suffering from illness (病苦) and groaning (呻吟) for many years, and doubly experiencing the bitter hardships (辛酸한 苦楚) of solitary confinement (獨房生活), your usual energy (精力) and passion (熱誠) were still being manifested. For a couple of months before my release (出監前), I happened to be placed in the solitary cell directly opposite yours. Thus, I came to know almost every single one of your movements (一動一靜), practically spying (偵探하다십히). From my cell, looking across, it was no exaggeration (過言) to say that the "call button" (報知機) installed in your cell was almost always extended (뻣처잇다고). The things you generally requested were so diverse (多種多樣) that there was truly no time to count them on my fingers. The bedding is damp, so sun-dry (日光消毒) the bedding; exchange it for new bedding; exchange the rag (걸네); purchase privately owned books (私本); the soup is cold; there are too many beans; there are stones mixed in; the water is cold and undrinkable. Give instructions on how to serve the food (配食)—do it this way, do it that way; do this and that with something else; buy paper (조히); buy brush and ink (筆墨); I will write a petition (上願) to the Governor-General (總督); assign me to workshop duty (工場出役)—and then, barely every three days, you were constantly going back and forth for interviews (面會) with the Guard Chief (戒護主任), Medical Chief (醫務主任), Education Chief (敎務主任), Warden (所長), etc. If you requested an interview (面會諸願) and were called even slightly late (늣게만), you would raise a fuss, pestering (들복가다이고) the guard in charge (擔當看守) for not calling you. Anyway, I could only admire (X服) with all my might your incessant [censored] (XX生活) like that. Sometimes, I was so impressed by your passion and sincerity that I would murmur to myself, "Truly, that person has so much energy (精力) and is really sharp-witted."

Dear Kwŏn! The time has already passed. How can these thousand, ten thousand words I offer to you here today possibly have even the slightest echo (反響) for your existence!
Ah! My dear comrade! Your traces (자최) have vanished forever from this earth. Thinking back, your eventful life (多端한 生活), though short, was truly consistent with yourself from beginning to end. You, the wise one (賢明), early on [censored] (XXXX하다가) and finally drew your last breath as a prisoner (囹圄人).
Alas, Kwŏn! When your icy cold corpse (屍體) was laid in the annex (別室) of the Sin'gan Kyŏngsŏng Branch (新幹京城支會), our comrades rushed there with urgent steps. But we could not light even a single stick of incense (仙香), nor could we utter a single cry of mourning (弔哭). Only a heavy silence made our hearts ache even more.
-(1931.2.23 午前 7時)-<61>

**Summary**

This article is a heartfelt eulogy written by Im Wŏn'gŭn one year after the death of his friend, Kwŏn Osol, on April 17, 1930. Im recalls Kwŏn's passionate nature and their last brief encounter in prison, where Kwŏn was suffering from illness. He reminisces about Kwŏn's spirited defense during the "First Communist Party Incident" trial and his relentless activism even while incarcerated, constantly challenging prison authorities and communicating with fellow inmates despite his failing health and solitary confinement. The author expresses deep sorrow over Kwŏn's untimely death and the inability to properly mourn him upon release.

From a historical perspective, the article offers valuable insights into the experiences of political prisoners during the Japanese colonial period in Korea. It sheds light on prison conditions (infirmary, solitary confinement, work duty, communication methods like tapping), the psychological toll of imprisonment, the persistent spirit of resistance among activists like Kwŏn Osol even under duress, and the camaraderie among political detainees. The mention of the "First Communist Party Incident" trial and the Sin'ganhoe (implied by 新幹京城支會) provides context for the political climate and organized resistance movements of the time. Historians might find the detailed descriptions of Kwŏn's actions within prison particularly revealing about prisoner agency and defiance.

**Named Entities**

權五卨	권오설	Kwŏn Osol
林元根	임원근	Im Wŏn'gŭn
第一次共産黨事件	제일차공산당사건	First Communist Party Incident
新幹京城支會	신간경성지회	Sin'gan Kyŏngsŏng Chihoe (Seoul Branch of the Sin'ganhoe Society)

**Glossary**

亡友	망우	Deceased friend
追憶	추억	Recollection; reminiscence
자최	자취	Trace; footprint (older spelling of 자취)
언으듯	어느덧	Before one knows it; unnoticed (older spelling of 어느덧)
임이	이미	Already (older spelling of 이미)
갓가워	가까워	To be close (older spelling of 가까워)
마츰	마침	Just then; at the right time (older spelling of 마침)
杜鵑	두견	Cuckoo
슲흔	슬픈	Sad (older spelling of 슬픈)
斷膓人	단장인	Person with a broken heart; heartbroken person
조리우고	조이게 하고	Tightening; constricting (older form related to 조이다)
꼿송이	꽃송이	Flower blossom (older spelling of 꽃송이)
丹粧	단장	Adornment; makeup
하날	하늘	Sky (older spelling of 하늘)
佳景	가경	Beautiful scenery
芳春	방춘	Lush spring
蘇生	소생	Rebirth; revival
光明	광명	Light; brightness
冥府	명부	Underworld; realm of the dead
抱負	포부	Aspiration; ambition
奮鬪	분투	Struggle; strenuous effort
凶報	흉보	Bad news (specifically, news of death)
알니워지매	알려지매	As it became known (older spelling/form of 알려지매)
끌수 업는	끌 수 없는	Inextinguishable (older spelling of 없는)
知己	지기	Intimate friend; confidant
悲痛	비통	Grief; sorrow
落膽失望	낙담실망	Disappointment and despair
多情多恨	다정다한	Full of affection and sorrow/regret
늣김	느낌	Feeling; sensation (older spelling of 느낌)
질머진	짊어진	Burdened with; shouldering (older spelling of 짊어진)
옴겨노키에는	옮겨놓기에는	To move (something); to shift (older spelling/form of 옮겨놓기에는)
許諾	허락	Permission; approval
안엇슬	않았을	Would not have (older spelling/form of 않았을)
期於코	기어코	Finally; eventually; by all means
乾坤一蹴	건곤일척	A decisive throw; risking everything on one attempt
脈빠진	맥빠진	Lethargic; dispirited; weary
於焉間	어언간	Before one knows it; in no time
花朝月夕	화조월석	Mornings with flowers and evenings with the moon; beautiful times
無常	무상	Impermanence; transience
녯날	옛날	Old days; bygone days (older spelling of 옛날)
人間事理	인간사리	Human affairs; ways of the world (사리 used for 살이 - life/living)
必然的	필연적	Inevitable; necessary
運命	운명	Fate; destiny
形態	형태	Form; shape
꼿	꽃	Flower (older spelling)
얼골	얼굴	Face (older spelling of 얼굴)
어지럽은	어지러운	Confusing; tangled; dizzy (older spelling of 어지러운)
가리워보니	가려보니	Trying to sort out; discerning (older form of 가려보니)
일은	이른	Early (older spelling of 이른)
갓치	같이	Like; as if (older spelling of 같이)
出役	출역	Prison work duty (going out to work)
莞草	완초	Sedge (used for weaving mats)
身病	신병	Chronic illness; physical ailment
病監	병감	Prison infirmary or sick ward
收容	수용	Confinement; accommodation
診察	진찰	Medical examination
낫하나면서	나타나면서	Appearing (older spelling/form of 나타나면서)
齒唇	치순	Teeth and lips (often implying a smile or expression)
苦笑	고소	Bitter smile; wry smile
몃번식	몇 번씩	Several times each (older spelling of 몇)
헤여시고	헤어지고	Parting; separating (older spelling/form of 헤어지고)
地下	지하	Underworld; underground
聰明	총명	Intelligence; cleverness
허잘 것업시	하잘것없이	Insignificant; trivial; worthless (older spelling/form of 하잘것없이)
깨닷지	깨닫지	Realize; become aware (older spelling of 깨닫지)
先見	선견	Foresight
永遠	영원	Eternity; forever
作別	작별	Parting; farewell
도라보니	돌아보니	Looking back (older spelling of 돌아보니)
餘音	여음	Lingering sound; echo
갓슴니다	같습니다	Seems like; is like (older spelling/form of 같습니다)
大公判	대공판	Grand public trial
열니엇슬	열렸을	Was held; opened (older spelling/form of 열렸을)
終始一貫	종시일관	Consistent from beginning to end
法廷	법정	Courtroom
明晳	명석	Clear; lucid
大膽	대담	Bold; daring
緊張味	긴장미	Feeling of tension; atmosphere of tension
끗난뒤로	끝난 뒤로	After finishing (older spelling of 끝난)
自由供述	자유공술	Free statement; voluntary testimony
亙한	긍한	Spanning; ranging over (form of 긍하다)
火焰	화염	Flame; blaze
熱辯	열변	Passionate speech; fiery argument
雄辯	웅변	Oratory; eloquence
政治論文	정치논문	Political treatise/essay
足하엿슴니다	족하였습니다	Was sufficient; was enough (older spelling/form of 하였습니다)
至今	지금	Now; currently
在監當時	재감당시	During the time of imprisonment
獨房作業	독방작업	Solitary cell work
엿들어	엿들어	Overhearing; listening secretly
區區한	구구한	Various; trivial; detailed
風聞	풍문	Rumor; hearsay
一輕一重	일경일중	Fluctuating condition (sometimes better, sometimes worse)
半身不遂	반신불수	Hemiplegia; paralysis of one side of the body
絶望	절망	Despair; hopelessness
동모	동무	Comrade; friend (older spelling of 동무)
흘너나오고	흘러나오고	Flowed out; emerged (older spelling of 흘러나오고)
神經質	신경질	Nervous temperament; nervousness
식히지	시키지	Cause; make (older spelling of 시키지)
알앗슴니다	알았습니다	Knew (older spelling/form of 알았습니다)
居接	거접	Staying; residing (older term)
點檢	점검	Inspection; checkup
通房信號	통방신호	Communication signal between prison cells (tapping)
何如間	하여간	Anyway; in any case (older form of 하여튼/하여간)
通X術	통방술	Skill of communicating between cells (X likely stands for 房, 'bang')
興味	흥미	Interest
感嘆	감탄	Admiration; wonder
마지아니 하엿슴니다	마지아니하였습니다	Could not but do/feel; couldn't help but (older form)
看守	간수	Prison guard
發覺	발각	Discovery; detection
안는	않는	Not doing (older spelling of 않는)
注目	주목	Attention; notice
밧게	밖에	Except; only (older spelling of 밖에)
XX性發揮	XX성 발휘	Display/manifestation of XX nature/characteristic (censored)
敬X	경X	Respect; admiration (censored)
病苦	병고	Suffering from illness
呻吟	신음	Groaning; moaning
獨房生活	독방생활	Solitary confinement life
辛酸	신산	Bitterness and sorrow; hardship
苦楚	고초	Hardship; suffering; agony
精力	정력	Energy; vigor
熱誠	열성	Passion; sincerity; zeal
出監前	출감전	Before release from prison
偶然	우연	Coincidence; chance
건너便	건너편	Opposite side (older form of 편)
一動一靜	일동일정	Every move; slightest movement
偵探하다십히	정탐하다시피	Almost like spying; as if spying
備置	비치	Placement; installation; equipping
報知機	보지기	Call button; signal device (in prison context)
뻣처잇다고	뻗쳐 있다고	To be stretched out; extended (older spelling/form, implying activation)
過言	과언	Exaggeration
多種多樣	다종다양	Diverse; various kinds
日光消毒	일광소독	Sun disinfection; sunning
걸네	걸레	Rag; mop (older spelling of 걸레)
밧구어다고	바꾸어달라고	Asked to exchange (older spelling/form of 바꾸어달라고)
私本	사본	Privately owned book
석겻다	섞였다	Was mixed in (older spelling of 섞였다)
配食	배식	Food distribution/serving (in institution)
조히	종이	Paper (older spelling of 종이)
筆墨	필묵	Brush and ink
總督	총독	Governor-General
上願	상원	Petition (to a higher authority)
工場出役	공장출역	Assignment to workshop duty
戒護主任	계호주임	Guard Chief; Head of Discipline Section
醫務主任	의무주임	Medical Chief; Head of Medical Section
敎務主任	교무주임	Education Chief; Head of Education/Moral Guidance Section
所長	소장	Warden; Superintendent (of prison)
面會	면회	Meeting; interview (in prison context)
面會諸願	면회제원	Request for an interview/meeting
늣게만	늦게만	Only if late (older spelling of 늦게)
擔當看守	담당간수	Guard in charge
들복가다이고	들볶아대고	Pestering; nagging; hassling repeatedly (dialectal/older form)
不斷한	부단한	Incessant; constant; unceasing
XX生活	XX생활	XX life (censored)
X服	X복	Admire; respect (censored, likely 敬服 - 경복)
만코	많고	Many; much (older spelling of 많고)
賢明	현명	Wise; sagacious
XXXX하다가	XXXX하다가	Doing XXXX (censored action)
囹圄人	영어인	Prisoner; convict (literary term)
마즈막	마지막	Last; final (older spelling)
드려마시고	들이마시고	Inhaling; breathing in (older spelling/form of 들이마시고)
屍體	시체	Corpse; dead body
차듸찬	차디찬	Icy cold (older spelling/form of 차디찬)
新幹京城支會	신간경성지회	Seoul Branch of the Sin'ganhoe Society
別室	별실	Annex; separate room
뛰여 달녀갓다	뛰어 달려갔다	Ran quickly (older spelling/form of 뛰어 달려갔다)
仙香	선향	Incense stick (often used in rituals for the dead)
弔哭	조곡	Mourning cry; wail of lament


---------------------------


잡지명	삼천리 제13호
발행일	1931년 03월 01일
기사제목	亡友追憶
필자	林元根
기사형태	문예기타

亡友追憶
						林元根
一年前에 간 權五卨에게
