Magazine Title: 삼천리 제11권 제1호
Publication Date: 1939년 01월 01일
Article Title: 春園硏究(12) (Study of Ch'unwŏn (12))
Author: 金東仁 (Kim Tongin)
Article Type: 문예평론 (Literary Criticism)

The section below discusses the events after Suyang seized both military and political power. However, since Suyang's character and the personality derived from that character have not yet been established, it is difficult for the reader to grasp Suyang's true nature here. In Suyang's maneuvering to gather all the former wise officials under his umbrella, sometimes he wants to "beat them to death in one go, but suppresses his emotions to win public sentiment," while at other times he seeks them out because "his heart yearning for righteousness and loyalty is profound." Thus, it becomes ambiguous whether Suyang is truly "evil" or "good"—rephrased, whether the Gyeyu Incident (癸酉事變) merely stemmed from Suyang's ambition or arose from a far-reaching plan. If Suyang were a person who yearned for righteousness, the Gyeyu Incident could also be seen as an "extraordinary action taken out of a yearning for righteousness"...

Making Them Indignant as if Abdication Had Already Occurred

Overall, because the author has a preconception about the "progression of the story," the author often includes things that "the reader cannot understand before the story progresses further." The fact that young Confucian scholars like Sŏng Sammun were indignant immediately after the Gyeyu Incident, as if the abdication (禪位) had already happened, is also a product of the author's preconception that "abdication will happen in the future."<216>
This kind of error appears again below. When the King (Tanjong) is taking a walk in Kyŏnghoeru Pavilion with court ladies, Chŏng Inji suddenly barges in again. The author commits the comedy of having a Chief State Councilor barge into the inner palace without prior notice and without the presence of the Royal Secretariat (史官). After offering words of greeting to the King, Chief Councilor Chŏng requests that "杂人 (miscellaneous people) be dismissed as he has something confidential to report." To this, the King retorts with a rebuke:
"Have I done something wrong? It's well-known that I lack virtue and receive nagging—oops, not nagging, loyal advice—from the Left State Councilor daily, so what does it matter if people are nearby?"
This too is a result of the "author foreknowing what Chief Councilor Chŏng will say," causing even the King to express such "premonitory anger."
As if to fulfill the King's premonitory anger, Chief Councilor Chŏng directly requests the King to abdicate. This is also extremely unnatural to the reader; it is impossible that Chief Councilor Chŏng, who surpassed others in strategy and learning, would employ such a clumsy (in reality, unthinkable) method. He should have applied unspoken threats to make the King withdraw voluntarily, or perhaps deceived the King with the fragrant bait of "Sangwang" (上王 - King Emeritus).
"It is grievous to report, but please yield the throne to Grand Prince Suyang."
Such insolent words (even with Suyang as a backer) would be impossible out of respect for the decorum between monarch and subject. Even if it were a real event, if it lacks verisimilitude as a "story," the novelist needs to refine it for fictionalization. That the author did not re-examine even this "implausible event" is due to the author's carelessness, the responsibility for which cannot be avoided.

Regarding the Rationalization of Facts

After various secret strifes, the tide becomes irreversible, and finally, Tanjong abdicates the throne to Suyang. There should be documents to refer to for the procedure of this abdication, so why was such a bland<217> ceremony created? Given that Joseon valued rituals, there should have been a sense of solemnity. And given the nature of the event, a considerable sense of bloodlust and pathos should have been evident, even based on the story's progression so far. If there were no references for this ceremonial procedure, it would have been better to simply state something like "the abdication ceremony was held at Kyŏnghoeru Pavilion" and focus more clearly on the inner thoughts of the people involved to add a sense of reality. Being overly concerned with facts has sealed off the novelist's wings of imagination.
Thus, the abdication takes place, and the former king (not yet King Emeritus as the honorific title hasn't been bestowed) leaves Kyŏngbokkung Palace that very night and moves his residence to Suganggung Palace.
Even after this, the new king's (Suyang's) mind leads the reader through a fog. Sometimes the new king only understands things that even a three-foot child would know after being enlightened by the likes of Myŏnghoe, while at other times he employs strategies surpassing Zhuge Liang—which is the real new king?

Ascension of the New King

Time flows to the year Byŏngja (丙子年)-.
An envoy from Ming China arrives to bestow the imperial mandate and ceremonial robes for the new king's ascension.
Several officials, loyal to the King Emeritus (Tanjong) and thus not submitting to the new king in their hearts, plot to use this opportunity to assassinate the new king and the new crown prince, and restore the King Emeritus to the throne. Unfortunately, the plot is discovered beforehand, and the main conspirators are all subjected to direct interrogation before the new king.
The author of "Tanjong Aesa," faithfully following Nam Hyoon's "Yuksinjŏn" (Tale of the Six Martyred Ministers) and "Ch'ugang Naenghwa," works written by the Confucian scholar and novelist Nam Hyoon during the reign of King Sŏngjong, has uncritically adopted even Nam Hyoon's flawed observations and contrivances.
When the new king interrogates Sŏng Sammun, asking,
"Having eaten my stipend, how could you betray me?" Sŏng replies,
"I have kept that stipend piled up in the storehouse." <218>
Similarly, when the new king asks Pak P'aengnyŏn,
"Then why did you address me using 'subject' (稱臣)?" Pak replies,
"I never addressed you as 'subject'. In petitions (啓文), I did not write the character '臣' (subject) but wrote '巨' (big)."
These are entirely the petty contrivances of old Confucian scholars. Unless Sŏng was a petty man unable to distinguish between the "state stipend" (國祿) and the "king's stipend" (王祿), he would not have argued against the king with such childish words. And unless Pak was a man of deep thought and foresight (was he not, indeed, patient enough to seek a later promise even before the King Emeritus's abdication?), he would not have employed such petty tricks, exposing his inner feelings on a dangerous line.
Nam Hyoon was quite skilled in novelist-like petty contrivances. He examined all the incidents that occurred at the time and pulled in any event that could be associated with the Tanjong tragedy to heighten the tragic flavor to the maximum degree. Examples include the death of Sin Sukchu's wife, Lady Yun, or Ha Wiji's return to his hometown (Lady Yun died of illness half a year before the Byŏngja incident, and Ha Wiji returned home before Tanjong's abdication and later took office as Vice Minister of Rites (禮曹叅判) under the new king (Sejo), according to historical records). He was not lazy in fictionalizing anything tragically if it had any connection. While it might be questionable to fictionalize in this way, disregarding facts, merely transcribing Nam's novel faithfully into modern language without adding or subtracting a single stroke is also hard to approve of.
Therefore, the errors committed by the old novelist Nam Hyoon, who did not know techniques like unifying or refining character in a novel, were transferred directly into "Tanjong Aesa." The author also recorded the fact of this new king's "love for scholars" (愛士) over more than 10 pages, making it even more confusing whether this king is "good" or "evil."
Thus ends the "Chungŭi P'yŏn" (Loyalty and Righteousness Chapter), and the "Hyŏllu P'yŏn" (Blood and Tears Chapter) begins.<219>

Beyond the Blood and Tears Chapter

The 80 pages of the Blood and Tears Chapter are beautiful poetry.
Of course, there are slips here too, products of the author's carelessness (for instance, the author says a court lady overheard Steward Wang lamenting and singing by the riverbank alone on the evening he arrived in Yŏngwŏl escorting Nosan, but the court ladies had not yet arrived at that time), and inconsistencies in the new king's words and actions. However, considering the overall achievement of the Blood and Tears Chapter, such things can be overlooked without much concern.
This young nobleman, once the king of a nation, later demoted to King Emeritus, then to Prince Nosan living in exile in a mountain village, still, solely because his heart is good and gentle, does not see adversity as adversity, does not grieve his own misfortune, but only treats those around him with kingly affection, impressing and positively influencing even his enemies.
This beautiful and pure poetry flows towards the grand finale. If only this Blood and Tears Chapter had been made the main part, and the complicated and impure developments before it inserted as episodes, the entire work could have been made into a single beautiful tragedy! What a pity.
With this Blood and Tears Chapter, drawing out a long lingering resonance, the curtain closes on the most pitiful and mournful story in the 500-year history of the Yi Dynasty, which had run for several hundred installments in the newspaper.

The Relationship Between the Royal Family and the Commoner Class

In short, that this "Tanjong Aesa" is no more than a modernization of Nam's "Yuksinjŏn" is something the author himself should find regrettable. Among the 27 monarchs of the Yi Dynasty, the only one whose achievements reached down to the commoners below the Yangban class was King Sejong the Great. In making a story of the Tanjong incident, which occurred immediately after Sejong, there is a need to further clarify the social conditions of the time and the relationship between the royal family and the commoner class, constructing the story such that the commoners offered feelings of love and admiration to Tanjong as the grandson of the sage King Sejong, and thus wept bitterly at his abdication. Before simply treating such a major incident as the product of a single royal family member's ambition, there is also a need to reconsider that there must have been an "inevitable cause for such an incident to occur," <220> thereby solidifying the novel's truthfulness regarding the facts. There is also a need to examine the struggle of political ideologies rather than just the struggle for political power.
Having disregarded these various issues that cannot be overlooked in novel construction, and simply concluding based on the simple view that "he abdicated unwillingly as a child and met a pitiful end," pitying the boy king, this work is not even one facet of life, nor an examination of the social conditions of the time, but merely amounts to nothing more than a biography of the boy king.
Even someone like the old Nam Hyoon, who knew nothing of modern novelistic techniques, showed clear traces of striving to fictionalize history. Why, then, did this author merely rehash Nam's efforts and give no thought at all to developing his own narrative?
The fatal flaw of this "Tanjong Aesa" lies in the abandonment of the effort to leap up from the role of a scribe recording historical tales (史話) to the role of a novelist performing the "rebirth of historical fact."<221>

**Summary**

This 1939 article by Kim Tongin critiques Yi Kwangsu's (Ch'unwŏn's) serialized novel "Tanjong Aesa" (The Sad History of King Tanjong). Kim argues the novel suffers from inconsistent characterization (especially of Suyang/Sejo), implausible plot points, and an over-reliance on Nam Hyoon's potentially embellished 15th-century accounts like "Yuksinjŏn." While praising the later "Blood and Tears Chapter" depicting Tanjong's exile for its poetic beauty, Kim ultimately faults Yi Kwangsu for merely retelling Nam Hyoon's version without deeper historical or social analysis. He contends the novel fails to explore the underlying causes of the coup, the relationship between the monarchy and commoners post-Sejong, or ideological conflicts, resulting in a simple, sentimental biography rather than a true historical novel that recreates the past.

From a colonial history perspective, the article is interesting as it showcases a prominent Korean writer (Kim Tongin) publicly critiquing another major, often nationalistic, writer (Yi Kwangsu) on literary and historical grounds during Japanese rule. It reveals ongoing intellectual engagement with Korea's own history (the contentious Sejo coup) and debates about the standards and purpose of historical fiction within the colonial context, possibly reflecting subtle commentary on power, legitimacy, and historical interpretation relevant to their own times.

**Named Entities**

首陽	수양	Suyang
端宗	단종	Tanjong
成三問	성삼문	Sŏng Sammun
鄭麟趾	정인지	Chŏng Inji
政院	정원	Chŏngwŏn
首陽大君	수양대군	Grand Prince Suyang
明澮	명회	Myŏnghoe
諸葛亮	제갈량	Chegallyang
明	명	Ming
南孝溫	남효온	Nam Hyoon
朴彭年	박팽년	Pak P'aengnyŏn
申叔舟	신숙주	Sin Sukchu
尹氏	윤씨	Yunssi
河緯地	하위지	Ha Wiji
世祖	세조	Sejo
寧越	영월	Yŏngwŏl
魯山	노산	Nosan
魯山君	노산군	Nosan-gun
李朝	이조	Yi Cho
世宗大王	세종대왕	Sejong Taewang
春園	춘원	Ch'unwŏn
金東仁	김동인	Kim Tongin
경회루	경회루	Kyŏnghoeru
경복궁	경복궁	Kyŏngbokkung
壽康宮	수강궁	Suganggung

**Glossary**

아레	아래	Below, under (older spelling)
아직꼇	아직껏	Still, yet (older spelling/form)
만치	만큼	As much as, like (older spelling)
모도	모두	All, entirely (older spelling)
공작	공작	Maneuvering, plotting, scheme
뒤채어	뒤집어	Turning over, rephrasing (metaphorical use)
모호하게	모호하게	Vaguely, ambiguously
선입관	선입관	Preconception, prejudice
비분(해)	비분하다	To be indignant, resentful
예통	예통	Prior notice (likely 사전 통고)
입회	입회	Attendance, presence (as witness)
내전	내전	Inner court (of the palace)
뛰처든다	뛰쳐든다	To rush in, barge in (older spelling)
여쭌	여쭌	To ask, tell (humble form of 여쭙다)
물리처	물리쳐	To dismiss, drive away (from 물리치다, older spelling)
세소공지	세상공지	Well-known to all (世上共知)
핀잔	핀잔	Scolding, rebuke
예감적	예감적	Premonitory
역정	역정	Anger, temper
선위	선위	Abdication (of the throne)
면청(하는)	면청하다	To request directly, ask face-to-face
졸렬한	졸렬한	Clumsy, inept, poor
무엄한	무엄한	Insolent, presumptuous
체면상	체면상	For the sake of face/dignity
추려서	추려서	To select, sort out, refine (from 추리다)
재검치	재검치 않음	Without re-examining (older form)
방심	방심	Negligence, carelessness, inattention
피치	피하지	To avoid (from 피하다, older form)
암투	암투	Secret strife, hidden feud, intrigue
거술릴	거스를	To go against, resist (from 거스르다, older spelling)
웨	왜	Why (older spelling)
식차	식차	Ceremonial procedure, order of ceremony (式次)
말들었는지	만들었는지	Made, created (from 만들다, older spelling)
장엄미	장엄미	Sense of solemnity, grandeur
살기	살기	Killing intent, bloodlust
비통미	비통미	Sense of grief, pathos
다분히	다분히	Greatly, considerably, much
확연히	확연히	Clearly, distinctly
진실미	진실미	Sense of reality, truthfulness
봉쇄하여	봉쇄하여	To seal off, block (from 봉쇄하다)
바첬으니	바쳤으니	Offered, presented (from 바치다, older spelling)
상왕	상왕	King emeritus, retired king
이어	이어	Move residence (esp. royal, 移御)
깨침	깨침	Realization, understanding
하연	하면	If one does; on the other hand (older spelling/contraction)
등극	등극	Ascension to the throne
고명	고명	Imperial mandate (appointing a king, 誥命)
면복	면복	Ceremonial robes (冕服)
나리기	내리기	To bestow, grant (from 내리다, older spelling)
복종치	복종하지	Not obeying (from 복종하다, older form)
시(하여)	시해하다	To assassinate (a king or parent, 弑)
복위케	복위하게	To restore to the throne (older form)
꾀한다	꾀한다	To plot, scheme
친국	친국	Direct interrogation (by the king, 親鞠)
밟은	밟은	Followed, trod upon (from 밟다, figurative use)
그릇된	그릇된	Wrong, mistaken, erroneous
답습(하였다)	답습하였다	Followed blindly, imitated uncritically
힐문	힐문	Sharp questioning, interrogation
어이	어찌	How, why (older form)
쌓어두었오	쌓아두었소	Have piled up, stored (older spelling/politeness level)
칭신(했느냐)	칭신했느냐	Addressed as 'subject' (稱臣)
계문	계문	Report to the throne, petition (啓文)
심모원려	심모원려	Deep thought and consideration, prudence
후약	후약	Future promise, later agreement (後約)
기(코저)	기(하고자)	To expect, hope for, aim for (期)
참지	참지 않고	Without enduring/bearing (from 참다, older form)
놋는다	놓는다	To put, place; merely do (older spelling/form)
순화	순화	Purification, refinement
옮아젔다	옮아졌다	Was transferred, moved to (older spelling)
어즈러워	어지러워	Confused, disordered (older spelling)
끗나고	끝나고	Ends, finishes (from 끝나다, older spelling)
차질	차질	Setback, snag, error, discrepancy
압도(하여)	압송하여	To escort under guard (押途, modern 압송)
비감(하여)	비감하여	Feeling sorrowful, lamenting
도착키	도착하기	To arrive (older form)
총체	총체	Whole, entirety
무관할	무관할	To be unrelated, irrelevant
떠러저서는	떨어져서는	Falling to, being demoted to (older spelling)
구양사리	귀양살이	Life in exile (likely older form/typo of 귀양살이)
당신의	당신의	His (here referring to Tanjong)
슲어하지	슬퍼하지	Not grieving, not being sad (older spelling)
왕자다운	왕자다운	Princely, befitting a king
자애심	자애심	Affectionate heart, loving-kindness
좌우를	좌우를	Those around (lit. left and right)
대(하여)	대하여	To treat, face, deal with
감복(시키고)	감복시키고	To impress deeply, make admire
감화(시킨다)	감화시킨다	To influence positively, reform
나러간다	날아간다	Flies toward (older spelling)
본편	본편	Main part, main story
삽화	삽화	Episode, interlude, illustration
끼어 넣었드면	끼어 넣었더면	If one had inserted (older spelling)
가석한	가석한	Regrettable, pitiful
여음	여음	Lingering sound, resonance, aftermath
나려오든	내려오던	Which had been running/serialized (older spelling)
구슲은	구슬픈	Sad, mournful, plaintive (older spelling)
막을 다친다	막을 닫는다	The curtain closes, it ends
양반	양반	Aristocratic class (Joseon)
서민	서민	Common people
업적	업적	Achievements, deeds
미츤	미친	Reached, affected (from 미치다, older spelling)
직후에	직후에	Immediately after
물어화함에	이야기화함에	In making into a story (物語化)
애모의 념	애모의 정	Feeling of love and admiration (愛慕之念/情)
바첬기	바쳤기	Because offered/gave (older spelling)
통곡하도록	통곡하도록	So as to weep bitterly
재고하여	재고하여	Reconsidering
마즈막에	마지막에	In the end, finally (older spelling)
지었는지라	지었으므로	Because it was concluded/written (older spelling form)
검토	검토	Examination, review
뚜렷한데	뚜렷한데	Although it is clear/distinct (older spelling)
재부연(하고)	재부연하고	Re-elaborating, restating
않었는지	않았는지	Did not (older spelling)
사화	사화	Historical tale, historical story (史話)
서기역	서기 역	Role of a scribe/recorder
약상(할)	도약할	To leap up (躍上, modern 도약)
철기(한데)	철회한데	In having abandoned/withdrawn (撤棄, modern 철회)
치명상	치명상	Fatal blow, fatal wound


---------------------------


잡지명	삼천리 제11권 제1호
발행일	1939년 01월 01일
기사제목	金東仁
필자	春園硏究(12)
기사형태	문예평론

金東仁
						春園硏究(12)
端宗哀吏(承前)
이 아레 하참은 首陽이 兵, 政 兩權을 잡은 뒤의 일을 적었다. 그러나 아직꼇 首陽의 성격과 그 성격에서 우러난 인격을 확립치 못하니만치 여기서도 讀者는 首陽을 본체를 잡기 힘들다. 首陽이 이전 遺賢들을 모도 자기 傘下에 모으고저 공작하는데 있어서도 어떤 때는 「단매에 따려 죽이고 싶어지만 人心을 사기 위하여 감정을 꾹 참고」 그들을 찾는가 하면 또 어떤 때는 「의와」 의리를 사모하는 마음이 지극하여」찾는다. 해서 수양이 과연 「惡」인지 「善」인치 - 이것을 다시 뒤채어 말하자면 癸酉年 事變이 단지 首陽의 야심에서 나왔는지 혹은 원대한 게획에서 생겨난 것인지 모호하게 되었다. 만약 首陽으로서 의를 사모하는 사람이면 癸酉事變도 「이를 사모하기 때문에 행한 非常行動」이라 볼 수도 있으므로...

禪位나 한 듯이 悲憤케 함

대체 이 이야기에는 「이야기의 進行」에 대한 작자의 선입관이 있기 때문에 작자는 「좀 더 이야기가 진행키 전에는 독자가 이해할 수 없는 일」을 흔히 적어 넣였다. 癸酉變亂 直後에 成三問 등 젊은 儒生들이 마치 禪位나 한 듯이 悲憤해 하는 것도 「장차 禪位를 한다」는 작자의 선입관의 산물이다.<216>
이런 과오는 아레 또 나온다. 왕(端宗)이 內官女臣들과 경회루에 산보를 할 때에 鄭麟趾가 또 여기 겁적 뛰처들어온다. 豫通도 없이 政院(史官)의 立會도 없이 政丞이 內殿까지 뛰처든다는 喜劇을 작자는 또 다시 犯한다. 鄭相은 임군께 인사의 말슴을 여쭌 뒤에는 「은밀히 아렐 말슴이 있으니 雜人을 물리처 주시기」를 청한다. 거기 대하여 임군은
「내가 무어 잘못한 것이 있오? 내가 덕이 없어서 날마다 좌상에게 잔소리 - 아차 잔소리가 아니라 충간이드라, 충간을 듣는 것은 세소공지어든 곁에 사람이 있기로 어떠하오」
하고 핀잔을 준다. 이것도 「作者가 鄭相의 장차 할 말을 豫知」하였기에 임군까지도 이린 豫感的 역정」을 내게 한 것이다.
이 王의 豫感的 역정을 마치려는 듯이 鄭相은 王께 禪位를 面請하는 것이었다. 이것 또한 讀者에게는 不自然키 짝이 없으니 책략과 학식이 過人한 鄭相이 이런 拙劣한 (실제로는 잊이 못할) 수단을 취하였슬 수가 없다. 無言의 威脅을 가하여 임군으로 自退케 하던가 혹은 「上王」이라는 향그러운 미끼로 임군을 속이던가 할 것이지,
