Magazine Title: 삼천리 제11권 제1호
Publication Date: 1939년 01월 01일
Article Title: 그때, 그 時節의 回想 (Recollections of That Time, That Season)
Author: 呂運弘 (Yŏ Unhong), 李瑞求 (Yi Sŏgu)
Article Type: 회고·수기 (Memoir/Recollection)

**Recollections of That Time, That Season**

**Guangdong and President Sun Wen**

By Yŏ Unhong (呂運弘)

I believe it was Taishō 10 or 11 (1921 or 1922). Having set foot in South China (南支), I toured Hong Kong (香港). The area of Hong Kong's city streets was not large, smaller than Seoul. It was a purely European-style city located in the coastal area; the flat land was only the size of a cat's forehead (猫額), and buildings like residences and offices stood cutting down the mountain*, built in terraced steps.
(*Likely refers to 山, mountain)

They were all tall buildings of 4 or 5, even up to 10 stories, and their splendid appearance was quite astonishing. Westerners (洋人) used conveyances like four-person sedan chairs (四人轎) or cable cars (케-불카) to go up and down. The climate was very warm; even in winter, snow only brushed by briefly, so one didn't feel the cold, and in summer too, the sea breeze blew from the China Sea Ocean (支那海大洋), so it wasn't perceived as that hot.<101>

After seeing Hong Kong, I next arrived in Guangdong (廣東) and stayed for a few days. The scale of Guangdong city was much larger, as over a million people lived there. Shamian (沙面), the foreign concession area (外國人借地區域) situated on the bank of the Pearl River (珠江), had charming villa-like buildings dotted amidst lush forests, making the entire area feel like a large park with scenic beauty (風致).

On that visit, I happened to be able to witness the scene of Sun Yat-sen (孫逸仙) being inaugurated as President. It's already been over ten years, a distant past event, so my memory (긔억) is faint, but at that time, Sun Wen (孫文) was being inaugurated as President for the very first time, and his sense of triumph (得意) must have reached the absolute peak (絶頂) only attainable by one who has gained the world.

On the streets of Guangdong city, the flags of the New Republic (新共和國旗) fluttered vigorously, and firecrackers (폭죽) and fireworks (花砲) resounded throughout the city all day long.
The inauguration ceremony venue (就任式場) was either the Guangdong Assembly Hall (廣東會議事堂) or the Central Auditorium of the Higher Normal School (高等師範學校 中央部會場), I don't remember clearly, but it was inside a large building anyway. Inside and outside the venue (場內場外), the President's mounted bodyguard (騎馬親騎隊) stood guard, and at the main gate, newly organized Boy Scouts (童子軍) stood in two rows welcoming the guests (來賓).

At that time, the Xinhai Revolution (辛亥革命) had not thoroughly permeated even outside the country, and moreover, it was before the unification (統一) of China was completed, so it was a time when recognition from various foreign countries (諸外國) had not been received. Thus, ambassadors and ministers (大公使) from various countries were not in attendance, but many foreign consuls (領事) and consuls general (總領事) stationed in Guangdong attended, and many foreign businessmen (실업가) flocked from places like Hong Kong, Shanghai (上海), and Beijing (北京).

The ceremony (式) was conducted solemnly. Sun Wen appeared then, formally dressed, and received greetings from domestic and foreign guests (內外賓客). Then,
"The revolution is not yet complete, and the new order (秩序) has not yet been fully established, but I hope that all comrades (同志), with one mind (一意), will strive for the completion of the revolution,"
he gave a speech to that effect in the Beijing dialect (북경어).

Sun Wen, as reflected in my eyes at that time, seemed not so much a broad-shouldered, large-statured man (偉軀한 丈夫) but rather a clean-cut scholar (선비) with a roundish face and eyes revealing intense brilliance (영채).
He wasn't tall. Nor was he fat. His voice carried a metallic tone (鐵聲).

At that time, Hu Hanmin (胡漢民), Chiang Kai-shek (蔣介石), and Wang Jingwei (汪兆銘) were also present. Li Dazhao (李大釗), who was a professor at Peking University, also seemed to have come, as reported in the newspapers.
I seem to recall Lin Sen (林森) having come as well.

The temperament (氣質) of the Guangdong people, being at the center of the South (南方) and China, had a fierce (표한한) quality. Rich in enterprising spirit (進取性), Sun Wen succeeded by raising the righteous banner (義旗) using Guangdong as his base (地盤). This is why Guangdong is cherished as the birthplace of the revolution (革命發祥地).<102>

**The Early Days of the Dong-A Ilbo - Mr. Chang Tŏksu, Mr. Kim Myŏngsik, and Others of That Time**

By Yi Sŏgu (李瑞求)

**One. Reporter and Extra Delivery Man**

Here, 'that time, that season' refers to the period of about two years from the first publication (初刊) of the Dong-A Ilbo (東亞日報).

Back then, the Dong-A Ilbo was extremely poor. There were times when we couldn't even pay the delivery men's wages (임금), let alone the editorial staff's salaries (월급), so newspaper extras (號外) would pile up, unable to be distributed.
At that time, we, young men in our twenties, unable to bear our indignation (氣憤), resolutely donned happi coats (핫비) dyed with the Dong-A Ilbo mark (마-크) on the back and went out carrying the extras.
At that time, the faces I remember...
Kim Tongwŏn (金烔元)
Yu Kwangnyŏl (柳光烈), and I - carrying the extras, we went out to Jongno Street (鍾路通), dropped them off house to house (家家戶戶), and then shouted "Hooray!" (快哉) over a bowl of seolleongtang (설넝탕), relieving the fatigue from our labor (勞役). That was us.

From the executives (간부) above, like Yang Kit'aek (梁記澤), Elder Yu Kŭn (柳槿老人), Chang Tŏksu (張德秀), Kim Myŏngsik (金明植), Yi Sanghyŏp (李相協), etc., down to the office boy (給仕), lunch was invariably a piece of hotteok (호떡) or seolleongtang. We were often in the embarrassing situation of even those payments being overdue (밀녀서). I ate a lot back then, so I sometimes ate two servings for lunch. Whenever I did, Hamong (何夢) would pay the additional cost for one serving. That warmth (情) then was likely the first and last time in my life. Even if Hamong, now a top executive (최고간부) at the Maeil Sinbo (每日申報), bought me 100 won worth of cuisine, that joy (깃븜), that emotion (감격) could never be replicated for me.

**Two. The Editorial Team Room Becomes a Battleground**

The manuscript (原稿) for the daily editorial (社說) had to go to the printing plant (공장) by one or two o'clock at the latest for the front page (一面) to be made first. However, in the south-facing room where the editorial team (論說班) was arrayed (陣을 버리고), the argument (쌈) had still not ended. Knowing well that the editorial could not be written (執筆) until this argument concluded, the editorial staff members could only watch the gentlemen (諸公) of the editorial team sitting around through the glass window (유리창) <103> with wry smiles (徵苦笑).

The central debaters (論客) at that time were Chang Tŏkchun (張德俊), Chang Tŏksu (張德秀), and Kim Myŏngsik (金明植). When they gathered in the morning (아츰), they would bring up some issue and begin exchanging opinions (의견교환). Then, when opinions didn't align, a heated debate (激論) would start, with neither side backing down (一步도 물너나지 않코).
Once, the passionate Mr. Chang Tŏkchun even smashed a chair (걸상). After thus discerning right and wrong (是非), when they finally reached a conclusion (결론), only then would one of them begin to write. It seemed like a huge fight could break out at any moment, as if they would become enemies, but once a conclusion was reached, a spring breeze (春風) would instantly return to the editorial team room. I haven't particularly seen such a moving (감격된) scene since then.
The lofty spirit (氣槪) of the debaters, spewing fire (불을 吐하는) whenever they opened their mouths even while barely satisfying (끄면서도) their hunger (허긔) all day with just a piece of bread (빵), became a great impression (감명) upon my life (一生).

**Three. Pulling a Freight Cart and Distributing Rice**

Back then, we didn't consider reporting (報道) alone as our duty (職分). Even if we didn't receive salaries, even if we were hungry (주려도), there was a pride (自負心) dominating all of us that if we didn't do the work that only we could do, the work that we *had* to do, what else could we do (어쩌랴)? At a time when flood control work (治水工事) on the Han River (漢江) basin (流域) was not as complete (完備하지 못했든) as now, the areas of Ttukseom (뚝섬), Dongmak (東幕), and Yeongdeungpo (永登浦) saw thousands, tens of thousands of people suffering from flood damage (水災) every year. Each time, we strived to give them clothes (옷), food (밥), and shelter (집). We cooked rice, loaded it onto a cart (구르마), pulled it ourselves out to Ttukseom, went around the refugee communal lodgings (避難民合宿所), and personally ladled out and distributed (펴 돌녔었다) the rice. Once, Mr. Chang Tŏksu (whose pen name is Sŏlsan 雪山) and I, having skipped lunch, boarded a train (기차) to distribute 10 seok (石) of white rice (白米) to the flood victims (罹災民) in Yeongdeungpo. On the surging waves (물결) of the Han River, dyed yellow with soil (黃土), large wooden bowls (함지박) floated by, straw bundles (집섬) floated by, and thatched roofs (초가집웅) with gourd vines (박넝쿨) still on them, even with chickens (닭) perched on top, floated downstream (떠나렸었다). Huddled (웅크리고) in a corner of the third-class (3等) carriage sat Sŏlsan, eyes closed, lost in some thought. His beard grown longer than his chin (치가 넘게 길은 수염), tightly shut mouth (꽉 담은 입), closed eyelids (감은 눈두덩) with pupils (瞳子) rolling left and right beneath them. I felt (늣겼었다) something respectable (존경함즉한), moving (感動) in his face (얼골). In our steps (거름거리), going around worrying about others' stomachs while our own went hungry (배를 골녀가며), a different kind of vitality (活氣) seemed to spring forth, one that food alone could not provide (도으지 못할).

**Four. The Saedeureum "Pen Calamity Incident"**

After the Dong-A Ilbo (東日亞報 - *sic*) suffered a long-term suspension of publication (長期停刊), the members (同人) frequently came and went (드나들게) from the newspaper office (신문사). Therefore, inconvenience (불편) was felt (늣기게) due to the lack of communication (連絡) between those who had visited earlier and those who came later. This<104> led to the publication (발행케) of a circulation-style (廻覽式) newspaper (新聞) called "Saedeureum" (새드름). On a sheet of paper (조희에) about one-fourth the size of a newspaper page, each time (매월 - *likely means 'each sheet' here*) the title calligraphy (題字) "Saedeureum" was written, anyone (아모나) who came by would jot down (적어놋는다) things they wanted to say or news (소식) they wanted to convey. Then, through the handiwork (솜씨가) of people coming and going all day long (종일토록), the page surface (지면) would be fully covered (씨워놓코). Through this, sources of laughter (우슴거리) emerged, new news was learned, and communication (연신 - *likely 연락/연통*) between people was established. Since it was originally the work (솜씨라) of people who used to make (맨들든) newspapers, before long (어느덧) an editorial column (社說란), a social affairs section (사회면), and a political section (정치면) came into existence in Saedeureum. Sometimes, cartoons (漫畵) by Ch'ŏlligu (千里駒 - pen name of Kim Tong-sŏng 金東成) appeared, and there were times when admonitions (訓戒) from Mr. Yu Kŭn (柳槿) were included (실닐). At that time, Yu Kwangnyŏl (柳光烈 - now the chief editor 君 of Maeil Sinbo) wrote frequently in the editorial column. There was an incident where a critical (攻擊的) editorial was published (시러서), stating that it was greatly unacceptable (大端不可하다는) that Mr. Yu Kŭn (柳槿先生), despite having lost (젔음에도) a game of Janggi (장긔) played (두시고) with the capable (能仕) Han Chŏngha (韓貞河 - who passed away a year prior 故人이 되였다), did not provide the meal (밥) he had bet.
This even led to the jesting remark (弄說), "Writing things like that will get even the baby newspaper (색기신문) suspended (停刊을 식킨다)!"
The baby newspaper is said to have been published up to about 50 issues (回).
If it still remained today, it would be splendid (훌늉한) historical material (史料거리) in the history of Korean newspapers (朝鮮新聞史上).<105>

**Summary**

This article contains two separate recollections from 1939. The first, by Yŏ Unhong, describes his visit to Hong Kong and Guangzhou around 1921-22, focusing on witnessing the inauguration of Sun Yat-sen as President of the Republic of China. He provides a physical description of Sun and notes the presence of other key figures, reflecting on Guangdong as the revolution's birthplace. The second part, by Yi Sŏgu, reminisces about the difficult early years (c. 1920-1922) of the Dong-A Ilbo newspaper. He highlights the staff's poverty, dedication (delivering extras themselves), passionate editorial debates, participation in flood relief efforts despite personal hardship, and the creation of an internal newsletter ("Saedeureum") during a publication suspension.

From a historical perspective, Yŏ Unhong's account offers a Korean viewpoint on a significant moment in modern Chinese history, capturing the atmosphere surrounding Sun Yat-sen's early presidency. Yi Sŏgu's piece provides valuable insights into the struggles and camaraderie of early Korean journalism under Japanese colonial rule, illustrating the financial hardships, the intense intellectual environment within the newspaper, the staff's social consciousness, and their creative ways of maintaining communication and morale during censorship (the "Saedeureum" newsletter).

**Named Entities**

廣東	광동	Guangdong
孫文	손문	Sun Wen (Sun Yat-sen)
呂運弘	여운홍	Yŏ Unhong
大正	대정	Taishō
南支	남지	South China
香港	홍콩	Hong Kong
서울	서울	Seoul
支那海大洋	지나해대양	China Sea Ocean
沙面	사면	Shamian
珠江	주강	Pearl River
孫逸仙	손일선	Sun Yat-sen (Sun Yixian)
新共和國	신공화국	New Republic
廣東會議事堂	광동회의사당	Guangdong Assembly Hall
高等師範學校	고등사범학교	Higher Normal School
童子軍	동자군	Boy Scouts
辛亥革命	신해혁명	Xinhai Revolution
中國	중국	China
上海	상해	Shanghai
北京	북경	Beijing
胡漢民	호한민	Hu Hanmin
蔣介石	장개석	Chiang Kai-shek
汪兆銘	왕조명	Wang Jingwei
李大釗	이대조	Li Dazhao
林森	임삼	Lin Sen
李瑞求	이서구	Yi Sŏgu
東亞日報	동아일보	Dong-A Ilbo
金烔元	김동원	Kim Tongwŏn
柳光烈	유광렬	Yu Kwangnyŏl
鍾路通	종로통	Jongno Street
梁記澤	양기택	Yang Kit'aek
柳槿	유근	Yu Kŭn
張德秀	장덕수	Chang Tŏksu
金明植	김명식	Kim Myŏngsik
李相協	이상협	Yi Sanghyŏp
何夢	하몽	Hamong
每日申報	매일신보	Maeil Sinbo
張德俊	장덕준	Chang Tŏkchun
漢江	한강	Han River
뚝섬	뚝섬	Ttukseom
東幕	동막	Dongmak
永登浦	영등포	Yeongdeungpo
雪山	설산	Sŏlsan
새드름	새드름	Saedeureum
千里駒	천리구	Ch'ŏlligu
金東成	김동성	Kim Tong-sŏng
韓貞河	한정하	Han Chŏngha
朝鮮	조선	Joseon (Korea)

**Glossary**

時節	시절	Season, time period
回想	회상	Recollection, reminiscence
大統領	대통령	President
노은	놓은	Placed, set foot in (older spelling/form of 놓은)
시가	시가	Urban area, city streets
아니되어	아니 되어	Not being, being less than
노힌	놓인	Located, situated (older spelling/form of 놓인)
猫額	묘액	Cat's forehead (idiom: very small area)
깍가내리고	깎아 내리고	Cutting down (older spelling)
층층대	층층대	Steps, tiers, terrace
모다	모두	All, everyone (older spelling)
되야	되어	Becoming, being (older spelling/form of 되어)
놀날만	놀랄 만	Surprising, astonishing (older spelling)
洋人	양인	Westerner
乘物	승물	Vehicle, means of transport
上下하였다	상하하였다	Went up and down
아조	아주	Very (older spelling)
따슷하여	따스하여	Being warm (older spelling/form)
겨을	겨울	Winter (older spelling)
스처지날	스쳐 지날	To brush past, pass fleetingly (older spelling)
부러와서	불어와서	Blowing in (wind) (older spelling)
그러케	그렇게	So, like that (older spelling)
몰낫다	몰랐다	Did not know (older spelling)
이르러	이르러	Arriving at, reaching
놀앗다	놀았다	Played, stayed, spent time (older spelling)
이만치	이만치	This much, to this extent
훨신	훨씬	Much more (older spelling)
커섯다	컸었다	Was large (older spelling)
借地區域	차지구역	Leased territory, concession area
茂盛한	무성한	Lush, dense (vegetation)
아담한	아담한	Neat, cozy, charming
점철하여	점철하여	Dotted with, interspersed with
風致	풍치	Scenic beauty, charm
거름에	걸음에	On that trip, during that walk/visit (older spelling/usage)
마츰	마침	Just then, opportunely (older spelling)
취임하는	취임하는	Inaugurating, taking office
광경	광경	Scene, sight
벌서	벌써	Already (older spelling)
긔억	기억	Memory (older spelling)
히미하지만	희미하지만	Although faint/dim (older spelling)
비로소	비로소	For the first time
得意	득의	Triumph, pride, satisfaction
絶頂	절정	Peak, zenith
달하였든	달하였던	Had reached (older spelling)
날니고	날리고	Fluttering (older spelling)
폭죽	폭죽	Firecrackers
花砲	화포	Fireworks
종일	종일	All day long
울렸다	울렸다	Resounded, echoed
就任式場	취임식장	Inauguration ceremony venue
든지	든지	Or (postposition)
안으나	않으나	Although not (older spelling)
어쨋든	어쨌든	Anyway, in any case (older spelling)
있섯다	있었다	Was, existed (older spelling)
場內場外	장내장외	Inside and outside the venue
騎馬親騎隊	기마친기대	Mounted bodyguard/escort
警戒하고	경계하고	Guarding, being vigilant
來賓	내빈	Guests, visitors
마지하였다	맞이하였다	Welcomed, received (older spelling)
철처하지	철저하지	Not thorough, incomplete
統一	통일	Unification
諸外國	제외국	Various foreign countries
승인	승인	Approval, recognition
大公使	대공사	Ambassador, Minister
駐在	주재	Stationed, resident
領事	영사	Consul
總領事	총영사	Consul General
여럿이	여러 시	Many (people) (older form)
실업가	실업가	Businessman, industrialist
몰려왔었다	몰려왔었다	Had gathered, flocked (older spelling)
삼엄하게	삼엄하게	Strictly, solemnly
지내였다	지내었다	Was held, passed (older spelling)
內外賓客	내외빈객	Domestic and foreign guests
받었다	받았다	Received (older spelling)
혁명	혁명	Revolution
秩序	질서	Order
一意	일의	Wholeheartedly, with one mind
同志	동지	Comrade
북경어	북경어	Beijing dialect (Mandarin)
빛인	비친	Reflected (in one's eyes) (older spelling)
幅	폭	Width
넙고	넓고	Wide (older spelling)
偉軀한	위구한	Large-bodied, imposing figure
丈夫	장부	Man, stalwart man
얼골	얼굴	Face (older spelling)
영채	영채	Brilliance, sparkle (in the eyes)
선비	선비	Scholar (classical)
찌찌않었다	찌지 않았다	Was not fat (older spelling)
鐵聲	철성	Metallic voice, steely tone
띠였다	띠었다	Had, possessed (older spelling)
왔었든시	왔었던지/왔었듯이	Whether he had come / As if he had come (older spelling, ambiguous)
氣質	기질	Temperament, disposition
표한한	표한한	Fierce, fiery, valiant (from 慓悍)
進取性	진취성	Enterprising spirit
地盤	지반	Base, foundation, stronghold
義旗	의기	Righteous banner
擧하여	거하여	Raising (a banner)
發祥地	발상지	Birthplace, cradle
까닭이다	까닭이다	Is the reason
初刊	초간	First issue/publication
編輯局員	편집국원	Editorial staff member
커냥	커녕	Let alone, not to mention (older spelling)
배달부	배달부	Delivery person
임금	임금	Wages
號外	호외	Newspaper extra
놓코	놓고	Putting down, leaving (older spelling)
돌느지	돌리지	Distribute, circulate (older spelling/form of 돌리지)
절문	젊은	Young (older spelling)
氣憤	기분	Indignation, resentment; strong feeling
니기여	이기어	Overcoming, unable to bear (older spelling/form of 이기어)
핫비	핫피	Happi coat (Japanese loanword 法被)
나섯다	나섰다	Stepped out, went out (older spelling)
家家戶戶	가가호호	House to house
드러트리고	들러뜨리고/넣어 드리고	Dropping off / Putting in (delivering) (older spelling/form)
설넝탕	설렁탕	Seolleongtang (beef bone soup) (older spelling)
勞役	노역	Labor, toil
삐친	뻗친	Exhausted, worn out (from 뻗치다)
快哉	쾌재	Exclamation of joy/satisfaction
부르짓든	부르짖던	Used to shout/exclaim (older spelling)
老人	노인	Old man (respectful title)
給仕	급사	Office boy, errand boy
의례히	으레	Usually, customarily (older spelling)
호떡	호떡	Hotteok (Korean pancake)
밀녀서	밀려서	Being overdue, piled up (older spelling)
갓금	가끔	Sometimes (older spelling)
무러주었었다	물어주었었다	Used to pay for (older spelling)
깃븜	기쁨	Joy (older spelling)
싸홈터	싸움터	Battleground, place of fighting (older spelling)
論說班	논설반	Editorial writing team/section
社說	사설	Editorial (newspaper)
原稿	원고	Manuscript, draft
몬저	먼저	First (older spelling)
一面	일면	Front page
陣을 버리고	진을 벌이고	Setting up camp, arrayed
아즉도	아직도	Still (older spelling)
쌈	싸움	Fight, argument (older spelling)
끗나지	끝나지	Not finished (older spelling)
執筆	집필	Writing (esp. professionally)
徵苦笑	미고소	Wry smile, forced smile (from 微苦笑)
諸公	제공	Gentlemen (addressing multiple people respectfully)
둘너 안진	둘러앉은	Sitting around (older spelling)
너머로	너머로	Over, beyond
論客	논객	Debater, polemicist
아츰	아침	Morning (older spelling)
모히면	모이면	When gathered (older spelling)
거러노코	걸어놓고	Bringing up, proposing (an issue) (older spelling)
彼此에	피차에	Mutually, between them
안는	않는	Not (older spelling)
물너나지	물러나지	Not retreating, not backing down (older spelling)
않코	않고	Without doing (older spelling)
激論	격론	Heated debate
情熱家	정열가	Passionate person
때려부셨을	때려부쉈을	Smashed, broken (older spelling)
있있다	있었다	There was (older spelling)
是非	시비	Right and wrong
엇게되면	얻게 되면	When reached/obtained (older spelling)
떠온다	떠돈다	Floats, lingers (older spelling, likely 떠돈다)
만콤	만큼	This much (older spelling)
별노히	별로히	Particularly, especially (older spelling)
허긔	허기	Hunger (older spelling)
끄면서도	끄면서도	While extinguishing/satisfying (hunger)
氣槪	기개	Spirit, mettle
되였든	되었던	Had become (older spelling)
짐車	짐차	Freight cart, wagon
껄고	끌고	Pulling (older spelling)
分配	분배	Distribution
報道	보도	Reporting, news coverage
職分	직분	Duty, role
않었섯다	않았었다	Did not (older spelling)
주려도	주려도	Even if hungry (from 주리다)
않이면	아니면	If not (older spelling)
어쩌랴	어쩌랴	What can be done? (rhetorical)
自負心	자부심	Self-respect, pride
지배했든	지배했던	Had dominated/controlled (older spelling)
流域	유역	River basin
治水工事	치수공사	Flood control work
完備하지 못했든	완비하지 못했던	Had not been fully equipped/completed (older spelling)
水災	수재	Flood damage
주랴고	주려고	Intending to give (older spelling)
썼었다	썼었다	Used (effort), strived (older spelling)
구르마	구루마	Cart (Japanese loanword 車)
避難民合宿所	피난민 합숙소	Refugee communal lodging
돌녔었다	돌렸었다	Distributed (older spelling)
굴문	굶은	Starved, skipped a meal (older spelling)
罹災民	이재민	Victims of disaster
石	석	Seok (unit of volume)
위하야	위하여	For the sake of, in order to (older spelling)
탔었다	탔었다	Had ridden (older spelling)
黃土	황토	Yellow soil, loess
밀니는	밀리는	Pushing, surging (water) (older spelling)
함지박	함지박	Large wooden bowl
떠나리고	떠내리고	Floating down (older spelling)
집섬	짚섬	Straw bundle/mat (older spelling)
초가집웅	초가 지붕	Thatched roof (older spelling)
박넝쿨	박넝쿨	Gourd vine
언친채	얹힌 채	With (something) placed on top (older spelling)
올나	올라	Climbing up, getting on (older spelling)
안츤채	앉은 채	While sitting (older spelling)
떠나렸었다	떠내렸었다	Was floating/drifting down (older spelling)
앉인	앉은	Sitting (older spelling)
雅號	아호	Pen name, art name
담은	다문	Closed (mouth) (older spelling)
瞳子	동자	Pupil (of the eye)
존경함즉한	존경함직한	Respectable, worthy of respect (older form)
늣겼었다	느꼈었다	Had felt (older spelling)
골녀가며	곯려가며	While letting one's own stomach go hungry (older spelling)
거름거리에는	걸음걸이에는	In our steps/gait (older spelling)
도으지	도우지/도무지	Help/provide; Possibly (older spelling)
갓했었다	같했었다	Seemed like (older spelling)
筆禍事件	필화사건	Incident involving trouble caused by writing
長期停刊	장기정간	Long-term suspension of publication
同人	동인	Members, colleagues
無時로	무시로	Frequently, at any time
드나들게	드나들게	To come and go frequently (older spelling)
나종	나중	Later (older spelling)
連絡	연락	Contact, communication
늣기게	느끼게	To feel (older spelling)
廻覽式	회람식	Circulation style (passed around)
발행케	발행케	To publish (older form)
조희에	종이에	On paper (older spelling)
매월	매번/매장	Each time/Each sheet (Context suggests not 'monthly')
題字	제자	Title calligraphy, masthead
써노면	써놓으면	If one writes down (older spelling)
