잡지명 개벽 제70호
발행일 1926년 06월 01일
기사제목 世界勞働運動의 陳容 (Configuration of the World Labor Movement)
기사형태 소식 (News)

Configuration of the World Labor Movement

When the coal miners of Great Britain once voiced their discontent, not only did all the workers within Great Britain go on strike simultaneously, but workers worldwide also showed signs of responding in kind. At this time, let's briefly glance at the international organizations of these workers for reference.

Currently, there are two international workers' federations. One is the International Federation of Trade Unions, headquartered in Amsterdam, Netherlands, and the other is the Red International of Labour Unions, headquartered in Moscow. Although both adhere to socialism and reject capitalism, the Amsterdam faction seeks to gradually reform society through social evolution, commonly referred to as the "Yellow International." Starting in 1897, today it represents 17.7 million workers, with representatives from 90 organizations in 14 countries gathered to promote and unify the labor movement. The Red International of Labour Unions in Moscow is an organization aiming to carry out a world revolution through direct action and simultaneously establish a dictatorship of the proletariat. It unites Russia's trade unions and the far-left unions of various countries. Although its membership is only 7 million, its actual power far surpasses the Yellow International. Consequently, these two factions, the Yellow and the Red, have clashed often, but recently, the Red International has been attempting to embrace the members of the other side more. Besides these, there are international industrial federations among workers, such as the Miners' International Federation and the International Typographical Secretariat. Due to their narrower focus, their solidarity is stronger. During the recent British strike, the Miners' International Federation, in its name, prevented coal exports to Great Britain, which was fully implemented in countries like France (佛), Belgium (白), and Germany (獨). By the way, the president of the Yellow International federation is Mr. Thomas, the general secretary of the railway workers' union who was active in the recent British strike.

Labor Movements by Country

Let's take another look at the situation of workers country by country.

Great Britain has a Trades Union Congress that encompasses all workers in Britain, and within it, there is a General Council that acts as the general staff headquarters. It was this council that issued the fearsome order, "From 1:00 AM on May 4th," for the recent general strike. This Trades Union Congress was founded in 1868, and around 1912, its membership exceeded 5 million [Note: Original text says 500, likely typo for 5 million or 500 affiliated unions, context suggests large membership], but due to the post-Great War slump in the labor world, it decreased to 4.2 million. The main components of the union are the 1.2 million-strong Miners' Federation, the 450,000-strong National Union of Railwaymen, 410,000 transport workers, 430,000 engineering workers, 350,000 construction workers, 150,000 printing workers, and other shipbuilding and metal workers. This union generally holds power comparable to the government within Britain, always exhibiting the spirit of a "state within a state." Whichever party forms the central government, it cannot avoid paying attention to the inclinations of this labor side.

In America, the power of workers is significantly less than in Great Britain, but it also has a considerable foundation. There is the American Federation of Labor (founded 1880) with 2.9 million members, the four Railway Brotherhoods with 600,000 members, and the Amalgamated Clothing Workers union. In addition, among left-leaning unions, there are the Farmer-Labor Party <100> and the famous syndicalist organization, the I.W.W. Another notable aspect of the American labor movement is the labor banks; currently, there are 25 labor banks with a total capital of $30 million. America is also famous for the high salaries of trade union officials; high-ranking executives have annual incomes of around $15,000, and it is said that one labor movement leader left an estate of $500,000. It is said that the American labor movement is relatively quiescent because the consciousness of the propertied class on the employers' side has developed in an extremely wicked and cunning manner (極惡極妙), making it very difficult to conduct a thorough labor movement.

Moving to the European continent, in contrast to Britain and America where workers themselves lead their labor movements, in various European countries, the socialist movement holds the most significant influence. Both France and Germany have histories of labor movements spanning about 100 years, but they still lack truly formidable organizations; instead, the socialist parties in their parliaments wield the most influence.

In France, the General Confederation of Labour (全國組合總同盟), which affirms parliamentary politics, and the Federation of Bourses du Travail (勞働取引所聯合), which sought purely economic action, merged in 1895 to establish the General Confederation of Labour (勞働總同盟). This federation rejects all parliamentary action and aims to achieve its ultimate goal through direct action, namely the general strike. However, while the total number of workers in France is estimated at about 15 million, only 600,000 are said to be members of the aforementioned federation. They seem to neglect unified action to that extent.

Germany's labor movement was most vigorous immediately after the Great War when Luxembourg held sway over the movement. Now, there is the General German Trade Union Federation (獨逸勞働組合總同盟) with 2 million members and the union famous for Red Communism, the "Union of Manual and Brain Workers (筋肉 及 頭腦勞働者組合)." The latter holds greater power than the former.

The labor movement in Labor-Farmer Russia (勞農露西亞) differs markedly from other countries that have not yet undergone revolution. Until the Kerensky Revolution in 1917, the country's trade unions consisted of merely 3 unions with 2,000 members. Today, after the revolution, 6 million out of 7 million workers are organized into union members, forming the All-Russian Central Council of Trade Unions (全露勞働者組合). Since their own revolution succeeded, they have no need to struggle against capitalists like workers in other countries. Instead, they serve as the cornerstone of Soviet Russia (쏘베트 露西亞), acting as producers' organizations or active (能能的) groups for socialist construction and propaganda both domestically and internationally.

Cook, the Lenin of Great Britain

Finally, let me introduce a word about James Cook, the General Secretary of the Miners' Federation, who was active as the vanguard in the recent British general strike. He is a 42-year-old man of coal miner origin, learned, capable, and possessing a sharp revolutionary spirit. The Conservative Party (保守黨) points to him as a Red sympathizer, and there are even rumors that the National Party (國粹黨) occasionally plots his assassination (暗殺).
He always attacks the moderate and half-hearted approach of the MacDonald faction and speaks of the urgent need for the Triple Alliance (多角同盟). He was, of course, the main planner and implementer of the recent strike. It is said that he may sooner or later become the Lenin of Britain, capable of influencing the entire fate of Great Britain. <101>
<100-101>

**Summary**

This 1926 article from the Korean magazine *Kaebyŏk* surveys the international labor movement, prompted by the recent British General Strike. It contrasts the evolutionary socialist "Yellow International" (Amsterdam) with the revolutionary communist "Red International" (Moscow), noting the latter's growing influence despite smaller numbers. It then examines labor movements country by country: Britain's powerful Trades Union Congress (TUC) acting as a "state within a state," America's weaker movement attributed to strong employer resistance and high union salaries, France's syndicalist CGT lacking mass membership, Germany's split movement, and Soviet Russia's state-integrated unions focused on socialist construction. The piece concludes by highlighting A.J. Cook, leader of the British miners, as a potential "British Lenin." For historians of colonial Korea, this article is interesting as it reflects Korean intellectual awareness of global leftist movements and labor activism during a period of intense ideological debate and nascent Korean labor organization under Japanese rule. The focus on international solidarity and revolutionary potential, particularly the comparison of Cook to Lenin, likely resonated with Korean nationalists and socialists seeking models for resistance and social change.

**Named Entities**

世界勞働運動	세계노동운동	World Labor Movement
英國	영국	Great Britain (Yŏngguk)
和蘭國	화란국	Netherlands (Hwaranguk)
암스텔담	암스테르담	Amsterdam
國際勞働組合聯盟	국제노동조합연맹	International Federation of Trade Unions (IFTU)
莫斯科	모스크바	Moscow (Mosŭk'o)
赤色國際勞働組合	적색국제노동조합	Red International of Labour Unions (RILU / Profintern)
露西亞	러시아	Russia (Nosia)
佛	불	France (Pul)
白	백	Belgium (Paek)
獨	독	Germany (Tok)
도-마스	토머스	Thomas (J.H. Thomas)
總評議會	총평의회	General Council (of the TUC)
坑夫組合聯合會	광부조합연합회	Miners' Federation (of Great Britain)
鐵道從業員組合聯合會	철도종업원조합연합회	National Union of Railwaymen
運輸勞働者	운수노동자	Transport Workers (likely Transport and General Workers' Union)
機械勞働者	기계노동자	Engineering Workers (likely Amalgamated Engineering Union)
建築勞働者	건축노동자	Construction Workers
印刷勞働者	인쇄노동자	Printing Workers
美國	미국	America (Miguk)
勞働總同盟	노동총동맹	American Federation of Labor (AFL)
鐵道友愛會	철도우애회	Railway Brotherhoods
合同縫衣組合	합동봉의조합	Amalgamated Clothing Workers (of America)
聯合農民勞働者黨	연합농민노동자당	Farmer-Labor Party
I·W·W	아이더블유더블유	Industrial Workers of the World (IWW)
歐洲	유럽	Europe (Yuju)
佛國	불국	France (Pulguk)
全國組合總同盟	전국조합총동맹	Confédération Générale du Travail (CGT - used initially)
勞働取引所聯合	노동거래소연합	Federation of Bourses du Travail
勞働總同盟	노동총동맹	Confédération Générale du Travail (CGT - used after merger)
獨逸	독일	Germany (Togil)
룩셈불그	룩셈부르크	Luxemburg (Rosa Luxemburg)
獨逸勞働組合總同盟	독일노동조합총동맹	General German Trade Union Federation (ADGB)
筋肉 及 頭腦勞働者組合	근육 및 두뇌노동자조합	Union of Manual and Brain Workers
勞農露西亞	노농러시아	Labor-Farmer Russia (Nonong Nosia)
케렌스키	케렌스키	Kerensky
全露勞働者組合	전로노동자조합	All-Russian Central Council of Trade Unions
쏘베트 露西亞	소비에트 러시아	Soviet Russia (Ssobet'ŭ Nosia)
쿳쿠	쿡	Cook (A. J. Cook)
炭坑夫組合聯合會	탄갱부조합연합회	Miners' Federation (of Great Britain)
保守黨	보수당	Conservative Party (Posudang)
國粹黨	국수당	National Party (Kuksuidang - likely referring to right-wing/fascist groups)
막도날도	맥도널드	MacDonald (Ramsay MacDonald)
多角同盟	다각동맹	Triple Alliance (Tagaktongmaeng)

**Glossary**

陳容	진용	Configuration, lineup, disposition
勞働者	노동자	Worker, laborer
罷業	파업	Strike (labor)
響應	향응	Response, echo, resonance
團軆	단체	Organization, body, group (older form of 단체)
聯盟	연맹	Federation, league
本部	본부	Headquarters
信奉	신봉	Belief, adherence
否認	부인	Denial, rejection
變革	변혁	Revolution, reform, upheaval
世間	세간	The world, society, public
黃色組合	황색조합	Yellow Union (term for reformist, non-revolutionary unions)
促進	촉진	Promotion, acceleration
統一	통일	Unification
圖	도	To plan, scheme, aim for
直接行動	직접행동	Direct action
斷行	단행	To carry out decisively
無産者	무산자	Proletariat (lit. propertyless person)
獨裁政治	독재정치	Dictatorship
爲始	위시	Starting with, including
極左傾	극좌경	Far-left leaning
團結	단결	Solidarity, unity
凌駕	능가	To surpass, exceed
包容	포용	To embrace, include
産業別	산업별	By industry
坑夫	광부	Miner (older term, 갱부 also used)
輸出	수출	Export
防止	방지	Prevention
活躍	활약	Activity, active role
包括	포괄	To encompass, include
總評議會	총평의회	General Council
總參謀府	총참모부	General Staff Headquarters
創立	창립	Foundation, establishment
加盟員	가맹원	Member (of an association/union)
不振	부진	Slump, stagnation, inactivity
把持	파지	To grasp, hold, maintain (power)
鼻息を仰ぐ	비식을 앙하다	(Japanese idiom used here) To curry favor, gauge someone's intentions (lit. look up to someone's breathing)
不及	불급	Not reaching, inferior to
亦是	역시	Also, likewise (older form)
基盤	기반	Base, foundation
左傾	좌경	Left-leaning
閑散	한산	Quiet, inactive, slack
階級意識	계급의식	Class consciousness
雇主側	고용주측	Employer side
極惡極妙	극악극묘	Extremely wicked and cunning/subtle
徹底	철저	Thoroughness, completeness
肯定	긍정	Affirmation, positive view
純粹	순수	Purely
排斥	배척	Exclusion, rejection, boycott
終局	종국	End, final stage
等閑視	등한시	To neglect, treat lightly
牛耳を執る	우이(를) 잡다	(Chinese idiom used here) To take the lead, be the leader (lit. hold the bull's ear)
盛	성하다	To be prosperous, vigorous, flourishing
柱石	주석	Pillar, cornerstone
建設	건설	Construction, building
宣傳	선전	Propaganda, publicity
能能的	능능적	Active, capable (possibly non-standard or older usage for 능동적)
急先鋒	급선봉	Vanguard, spearhead
手腕	수완	Skill, ability, capability
氣骨	기골	Spirit, mettle, backbone
指目	지목	To point out, single out
暗殺	암살	Assassination
穩健	온건	Moderate, temperate
不徹底	불철저	Not thorough, incomplete, half-hearted
攻擊	공격	Attack, criticism
急務	급무	Urgent task/business
早晩	조만	Sooner or later
-e 

---------------------------


잡지명	개벽 제70호
발행일	1926년 06월 01일
기사제목	世界勞働運動의 陳容
기사형태	소식

世界勞働運動의 陳容
英國의 炭坑夫가 한 번 不平을 말하게 되자 全英國 안에 잇는 勞働者가 同時罷業함은 물론이요 全世界의 勞働者가 그에 響應하는 形勢를 보엿나니 이 때에 잇서 暫間 參考로써 이러한 勞働者들의 國際的 團軆를 一瞥하면
