Magazine Title: 開闢 제70호
Publication Date: 1926년 06월 01일 (June 1, 1926)
Article Title: 政鑑錄 (Records for Political Reflection)
Author: 雪梅有香 (Snow Plum Has Fragrance)
Article Type: 논설 (Editorial/Essay)

政鑑錄
Records for Political Reflection

雪梅有香
Snow Plum Has Fragrance

At King T'aejo's state banquet celebrating the founding of the dynasty, a kisaeng named Sŏlmae was serving drinks. The Chief State Councilor, Pae Kŭngnyŏm, teasingly said, "Kisaeng originally have many lovers (lit., Chang Sam and Yi Sa are all their husbands). How about offering your pillow (薦枕) to me tonight?" Sŏlmae replied, "What difference would it make if a kisaeng, who becomes Mister Chang's wife and Mister Yi's mistress, were to offer her pillow to a State Councilor who served the Wang clan and now serves the Yi clan?" Kŭngnyŏm, blushing deeply, changed color and excused himself from his seat.

The Six Living Martyrs and the Six Dead Martyrs
After King Tanjong's dethronement, six men – Pak P'aengnyŏn (pen name Chwiamhŏn), Ha Wiji (pen name T'angye), Sŏng Sammun (pen name Maejukhŏn), Yu Ŭngbu (pen name Pyŏngnyang), Yi Kae (pen name Paegokhŏn), and Yu Sŏngwŏn (pen name Nanggwan) – plotted for his restoration but died for their principles, hence they are called the Six Dead Martyrs (死六臣). Six other men – Kim Sisŭp (pen name Maewŏltang), Nam Hyo'on (pen name Ch'ugang), Cho Yŏ (pen name Ŏgye), Wŏn Ho (pen name Kwanran), Yi Ikjŏn (pen name Kyŏngŭn), and Sŏng Tamsu (pen name Mundu) – secluded themselves from the world to uphold their principles, hence they are called the Six Living Martyrs (生六臣). (*The original text has 成聘壽 but this is commonly known as 成聃壽 [Sŏng Tamsu] with pen name 文斗 [Mundu]).

Sukchu Sprouts
Mung bean sprouts are commonly called "Sukchu namul" (叔舟나물). The origin of this term comes from Sin Sukchu. Originally, along with the Six Martyrs, he received the dying command (顧命의 托) of King Munjong and served the young King Tanjong. However, he later assisted King Sejo in usurping the throne. Because his yielding nature and lack of principle were seen as resembling mung bean sprouts (菉豆菜), this nickname was given and eventually became the common name. Initially, when Sejo took the throne and Sukchu attended court, Sukchu's wife believed he would surely die for his principles and resolved to die for her principles as well. Staying at home, she awaited news of her husband's death. But Sukchu returned home in a grand carriage drawn by four horses, full of authority and prestige. His wife, finding this strange, asked for the reason. Sukchu said, "Though the great principle (大節) is important, what could be done when there is someone connected inside (入龍)?" (This was said because Sukchu had connections inside at the time). His wife, angered, spat in his face.

The Three Great Victories of the Imjin War
During the Imjin War [1592-1598], Admiral Yi Sunsin (posthumous title Ch'ungmugong) achieved a great victory over the enemy at Hansan Island; Kwŏn Yul won a great victory at Haengju; and Yi Chŏngam won a great victory at Yŏnan. These are collectively called the Three Great Victories of the Imjin War (壬辰三大捷).

The Three Scholars and the Seven Loyalists
During the Byeongja Horan [Manchu invasion of 1636], the three scholars Hong Ik'an, O Talje, and Yun Chip strongly advocated resisting reconciliation [with the Qing]. They were captured by the Qing state and taken to Shenyang (瀋陽), where they died upholding their principles without yielding. Thus, they are called the Three Scholars of the Byeongja Incident (丙亂三學士). Ch'oe Hyoil, An Kŭksŏng, Hwang Ilho, Ch'a Ch'ungnyang, Ch'a Wŏnch'ŏl, and Ch'a Maeng'yun (*Note: Missing one name for seven, traditionally includes Kim Sang'hŏn's servant Nach'ŏn), seeking to avenge the shame of the Byeongja year, conspired with the Ming state to attack the Qing dynasty. When the plan was exposed, they died for their principles together in prison, hence they are called the Seven Loyalists (七義士). (*The text appears to be missing a name or has an error, as it lists six names for the Seven Loyalists).

The Four Noron Ministers and the Four Soron Ministers
During the literati purges of the Sinch'uk and Imin years [1721-1722] in King Kyŏngjong's reign, the four men who were purged – Kim Ch'angjip, Yi Imyŏng, Yi Kŏnmyŏng, and Cho T'aech'ae – are called the Four Noron Ministers (老論四大臣). The four men who were appointed at that time – Cho T'aegu, Cho T'aeŏk, Yi Kwangjwa, and Yu Ponghwi – are called the Four Soron Ministers (少論四大臣).

The Origin of Sedo (In-law Politics/Power Monopoly)
When King Chŏngjo was the Crown Prince, Hong Inhan, Chŏng Hugyŏm, and others sought to harm him. At that time, palace officials Hong Kugyŏng and Yi Chinhyŏng protected him with utmost effort. Therefore, after King Chŏngjo ascended the throne, remembering their service, he appointed Kugyŏng as the Commander of the Royal Guard (宿衛所大將) and subsequently granted him political power, calling this "Sedo" (世道). This was its beginning.

The Five-Article Treaty and the Seven-Article Treaty
The Eulsa Japan-Korea Protectorate Treaty (乙巳日韓保護條約) consisted of five articles, and the Kyŏngsul Japan-Korea Annexation Treaty (庚戌日韓合倂條約) consisted of seven articles. Therefore, the former is simply called the Five-Article Treaty (五條約), and the latter is called the Seven-Article Treaty (七條約).

The Seven O's and the Five O's

Regarding the Japan-Korea Protectorate Treaty, Minister of State Pak Chesun, Minister of Education Yi Wanyong, Minister of Home Affairs Yi Chiyong, Minister of War Yi Kŭnt'aek, and Minister of Agriculture and Commerce Kwŏn Chunghyŏn consented and affixed their seals, hence they are called the Seven O's (七O). Regarding the Japan-Korea Annexation Treaty, Prime Minister Yi Wanyong, Minister of Home Affairs Pak Chesun, Minister of Finance Ko Yŏnghŭi, Minister of Agriculture and Commerce Cho Chungŭng, and Minister of Education Yi Yongsik agreed and affixed their seals, hence they are called the Five O's (五O). Adding Song Pyŏngjun to this group, they are also called the Six O's (六O). (*Note: "O" (O) is likely a substitution for 賊 [chŏk/zoku], meaning traitor/bandit, thus referring to the "Seven Traitors" and "Five Traitors" of Eulsa and Kyŏngsul respectively. The count for the Eulsa Treaty is usually five, not seven as stated here; the listed names are indeed the commonly cited "Five Eulsa Traitors". The Annexation treaty list has five names, aligning with the "Five O's" label.)

The Three Scoundrels and the Three Evils
In the Sinmyo year [1519] of King Chungjong's reign, Sim Chŏng, Yi Hang, and Kim Kŭkpok held power and harmed loyal and good officials, hence they are called the Three Scoundrels of Sinmyo (辛卯三姦). Also, in the Chŏngyu year [1537], Kim Allo, Hŏ Hang, and Ch'ae Mut'aek held power and repeatedly instigated major purges (大獄), hence they are called the Three Evils of Chŏngyu (丁酉三凶).<57>

**Summary**

This article, titled "Records for Political Reflection," presents a series of historical anecdotes and lists from Korean history, focusing on themes of loyalty, betrayal, political power, and national humiliation. It recounts stories from the early Chosŏn dynasty (T'aejo, Sejo, Tanjong), the Imjin War, the Byeongja Horan (Manchu Invasion), factional struggles (Noron vs. Soron), the rise of "Sedo" politics, and culminates with the ministers involved in the Protectorate (1905) and Annexation (1910) treaties with Japan. The author uses these historical examples, often involving famous figures and events defined by adherence to or betrayal of principles, to implicitly comment on the political landscape and historical memory. From a colonial history perspective, the most revealing part is the final section discussing the Eulsa and Kyŏngsul treaties. The labeling of the Korean ministers involved as "Seven O's" and "Five O's" (likely euphemisms for "Traitors") in a 1926 publication under Japanese rule is significant. It reflects a strong undercurrent of nationalist resentment and the framing of recent history through the lens of collaboration and resistance, drawing parallels with historical instances of betrayal like Sin Sukchu or the factional purges. Historians might find this framing and the specific (though sometimes slightly inaccurate) recounting of these events useful for understanding how historical narratives were constructed and deployed to interpret the colonial present.

**Named Entities**

太祖	태조	T'aejo
雪梅	설매	Sŏlmae
裵克廉	배극렴	Pae Kŭngnyŏm
王氏	왕씨	Wang clan
李氏	이씨	Yi clan
端宗	단종	Tanjong
朴彭年	박팽년	Pak P'aengnyŏn
河緯地	하위지	Ha Wiji
成三問	성삼문	Sŏng Sammun
兪應孚	유응부	Yu Ŭngbu
李塏	이개	Yi Kae
柳誠源	유성원	Yu Sŏngwŏn
死六臣	사육신	Six Dead Martyrs
金時習	김시습	Kim Sisŭp
南孝溫	남효온	Nam Hyo'on
趙旅	조려	Cho Yŏ
元昊	원호	Wŏn Ho
李益專	이익전	Yi Ikjŏn
成聘壽	성빙수	Sŏng Pingsu (commonly 成聃壽 Sŏng Tamsu)
生六臣	생육신	Six Living Martyrs
申叔舟	신숙주	Sin Sukchu
文宗	문종	Munjong
世祖	세조	Sejo
壬辰	임진	Imjin [War]
李舜臣	이순신	Yi Sunsin
閑山島	한산도	Hansan Island
權慄	권율	Kwŏn Yul
幸州	행주	Haengju
李廷馣	이정암	Yi Chŏngam
延安	연안	Yŏnan
丙子胡亂	병자호란	Byeongja Horan (Manchu Invasion of 1636)
洪翼溪	홍익한	Hong Ik'an
吳達濟	오달제	O Talje
尹集	윤집	Yun Chip
淸國	청국	Qing State (China)
瀋陽	심양	Shenyang
三學士	삼학사	Three Scholars
崔孝一	최효일	Ch'oe Hyoil
安克誠	안극성	An Kŭksŏng
黃一皓	황일호	Hwang Ilho
車忠亮	차충량	Ch'a Ch'ungnyang
車元轍	차원철	Ch'a Wŏnch'ŏl
車孟胤	차맹윤	Ch'a Maeng'yun
明國	명국	Ming State (China)
七義士	칠의사	Seven Loyalists
景宗	경종	Kyŏngjong
辛壬士禍	신임사화	Sinch'uk-Imin Literati Purges (1721-1722)
金昌集	김창집	Kim Ch'angjip
李頣命	이이명	Yi Imyŏng
李健命	이건명	Yi Kŏnmyŏng
趙泰采	조태채	Cho T'aech'ae
老論	노론	Noron (Faction)
趙泰考	조태구	Cho T'aegu
趙泰億	조태억	Cho T'aeŏk
李光佐	이광좌	Yi Kwangjwa
柳鳳輝	유봉휘	Yu Ponghwi
少論	소론	Soron (Faction)
正廟	정묘	King Chŏngjo
洪麟漢	홍인한	Hong Inhan
鄭厚謙	정후겸	Chŏng Hugyŏm
洪國榮	홍국영	Hong Kugyŏng
李鎭衡	이진형	Yi Chinhyŏng
乙巳日韓保護條約	을사일한보호조약	Eulsa Japan-Korea Protectorate Treaty (1905)
庚戌日韓合倂條約	경술일한합병조약	Kyŏngsul Japan-Korea Annexation Treaty (1910)
朴齊純	박제순	Pak Chesun
李完用	이완용	Yi Wanyong
李址鎔	이지용	Yi Chiyong
李根澤	이근택	Yi Kŭnt'aek
權重顯	권중현	Kwŏn Chunghyŏn
高永喜	고영희	Ko Yŏnghŭi
趙重應	조중응	Cho Chungŭng
李容植	이용식	Yi Yongsik
宋秉畯	송병준	Song Pyŏngjun
中宗	중종	King Chungjong
沈貞	심정	Sim Chŏng
李沆	이항	Yi Hang
金克福	김극복	Kim Kŭkpok
金安老	김안로	Kim Allo
許沆	허항	Hŏ Hang
蔡無擇	채무택	Ch'ae Mut'aek

**Glossary**

妓生	기생	Female entertainer, similar to geisha
領相	영상	Chief State Councilor (Yeonguijeong)
戱하야	희하여	Teasingly; older form of 희롱하여
薦枕	천침	Offering the pillow (euphemism for sexual relations)
張郞妻李郞婦	장랑처 이랑부	Mister Chang's wife, Mister Yi's mistress (idiom for someone promiscuous or serving many masters)
赧然이	난연이	Blushingly, shamefacedly
廢位	폐위	Dethronement
謀復	모복	To plot for restoration
節死	절사	To die for one's principles/loyalty
世守節	세수절	To maintain principles while living in seclusion/apart from corrupt society
顧命의 托	고명지탁	Entrustment with the dying command (of a ruler)
幼帝	유제	Young emperor/king
佐하야	좌하여	Assisting; older form of 도와서/보좌하여
反正	반정	Overthrow of a ruler and restoration (here used for Sejo's usurpation)
軟柔無節	연유무절	Soft, yielding, and unprincipled
菉豆菜	녹두채	Mung bean sprouts
別名	별명	Nickname
高車駟馬	고거사마	Grand carriage drawn by four horses (symbol of high status)
威勢	위세	Authority and prestige
怪하야	괴하여	Finding strange; older form of 이상하게 여겨
大節	대절	Great principle, highest loyalty
入龍	입룡	Dragon entering (metaphor for having powerful connections/influence inside, possibly referring to Sejo or palace insiders)
唾하얏다	타하였다	Spat; older form of 침뱉었다
斥和	척화	To advocate rejecting reconciliation (with an enemy)
破*하야	패하여 (?)	(Text unclear, likely 破虜되어 'captured by barbarians' or similar) Captured by; older form of 패하여/잡혀서
不屈死節	불굴사절	To die upholding principles without yielding
雪하랴고	설하려고	Seeking to avenge; older form of 설욕하려고
謀伐	모벌	To plot an attack
事가 洩하야	사가 설하여	The matter being exposed; older form of 일이 누설되어
一時潘獄	일시반옥	Together in prison (?) (meaning slightly unclear, possibly 'imprisoned together following the revolt/plot')
士禍	사화	Literati purge
被禍	피화	To suffer disaster/be purged
登用	등용	To be appointed to office
東宮	동궁	Eastern Palace (Crown Prince)
害코자	해코자	Seeking to harm; older form of 해치고자
宮僚	궁료	Palace official
宿衛所大將	숙위소대장	Commander of the Royal Guard
仍히	잉히	Subsequently, thereupon; older form of 이어서
政權	정권	Political power
賦與하고	부여하고	To grant, bestow
世道	세도	"Way of the world"; refers to political power held by specific families/individuals, often through royal marriage (in-law politics)
條約	조약	Treaty
捺印	날인	To affix a seal
參政	참정	Minister of State (equivalent)
學大	학대	Minister of Education (Hakbu Daejin)
內大	내대	Minister of Home Affairs (Naebu Daejin)
軍大	군대	Minister of War (Gunbu Daejin)
農大	농대	Minister of Agriculture & Commerce (Nongsanggongbu Daejin)
總理	총리	Prime Minister
度大	탁대	Minister of Finance (Takjibu Daejin)
贊同	찬동	To agree, consent
用事	용사	To hold power, be influential
忠良	충량	Loyal and good (officials)
大獄	대옥	Major purge/treason case
屢起	누기	To arise repeatedly
-e 

---------------------------


잡지명	개벽 제70호
발행일	1926년 06월 01일
기사제목	政鑑錄
기사형태	논설

政鑑錄
雪梅有香
太祖登國宴에 雪梅라는 妓生이 酒를 行하는데 領相 裵克廉이 戱하야 曰 妓生은 元來 張三李四가 다 掅夫이닛가. 今夜에 나에게 薦枕함이 엇더하냐고 하엿더니 雪梅가 대하야 曰 王氏를 事하다가 李氏를 事하는 政丞에게 張郞妻李郞婦되는 妓生이 薦枕한들 무슨 상관이 잇겟느냐 하니 克廉이 赧然이 色을 변하고 席을 피하얏다.

生六臣과 死六臣
端宗 廢位 後에 醉琴軒 朴彭年, 丹溪 河緯地, 梅竹軒 成三問, 碧梁 兪應孚 白玉軒 李塏, 琅玕 柳誠源六人이 謀復하다가 節死함으로 死六臣이라 稱하고 梅月堂 金時習 秋江 南孝溫 漁溪 趙旅 觀瀾 元昊, 耕隱 李益專, 文斗 成聘壽六人은 *世守節함으로 生六臣이라 稱한다.

叔舟나물
