**Header Section:**
Magazine Title: 개벽 신간 제2호
Publication Date: 1934년 12월 01일
Article Title: 百人百話 (One Hundred People, One Hundred Stories)
Article Type: 잡저 (Miscellaneous writing/column)

**Body Text Translation:**

One Hundred People, One Hundred Stories

Among elderly female figures, there is likely no one else with as fine a bearing, possessing a rosy complexion despite white hair (紅顔白髮), as Madam Sin Albet’ŭ. However, her destiny (八字) has not been a particularly happy one. Having become a [...] (宅) early in her youth, while raising her two pigeon-like children (a son and daughter) and sending them to [...], her beloved daughter unfortunately died young in middle age ([...]年), and her only son also became disabled, unable to go outside the gate. The Kyŏngsŏng Women's Academy, which she operated as a student [...] (學生*業), also closed due to financial difficulties. Currently, she lives out a lonely latter life in sorrow at the end of Kye-dong. You fortune-tellers (관상쟁이) who are popping up frequently these days, take a look at her face! Where does it look unfortunate?

There is hardly anyone in the world who doesn't know Kim Mi[...]sa (金美*士氏), but few people likely know that her original surname is Ch’a (車氏). Although the world knows Yun Paengnam (尹白南氏), few people probably know his real name is Yun Kyo-chung (尹敎重氏).

Many people know the names of Yu [...] (兪**) and Im Hyo-jŏng (林孝貞), but few know who their husbands are. If you look into it, Ms. Yu’s husband is Yi [...]yŏng (李*永, also known as [...]), who went to America (米洲) years ago, and [...] ([*氏])’s husband is Ch'oe [...]hwan (崔*煥氏), a reporter for the Social Affairs Department of the Tonga Ilbo (東亞日報). Those two are fortunate men, like husbands of [...] women (** 女性).

It is said that during his three-year mourning period (복상 3년), former Chosŏn Ilbo (朝鮮日報) president [...]u ([...]雨氏) faced no fewer than 38 payment orders (지불명령) related to company [...] (社*) debts from before, but recently those matters have mostly been settled, and the three-year mourning period has also finished. Truly, three years of mourning, three years of mental toil (心*).

Han [...] ([韓**氏]), due to working for the Chosŏn Ilbo for many years (다년간), developed an illness ([...]) and spent several years recuperating ([...]***) at [...]an[...]sa ([...]安[...]寺). With the autumn wind, his illness also healed (病亦*), and he reportedly entered the capital (入城) the other day to visit friends he hadn't seen for a long time. The autumn scenery of the capital (長安秋色) likely brings many emotions.

If one were to refer to Ham Sang-hun (咸尙勳氏) simply as Ham-ssi (咸氏), in the style of the Kyemyŏng Club (계명구락부), he could be considered a nephew-level relative (족히 - 侄) to anyone. If one were to attach the respectful title "Master" (子字) to Son Chin (孫晉 氏), like Confucius, Mencius, and Zhu Xi (孔孟 朱者), everyone would call him grandson (손자). However, the preceding words are merely a jest ([...]耳), so please do not be angered (幸勿怒之).

When Hŏ Hŏn (허헌씨) was a lawyer in the past, he put up a sign reading "Lawyer Hŏ Hŏn Law Office." A friend who knew only a smattering of legal terminology (법률술어당박) passed by, saw it, and said, "Since he's a lawyer who even takes on Hŏ Hŏn [...] (허헌*까지 마튼), he must be a considerable lawyer among lawyers." Hearing this, it sounds plausible. However, since his release from prison, he has taken down his lawyer sign and is said to have gone to the Yŏnghŭng region (永興地方) recently to specialize in gold mining (金鑛專業). May I ask, how is the Gold [...] Constitution (金*憲法)?

Speaking of lawyer signs, the sign of the late Hwang Ch'ŏl-su (黃轍秀氏) was truly a masterpiece, the first of its kind since the beginning of law (有法以來). It read: "Posŏng Professional School (보성전문학교) Honors ([*等]) Graduate, Top Scorer in the Bar Examination (변호사시험 장원급제), Former Judge of the Provincial Court (전지방재판소 판사), Current Lawyer Hwang Ch'ŏl-su Law Office," etcetera! Readers, what do you think? Truly grandly ostentatious, isn't it?

While on the topic of lawyers, let's add one more thing. During his school days, friends called the rookie lawyer Ku Cha[...] (具滋*氏) "Ku Pyŏngsa's son" (구병사 자제). At first glance, one might easily think he was the son of a splendid military commander named Ku Pyŏngsa from the old days, but it was actually an insult meaning "a child resembling a dog-rice-cake" (개떡가튼 자제 - 狗餠似子弟).

Ch'oe Sŭng-man (崔承萬氏), who newly joined Sin Tonga Sa (新東亞社), is said to have four daughters. There's a saying, "Thieves do not pass through the gate of a house with three daughters" (盜不過三女之門). Since he has four daughters, it seems he might be exempted from [...] ([***]) at the P'irun Tonghoe (弼雲洞會).

Speaking of four daughters, [...]wŏl (*月) Pak Yŏng-hŭi (朴英熙氏) also reportedly has four daughters. Wŏl (月 - moon) has a female image (女像); whether he took the pen name [...]wŏl (*月) because it was his destiny ([...]) to have many daughters is unknown (不知).

Yun Ch'i-ho (尹致昊氏) is famous for not readily meeting anyone at his home, but everyone says it causes much inconvenience (不*) in social interactions because he absolutely never answers the phone himself. If that's the case, his phone could be called a private-use, one-way telephone (자가용 片道電話).

A bronze statue (銅像) of the late Kim Ki-jung (故金琪中氏) has been newly erected at Chungang High School (中央高等學校). The total construction cost is said to be 50 won. The statue's distinctive features are the Korean attire (朝鮮服) with a traditional headband and hat (綱巾과 관). Two other striking sights (異彩) were Kim Hwal-lan (金活蘭) donating something, and the master of ceremonies, old Yun Ch'i-ho (尹致昊老人), wearing a crimson traditional jacket (唐紅저고리). (People who weren't paying attention didn't see this.)

Kwŏn Tŏk-kyu (權悳奎氏), famous for his fierce eyes (險目), once went to Hwimun High School (徽文高普), saw the principal's statue, and composed a praise saying: "His face is black, so his heart can be known (其面이 黑하니 其心을 可知요); His [...] is large, so [...] is called large (其*이 大하니 足大曰O이라)." It's unknown what kind of praise he will compose for Kim Ki-jung's bronze statue this time, but perhaps knowing beforehand that there wouldn't even be a cup of wine at the unveiling ceremony (除幕式), he came already half-drunk (반취) from elsewhere. Looking at the statue, he remarked, "Mun Sŏk-o (文錫五군 - the sculptor) made it quite well, but Kim Sŏng-su's (金性洙氏) second [...] ([...]제이****) is ample," causing those nearby to burst into laughter. <83>
<82-83>

**Summary**

This article, "One Hundred People, One Hundred Stories," presents a series of short, gossipy anecdotes about various prominent figures in Korean society during the mid-1930s. It touches upon personal misfortunes (Sin Albet'ŭ), hidden identities or less-known facts (Kim Mi[...]sa/Ch'a, Yun Paengnam/Yun Kyo-chung), marital connections (Yu [...], Im Hyo-jŏng), financial troubles and recovery ([...]u, Hŏ Hŏn), health issues (Han [...]), humorous name puns and observations (Ham Sang-hun, Son Chin, Hŏ Hŏn, Ku Cha[...]), family details (Ch'oe Sŭng-man, Pak Yŏng-hŭi), personal eccentricities (Yun Ch'i-ho), and events like a statue unveiling (Kim Ki-jung), often with witty or critical commentary.

For historians, the article offers glimpses into the lives, social circles, and perceived reputations of Korean elites (intellectuals, journalists, lawyers, educators, businessmen) under Japanese colonial rule. It reflects contemporary social commentary, humor (including puns based on Hanja and Korean names), attitudes towards women, mourning customs, financial struggles, and the cultural landscape, including references to specific institutions like newspapers (Chosŏn Ilbo, Tonga Ilbo), schools (Kyŏngsŏng Women's Academy, Posŏng, Chungang, Hwimun), and social clubs (Kyemyŏng Club). The casual mention of legal troubles, career changes (like Hŏ Hŏn turning to gold mining), and personal health provides texture to the experiences of notable individuals during this period.

**Named Entities**

申알벳트	신알버트	Sin Albet'ŭ
京城女子學園	경성여자학원	Kyŏngsŏng Yŏja Hagwŏn
桂洞	계동	Kye-dong
金美*士	김미[...]사	Kim Mi[...]sa
車氏	차씨	Ch'a-ssi
尹白南	윤백남	Yun Paengnam
尹敎重	윤교중	Yun Kyo-chung
兪**	유[...]	Yu [...]
林孝貞	임효정	Im Hyo-jŏng
米洲	미주	Miju (America)
李*永	이[...]영	Yi [...]yŏng
[...]氏	[...]씨	[...]ssi
東亞日報	동아일보	Tonga Ilbo
崔*煥	최[...]환	Ch'oe [...]hwan
朝鮮日報	조선일보	Chosŏn Ilbo
[...]雨	[...]우	[...]u
韓**	한[...]	Han [...]
[...]安*寺	[...]안[...]사	[...]an[...]sa
長安	장안	Changan (Seoul)
咸尙勳	함상훈	Ham Sang-hun
咸氏	함씨	Ham-ssi
啓明俱樂部	계명구락부	Kyemyŏng Kurakpu
孫晉	손진	Son Chin
孔孟 朱者	공맹 주자	Kongmaeng Chuja (Confucius, Mencius, Zhu Xi)
허헌	허헌	Hŏ Hŏn
永興地方	영흥지방	Yŏnghŭng Chibang
黃轍秀	황철수	Hwang Ch'ŏl-su
普成專門學校	보성전문학교	Posŏng Chŏnmun Hakkyo
地方裁判所	지방재판소	Chibang Chaep'anso
具滋*	구자[...]	Ku Cha[...]
新東亞社	신동아사	Sin Tonga Sa
崔承萬	최승만	Ch'oe Sŭng-man
弼雲洞會	필운동회	P'irun Tonghoe
朴英熙	박영희	Pak Yŏng-hŭi
尹致昊	윤치호	Yun Ch'i-ho
金琪中	김기중	Kim Ki-jung
中央高等普通學校	중앙고등보통학교	Chungang Kodŭng Pot'ong Hakkyo
金活蘭	김활란	Kim Hwal-lan
權悳奎	권덕규	Kwŏn Tŏk-kyu
徽文高普	휘문고보	Hwimun Kobo (Hwimun Kodŭng Pot'ong Hakkyo)
文錫五	문석오	Mun Sŏk-o
金性洙	김성수	Kim Sŏng-su

**Glossary**

여류	여류	Female (used for accomplished women, often artists or writers)
노신사	노신사	Old gentleman; here used metaphorically for a respected elderly woman.
紅顔白髮	홍안백발	Rosy face and white hair (signifying healthy old age)
신수 조키	신수 좋기	To have a fine appearance/bearing (older spelling of 좋기)
八字	팔자	Fate, destiny (literally 'eight characters' from fortune-telling)
엇슬 것이다	없을 것이다	Will likely not exist (older spelling of 없을)
일즉이	일찍이	Early (adverb)
비닭이	비둘기	Pigeon (older spelling/pronunciation)
男妹	남매	Brother(s) and sister(s)
早死	조사	To die young/prematurely
불구의 몸	불구의 몸	Disabled body
문박	문밖	Outside the gate (older spelling of 문밖)
지낸다	지냅니다	Spends time, lives (polite ending different from modern standard)
쏘다저 나오는	쏟아져 나오는	Pouring out, appearing in great numbers (older spelling/form)
관상쟁이	관상쟁이	Physiognomist, face-reader (often derogatory)
보와라	보아라	Look! (imperative, older form)
어듸가	어디가	Where (older spelling)
업지만은	없지만은	Although there isn't/aren't (older spelling)
만치만은	많지만은	Although there are many (older spelling)
갓다 온	갔다 온	Who went and came back
닷첫다	다 찼다 / 마쳤다	Finished, completed (older form)
가위	가히	Indeed, truly (adverb)
다년간	다년간	For many years
생겨서	생겨서	Arose, occurred
요즘은	요즘은	Nowadays, recently
맛나지	만나지	Meet (older spelling)
하엿더란다	하였다더라	It is said that (he/she) did (reported past action, older form)
感槪	감개	Deep emotion, sentiment
족히(侄)	조카	Nephew (Hanja 侄 used for clarification)
子字	자자	Title using "子" (Ja, Master), implying scholarly respect
존작	존작	Respectful title
[...]耳니	[...]이니	Because it is [...] (likely 戲言耳니 - because it is merely a joke)
幸勿怒之	행물노지	Please do not be angry (Classical Chinese phrase)
부첫더니	붙였더니	Having attached/put up (a sign)
지내가다가	지나가다가	While passing by
마튼	맡은	Who takes on, is in charge of (older spelling)
집어 치고	집어치우고	To give up, quit, put away
낫스니 말이지	났으니 말이지	Speaking of which (since the topic came up - older spelling of 났으니)
작고한	작고한	Deceased, the late
有法以來	유법이래	Since the beginning of law, ever since law existed
굉장야단스럽지요	굉장야단스럽지요	Isn't it grandly ostentatious/showy?
자제	자제	Child, offspring (often of respectable families)
개떡가튼	개떡 같은	Like a dog-rice-cake (coarse rice cake), used figuratively as an insult (older spelling of 같은)
밧는	받는	Receives, answers (phone) (older spelling)
업서서	없어서	Because there isn't (older spelling)
可謂	가위	Can be called, so-called
銅像	동상	Bronze statue
綱巾	강건	Traditional Korean headband for scholars
異彩	이채	Unusual feature, striking point
險目	험목	Fierce-looking eyes, stern gaze
除幕式	제막식	Unveiling ceremony
반취	반취	Half-drunk, tipsy
넉넉하군	넉넉하군	Is ample, sufficient (exclamatory)
엽헤	옆의	Beside, next to (older spelling of 옆의)


---------------------------


잡지명	개벽 신간 제2호
발행일	1934년 12월 01일
기사제목	百人百話
기사형태	잡저

百人百話
여류 노신사 중에 紅顔白髮로 신수 조키는 申알벳트氏 만한 분이 별고 엇슬 것이다. 그러나 그의 八字는 그리 행복스러운 분이 못된다. 소년 시대에 일즉이 *宅이 되고 비닭이 가튼 두 男妹를 길너서 *을 부치던 중 年*에 그의 사랑하던 따님이 불행히 早死하고 독자나마 또한 불구의 몸이 되야 문박 출입을 못하며 그의 학생*業으로 **하던 경성여자학원도 경제곤란으로 또한 폐지되고 현재에는 桂洞 막바지에서 고적한 여생을 비탄하고 지낸다. 요새에 흔이 쏘다저 나오는 관상쟁이들아 그의 관상을 한 번 보와라 어듸가 해뵈는가

金美*士氏라던 세상에서 별로 모를 사람이 업지만은 그의 본성이 車氏인 줄은 아는 사람이 적을 것이요. 尹白南씨라면 세상 사람이 알*지 만은 그의 본명 尹敎重씨는 역시 아는 사람이 적을 것이다.

兪**, 林孝貞 두 분의 이름은 아는 이가 만치만은 그들의 남편이 누구인 것은 역시 아는 분이 적다. 알고보면 兪씨의 남편은 年前에 米洲에 갓다 온 李*永(일명 **)이요 *氏의 남편은 東亞日報 社會部 記者 崔*煥氏다. 그 두 분은 ** 女性의 男便가튼 팔자 조흔 남성.

전 조선일보사장 **雨氏는 복상 3년중 前日在社* 책무관계로 지불명령을 자그만치 38회나 당하엿는데 요새는 그 사건이 대개 정리되고 3년 상도 닷첫다 한다. 가위 복상 三年에 心*3년

韓**씨는 다년간 朝鮮日報에 **한 관계로 **이 생겨서 수삼년동안 ***安*寺에서 ***하더니 추풍에 病亦*로 요즘은 건강이 회복되야 오래동안 맛나지 못한 친구들을 방문하랴고 日前 入城하엿더란다. 長安秋色이 感槪多할 듯.

咸尙勳氏를 계명구락부식으로 그저 咸氏라 한다면. 누구에게나 족히(侄)벌이 되겟고 孫晉 氏를 孔孟 朱者와 가티 子字존작을 부친다면 누구나 손자라 부를 것이다. 그러나 前言은 *耳니 幸勿怒之.

