Magazine Title	개벽 제38호
Publication Date	1923년 08월 01일
Article Title	井邑의 車天子를 訪問하고 (Visiting Cha Ch'ŏnja of Chŏngŭp)
Author	晋州 飛鳳山人
Article Type	소식 (News/Report)

井邑의 車天子를 訪問하고
						晋州 飛鳳山人

It was around mid-April this year that I went to Chŏngŭp to see Mr. Cha. The motivation for this was that in early April, a believer of Poch'ŏn'gyo in Chinju asked me about joining the same religion. I retorted, asking what one does upon joining. Without saying whether it was bitter or sweet, he simply said that if I sought out No Chwadae, the head of the Kyŏngnam Chinjŏngwŏn of Poch'ŏn'gyo, and asked, I would understand in detail. Hungry for faith and full of curiosity, I immediately went to find Mr. No. First, I asked Mr. No about the purpose of Poch'ŏn'gyo and its future work. Mr. No said that the purpose of Poch'ŏn'gyo is nothing special, just *Ijae Kunggung* (利在弓弓 - profit lies in the bow-bow symbol), and that while there is much work to be done in the future, currently, although there is much money and many people, their knowledge is generally dim, so no project can be undertaken. Therefore, if there were just a suitable person who could manage the religious affairs well, not only would their own livelihood be abundant, but any kind of enterprise could be done well, so joining was good. He repeated this like an enticement with various absurd words. Just listening to Mr. No's words, I saw through Poch'ŏn'gyo as nothing more than a lump of superstition, with nothing else worth investigating. However, having grown up in this society originally thirsty for money and sick with money, my ears perked up at the mention of lots of money. Also, no matter how much the world regards titles like Son of Heaven (天子) and Emperor (皇帝) as unholy and outdated, I thought it wouldn't hurt to see Mr. Cha Kyŏngsŏk, a mere scholar without a scrap of land to his name who acts as a self-proclaimed Son of Heaven causing a stir throughout the world, just once to gauge his character. Thus, I told Mr. No again that I would like to see Mr. Cha once and hear from him directly. Mr. No, perhaps pondering something, hesitated for a moment and then said that seeing Mr. Cha was indeed seeing him, but without an introducer, no one could see him. To see this false Son of Heaven required more effort than seeing a real one, and through repeated requests left and right, I barely managed to obtain a letter of introduction from someone. This letter of introduction was addressed to a certain Mr. C, an executive at the Poch'ŏn'gyo headquarters in Chŏngŭp. Having obtained this letter, I rejoiced as if a village scholar of old had received a request letter <37> from a powerful prime minister. And so, I immediately prepared my travel gear and headed for Chŏngŭp. This was the motivation for my trip to Chŏngŭp. Upon arriving in Chŏngŭp County, as if I had received an invitation from Mr. Cha himself, I first sought out Taehŭngni in Ibammyŏn, the location of Mr. Cha's main camp. The inn I settled in was about 8 *chŏng* [approx. 870 meters] away from Mr. Cha's house. If Mr. Cha were indeed a true Son of Heaven, my inn would be near his palace grounds. The landscape of that village was bright and beautiful, perhaps hinting at an aura of a false Son of Heaven, and the place names were also enough to mislead the ignorant populace. It is also curious that Mr. Cha, not being in some other region, lies hidden solemnly in this area, deceiving the world. In front of Taehŭngdong stands Cheyŏngbong (Emperor's Camp Peak), and to its west lies Kullyŏnggyo (Military Command Bridge). Furthermore, the upper village of Taehŭngdong is called Wangsimni (King Seeking Village, current name Tan'gok), the nearby plain is called Haedo (Sea Island), the village Kyerongch'on (鷄龍村 - Cock-Dragon Village), the stream Chŏnghaech'ŏn (鄭海川), a peak Kuksabong (國師峯 - National Preceptor Peak, where Mr. Cha's mother's tomb, called Naerŭng (來陵), is located), and a mountain Ch'ŏn'gwansan (天冠山 - Heavenly Crown Mountain). These names were not made by Mr. Cha but by someone in ancient times, and Mr. Cha utilizes these place names to mislead people. He attaches the words from the *Chŏnggamnok* (鄭堪錄), which state that a divine man will emerge from Haedo Island (自海島中出), to this Haedo, and compares everything else like Kyerong (鷄龍) and so forth to the *Chŏnggamnok* to deceive the world and delude the people (惑世誣民). It is also said that the reason Poch'ŏn'gyo members do not cut their hair is because of Ch'ŏn'gwansan. Carrying the letter of introduction, cherished like a precious jewel in my bosom, I went to the Poch'ŏn'gyo headquarters and asked for Mr. C, but was told he happened to be away somewhere. I was utterly disappointed. However, having come such a long distance, I resolved to meet Mr. Cha somehow. So, I went straight to Mr. Cha's house and directly requested an audience. The several people there were extremely suspicious of me and absolutely refused the meeting. Left with no choice, I returned to my inn. The next day, I went again to the Poch'ŏn'gyo headquarters, explained my reason for coming and tried to clear up various misunderstandings, sometimes pleading, sometimes threatening. But I was refused again. While going back and forth like this for several days, I happened to meet a Mr. K among the believers with whom I had an acquaintance. With his introduction, I was finally able to meet Mr. Cha on the fifth day. I saw Mr. Cha late at night on April 20th. A true Son of Heaven settles all affairs in the morning, but perhaps because he is a false Son of Heaven, he meets people late at night. After 12 o'clock that night, my acquaintance Mr. K came to my inn specifically to introduce me.

Having eagerly desired a meeting with Cha Ch'ŏnja for days, hoping for some development, I prepared for the meeting upon hearing Mr. K's words, doing something my conscience did not permit. That is, I put a fake topknot on my shaved head, borrowed a *mang'gŏn* (headband) and *kat* (traditional hat), and followed Mr. K. (Otherwise, the meeting would not be allowed.) The night was dim and human traces <38> were quiet. After walking for a while, there was a neat thatched house of about 10 *kan* [bays], and next to it stood a large tile-roofed house. The thatched house was said to be Mr. Cha's meditation room (修道室), and the tile-roofed house the holy sanctuary (聖殿). Mr. K led me to the place called the holy sanctuary. The main gate of the sanctuary was tightly shut, and normally no one was allowed in or out. The person guiding me placed a ladder against the wall and had me climb over. Not knowing what was going on, I crawled clumsily over the wall. Once over the wall, there was a wide courtyard of about several dozen *p'yŏng* [1 p'yŏng ≈ 3.3m²], and above the courtyard was the main hall of the sanctuary. On the platform (堂上), three stone pedestals were arranged (the so-called Jade Emperor God Statues - 玉皇上帝像), yellow candles shone brilliantly on the left and right, and below the platform (堂下), two men of robust build stood guard (the so-called Guardian Strongmen - 保護力士). Feeling dazed as if I had gone to the underworld (閻羅國) or the dragon palace (龍宮), I stood blankly. After about 10 minutes, a man came out to the main hall. He was about 6 *ch'ŏk* [approx. 180cm] tall, with a large build. His face was oval-shaped, slightly earth-toned yet bright, clear, and handsome. His nose tip was broad and thick (Poch'ŏn'gyo members call it a dragon nose - 龍鼻), and his beard was sparse like a leopard's (豹髥) (Poch'ŏn'gyo members call it a dragon beard - 龍髥). He looked to be around his 40s (44 this year). He wore a *t'ongch'ŏn'gwan* (通天冠 - heavenly communication crown) on his head and was dressed purely in Korean-made clothes. He was, of course, the protagonist I sought to see, Mr. Cha. Though he might deceive others as rumored, he indeed appeared to possess dignity. Mencius, upon seeing King Hsiang of Liang (梁襄王), a true ruler, said, "Gazing at him, he does not resemble a ruler; approaching him, one sees nothing fearsome." But in my view, even the false Son of Heaven, Mr. Cha, "Gazing at him, he perhaps resembles a Son of Heaven; approaching him, one still sees something fearsome." Just as even a chicken might appear as a phoenix if many people call it one, perhaps Mr. Cha, even if not an extraordinary figure, appeared so because many people revered him. As Mr. Cha came to the main hall, everyone bowed deeply in respect. I also followed suit and performed the bowing ceremony (拜禮). Mr. Cha remained silent for a while, then in a subdued tone, asked me to state my reason for coming. Since I was originally more interested in politics than religion and viewed Mr. Cha not as a religious figure but a political one, I did not ask about the truth of Poch'ŏn'gyo but first brought up current affairs. I asked Mr. Cha, "Currently, the hearts of the people in Chosŏn are extremely confused; how can they be unified?" Mr. Cha paused for a moment, then said, "The tide of the world is just like that, so there's no need to worry much. To unify the people's hearts, it cannot be done without religion, but among religions, it shouldn't become a tool of the state like Christianity." I then asked, "When will Chosŏn's problems be resolved?" Mr. Cha replied, "Chosŏn's problems will be resolved easily, and the time is not far off." I asked again, "By what method will they be resolved?" Mr. Cha gave no answer<39>. So I asked further, "In the future, when Chosŏn becomes [censored], what form of government would be best?" Mr. Cha seemed to ponder something, then said, "That should be decided by observing the general sentiment of the people at that time." Feeling it awkward to ask too many questions, I finally asked, "Poch'ŏn'gyo believers sell off even their household goods and dissipate their family fortunes; is this your order, Teacher?"

Mr. Cha said, "Wealth given by Heaven, if used for Heaven's work, is of no consequence." He then continued unprompted, saying it was strange that people criticized Poch'ŏn'gyo members for growing their hair long but did not criticize Christians for mindlessly shaving their heads (削髮). He sat silently for a moment, then added that necessary words couldn't all be spoken at once, so let's find another opportunity later. He thanked me for coming from afar and said that though humble, there was food and drink, so I should eat with the others. Then, without another word, he went inside. I was about to ask something else but, having nothing more to do, offered thanks and prepared to leave my seat when someone asked me to wait a little longer, detaining me. Like a maiden visiting a temple, I stayed as told. Shortly after, a table with drinks (酒案床) was brought out; the utensils were all silver, and the food was magnificently prepared. As I received the table and sat down, a woman dressed similarly to a court lady (女官服色) brought more alcohol, saying, "This is what Teacher Cha personally asked to be served to the guest," and encouraged me to drink. Feeling extremely grateful, I received it well and drank. After chatting about this and that with the various people there, as the night deepened, I stood up, bid farewell, and returned to the inn. The clock had already struck 2:00 AM.

The above is a record of the facts of my visit with Mr. Cha. Finally, I wish to state my impressions from visiting Mr. Cha and also offer a word of advice regarding him. People generally regard Mr. Cha as a mere superstition monger and an uneducated person who only lures the ignorant masses to defraud them of money. However, in my view, he is not so ignorant. Although he may lack knowledge of the current era, he possesses a considerable grounding in the knowledge of the old era. His stern demeanor and solemn speech are enough to impress people. He is not just a believer in superstitions; he has considerable insight. As it is said, "Where virtue resides, people gather" (人之所歸는 德之所在라). Seeing tens of thousands of people, however foolish they may seem, swayed by his every gesture, he is not a person to be regarded lightly. However, merely lacking knowledge of the times, he frequently employs the means and methods of old-style heroes and seems constantly filled with the ambition of an old-style hero, dreaming of becoming an emperor himself. The title Cha Ch'ŏnja (車天子) was definitely not self-proclaimed but bestowed by ignorant believers and mocking outsiders. Yet, observing his various actions, one can infer that his ambition to become an emperor fills his <40> heart. Defrauding ignorant people of their money is not Mr. Cha's crime, but that of the various strangely appointed figures under him, the so-called *pangju* (坊主 - district leaders) and others. They fail to properly convey Mr. Cha's words to guide the believers righteously, instead luring them with ignorant and absurd talk (迷言妄說) to extort money. It seems they don't use much of it for the church but merely seek their own immediate comfort. It's like big fish eating medium fish, and medium fish eating small fish; if there's any excuse, they unscrupulously take the believers' money. There's even a recent rumor that a certain executive of the religion fled with a large sum of money; if this is true, it would be the work of such types. I hope Mr. Cha quickly sheds his old-style shell and thoroughly modernizes himself according to the times. I hope he stops dreaming of becoming an ancient emperor or hero and instead becomes a figure of the times that the public demands. Furthermore, I hope he does not settle for complacency with the current large number of disciples and accumulated funds, but remains faithful to his convictions with the thorough determination of "It does not concern me" (我不關焉), even if he faces a situation where he loses those disciples and that influence overnight. Currently, general society often attacks and criticizes Mr. Cha. However, the criticism and attacks lack substance regarding the core reality, focusing only on the periphery. I don't want to ask Mr. Cha why he doesn't engage in cultural enterprises or educational facilities. I just want to advise him to thoroughly transform himself according to the new era and new principles and undertake pioneering work. It is said that a person's deeds are judged only after the coffin lid is closed (盖棺), but Mr. Cha's character can be judged without waiting for the coffin lid, just by observing his future activities. In any case, Mr. Cha is a strange figure (怪人物). His presence on the quiet peninsula is also something worthy of attention. <41>

**Summary**

The author, Pibong Sanin from Chinju, recounts his visit to Cha Kyŏngsŏk (Cha Ch'ŏnja), the leader of the Poch'ŏn'gyo religious movement in Chŏngŭp in April 1923. Driven by curiosity and rumors of the group's wealth, the author navigates bureaucratic hurdles and secrecy, eventually meeting Cha late at night after adopting traditional attire. He finds Cha imposing and dignified, despite viewing him as a "false Son of Heaven" leveraging old place names and prophecies (*Chŏnggamnok*) to attract followers. Their conversation touches on Korean unification, the resolution of Chosŏn's problems (which Cha believes is imminent), future governance, and the controversial fundraising practices of Poch'ŏn'gyo. The author concludes that Cha, while possessing traditional knowledge and charisma, is anachronistic, harbors imperial ambitions, and should modernize. He blames Cha's subordinates for exploiting followers financially and urges Cha to embrace "new era, new principles" rather than old heroic ideals.

Historically, this article offers a valuable firsthand account of Poch'ŏn'gyo, a significant new religious movement in colonial Korea, and its controversial leader Cha Kyŏngsŏk. It highlights the blend of traditional beliefs (prophecies, geomancy, Son of Heaven concept) with contemporary anxieties (national unification, future governance) during a period of intense social and political turmoil under Japanese rule. The description of the movement's internal hierarchy, secrecy, initiation-like meeting process, and the accusations of financial exploitation by lower-level leaders provide insights into the dynamics and criticisms surrounding such groups. The author's perspective reflects the tension between tradition and modernity among Korean intellectuals of the time.

**Named Entities**

晋州	진주	Chinju
普天敎	보천교	Poch'ŏn'gyo
慶南	경남	Kyŏngnam
眞正院	진정원	Chinjŏngwŏn
盧左大	노좌대	No Chwadae
車京石	차경석	Cha Kyŏngsŏk
井邑	정읍	Chŏngŭp
C氏	씨씨	Mr. C
笠巖面	입암면	Ibammyŏn
大興里	대흥리	Taehŭngni
帝營峯	제영봉	Cheyŏngbong
軍令橋	군령교	Kullyŏnggyo
王尋里	왕심리	Wangsimni
丹谷	단곡	Tan'gok
海島	해도	Haedo
鷄龍村	계룡촌	Kyerongch'on
鄭海川	정해천	Chŏnghaech'ŏn
國師峯	국사봉	Kuksabong
來陵	내릉	Naerŭng
天冠山	천관산	Ch'ŏn'gwansan
鄭堪錄	정감록	Chŏnggamnok
K氏	케이씨	Mr. K
朝鮮	조선	Chosŏn
梁襄王	양양왕	King Hsiang of Liang
孟子	맹자	Mencius

**Glossary**

개벽	개벽	Beginning of the world; creation; refers to the magazine title 'Kaebyŏk'.
天子	천자	Son of Heaven; Emperor. Used here for Cha Kyŏngsŏk.
訪問	방문	Visit.
動機	동기	Motive; motivation.
信者	신자	Believer; follower (of a religion).
宗旨	종지	Principle; creed; doctrine.
朦昧	몽매	Ignorant; unenlightened. Older usage.
裕足	유족	Affluent; well-off.
勿論	물론	Of course; needless to say. Older spelling.
勸誘	권유	Inducement; persuasion; solicitation.
迷信	미신	Superstition.
看破	간파	See through; penetrate (a disguise, deceit).
白面書生	백면서생	Pale-faced scholar; inexperienced young scholar.
行世	행세	Posing as; acting as.
紹介狀	소개장	Letter of introduction.
本部	본부	Headquarters.
幹部	간부	Executive; cadre; leading member.
請片紙	청편지	Request letter/note (older term).
行具	행구	Travel preparations; luggage. Older term.
本營地	본영지	Main camp; base.
旅舘	여관	Inn; lodging. Older spelling of 여관.
宮域	궁역	Palace grounds.
明麗	명려	Bright and beautiful (landscape).
欺瞞	기만	Deception; fraud.
伏在	복재	Lying hidden; concealed.
批準	비준	Compare; collate; check against. Here means interpreting events according to prophecy.
惑世誣民	혹세무민	Deceiving the world and deluding the people.
깍는 것	깎는 것	Cutting (hair). Older spelling 깍는.
懷中	회중	Inside one's bosom; pocket.
不遠千里	불원천리	Not considering a thousand *li* far; making a long journey.
翊日	익일	The next day. Sino-Korean term.
面分	면분	Acquaintance.
深夜	심야	Late night; dead of night.
裁決	재결	Decision; ruling; judgment.
假作	가작	Fake; counterfeit. Older term.
網巾	망건	Traditional Korean headband worn under a *kat*.
갓	갓	Traditional Korean hat, typically worn by men of status.
草家	초가	Thatched house.
瓦家	와가	Tile-roofed house.
修道室	수도실	Meditation room; room for spiritual practice.
聖殿	성전	Holy sanctuary; temple.
侍立	시립	Stand in attendance.
保護力士	보호력사	Guardian strongmen; protectors.
閻羅國	염라국	Kingdom of Yama (Buddhist/folkloric king of hell); the underworld.
龍宮	용궁	Dragon Palace (underwater palace in folklore).
體格	체격	Build; physique.
橢圓形	타원형	Oval shape.
淸秀	청수	Clear and handsome; refined beauty.
鼻頭	비두	Tip of the nose.
廣厚	광후	Broad and thick.
龍鼻	용비	Dragon nose (term used by followers).
鬚髥	수염	Beard and mustache.
鬆踈	송소	Sparse; thin.
豹髥	표염	Leopard's beard (describing sparseness).
龍髥	용염	Dragon beard (term used by followers).
通天冠	통천관	Heavenly communication crown (type of ceremonial hat).
拜禮	배례	Bowing ceremony; obeisance.
時局問題	시국문제	Current affairs issue.
世運	세운	Turn of fortune; tide of the world.
利用物	이용물	Object of utility; tool.
政軆	정체	Form of government. Older spelling of 정체.
什物	십물	Household effects; furniture.
蕩敗	탕패	Dissipate; squander (fortune).
削髮	삭발	Shaving the head (often associated with monks, but here used for Christians).
怪異	괴이	Strange; bizarre;怪異.
黙然	묵연	Silently. Older spelling of 묵연.
酒肴	주효	Alcohol and side dishes; refreshments.
酒案床	주안상	Drinking table.
器皿	기명	Utensils; tableware.
宏壯	굉장	Magnificent; grand.
女官服色	여관복색	Attire similar to a court lady's.
所感	소감	Impression; thoughts; feelings.
詐取	사취	Defraud; obtain by fraud; swindle.
素養	소양	Cultivation; accomplishment; grounding (in knowledge).
嚴格	엄격	Strict; stern.
鄭重	정중	Serious; solemn; respectful.
識見	식견	Knowledge and insight; discernment.
一擧手一擧足	일거수일거족	Every single move; every action.
野慾	야욕	Ambition; selfish desire.
夢想	몽상	Dream; fantasy.
坊主	방주	District leader (in Poch'ŏn'gyo).
沒覺	몰각	Unconscious; unaware. Older term.
迷言妄說	미언망설	Deluding words and absurd talk; misleading nonsense.
苟安	구안	Seeking temporary ease; complacency.
携帶	휴대	Carrying (something).
逃走	도주	Escape; flee.
輩類	배류	Sort; kind; ilk (often derogatory).
徹底	철저	Thorough; exhaustive.
化	화	Become; transform into. Followed by 하다.
要求	요구	Demand; request; requirement.
苟安	구안	Seeking temporary ease; complacency.
白失	백실	Lose completely.
境遇	경우	Situation; circumstances. Older spelling of 경우.
我不關焉	아불관언	"It does not concern me." Classical Chinese phrase.
決行	결행	Decisive action; carrying out resolutely.
所信	소신	Belief; conviction.
非難	비난	Criticism; reproach; blame.
實狀	실상	Real situation; actual facts.
側面	측면	Side; flank; aspect.
文化事業	문화사업	Cultural enterprise/project.
敎育施設	교육시설	Educational facilities.
徹頭徹尾	철두철미	Thoroughly; from beginning to end.
新時代	신시대	New era.
新主義	신주의	New principle; new doctrine.
開拓的	개척적	Pioneering.
人事	인사	Human affairs; personnel matters. Here refers to judging a person's life/work.
盖棺	개관	Closing the coffin lid (metaphor for after death).
怪人物	괴물	Strange figure; eccentric person.
注目	주목	Attention; notice.
-e 

---------------------------


잡지명	개벽 제38호
발행일	1923년 08월 01일
기사제목	井邑의 車天子를 訪問하고
필자	晋州 飛鳳山人
기사형태	소식

井邑의 車天子를 訪問하고
						晋州 飛鳳山人
내가 車氏를 보랴고 井邑에 가기는 今年 4月 中旬頃이다. 그 動機로 말하면 4月 初旬에 晋州에 잇는 엇던 普天敎 信者 한 분이 나에게 同敎에 入敎하기를 問함으로 나는 그이에게 入敎를 하면 무엇하는냐고 反向하얏더니 그는 쓰다 달다는 말이 업시 다만 普天敎 慶南 眞正院 長盧左大를 차저 물으면 자서이 안다 한다. 信仰에 주리고 好奇心이 만흔 나는 그 길로 盧氏를 차저 갓섯다. 몬저 盧氏에게 普天敎의 宗旨와 將來의 할 일을 물엇다. 盧氏는 말하기를 普天敎의 宗旨는 別것이 안이라 利在弓弓이오 또 將來 할 일은 만이 잇스나 現在에는 돈이 만코 사람이 만코도 一般으로 知識이 朦昧하야 아모 事業도 着手를 못하는 터인즉 누구던지 相當한 人物만 잇서서 敎務를 잘 볼 것 가트면 自己의 生活이 裕足할 것은 勿論이고 아모 事業이라도 잘 할 수가 잇스니 入敎하는 것이 조타하고 各色의 荒唐한 말로 勸誘 비슷하게 重言復言한다. 나는 盧氏의 말만 들어도 普天敎가 말할 것 업는 迷信덩이 뿐이오 別로 다시 캐 볼 것이 업는 줄을 看破하얏다. 그러나 元來 돈에 목말으로 돈에 病든 이 社會에서 生長한 나는 또한 돈 만타는 말에 두 귀가 솔기둠할 뿐 안니라 아모리 天子와 皇帝를 不神聖하고 時代 遲한 名辭로 知하는 이 세상일지라도 片土寸甲이 업는 白面書生으로 왼 세상이다 떠들도록 自稱 天子行世를 하는 車京石氏를 한번 보와 그 人物의 如何한 것을 아는 것도 無妨한 일로 생각하얏다. 그리하야 나는 盧氏에게 다시 車氏를 한 번 보고 直接으로 말을 들엇스면 조켓다고 하얏다. 盧氏는 무슨 생각을 하는지 한참 잇다가 말하기를 車氏를 보는 것이 보키는 하지만은 紹介人이 업고는 아모 사람이라도 볼 수가 업다고 한늋�. 나는 假天子를 보는데도 眞天子를 보는 것보다 힘을 더하야 左請右囑으로 간신이 엇던 이의 紹介狀을 어덧다. 이 紹介狀은 卽 井邑에 잇는 普天敎 本部의 幹部인 C氏에게 한 것이다. 나는 이 紹介狀을 어더 가지고는 마치 前日 鄕里의 村夫子가 勢道宰相의 請片紙를＜37＞ 어든 것 가티 깃버하얏다. 그리고 나는 卽時 行具를 準備하야 가지고 井邑으로 向하얏다. 이것이 나의 井邑을 가게 된 動機다. 나는 井邑郡을 가자 車氏의 招待狀이나 바든 듯시 몬저 車氏의 本營地인 笠巖面 大興里를 차저 갓다. 나의 定한 旅舘은 車氏의 家와 畧 8町 距離가 된다. 車氏가 萬一 眞天子일 것 가트면 나의 旅舘은 그의 宮域 附近이라 하겟다. 그 洞里는 山水가 明麗하야 假字 天子氣가 잇는 듯도 하거니와 그 地名도 또한 朦昧한 世人을 迷惑할만하다. 車氏가 다른 地方에 잇지 안이하고 이 地方에 儼然이 伏在하야 世人을 欺瞞하는 것도 또한 奇妙하다. 大興洞 압헤는 帝營峯이 잇고 그 西에는 軍令橋가 잇스며 또 大興洞 上里는 王尋里(今名 丹谷)라 하고 그 附近의 平野를 海島라 하며 村에는 鷄龍村川에는 鄭海川 峯에는 國師峯(車氏 母墓 所在地인데 其 墓는 稱曰 來陵이라) 山에는 天冠山이 잇다. 이것은 車氏가 지은 것이 안이라 古代 엇더 사람이 지은 것인데 車氏가 이 地名을 利用하야 世人을 迷惑케 하는 것이다. 鄭堪錄에 所謂 神人이 自海島中出이라 한 말을 이 海島에 다 부치며 其他 鷄龍이니 무엇이니 하는 것을 모도다 鄭堪錄과 批準하야 惑世誣民한다. 또 普天敎人이 머리를 안이 깍는 것도 天冠山이 잇는 까닭이라 한다. 나는 懷中에 寶玉과 가티 품엇던 紹介狀을 가지고 普天敎本部를 차져가서 C氏를 물으니 마참 그는 어대를 가고 업다 한다.  나는 그만 落心千萬하얏다. 그러나 旣히 不遠千里하고간 以上에는 아모리 하던지 車氏를 한번 面會하겟다고 決心하고 이에 單刀直入으로 車氏의 집을 가서 直接으로 面會를 請한 즉 거긔에 잇는 여러 사람들은 나를 大端 疑心하고 絶對로 面會를 謝絶한다. 나는 할 수 업시 旅舘으로 돌아왓다. 그 翊日에 나는 또 普天敎 本部에 가서 나의 온 理由와 여러 가지 誤解를 풀도록 말하고 或은 懇請도 하며 或은 脅迫도 하얏다. 그러나 또한 拒絶을 當하얏다. 이와 가티 數日을 승강하는 中에 마참 그 敎人 中에 나와 面分이 잇는 K氏가 잇섯다. 나는 그의 紹介를 어더 가지고 第5日만에 비로소 車氏를 面會하게 되얏다. 내가 車氏를 보기는 4月 20日 深夜다. 眞天子는 아츰에 萬事를 裁決하지만은 假天子니까 사람을 보와도 深夜에 보는 것 갓다. 當夜 12時가 지난 後에 나의 親知인 K氏는 나를 紹介하기 爲하야 일부러 나의 旅舘으로 왓다.
