잡지명	개벽 제13호
발행일	1921년 07월 01일
기사제목	孤帆兄에게, 懸賞文發表 小品文 等外 (To Brother Kop'o, Prize Essay Publication, Short Pieces, Etc.)
필자	浪葉
기사형태	문예기타 (Literary Miscellaneous)

To Brother Kop'o!!
						Nangyŏp
Brother Kop'o!! It has already been over a month since we shed sorrowful tears of parting at the cool and quiet station platform, amid the beloved whistle sounds of the beloved steam train, at the twilight hour in colorless Hanyang...
Alone in my quiet room, befriending only the candlelight, as I listlessly hold my pen, past events vaguely come to mind like a dream path. Brother, even now, I still dreamily recall that distant day with you by the dim Sŏnjuk Bridge, where the sorrowful sound of water winding through the moonlit willows evoked an elusive 『sentiment』 inspiration.

It was the dawn of May 7th when my small body stood alone and powerlessly on the deck of the Ilgimaru, my collar fluttering in the sea breeze, taking the first painful step away from my beloved homeland, where I had laughed, cried, worked, and rested for over ten long years, amidst the relentless sound of the motor and the chorus of the raging waves. The rose-like color, as if about to bloom, beautifully dyed the sky over Tongnae. Ah, as the panting sound of the motor grew louder, one, two, the lingering mist sadly obscured the view ahead, and the iridescent cloud-wreathed home mountains began to fade away like smoke without a trace—that heartbreaking moment!! Brother, I let a few irrepressible tears fly away on the blowing sea breeze. I sang a sad song, choked with emotion.

Mother, mother, my aged slave mother
The swallows of Kangnam return to their old nests
Dreaming butterflies are embraced within flowers
Ah, I, joyfully raised by your warm hand,
Leave your embrace full of all love with tears.
To live a life of wandering,
drifting under the cold moon of a foreign land!
Slave! Slave! Aged slave mother, it is you I mean.<19>
Your colorless face (面)
I gaze upon sorrowfully with tear-filled eyes!
The flame of passion and indignation burns my young heart.

Brother Kop'o!! The Ch'ukhumaru kindly delivered me to the Shanghai wharf in two and a half days, around 3 PM on the 11th of the same month.
Shanghai! Shanghai! My mind, weary from seasickness, unconsciously sought a different kind of stimulation.
Arriving at my destination, Suchou, at noon the next day, the spring breeze of Kangnam, carrying the fragrance of flowers and grass, seemed to welcome me. I sought out Hansan Temple on a donkey, and gazing far out at the boundless four directions, truly all sorts of feelings pounded in my small chest.

Ringing the ancient bell of the old temple a couple of times,
Where can one find the old poetic scene of 'Night Mooring by Maple Bridge'?

The sorrowful sound of a flute flies on the evening breeze,
In the twilight of a foreign land, the sky is even more desolate.

The dreary sound of oars echoes through Suchou city, submerged in the evening glow,
How colorlessly it made the traveler far from home feel.

Brother Kop'o!! It is now the evening sun of the 29th. Last night, the wind battered the candlelight, and sleepiness tempted me, so I could not finish writing. Today is Sunday, so after the worship service and finishing lunch, I returned to the dormitory, only to find the wind whistling through the second-floor room. Wanting to recover from fatigue, I climbed into bed, and a living picture, a scroll of the white and yellow sands of Hanyang! Sŏnggyŏng! Hwangju! etc., unfolded like a motion picture. Before I knew it, I had fallen asleep and woken up; the hour hand pointed past 5 o'clock, and a flute tune coming from the room across breaks the silence of the quiet room. Tomorrow morning, I plan to go to Shanghai, said to be a miniature of the world, to see the Olympic Games. What kind of impression will it give me? Brother, the day is very cloudy and gloomy, and outside the window, the wind ceaselessly flutters the tree branches. A butterfly spreads its wings and dances beautifully, while a purple swallow sings and follows behind it. Soon, they disappeared. From my line of sight...
Brother Kop'o!! The fate of that butterfly—what might have become of it!
Ah, this society! This world! It's all like that, isn't it? The great deceive the small, the strong exploit the weak. They put up signboards with beautiful words like Peace! Freedom!, but deep inside, the covetous eyes of wolves and foxes are full. Whether it's the big-nosed ones or the small-eared ones... Indeed, this world, this society, is layered with dark black clouds like that cloudy sky.<20>
Brother Kop'o!! A sad sentiment, difficult even to put into words, makes this hand holding the pen tremble. Just now, a small bird flies blackly away above that very cloudy sky.
Brother, like that bird, I intend to drift aimlessly to the ends of the world... Let's see how long this life of irrationality and immorality continues...
Brother Kop'o!! As lonely Nangyŏp, leaving this turbulent sea, I shall sail far, far away on that vast ocean, as far as strength allows, as will dictates, continuously hoisting that white sail over the endless sea, forward, forward, to find! To realize! a true life. Let us row powerfully! Until we find the Ideal Island...
Brother Kop'o!! The cool and quiet evening wind rustles my hair, and the peddler's bell sound forlornly bumps against the opposite wall. Following the flowing clouds, I silently sing the song, 『Though I wander through all pleasant places, there is no place like my own small, humble home』, and pouring a cup of tea, I endlessly reminisce about my homeland and home mountains.
(Evening of May 29, 1921, from your younger brother Nangyŏp in Suchou) <21>

**Summary**

This article is a letter written by "Nangyŏp" from Suchou, China, to his friend "Kop'o" in Korea in May 1921. Nangyŏp recounts his tearful departure from Korea, his journey via ship (Ilgimaru, Ch'ukhumaru) to Shanghai and then Suchou. He expresses profound feelings of homesickness, nostalgia for Korea (Hanyang, Sŏnjuk Bridge), and disillusionment with his new surroundings despite the beauty of places like Hansan Temple. He critiques the hypocrisy of the world ('the strong exploit the weak' under the guise of 'peace' and 'freedom') and expresses a desire to wander aimlessly, seeking a 'true life' or an 'Ideal Island'. For historians, this text offers a personal glimpse into the emotional turmoil of a Korean intellectual emigrating during the colonial period, reflecting sentiments of loss, displacement, nationalist yearning (referring to Korea as an 'aged slave mother'), and a critical perspective on global power dynamics likely influenced by imperialism. The mention of the 'Olympic Games' in Shanghai (likely referring to the Far Eastern Championship Games) also provides context for international events involving East Asia at the time.

**Named Entities**

孤帆	고범	Kop'o
浪葉	낭엽	Nangyŏp
漢陽	한양	Hanyang
善竹橋	선죽교	Sŏnjukkyo (Sŏnjuk Bridge)
壹岐丸	일기환	Ilgimaru (Ship name)
東萊	동래	Tongnae
筑後丸	축후환	Ch'ukhumaru (Ship name)
上海	상해	Shanghai
蘇州	소주	Suchou
江南	강남	Kangnam
寒山寺	한산사	Hansan Temple
楓橋夜泊	풍교야박	P'unggyo Yabak (Night Mooring by Maple Bridge)
蘇城	소성	Sosŏng (Suchou city)
松京	송경	Songgyŏng (Old name for Kaesŏng)
黃州	황주	Hwangju

**Glossary**

빗갈업는	빛깔 없는	Colorless (older spelling)
黃昏	황혼	Twilight, dusk
그립은	그리운	Missed, longed for (older form/spelling)
凉寂한	양적한	Cool and quiet
驛頭	역두	Station platform
애닯은	애달픈	Sorrowful, pitiful (older spelling)
月餘	월여	Over a month
초ㅅ불	촛불	Candlelight (older spelling with ㅅ)
맥업시	맥없이	Listlessly, spiritlessly (older spelling)
니억니억	이역이역	Vaguely, dimly (older spelling/form)
머-ㄴ날	먼 날	Distant day (older spelling)
자미스럽게도	재미스럽게도/자미롭게도	Interestingly, dreamily
갓튼	같은	Like, as (older spelling)
셈딍	센티멘탈리즘/센티먼트	Sentiment/Sentimentalism (loanword transcription)
인스픠레슌	인스피레이션	Inspiration (loanword transcription)
어슴푸레한	어슴푸레한	Dim, dusky
甲板	갑판	Deck (of a ship)
힘업시	힘없이	Weakly, powerlessly (older spelling)
모톨	모터	Motor (loanword transcription)
怒濤	노도	Raging waves
戀戀한	연연한	Lingering attachment, fond
故國	고국	Homeland, native country
압흔	아픈	Painful (older spelling)
東틀머리	동틀녘	Dawn, daybreak
한울가	하늘가	Edge of the sky (older form/spelling)
압흘	앞을	The front, ahead (older spelling)
故山	고산	Home mountains, native place
애끈는	애끊는	Heartbreaking (older spelling)
禁키	금하기	To forbid, suppress (older grammatical form)
구슯흔	구슬픈	Sad, sorrowful, mournful (older spelling)
목미게	목메게	Chokingly, with a lump in one's throat
꼿속에	꽃 속에	Inside a flower (older spelling)
길리운	길러진	Raised, brought up (older form/spelling)
異域	이역	Foreign land, alien territory
放浪	방랑	Wandering, vagrancy
漂流	표류	Drifting
生涯	생애	One's life, lifetime
奴隷	노예	Slave
낫	낯	Face (older form/spelling)
저진	젖은	Wet, tear-soaked (older spelling)
불꼿	불꽃	Flame, spark (older spelling)
埠頭	부두	Wharf, pier
別味	별미	Special taste, unusual sensation
刺戟	자극	Stimulation, stimulus
翌日	익일	The next day
目的地	목적지	Destination
꼿풀	꽃풀	Flowering plants, flowers and grass (older spelling)
香氣	향기	Fragrance, scent
春風	춘풍	Spring breeze
맛는	맞는	Meeting, greeting (older spelling/usage)
一匹	일필	One (counter for horses, donkeys)
나귀	나귀	Donkey
차저들어	찾아들어	To visit, to seek out and enter (older spelling/form)
一望無際	일망무제	Vast, boundless, stretching as far as the eye can see
懷抱	회포	Feelings, thoughts, sentiments
古鐘	고종	Ancient bell
옛詩景	옛 시경	Old poetic scene
차즐런가	찾을런가	Where can one find? (older grammatical form)
笛聲	적성	Sound of a flute
나라옴이어	날아옴이여	Flying towards (older poetic/grammatical form)
호톳하여라	호젓하여라	Is desolate, is lonely (older form/spelling)
暮霞	모하	Evening glow, sunset clouds
凄凉한	처량한	Dreary, desolate, bleak
櫓聲	노성	Sound of oars
빗김이어	비침이여/비낌이여	Shining obliquely, reflecting (older poetic/grammatical form)
離鄕	이향	Leaving one's hometown
길손	길손	Traveler, wayfarer
빗갈업게	빛깔 없게	Colorlessly, drearily (older spelling)
只今	지금	Now (older Hanja representation)
昨夜	작야	Last night
후리고	휘몰아치고	Blowing hard, battering
睡魔	수마	Sleepiness, the sandman (lit. sleep demon)
꼬혀	꼬여/꼬드겨	Being tempted, persuaded (older spelling/form)
다못햇습니다	다 못했습니다	Could not finish (older grammatical form)
今日	금일	Today
禮拜後	예배 후	After worship service
占心	점심	Lunch (older Hanja usage, now typically 점심)
宿舍	숙사	Dormitory, lodging
휭할뿐이외다	휭할 뿐입니다	Just the sound of wind blowing (older sentence ending)
疲困	피곤	Tiredness, fatigue
恢復코저	회복하고자	Trying to recover (older grammatical form)
寢床	침상	Bed, couch
活畫	활화	Living picture
活動寫眞	활동사진	Motion picture, movie (older term)
展開되더이다	전개되더이다	Unfolded, developed (older sentence ending)
깨니	깨니	Upon waking
時針	시침	Hour hand
깨치나이다	깨뜨립니다	Breaks (older formal/literary ending)
明朝	명조	Tomorrow morning
구경次	구경차	For the purpose of sightseeing
世界 縮圖	세계 축도	Miniature of the world
印像	인상	Impression
밧게는	밖에는	Outside (older spelling)
부절업시	부절없이/끊임없이	Ceaselessly, constantly (older spelling)
나비끼고	나부끼고	Fluttering (older spelling)
나래	날개	Wings (dialect/older form)
고히	곱게	Beautifully, finely (older spelling)
딸옵니다	따릅니다	Follows (older polite ending)
되엇슬가요	되었을까요	Might have become? (older spelling)
强者	강자	The strong
弱子	약자	The weak
속여먹지요	속여 먹지요	Deceive and exploit
美語	미어	Beautiful words, fine-sounding words
看板	간판	Signboard
이리	이리	Wolf
여호	여우	Fox (older spelling/form)
