Magazine Title: 開闢 第66號
Publication Date: 1926년 02월 01일
Article Title: 社告 (Company Announcement)
Article Type: 사고·편집후기 (Announcements & Editorial Postscripts)

[Company] [Announcement]

For the necessary development of our General Branch Offices, we have recently established an outpost in Kyo■-dong, Mokp'o-bu, and will commence activities covering the four regions of Mokp'o, Muan, Chindo, Haenam, Tangjin (*Correction: the text says 長興, Changhŭng*), Changhŭng, and Yŏngam. The associated mobile reporters are as follows:
Chŏn T'o, Pak Tŏk-chin, Kim Chŏng-ae
Kaebyŏk Chŏnnam General Branch Office Director

P'yŏngyang Branch Office Change
Previously, the P'yŏngyang Branch Manager, Mr. Sunu Hyŏp, resigned according to his wishes. Now, under the management of Mr. Ko Yŏng-su, we have opened with a new structure as noted below and will further expand all affairs related to reader recruitment, article and advertisement handling■■; we ask all esteemed readers to please provide double the support as before.
Location: 127 Sinch'ang-dong, P'yŏngyang-bu
Tongyang Sŏgwan (East Light Bookstore)
Telephone: 1225
Postal Transfer: Kyŏngsŏng 11288
Region: P'yŏngyang-bu environs and its vicinity
Staff
Branch Manager: Ko Yŏng-su
Reporter: Chŏn Sang-do
Advisor: Chŏng Ki-su

Kyŏngsŏng Advertisement Correction
We apologize for and correct the misprints in the New Year greeting advertisements published in this magazine's New Year issue as follows:
Sinjongdang Postal Transfer Account Kyŏngsŏng 289 is changed to 11892, Chosŏn Photo Studio Telephone Kwanghwamun 542 is changed to 543, Kyŏngsŏng Paek Un-yŏng Sanghoe (Company) is changed to Paek Un-yŏng Sangjŏm (Store), Chongno 1-chōme Kim Yŏn-kwŏn Medical Clinic is changed to Kyŏngsŏng Chongno 3-chōme.

Kanggye Branch Office Change
Previously, the Kanggye Branch Manager, Mr. Chang Se-ho, resigned from this position due to circumstances. Now, under the management of Mr. Yi Ch'ang-hwa, we have opened with a new structure as noted below and will further expand all affairs concerning reader recruitment, article and advertisement handling; we ask all esteemed wise readers to please provide double the generous support.
Location: Ch'ŏndogyo Chongniwŏn within Kanggye-ŭp
Region: Kanggye-gun environs and its vicinity
Staff
Branch Manager: Yi Ch'ang-hwa
General Affairs: Kim Chŏng-nyŏl
Reporter: Han In-hyŏn
Advisor: Chang Se-ho
Advisor: Kim Sŏk-ryŏn
Advisor: Yi Pok-hyŏn
Advisor: Yu Ki-jŏng<68>

**Summary**

This article consists of four separate announcements from the magazine *Kaebyŏk*. The first announces the opening of a new outpost in Mokp'o to cover several districts in South Chŏlla Province, listing the assigned reporters. The second and fourth announce changes in leadership and staff at the P'yŏngyang and Kanggye branch offices, respectively, providing new contact information and asking readers for continued support. The third announcement corrects several errors (addresses, phone numbers, names) in advertisements published in the magazine's previous New Year issue. From a historical perspective, the article reveals the operational structure and geographical reach of a major Korean magazine during the colonial period, including its reliance on branch offices and specific personnel. The explicit mention of locations, names, and even business details like postal transfer accounts and corrections to advertisements for various businesses (pharmacy, photo studio, stores) provides a granular view of commercial and media activity in 1926 Korea. The association of the Kanggye branch with the local Ch'ŏndogyo office (天道敎宗理院) is also noteworthy.

**Named Entities**

木浦府	목포부	Mokp'o-bu
橋■洞	교■동	Kyo■-dong
木浦	목포	Mokp'o
務安	무안	Muan
珍島	진도	Chindo
海南	해남	Haenam
長興	장흥	Changhŭng
靈岩	영암	Yŏngam
全濤	전도	Chŏn T'o
朴德珍	박덕진	Pak Tŏk-chin
金貞愛	김정애	Kim Chŏng-ae
全南總支社	전남총지사	Chŏnnam Ch'ongjisa (South Chŏlla General Branch Office)
平壤支社	평양지사	P'yŏngyang Chisa (P'yŏngyang Branch Office)
淳于協	순우협	Sunu Hyŏp
高永洙	고영수	Ko Yŏng-su
平壤府	평양부	P'yŏngyang-bu
新倉洞	신창동	Sinch'ang-dong
東明書館	동명서관	Tongmyŏng Sŏgwan (East Light Bookstore)
京城	경성	Kyŏngsŏng (Colonial name for Seoul)
全尙道	전상도	Chŏn Sang-do
鄭基琇	정기수	Chŏng Ki-su
信鍾堂	신종당	Sinjongdang
朝鮮寫眞館	조선사진관	Chosŏn Sajinkwan (Korea Photo Studio)
光化門	광화문	Kwanghwamun
白運永商會	백운영상회	Paek Un-yŏng Sanghoe (Paek Un-yŏng Company)
白運永商店	백운영 상점	Paek Un-yŏng Sangjŏm (Paek Un-yŏng Store)
鍾路	종로	Chongno
金然權醫科醫院	김연권 의과병원	Kim Yŏn-kwŏn Ŭikwa Ŭiwŏn (Kim Yŏn-kwŏn Medical Clinic)
江界支社	강계지사	Kanggye Chisa (Kanggye Branch Office)
張世皓	장세호	Chang Se-ho
李昌化	이창화	Yi Ch'ang-hwa
江界邑	강계읍	Kanggye-ŭp
天道敎宗理院	천도교 종리원	Ch'ŏndogyo Chongniwŏn (Ch'ŏndogyo Religious Affairs Office)
江界郡	강계군	Kanggye-gun
金淨烈	김정렬	Kim Chŏng-nyŏl
韓仁現	한인현	Han In-hyŏn
金錫璉	김석련	Kim Sŏk-ryŏn
李福鉉	이복현	Yi Pok-hyŏn
劉基貞	유기정	Yu Ki-jŏng

**Glossary**

社告	사고	Company announcement
今般	금반	Recently, this time
總支社	총지사	General branch office
發展 上	발전상	For the sake of development (older grammatical form)
必要	필요	Need, necessity
依하야	의하여	According to, due to (older spelling/form of 의하여)
設置	설치	Establishment, installation
出張所	출장소	Outpost, detached office
通하야	통하여	Through, via (older spelling/form of 통하여)
活動	활동	Activity
開始케하오며	시작케 하오며	Cause to begin, will commence (older causative + humble form)
此에	이에	Hereupon, regarding this
當貴한	당귀한	Associated, related (contextual meaning; lit. 'relevant and valuable')
流動記者	유동기자	Mobile reporter, traveling correspondent
左와 如함니다	좌와 여합니다	Is as follows (lit. 'is like the left') (older form of 아래와 같습니다)
異動	이동	Change, transfer, movement (of personnel/offices)
過般	과반	Previously, the other day
願	원	Wish, request
辭免되다	사면되다	To resign, be dismissed
經營 下에서	경영 하에서	Under the management of
左記	좌기	The following note/record (lit. 'left record')
如히	여히	Like, as (adverbial form of 如)
新陣容	신진용	New lineup, new structure/staff
開張하다	개장하다	To open (for business), set up
讀者募集	독자모집	Reader recruitment/subscription drive
記事	기사	Article
及	급	And (used like 및 or 와/과)
廣告	광고	Advertisement
