Magazine Title	삼천리 제7권 제2호
Publication Date	1935년 02월 01일
Article Title	姙娠時의 攝生法 (Regimen During Pregnancy)
Author	石履慶
Article Type	논설 (Editorial/Essay)

Regimen During Pregnancy
						Sŏk Kwi-gyŏng

Pregnancy (姙娠) is something desired by men throughout all ages, but when a woman becomes pregnant, she experiences physical discomfort and pain compared to when she is not pregnant. The period when the pregnant woman feels the most severe pain is said to be the first three months and the last three months from the beginning of pregnancy.

1.  During the first three months, unpleasant feelings arise every morning, nausea and a feeling of wanting to vomit (嘔吐) may occur, taste changes leading to a preference for sour things, appetite decreases, saliva (唾流) secretion increases, urination becomes frequent, and sometimes neuralgia occurs.
2.  During the last three months, that is, the late stage of pregnancy, the uterus (子宮) enlarges, causing mechanical obstructions (器械的 障礙). Examples include difficulty with movement, insomnia,<150> abdominal fullness, swelling (浮睡) in the lower body, or gastrointestinal disorders (胃腸障碍)—all these are symptoms that occur in the late stage of pregnancy.
If the pain during the times mentioned above is severe, it can be alleviated through appropriate measures. However, if it is not severe, it is better to endure it without using medication, because pregnancy is physiological. Now, let's talk about the regimen (攝生法).

1.  Prohibitions (禁忌) During Pregnancy

Generally, during pregnancy, one should avoid excessive exercise, not apply pressure (壓力) to the abdomen, avoid chilling the lower abdomen, or causing trouble to the stomach and intestines. For example, one should avoid long-distance travel by rickshaw, train, automobile, or steamship. Also, cold water bathing, sea bathing, prolonged kneeling (跪坐), or doing laundry (洗濯) are points that require the most caution during pregnancy.

2.  Food and Drink (飮食物) During Pregnancy

Consume food and drink that are easily digestible and rich in nutrients (營養素) appropriately. While it is difficult to change usual habits, avoid indigestible foods (不消化物) or stimulating foods like mustard (芥子), chili pepper, or strong spices. Also, it is best not to consume alcoholic beverages, overly strong tea, or coffee. Especially in the latter half of pregnancy, always be careful not to overeat or overdrink (飽飮 飽食).

3.  Clothing (衣服) to Wear During Pregnancy

It goes without saying that a pregnant woman should choose clothing according to the climate. It is best to wear simple clothes that do not constrict (緊束) the lower abdomen or chest and are suitable for keeping warm (保溫) to regulate body temperature (體溫調節) well. Therefore, making an abdominal binder (腹帶) with fabric suitable for warmth, like flannel (후란네루), is very necessary for warmth and maintaining fetal position (胎位). However, when tying the abdominal binder, tying it too tightly (緊縛) is not good for fetal development (胎兒發育). Modern new women strive to create a style pleasing to others by binding their breasts (乳房) or lower abdomen tightly, but during pregnancy, one must pay attention to this.

4.  Exercise During Pregnancy

This does not mean that one should not exercise during pregnancy; appropriate exercise is absolutely necessary for a pregnant woman. While overly strenuous exercise can greatly affect the fetus, appropriate exercise is needed. For example, going outdoors to walk along a riverside with fresh air or in a forested area, breathing fresh air, and sunbathing under the clear blue sky to refresh the spirit (爽快) is very necessary. However, appropriate exercise is not limited to the outdoors. At home, doing a little of the usual chores or, for women with children, singing songs and spending time cheerfully with them is also good. In other words, as mentioned above, it is best to absolutely avoid excessive (過激) exercise such as long-distance travel, cold water bathing, or sea bathing.<151>

5.  Bowel Movements (便通) During Pregnancy

Regulating bowel movements is necessary. For women with constipation (便祕症), the hard stool can cause mechanical stimulation (機械的 刺戟) to the fetus, which is undesirable. Therefore, women with constipation should engage in appropriate exercise, drink cold water or cold milk every morning, and eat a little fruit after meals. If these methods do not yield results, using an enema (院腸) with saline solution (石鹽水) or glycerin (구리세린), or taking mild laxatives (綬下劑) is also good. However, taking strong purgatives (峻下劑) that cause severe diarrhea is necessary to avoid, as there is a risk of miscarriage (流産) during severe diarrhea.

6.  Urination (利尿) During Pregnancy

Urination (小便) requires attention even in normal times, and periodic urine tests are advisable. In early pregnancy, it is good to urinate frequently to prevent urine accumulation (蓄積). If too much urine accumulates, the pregnant uterus is prone to retroversion (後屆症).

7.  Cleanliness (淸潔) of the Pregnant Body

A pregnant woman should bathe frequently to keep her body and mind clean. Areas like the external genitalia (外陰部) tend to become uncomfortable due to excessive secretions (分泌過多) or discharge from the uterus. Therefore, washing frequently with lukewarm water (微溫湯) is good. However, sitz baths (坐浴) or foot baths (脚湯) carry a risk of miscarriage, so it is best to avoid them.

8.  The Pregnant Woman's Breasts (乳房)

The breasts should be washed well once daily with clean water, alcohol (酒精), or boric acid solution (硼酸水) to keep them clean. Efforts should be made for good breast development, and compressing (壓窄) the breasts is not good.

9.  Mental State (精神狀態)

This may vary depending on family circumstances (家庭形便) and surrounding situations (周圍事情), but maintaining constant calmness (安靜) is best. Do not tell first-time pregnant women that the delivery process (分挽經過) is difficult; always offer words of comfort (慰勞). Playing too hard, singing too cheerfully, worrying, or getting angry over unpleasant matters is not good. For example, reading too many interesting novels or getting absorbed in theater, leading to mental fatigue (疲勞), can weaken the nerves, causing insomnia (不眠症). Similarly, sleeping for too long due to mental fatigue is also not good.

10. Sexual Intercourse (房事) During Pregnancy

It goes without saying that sexual intercourse should be limited (制限) during pregnancy, but it should be strictly forbidden and caution exercised during the latter half of pregnancy.
The regimen during pregnancy as described above may sometimes interfere with the pregnancy's progress depending on the pregnant woman's daily habits (習慣), so it may not need special correction. However, one should avoid severe changes (變能) in mind and body, regulate food and drink, bowel movements, and sleep as much as possible, and be careful not to adversely affect fetal development and the mother's body (母體). (End)<152>

**Summary**

This 1935 article by Sŏk Kwi-gyŏng provides detailed advice for pregnant women on maintaining health and well-being. It covers common discomforts, dietary recommendations (avoiding stimulating foods, alcohol, strong tea/coffee, overeating), appropriate clothing (loose-fitting, warm, using an abdominal binder carefully), the importance of moderate exercise (walking, fresh air, avoiding strenuous activities), managing constipation, urinary habits, hygiene (bathing, genital care, breast care), maintaining mental calm (avoiding stress, excessive excitement or fatigue), and restricting sexual activity, especially late in pregnancy. The article emphasizes balancing daily habits with the needs of pregnancy to ensure healthy fetal development and maternal health. From a historical perspective, the article reflects the medical knowledge and societal expectations for pregnant women in colonial Korea during the 1930s. It blends practical, seemingly modern advice (hygiene, moderate exercise, diet) with traditional cautions (avoiding cold, specific movements like kneeling, concerns about miscarriage from baths or diarrhea) and addresses "modern new women's" fashion choices (tight clothing), offering insight into changing lifestyles and the dissemination of health information targeting women during that period.

**Named Entities**

石履慶	석리경	Sŏk Kwi-gyŏng

**Glossary**

姙娠時	임신시	During pregnancy
攝生法	섭생법	Regimen; rules for health maintenance
갓흐면	같으면	If it is like (older spelling of 같으면)
닐어나며	일어나며	Arising; occurring (older spelling of 일어나며)
메슥메슥하여	메슥메슥하여	Feeling nauseous
唾流	타류	Saliva flow
자조	자주	Frequently (older spelling/form of 자주)
졋음으로	졌음으로	Because it has become (older spelling/form of 졌으므로)
器械的 障礙	기계적 장애	Mechanical obstruction/hindrance
浮睡	부수	Swelling; edema
갓흔	같은	Like; such as (older spelling of 같은)
넘우	너무	Too; excessively (older spelling of 너무)
冷冷하게	냉랭하게	Coldly; chillingly
식힌다든가	식힌다든가	Cooling down, etc.
做障	주장	Trouble; obstacle; hindrance (less common term now)
跪坐	궤좌	Kneeling (sitting on heels)
洗濯	세탁	Laundry; washing clothes
곳치기난	고치기란	To fix/change is (older spelling/form of 고치기는)
芥子	개자	Mustard seed
刺戟性	자극성	Stimulating property
飽飮 飽食	포음 포식	Overdrinking and overeating
撰擇	찬택	Selection; choice
緊束	긴속	Binding tightly; constricting
保溫	보온	Keeping warm; heat retention
體溫調節	체온조절	Body temperature regulation
후란네루	플란넬	Flannel (loanword, older transcription)
腹帶	복대	Abdominal binder
胎位	태위	Fetal position
緊縛	긴박	Tying tightly
胎兒發育	태아발육	Fetal development
乳房	유방	Breast(s)
爽快	상쾌	Refreshing; invigorating
過激	과격	Excessive; extreme; radical
便通	변통	Bowel movement
便祕症	변비증	Constipation
機械的 刺戟	기계적 자극	Mechanical stimulation
식혀	시켜	Causing; making (older spelling/form of 시켜)
石鹽水	석염수	Saline solution
院腸	원장	Enema (likely misspelling or older term for 관장 - 灌腸)
구리세린	글리세린	Glycerin (loanword, older transcription)
綬下劑	완하제	Mild laxative (綬 seems typo for 緩)
峻下劑	준하제	Strong purgative/laxative
流産	유산	Miscarriage
利尿	이뇨	Urination; diuresis
蓄積	축적	Accumulation
後屆症	후굴증	Retroversion (likely meant 후굴증 - 後屈症)
淸潔	청결	Cleanliness
外陰部	외음부	External genitalia
分泌過多	분비과다	Excessive secretion
이슬노	이슬로	With discharge/dew (older spelling of 이슬로)
微溫湯	미온탕	Lukewarm water/bath
洗滌	세척	Washing; cleaning
坐浴	좌욕	Sitz bath
脚湯	각탕	Foot bath
酒精	주정	Alcohol (specifically ethanol)
硼酸水	붕산수	Boric acid solution
壓窄	압착	Compression; pressing
精神狀態	정신상태	Mental state
家庭形便	가정 형편	Family circumstances/situation
周圍事情	주위 사정	Surrounding circumstances/situation
安靜	안정	Calmness; rest; stability
分挽經過	분만 경과	Delivery process; course of childbirth
慰勞	위로	Comfort; consolation
疲勞	피로	Fatigue
不眠症	불면증	Insomnia
房事	방사	Sexual intercourse
制限	제한	Limit; restriction
習慣	습관	Habit; custom
좃차서	좇아서	Following; according to (older spelling of 좇아서)
變能	변동	Change; fluctuation
母體	모체	Mother's body


---------------------------


잡지명	삼천리 제7권 제2호
발행일	1935년 02월 01일
기사제목	姙娠時의 攝生法
필자	石履慶
기사형태	논설

姙娠時의 攝生法
						石履慶
姙娠은 古今을 물론하고 男子가 다! 希望하는 바인데 女子가 姙娠할 것 갓흐면 姙娠하지 안은 때보다 身體의 不自由와 또는 苦痛을 당하게 되는대 가장 苦痛이 심한 時期를 妊婦가 自覺하는 때는 姙娠 시작으로부터 最初의 3개월과 最後의 3개월이라고 한다.
1. 初 3개월간에 잇서서는 每日 아츰마다 不快한 感想이 닐어나며 속이 메슥메슥하여 嘔吐할 것 갓흔 感도 생기고 입맛이 變하야 신 것을 조와하고 食慾은 不振하고 唾流의 分泌이 심하는 등 그리고 小便이 자조 나오고 또 神經痛에 걸니는 수도 잇다.
2. 最後의 3개월 즉 姙娠 末期에 잇서서는 子宮이 增大하여 졋음으로 器械的 障礙가 닐어나는 것인대 例를 들어 말하건대 運動障碍라든가 不眠이라든가<150> 혹은 腸部가 緊滿하는 등 下部에 浮睡 또는 胃腸障碍갓흔 것이 모두가 姙娠末期에 닐어나는 症狀이다.
上述한 바와 갓흔 때에 苦痛이 심할 것 갓흐면 適當한 處置로 인하야 輕減하게 할 수 잇으나 심하지 안은 때에는 藥을 使用하지 말고 참는 것이 조흘 것인대 이런 것이 姙娠은 生理的인 까닭이다. 이제 攝生法을 말하자면

1. 姙娠時의 禁忌

姙娠時에는 一般으로 넘우 운동을 심하게 하지 말고 腹部에 壓力을 加하지 말 것이고 또는 下腹部를 冷冷하게 식힌다든가 혹은 胃腸에 做障이 생기지 안토록 할 것인대 例를 들어 말하면 長距離를 人力車 汽車 自動車 汽船으로 旅行을 하지 말 것이고 또는 冷水浴 海水浴 其他 長時間의 跪坐 혹은 洗濯 등은 姙娠로서 가장 注意할 점이다.

2. 姙娠時의 飮食物

飮食物은 될 수 잇는 대로 消化가 잘 되고 營養素가 만은 飮食物을 適當히 攝取하고 일부러 普通時에 習貫을 곳치기난 어려우나 不消化物 또는 芥子 고초 당초 갓흔 刺戟性 飮食을 먹지 말고 其他「알콜」노 만든 飮料 넘우 濃厚한 茶 또는 珈琲 등도 먹지 안는 것이 좃타. 특히 姙娠 後半期에 잇서서는 飽飮 飽食하지 말 것을 항상 注意할 것이다.

3. 姙娠時에 着用할 衣服

姙婦가 衣服을 닙는 것은 氣候에 딸아서 撰擇하는 것은 다시 말할 必要도 없거니와 되도록은 간단한 衣服으로 下腹部 또는 胸部를 緊束하지 말고 保溫에 適當한 것을 닙어셔 體溫調節을 잘 할 것이다. 그럼으로「후란네루」갓흔 保溫에 適當한 布木으로 腹帶를 만들어 保溫 또는 胎位를 가지는데 잇서서 대단히 必要하다. 언제든지 腹帶를 띌 젹에 넘우 緊縛하게 腹帶를 매면 胎兒發育에 좃치 못하다. 近代 新女性들은 胸部의 乳房이라든지 또는 下腹部를 緊膊하여 他人이 보기 조흔「스타이」를 만드느라고 勞力하나 姙娠 중에는 이런 것은 注意하지 안으면 안이 되겟다.

4. 姙娠時의 運動

