잡지명	삼천리 제7권 제2호
발행일	1935년 02월 01일
기사제목	亞細亞의 風雲 (Winds of Change in Asia)
필자	米國軍事評論家 스티-일 (American Military Commentator Steele)
기사형태	논설 (Editorial/Op-Ed)

Winds of Change in Asia
						By American Military Commentator Steele
This text has caused quite a sensation, being translated into American, British, German, Japanese, and Chinese languages and widely read; it is essential reading and fine writing.

Britain's Goodwill Towards Japan

Japan has become an adult. Japan, which Western nations had hitherto thought of as a child not yet grown, has suddenly become a great adult. And thus, Japan has leaped to adulthood and is behaving steadfastly like an adult.
Now is the era of Japan's economic empire. The definite area called the so-called "sphere of influence" regarding China,<92> the acquisition of that vast Chinese market, or perhaps... the struggle for supremacy among the three great powers on the Pacific – Britain, Japan, and America – will break out from the spring of 1935.
Within China's territory, Japan's so-called *purisi·obu·inbiria* (probably 'presence or influence'?) ... that, in reality, certainly received Britain's support in practice. This Japanese policy was made crystal clear by the statement released by Japan's Ministry of Foreign Affairs in April 1934. That statement... generally... hints at things.
Asia... regarding... the fierce offensive has inevitably raised an issue on the Pacific Ocean. Moreover, the resolution of this problem is not simple. It is unlikely to be easily decided through diplomatic phrases or negotiations. Sooner or later, at some point... it is destined to be resolved. China... entrusting... needless to say, means the exclusion of American goods. At the same time, it also becomes a threat to America's territories in the Far East. Especially concerning Japan, it is utterly hopeless to expect America and Britain to keep pace together, and as far as the Far East issue is concerned, Britain's policy is pro-Japanese, so it will not be easy to halt Japan's advance.
Due to the advance of Japanese goods into American territories, military pressure will also not be insignificant. Over the past three years, Japan's export trade has shown remarkable progress in America, Panama, and the Canal Zone.
Thus, Japan is gradually advancing, but Britain has absolutely no inclination to obstruct Japan's development. Japan's development in the North primarily conflicts with American interests. For Britain, however, there is no such pain.
Essentially, Britain does not think that the advance of Japanese goods into India poses the kind of harm to British trade that the general public thinks it does. The advance of Japanese goods into India has been exaggeratedly publicized. Not only that, but one must not forget that over the past 25 years, Japan has purchased over 3 billion yen more from India than the value of goods sold to India. Thus, during the same period, Britain has sold over 2 billion yen more British goods to India than the amount imported from India. In other words, Japan, over the past 25 years, has sent an average annual amount of 125 million yen to India, while Britain, conversely, receives 100 million yen from India each year. Ultimately, India is paying for the goods purchased from Britain with the money earned from sales to Japan. Therefore, Britain leans towards Japan, if anything. It is just like the British Conservative Party seeing Germany as the only effective bulwark against the spread of Russian Communism. Moreover, considering the current situation where that Communism, based in China, is gradually moving south and encroaching upon Britain's "sphere of influence" in the Far East, it is natural for Britain to hold goodwill towards Japan.

Naval Budgets of the Three Great Powers

So, does Britain hold goodwill towards Japan<93> through and through? Not at all. While Britain holds goodwill towards Japan as an effective bulwark against Communism in the Far East on the one hand, on the other hand, it fears Japan's advancing power in the Pacific coming into contact with Britain's colonies in the South Pacific and is devising countermeasures.
Regarding Japan's development, Britain has been establishing strong naval bases on the Pacific, and in 1935, it is completing the naval fortress at Singapore. This naval base at Singapore will allow Britain's main fleet in the Mediterranean to be moved directly to the Far East.
Singapore has the world's largest dock (돗구) capable of accommodating ships of 50,000 tons without issue, plus five double docks (따부루돗구) for cruisers and one dry dock (도라이 돗구), as well as complete facilities for repairing powerful warships. Also, large-scale oil storage facilities for ship fuel are currently under construction. And the coastal batteries defending the entrance to Singapore harbor have been considerably strengthened compared to before, equipped with numerous large-caliber, long-range guns. Thus, Singapore not only seals the passage from the Pacific to the Indian Ocean but also holds full strategic value as a base for the defense of Ceylon Island and India. Why, then, did Britain have to build such a powerful naval base in Singapore? Needless to say, Britain has been steadily preparing for various events that might arise in the Pacific, intending to step in and play an important role, just like Britain's traditional role in intervening in European international issues, should a crisis occur. In other words, it is Britain's traditional policy of intervening in the struggle between two great powers to gain the fisherman's profit, which it intends to implement in the Pacific. Ultimately, the calculation is to incite Japan and America to fight, while Britain itself calmly stays aloof, watching the US-Japan war from a high seat.
And so, for Britain to attain such a position to gain the fisherman's profit, it must first and foremost bolster its own military preparedness. Especially, strengthening Britain's Pacific bases is the priority issue. For that reason, Britain is now steadily advancing towards that policy.
Now, to understand the tense situation regarding the Pacific, the quickest way is to first examine the figures of the naval budgets of the three great powers: Japan, Britain, and America. Looking at the naval budgets of the three powers for the last five years, they are as follows:
Japan (Yen)     UK (Pound)    US (Dollar)
1931-32  227,128,000  50,015,000  357,821,000
1932-33  306,766,000  50,164,000  349,562,000
1933-34  403,771,000  53,570,000  332,000,000
1934-35  487,871,000  56,650,000  457,000,000<94>
As can be seen from this table, the naval budgets of the three great powers are increasing year by year, and considering the current global situation, it is unimaginable that these figures will decrease. Especially as the tense situation in the Pacific gradually sharpens, it is as clear as day that naval budgets will increase even more.
Now, the navies of the three great powers as of December 31, 1933, are shown in the following table:

Japan              Britain               USA
Ships     Tonnage      Ships     Tonnage      Ships     Tonnage
Aircraft Carriers     4      68,370       6     115,350      3       77,500
(1 ,      11,500)
Type A Cruisers  14     123,520      19     183,686      2        10,000
(2       15,720)                       (1          7,350)
Type B Cruisers  20       93,375     35     165,045      10        70,500
(3,       21,920)   (15,      62,265)
Torpedo Boats [Destroyers]     104      128,802    160     181,864      251       267,470
(42       39,821)   (26     123,490)     (248      263,900)
Submarines      70        77,125    58       54,744       82       67,790
(7          5,344)   (25,     13,855)      (37       12,260)
Note - (Figures in parentheses indicate the number and tonnage of ships exceeding their age limit and due for replacement construction.)

The Colossus of the Pacific

On February 13, 1934, Japan approved an enormous military budget. The budget for the fiscal year starting April 1, 1934, includes a total of 100,000 [unit missing, likely billion yen? - the preceding budget tables suggest hundreds of millions, so this figure seems disproportionately large or mistyped/misprinted, likely meant 1 billion or similar total military budget] military spending, a figure reaching 45[%] of the Japanese government's total budget.
And so, Japan, at the 1935 Naval Conference, will cast aside all pretenses and resolutely withdraw from the conference. As a result, a naval shipbuilding competition unparalleled in history will break out. This is truly the "Colossus of the Pacific..." upon which the world's attention and interest will converge. However, before this "Colossus of the Pacific" is resolved, the answer to the question, that is, "Will there be a ... battle?" will be given to the world. ... considering the possibility of conflict with ... is a fundamental fact we must bear in mind. It is a fact acknowledged not only by military personnel of various countries worldwide but also by military researchers, especially ... that Japan's military strength and strategic position will be decidedly advantageous by the end of 1935. Therefore, the breakdown between the two countries naturally occurs in the spring of 1935. Militarily speaking, Japan is effectively in the same position as France. ... To gamble on victory, war must be instigated now. Time is working against her. Each moment delayed makes victory that much farther (harder). Why? Because ... day by day not only develops the efficiency of its military force<95> but also bolsters the capacity of the industries supporting it. Regarding its *** ***, the strategically **** *** ** is * France regarding * Europe *. However, considered economically, ... it is quite on the same track. Japan's industrial capacity, like Germany's industry centered on the Ruhr (루-루-), is concentrated in Tokyo-Yokohama and Osaka, and to survive, it must expand overseas. Moreover, it now faces the urgent need for that expansion. Just as Thyssen's and Schacht's Germany, situated in the middle of Europe, dreams of imagining an economically self-sufficient unit, Japan dreams of creating a great self-sufficient Asian economic unit governed from Tokyo. And thus, Japan, at the same time, is set to accommodate its surplus population, increasing at a rate of 1 million people annually, towards this thus created Asian economic unit.
Japan already... stands. ... what it will gladly defend, and will defend, ... stands. Britain is already ... waving its hand to Japan. On May 18, 1934, the British Foreign Secretary declared, "Britain does not swear to maintain the integrity of China. And Britain will not participate in direct sanctions against Japan or any other country."
This statement essentially represents the consensus of British industry and financial circles, always coordinating with Japan, despite the tendency of other dominions, excluding Canada, to sympathize with Russia. And judging by the tone of conservative newspapers like the Morning Post, Daily Telegraph, and the semi-official paper of the British Foreign Office, the London Times, over the past 12 months, it is crystal clear that Britain's foreign policy has a very pro-Japanese color.
Thus, the fact that the Federation of British Industries (英吉利 産業聯盟), with government approval, dispatched a delegation to Manchukuo in September 1934 signifies semi-official recognition of Manchukuo by the British government. In summary, the opinion within the British Conservative Party is that the Anglo-Japanese Alliance is necessary to supplement Britain's pro-German foreign policy, which is required to avoid future troubles for Britain's colonial policy. This gives considerable strength to Japan. As a result, relying on Britain's tacit support for Japan, the Japanese government gained the courage to ignore the sensitive memorandum from US Secretary of State Hull (하루) on April 30, 1934, which clarified the principle against unilateral actions by one country in the Far East.<96>

**Summary**

This 1935 article by an American military commentator analyzes the shifting power dynamics in Asia, focusing on Japan's rise as a major power challenging the West. It highlights Britain's ambivalent stance: supporting Japan as a bulwark against Communism spreading from China while simultaneously fearing Japanese expansion towards its own South Pacific colonies and strengthening its Singapore base. The author predicts an inevitable naval arms race involving Japan, Britain, and the US, fueled by Japan's economic and demographic pressures for expansion and Britain's strategy to profit from a potential US-Japan conflict. The piece details growing naval budgets and fleet strengths, concluding that Japan feels militarily advantageous in the short term (1935) and is emboldened by perceived British tacit support, evidenced by Britain downplaying Japanese actions in China and recognizing Manchukuo.

From the perspective of Korean colonial history, this article is revealing because it reflects the international geopolitical context in which Japan's colonization of Korea and expansion into Manchuria were taking place. It shows how major Western powers like Britain viewed Japan's actions through the lens of their own strategic interests (countering communism, maintaining colonial power, economic competition), sometimes offering tacit support or choosing non-intervention, which ultimately allowed Japanese imperialism to proceed with less resistance. Historians might find the explicit mention of Britain's calculation to let the US and Japan fight, Britain's nuanced view of Japanese trade not being overly detrimental, and the direct reference to British semi-official recognition of Manchukuo particularly interesting as contemporary foreign analysis of the situation enabling Japan's expansion.

**Named Entities**

亞細亞	아세아	Asia
英吉利	영길리	Great Britain
米國	미국	America/USA
獨逸	독일	Germany
日本	일본	Japan
支那	지나	China
太平洋	태평양	Pacific Ocean
아메리가	아메리카	America/USA
外務省	외무성	Ministry of Foreign Affairs (Japan)
印度	인도	India
빠나마	파나마	Panama
가나르·쫀	카날 존	Canal Zone (Panama Canal Zone)
北方	북방	North (region, likely referring to Manchuria/North China)
露西亞	노서아/러시아	Russia
南太平洋	남태평양	South Pacific
신가뽈-/신가볼-	싱가포르	Singapore
地中海	지중해	Mediterranean Sea
세이론島	세일론 섬	Ceylon Island (Sri Lanka)
印度洋	인도양	Indian Ocean
요-롯바	유럽	Europe
東京	동경	Tokyo
橫濱	횡빈	Yokohama
大阪	대판	Osaka
루-루-	루르	Ruhr
다이센	티센?	Thyssen (likely Fritz Thyssen, German industrialist)
싸하도	샤흐트?	Schacht (likely Hjalmar Schacht, German economist/politician)
滿洲	만주	Manchuria
가나다	캐나다	Canada
모-닌구, 뽀-스도	모닝 포스트	Morning Post (UK Newspaper)
데-리데리구리후	데일리 텔레그래프	Daily Telegraph (UK Newspaper)
外務省	외무성	Foreign Office (UK)
론돈타임쓰	런던 타임스	London Times (UK Newspaper)
英吉利 産業聯盟	영길리 산업연맹	Federation of British Industries
하루	헐	Hull (Cordell Hull, US Secretary of State)
國務卿	국무경	Secretary of State (US)
스티-일	스티일	Steele (Author's name)

**Glossary**

되엿다	되었다	became (older spelling of 되었다)
잇다	있다	to be, exist (older spelling of 있다)
안타	않다	not (older spelling/form of 않다)
업다	없다	to not exist, be absent (older spelling of 없다)
브터	부터	from (older spelling of 부터)
갓치	같이	like, as, together (older spelling of 같이)
놉히	높이	highly, high up (older spelling of 높이)
밧고	받고	receiving (older spelling of 받고)
그럿치	그렇지	like that, so (older spelling of 그렇지)
거긔	거기	there (older spelling of 거기)
어덧든	얻었던	obtained, gained (older spelling/form of 얻었던)
섯다	섰다	stood (older spelling of 섰다)
혼膽	혼담	intention, scheme, plan (used here to mean 'intention' or 'grand design')
돗구	도크	dock (loanword)
따부루돗구	더블도크	double dock (loanword)
도라이 돗구	드라이도크	dry dock (loanword)
惹起	야기	to cause, provoke, bring about
締出	체출	exclusion, expulsion, shutting out
彌滿	미만	spreading, pervading, filling
浸汎	침범	invasion, encroachment, infringement
鑑하야	감하여	considering, in view of (older grammatical form)
可決	가결	approval, passage (of a bill, budget, etc.)
建艦	건함	warship construction, shipbuilding
勃發	발발	outbreak, eruption (of war, incident)
介在	개재	intervention, interposition, lying between
邁進	매진	striving forward, pushing vigorously ahead
尨大	방대	enormous, vast, huge
欣然	흔연	gladly, cheerfully, with pleasure
聲明書	성명서	statement, declaration
暗示	암시	hint, suggestion, implication
獲得	획득	acquisition, attainment, gaining
確實히	확실히	certainly, surely, reliably
抵觸	저촉	conflict, clash, violation (of law, interests)
支持	지지	support, backing
實行	실행	execution, implementation, carrying out
解決	해결	solution, resolution
發表	발표	announcement, presentation, publication
豫算	예산	budget, estimate
運命	운명	fate, destiny
脅威	위협	threat, menace, intimidation
裝備	장비	equipment, outfit
勢力範圍	세력범위	sphere of influence
親日的	친일적	pro-Japanese
對抗	대항	opposition, resistance, countermeasure
센세이슌	센세이션	sensation (loanword)
논설	논설	editorial, opinion piece, discourse
군사평론가	군사평론가	military commentator
필자	필자	author, writer
발행일	발행일	publication date
잡지명	잡지명	magazine title
기사제목	기사제목	article title
기사형태	기사형태	article type
본문	본문	main text
원	엔	Yen (Japanese currency unit)
방	파운드	Pound (British currency unit)
불	달러	Dollar (US currency unit)
항공모함	항공모함	aircraft carrier
갑식순양함	갑식순양함	Type A Cruiser (Heavy Cruiser)
을식순양함	을식순양함	Type B Cruiser (Light Cruiser)
수뢰정	수뢰정	Torpedo boat (often used for Destroyer in this era)
잠수함	잠수함	submarine
척	척	counter for ships
톤수	톤수	tonnage
함령	함령	ship's age


---------------------------


잡지명	삼천리 제7권 제2호
발행일	1935년 02월 01일
기사제목	亞細亞의 風雲
필자	米國軍事評論家 스티-일
기사형태	논설

亞細亞의 風雲
						米國軍事評論家 스티-일
本文은 非常한 센세이슌을 이르켜 米英 獨逸 日中 各國語로 飜譯되어 널니 읽힌 것으로서 必讀이 好文字이다.

日本에 대한 英吉利의 好意

日本은 成人이 되엿다. 지금까지 西洋諸國은 아직 成長치 못한 兒童이라고 생각하엿든 日本은 어느새 大成人이 되엿다. 그리하야 日本은 一躍 大人이 되어서 大人답게 盛實히 振舞하고 잇다.
지금 日本은 經濟帝國時代이다. 支那에 대한 所謂「勢力範圍」라고 云하는<92> 確然한 部分이며 저 廣大한 支那市場의 獲得이며 혹은 또... 太平洋上의 3大强國인 英吉利, 日本, 아메리가의 三國의 爭覇戰이 1935년 春브터는 勃發할 것이다.
日本은 支那의 領土內에 잇서서 所謂 쁘리시·오부·인비리아쯤을... 그것은 實際에 잇서서 事實上 確實히 英吉利의 支持를 바든 것이다. 이 日本政策은 1934년 4월 日本의 外務省에 發表된 聲明書에 의하야 一目瞭然하엿든 것이다. 그 聲明은... 대체로... 일을 暗示하고 잇다.
亞細亞... 대한... 熾烈한 攻勢는 太平洋上에 한 問題를 惹起치 아니치 못하게 되엿다. 况 此問題의 解決은 簡單치 안타. 外交文句나 會商 등으로서는 容易히 決定될 理가 업다. 늣거나 빨으거나 어느 때든지... 解決될 運命에 잇다. 支那... 委任하는 것은 말할 것 업시 아메리가의 商品이 締出되는 것이다. 그와 同時에 極東에 대한 아메리가의 領地에 대한 脅威도 되는 것이다. 殊히 日本에 대하야 아메리가와 英吉利가 步調를 갓치 할 것은 도저히 希望업고 極東問題에 關聯한 것 만큼 英吉利의 政策은 親日的임으로 日本進出을 阻止하기는 容易치 안흘 것이다.
아메리가의 屬領에 日本商品의 進出에 의하야 軍事的 壓迫도 적지 안흘 것이다. 과거 3個年間 日本의 輸出貿易은 아메리가及 빠나마와 가나르·쫀에 巽常한 躍進을 表示하엿다.
이리하야 日本은 漸漸 躍進하고 잇스나 英吉利는 日本의 發展을 害止할 氣分은 秋毫도 업다. 北方의 日本發展은 主로 아메리가 利益에 抵觸되나. 英吉利에 잇서서는 그런 苦痛도 업다.
대체 英吉利는 印度에 대한 日本商品의 進出이 英吉利의 貿易에 잇서서 世間一般이 생각하는 거와 갓흔 害가 잇다고 생각지 안는다는 것이다. 印度에 대한 日本商品의 躍進은 너무 針小棒大로 宣傳되여서 잇다. 그 뿐만 안니라 과거 25個年間 日本은 印度에 販賣한 商品代 보담도 30억원 以上을 印度로부터 買入한 것을 이저서는 안된다. 그리하야 同期間內에 잇서서 英吉利는 印度로부터 輸入하는 額보다도 20억원 以上의 英吉利商品을 印度에 販賣하고 잇다. 換言하면 日本은 과거 25個年間에 亘하야 印度에 多年 平均 1억2,500만원이란 金額을 보내(送)고 잇스나 英吉利는 그 反對로 每年 印度로부터 1억원의 金額을 밧고 잇다. 結局 印度가 日本에서 販得한 金額으로서 印度가 英吉利로부터 買入한 商品代를 支拂하고 잇다. 그럼으로 英吉利는 어느 쪽이냐 하면 日本偏이다. 그것은 맛치 英吉利의 保守派가 露西亞의 共産主義의 彌滿에 대한 唯一의 効果的 堡壘으로서 獨逸을 보는 거와 同樣이다. 况 그 共産主義가 支支那에 根據를 두고 次第로 南下하야 極東에 대한 英吉利의「勢力範圍」을 浸汎하고 잇는 現狀에 鑑하야 日本에 대한 好意를 갓는 것은 當然한 일이다.

3大國의 海軍 豫算

그러면 英吉利는 徹頭徹尾하게 日本에<93> 好意을 가지느냐 하면 결코 그럿치 안타. 英吉利는 一方에 잇서서 極東에 대한 共産主義에 잇서 効果的 堡壘으로서 日本에 好意을 갓고 잇는 同時 地方에 잇서서 太平洋에 進出하는 日本의 勢力이 南太平洋에 대한 英吉利의 植民地에 接觸하는 것을 두러워서 그 對抗을 講究하고 잇다.
日本의 發展에 대하야 英吉利는 太平洋上에 强力의 海軍 根據地를 設置하고 잇스나 1935년에는 신가뽈-에 대한 海軍 要塞을 完成하고 잇다. 이 신가볼-의 海軍 根據地는 地中海에 대한 英國의 主力艦隊를 極東에 그대로 移動식히게 된다.
