잡지명	개벽 제1호
발행일	1920년 06월 25일
기사제목	宇宙開闢說의 古今 (Ancient and Modern Theories of the Universe's Creation)
필자	朴庸淮
기사형태	논설 (Editorial/Essay)

宇宙開闢說의 古今
						朴庸淮

That astronomy instills in humans a sense of reverence and sublimity, cuts off thoughts of petty selfishness, and allows one to be embraced by the bosom of infinite and limitless divine contemplation, can be called a kind of religious solace that this field gives us. Try this: at a time of quiet night with no people, place yourself upon Myogodae (妙高臺) and calmly gaze up at the sky. Countless stars are brilliantly hung in the blue expanse, giving me a mystery without words or text. Whenever our thoughts touch upon this great problem called the universe, we cannot help but feel a kind of wondrous sensation. That sun does not violate the four seasons, the moon and the earth—always staying within their bounds, and star after star traverses the blue sky with structure. How grand! Within this limitless and infinite universe, countless celestial bodies like our sun each form their own systems and revolve in an orderly manner; no matter how we try, we cannot suppress a feeling of infinite sublimity towards this. Even just considering the planets revolving around our solar system, there are Mercury, Venus, Mars, Jupiter, Saturn, Uranus, Neptune, etc., and the Earth where we dwell; there are also satellites revolving around these stars; there are comets; there are meteors flying through the infinite void; accordingly, counting the other countless fixed stars, nebulae, etc., there is truly no limit. When we observe such countless stars occupying their places in this space, maintaining order, and performing public and private revolutions, we cannot help but be greatly astonished, startled, and filled with great doubt and wonder.

In response to this, exploring how our ancient ancestors observed this great universe with their simple thoughts is quite an interesting and also beneficial task. Originally, the simple <75> populace of ancient times did not know the creation and beginning of the universe through methods like experience or reasoning based on logic; they merely felt the infinite and limitless awe-inspiring power of this universe and did nothing more than believe in it. Therefore, the ancient people's theories of the creation of heaven and earth were a kind of mythology.

Now, if we pursue the traces of how the peoples of various foreign countries thought about the theory of the creation of the universe:

1.  In Israelite mythology, it is said that the universe and the world were the creation of God Jehovah. According to what is recorded in its holy scripture, Genesis: "In the beginning, God created the heavens and the earth. At that time, the earth was a formless, empty, dark abyss. God covered the face with the spirit-water and separated light and darkness. Thus, God named the light Day and the darkness Night; this was the first day of creation. God said, 'Let there be an expanse in the midst of the water to separate water from water.' Thereupon, God made the expanse and separated the water below the expanse from the water above the expanse, just as it appears today. God then named the expanse Heaven; this was the second day of creation." Just like this, He created heaven and earth, made dry land appear in the midst of the water to create the Earth, gathered the water to create the Sea, and created plants on the Earth; this was the third day. On the fourth day, He created the sun and moon to illuminate the Earth. On the fifth day, He brought forth birds and fish. On the sixth day, He created beasts such as insects and domestic animals, and finally, He created two people, male and female.

Norse (Scandinavian) mythology: In the beginning, the world was divided into two realms, the realm of ice and cold, and the realm of scorching heat. There was an "unfathomable" spirit that raised a magic wind, causing snowflakes to fly from the realm of ice and cold to form a giant demon, which was named Ymir (이ㅣ밀). At this time, there was nothing called heaven, earth, day, or night. The snow from the realm of ice and cold melted to become a giant cow, which nourished Ymir with the river of milk flowing from it. However, from within the rocks, a giant god named Búri (불루) appeared, killed the demon Ymir, and threw him into the air. Ymir's flesh became the plains, his bones the mountains, his hair the forests, his teeth the rocks, his blood the great sea, and his brain the sky. At the North Pole, there was also a monstrous bird that stirred up wind and waves. Divine beings threw fragments of fire from the southern realm of scorching heat to create the world's fire; the sun and moon are precisely this.

Indian mythology: The body of a god called Brahma (梵天) is said to have given birth to the universe and the Earth. That is, Brahma's head became the heavens, his feet the earth, his heart the moon, and his eyes the sun. Then, from his mouth, the two gods Indra (因陀羅) and Agni (阿耆尼) were born; from their breath, the air was born; and finally <76> from his mouth, the Brahmins (僧侶 - priests), from his arms, the Kshatriyas (刹帝利 - warriors), from his belly, the Vaishyas (畎舍 - merchants), and from his legs, the Shudras (首陀 - slaves) – the four castes – were born.

Chinese mythology: In the beginning, the universe was like a chaotic chicken egg. The clear part rose to become Heaven, and the turbid part descended to become Earth. Pangu (盤古氏) was born in the middle. When Pangu died, his breath became wind and clouds, his voice thunder, his left eye the sun, his right eye the moon, his four limbs and five body parts the four corners and five sacred mountains, his blood the rivers, his sinews and veins the earth's geography, his muscles the fields, his hair the stars, his skin and fur the grass and trees, his essence and marrow pearls and jade, and his flowing sweat the rain and dew. Later, Gonggong (共工氏) fought with Nüwa (女媧氏) and, upon being defeated, struck his head against Mount Buzhou (不周山), breaking the pillar of Heaven and severing the cord of Earth. As the universe collapsed, Nüwa mended the heavens with five-colored stones and repaired the earth with the feet of the giant turtle Ao (鰲).

As seen above, the simple people of ancient times did not view the creation of the universe as a natural phenomenon or the manifestation of force, but considered it the work of sacred gods or divine beings and revered it as such. However, as civilization developed, people stopped believing such legendary accounts and sought to clarify the mystery of the universe through reasoned investigation; this is precisely the ancient Greek philosophers' theory of the origin of the universe.

Let us glance at how Greek scholars investigated the creation of the universe:

Thales (타ㅣ레쓰), the founder of Greek philosophy, lived around 600 BC; he stated that the origin of heaven, earth, and all things is water. Anaximander (아나크식만텔쓰) called the origin of the universe the boundless ("Apeiron" - 아빠이론); that is, the origin of all things is born from the solid, boundless "Apeiron." The "Apeiron" possesses the qualities of cold, warm, dry, and wet. Its wet and cold part was enveloped by warm fire, and later that fire fragmented to become the various stars of the celestial bodies. Also, its wet and cold part was evaporated by the fire, leading to the separation of water and land. Furthermore, our human race initially lived in water like fish and shellfish, gradually emerging onto land to form today's physique. Besides these, there were Anaximenes' (아나키시메네쓰) theory of air, Heraclitus' (헤라크라일쓰) theory of fire, the Eleatic (여레야) school's theory of love and hate, the Pythagorean (빠자코라쓰) school's theory of number and principle, etc., each seeking to clarify the origin of the universe. But with the arrival of Democritus (떼모크리타쓰), these various theories were synthesized, marking a new epoch in Greek philosophers' cosmology.

According to Democritus' theory, in the beginning of the universe, there were indivisible <77> atoms. Similar atoms gathered together, with the large and heavy ones moving towards the center and the small and light ones towards the periphery, thus forming a cluster, which was named a world. Since space is infinite, the atoms within it are also infinite, consequently creating infinite solid bodies and countless worlds. As for Eastern philosophers, there were Earth theorists (地論師) who considered earth the origin of the universe, Water theorists (水論師) who viewed it as water, Fire theorists (火論師) who viewed it as fire, and Wind theorists (風論師) who viewed it as wind, their theories differing respectively. However, the modern theory of the universe's creation started entirely with scientific reasoning methods, leading to the creation of completely new doctrines.

Herschel (하ㅣ씨엘) stated that among the celestial bodies of the universe, the state of countless celestial bodies—that is, the stars' transformation, reflection, and emission—is exactly similar to the state of a forest. He thought that when we enter a forest and look around, on the ground, there are plant seeds just beginning to sprout, others that have budded but not yet grown much, large trees towering towards the sky, and also some that have already withered, leaving their form only as timber. Such myriad forms, waxing and waning, flourishing and declining, are hardly different from human rise and fall. This is the state of the celestial bodies. Among those distant celestial bodies, there are those currently in their prime, those already declined, those just about to be born, those newly born, etc., their nature not differing in the slightest from the state of a forest.

Now, it is a fact that many planetary systems exist within the universe, but is that planetary system truly an accidental aggregation or not? Looking at the relationship regarding the planetary system, the orderly arrangement without the slightest disorder is simply astonishing. It is utterly unthinkable that such a system was created accidentally or instantaneously; there is no other way but to consider it as something that gradually developed and progressed over eternal ages.

Mr. Haeckel's (헷겔) cosmology presented the following view of the universe as the latest, most advanced doctrine. According to his theory:
One. The universe is eternal, infinite, without boundary.
Two. The substance of the universe has the two attributes of matter and force, fills infinite space, and performs eternal motion.
Three. This eternal motion is continuous, uninterrupted evolution, undergoing periodic changes from life to death, development to degeneration, existing in infinite time.
Four. The countless bodies in the "ether" (에데루) pervading space all obey the same <78> law of substance. That is, just as one body circulating in one part of space slowly approaches destruction and separation, simultaneously, a body in another part slowly moves towards the new life of evolution.
Five. Our solar system's sun is also one such body that will eventually be destroyed, and our Earth is likewise merely one transient star revolving around countless existing suns like it.

From the above discussion, the infinity and eternity of the universe are roughly understood, but regarding the specifics of fixed stars and planetary systems, it cannot be said that this has been fully explained. Here, Laplace's (라뿌라쓰) nebular hypothesis is sufficient to provide supplementation. Moreover, since he established his theory with the help of mathematics and physics, its reasoning is considered almost exact and cannot be distrusted. According to his theory:
One. In the beginning, our solar system, whether the sun or other planets, all existed in a state of nebula (星霧).
Two. This nebula was like a gas cloud, hotter than the current sun.
Three. This gas cloud, due to its own gravitational action, became spherical while rotating. The reason the nebula started rotating was that the motion of its various parts was uneven; as it gradually contracted, like water draining from a funnel forming a vortex, it became spherical, and the speed of rotation increased with the contraction of volume.
Four. As the spherical nebula rotated, its poles became flattened. Then, as the speed of motion increased, due to the equivalence of centrifugal and centripetal forces at the nebula's equator, similar to Saturn's rings today, a nebular ring first formed.
Five. While the nebular equatorial ring shared motion with the spherical nebula, the various parts that broke off midway, having slightly different speeds from the spherical nebula, gathered separately and eventually formed another spherical nebula.
Six. The sphere separated from the spherical nebula's equatorial ring, its speed of motion eventually becoming slower on the inside than the outside, thereby generating rotation while also orbiting.
Seven. The separated planets, through the same procedure, produced satellites.

The above is the famous nebular hypothesis of Laplace. In summary, it can be fully explained that within the universe, the fixed stars, star clusters, and other celestial bodies connected to space came from nebulae, as described above.
Modern science has generally viewed the creation of the universe based on the reasons outlined above. <79>

**Summary**

The article "Ancient and Modern Theories of the Universe's Creation" by Pak Yong-hwae, published in the first issue of *Kaebyŏk* (1920), surveys cosmological views ranging from ancient myths (Israelite, Norse, Indian, Chinese) and Greek philosophy (Thales, Anaximander, Democritus) to modern scientific theories (Herschel, Haeckel, Laplace). It contrasts early mythological explanations attributing creation to divine beings with philosophical inquiries into fundamental substances (water, air, atoms) and culminates in contemporary scientific models like the nebular hypothesis, emphasizing an evolutionary, ordered, and vast universe governed by natural laws. From a colonial history perspective, the article is interesting as it appears in *Kaebyŏk*, a magazine central to Korean intellectual life under Japanese rule. Its engagement with universal scientific knowledge, placing Western science (Laplace, Haeckel) as the modern endpoint after surveying global traditions, reflects the era's drive to understand and adopt modernity. Historians might find it significant that amidst colonial subjugation, Korean intellectuals were exploring grand cosmological questions, implicitly asserting intellectual equality and engaging with global currents of thought, potentially as a form of cultural resistance or nation-building through knowledge.

**Named Entities**

朴庸淮	박용회	Pak Yong-hwae
이스라엘	이스라엘	Israel
여호와	여호와	Jehovah
스칸데나삐아	스칸디나비아	Scandinavia
이ㅣ밀	이미르	Ymir (represented phonetically)
불루	부리	Búri (represented phonetically)
인도	인도	India
梵天	범천	Brahma
因陀羅	인타라	Indra
阿耆尼	아기니	Agni
婆羅門	바라문	Brahmin
刹帝利	찰제리	Kshatriya
畎舍	견사	Vaishya (likely phonetic representation or error for Vaishya)
首陀	수타	Shudra
支那	지나	China (older term)
盤古氏	반고씨	Pangu shi
共工氏	공공씨	Gonggong shi
女媧氏	여와씨	Nüwa shi
不周山	부주산	Mount Buzhou
鰲	오	Ao (giant turtle)
希臘	희랍	Greece
타ㅣ레쓰	탈레스	Thales
아나크식만텔쓰	아낙시만드로스	Anaximander (represented phonetically)
아빠이론	아페이론	Apeiron (represented phonetically)
아나키시메네쓰	아낙시메네스	Anaximenes (represented phonetically)
헤라크라일쓰	헤라클레이토스	Heraclitus (represented phonetically)
여레야	엘레아	Elea/Eleatic
빠자코라쓰	피타고라스	Pythagoras (represented phonetically)
떼모크리타쓰	데모크리토스	Democritus (represented phonetically)
하ㅣ씨엘	허셜	Herschel (represented phonetically)
헷겔	헤겔	Haeckel (represented phonetically, Ernst Haeckel)
에데루	에테르	Ether
라뿌라쓰	라플라스	Laplace (represented phonetically)

**Glossary**

開闢	개벽	Creation; the dawn of a new era
宇宙	우주	Universe
古今	고금	Ancient and modern times
論설	논설	Editorial; essay; discourse
敬虔崇高	경건숭고	Reverence and sublimity
齷齪	악착	Petty; base; grasping (here used for petty thoughts)
無極無限	무극무한	Limitless and infinite
神想	신상	Divine thought; contemplation of the divine
靜夜無人	정야무인	Quiet night with no people
妙高臺	묘고대	Myogodae (possibly a specific place, or metaphorical high place for observation)
星宿	성수	Stars; constellations
燦燦히	찬란히	Brilliantly; dazzlingly
蒼空	창공	Blue sky; firmament
無言不文	무언불문	Without words or writing; unspoken
恒常ㅣ	항상	Always (older spelling with ㅣ particle attached)
其度	기도	Its measure; its bounds
規模잇게	규모 있게	With structure; methodically
縱橫하는도다	종횡하는도다	Traverses freely; criss-crosses (older sentence ending)
偉홈다	위대하다	How grand!; Is grand (older exclamatory form)
無窮	무궁	Endless; infinite
天體	천체	Celestial body
系統	계통	System
秩序잇게	질서 있게	Orderly; methodically
轉輪함에	전륜함에	While revolving/rotating
無限崇大	무한숭대	Infinitely sublime and great
不能하다	불능하다	Unable to; cannot
太陽系	태양계	Solar system
遊星	유성	Planet (lit. wandering star)
棲하는	서식하는	Where (we) dwell/inhabit
衛星	위성	Satellite (moon)
慧星	혜성	Comet
空際	공제	Void; empty space
流星	유성	Meteor (shooting star)
딸아서	따라서	Accordingly; following that
恒星	항성	Fixed star
星霧	성운	Nebula (lit. star fog)
算來하던	산래하던	When one counts/calculates (older form)
殆히	태히	Truly; indeed; almost
際限	제한	Limit; boundary
업도다	없도다	There is not; does not exist (older form)
如斯한	여사한	Such; like this
空間	공간	Space
座를 占하고	좌를 점하고	Occupies a seat/place
維持하야	유지하여	Maintaining (older spelling)
公轉	공전	Revolution (orbital motion)
自轉	자전	Rotation (spinning motion)
驚目駭心	경목해심	Astonishing to the eyes and startling to the heart
大疑大訝	대의대아	Great doubt and great wonder
不得하리로다	부득하리로다	Cannot help but; must inevitably (older future presumptive ending)
對하야	대하여	Regarding; concerning (older spelling)
祖先	조선	Ancestor
素朴한	소박한	Simple; naive; rustic
探知함은	탐지함은	Exploring; investigating
頗히	파히	Quite; rather
有益한	유익한	Beneficial; useful
元來ㅣ	원래	Originally (older spelling with ㅣ particle attached)
太古	태고	Ancient times; antiquity
經驗	경험	Experience
推理	추리	Reasoning; inference
論理	논리	Logic
依하야	의하여	According to; based on (older spelling)
創造	창조	Creation
威靈	위령	Awe-inspiring power; majesty
信함에 不外하엿나니	신함에 불과하였나니	Was nothing more than believing (older form)
故로	고로	Therefore
神話	신화	Myth; mythology
痕	흔	Trace; mark
追求하면	추구하면	If one pursues/investigates
聖典	성전	Holy scripture
創世記	창세기	Genesis
元始ㅣ	원시	In the beginning (older spelling with ㅣ particle attached)
定形	정형	Definite shape; form
曠空한	광공한	Empty; void
黑暗淵	흑암연	Dark abyss
靈水	영수	Spirit-water
覆하고	덮고	Covering
光	광	Light
暗	암	Darkness
畫	화	Day (here used for day)
夜	야	Night
初日	초일	First day
蒼穹	창궁	Expanse; firmament
於是에	어시에	Thereupon; then
判하니	판하니	Separated; divided
卽	즉	Namely; that is
今日	금일	Today
現象	현상	Phenomenon; appearance
名하시니	명하시니	Named (honorific, older form)
第二日	제이일	Second day
斯와 如히	사와 여히	Like this; thusly (older form)
乾한 土	건한 토	Dry land
맨들엇스며	만들었으며	Made (older spelling)
集하야	집하여	Gathering (older spelling)
第三日	제삼일	Third day
第四日	제사일	Fourth day
照하는	비추는	Illuminating; shining upon
日月	일월	Sun and moon
第五日	제오일	Fifth day
鳥類	조류	Birds
魚類	어류	Fish
生케하고	생케하고	Caused to be born; brought forth
六日	육일	Sixth day
昆虫	곤충	Insects
家畜	가축	Domestic animals
獸類	수류	Beasts
最後	최후	Finally; lastly
男女	남녀	Male and female; man and woman
太初	태초	Beginning; primordial time
冰寒界	빙한계	Realm of ice and cold
焦熱界	초열계	Realm of scorching heat
不可思議	불가사의	Inconceivable; mysterious
一靈	일령	One spirit
魔風	마풍	Magic wind; demonic wind
雪片	설편	Snowflake
巨大	거대	Huge; gigantic
魔	마	Demon; magic being
名하엿다	명하였다	Named (older spelling)
融하야	융하여	Melting (older spelling)
巨牛	거우	Giant cow
流出하는	유출하는	Flowing out
乳河	유하	River of milk
養하니라	양하니라	Nourished (older narrative ending)
然한대	그런데	However; but (older form)
巖石	암석	Rock
巨人	거인	Giant
云하는	운하는	Called; named (older form, from Classical Chinese 云)
顯하야	현하여	Appearing (older spelling)
殺하야	살하여	Killing (older spelling)
投하니	투하니	Threw (older form)
平野	평야	Plain; flatland
山嶽	산악	Mountains
毛髮	모발	Hair (body/head)
森林	삼림	Forest
齒牙	치아	Teeth
血液	혈액	Blood
大海	대해	Great sea; ocean
頭腦	두뇌	Brain
北極	북극	North Pole
妖鳥	요조	Monstrous bird; supernatural bird
風波	풍파	Wind and waves
神人	신인	Divine being; god-man
火片	화편	Fragment of fire
是이라	이것이라	Is this (older form)
身體	신체	Body
呼吸	호흡	Breath
空氣	공기	Air
腕	완	Arm
腹	복	Belly; abdomen
脚	각	Leg
四族	사족	Four castes/clans
混沌한	혼돈한	Chaotic
鷄子	계자	Chicken egg (older term)
淸한 者	청한 자	The clear/pure part
濁한 者	탁한 자	The turbid/muddy part
氣	기	Breath; spirit; energy (qi)
聲	성	Voice; sound
雷霆	뇌정	Thunder
左眼	좌안	Left eye
右眼	우안	Right eye
四肢五體	사지오체	Four limbs and five body parts (trunk, head)
四極五嶽	사극오악	Four corners (of the earth) and five sacred mountains
江河	강하	Rivers
筋脈	근맥	Sinews and veins
地理	지리	Geography (here refers to the lay of the land)
肌肉	기육	Muscles; flesh
田土	전토	Fields; arable land
星辰	성신	Stars
皮毛	피모	Skin and fur/hair
草木	초목	Grass and trees; vegetation
精髓	정수	Essence and marrow
珠玉	주옥	Pearls and jade
汗流	한류	Flowing sweat
雨澤	우택	Rain and dew
其後	기후	After that; subsequently
戰하다가	전하다가	While fighting
敗함에 미쳐	패함에 미쳐	Upon being defeated
頭로	두로	With the head
觸하야	촉하여	Striking; touching (older spelling)
天柱	천주	Pillar of Heaven
挫하고	좌하고	Broke; snapped
地維	지유	Cord(s) of Earth
折하니	절하니	Severed; broke
崩壤함으로써	붕양함으로써	Because (it) collapsed
五色	오색	Five colors
石으로써	석으로써	With stone(s)
補하고	보하고	Mended; repaired
足으로써	족으로써	With the feet
修하엿다	수하였다	Repaired; mended (older spelling)
人文	인문	Civilization; human culture
發達함에조차	발달함에조차	Along with the development of (older grammatical form)
傳說的	전설적	Legendary
所說	소설	Account; story; theory
밋지 안이하고	믿지 아니하고	Not believing (older spelling)
推論	추론	Reasoning; deduction
硏究	연구	Research; study
鮮明코저 하엿나니	선명코자 하였나니	Sought to clarify (older form)
原始說	원시설	Theory of origin
一瞥컨대	일별컨대	Taking a glance
元祖	원조	Founder; originator
紀元前	기원전	B.C. (Before Christ)
頃의 人	경의 인	Person of around (that time)
根源	근원	Origin; source
本原	본원	Origin; fundamental source
無際限	무제한	Boundless; limitless
固性	고성	Solid nature; inherent property (likely referring to substance)
濕하고	습하고	Wet; damp
寒한 者	한한 자	The cold part
暖한	난한	Warm
包하엿다가	포하였다가	Was enveloped/wrapped (older form)
分裂하야	분열하여	Fragmented; split (older spelling)
蒸發한바 되어	증발한 바 되어	Having been evaporated
此에서	차에서	From this
水陸의 別	수륙의 별	Distinction/separation of water and land
我等	아등	We; us (older pronoun)
人類	인류	Humankind; human race
其 初는	기 초는	In its beginning
魚介	어개	Fish and shellfish
住하엿다가	주하였다가	Lived; dwelt (older spelling)
漸次	점차	Gradually
陸上	육상	Land; shore
出하야	출하여	Emerging; coming out (older spelling)
今日	금일	Today
形體	형체	Form; shape
成하엿다	성하였다	Formed; became (older spelling)
其他	기타	Other; besides
學派	학파	School (of thought)
愛憎說	애증설	Theory of love and hate
數理說	수리설	Theory of number and principle
何者임을	하자임을	What it is
及하야	급하여	Reaching; arriving at (older spelling)
綜合하야써	종합하여서	By synthesizing (older form)
新紀元	신기원	New epoch; new era
劃하엿더라	획하였더라	Marked; delineated (older narrative ending)
從하면	종하면	According to; following
分割키	분할키	To divide (older infinitive form)
原子	원자	Atom
然한데	그런데	However; but (older form)
類似한	유사한	Similar
集合하야	집합하여	Gathering; assembling (older spelling)
重한 者	중한 자	The heavy ones
中央	중앙	Center
小하고	소하고	Small
輕한 者	경한 자	The light ones
周圍	주위	Periphery; surroundings
