**Header Section:**
Magazine Title: 개벽
Publication Date: 1920년 06월 25일
Article Title: 近代 勞働問題의 眞義 (The True Meaning of the Modern Labor Problem)
Author: 又影生
Article Type: 논설 (Editorial/Argumentative Essay)

**Body Text Translation:**
The True Meaning of the Modern Labor Problem
						U Yŏngsaeng

Regarding the labor problem, it seems that people's arguments and interpretations are not uniform. However, while they may show differences between broad and narrow senses, there is undeniably a common feeling about its fundamental meaning. Under the constraints of the specified topic and time, I wish to briefly discuss my incomplete views on this problem from a broad perspective, and at the same time, argue that the true, far-reaching, and vital meaning of this problem rather lies latently in this broader aspect.

The labor problem is a global issue and a human objective that holds special significance, having a pivotal relationship to the complex various problems in present-day society. It goes without saying that the self-awareness and efforts of the modern masses seeking to solve this problem are a natural consequence produced from the unreasonable social organization and living conditions of today; moreover, it is not a problem accidentally discovered from the brilliant minds of advanced scholars, but a natural result arising from the historical fact of class struggle.<67>

Examine the history of all humankind. Though complex, it is simple: the fact of conquering acts of struggle cannot be denied as the chaotic mainstream that runs through our history. The conquering acts of struggle among fellow humans resulted in the creation of classes and discrimination among them. This is the force of nature. Throughout all ages, regardless of era or society, although there have been various distinctions in form and name, the two poles of the so-called conqueror class (the victors) and the conquered class (the losers) have historically persisted in our society with hereditary characteristics. Are not the freemen and slaves of Greece, the patricians and plebeians of Rome, the feudal lords and serfs of the Middle Ages, and in the modern era, the capitalists and laborers, examples of this?

Looking back at our process, there was the ideological revolution called the Renaissance, the human rights revolution called the French Revolution, and the revolution for racial equality called the American Civil War. These are great achievements worthy of special note in our history. We cannot but express great respect for them. However, if we were to pass strict judgment on these from the perspective of our thoughts and feelings today, they amount to nothing more than narrow-mindedness, formalism, superficiality, lukewarmness, and temporizing measures. What freedom was there? What equality was there? Even the words justice and human rights were ambiguous. They failed to elucidate the fundamental meaning concerning the actual problems of our lives. They failed to obtain an accurate solution.

Under the feudal system of medieval Europe, a class engaged in commerce and industry arose. Revolutions like those in Germany<68> or England were particularly resistance movements of this newly rising class engaged in commerce and industry against the feudal aristocracy. They presented the moral facade of representing the entire pitiful populace suffering in agony, resisting and punishing the tyrannical and unjust aristocratic class that brazenly committed oppression and plunder without hesitation. However, this newly rising class of merchants and industrialists gradually accumulated economic power along with the development of commerce and industry, eventually forming the so-called capitalist class of today. This is the direct origin of today's social economic organization and the direct provenance of the emergence of the capitalist class. And is it not the social reality today that the capitalist class, like the tyrannical and unjust aristocrats of yesteryear, brazenly commits oppression and plunder against the laborer class without hesitation? The resistance against this is precisely the self-aware movement fermenting among laborers today.

Contemplating this, humankind shares the same ancestry, and human life has a single origin. Peace is our ultimate goal, and love is our highest emotion, yet we still draw lines of racial discrimination and establish classes in life as before, antagonizing and conflicting with each other. The winds of struggle blow strong, and the acts of conquest are fierce, such that violence has become moralized and the law of the jungle is regarded as sacred. Thus, the two poles of life based on class division and discriminatory treatment stubbornly reside together under the same sky, on the same earth, among the same humans. Consequently, one aspect of life flows into indulgence, tyranny, luxury, arrogance, idleness, and debauchery under freedom, while the other aspect of life falls into oppression, paralysis, ignorance, blindness, and misery under bondage. Thus, one aspect of life actively destroyed itself, and the other aspect of life passively damaged itself.<69> Not only that, but the lives of the majority are presented in the strange state of being sacrificed for the lives of the minority. Under such organization and conditions, how can one attempt the development of sound living or expect the display of the highest culture?

As stated above, with the persistence of the two opposing classes regarding our lives, struggle has expanded and bloodshed has become commonplace. The rise and fall of status and the switching of classes have been repeated. Yesterday's victor is today's loser. Today's victor is yesterday's loser. Safety and joy in life have not been attained. The conqueror class harbors fear and anxiety about the rebellion of the conquered class. The conquered class harbors fear and anxiety about the oppression of the conqueror class. Truly, our society, for millennia since the dawn of history, has merely sunk, wandered, and been besieged amidst fear, anxiety, pain, and trembling.

The recent Great War in Europe truly served as a catalyst providing intense stimulus and reflection on the various problems of our past lives. I interpret this as the labor problem. Not only I, but no one can deny this.

Therefore, the labor problem, standing upon the unstable social conditions of the present, is a great common human issue that critically evaluates and argues against the old civilization of humanity's past, thereby suggesting and seeking to establish the new civilization of the future.<70> I regard it as a problem signifying the self-aware movement of the modern masses desiring liberation from the past and construction for the future. Merely observing this problem as the laborers alleviating their economic suffering, or as a simple resistance and revenge of the laborer class against the capitalist class, is nothing more than a biased argument that fails to understand the true intention of the labor problem. It is a labor problem striving to create a new social organization that expresses faith and ideals regarding the ultimate value of our happiness by reforming the existing social organization which is the source of material and spiritual suffering. It is a labor problem seeking to release humanity from millennia of historical human suffering. It is about realizing the passionate yearning for spiritual freedom and the solid desire for material freedom, based on the will of the masses and the welfare of all humanity, upon the ruins of the old civilization.

In essence, the true meaning of the labor problem lies in its permanent significance: for all of humanity to become aware of the errors of a conquering human lifestyle, to reform the current unreasonable economic and social organization with the passion of mutual human love, and also to liberate the inherent, traditional spirit of humanity from the various darknesses and vices engendered under this organization. It is a problem of reforming the entire life of humanity, seeking to escape from an unreasonable life of suffering, intending to build our lives with the spirit and ethics of social mutual aid.

Thus, the labor problem is decidedly not just a problem for the laborers themselves. It is a problem signifying humanity's own good against evil. The essential meaning of human life is creation. It is production. It is invention. Bundling these together, we call it labor. Then, the true nature of humanity must affirm labor. Ah! Let us liberate our humanity from the crude systems of the present. Let us establish the right path of life. And thereby, praise the greatness of labor! Sing praises of the sacredness of labor!

June 11th, 9 AM - 10 AM (Author's postscript: Having written this, it seems too vast and vague. I take responsibility for providing a concrete discussion of this problem at a later date.)<71>

**Summary**

The author, U Yŏngsaeng, argues that the "labor problem" transcends simple economic disputes between capitalists and workers. It represents a fundamental, historical issue rooted in millennia of class struggle between conquerors and the conquered (citing examples from Greece, Rome, the Middle Ages, and modern capitalism). He critiques past revolutions (Renaissance, French, US Civil War) as insufficient for achieving true freedom and equality. The author views the modern labor movement as a necessary, self-aware reaction against capitalist exploitation, akin to past struggles against oppression, and ultimately as a movement for the total reformation of society based on mutual aid, love, and the inherent value of labor itself, aiming to build a new civilization free from the historical cycle of fear, conflict, and suffering, spurred by reflections following WWI.

From a historian's perspective, this 1920 article from *Gaebyeok* is significant. It reflects early Korean intellectual engagement with global socialist and anarchist ideas about class struggle and social revolution, framing them within a grand historical narrative. Its broad, philosophical, and somewhat idealistic approach to the "labor problem" — emphasizing universal human liberation, mutual aid, and the inherent dignity of labor rather than just wages or working conditions — is characteristic of early leftist or nationalist thought in colonial Korea, seeking fundamental societal transformation beyond mere economic adjustments, possibly resonating with the desire for national liberation from colonial oppression as well.

**Named Entities**

希臘	희랍	Hŭirap (Greece)
羅馬	로마	Roma (Rome)
中世	중세	Chungse (Middle Ages)
佛蘭西	불란서	Pŭllansŏ (France)
南北戰爭	남북전쟁	Nambuk Chŏnjaeng (American Civil War)
獨逸	독일	Togil (Germany)
英國	영국	Yŏngguk (England)
歐洲	구주	Kuju (Europe - older Korean term)
歐洲大戰	구주대전	Kuju Taejŏn (European Great War / WWI)
又影生	우영생	U Yŏngsaeng

**Glossary**

勞働問題	노동 문제	Labor problem
眞義	진의	True meaning
論據	논거	Basis of argument; grounds for discussion
廣義	광의	Broad sense
陜義	협의	Narrow sense (Note: 狹義 is standard)
所見	소견	One's opinion; view
潛在	잠재	To be latent; potential
中軸的	중축적	Pivotal; axial
標目	표목	Target; objective; heading
自覺	자각	Self-awareness; consciousness
產出	산출	To produce; yield (Older verb form: 産出되다)
階級鬪爭	계급 투쟁	Class struggle
展讀하다	전독하다	To read through; peruse
一貫하다	일관하다	To penetrate; run through; be consistent
亂脉的	난맥적	Chaotic; disordered
遺傳性	유전성	Hereditary nature
存續하다	존속하다	To continue to exist; persist
貴族	귀족	Aristocracy; nobility
平民	평민	Commoner
領主	영주	Feudal lord
農奴	농노	Serf
資本家	자본가	Capitalist
勞働者	노동자	Laborer (Modern: 노동자)
文藝復興	문예 부흥	Renaissance
思想的	사상적	Ideological
人權的	인권적	Related to human rights
人種平等	인종 평등	Racial equality
特筆大書하다	특필대서하다	To make special mention of; highlight
陜量	협량	Narrow-mindedness (Note: 狹量 is standard)
外塗	외도	Superficiality; outward appearance (less common term)
微溫	미온	Lukewarm; half-hearted
姑息	고식	Temporizing; makeshift; palliative
闡치 못하얏다	밝히지 못하였다	Failed to elucidate (闡: 밝힐 천; 하얏다 is archaic for 하였다)
封建制度	봉건 제도	Feudal system
商工業	상공업	Commerce and industry
新興階級	신흥 계급	Newly rising class
反抗運動	반항 운동	Resistance movement
壓制	압제	Oppression
掠奪	약탈	Plunder; pillage
忌憚업시	기탄없이	Without hesitation; frankly (업시 is archaic for 없이)
敢行하다	감행하다	To carry out boldly; dare to do
暴逆無道	포학무도	Tyrannical and unjust (Note: 暴虐無道 is more common)
淵源	연원	Origin; source
同宗	동종	Same ancestry; same lineage
一源	일원	Single origin
究極	궁극	Ultimate
軋礫	알력	Friction; discord; conflict
熾하다	치하다	To be fierce; intense
强食	강식	The law of the jungle (Strong eat the weak)
神聖視하다	신성시하다	To regard as sacred
頑居하다	완거하다	To reside stubbornly; persist obstinately
放縱	방종	Self-indulgence; license
橫暴	횡포	Tyranny; oppression
奢侈	사치	Luxury; extravagance
傲慢	오만	Arrogance; haughtiness
無爲	무위	Idleness; inaction
逸滛	일락	Debauchery; pleasure-seeking (Note: 逸樂 is more common)
束縛	속박	Restraint; bondage
抑塞	억색	Oppression; feeling stifled
痲痺	마비	Paralysis (Modern: 마비)
盲目	맹목	Blindness (literal or figurative)
悲慘	비참	Misery; wretchedness
犧牲	희생	Sacrifice (Modern: 희생)
奇狀	기상	Strange situation/appearance
呈示하다	제시하다	To present; show
健全하다	건전하다	To be sound; healthy
圖하다	도모하다	To plan; attempt
發揮하다	발휘하다	To display; exhibit; demonstrate
殺伐	살벌	Bloodshed; brutality
例事	예사	Common occurrence; everyday affair
榮枯	영고	Rise and fall; prosperity and decline
轉換	전환	Change; switch; conversion
反覆하다	반복하다	To repeat
反逆	반역	Rebellion; treason
恐怖	공포	Fear; terror
戰慄하다	전율하다	To tremble; shudder
沈淪하다	침륜하다	To sink; fall into ruin; decline
彷徨하다	방황하다	To wander; roam
包圍되엇다	포위되었다	Was surrounded; besieged (되엇다 is archaic for 되었다)
剌戟	자극	Stimulus; provocation (Older spelling/Hanja for 자극)
抗論하다	항론하다	To argue against; refute
示唆하다	시사하다	To suggest; imply
樹立하다	수립하다	To establish; found
解放	해방	Liberation; emancipation
建設	건설	Construction; building
欲求	욕구	Desire; want; urge
民衆	민중	The masses; the people
緩和하다	완화하다	To alleviate; ease; mitigate
復讐	복수	Revenge
偏論	편론	One-sided argument; biased view
源泉	원천	Source; fountainhead
在來	재래	Conventional; existing; traditional
改造하다	개조하다	To reform; reorganize; remodel
信仰	신앙	Faith; belief
理想	이상	Ideal
創作하다	창작하다	To create
解免하다	해면하다	To absolve; release from
廢墟	폐허	Ruins
福利	복리	Welfare; well-being
憧憬	동경	Yearning; longing
堅實하다	견실하다	To be solid; substantial; steady
實現하다	실현하다	To realize; achieve; materialize
誤謬	오류	Error; mistake; fallacy
相愛	상애	Mutual love
熱情	열정	Passion; enthusiasm
釀生되다	양생되다	To be brewed; arise from; be engendered
諸般	제반	Various; all sorts of
暗黑	암흑	Darkness
惡德	악덕	Vice; immorality
因襲的	인습적	Conventional; traditional (often with negative nuance of being outdated)
傳統的	전통적	Traditional
互相扶助	호상 부조	Mutual aid; reciprocal help
倫理	윤리	Ethics; morals
建築하다	건축하다	To build; construct (used figuratively here for life)
脫却하다	탈각하다	To break away from; free oneself from
要義	요의	Essential meaning; gist; point
肯定하다	긍정하다	To affirm; acknowledge
粗惡하다	조악하다	To be crude; coarse; inferior
正途	정도	Right path; proper course
確立하다	확립하다	To establish firmly
偉大하다	위대하다	To be great; grand
讚美하다	찬미하다	To praise; extol
神聖하다	신성하다	To be sacred; holy
謳歌하다	구가하다	To sing praises of; eulogize
附言	부언	Postscript; additional remark
廣漠하다	광막하다	To be vast; immense; vague
具體的	구체적	Concrete; specific
論議	논의	Discussion; argument
自擔하다	자담하다	To take responsibility upon oneself


---------------------------


잡지명	개벽 제1호
발행일	1920년 06월 25일
기사제목	近代 勞働問題의 眞義
필자	又影生
기사형태	논설

近代 勞働問題의 眞義
						又影生
勞働問題에 關하야 사람사람의 論據와 解釋이 不一한 듯 하다. 그러하나 다만 廣義와 陜義의 差만 示할 뿐이요 그 根本 意義에 對하야는 亦是 同一의 感이 업지 안이하다. 나는 只今 問題의 指定과 時間의 制裁를 바든 아래에서 此 問題에 對한 나의 不徹底한 所見이나마 廣義的 方面으로 簡單히 論述코자 하며 아울러 此 問題의 眞正하고 遠大한 生命的 意義는 寧히 此 廣義的 方面에 潛在함을 主張코자 하노라.
