잡지명	개벽 第五十五號
발행일	1925년 01월 01일
기사제목	農村靑年에게 보내는 글월 (A Letter Sent to Rural Youth)
필자	木覓山人
기사형태	문예기타 (Literary/Miscellaneous)

A Letter Sent to Rural Youth
						Mongmyŏksanin (木覓山人)

Without any harvest, leaving behind only the慘酷 (ch'amhok - cruel/horrific) famine in the barren land, the year Kapsu (甲子) passed by, and standing behind it, I now write this letter to you, gentlemen, while looking upon our rural villages that are disintegrating and ruined amidst the desolation of starvation.

Rural youth, gentlemen! The place where I am writing this letter is not the desolate fields and collapsing hovels like the place where you are, where only dryness and insipidity are visible in the countryside. This place is a complex and bustling city where everything is rushed. When you eat coarse millet rice there, here we eat white rice; when you cherish cotton clothes there, here we wear silk clothes without difficulty. Just as there are many ignorant people in the countryside, there are many educated people in the city. In this way, while the countryside weeps in poverty, the city boasts of prosperity. If the city is called a place that enjoys civilization, the countryside could clearly be said to be wandering in a state of barbarism. Thus, speaking to you, rural youth, through the window of city life, which has such a different scope of life from the countryside, using topics related to rural life, feels no different than sitting in the inner room of a nobleman's house, who, upon seeing starving people, asks "Why not eat meat porridge?" (何不食肉米), and talking about the reality of the poor people's lives.

Rural youth, gentlemen! I do not know deeply the hidden realities of the poor, rock-bottom life you are living. However, I know this clearly as unmistakable – I am certain that while the children of the rich inherit wealth and nobility, and study even if they dislike university education, you, rural youth, inherit poverty and ignorance hereditarily. And I am not unaware that among you, apart from the great majority of proletarian youth awakened to new class ideology, the vast majority curse the painful peasant life, feel disgusted with the dry and tasteless countryside,<20> yearn for the pleasurable city life, or else are striving hard to somehow, by whatever means, escape the prison of poverty where exploitation is received, and pursue the leisurely life of a landlord who is free from the toil of plowing and cultivating. Besides these, there will be not a few youths who, having finished primary school or dropped out midway, babble bits of Japanese, look down only at their shiny shoes with greasy hair, and wander around the town aspiring to become a policeman for show. However, I do not intend to speak of such youth in the same breath as you.

Then, rural youth, gentlemen! As I said, are you truly disgusted with farming and yearn to leave the lonely countryside to live in the bustling city? If so, have you realized the need to know the actual situation of the city life you hope for? Of course, there must be many reasons why you yearn for city life. Considering your painful lives, it is understandable that you might desire city life. Now, allow me to tell you about city life.

This city where I am now is the capital of Chosŏn (朝鮮), the center of Chosŏn, and the center of modern culture in Chosŏn. Here, there are many schools and bookshops that can satisfy your intellectual hunger and thirst; the seniors and famous figures you admire are gathered here; the press organs that hold and shape the public opinion of the entire country are here; and many famous structures soar here and there. Lecture meetings by "famous figures" and concerts by all the "famous singers," which you would wish to attend at least once if opportunity allowed, continue day and night; all the ideological groups engaged in social movements also hang their signboards and gather here. Is that all? If you seek sensual satisfaction, there are theaters and movie houses (活動寫眞舘). Here and there are all sorts of restaurants like Myŏngwŏl Sech'im (明月洗心). There are many clothing merchants where one can indulge in extreme luxury at will. There are many kisaeng (妓生). There are many electric trams and automobiles.

I know all this makes you want to leave the desolate countryside and enter the city. However, you must take one step further and examine closely how the city became so prosperous and what kind of people predominantly reside in the city.

To understand the prosperity of the city and the relationship between the city and the countryside, one need not delve too deeply to find the reason. You can understand it by comparing the village where you live with the town center (邑內) of the district where you live. Just as the town center maintains its prosperity by exploiting the surrounding villages,<21> similarly, the city prospers and develops by exploiting the rural areas beneath it. This city, which gradually developed from a marketplace, truly treats the countryside like the proletariat with the attitude of the propertied class, trampling upon it. Just as the propertied class can strengthen its wealth by exploiting the proletariat, the city cannot achieve prosperity without exploiting the countryside; indeed, it would lose its very existence. As the city is a place where currency accumulates, located at a center of frequent traffic, people from the regions gather here, and goods are collected and distributed. Thus, the city concentrates money from the countryside into the city through all financial institutions, while city dwellers purchase agricultural products from rural people at low prices and maintain their existence with the food you supply. On the other hand, they manufacture handicrafts or luxury goods using the raw materials taken from you, sell them, and amass huge sums of money through unfair profits. As agricultural products bought cheaply become high-priced city-manufactured goods and are traded, not only does the proletariat in the city suffer hardship, but when these goods are re-imported back to the countryside, your lives face even greater difficulty. When you first let the agricultural products, which become the raw materials for those city-manufactured goods, out of your hands, wasn't the price extremely low? But when they pass through the hands of several merchants, become city-manufactured goods, and return to your hands, do you know that you cannot buy those manufactured goods unless you pay a price several times higher than the raw materials you initially sold?

In this way, the people living in the city fatten their bellies with the grain that you grow and send, working yourselves to the bone amidst lack of freedom, poverty, and forced ignorance. They cause you to fall further into the pit of poverty and ignorance, rob you of the opportunities for enjoyment that humans should have, and make you sink into a sea of tears (淚海) no different from a state of barbarism.

Rural youth, gentlemen! The city thus conquers the countryside, and the city dwellers who do not produce exploit you who toil throughout the year. The city is an enemy nation to the countryside, and the city dwellers are traitors to the countryside. However, despite this relationship between the city and the countryside, for you to want to become city dwellers from being peasants, and to follow exactly the exploitation you once received from city dwellers, carrying out exploitation against your rural brothers who were in the prison of poverty like you – to push unfortunate brothers further into misfortune without any sense of justice – perhaps you consider exchanging the hoe you held for an abacus (珠板) or stock certificates (株券), in other words, becoming a member of the exploiting class from having been exploited, as the realization of human value or the improvement of character. If you indeed think so, then I shall change the topic and re-examine whether becoming one of the exploiting class from the exploited class is indeed an improvement of character or not. -(To be continued)-<22>
<20-22>

**Summary**

The author, writing from the bustling city, addresses rural youth living in poverty and hardship. He contrasts the city's apparent prosperity (white rice, silk clothes, education, entertainment) with the countryside's destitution, arguing that the city's wealth is built directly upon the exploitation of rural labor and resources. Agricultural products are bought cheap, processed into expensive goods in the city, and sold back to the countryside, further impoverishing farmers. The author critiques rural youth who, disgusted with farm life, aspire to move to the city, not realizing they might simply transition from being exploited to becoming part of the exploitative system, thereby betraying their origins and fellow rural people. He questions whether joining the exploiting class truly constitutes personal advancement. From a historical perspective, the article vividly portrays the stark urban-rural divide and the exploitative economic structures prevalent in colonial Korea. It reflects a growing class consciousness and offers a poignant critique of aspirations shaped by colonial modernity, highlighting the dilemma faced by educated or ambitious rural youth under Japanese rule – whether to assimilate into the exploitative urban/colonial system or find another path.

**Named Entities**

木覓山人	목멱산인	Mongmyŏksanin
朝鮮	조선	Chosŏn
明月洗心	명월세심	Myŏngwŏl Sech'im

**Glossary**

글월	글월	Letter, writing (formal/slightly archaic term)
收穫	수확	Harvest
赤地	적지	Barren land
饑饉	기근	Famine
甲子해	갑자해	The year Kapsin (1924) in the sexagenary cycle (referred to incorrectly as Kapcha 甲子 in the text, but context implies 1924, which was Kapsin 甲申. 甲子 was 1924 in the sexagenary cycle, but the text mentions 甲子해 뒤 - 'after the year Kapcha', and was published Jan 1925, suggesting the preceding year 1924 is meant.)
飢餓	기아	Starvation, hunger
荒廢	황폐	Desolation, devastation, ruin
支離破滅	지리파멸	Disintegration and ruin, falling apart
農村	농촌	Rural village, countryside
諸君	제군	Gentlemen, you (plural, formal)
陋屋	누옥	Hovel, humble/shabby house
乾燥無味	건조무미	Dry and tasteless, arid and uninteresting
奔走	분주	Being busy, bustling
複雜繁華	복잡번화	Complex and bustling/prosperous
都會	도회	City, metropolis
白飯	백반	White rice
무명옷	무명옷	Cotton clothes (older spelling)
貧窮	빈궁	Poverty, destitution
有識	유식	Educated, knowledgeable
繁榮	번영	Prosperity
文明	문명	Civilization
享樂	향락	Enjoyment, pleasure-seeking
野蠻國	야만국	Barbaric country/state
彷徨	방황	Wandering, roaming
範疇	범주	Scope, category
들窓門	들창문	Window (likely '들창', a type of window)
話題	화제	Topic, subject of conversation
飢民	기민	Starving people
何不食肉米	하불식육미	"Why not eat meat porridge?" (Classical Chinese quote indicating ignorance of the poor's suffering)
貴人	귀인	Nobleman, person of high status
貧民	빈민	Poor people
實情	실정	Real situation, actual state of affairs
삿삿치	샅샅이	Thoroughly, leaving no stone unturned (older spelling)
밋창生活	밑창생활	Rock-bottom life, lowest level of living (older spelling)
富者	부자	Rich person
子弟	자제	Children, sons and daughters (of a respectable family)
富貴	부귀	Wealth and honor
相續	상속	Inheritance
大學敎育	대학교육	University education
世襲的	세습적	Hereditary
確信	확신	Conviction, firm belief
階級的	계급적	Relating to social class
新思想	신사상	New ideology/thought
覺悟	각오	Awakening, realization
無産靑年	무산청년	Proletarian youth
咀呪	저주	Curse
厭症	염증	Disgust, aversion (lit. inflammation)
憧憬	동경	Yearning, longing
絞取	교취	Exploitation, extortion (lit. wringing, strangling)
獄舍	옥사	Prison house, jail
耕耘	경운	Plowing and cultivating
勞苦	노고	Toil, hardship, labor
地主	지주	Landlord
安逸	안일	Ease, comfort, idleness
追求	추구	Pursuit
苦心	고심	Striving hard, taking great pains
普通學校	보통학교	Primary school (colonial era term)
廢學	폐학	Dropping out of school
日語쪼각	일본어 조각	Scraps/bits of Japanese language
짓거리다	지껄이다	To chatter, babble (older spelling/form)
기럼	기름	Oil, grease (here referring to hair oil/pomade) (older spelling)
구쓰코	구두코	Toe of a shoe (likely from 구두 + 코, 'shoe nose'; older spelling/form)
行勢거리	행세거리	Putting on airs, acting important, for show
巡査	순사	Policeman (colonial era term, often viewed negatively)
志願	지원	Aspiring, volunteering
邑內	읍내	Town center (of an eup/district)
果然	과연	Indeed, truly, as expected
寂寞	적막	Loneliness, desolation, silence
繁華	번화	Bustling, flourishing, prosperous
必要	필요	Need, necessity
깨닷다	깨닫다	To realize, become aware (older spelling)
理由	이유	Reason
願求	원구	To desire, wish for, seek
首府	수부	Capital city
中央	중앙	Center
近代文化	근대문화	Modern culture
智識的	지식적	Intellectual
飢渴	기갈	Hunger and thirst
充足	충족	Satisfaction, fulfillment
學校	학교	School
書舖	서포	Bookstore (older term)
崇仰	숭앙	Admiration, reverence
先輩	선배	Senior, elder, predecessor
名家	명가	Famous family/person, master
輿論	여론	Public opinion
言論機關	언론기관	Press organ, media outlet
建設物	건설물	Structure, building
機會	기회	Opportunity
許諾	허락	Permission, approval
名士	명사	Famous person, notable figure
講演會	강연회	Lecture meeting
名唱	명창	Famous singer (especially traditional)
音樂會	음악회	Concert
日夜	일야	Day and night
닛대여	잇대어	Continuously, one after another (older spelling)
社會運動	사회운동	Social movement
思想團軆	사상단체	Ideological group/organization
看板	간판	Signboard
官能的	관능적	Sensual
滿足	만족	Satisfaction
劇場	극장	Theater
活動寫眞舘	활동사진관	Movie theater (lit. moving picture house)
料理舘	요리관	Restaurant (older term, often high-end)
窮奢極侈	궁사극치	Extreme luxury and extravagance
任意	임의	At will, arbitrarily
옷감장사	옷감장수	Textile/cloth merchant
妓生	기생	Kisaeng (female entertainer)
電車	전차	Electric tram
自働車	자동차	Automobile
繁盛	번성	Prosperity, flourishing
關係	관계	Relationship
村落	촌락	Village
周圍	주위	Surroundings
搾取	착취	Exploitation
殷盛	은성	Prosperity, thriving state
維持	유지	Maintenance
地方	지방	Region, countryside, local area
發達	발달	Development
市場	시장	Market
有産階級	유산계급	Propertied class, bourgeoisie
態度	태도	Attitude
無産階級	무산계급	Proletariat, propertyless class
蹂躪	유린	Trampling upon, oppression
富力	부력	Wealth, financial power
强大	강대	Powerful, strong
存在	존재	Existence
交通	교통	Traffic, transportation
頻繁	빈번	Frequent
中心地	중심지	Center, hub
貨幣集積地	화폐집적지	Place of currency accumulation
金融機關	금융기관	Financial institution
集中	집중	Concentration
低廉	저렴	Cheap, inexpensive
價格	가격	Price
農産物	농산물	Agricultural products
買入	매입	Purchase
供給	공급	Supply
食料	식료	Foodstuff, provisions
生存	생존	Survival, existence
原料	원료	Raw materials
工藝品	공예품	Handicrafts, craftwork
奢侈品	사치품	Luxury goods
製造賣出	제조매출	Manufacturing and selling
不當利益	부당이익	Unfair profit
巨大	거대	Huge, enormous
廉價	염가	Low price, cheap price
高價	고가	High price
製造品	제조품	Manufactured goods
買賣	매매	Buying and selling, trade
困苦	곤고	Hardship, distress
逆輸入	역수입	Re-importation
代價	대가	Price, cost, compensation
商人	상인	Merchant
支拂	지불	Payment
不自由	부자유	Lack of freedom
窮乏	궁핍	Poverty, destitution
强制	강제	Coercion, compulsion
無智	무지	Ignorance
