Magazine Title: 삼천리 제7권 제9호
Publication Date: 1935년 10월 01일
Article Title: 大京城삘딩 建築評 (Architectural Review of Great Kyŏngsŏng Buildings)
Author: 朴吉龍
Article Type: 문예평론 (Architectural Criticism)

Great Kyŏngsŏng Building Architectural Review
						Pak Kil-lyong

Last time, before writing the architectural review of the various buildings in Seoul city, I merely wrote down a brief account of the path trodden by world architectural history as a preface.
However, as it seemed overly inclined towards specialized terminology and somewhat academic theory, it is doubtful how helpful it was as a preface for the general reader regarding the architectural review of Great Kyŏngsŏng.

Entering the main topic this time, concerning the large buildings that have long stood towering high in the skies of Chang'an [metaphor for Seoul] in Great Kyŏngsŏng, and the large buildings newly completed recently, I intend to jot down brief impressions and critiques (if permitted) of each large structure as they come to my mind and as my brush leads me.

First, when discussing large architectural works in Kyŏngsŏng (within Chosŏn), we cannot help but think first of the Government-General building.

The Chosŏn Government-General (朝鮮總督府). This grand structure is likely a major building on an All-Orient scale. In terms of construction cost per p'yŏng, it probably ranks among the top few in the Orient.
This great edifice, completed in Taishō 15 [1926] after consuming about 10 years of time, is said to have cost a massive 7 million yen, built in the German Renaissance style.
Despite being reinforced concrete, its structure is a type of Renaissance style. The main entrance at the front center of the building protrudes slightly forward, and numerous cylindrical stone columns were erected at enormous expense. From an architectural standpoint, this is utterly unnecessary decoration, serving no perceived need. I suspect the purpose of this building, unlike others, stems from a desire to display a kind of prestige (威信).

This building certainly possesses great contradictions in its structure and form. If the unnecessary decoration of the cylindrical columns at the reinforced concrete front entrance were abandoned, and that cost were used for expansion, a rational building capable of more than double the administrative efficiency could have been made. Generally, looking at past large buildings emphasizing form, the entrance is typically placed at the front center,<178> but there is no need to necessarily do so. Depending on the building's administrative needs, the entrance could easily be placed at the side. Therefore, being bound by form often hinders the internal structure.
From this perspective, this building reveals many dissatisfactions when viewed from the standpoint of a technical expert. According to current talk, it is administratively cramped (狹窄하여), and there are plans to spend 800,000 yen for further expansion. If, at the initial construction, the protruding front entrance columns and the pointed tower-like (塔갓흔) decoration at the very top had been omitted, that expense would have been sufficient to create a most modern, rational building capable of more than double the current administrative efficiency (Chongno Central YMCA Hall [鍾路中央靑年會舘]).

Before the past feudal era, for special buildings, decoration, meaning form, was necessary to some extent, even at great expense, to display a kind of prestige. However, arriving in the modern era, its reason for existence (存在의의) is already lost. Any kind of formal decoration is unnecessary.

From this viewpoint, the recently constructed Central Telephone Bureau (中央電話局) and the Postal Life Insurance Bureau (簡易保險局) are buildings with the most rational structure and style according to modern architectural theory. They prioritized the administrative internal structure and were not biased towards the external style, representing a major innovation in architecture that cannot be denied.
Regarding this type of architectural style, the general public, due perhaps to incomplete understanding (認識의 不徹底로 말미아마), might cast negative critiques (惡評을 네리울넌지 모르나), but the day is not far off when it will be understood as the most rational architectural method.
Architecture, in human life, is merely a machine (機械); it is not a work of art (美術品), nor is it an institution meant to display prestige. This becomes even more true as society continues to develop.

Chosŏn Bank (朝鮮銀行). This building is a type of Renaissance style, made entirely of stone (石造). This building also centers on the external style intended to display prestige, a form-biased architectural method, thus holding no value from a modern perspective.

Savings Bank (貯蓄銀行). This building is reinforced concrete, currently under construction<179> having recently begun (起工). It also biases towards external style, an architectural method with the ambition to display a kind of prestige. It seems this role likely stems from the lingering notion, a relic of the past, that buildings of financial institutions should perhaps show prestige to the general public, as if saying, "We possess this much prestige. You can confidently conduct financial transactions, etc., in a place like this." However, this certainly holds no recognized necessity for modern people.

Industrial Bank (殖産銀行). This building also has a structure and style similar to the Chosŏn Bank or the Savings Bank.

Chosŏn Ilbo Company (朝鮮日報社). This building is one that attempted to possess the most modern architectural style and structure.
This architecture doesn't have a distinct style name. This is not unique to this building; future new architectural theory does not particularly require such distinct styles.
To build according to a certain style already implies that the architecture is bound by that specific style, the external form, so there absolutely should be no specific architectural style. The Central Telephone Bureau, the Postal Life Insurance Bureau, and this Chosŏn Ilbo Company are all like this.
In any case, departing from external stylistic decoration and focusing on the internal structure, in other words, the administrative and rational architectural method, this building is quite close to a modern architectural style.

Tong-A Ilbo Company (東亞日報社). This building is also of a similar architectural style, where one cannot find much difference from the Chosŏn Ilbo Company. (Photo is Tŏksu Palace [德壽宮])

Ewha Women's Professional School (梨花女子專門學校). This building is the newest, most splendid large school building in Chosŏn. It adopts a type of Gothic (꼬틕式) style, showing aspects of a somewhat simplified form. Recently, at Posŏng Professional School (普成專門學校) and various other places, one occasionally sees this type of architectural style, but there is no need to spend excessive costs on external decoration. Looking at this building, because stone (石) was attached and stacked up on its exterior, unnecessarily large costs were incurred beyond what was needed. Such a style certainly looks good (보기조타) externally. However, architecture is a kind of machine (機械).
In any case, it is a splendid (휼융한) school building within Chosŏn. It seems American school buildings are all constructed in this architectural style. In the future, there will likely be many (만흘) school buildings of this method in Chosŏn.

Posŏng Professional School (普成專門學校). This building, also like Ewha Women's Professional School, is a variation of the Gothic style (꼬틕式의 變種). As a school building, it shows aspects of being built in a quite simple manner, but like Ewha Women's Professional School, because it emphasized the exterior appearance,<180> costs beyond what was necessary would have been incurred. From this perspective, if the focus had been on the administrative internal structure without being bound by the external style, a much larger internal expansion could have been achieved with that amount.

Yŏnhŭi Professional School (延禧專門學校). This school also has an architectural style similar to Ewha Women's Professional School or Posŏng Professional School. Moreover, being a school managed by Americans (米國人), it is an architecture that directly imitates (흉내낸) the American school architectural style.

Jesus Church Building (耶蘇敎삘뒹). This building is of British lineage and is the most rationally constructed building for a religious organization. It is Romanesque (로-마네스크式), a variation of the Gothic style. For a religious building, it is quite splendid.

Catholic Cathedral (天主敎堂). Architecturally, this building holds no value, but viewed from the special meaning it carries, intended to show dignity (威嚴) and faith to the general believers, there might be some sense to it.
It is purely Gothic (꼬틕式), nothing more than a relic of 18th-century France (佛蘭西). A copy (複寫) of European (歐羅巴) fashion. The detailed craftsmanship (세부기교) of the interior and exterior is simply and well done. It is truly difficult to critique such a building architecturally. This is because its purpose is not for use like a machine (機械), but it is a special building created solely for religious dignity and faith. (Photo Kyŏngsŏng Station [京城驛])

Chongno Central Christian Association Hall (鍾路中央基督會舘). This building is the earliest Western-style large building (洋制大建物) in Chosŏn, also an old building constructed by Americans imitating the Gothic style, holding no value worth mentioning.

Y.M.C.A. in Hasegawa-chō (長谷川町의 Y·M·C·A). This building is said to be, within Kyŏngsŏng city, the most splendid and uniquely beautiful architectural style from an artistic viewpoint. However, always, architecture is a machine (機械). It cannot be viewed as a work of art. As human society progresses, the focus should be placed more on the internal structure that can yield administrative efficiency, not on displaying prestige or being seen as a work of art. This is because modern, civilized people have no need for such past architectural styles.

Mitsukoshi (Department Store) (三越[百貨店]). This building was completed several years ago in the Renaissance (Revival Style) (루레싼쓰[復興式]) style. This building also seems somewhat constrained in its internal structure due to its external style. In any case, compared to other buildings, its internal fittings are complete.

Nippon Life Building (日本生命삘딍), Chiyoda Life Building (千代田生命삘딍). These two buildings are also imitations of the Renaissance style, merely borrowing (依用) the architectural style of Mitsukoshi.

Hanch'ŏng Building (韓靑삘딍). This building is of the most modern architectural style, which cannot be given a specific style name, making it a much more progressive architecture. However,<181> it shows many deficiencies in its internal structure and overall facilities. In any case, as a building (삘딩) architecture, it can be called rational.

Yŏngbo Building (永保삘딍). This building is also similar to Hanch'ŏng. Compared to Choch'ŏng (朝靑 - likely Chosŏn Youth Hall Building), its exterior and internal facilities can be said to be more complete.

Hwasin Building (和信삘딍). This building also imitates the Renaissance style, but it is a new architectural style difficult to name with a specific style, lacking a so-called ready-made style (卽式). This too is an architecture that emphasizes the exterior.

Kyŏngsŏng Station (京城驛), Kyŏngsŏng Post Office (京城郵便局). These two buildings are variations of the Renaissance style, both focusing on external style and failing to maximize administrative effectiveness in their internal structure.

Chosŏn Hotel (朝鮮호텔). This building is a splendid architecture created by adding considerable Oriental beauty to the German Renaissance style. Originally, adding a new style to another specific style is extremely difficult, yet this building shows no unnaturalness in its harmony, and its style clearly reflects painstaking effort towards harmony. In any case, it is an architecture close to perfection (完美).

Kyŏngsŏng Civic Hall (京城府民舘). Since this building is currently under construction, one cannot say this or that, but just looking at the blueprints reveals that it clearly focuses on the internal structure and employs the most rational modern architectural style. However, the tower-like (塔갓흔) section protruding high (놉히) on one side offers no prestige to the public, and if that much expense were applied elsewhere, it could become a larger building; this point alone cannot be called a rational style.

Whatever the case, as society progresses, architecture will increasingly focus on administrative and rational structure internally, and external ostentation (虛飾) will have no effect on the public. Therefore, the most modern architecture of the future will not be bound by external styles called such-and-such style, but rather, architecture that centers on the most rational aspects based on the administrative function of each building will be the most ideal, progressive architecture. I conclude my remarks here. <182>
<178-182>

**Summary**

Pak Kil-lyong critiques major buildings in 1935 Kyŏngsŏng (Seoul), advocating for modern, functional architecture over traditional, ornate styles. He argues that buildings should be viewed as "machines" prioritizing internal administrative efficiency rather than displays of prestige (威信) or artistic merit, which he sees as relics of the past. He criticizes prominent colonial structures like the Government-General Building, Chosŏn Bank, and schools like Ewha and Posŏng for their excessive ornamentation and inefficient use of funds derived from adhering to historical styles (Renaissance, Gothic). Conversely, he praises newer buildings like the Central Telephone Bureau, Postal Life Insurance Bureau, and the Chosŏn Ilbo newspaper building as examples of rational, modern design focusing on internal function. The article reflects a strong modernist viewpoint emphasizing rationality and efficiency, contrasting it with the perceived wastefulness and authoritarian symbolism of older, style-bound architecture, particularly those representing colonial or financial power. For historians, this article offers a fascinating glimpse into Korean intellectual discourse on modernity under colonial rule, revealing a critical perspective on Japanese colonial architecture (Government-General) and Western architectural influences. It highlights the tension between functionalism and the symbolic weight of buildings, especially those representing authority (government, banks) versus emerging modern institutions (media companies, functional bureaus).

**Named Entities**

朴吉龍	박길룡	Pak Kil-lyong
京城	경성	Kyŏngsŏng
朝鮮	조선	Chosŏn
總督府	총독부	Government-General
東洋	동양	Orient
大正	대정	Taishō
鍾路中央靑年會舘	종로중앙청년회관	Chongno Central YMCA Hall
中央電話局	중앙전화국	Central Telephone Bureau
簡易保險局	간이보험국	Postal Life Insurance Bureau
朝鮮銀行	조선은행	Chosŏn Bank
貯蓄銀行	저축은행	Savings Bank
殖産銀行	식산은행	Industrial Bank
朝鮮日報社	조선일보사	Chosŏn Ilbo Company
東亞日報社	동아일보사	Tong-A Ilbo Company
德壽宮	덕수궁	Tŏksu Palace
梨花女子專門學校	이화여자전문학교	Ewha Women's Professional School
普成專門學校	보성전문학교	Posŏng Professional School
延禧專門學校	연희전문학교	Yŏnhŭi Professional School
米國	미국	America (USA)
耶蘇敎삘뒹	예수교빌딩	Jesus Church Building
天主敎堂	천주교당	Catholic Cathedral
佛蘭西	불란서	France
歐羅巴	구라파	Europe
京城驛	경성역	Kyŏngsŏng Station
鍾路中央基督會舘	종로중앙기독회관	Chongno Central Christian Association Hall
長谷川町	하세가와초	Hasegawa-chō (Japanese name for modern Sogong-dong area)
Y·M·C·A	와이엠시에이	Y.M.C.A
三越	미쓰코시	Mitsukoshi
日本生命삘딍	일본생명빌딩	Nippon Life Building
千代田生命삘딍	지요다생명빌딩	Chiyoda Life Building
韓靑삘딍	한청빌딩	Hanch'ŏng Building (Korean Youth Association Building)
永保삘딍	영보빌딩	Yŏngbo Building
朝靑	조청	Choch'ŏng (Likely refers to 朝鮮青年會館 - Chosŏn Youth Hall Building)
和信삘딍	화신빌딩	Hwasin Building
京城郵便局	경성우편국	Kyŏngsŏng Post Office
朝鮮호텔	조선호텔	Chosŏn Hotel
京城府民舘	경성부민관	Kyŏngsŏng Civic Hall

**Glossary**

삘딩	빌딩	Building (Older transliteration of English 'building')
建築評	건축평	Architectural criticism/review
前言	전언	Preface, foreword
專門家的	전문적	Specialized, professional (Older adjectival form)
術語	술어	Terminology
學究的	학구적	Academic, scholarly
기우러진 듯 하여	기울어진 듯 하여	Seeming to be biased/inclined towards (Older spelling/phrasing)
웃뚝웃뚝	우뚝우뚝	Toweringly, soaringly (Older spelling)
亘하여	걸쳐	Concerning, spanning (Hanja form of 걸쳐)
닷는대로	닿는 대로	As it touches (Older spelling of 닿는)
所感	소감	Impressions, thoughts
許한다면	허한다면	If permitted (Older form of 허락한다면)
總督府	총독부	Government-General
每坪當	매평당	Per pyeong (unit of area)
멫次	몇 차	Few times, several ranks (Older spelling of 몇)
鐵筋콩크리-트製	철근 콘크리트제	Made of reinforced concrete (Older spelling/phrasing)
루네산쓰式	르네상스식	Renaissance style (Older transliteration)
지둥	기둥	Pillar, column (Older spelling)
威信	위신	Prestige, dignity
뵈일야는	보이려는	Intending to show (Older spelling/dialectal form)
狹窄하여	협착하여	Being cramped, narrow
맨 꼭댁이	맨 꼭대기	The very top (Older spelling)
塔갓흔	탑 같은	Tower-like (Older spelling/phrasing)
존재의의	존재 의의	Reason for existence, raison d'être
말미아마	말미암아	Due to, owing to (Older spelling)
네리울넌지	내릴는지	Might pronounce/give (a critique) (Older spelling/phrasing)
작구	자꾸	Continuously, repeatedly (Older spelling)
石造	석조	Stone construction
起工	기공	Start of construction
威嚴	위엄	Dignity, majesty
휼융한	훌륭한	Splendid, magnificent (Older spelling)
꼬틕式	고딕식	Gothic style (Older transliteration)
부처서	붙여서	By attaching (Older spelling)
싸허 올너 갓기 때문에	쌓아 올려 갔기 때문에	Because it was stacked up (Older spelling/phrasing)
조타	좋다	Good, fine (Older spelling)
米國人	미국인	American person
흉내낸	흉내 낸	Imitated
로-마네스크式	로마네스크식	Romanesque style (Older transliteration)
複寫	복사	Copy, duplicate
세부기교	세부 기교	Detailed technique/craftsmanship
洋制	양제	Western-style
依用	의용	To borrow and use, adopt
卽式	즉식	Ready-made style (Possibly coined or specific term)
虛飾	허식	Ostentation, vanity, false display
막슴니다	마칩니다	Conclude, finish (Older polite ending -습니다 form)


---------------------------


잡지명	삼천리 제7권 제9호
발행일	1935년 10월 01일
기사제목	大京城삘딩 建築評
필자	朴吉龍
기사형태	문예평론

大京城삘딩 建築評
						朴吉龍
前回에는, 서울시내에 있는 각 삘딩에 대한 建築評을 쓰기 전에 먼저 前言으로서, 世界建築史의 밟아 나려온 經路를 간단하게 적어 본데에 지나지 않슴니다.
그러나 너무나 專門家的 術語와 다소간 學究的 이론에 기우러진 듯 하여 일반독자들에게, 大京城의 建築評을 쓰기 위한 前言으로서의 얼마나한 도음이 되엿난지가 의문이다.
이번 본론에 들어가 大京城에서 오래전붙어 長安의 上空에 웃뚝웃뚝 높히 솟아있는 큰 건물들이며 요사히 새로히 落成되는 큰 건물들에 亘하여, 나의 생각에 떠오르는 대로, 붓대 닷는대로 큰 건축들을 하나식 하나식 들어 이에 대한 나의 간단한 所感과 評(許한다면)을 조금식 적어 볼가 하는 바이외다.
먼저 京城에 있어서 (朝鮮內에서) 大建築物을 논한다면 제일 먼저 우리는 總督府를 생각하지 않을 수 없는 바이외다.
朝鮮總督府. 이 大建築은 아마 全東洋的인 큰 건물일 것이외다. 每坪當 建築費로 말한다면 아마도 東洋에서는 멫次 안갈 것임니다.
약 10년간이란 세월을 소비하여 大正 15년에 落成된 이 大建築物은 쩌-맨·루네산쓰式의 建築樣式으로 700여만원의 막대한 비용을 드리엿다고 한다.
鐵筋콩크리-트製임에도 불구하고 구조에 있어서는 루네산쓰式의 일종으로, 건물 前面中央으로 大玄關이 잇는데로는 좀 앞으로 나오게 하여서 圓形石柱로, 막대한 비용을 들여가면서 지둥을 여러개 세웟섯다. 이것은 건축상으로 보아서 하등의 필요를 늣끼지 않는 쓸데없는 장식으로, 이 건물은 다른 건물과 달너서 일종의 威信을 뵈일야는 데에서 나온 건축물의 목적이 않인가 생각된다.
이 건물은 확실히 그 구조와 형식에 있어서 큰 모순을 가진 건물이다. 만약 그 鐵筋콩크리-트의 前面玄關의 圓柱의 쓸데없는 장식을 그만두고 그 비용으로 增築한다면 倍 이상의 사무적 능률을 낼 수 있는 합리적인 건축을 맨들 수 있슬 것이다. 대개 과거의 형식 偏重의 大建物들을 보면 의례히 前面中央에다 玄關을 내게 되는데,＜178＞ 이는 반듯이 그러케할 필요를 느끼지 않는다. 혹 건물의 사무적 필요로 보아서는 玄關을 엽흐로라도 얼마든지 낼 수 잇는 것이다. 그러하기 때문에 형식에 구속되여 그 내부구조에 잇어서 障害를 입는 例가 만타.
이런 점으로 보아서는 이 건축은 기술전문가의 입장에서 볼때에는 만흔 불만을 찾어 내게 된다. 지금 들니는 말에 의하면 사무적으로 狹窄하여 80만원을 드려 더 증축할 예정이라고 한다하오니, 만약 건축 최초에  그 앞흐로 삐죽이 나온 玄關圓柱를 그만두고, 맨 꼭댁이의 삐죽한 塔갓흔 장식을 그만 두엇드라면 그 經費로도 넉넉히 現在 倍 以上의 사무적 능률을 낼 수 잇는 가장 現代的 合理的인 건물로 되엿슬 것이다(鍾路中央靑年會舘).
과거의 봉건시대 이전에는 특별한 건물에는 일종의 威信을 나타내기 위하여 막대한 비용을 들여서 까지 장식이란 것이, 즉 형식이 어느 정도까지 필요하엿슬 것이나, 현대에 이르러서는 벌서 그의 존재의의를 상실하게 되는 것이다. 아무런 형식적 장식이란 필요치 안흔 것이다.
이런 점으로 보아서 얼마전에 신축된 中央電話局, 簡易保險局, 이 두건물은 현대건축론으로 보아서 가장 합리적인 구조와 양식으로된 건물이다. 사무적인 내부 구조에 중심점을 두엇스며 외부 양식 즉 스타일에는 조금도 편중하지 않은, 가장 현대적인 점으로 보아서 건축상의 一大革新이라고 안흘 수 없는 것이다.
이런 종류의 건축양식에 대하여서는 아즉도 일반대중에게는 인식의 不徹底로 말미아마 惡評을 네리울넌지는 모르나, 앞으로는 가장 합리적 건축 방식으로 이해될 날이 멀지 안흘 것이외다.
건축이란 인간생활에 있어서 한갓 機械이지, 이는 美術品도, 威信을 보일야는 그러한 機關은 않이다. 더욱이 사회가 작구 발전하여 나갈 수록이 더욱 그러하다.
朝鮮銀行. 이 건물은 루네산쓰식의 일종으로 완전한 石造이다. 이 건물 역시 威信을 보일야는 외부양식에 중심을 두어 형식 편중의 건축 방식임으로 현대적으로 보아서 아무런 가치도 찾을 수 없는 건물이다.
貯蓄銀行. 이 건물은 鐵筋콩크리-트制로서 요사히 起工하여 건축중에＜179＞ 있는 건물이다. 역시 외부양식에 편중하여 일종의 威信을 발휘할랴는 야심을 가진 건축방식이다. 아즉도 과거의 유물인 관념에서 금융기관 등의 건물에는 일반대중에게 「우리는 이만한 威信을 가젓다. 이만한 곳에는 넉넉히 안심하고 金錢融通등을 하여라」하는 듯이 아마도 威信을 보일야는 데서 나온 역할일 것이외다. 그러나 이는 확실히 현대인에게 何等의 필요를 認證치 못한다.
殖産銀行 역시 朝鮮銀行이나 貯蓄銀行에 비슷한 구조와 양식을 가진 건물이다.
朝鮮日報社. 이 건물은 가장 현대적 건축양식과 구조를 가질야고 한 건물이다.
이 건축은 독특한 무슨 식이라고 하는 것이 없다. 이는 이 건축에 잇서서만이 않이라, 今後 새로운 建築論에는 별로히 이러타 할만한 독특한 式을 필요로 하지 않는다.
어떤 式에 의하야 건축한다고 하면 벌서 그 건축은 그 어떠한 式, 즉 양식에 외부형식에 구속을 밧게 됨을 의미함으로 절대로 어떠한 건축양식이란 없게 된다. 中央電話局이나, 簡易保險局이나, 이 朝鮮日報社이나 모다 그러하다.
