잡지명	삼천리 제7권 제9호
발행일	1935년 10월 01일
기사제목	나는 왜 世界舞臺에 나섯나 (Why I Stepped Onto the World Stage)
필자	徐廷權
기사형태	회고·수기 (Memoir/Recollection)

Why I Stepped Onto the World Stage
						Sŏ Chŏnggwŏn

I am a young man of 23 this year. It was 7 years ago from now that I first began to learn boxing (拳鬪).
Looking back now on my past path to having the honor of achieving 6th place in the world today, it was truly a road of many twists and turns (파란골절) and hardships.
From my hometown in Sunch'ŏn (順天), Chŏlla Namdo (全羅南道), until the time I attended school in Seoul, it is an undeniable fact, looking back now, that I was an unspeakable mischief-maker and my conduct was quite improper (不正).
Perhaps because, since I was young (어렷슬 때), my body wasn't weak compared to others, I hated losing to others. Because of that, I liked fighting with others, and there were frequent (중중하였음니다) times when I got beaten up (어더맛는) by others.
Having lived this improper life, it was only natural that the middle school I attended expelled me.
Who would have thought that this mid-term expulsion from the school I attended would create the opportunity to open the path to today's honor in my future?
At that time, in my thoughts, just studying at school wasn't such a great hope, so being expelled from school didn't feel that regrettable. However, the one who was most furious at that time was my father (父親). My father's anger had reached its peak, so he immediately made me come down to my hometown.
That life spent in the countryside was truly primitive, everything was dull and dry (무미건조하였고), <173> and it was unbearably stifling.
I endured this miserable and bitter life patiently for some time, but the lump of blood (피떵이) beating in my chest and my two fists clenching tightly did not permit me to simply pass the time in the countryside. By then, I already possessed a sturdy body that could be called strong for a boy.
Finally, after making a decision, right then, without a single penny in hand (手中), I decided to cross the Hyŏnhaet'an (玄海灘). Of course, I crossed over to Tokyo without anyone in my family, including my father, knowing (몰내).
At that time, I wandered greatly. After thinking many times about where I would go if I left, I decided to go to Tokyo (東京), where my older brother was at the time.
When I went looking for my brother's boarding house (하숙) in Tokyo, Mr. Hwang Ŭlsu (黃乙秀), who at that time was demonstrating the spirit (의긔) of Korean youth in the boxing club of Myŏngji University (明治大學), was there with my brother.
This Mr. Hwang Ŭlsu, indeed, cannot but be called the benefactor who first guided me and opened the way forward for the me of today, who has come to occupy the position of 6th in the world Bantamweight class.
The moment Mr. Hwang first showed (뵈여주든) me this thing called "boxing" (拳鬪), my attraction to this "boxing" was incredibly great. At that time, my heart developed an attachment to boxing beyond imagination. From that time on, I made a grim determination: "From now on, my life is here. I will stake my life on boxing. No matter what hardships there may be, I will grit my teeth and devote my entire life to this boxing. Other than this boxing, there is no path for me to walk!"
And another thing was the captivating slogan, which still makes young people's hearts flutter (울넝거리게) even now,
"One can become a world-class person with just one's fists."
However, the first person to oppose my trying to become a boxer like this was my older brother, and consequently, my father. No matter how much they opposed, before my firm (굿세인) determination and resolve, the arrows of opposition inevitably bent.
From then on, I practiced with Mr. Hwang every day and built a record of KOs. At that time, losing to Mr. Hwang was incredibly frustrating. "I don't want to lose to someone else! I will definitely learn until I can win!" Reacting (反動的) like this, I firmly braced my will and fighting spirit, and continued to practice day and night, shedding sweat and blood.
Finally, I received permission from my father as well and entered (入門하여) the dōjō (道場) of Mr. Watanabe (渡邊) at the "Japan Boxing Club" (日本권투俱樂部), attending and becoming thoroughly proficient (精通하게). <174>
Practicing here day and night gave me the chance (찬쓰) to set out on the path of boxing training in America (米國), which I longed for (동경하는).

Stepping onto the World Stage
Shōwa 7 [1932]. At the young age (弱冠) of 20, I followed Mr. Watanabe and departed for America, the land of boxing. At that time, my heart leaped greatly with joy (깁뿜에), and my hopes were extremely high.
"I will try to seize the world championship once. Let's fight until a world championship is secured (확득할) by the hands of an Oriental, moreover, a Korean!" I was burning (불타올났든) with such firm conviction and fighting spirit.
Embracing a heart full of hope, I crossed the rough (거츠른) Pacific and arrived at the port of "San Francisco" (쌘푸랜씨스코) on the American continent (米洲).
However, at that time, the country called America was refusing entry, especially to Orientals.
Moreover, for someone like me, without much money in hand and no definite guarantor, entry was absolutely hopeless.
Right after getting off the ship, I was immediately dragged away to an island called "Imindo" (이민도 - Immigration Island), about 30 *ri* away from San Francisco (桑港), and ended up confined (갓기고 말었음니다). This place is said to be like a "prison" where they lock up people not permitted (許치) to land (上陸). Inside here, I spent over 10 days and nights, still wearing my clothes, still wearing my hat. Sometimes, I let out my voice and cried my heart out. After some time, perhaps because they showed compassion for a pitiful person, I was able to get out of there. Even while experiencing (격그면서도) such hardships and obstacles, I never once forgot my longing and ambition (야망) for the "Fighting Spirit" (鬪志).
Right then, I went looking for Mr. Watanabe and finally got the awaited opportunity to face American boxing athletes.
Two weeks after crossing over to America, I finally had my first match (第 1回戰), fighting against the athlete "Jack Cavanaugh" (짝·카바누), whose name was known not only in America but also worldwide. In this fight, I completely knocked out (넉아웃) that famous athlete. After that, about once a week, I fought against various famous athletes, and perhaps because my luck was good, whenever I fought them, I knocked them all out (모조리 다-「넉아웃」).
With these KO victories,
public support (聲援) for me, an unknown Korean, gradually increased.
Winning when I fought, winning when I fought—first among people from mainland Japan, then among Filipinos (比島人) and Caucasians—I clearly felt (늣끼게 되였음니다) at every match that there were many people throwing voices of support for me.
After achieving 4 or 5 consecutive KO victories like this, for the 5th time, I came to fight against "Pancho Villa" (뺀조·비라), a Filipino (比島人), the hero (雄) of Bantamweight (빤담), whose name was renowned as a world-class athlete.
Before I write here, the popularity of "Pancho <175> Villa" at the time was truly tremendous. Against him, who reigned (군림하는) over the American boxing world as the Bantamweight King of the world, although I had continued my KO winning streak up to this point, the fact that I, an unknown Korean with no name, was to fight him—the enthusiastic joy (환히) of all American boxing fans at this time was beyond imagination.
"Even if I lose the fight, just fighting against a world-class athlete is itself an honor,"
I thought to myself.
"However, if I win this fight, I can enter the sphere of contention for the world championship (世界選手權 쟁패)."
I came to hold even such a bold resolution.
However, the outcome (勝敗) of this match and the post-fight reviews (戰後評) were widely reported in newspapers and publications not only across America but throughout the world at the time, so I will abbreviate (약하거니와), but anyway, due to an unfair judgment by the referee, the verdict of having lost (敗하였다는) by decision (判定) was unjustly handed down (내리우고) to me.
For the reference (참고) of everyone here, I will write down a snippet (한토막) of an article (記事) reported in a certain San Francisco (쌘푸랜씨스코) newspaper at the time.
『The main event 10-round match between athlete Sŏ Chŏnggwŏn and the Featherweight (페-타-급) Filipino champion, "Pancho Villa" (뺀조·비라), was held amidst great success like boiling water (물끌틋하는 大盛況裡) at the "Sacramento Morning Field" (사쿠라멘트·모-닝·필드), exceeding 12,000 spectators (觀衆), and the grim support (聲援) from enthusiastic fans created an unprecedented (空前) magnificent spectacle (壯觀). Except for the 7th and 9th rounds (라운드), Sŏ maintained superiority (優勢), but due to an unfair judgment, it ended up being declared a "draw" (引分).』
Besides this, I also had 4 matches in total with the athlete "Star Frisco" (스타-·푸리스코), who had previously been invited by the Japan Boxing Club, came to Tokyo, left a record of all KOs, and then went back. I won the first 2 times and lost the latter 2 times by decision.
Next, I faced the athlete "Young Tommy" (양그 토미-). I consider this person my greatest weak point (니가데, 苦手). I lost to this athlete 3 times before, but now, if I were to fight him, I declare that I have the confidence (目信 - likely 自信) not to lose.

"Speedy Dado" (스피-듸·따도-). He was a famous athlete holding the 2nd place in the World Championship, but I faced this athlete and knocked him out in the 3rd round.

"Lew Farber" (류-·파-바-). This athlete was the American Bantamweight (빤담級) champion, and fighting him, I also won by decision.
In addition to these, I fought altogether (무릇) 45 times against various athletes called 2nd place world champions or champions, losing 30 times, drawing 5 times, and winning all the rest. <176>
Fortunately, over the 3-odd years since coming (在來), I fought against the strongest athletes of the world Bantamweight class, and moreover, leaving behind the astonishing (경이적) record of having filed petitions for extension of stay in the US (滯米延期願) 7 times, I came to set foot (밟게 되엿음니다) on my longed-for homeland (故土).
America's boxing fever is tremendous; even when the admission fee (觀覽料) for one game (께임) is about 5 Yen, seeing crowds of 10,000 or 20,000 surge like a tide (물밀 듯) surprised me greatly at first. That's why they say some famous athletes earned 20 million dollars through boxing. I, too, once earned 30,000 Yen from a certain game.
However, even the country of gold (황금의 나라), America, seemed helpless against the "Depression" (不景氣); recently (近者), there are apparently matches where the admission fee for one game is 25 sen.
If we Koreans had diligently learned this boxing 10 years ago, many rich people would likely have emerged.
I have the resolve, determination, and even the confidence to fight against the champions of the "boxing world" and completely conquer the world stage in the near future.
When I intend to step onto the world stage with boxing, fighting only with these two fists, and display (떨칠야고) the spirit (意氣) of a "Korean," the existence of the Korean people, widely to the people of the world, how much the heart (心臟) of a son of the Peninsula (半島男兒) will leap! <177>

**Summary**

Sŏ Chŏnggwŏn recounts his journey from being an expelled, troublesome youth in Korea to becoming the 6th ranked Bantamweight boxer in the world by 1935. Expelled from school and finding rural life stifling, he secretly went to Tokyo, where he was introduced to boxing by Hwang Ŭlsu. Driven by a fierce determination to succeed and prove himself, he trained rigorously, eventually moving to the US in 1932. Despite facing immigration difficulties upon arrival in San Francisco (being detained on 'Immigration Island', likely Angel Island), he quickly made a name for himself with numerous KO victories against prominent boxers like 'Jack Cavanaugh', 'Speedy Dado', and 'Lew Farber', although he notes a controversial decision loss (reported as a draw by some papers) against the famed Filipino champion Pancho Villa. He details his 45 fights in the US over three years, his financial earnings, and his ultimate goal: to conquer the world stage and showcase Korean spirit and existence globally through boxing.

This article is significant for historians studying colonial Korea as it exemplifies how sports, particularly boxing, provided a rare avenue for international recognition and expression of national pride for Koreans under Japanese rule. Sŏ's narrative highlights the intense personal ambition intertwined with a desire to elevate the status of "Koreans" (조선사람) on a world stage dominated by others. His experiences with immigration detention in the US also shed light on the specific racial and political hurdles faced by Asians, including Koreans, seeking entry and success abroad during that era. The mention of financial success and the popularity of boxing underscores its potential as a path to social mobility, while the final lines explicitly frame his boxing career as a mission to assert Korean identity (半島男兒의 心臟, 코리안의 意氣).

**Named Entities**

徐廷權	서정권	Sŏ Chŏnggwŏn
全羅南道	전라남도	Chŏlla Namdo
順天	순천	Sunch'ŏn
玄海灘	현해탄	Hyŏnhaet'an (Genkai Sea)
東京	동경	Tonggyŏng (Tokyo)
明治大學	명치대학	Myŏngji Taehak (Meiji University)
黃乙秀	황을수	Hwang Ŭlsu
日本권투俱樂部	일본권투구락부	Nihan Kwŏnt'u Kurakpu (Japan Boxing Club)
渡邊	도변	Watanabe
米國	미국	Miguk (United States)
米洲	미주	Miju (The Americas)
쌘푸랜씨스코	쌘푸랜씨스코	Ssaenp'ŭraenssisŭk'o (San Francisco)
桑港	상항	Sanghang (San Francisco)
이민도	이민도	Imindo (Immigration Island / Angel Island)
짝·카바누	짝 카바누	Chak K'abanu (Jack Cavanaugh?)
比島人	비도인	Pidoin (Filipino)
뺀조·비라	뺀조 비라	Ppenjo Pira (Pancho Villa)
사쿠라멘트·모-닝·필드	사쿠라멘트 모닝 필드	Sak'urament Mo-ning P'ildŭ (Sacramento Morning Field)
스타-·푸리스코	스타 푸리스코	Sŭt'a- P'ŭrisŭk'o (Star Frisco?)
양그 토미-	양그 토미	Yanggŭ T'omi (Young Tommy?)
스피-듸·따도-	스피디 따도	Sŭp'i-di Ttado (Speedy Dado?)
류-·파-바-	류 파바	Ryu P'aba (Lew Farber?)

**Glossary**

나섯나	나섰나	Why I stepped out (Older spelling of 나섰나)
이외다	외이다/입니다	Is/am (Older, formal ending)
붙어	부터	From (Older spelling of 부터)
비로서	비로소	For the first time
도리다보면	돌이켜보면	Looking back (Older form)
파란골절	파란곡절	Ups and downs, twists and turns
단일 때	다닐 때	When I was attending (Older spelling/form of 다니다)
작난꾼	장난꾼	Mischief-maker, rascal
퍽으나	퍽이나	Very much, quite
어렷슬 때	어렸을 때	When I was young (Older spelling)
남의게	남에게	To others (Older spelling)
슳여하였음니다	싫어했습니다	Disliked (Older spelling/form of 싫어하다)
어더맛는	얻어맞는	Getting hit/beaten (Older spelling)
중중하였음니다	종종 있었습니다	Happened often (Older form/spelling)
퇴학식힘도	퇴학시킴도	Being expelled (Older form of 시키다 passive/causative)
맨들어 줄쭐이야	만들어 줄 줄이야	That it would create (Older spelling/form of 만들다)
녁이지 않었음니다	여기지 않았습니다	Did not consider (Older spelling/form of 여기다)
父親	부친	Father
달엿든 고로	달했던 고로	Because it reached the peak (고로 = therefore, because)
무미건조하였고	무미건조하였고	Was tasteless and dry, dull
피떵이	피덩이	Lump of blood (Figurative for passion/energy)
가젔섯음니다	가졌었습니다	Had possessed (Older spelling/past perfect form)
마츰내	마침내	Finally
手中	수중	In hand
몰내	몰래	Secretly
하숙	하숙	Boarding house
찾어 갔을때에	찾아 갔을때에	When I went looking for (Older spelling of 찾아)
의긔	의기	Spirit, mettle
뵈여주든	보여주던	That showed (Older spelling/form of 보여주다)
갓게 되였음니다	갖게 되었습니다	Came to have (Older spelling/form)
거러나갈	걸어나갈	Will walk out, pursue (Older spelling of 걸어)
받치겠다	바치겠다	Will devote (Older spelling of 바치다)
울넝거리게	울렁거리게	To make flutter/throb
매혹적인	매혹적인	Fascinating, captivating
굿세인	굳센	Strong, firm (Older spelling)
말었음니다	말았습니다	Ended up doing (auxiliary verb ending; older form)
긔여히	기어이	By all means, definitely (Older spelling)
흘여가면서	흘려가면서	While shedding (Older spelling of 흘리다)
드듸여	드디어	Finally (Older spelling)
道場	도장	Training hall (Dojo)
入門하여	입문하여	Entering as a disciple
精通하게	정통하게	To become proficient/master
동경하는	동경하는	Yearning for, longing for
찬쓰	찬스	Chance (Loanword)
弱冠	약관	Age twenty
깁뿜에	기쁨에	In joy (Older spelling of 기쁨)
날뛰였으며	날뛰었으며	Was jumping about (Older spelling)
확득할	획득할	To acquire, win
불타올났든	불타올랐던	That was burning (Older form)
거츠른	거친	Rough (Older spelling)
갓기고 말었음니다	갇히고 말았습니다	Ended up being confined (Older spelling/form)
上陸	상륙	Landing (on shore)
許치	허락지/허용치	Allowing (Older form contraction)
격그면서도	겪으면서도	Even while experiencing (Older spelling of 겪다)
鬪志	투지	Fighting spirit
야망	야망	Ambition
일즉이	일찍이	Early on, formerly (Older spelling)
넉아웃	넉아웃	Knockout (Loanword)
식혓슴니다	시켰습니다	Made happen, caused (Older spelling of 시키다)
모조리	모조리	Completely, all
聲援	성원	Cheers, support
늣끼게 되였음니다	느끼게 되었습니다	Came to feel (Older spelling/form)
빤담	밴텀	Bantam(weight) (Loanword)
雄	웅	Hero, champion
날니는	날리는	Making famous (Older spelling)
군림하는	군림하는	Reigning over
환히	환희	Joy, delight
쟁패	쟁패	Struggle for supremacy/championship
勝敗	승패	Victory or defeat
戰後評	전후평	Post-match commentary/review
약하거니와	생략하거니와	Will omit, but... (Contextual meaning, lit. 'it is brief, but...')
말미아마	말미암아	Due to, because of
判定	판정	Decision (by judges)
敗하였다는	패하였다는	That (he) was defeated
내리우고	내리우고	Lowering, handing down (Older form)
도음이	도움이	Help, aid (Older spelling)
記事	기사	Article
페-타-급	페더급	Feather(weight) (Loanword)
맨에벤트	메인 이벤트	Main event (Loanword)
물끌틋하는	물끓듯 하는	Like boiling water (Figurative for intense excitement)
大盛況裡	대성황리에	Amidst great success/prosperity
觀衆	관중	Audience, spectators
空前	공전	Unprecedented
壯觀	장관	Magnificent spectacle
라운드	라운드	Round (Loanword)
優勢	우세	Superiority, advantage
引分	인분/히키와케	Draw, tie (Likely Japanese loanword 引分 hikiwake)
니가데	니가테	Weak point, someone one struggles against (Japanese loanword 苦手 nigate)
目信	자신(?)	Confidence (Likely misprint/non-standard term for 자신)
챤피オン	챔피언	Champion (Loanword)
일크르는	일컫는	Called, named (Older spelling)
무릇	무릇	In total, altogether
在來	재래	Since coming (here: since coming to America)
滯米延期願	체미연기원	Petition for extension of stay in the US
경이적	경이적	Astonishing, phenomenal
故土	고토	Homeland
밟게 되엿음니다	밟게 되었습니다	Came to set foot on (Older spelling/form)
께임	게임	Game, match (Loanword)
觀覽料	관람료	Admission fee
물밀 듯	물밀 듯	Like a surging tide
황금의 나라	황금의 나라	Country of gold
不景氣	불경기	Economic depression, recession
近者	근자	Recently
떨칠야고	떨치려고	Intending to make known, display (Older spelling)
半島男兒	반도 남아	Son of the Peninsula (Korean man)
心臟	심장	Heart


---------------------------


잡지명	삼천리 제7권 제9호
발행일	1935년 10월 01일
기사제목	나는 왜 世界舞臺에 나섯나
필자	徐廷權
기사형태	회고·수기

나는 왜 世界舞臺에 나섯나
						徐廷權
나는 금년에 23세의 어린몸이외다. 내가 拳鬪를 배우기 비로서 시작하기는 지금 붙어 7년 전의 일이외다.
오늘날에 와서 세게에서 6위를 찾이하게 되는 명예를 가지게 되기까지에는 실로 나의 지난 과거를 이제 다시금 도리다보면 그야말로 파란골절과 고난의 길이였음니다.
나는 고향인 全羅南道 順天에서 붙어 서울에 와서 學校를 단일 때까지 이제 다시 생각하여보면 말할 수 없는 작난꾼이였고 퍽으나 행실이 不正하였든 것만은 숨길수 없는 사실임니다.
나는 어렷슬 때 붙어 내몸이 남의게 비하야 약하지 않었든 탓인지는 몰나도 남에게 지기를 슳여하였음니다. 그러기 때문에 남과 싸우기를 좋와하였고, 남에게 어더맛는 때도 중중하였음니다.
이러한 부당한 생활을 하여왔으니 내가 단이든 中學校에서 나를 퇴학식힘도 당연한 일이였음니다.
이 단이든 學校의 중도 퇴학이 나의 앞날에 오늘날의 명예있는 길을 열어 주는 긔회를 맨들어 줄쭐이야 어찌 뜻이나 하였겠음니까.
그때의 나의 생각에는 학교에서 공부만 하는 것이 그리 큰 히망이 않이였음으로 학교에서 퇴학을 식히는 것이 그리 원통하게는 녁이지 않었음니다. 그러나 그때에 가장 분노하시기는 나의 父親이였음니다. 부친의 노여움은 극도에 달엿든 고로 그길로 나를 고향으로 내려오게 하였음니다.
시골에서 지나든 그 생활이야 말로 실로 원시적이고 모든 것이 무미건조하였고＜173＞ 답답하기가 한량이 없었음니다.
나는 얼마동안을 꾹참고 이 비참하고 쓰라린 생활을 하여왔었으나, 가슴속에서 뛰는 피떵이와 불끈불끈 쥐여지는 두 주먹은 그대로 시골에서 그냥 세월을 보내기를 허락치 않었슴니다. 그때의 나는 벌서 한 소년으로서는 튼튼하다고 할만한 건진한 몸을 가젔섯음니다.
마츰내 결심한 끝에 그길로, 나는 手中에 한푼의 돈도 없이 玄海灘을 건니기로 되였드랫슴니다. 물론 부친이나 가정에서 아무도 몰내 동경으로 건너갔었읍니다.
그때의 나는 퍽으나 방황하였드랬음니다. 나는 떠나면 어데로 갈것인가 하고, 여러번 생각하든 끝에 그때 나의 친형님이 있는 東京으로 가기로 하였음니다.
동경 형님의 하숙을 찾어 갔을때에 거긔에는 그 당시 明治大學의 권투부에서 조선청년의 의긔를 발휘하든 黃乙秀씨가 형님과 같이 있었음니다.
이 黃乙秀씨야 말로, 오늘날 판탐級 世界 6위의 자리를 찾이하게된 오늘의 나를 최초로 지도하고 앞길을 열어주게된 은인이라고 않할수 없음니다.
黃씨가 처음으로 나의게 拳鬪라는 것을 뵈여주든 순간, 나는 이「권투」에 대한 매력이 너무도 컷섯슴니다. 그때의 나의 마음은 이 권투에 대하야 상상이상으로 애착심을 갓게 되였음니다. 그때붙어 나는 「이제붙어의 나의 생명은 여긔에 있다. 나는 권투로서 일생을 거러나갈 것이다. 어떠한 고난이 있드래도, 나는 이를 악물고 이 권투에다 나의 전생명을 받치겠다. 나는 이 권투 이외에는 거러나갈 아무런 길도 없다!」하고 비장한 결심을 하였섰음니다.
그리고 또 한가지는 지금도 그렇지마는 그때의 젊은 사람들의 가슴을 울넝거리게 하는 매혹적인 스로-간인,
