Magazine Title: 三千里 제7권 제9호
Publication Date: 1935년 10월 01일
Article Title: 레코-드 歌手 人氣投票 (Record Singer Popularity Poll)
Author: Not specified (likely 삼천리사 - Samch'ŏlli-sa)
Article Type: 설문 (Survey/Poll)

Record Singer Popularity Poll
Final Results Announcement

Last spring, our company began a Record Singer Popularity Poll, which received an extraordinary welcome. Votes flooded in from music-loving masses on the streets, and indeed, by the end of this September, not yet the 8th round, the momentum showed signs of surpassing ten thousand ballots. Thus, the voting ends today, and we publicly announce the results as follows. Furthermore, we are deeply grateful for the support from various quarters for this grand event (牡擧), allowing it to conclude with such success. (Additionally, the lottery results will be announced later, and a commemorative concert will also be held).

Five Selected Male Singers
1st Place: Ch'ae Kyu-yŏp (蔡奎燁) (Columbia Records) 1,844 votes
2nd Place: Kim Yong-hwan (金龍煥) (Polydor Records) 1,335 votes
3rd Place: Ko Pok-su (高福壽) (Okeh Records) 674 votes
4th Place: Kang Hong-sik (姜弘植) (Columbia Records) 468 votes
5th Place: Ch'oe Nam-yong (崔南鏞) (T'aep'yŏng Records) 333 votes
Runners-up: Kim Yŏng-gil (金永吉) (313), Yun Kŏn-yŏng (尹健榮) (313), Yi Il-nam (李一男) (307), Im Hŏn-ik (林憲翊) (301), etc. Others include Kim Hae-song (金海松), Kim Chu-ho (金周鎬), Kim Il-song (金一松), Yi Sang-ch'un (李相春), and various other gentlemen (諸氏).
Total votes counted above: 5,888 votes

Five Selected Female Singers
1st Place: Wang Su-bok (王壽福) (Polydor Records) 1,903 votes
2nd Place: Sŏnu Il-sŏn (鮮于一扇) (Polydor Records) 1,166 votes
3rd Place: Yi Nan-yŏng (李蘭影) (Okeh Records) 873 votes
4th Place: Chŏn Ok (全玉) (Polydor Records) 387 votes
5th Place: Kim Pok-hŭi (金福姬) (Victor Records) 348 votes
Runners-up: Kang Sŏk-yŏn (姜石燕氏) (344 votes), Yi Ae-ri-su (李愛利秀氏) (309), Kim Sŏn-ch'o (金仙草) (306), Ch'oe Ch'ang-sŏn (崔昌仙氏) (306 votes), Son Kŭm-hong (孫錦紅氏) (301 votes)
Others include: Na Sŏn-gyo (羅仙嬌), Ch'oe Myŏng-ju (崔明珠), Ch'oe Yŏn-yŏn (崔姸姸), Kang Nam-hyang (江南香), Cho Kŭm-ja (趙錦子), Kim Chŏng-suk (金貞淑), Miss Korea (미스코리아), Namgung Sŏn (南宮仙), Pak Pu-yong (朴芙蓉), Han Chŏng-hŭi (韓晶姬), Kim Yŏn-wŏl (金蓮月), An Myŏng-ok (安明玉), Yun Ok-sŏn (尹玉仙), Chang Il-t'a-hong (張一朶紅), Yi Ŭn-p'a (李銀波), Sim Ok-ch'ŏn (深玉泉)
Total votes counted above: 4,243 votes
Grand Total: 10,130 votes
Awards Ceremony & Commemorative Concert
Lottery Prize Winners' Names (To be announced later)
Hosted by Samch'ŏlli-sa (三千里社) <133>
<132-133>

**Summary**

This article from the October 1935 issue of Samch'ŏlli magazine announces the final results of a record singer popularity poll conducted earlier that year. It lists the top five male and female singers based on over 10,000 votes received from the public, along with their affiliated record labels and vote counts. Ch'ae Kyu-yŏp and Wang Su-bok topped the male and female categories, respectively. The article expresses gratitude for the public's enthusiastic participation and announces plans for an awards ceremony, a commemorative concert, and a lottery prize draw. For historians, this article provides valuable insight into the burgeoning popular music scene and recording industry in colonial Korea during the 1930s. It reveals the leading stars, the dominant record companies (Columbia, Polydor, Okeh, T'aep'yŏng/Taihei, Victor), and the engagement of the public through media-driven popularity contests, reflecting cultural trends and consumerism under colonial rule.

**Named Entities**

蔡奎燁	채규엽	Ch'ae Kyu-yŏp
콜넘비아 레코-드	콜럼비아 레코드	Columbia Records
金龍煥	김용환	Kim Yong-hwan
포리돌- 레코-드	포리돌 레코드	Polydor Records
高福壽	고복수	Ko Pok-su
오-케- 레코-드	오케 레코드	Okeh Records
姜弘植	강홍식	Kang Hong-sik
崔南鏞	최남용	Ch'oe Nam-yong
太 平 레코-드	태평 레코드	T'aep'yŏng Records
金永吉	김영길	Kim Yŏng-gil
尹健榮	윤건영	Yun Kŏn-yŏng
李一男	이일남	Yi Il-nam
林憲翊	임헌익	Im Hŏn-ik
金海松	김해송	Kim Hae-song
金周鎬	김주호	Kim Chu-ho
金一松	김일송	Kim Il-song
李相春	이상춘	Yi Sang-ch'un
王壽福	왕수복	Wang Su-bok
포리둘- 레코-드	포리돌 레코드	Polydor Records
鮮于一扇	선우일선	Sŏnu Il-sŏn
李蘭影	이란영	Yi Nan-yŏng
全玉	전옥	Chŏn Ok
金福姬	김복희	Kim Pok-hŭi
삑타- 레코-드	빅타 레코드	Victor Records
姜石燕氏	강석연 씨	Kang Sŏk-yŏn
李愛利秀氏	이애리수 씨	Yi Ae-ri-su
金仙草	김선초	Kim Sŏn-ch'o
崔昌仙氏	최창선 씨	Ch'oe Ch'ang-sŏn
孫錦紅氏	손금홍 씨	Son Kŭm-hong
羅仙嬌	나선교	Na Sŏn-gyo
崔明珠	최명주	Ch'oe Myŏng-ju
崔姸姸	최연연	Ch'oe Yŏn-yŏn
江南香	강남향	Kang Nam-hyang
趙錦子	조금자	Cho Kŭm-ja
金貞淑	김정숙	Kim Chŏng-suk
미스코리아	미스코리아	Miss Korea
南宮仙	남궁선	Namgung Sŏn
朴芙蓉	박부용	Pak Pu-yong
韓晶姬	한정희	Han Chŏng-hŭi
金蓮月	김연월	Kim Yŏn-wŏl
安明玉	안명옥	An Myŏng-ok
尹玉仙	윤옥선	Yun Ok-sŏn
張一朶紅	장일타홍	Chang Il-t'a-hong
李銀波	이은파	Yi Ŭn-p'a
深玉泉	심옥천	Sim Ok-ch'ŏn
三千里社	삼천리사	Samch'ŏlli-sa

**Glossary**

本社	본사	This company (referring to Samch'ŏlli-sa)
레코-드	레코드	Record (phonograph record)
歌手	가수	Singer
人氣投票	인기 투표	Popularity poll
決選發表	결선 발표	Final selection announcement
開始	개시	Start, commencement
비상한	비상한	Extraordinary, unusual
환영	환영	Welcome
밧어	받아	To receive (older spelling of 받아)
街頭	가두	On the street(s)
愛好家	애호가	Lover, enthusiast, fan
大衆	대중	The masses, the public
踏至하야	답지하여	To flood in, arrive in great numbers (older form of 답지하여)
壹萬枚	일만 매	Ten thousand sheets/ballots
돌파	돌파	Breakthrough, surpass
기세	기세	Spirit, vigor, momentum
보엿슴니다	보였습니다	Showed, was seen (older spelling/form of 보였습니다)
今日	금일	Today
끗내고	끝내고	To finish, end (older spelling of 끝내고)
結果	결과	Result
如左히	여좌히	As follows (lit. 'as on the left', an older expression)
公表	공표	Public announcement
아울너	아울러	Furthermore, in addition (older spelling of 아울러)
今回	금회	This time
牡擧	모거	Grand undertaking, great event (Hanja term)
愛援하여	애원하여	Support, patronage, backing (older form)
가치	같이	Like, as (older spelling of 같이)
盛况	성황	Great success, prosperity
終了케	종료케	To bring to an end, conclude
하옴을	함을	Doing (older nominalizing form)
심히	심히	Greatly, very much
아옵니다	압니다/여깁니다	Know, think, consider (older polite ending)
더욱	더욱	Furthermore, moreover
抽籤	추첨	Lottery, drawing lots
追后發表	추후 발표	Later announcement
記念音樂會	기념 음악회	Commemorative concert
開催하겟나이다	개최하겠습니다	Will hold/host (older polite future tense form)
