잡지명	三千里 제7권 제9호
발행일	1935년 10월 01일
기사제목	文壇의 페스토菌 (Pest Bacteria of the Literary World)
필자	張赫宙
기사형태	문예평론 (Literary Criticism)

文壇의 페스토菌
						張赫宙

Recently, various letters have been coming to me from unknown writers or literature enthusiasts both inside and outside the country (內外地). Immediately after my debut in the literary world (文壇), I tried my best to reply to each and every one. This was because I felt deeply grateful that people would send letters even to someone like me.

However, as days passed, manuscripts (原稿) to be written piled up on my desk, books to be read accumulated, and letters needing replies gathered, so replies to them were delayed, and when letters came from others, I would completely forget about the earlier ones. (I record this as an excuse to all of you who sent me letters and were disappointed not to receive a reply. Among them were polite letters enclosing postcards (葉書) or stamps (切手), but even those I ended up forgetting. At first, I even doubted the intentions of people like me who write such things, thinking, "Why receive someone's letter and just hold onto it?" But people are indeed weak, it seems. I myself have ended up becoming like that. Perhaps it could be said I've grown weary of "writing" and tired of "literature" to that extent. Truly, even if I had a lover (愛人), I don't think I could write letters so frequently.) In this state, today, an unknown friend from Tokyo sent a substantial letter. I replied immediately. This was because the content of the letter was not praise or criticism directed personally at me, but raised issues that "we" should consider. <250>

I have received similar letters several times from other people, discussed such matters with acquaintances, and as I desperately wished for our improvement and development, lamenting why we couldn't become such a splendid nation, that issue has now deeply lodged itself in my mind. Since "Samch'ŏlli" (三千里) had previously requested a manuscript via letter, I thought I would write about it here. However, I am certainly not writing this piece out of a desire to show off, thinking I am the best in the world, or rather, the best in Chosŏn.

Although I have read one or two pieces of writing that deceived the conscience and told "lies" in the past, "writing," especially essays (隨筆) like this, should be written most honestly so that the author's character is revealed starkly (赤裸裸). How could I possibly violate that principle?

The letter from the unknown friend is as follows: "Brother Chang (張兄)— Have you been well? Taegu must be very hot—

Well, the reason I am writing to you, Brother, is none other than this. I wanted to share my thoughts on the Chosŏn literary world (朝鮮文壇) with you, so I took up my pen. I am also one who values literature and loves it. And I am one who eagerly awaits (苦待) the emergence of a literary genius in Chosŏn. However, lacking the time and leisure to fully examine the trends in Chosŏn literature, I haven't even prepared my own views on how the Chosŏn literary world is. But since I consistently obtain and read the three newspapers (3新聞), *Sindonga* (新東亞), *Chungang* (中央), etc., my fragmented and shallow views (淺見) on the Chosŏn literary world are likely based on these. Thus, I have been anticipating (企待) that genius literature might finally emerge in Chosŏn. I thought the conception (朶胎) had already occurred. However, due to a certain motive, I felt apprehension and fear (疑懼와 공포) wondering if the literary society (文學界社會) of Chosŏn, far from nurturing (褓育) such a genius even if one were born, might instead be filled with poison (毒素) that would kick, spit on, and grind them into the dirt. (Emphasis by Chang) That motive was seeing the Chosŏn Literary World Roundtable Discussion (朝鮮文壇座談會) in the September issue of *Sindonga*. (Recently, there has been more than one new writer (新作家) with excellent talent in Chosŏn.) Are the dignitaries (御歷御歷) gathered at that roundtable discussion the seniors of the Chosŏn literary world who will guide <251> it? If so, I would hastily conclude that there is nothing to anticipate in the Chosŏn literary world. What did they clamor about at that roundtable? Just looking at it made me want to spit in disgust (唾棄) and find it hard to suppress vomiting (嘔吐).

The purpose of doing literature in the Chosŏn language (朝鮮語) is to effectively convey the emotions, sentiments, and thoughts of the Chosŏn populace (朝鮮民衆) who speak Chosŏn language to those who speak Chosŏn language. If the Chosŏn populace is considered a part of world humanity, then there must be a common underlying current in the fundamental tendencies of humankind. If that's the case, there should be no issue whatsoever even if a Chosŏn person does literature in English, French, Chinese, Esperanto, or any other language. We should simply praise or detest the excellence of the work. Those base individuals (卑劣漢) who are jealous (猜忌) just because it's expressed in another language— If a work expressed in another language actually conveys Chosŏn life better, and one feels it should definitely be read by the masses who only know Chosŏn language, then thinking of ways to translate and publish it would be the right approach. (Omitted due to presence of specific names of Mr./Ms. So-and-so (某某氏實名))

Finally, Brother, I offer you my sorrowful sentiment (哀情). Literature certainly reaps nothing from jealousy (猜忌) and hatred (憎惡); rather, these two things must be called the pest bacteria (페스토菌) of literature.
If Chosŏn people are the ones who can sympathize with and understand Chosŏn life, then those who can sympathize with and understand Chosŏn literature must be none other than the people of the Chosŏn literary world (朝鮮文壇人). Sympathy and understanding—only these, I believe, form the warm bed (溫床) that nurtures literature. Brother, please disinfect the pest bacteria of the Chosŏn literary world.
As one who loves literature and eagerly awaits excellent literature, I earnestly wish this of you, Brother.
Please remain well.
September 10th, In Tokyo
Yi XX
(Mr. Yi, please forgive this unauthorized use.)"

Before writing my thoughts on this letter, I want to note that I am wary this piece might seem as if the *Sindonga* roundtable itself is the issue, or as if it refers to the literary figures (文壇人諸氏) as pest bacteria (페스토菌 云云), <252> and that it was not my intention to deliberately bring up someone else's letter with such motives. Indeed, are there many pest bacteria in our literary world? I too would like to ask the literary figures.
Since I am also far removed from the literary world, I don't know well what it is like.

However, based on what I've heard from the few literary figures I've met face-to-face (面對), it seems there is considerable mutual envy (嫉視) and hatred (憎惡), and a habit of not acknowledging good works (佳作) as they are. Recently, Mr. Yi Pungmyŏng's (李北鳴氏) work that appeared in *Sindonga* was also a considerable masterpiece, but Mr. Yi also wrote to me expressing similar laments. When Mr. Yu Chin-o (兪鎭午氏) published ("Professor Chŏng and Instructor Kim" (丁敎授와 金講師)), he too sent such sighs of lament (嘆聲).

Judging by this, perhaps to avoid others' envy in the Chosŏn literary world, one should produce mediocre works (䭾作)? Then wouldn't everyone say, "Look here, I am the best"?

However, I replied to Mr. Yi in Tokyo, saying that Chosŏn indeed has many such elements, but not everyone is like that, so let's first, starting with myself and you, strive to discard such XX-like ingrained nature (根性).

I have never boasted about debuting in the Tokyo literary world, and since I remain hidden in the countryside (鄕間), how could I have done anything to incur others' hatred? Yet, why is it that only stubbornness towards me, slander (罵倒), cold sneers (冷笑), and abusive language (辱說) (from Seoul literary figures (서울文士諸氏)) reach my ears? Setting aside my lack of proficiency in the Chosŏn language, my affection for the Chosŏn literary world completely disappears, leaving nothing behind. In the past or now, apart from two or three individuals among Chosŏn writers (朝鮮文人), who has ever acknowledged my work? When (Agwi To / Path of Hungry Ghosts (餓鬼道)) was published, word came that people were saying, "They probably selected it because a Chosŏn person wrote it." My memory is quite dim now, so I cannot speak in detail, but (Chohāreru Hitobito / Pursued People (追はれる人人)) was called ("merely an introductory text about Chosŏn (조선의 소개文而己)"), (Ken to iu Otoko / A Man Called Kwon (權と云ふ男)) "a novel deserving of spitting upon (唾棄)". Since only such attacks were made, how could I feel grateful towards, love, or feel close kinship with Chosŏn writers? According to a letter from a certain Mr. So-and-so (某氏), many unfavorable remarks about me also came up at the recent *Sindonga* roundtable discussion. Indeed, Mr. Kim Kwangsŏp (金珖燮氏) said, "Publish just one novel in *Kaizō* (改造) or *Chūōkōron* (中央公論), and they act high and mighty (眼下無人)—" this was undoubtedly aimed at me. <253> Mr. Chu Yosŏp (朱요섭氏) also mentioned Chang Hyŏkchu (張赫宙 云云); there would have been no need to specifically mention Chang Hyŏkchu, who had no relevance to the purpose of the roundtable. Sometime ago, when there was a Samch'ŏlli Company (三千里社) roundtable, I heard from a Mr. Pak (朴某氏) who attended there many remarks beyond what was published, about how Messrs. Kim Tongin (金東仁) and Chu Yohan (朱耀翰 諸氏) had slightly attacked me.

Seeing me record things like this, it's clear I too am a petty person (小人) whose nerves are frayed by trivial matters.
Therefore, I am trying not to feel any ill will (惡感) towards any abusive language directed at me.

However, I simply do not feel inclined to try writing even a poor novel in the Chosŏn language. This is because the thought constantly lingers in my mind: if even works published in the Tokyo literary world and received favorably are slandered (罵倒) like that by Chosŏn writers, how much abuse would I face if I wrote in Chosŏn language?

I think I will probably never desire the glory (榮光) of becoming a Chosŏn writer. I think, why should I work while enduring insults when I can work happily where my novels—if they are good—are well-received? This too is a petty nature (小人的 根性). But, since it's the truth, I confess it as it is. I believe there is upward-striving jealousy (向上 的 嫉視) and ruinous jealousy (망족적 嫉視). The thought, "My position remains as long as that fellow remains unsuccessful," is ruinous jealousy, stemming from reluctance to strive – this is the gist of what I wrote to the unknown friend in Tokyo.

"My young friends. It is fine to envy and be jealous when others become great. But strive ceaselessly and endeavor to follow that great friend. If you do this, your jealousy will yield very good results. But never be envious and try to pull others down. That produces nothing but your own degradation."

This is what I tell the young friends who come to me. Why? Because I think the malady (病弊) of dividing into Easterners and Westerners (東人西人), Old Doctrine and Young Doctrine (老論少論), mutually envying and trying to eliminate each other, has become our hereditary nature (遺傳的 天性) today. <254>
<250-254>

**Summary**

The author, Chang Hyŏkchu, expresses his frustration and disillusionment with the Korean literary scene ('Chosŏn bundan') of 1935. He shares a letter from an anonymous Korean intellectual in Tokyo who criticizes the prevailing atmosphere of jealousy, backbiting, and lack of support among Korean writers, citing a recent roundtable discussion published in *Sindonga* magazine as evidence. Chang concurs, recounting personal experiences of having his works (published in prestigious Japanese magazines) dismissed or attacked by Korean literary figures. He feels alienated and discouraged from writing in Korean due to this perceived hostility, contrasting destructive envy with productive ambition. He concludes by lamenting this tendency towards infighting as a potentially inherited trait within Korean society. From a historical perspective, the article is significant for revealing the complex dynamics within the colonial Korean literary world, particularly the tensions surrounding language choice (Korean vs. Japanese) and the internal rivalries that existed. It highlights the personal struggles of a Korean author achieving success through Japanese publication and his perception of being ostracized by the Korean literary establishment, offering insight into the pressures and divisions faced by intellectuals during the colonial period.

**Named Entities**

張赫宙	장혁주	Chang Hyŏkchu
內外地	내외지	Inside and outside the country (referring to Korea and Japan/overseas)
朝鮮	조선	Chosŏn (Korea)
東京	동경	Tokyo
三千里	삼천리	Samch'ŏlli (Magazine Name - excluded as per instruction, but listed here for context)
大邱	대구	Taegu
朝鮮文壇	조선문단	Chosŏn Literary World
新東亞	신동아	Sindonga (Magazine Name)
中央	중앙	Chungang (Magazine Name)
李XX	이XX	Yi XX (Anonymous letter writer)
李北鳴氏	이북명씨	Mr. Yi Pungmyŏng
兪鎭午氏	유진오씨	Mr. Yu Chin-o
丁敎授와 金講師	정교수와 김강사	Professor Chŏng and Instructor Kim (Title of Yu Chin-o's work)
서울	서울	Seoul
餓鬼道	아귀도	Agwi To (Path of Hungry Ghosts - Title of Chang's work)
追はれる人人	<no_hangul>	Chohāreru Hitobito (Pursued People - Title of Chang's work, Japanese)
權と云ふ男	<no_hangul>	Ken to iu Otoko (A Man Called Kwon - Title of Chang's work, Japanese)
金珖燮氏	김광섭씨	Mr. Kim Kwangsŏp
改造	<no_kana>	Kaizō (Japanese Magazine Name)
中央公論	<no_kana>	Chūōkōron (Japanese Magazine Name)
朱요섭氏	주요섭씨	Mr. Chu Yosŏp
三千里社	삼천리사	Samch'ŏlli Company
金東仁	김동인	Kim Tongin
朱耀翰	주요한	Chu Yohan
朴某氏	박모씨	Mr. Pak (So-and-so)
東人西人	동인서인	Easterners and Westerners (Joseon Dynasty political factions)
老論少論	노론소론	Old Doctrine and Young Doctrine (Joseon Dynasty political factions)

**Glossary**

文壇	문단	Literary world, literary circles
內外地	내외지	Inside and outside the country (esp. Korea vs. Japan/abroad in colonial context)
愛好家	애호가	Enthusiast, lover (of something, e.g., literature)
執筆	집필	Writing (esp. professionally, for publication)
갓치	같이	Like, as (Older spelling of 같이)
이저버리다	잊어버리다	To forget (Older spelling/form of 잊어버리다)
싸히다	쌓이다	To pile up, accumulate (Older spelling of 쌓이다)
葉書	엽서	Postcard
切手	체수	Postage stamp (Japanese borrowing, pronounced 'chessu' then, now 우표 'up'yo')
隨筆	수필	Essay, miscellaneous writings
赤裸裸	적나라	Naked, stark, unconcealed
苦待	고대	To eagerly await, wait impatiently
企待	기대	Anticipation, expectation (Slightly different Hanja from modern 기대 期待, but same meaning)
朶胎	타태	Conception (in the womb); beginning
褓育	보육	Nurturing, childcare
姑捨	고사	Setting aside, leaving aside for now
疑懼	의구	Apprehension, doubt, fear
御歷御歷	어력어력	Dignitaries, prominent figures (Archaic/deferential term)
唾棄	타기	Spitting in disgust, contemptible rejection
嘔吐	구토	Vomiting
朝鮮語	조선어	Chosŏn language (Korean language)
民衆	민중	The populace, the masses
卑劣漢	비열한	A base or despicable person
猜忌	시기	Jealousy, envy
憎惡	증오	Hatred, abhorrence
哀情	애정	Sorrowful sentiment, pathos
페스토菌	페스트균	Pest bacteria (referring to the plague bacillus, Yersinia pestis, used metaphorically)
溫床	온상	Hotbed, breeding ground (lit. warm bed)
面對	면대	Meeting face-to-face
嫉視	질시	Envy, jealous gaze
佳作	가작	Fine work, masterpiece
䭾作	타작	Mediocre work, poor work (Less common term)
根性	근성	Ingrained nature, disposition, spirit (often negative nuance)
鄕間	향간	Countryside, rural area
罵倒	매도	Slander, verbal abuse
冷笑	냉소	Cold sneer, cynical smile
辱說	욕설	Abusive language, curses
眼下無人	안하무인	Arrogant, condescending (lit. no person beneath one's eyes)
小人	소인	Petty person, small-minded individual
惡感	악감	Ill feeling, animosity
榮光	영광	Glory, honor
向上 的 嫉視	향상적 질시	Upward-striving jealousy (Productive envy)
망족적 嫉視	망족적 질시	Ruinous jealousy (Destructive envy, lit. 'nation-ruining' but likely used more broadly as 'destructive')
病弊	병폐	Malady, evil practice, vice
遺傳的	유전적	Hereditary
天性	천성	Natural disposition, innate character


---------------------------


잡지명	삼천리 제7권 제9호
발행일	1935년 10월 01일
기사제목	文壇의 페스토菌
필자	張赫宙
기사형태	문예평론

文壇의 페스토菌
						張赫宙
최근 나에게는 內外地의 無名作家 내지 文學愛好家로부터 각종의 편지가 들어온다. 나는 내가 文壇進出 직후에는 될수 잇는대로 일일히 답장을 하엿고 또 하려고 하엿다. 그것은 나갓튼 자에게도 이갓치 글을 주엇스니 하고 퍽도 고마웁게 느껴지기 때문이다.
그러나 날이 가고 차츰차츰 執筆해야 될 原稿가 책상우에 싸히고 읽어야 할 책이 밀이고, 써야할 편지가 모히게 되므로 어느새 그이들의게 쓸 답장이 느저지고 또 다른이 헌테서 편지가 오고 하면 어느듯 까맛케 이저버리고 만다.(이것은 내게 편지를 주고 답장을 밧지 못하여 섭섭히 생각하실 여러분에게 변명삼아 기록함니다 그중에는 葉書를 同封하고 혹은 切手를 너허서 공손하기 짝이 없는 편지도 잇스나 그것 좃차 어느듯 이저버리게 된다. 나는 처음에는 「왜 남의 편지를 밧고 잇다니.」하고 나와 갓치 이런 글을 쓰는 사람의 마음까지 의심하엿섯스나 사람이란 사실 약한 것인가봐. 내 자신 어느덧 그러케 돼어버리엇다. 한편으로 그만치 「쓰는것」에 지치고 「글」에 고달퍼 젓다고 할까. 정말 愛人이 잇달지라도 나는 그리자조 편지를 쓰지 못할 것갓다. 이런 상태에 잇는 오늘, 東京의 未知의 벗이 묵직한 편지를 보내엇다. 나는 곳 답장을 썻다. 그것은 그 편지의 내용이 결코 나를 私的으로 稱讚해 준 것이나 꾸짓거나 한 것이 아니고 「우리」가 생각해야될 문제가 씨엇든 까닭이다.＜250＞
그 편지와 갓흔 편지를 나는 數次 다른 사람에도 바든 일이 잇고 아는 사람끼리 이야기한 일도 잇스며 나도 우리의 向上과 발전을 바라다 못해, 왜 이대지도 훌융한 민족이 못돼엇슬까 하고 한탄하는 나머지 지금 내 머리에도 그 문제가 골속에 사못첫다고 하겟스므로 「三千里」에서 원고를 달라고 전번에 편지잇든 次이라 여기에다 적어볼가 한다. 그러나 나는 결코 내가 잘난체 하려고, 내가 천하의 제일이다, 아니 조선서는 내가 제일이거던, 하는 따위의 마음으로 이글 적는 것은 아니다.
나는 지난날 까지의 양심을 속이며 「거짓말」 글을 쓴 것을 한두편 읽엇거니와, 「글」이란 더구나 이런 隨筆은 가장 정직히 그 필자의 인격이 赤裸裸하게 들어나도록 써야 하는 것이니, 내가 어찌 그 법칙을 어기려고 할까.
未知의 친구의 편지는 如左하다. 「張兄- 其間 安寧하심니가. 大邱는 매우 더우신데―
그런데 내가 兄에게 書信을 올리게 된 것은 다름이 아니외다. 朝鮮文壇에 대한 所感을 兄에게 말슴하고 십허서 붓을 들엇나이다. 저도 문학의 가치를 重히 하고 문학을 사랑하는 한 사람이오. 그리고 朝鮮에 문학의 천재가 나오기를 苦待하는 한 사람인 까닭입니다. 그러나 朝鮮의 문학의 動向을 충분히 살필 시간과 여유를 갓지 못하엿스므로 朝鮮文壇이 如何如何하다는 자신의 識見조차 말할 준비를 갓지 못하엿슴니다. 그러나 3新聞과 新東亞 中央등은 꼭꼭 어더보오니 弟의 朝鮮文壇에 대한 단편적 淺見도 이것이 土台가 될 것입니다. 그리하야 朝鮮에 천재적 문학이 이제야 나올 것 갓치 企待하여왓습니다. 朶胎는 벌서 되여잇는 줄로만 생각되엇나이다. 그러나 나는 엇더한 動機로 朝鮮의 文學界社會에서 그러한 천재가 출생되엇드라도 그것을 褓育하기는 姑捨하고 도리어 차고 밝고 침뱃고 땅에 문질러 버릴 毒素가 차잇지는 안는가하고 疑懼와 공포를 느겻나이다. (傍點은 張) 그 동기라 하는 것은 新東亞 9月號 朝鮮文壇座談會를 본 것이 그것이외다. (近者에 朝鮮에 우수한 소질을 가진 新作家는 한두사람이 아니외다) 그 座談會에 모힌 御歷御歷들이 朝鮮文壇을＜251＞ 指導할 朝鮮文壇의 선배들입니가. 만일 그러타면 朝鮮文壇에는 企待할 것이 아무것도 없다고 速斷하고 말겟습니다. 彼等이 座談會席上에서 무엇을 떠들엇습니까. 보기만 하여도 唾棄하고 십고 嘔吐를 禁키 어려웟슴니다.
문학을 朝鮮語로 하는 것은 朝鮮語를 말하는 朝鮮民衆의 감정과 정서와 사상을 朝鮮말하는 사람에게 잘 알리려 함입니다. 朝鮮民衆은 世界人類의 일부분이라고 한다면, 인류의 근본경향에는 동일한 低流라 하지 안을수 없을 것이외다. 그러타면 朝鮮人으로 英語로 혹 佛語로 中語, 에스페란토, 기타 그 어느것이나를 가지고 문학을 한다 할지라도 何等의 상관이 업슬 것이오. 다만 우리는 그 작품의 우수성을 讚美하거나 憎惡하거나 할 뿐이면 조흘 것이외다. 다른 말로 표현햇다고 猜忌하는 卑劣漢들- 다른말로 표현한 작품에 오히려 朝鮮生活이 더 잘 표현되어 잇서서 그것을 꼭 朝鮮語만을 아는 대중에게 읽히고 십다고 느낀다면 그것을 번역해서 발표할 道理를 생각하는 것이 올흘 것이외다.(中略. 某某氏實名이 잇기에 略함)
나는 최후로 兄에게 弟의 哀情을 드리나이다. 문학은 결코 猜忌와 憎惡에서는 一毫의 收獲은 姑捨하고 이 두가지는 문학의 페스토菌이라고 하지 안을수 없음니다.
