Rank	Word	Frequency
1	하야	303
2	말	298
3	사람	296
4	나	217
5	헤레나	182
6	생각	146
7	우리	145
8	그것	144
9	문학	112
10	계급	108
11	안이	107
12	가지	107
13	가티	103
14	무엇	102
15	인조	90
16	조선	85
17	섯다	83
18	사회	77
19	생활	76
20	지방	73
21	作者	72
22	만주	68
23	만원	66
24	무슨	66
25	문제	65
26	기사	63
27	대하	62
28	소리	62
29	또한	61
30	서서	61
31	집	60
32	하나	58
33	다시	55
34	졍순이	55
35	대한	53
36	노동	53
37	까닭	52
38	의사	51
39	부인	50
40	운동	49
41	노동자	48
42	마음	48
43	지금	48
44	관계	45
45	모든	45
46	이상	44
47	자긔	43
48	증가	42
49	이오	42
50	당신	42
51	作品	42
52	사실	41
53	日本	41
54	하엿다	40
55	잇슬	40
56	아모	40
57	다만	39
58	년도	38
59	수입	38
60	자기	38
61	다른	38
62	작품	38
63	가치	38
64	잡지	36
65	정부	36
66	누구	35
67	수가	35
68	손	35
69	발행	34
70	여긔	34
71	얼마나	34
72	가장	34
73	소위	34
74	동안	34
75	세입	33
76	재정	33
77	大正	33
78	민족	33
79	눈	33
80	그때	33
81	인구	32
82	여러	32
83	제목	31
84	일반	31
85	이외	31
86	英國	31
87	朝鮮	31
88	서방	31
89	보고	31
90	결혼	31
91	개벽	30
92	필요	30
93	경제	30
94	더욱	30
95	정치	30
96	세계	30
97	보아	30
98	제호	29
99	형태	29
100	예산	29
101	모양	29
102	로서	29
103	때문	29
104	잇슴니	29
105	의미	28
106	시간	28
107	되얏다	27
108	리하	27
109	졍순	27
110	말슴	27
111	방면	26
112	서로	26
113	생산	26
114	엇더케	26
115	업슴니	26
116	마리우스	26
117	빠스	26
118	되엿다	25
119	주의	25
120	일이	25
121	시작	25
122	이지	25
123	공장	25
124	倫敦	25
125	이야기	25
126	시대	25
127	남녀	25
128	인류	25
129	기타	24
130	생명	24
131	만일	24
132	실제	24
133	산업	23
134	바이	23
135	요구	23
136	개인	23
137	입	23
138	안코	23
139	아들	23
140	산아제한	23
141	내용	22
142	발달	22
143	현상	22
144	너	22
145	사상	22
146	中國	22
147	사랑	22
148	목적	22
149	부리	22
150	필자	21
151	경우	21
152	수출	21
153	방법	21
154	하얏다	21
155	說明	21
156	오웬	21
157	롯섬	21
158	국민	20
159	今日	20
160	문예	20
161	로써	20
162	물	20
163	참말	20
164	형제	20
165	시인	20
166	의식	20
167	무산계급	20
168	말삿쓰	20
169	博士	20
170	동시	19
171	매우	19
172	獨逸	19
173	일본	19
174	장춘	19
175	회사	19
176	기계	19
177	元山	19
178	결코	19
179	彼等	19
180	레미엘	19
181	로부터	18
182	이제	18
183	예술	18
184	반대	18
185	잇스	18
186	이란	18
187	발견	18
188	공급	18
189	비교	18
190	혼자	18
191	낫다	18
192	모도	18
193	자손	18
194	슴니	18
195	인생	18
196	얼굴	18
197	여러분	18
198	독립	17
199	불	17
200	인제	17
201	그러케	17
202	조약	17
203	잇슴	17
204	별안간	17
205	눈물	17
206	의사당	17
207	自己	17
208	우주	17
209	위해	17
210	讀者	17
211	洋靴	17
212	로동자	17
213	편성	16
214	정리	16
215	하든	16
216	내지	16
217	더구나	16
218	자연	16
219	실로	16
220	다수	16
221	듯이	16
222	다음	16
223	이유	16
224	露國	16
225	업슬	16
226	現今	16
227	집안	16
228	제일	16
229	세상	16
230	가슴	16
231	구경	16
232	존재	16
233	주장	16
234	생존권	16
235	조선총독부	15
236	나라	15
237	조선인	15
238	감정	15
239	발표	15
240	처음	15
241	고통	15
242	머리	15
243	어머니	15
244	정신	15
245	한번	15
246	현대	15
247	자본주의	15
248	리아	15
249	쾌락	15
250	민중	15
251	識者	15
252	同上	15
253	권리	15
254	자녀	15
255	연애	15
256	의복	15
257	교환	15
258	알끼스트	15
259	양국	15
260	팽창	14
261	성립	14
262	상태	14
263	계속	14
264	항상	14
265	이나	14
266	얼마	14
267	역시	14
268	주문	14
269	米國	14
270	만석	14
271	아모리	14
272	보통	14
273	거리	14
274	아버지	14
275	작자	14
276	인간	14
277	생존	14
278	순이	14
279	태원	14
280	개년	13
281	노력	13
282	부족	13
283	철도	13
284	하니	13
285	희망	13
286	다리	13
287	小說	13
288	여명	13
289	조직	13
290	식료	13
291	외국	13
292	업스	13
293	비로소	13
294	지배	13
295	시장	13
296	보지	13
297	저서	13
298	사이	13
299	나무	13
300	설명	13
301	문단	13
302	그냥	13
303	이름	13
304	거지	13
305	보호	13
306	보충	12
307	특별	12
308	도리	12
309	발	12
310	하등	12
311	좀더	12
312	결과	12
313	자유	12
314	문화	12
315	佛國	12
316	먼저	12
317	소비	12
318	사정	12
319	가격	12
320	적지	12
321	小米	12
322	가령	12
323	별로	12
324	하리	12
325	푸로레	12
326	표현	12
327	생기	12
328	선전	12
329	동물	12
330	녀자	12
331	행낭	12
332	主義	12
333	병원	12
334	대해	12
335	스라	12
336	논설	11
337	근본	11
338	불능	11
339	따라서	11
340	대개	11
341	중심	11
342	교육	11
343	작년	11
344	歲計	11
345	京城	11
346	연구	11
347	것임	11
348	혁명	11
349	제의	11
350	극히	11
351	스스로	11
352	족음	11
353	이익	11
354	아이	11
355	밥	11
356	안방	11
357	아래	11
358	냄새	11
359	해도	11
360	말소리	11
361	압흐	11
362	거름	11
363	소용	11
364	그대로	11
365	지식	11
366	事件	11
367	普天敎	11
368	작가	11
369	도덕	11
370	할멈	11
371	景秀	11
372	포함	11
373	수목	11
374	법률	11
375	건물	11
376	보증	11
377	더욱이	11
378	안슴니	11
379	그럿슴니	11
380	비평	10
381	이후	10
382	이로	10
383	계획	10
384	전부	10
385	의문	10
386	원인	10
387	취하	10
388	최근	10
389	성질	10
390	연기	10
391	경비	10
392	하겟다	10
393	한가지	10
394	今後	10
395	개최	10
396	책임	10
397	인의	10
398	행복	10
399	국가	10
400	금전	10
