Magazine Title: 삼천리 제13권 제6호
Publication Date: 1941년 06월 01일
Article Title: 「집 없는 天使」의 樂園 香隣園生活記 (Life Chronicle of Hyangninwŏn, the Paradise of 'Homeless Angels')
Author: 香隣園 園長 方洙源 (Hyangninwŏn Director Pang Suwŏn)
Article Type: 회고·수기 (Memoir/Personal Account)

Life Chronicle of Hyangninwŏn, the Paradise of 'Homeless Angels'
						By Pang Suwŏn, Director of Hyangninwŏn

Relocation -
Thanks to the kind intentions of Mr. Kim Chaehyŏng (金在衡), Hyangninwŏn was able to move from Oksu-dong (玉水町) to Segŏmjŏng (洗劍亭), behind Pugak Mountain (北岳山). The children were so happy about going to the new house that they didn't realize how hard the work was, moving the luggage with their own hands over the course of a month. It wasn't that we had a lot of belongings, but still, moving the household goods for nearly 100 family members, having to park the cart on this side of the pass and carry everything over to load it, inevitably took a long time. A month is certainly not a short period. Moreover, the mountain pass was slippery like an ice rink. Because of this, even a horse, while pulling a loaded cart, slipped and was dragged down the hill by the cart, falling off the embankment. Fortunately, there wasn't much damage, except that one side of a dugout hut (土幕) below the embankment collapsed, for which we paid 12 *wŏn* in compensation. What was fortunate, though, was that there was reportedly a sick child in that house, but just at that moment, the child had apparently asked their younger sibling to go outside for a bit and had gotten up and left. We thank God that no one was harmed. For the sick child, who had always been lying down, to have left the house right at that moment must surely have been divine guidance.

New Home -
Our new home is a neatly built stone building below Samgak Mountain (三角山). Streams flow on either side, and surrounding the house is a 20,000-*p'yŏng* orchard. Soon, cuckoos will sing in the mountains, the streams will flow more abundantly, and flowers will bloom on the apple, apricot, and cherry trees in the orchard. Amidst the blue sky where clouds drift and birds sing, where the wind blows, bringing with it the scent of trees, flowers, and earth with every gust—how joyful our children will be, how healthy they will be, how cheerful they will be! Oh Spring, please come quickly!

Three Friends Who Left -
We waited for spring to come, and as the days grew warmer, it seems the children started longing for something. While most children forget everything else and think of Hyangninwŏn as their own father's and mother's home, there are some among them who, no matter what, are dissatisfied. Three boys left. We couldn't help but search for our poor friends who had departed. At this, Yongsani and Im Sŏk'i said they would step forward. One of the departed friends, Yŏnghwa, had originally grown up under Wang Kŏji (King Beggar) at Namdaemun Market, so Yongsani and Im Sŏk'i apparently went straight there. When they arrived, the three friends were there. Two of the boys immediately agreed to follow their friends back, saying they wanted to go to 'Father's house,' but Yŏnghwa alone refused to leave Wang Kŏji's side. Yongsani and Im Sŏk'i, with indignation, shed tears before their friend, asking, "Father tries day and night to make us good people, why are you being like this?" At that, Wang Kŏji swiftly pulled a knife from his waistband and recklessly stabbed at Yongsani. Even so, Yongsani resolutely carried Yŏnghwa back on his back. He snatched Yŏnghwa, who didn't want to come and whom Wang Kŏji didn't want to give up, carried him on his back, and returned late at night along the 20-*ri* mountain pass.
＜img＞＜Director Pang Suwŏn: LeeSam13-616301＞＜/img＞
I put on a smiling face for both the three who had left and the two who brought them back. But as I tried to smile, tears flowed down my face. I don't know what kind of tears they were, but in any case, my heart was filled with gratitude to God. The next morning, during assembly time, I showed Yongsani's wound to the children. Their faces filled with the resolve to love their friends. They looked as though the thought of leaving would never cross their minds again.

A World Without Tears -
Honesty (正直), Selflessness (無私), Purity (純潔), Love (사랑)—only on the day these are perfectly upheld can a world without tears be made... Do I truly uphold these four completely? I often bow my head in shame. I clearly fail to uphold even one of these four perfectly. There are often times when the children are better than I am. Why can't I love all the children equally? Why are there ones I favor and ones I dislike? I must somehow uphold these four perfectly, and love all the children equally. <163>

Blind Girl -
I picked up a blind girl in front of the Chongno Police Station. Oblivious to being in the middle of Chongno, she was sitting sprawled out, begging. Without a second thought, I put her on my bicycle. The blind girl sat with her long legs dangling from the bicycle. As the bike climbed the Chahamun pass, she suddenly screamed, "Where are you taking me?!" When I told her I was taking her to a good place and to be quiet, she blinked her closed eyes and remained still. Her hair and clothes fluttered occasionally in the wind. Unaware even of this, the girl seemed solely curious about where she was going.
"Is it still far?"
"No, we're almost there now."
"Where is this place that's so far? It must be a house at the end of the sky."
"Really, don't worry. When you get there, there are many younger siblings, and it's very nice."
When we arrived home, my wife made a fuss. She said if we were going to suffer anyway, why take in a disabled person. Indignation welled up in me. I was annoyed at my wife for lacking compassion. But on reflection, it seemed my wife wasn't being unreasonable either. The person who would have to look after the blind girl would be none other than herself; aside from the hardship of washing clothes and dressing her, even trips to the outhouse would require a third party's help, so frustration was bound to arise.
On top of that, the girl doesn't stay still for even a moment. The moment someone approaches her, it's cursing. Tantrums. Whether it's a teacher or a child, she indiscriminately yells, "You little bitch/bastard!" (이 간나색끼). And she pesters us to take her to a nice place. Still, she seems to remember my voice, at least. When I soothe her, saying,
"How is it? It's nice, isn't it? Stay for a long time, okay?"
She lifts her face towards where she presumes I am and asks, "Are you the one who brought me?"
If I say yes, she says,
"Give me some money."
"What would you do with money? Eating meals is enough."
"I want to buy some snacks."
The girl truly doesn't know where she is. Even when told there's no place to buy snacks, she doesn't listen. Her mother died when she was young, her father is said to be away doing something, and her hometown is perhaps Wŏnsan—. The girl is adept only at throwing tantrums and rarely responds properly to anything said to her. Her world seems to be nothing but sadness, rage, frustration, and fits of anger.
How can I correct this? How can I make her smile? Even if she doesn't smile, let's try to fix, starting with the habit of asking for money and cursing at everyone.

Vocational School -
The plan is eventually to establish even a university, but for now, we will start with a vocational school. Mr. Han (韓선생), who used to work at the Army Arsenal (陸車工廠), <164> has come to help Hyangninwŏn. Taking this opportunity, we intend to establish a vocational school with just Stonemasonry (石工科), Painting/Plastering (塗工科), and Horticulture (園藝科) departments. For Horticulture, the 20,000-*p'yŏng* orchard provides ample space for practical training. As for Stonemasonry and Painting/Plastering, these are skills that can be learned without requiring a long time, so I plan to teach them to the older children.

My Son's School Entrance Problem -
My eldest son has reached the age where he should enter middle school. My wife insists that he must be enrolled in middle school. I firmly oppose it. They are all the same children; I cannot send one child to school while not sending another. There is no choice but to wait until a middle school is established within this Hyangninwŏn.

Grateful People -
People with hearts as warm as a spring day—this year's graduates from Paejae School (培材學校) visited Hyangninwŏn and set up horizontal bars for our children. So that our children may live healthily, cheerfully, strongly, laughingly, and well—.

Severance Medical Students -
Ten 3rd-year students from Severance Union Medical College (世富蘭偲醫專) have set up a medical facility for our children's health on the second floor of the main building. From now on, the bottoms that only seem to produce diarrhea day and night, the bellies swollen like mountains, the legs and arms frostbitten and festering—all will be cleansed by their hands. Just as Jesus raised the dead Lazarus, may such miracles be bestowed upon them as well—.

Nishimura Bridge -
We have laid plans to build the Nishimura Bridge (西邑橋). The origin of this Nishimura Bridge is as follows. When I was in Tokyo (東京), Mrs. Nobuko Nishimura (西邑 伸子女史), the wife of Mr. Nishimura (西邑), an official in the Empress Dowager's Household (皇太后 宮職), rescued me with 200 *yen* (円 - *written as wŏn*) when I was in dire straits. That was just last <165> January 10th, the day the first snow fell heavily in Seoul (서울). I had gone to the Prefectural Office Social Affairs Section (府廳 社會課) to collect the children's living expenses, but because it was a busy time and the report hadn't been processed, the funds weren't available, and I was told I'd have to wait another ten days. It would have been difficult even for the livelihood of one or two family members, but for nearly 100 children, it was nothing short of a crisis. However, I did not despair. I believed that God would not abandon us. Perhaps because of that belief, as I slipped and stumbled on the snowy path, carrying a child I had found at the station, I entered the house, and the children rushed out, saying,
"Father, don't worry!" At the same time, they handed me a document. It was precisely the 200 *yen* that Mrs. Nobuko Nishimura had requested, upon her deathbed, be sent to me. While rejoicing with the children, I thought about how I could repay the kind intentions of Mrs. Nishimura, who had remembered my work even at the time of her death. The decision to build the Nishimura Bridge is entirely an extension of the gratitude felt that day.

A Goat's Maternal Love -
A goat gave birth to two kids. They were gentler and prettier than their mother. But unfortunately, one was hit by a child's ball, fell ill for several days, and died. Teacher O (吳선생), feeling sorry for it, took it and buried it. The mother goat searches for her dead kid, letting out cries that echo through the mountain valley. Perhaps thinking, "What if I lose the remaining kid too?", she stays close beside it while searching for the other one. When I see the children standing there, watching this blankly, somehow I feel uneasy. They might be watching without any particular thought, but to my eyes, it seems as if they are thinking, "Wouldn't my mother look for me like that too?", thinking of their mothers, and the tip of my nose tingles. -End- <166>
<162-166>

**Summary**

This 1941 article by Pang Suwŏn, director of the Hyangninwŏn orphanage, recounts the institution's recent move to a new location near Segŏmjŏng, the challenges faced, and daily life anecdotes. It details the difficult but ultimately successful relocation, the joy anticipated in the new, nature-filled surroundings, an incident involving runaway children and the bravery of those who retrieved them, the director's personal reflections on his shortcomings and aspirations, the difficulties in caring for a newly arrived blind and troubled girl, plans for establishing a vocational school, the director's principled stand on not giving his own son preferential treatment for education, and expressions of gratitude towards benefactors, including Paejae School graduates, Severance medical students, and a Japanese woman, Mrs. Nishimura, whose posthumous donation during a time of crisis inspired the plan to build a commemorative bridge. The piece concludes with a poignant observation of a mother goat grieving her lost kid, prompting reflections on the children's potential longing for their own mothers.

From a historical perspective, the article offers valuable insights into social welfare efforts, specifically orphan care, in late colonial Korea. It highlights the severe poverty and hardship (homeless children, beggars like Wang Kŏji, rudimentary housing like dugout huts), the reliance on private charity and philanthropy (both Korean and Japanese), and the blend of Christian faith (references to God, Jesus) and traditional values that motivated figures like Director Pang. The mention of specific institutions (Paejae School, Severance Union Medical College, Prefectural Office Social Affairs Section), locations (Oksu-dong, Segŏmjŏng, Pugak Mountain, Samgak Mountain, Chongno, Namdaemun Market, Wŏnsan, Tokyo), the currency (*wŏn*, likely Yen), and the interaction with Japanese figures (Mrs. Nishimura) provide concrete details about the social fabric and administrative structures of the time. The director's internal struggles and dedication paint a picture of the personal sacrifices involved in such work under challenging colonial conditions.

**Named Entities**

香隣園	향린원	Hyangninwŏn
方洙源	방수원	Pang Suwŏn
金在衡	김재형	Kim Chaehyŏng
玉水町	옥수정	Oksu-dong
北岳山	북악산	Pugak Mountain
洗劍亭	세검정	Segŏmjŏng
三角山	삼각산	Samgak Mountain
龍山이	용산이	Yongsani
任錫이	임석이	Im Sŏk'i
영화	영화	Yŏnghwa
남대문시장	남대문시장	Namdaemun Market
王거지	왕거지	Wang Kŏji
鐘路	종로	Chongno
紫霞門	자하문	Chahamun
元山	원산	Wŏnsan
韓선생	한선생	Han Sŏnsaeng
陸車工廠	육차공창	Yukch'a Kongch'ang
培材學校	배재학교	Paejae Hakkyo
世佛蘭偲醫專	세브란스의전	Sebŭransŭ Ŭijŏn (Severance Union Medical College)
西邑橋	서읍교	Sŏŭp Kyo (Nishimura Bridge)
東京	동경	Tonggyŏng (Tokyo)
皇太后 宮職	황태후 궁직	Hwangt'aehu Kungjik (Empress Dowager's Household Official)
西邑	서읍	Sŏŭp (Nishimura)
西邑 伸子 女史	서읍 신자 여사	Sŏŭp Sinja Yŏsa (Mrs. Nishimura Nobuko)
서울	서울	Sŏul
府廳 社會課	부청 사회과	Puch'ŏng Sahoe Kwa (Prefectural Office Social Affairs Section)
吳선생	오선생	O Sŏnsaeng

**Glossary**

天使	천사	Angel
樂園	낙원	Paradise
生活記	생활기	Life chronicle/diary
移舍	이사	Moving house, relocation
고마운 뜻	고마운 뜻	Gracious intention, kindness
힘드는 줄	힘드는 줄	(That it is) difficult/tiring (older form of 힘든 줄)
이사짐	이삿짐	Moving luggage
질머지어다가	짊어지어다가	Carrying on the back and bringing
밋끄럽다	미끄럽다	To be slippery (older spelling)
밋그러	미끄러	Slipping (older spelling)
떨어젔다	떨어졌다	Fell (older spelling)
문허저서	무너져서	Having collapsed (older spelling)
변상	변상	Compensation, indemnity
압흐든	아프던	Who was sick (older spelling)
이러나고	일어나고	Getting up (older spelling)
없은	없는	Without, lacking (older spelling)
바루	바로	Right (at that moment), immediately (older spelling)
하느님	하나님	God
정결하게	정결하게	Neatly, cleanly
석조건물	석조건물	Stone building
냇물	냇물	Stream water
도라가며	돌아가며	Going around (older spelling)
과수원	과수원	Orchard
뻑국이	뻐꾸기	Cuckoo
꽂들이	꽃들이	Flowers (older spelling)
날르고	나르고	Flying, drifting (older spelling)
흙냄새	흙냄새	Smell of earth/soil
명랑할	명랑할	(Will be) cheerful
오시라	오시라	Please come (archaic/formal imperative)
기다렸드니	기다렸더니	Waited, and then... (older spelling)
아무래도	아무래도	In any case, no matter what
마음에 들지 않은 놈	마음에 들지 않는 놈	Guy who is not satisfactory/liked (older spelling '않은')
가엽슨	가엾은	Pitiful, poor (older spelling)
동무	동무	Friend, comrade (common term in this era, later associated more with North Korea)
안되였다	안 되었다	Had to, could not but (older spelling)
갔든	갔던	Who had gone (older spelling)
가본즉	가 본즉	Having gone and looked
찾어간	찾아간	Who went looking for (older spelling)
아부지	아버지	Father (colloquial/dialectal form)
않으려	않으려	Intending not to (older spelling)
그려느냐고	그러냐고	Asking why (one) is like that (older spelling/dialectal)
허리춤	허리춤	Waistband area (where things can be tucked)
빼여	빼어	Pulling out (older spelling)
찌르드라는	찌르더라는	Saying that (he) stabbed (older spelling)
그여히	기어이	Finally, by any means, insistently (older spelling)
도라왔다	돌아왔다	Returned (older spelling)
봏였다	보였다	Showed (older spelling)
부류	부류	Category, class
아츰	아침	Morning (older spelling)
조회시간	조회시간	Assembly time
상처	상처	Wound, injury
보였드니	보였더니	Showed, and then... (older spelling)
띠여 보였다	띠어 보였다	Showed (an expression) on their face (older spelling '띠여')
가저볼	가져 볼	To try having (a thought) (older spelling)
正直	정직	Honesty
無私	무사	Selflessness
純潔	순결	Purity
사랑	사랑	Love
직히는	지키는	Upholding, keeping (older spelling)
붓그러움에	부끄러움에	In shame (older spelling)
낳은 때	나은 때	Times when (they are) better (older spelling '낳은')
않을고	않을꼬	Why not...? (archaic interrogative ending)
있을고	있을꼬	Why is there...? (archaic interrogative ending)
직히고	지키고	Uphold, keep (older spelling)
주섰다	주웠다	Picked up (from the ground) (older spelling)
펼저거니	펼쳐 거니	Sitting sprawled out (older spelling '펼저')
앉어서	앉아서	Sitting (older spelling)
덮어놓고	덮어놓고	Unconditionally, without thinking twice
느리우고	늘어뜨리고	Dangling (older spelling)
데리구	데리고	Taking (someone) (older spelling)
뺵 질른다	빽 지른다	Screams loudly (older spelling '질른다')
대려다	데려다	Taking (someone) to (a place) (older spelling)
한즉	한즉	When (I) said/did
깜박깜박	깜박깜박	Blinking repeatedly
간간히	간간이	Occasionally
휘날린다	휘날린다	Flutters
궁금스런	궁금스러운	Curious
어디게	어디기에	Where is it that...? (older spelling/dialectal)
말래두 그래	말래도 그래	I told you not to... (older spelling '말래두')
이르니	이르니	Arrived, and then...
안해	아내	Wife
야단이다	야단이다	Makes a fuss, causes a scene
이왕	이왕	Since it's already happened, anyway
병신	병신	Disabled person (offensive term today)
거더다	거둬다	Taking in, gathering (older spelling)
괫심했다	괘씸했다	Felt indignant, annoyed
무리	무리	Unreasonable
둘재라	둘째라	Secondly (older spelling)
하드라도	하더라도	Even if (older spelling)
변소 출입	변소 출입	Going to the outhouse/toilet
부축	부축	Support, help (assisting someone physically)
짜증	짜증	Irritation, annoyance
욕질이다	욕질이다	Cursing (habitually)
간나색끼	간나새끼	Little bitch/bastard (vulgar insult, older spelling '색끼')
존델	좋은 데를	A nice place (contracted form, older spelling '존')
대려다 달라구	데려다 달라고	Asking to be taken (to a place) (older spelling)
달래면	달래면	If (I) soothe/pacify
대려준 이오?	데려준 이요?	Are you the person who brought me? (older spelling/politeness form)
나쪽이라	나 쪽이라	Towards me (older spelling '나쪽')
치껴든다	치켜든다	Lifts up (older spelling)
그러타고	그렇다고	If so, saying that it is so (older spelling)
주우	주오	Give (me) (archaic/formal imperative, older spelling)
사먹께	사 먹게	So that (I) can buy and eat (older spelling)
고지듯지 않는다	고집듣지 않는다	Doesn't listen to reason, persists stubbornly (older form '고지듯지')
댓구도	대꾸도	Response, reply (not even a...) (older spelling)
안는다	않는다	Doesn't do (older spelling)
울화	울화	Pent-up anger, resentment
발악	발악	Tantrum, desperate struggle
맨들까	만들까	Shall I make...? (older spelling)
않드래도	않더라도	Even if not (older spelling)
버릇부터래도	버릇부터라도	Even just the habit(s) (older spelling)
곤처보자	고쳐 보자	Let's try to fix/correct (older spelling)
職業學校	직업학교	Vocational school
장차는	장차는	In the future
예산이다	예산이다	Is the plan/budget
위선은	우선은	For now, first of all
착수하겠다	착수하겠다	Will begin, embark on
일보시든	일 보시던	Who used to work (older spelling)
石工科	석공과	Stonemasonry Department
塗工科	도공과	Painting/Plastering Department (塗 can mean plaster/paint)
園藝科	원예과	Horticulture Department
있은 즉	있은즉	Since there is (older spelling)
실습	실습	Practical training
요하지 않어서	요하지 않아서	As it does not require (older spelling)
기술	기술	Skill, technique
가르처 볼	가르쳐 볼	Will try teaching (older spelling)
아들놈	아들놈	Son (colloquial, slightly rough term)
입학식혀야	입학시켜야	Must enroll (in school) (older spelling)
반대한다	반대한다	Oppose
어떤 놈	어떤 놈	Some guy/child (colloquial)
안넣고	안 넣고	Not putting in/enrolling (older spelling)
마음세	마음씨	Heart, disposition
찾어와서	찾아와서	Having visited (older spelling)
철봉	철봉	Horizontal bar (gymnastics)
세워주고	세워 주고	Setting up and giving (older spelling)
건전하게	건전하게	Healthily, soundly
의료기관	의료기관	Medical facility/institution
설치해	설치해	Establishing, setting up
똥질	똥질	Having diarrhea (colloquial/vulgar)
짓물은	짓무른	Festering, suppurating
씨서 질	씻어질	Will be washed (older spelling)
異蹟	이적	Miracle
베풀어주시기를	베풀어주시기를	Asking that (grace/miracle) be bestowed
놓을 계획	놓을 계획	Plan to build/place
유래	유래	Origin, history
東京	동경	Tokyo
곤경	곤경	Dire straits, difficulties
빠젔을 때	빠졌을 때	When (I) fell into (difficulty) (older spelling)
구원해 주섰다	구원해 주셨다	Rescued, saved (me) (older spelling '주섰다')
정월	정월	First month of the lunar year, January
내리든 날	내리던 날	The day it was falling (snow) (older spelling)
생활비	생활비	Living expenses
타러 갔드니	타러 갔더니	Went to receive, and then... (older spelling '갔드니')
한창	한창	Peak, height (of activity)
못되니	못 되니	As it could not be done (older spelling)
식구	식구	Family member(s), mouths to feed
생계	생계	Livelihood
낙망하지 않었다	낙망하지 않았다	Did not despair (older spelling '않었다')
믿었다	믿었다	Believed
눈길	눈길	Snowy road
밋그러지며	미끄러지며	Slipping (older spelling)
채우며	채며	Stumbling, bumping into things (?) (older spelling/unclear, possibly from 차이다 - to be kicked/bumped)
주은	주운	Whom (I) picked up (older spelling)
업고	업고	Carrying on the back
우르르	우르르	In a crowd, all together
몰려나오며	몰려나오며	Crowding out
쥐여준	쥐여 준	Handed over (older spelling)
서류	서류	Document
임종시	임종시	At the time of death
보대달라고	보내 달라고	Asking to send (older spelling)
부탁하든	부탁하던	Which (she) had requested (older spelling)
기뻐하는 한편	기뻐하는 한편	While rejoicing
보답할까	보답할까	How can I repay?
연장	연장	Extension
염소	염소	Goat
새끼	새끼	Offspring, young (animal), kid
에미	어미	Mother (animal)
에뿐	예쁜	Pretty (older spelling)
멫일	며칠	Several days (older spelling)
장사(를) 지내였다	장사(를) 지냈다	Held a funeral, buried (older spelling)
산골잭이	산골짜기	Mountain valley (older spelling '골잭이')
울리도록	울리도록	So that it echoes/resounds
끼고 돌면서	끼고 돌면서	Staying close beside, hovering around
물끄럼이	물끄러미	Blankly, vacantly
안돼진다	안쓰럽다/안됐다	Feel sorry/uneasy
