**Header Section:**
Magazine Title: 三千理 (Samch'ŏlli) Vol. 13, No. 6
Publication Date: June 1, 1941
Article Title: 봄철에 많은 急性胃腸가다루-慢性이 되지안케 빠른治療가 긴요 (Acute Gastroenteritis, Common in Spring – Prompt Treatment is Crucial to Prevent it Becoming Chronic)
Author: 醫學博士 岡部 卓 (Medical Doctor Okabe Taku)
Article Type: 잡저 (Miscellaneous Article/Essay)

**Body Text Translation:**
Acute Gastroenteritis, Common in Spring – Prompt Treatment is Crucial to Prevent it Becoming Chronic
						By Medical Doctor Okabe Taku

As spring deepens, gastrointestinal functions tend to slacken. When gastrointestinal function is inactive, it easily invites various stomach and intestinal disorders. Among these, gastroenteritis (胃腸가다루) is the most common gastrointestinal illness that anyone can easily catch due to careless eating ("食事の不注意"). Therefore, it is necessary to be well-informed about the appropriate measures and treatment methods for such occasions.

There are two types of gastroenteritis: acute and chronic. Most cases start acutely, and if not completely cured, they can sometimes transition into a chronic state. However, cases that develop slowly from the beginning are certainly not few.

If you engage in excessive drinking and eating ("暴飮暴食"), consume spoiled food or drinks, excessively hot food, or overly cold beverages, it often causes sudden abdominal pain accompanied by vomiting and diarrhea. Commonly called "meokkkyeotda" (맥켰다 - indigestion) or "geollyeotda" (걸렸다 - caught something), this is acute gastritis (急性胃가다루).

When afflicted with this illness, the mouth becomes dry, the tongue develops a white coating (白苔), appetite disappears, and food loses its taste. The stomach area feels heavy and sore, with sharp pains, nausea, belching, and a bitter taste filling the mouth. Bad breath (惡臭) occurs, urine output (尿量) decreases, and one may experience constipation (便秘) or diarrhea (泄瀉), along with symptoms like dizziness (眩氣), headache (頭痛), and general fatigue (全身倦怠).

Regarding the appropriate measures, first, eliminate the harmful food and temporarily stop eating to give the stomach and intestines rest. At this time, it is especially important to keep the abdomen (腹部) warm and rest comfortably lying down.

If possible, fast (絶食) for about a day. Initially, start with liquid foods (流動食) like thin rice gruel (미음) or porridge (죽), then gradually introduce easily digestible ("消化키쉬운") foods in small amounts, slowly progressing towards a normal diet (普通食). However, since the mucous membrane (粘膜) of the stomach and intestines is irritated and weakened<92>, even food thought to be easily digestible can unexpectedly cause trouble, reversing the course of recovery just when treatment was going well. This point requires particular caution.

At such times, it is necessary to take medicine like "Wakamoto" (와까모도), which strengthens the cells organizing the stomach and intestines while simultaneously aiding digestion.

"Wakamoto" (와까모도) contains several types of active digestive enzymes (活性消化酵素), including diastase (澱粉消化酵素 - starch digesting enzyme), lipase (脂肪消化酵素 - fat digesting enzyme), and trypsin (蛋白消化酵素 - protein digesting enzyme), thus aiding the digestion of consumed food and promoting the recovery (恢復) of gastrointestinal function. Furthermore, "Wakamoto" (와까모도) is rich in essential components (主要 成分) such as the Vitamin B complex ("비타민B複合體"), vitamins A and D, high-quality protein (高級蛋白質), fats (脂肪), carbohydrates (含水炭素), and minerals (無機質). This sufficiently supplements nutritional deficiencies arising from dietary restrictions, prevents weakening (衰弱), and speeds up the body's (自體) recovery. If management and recuperation during the acute phase are done well like this, gastroenteritis can be treated in a relatively short period (短時日). If the measures are insufficient (不充分), it can easily transition (移行) into a chronic condition or lead to complications (倂發) with other serious diseases, particularly making one susceptible to pulmonary tuberculosis (肺結核).

This "Wakamoto" (와까모도) costs 1 Won 60 Cheon for a 25-day supply (sold at a negotiated price depending on the region) and is sold at pharmacies (藥店) throughout Korea (朝鮮).<93>
<92-93>

**Summary**

This 1941 article by Dr. Okabe Taku advises readers on managing acute gastroenteritis, common in spring. It describes symptoms like abdominal pain, vomiting, diarrhea, loss of appetite, and fatigue, often caused by poor dietary choices. The recommended treatment involves rest, fasting, gradually reintroducing easily digestible foods, and keeping the abdomen warm. The article strongly promotes the supplement "Wakamoto," detailing its digestive enzymes and vitamins (B complex, A, D) as beneficial for recovery and preventing nutritional deficiencies. It warns that improper care can lead to chronic conditions or complications like tuberculosis. For historians, the article is interesting as it reflects public health concerns and medical advice dissemination in colonial Korea. The prominent, almost advertorial, inclusion of a specific Japanese product, "Wakamoto," highlights commercial interests intertwined with health information and the presence of Japanese goods and influence in the Korean market during this period. The mix of Japanese (author, product name, some terms) and Korean text further illustrates the linguistic landscape of the time.

**Named Entities**

岡部 卓	오카베 다쿠	Okabe Taku
와까모도	와카모토	Wakamoto
朝鮮	조선	Chosŏn

**Glossary**

急性胃腸가다루	급성위장카타르	Acute gastroenteritis (Using '가다루' from Japanese 'kataru' カタル for catarrh)
慢性	만성	Chronic
되지안케	되지 않게	So that it doesn't become (Older spelling/contraction)
긴요	긴요	Essential, crucial
弛緩되기쉬운것입니다만	이완되기 쉬운 것입니다만	Tends to slacken (Older grammar/spelling)
障碍	장애	Disorder, obstacle
招來하기쉬운것입니다만	초래하기 쉬운 것입니다만	Tends to invite/cause (Older grammar/spelling)
食事の不注意	식사의 부주의	Carelessness in eating (Japanese phrase used directly)
一般的	일반적	General
第一	제일	First, most
平素	평소	Usually, ordinarily
알어두실	알아두실	Should know (Older spelling)
暴飮暴食	폭음폭식	Binge eating and drinking
腐敗	부패	Spoiled, rotten
猝地에	졸지에	Suddenly, abruptly
嘔吐泄瀉	구토설사	Vomiting and diarrhea
俗稱	속칭	Commonly called, nickname
맥켰다	맥혔다	(Colloquial) To have indigestion; blocked feeling
걸렸다	걸렸다	(Colloquial) To catch (an illness)
急性胃가다루	급성위카타르	Acute gastritis
口內	구내	Inside the mouth
舌	설	Tongue
白苔	백태	White coating (on the tongue)
消失	소실	Disappearance
胃部	위부	Stomach area
무겁직한게	무겁지근한 게	Feeling heavyish
쓰리며	쓰리며	Feeling sore/burning
압흐고	아프고	Hurting, painful (Older spelling)
헛구역	헛구역	Nausea, retching
트렴	트림	Belch, burp
쓴물	쓴물	Bitter fluid (bile)
惡臭	악취	Bad smell, foul odor
尿量	요량	Urine volume
減少	감소	Decrease
便秘	변비	Constipation
泄瀉	설사	Diarrhea
眩氣	현기	Dizziness
頭痛	두통	Headache
全身倦怠	전신권태	General fatigue, lassitude
었더한	어떠한	What kind of (Older spelling)
處置	처치	Measure, treatment
排除	배제	Eliminate, exclude
暫時	잠시	Temporarily, for a moment
休養	휴양	Rest, recuperation
腹部	복부	Abdomen
하로쯤	하루쯤	About one day (Older spelling)
絶食	절식	Fasting
미음	미음	Thin rice gruel
죽	죽	Porridge
流動食	유동식	Liquid food/diet
消化키쉬운	소화시키기 쉬운	Easy to digest (Older spelling/contraction)
조곰식먹어	조금씩 먹어	Eating little by little (Older spelling)
徐徐히	서서히	Gradually, slowly
普通食	보통식	Normal diet
먼도록 합니다	먹도록 합니다	Make sure to eat (Older spelling)
粘膜	점막	Mucous membrane
꺼칠어서	까칠해서	Being rough/irritated (Older spelling)
衰弱	쇠약	Weakness, debilitation
意外로	의외로	Unexpectedly
모처럼	모처럼	After much effort, just when
되려든것이	되려던 것이	What was about to become (Older spelling)
逆轉	역전	Reversal
組織	조직	Organize, tissue
細胞	세포	Cell
同時에	동시에	At the same time
消化酵素	소화효소	Digestive enzyme
含有	함유	Contain
恢復	회복	Recovery
促進	촉진	Promotion, acceleration
비타민B複合體	비타민 B 복합체	Vitamin B Complex
高級蛋白質	고급 단백질	High-quality protein
含水炭素	함수탄소	Carbohydrate (lit. water-containing carbon)
無機質	무기질	Mineral
主要 成分	주요 성분	Main components
豊富히	풍부히	Abundantly, richly
食養	식양	Dietary cure, nourishment through food
營養不足	영양부족	Malnutrition, nutritional deficiency
補充	보충	Supplement, replenish
自體	자체	One's own body
比較的	비교적	Relatively
短時日	단시일	Short period of time
萬一	만일	If by chance, should
不充分	불충분	Insufficient
移行	이행	Transition
倂發	병발	Complication (concurrent outbreak of disease)
肺結核	폐결핵	Pulmonary tuberculosis
招來키 쉽습니다	초래하기 쉽습니다	Easy to invite/cause (Older grammar/spelling)
日量	일량	Daily dose/amount
圓	엔	Yen (Japanese currency unit, used in Korea at the time)
錢	전	Cheon (Sen - 1/100th of a Won/Yen)
協定價格	협정가격	Agreed price, negotiated price
販賣	판매	Sale, selling
藥店	약점	Pharmacy, drugstore


---------------------------


잡지명	삼천리 제13권 제6호
발행일	1941년 06월 01일
기사제목	봄철에 많은 急性胃腸가다루-慢性이 되지안케 빠른治療가 긴요
필자	醫學博士 岡部 卓
기사형태	잡저

봄철에 많은 急性胃腸가다루-慢性이 되지안케 빠른治療가 긴요
						醫學博士 岡部 卓
