Magazine Title	삼천리 제5권 제4호
Publication Date	1933년 04월 01일
Article Title	孫逸仙과 民族主義, 三民主義의 全風貌 (Sun Yat-sen and Nationalism, the Full Picture of the Three Principles of the People)
Author	孫中山 先生(述), 雲從學人(譯)
Article Type	논설 (Editorial/Article)

Sun Yat-sen and Nationalism, the Full Picture of the Three Principles of the People
						Sun Yat-sen (Dictated), Unjong Hagin (Translated)
Part 1: Nationalism
Lecture 1: January 27, 13th Year of the Republic (1924)

Gentlemen. Today I intend to speak with you about the Three Principles of the People. What are the Three Principles of the People? To put it most simply, the Three Principles of the People are the Principles of National Salvation. Then, what is a Principle (主義)? A Principle is a kind of thought, a kind of faith, and also a kind of power. When a person researches the道理 (reason/principle) within any matter, first thought arises, and once the thought is clear, faith arises, and when there is faith, power arises. Therefore, a Principle is completely established only after first proceeding from thought to faith, and then from faith generating power.

Why are the Three Principles of the People called the Principles of National Salvation? Because the Three Principles of the People promote equality in China's international status, political status, and economic status, enabling China to survive (適存케) perpetually in the world, the Three Principles of the People are called the Principles of National Salvation. If the Three Principles of the People are the Principles of National Salvation, let me ask: Does our China today need to be saved? If you recognize that it needs to be saved, then you must believe in the Three Principles of the People. If you believe in the Three Principles of the People, then a great force (勢力) can be generated; only such a great force can save China.

Today, I intend to first speak about Nationalism. The method used in reorganizing the Nationalist Party (國民黨) this time emphasizes propaganda. To propagandize universally to the nation's people, the most necessary thing is to explain the Principles. For the past ten-odd years, thoughtful people in China have all heard plenty about the Three Principles of the People. However, when it comes to thoroughly understanding them, there are still many who do not. Therefore, today I intend to first take up Nationalism and speak to you in detail.

What kind of thing is Nationalism? Speaking most simply in light of the various social conditions in Chinese history, Nationalism is called National Race-ism (國族主義). What Chinese people revere most are Familism (家族主義) and Clanism (宗敎主義, likely meaning 宗族主義 - clanism, not religious doctrine). Thus, in China, there is only Familism and Clanism; there was no National Race-ism. Onlooking foreigners say that the Chinese people are like a plate of loose sand (一盤 散沙). Where does the cause lie? It is precisely because the general populace all only has Familism and Clanism, and lacks National Race-ism.

The unifying power of Chinese people regarding family and clan is exceedingly strong, and they often intend to sacrifice their property and lives to protect their lineage. Things like the clan feuds between two surnames in Guangdong (廣東) show how people of the two clans are willing to sacrifice many lives and assets without end; this is all because the concept of lineage is too deep. Because such principles are deeply embedded in people's hearts, they can make sacrifices for them. However, regarding the nation, <72> there has never been a time when they sacrificed with utmost spirit. Therefore, the unifying power of the Chinese people only ends at the clan and has not yet extended to the National Race.

The Nationalism I speak of is precisely the nation-state (國家). This is appropriate for China but inappropriate for foreign countries. Foreigners distinguish between nation (民族) and state (國家). In English, the noun for nation is "nation." This word "nation" has two interpretations: one is nation/ethnic group, and the other is state. Although one word has two interpretations, the interpretation is exceedingly clear and not confused. In Chinese too, there are very many words with two interpretations. For example, the two characters for society (社會) have two usages: one refers to the general populace, and the other designates a type of organized group. Originally, nation and state have a great deal of mutual relationship, making them difficult to distinguish, but there is actually a definite boundary between them, and we must discern what is a state and what is a nation. Why is it that what I call nation being the National Race (國族) is appropriate in China but inappropriate in foreign countries? It is because since the Qin (秦) and Han (漢) dynasties, China has mostly been formed by one nation creating a state, whereas in foreign countries, one nation might form several states, or one state might contain several nations. A country like Britain (英國) is the strongest state in this world; the nations within its country take white people as the standard, and combining with nations of brown people and black people, it finally formed the great British Empire. Therefore, the statement that the nation is the National Race is inappropriate for Britain. Thus, a place like Hong Kong (香港) is British territory, but among its people are several hundred thousand Han Chinese (漢族) mixed in. So, if one were to say the British National Race of Hong Kong is the British Nation, it would not be right. Also, a place like India (印度) is currently British territory; if one spoke of the British National Race, it would include the 350 million Indian people within it. But if one were to say the British National Race of India is the British Nation, that also would not be right. You all know that the basic nation of Britain is the Anglo-Saxon people. However, Anglo-Saxon people are not only in Britain; there are also numerous Anglo-Saxon people in America (美國). Therefore, in foreign countries, one cannot say that the nation is the National Race. Thus, there is a definite boundary between Nation and State. We intend to distinguish them clearly. What method is there? The most appropriate method is to consider what power formed the nation and the state. To distinguish simply, the nation is formed by natural force (天然力), while the state is formed by military force (武力). To prove this with China's political history, Chinese people say that the Kingly Way (王道) follows natural forces. In other words, natural force is the Kingly Way; the group formed by the Kingly Way is the nation. Military force uses the Hegemonic Way (覇道); the group formed by it is the State. Hong Kong was not formed because several hundred thousand Hong Kong people welcomed the British; the British obtained it by seizing it with military force. Also, Britain's occupation of India is the same as Hong Kong.

Currently, British territory extends across the whole world, leading to the English proverb, "The sun never sets on the British Empire." In other words, every day and night, wherever the sunlight shines, there is British territory. For example, if we count from sunrise for us in the Eastern Hemisphere, it first shines on New Zealand (뉴질랜드), Australia (오스트랄리아), Hong Kong (香港), Singapore (新加坡); then tilting westward, it shines on Ceylon (실론), India (印度); tilting further west, it shines on Aden (아덴) and Malta (말타); tilting further west, it shines on the British homeland; turning again to the Western Hemisphere, there is Canada (加拿大); and returning back, it reaches Hong Kong and Singapore. Therefore, in the 24 hours of every day and night, wherever the sunlight shines, there is certainly British territory. Such vast territory as Britain's was all formed by nothing other than the Hegemonic Way. From ancient times until now, there has been no state formation that was not by the Hegemonic Way. However, the formation of a nation is different; it happens entirely due to natural force, and not the slightest coercion can be applied. The several hundred thousand Chinese people in Hong Kong uniting to form one nation happens naturally; no matter how much Britain uses the Hegemonic Way, it cannot possibly change (改變할 수 업는) it. Therefore, the group united due to the Kingly Way, which is natural force, is the nation; the group united due to the Hegemonic Way, which is human force (人爲力 - translator inferred, text uses 武力/覇道 context), is the state. This is the distinction between state and nation.

Speaking further on the origin of Nationalism, the world's human race is originally a type of animal, but different from ordinary birds and beasts (飛禽走獸) in that humanity became the most sentient of all creatures. The primary classification of humanity is race: there are five types - white, red, yellow, brown, black. Further subdividing from Race, there are numerous tribes (族). <73> The prominent peoples (民族) of Asia (亞細亞) are the Mongol (蒙古族), Malay (馬來族), Japanese (日本族), Manchu (滿洲族), and Han (漢族). To generalize the causes forming these various nations, it is Natural Force. Analyzing it is very complex, but the greatest force among them is "bloodline" (혈통). The reason Chinese people are yellow is rooted in their yellow bloodline. The ancestry's bloodline is perpetually inherited, forming a people (一族) of inhabitants. Therefore, the power of bloodline is extremely great.

The next great force is "livelihood" (생활). If the methods of making a living are not the same, the resulting nations are also not the same. People like the Mongols (蒙古人), living by following water and grass (水草) and making a living through nomadism, will move wherever there is water and grass, migrating there. Through this custom of migration, they can also unite to form one nation, and the reason (所以) why the Mongols could suddenly become powerful lies here. When the Mongol people were most powerful, the military strength of the Yuan Dynasty (元朝) conquered Central Asia (中央 亞細亞) and Arabia (아라비아) to the west, reaching (빗치고) a part of Europe (歐羅巴), and unified China to the east, nearly conquering Japan (日本), thus unifying the two continents of Europe and Asia.

Other nations considered most powerful, like the Han people (漢族), even when Han (漢) and Tang (唐) military power was greatest, only reached (밋쳣고) the Caspian Sea (裡海) to the west. Peoples like the Romans (羅馬民族), when their military power was greatest, only reached the Black Sea (黑海) to the east. No nation was like the Mongol nation of the Yuan Dynasty, able to reach across the two continents of Europe and Asia. The reason the Mongols were so powerful lay in their nomadic livelihood. Their everyday customs included the skill of not fearing long distances when traveling.

The third great force is "language" (언어). If foreign peoples understand our language, they are easily influenced by us, and over a long, long time, they eventually assimilate and become one nation. Conversely, if we know a foreign language, we too are easily assimilated into the foreign country. If people's languages are mutually the same, and if their languages are mutually the same (repetition in original), then the effect of assimilation is even easier.

Therefore, language also has a very great power in forming the world's nations.

The fourth great force is "religion" (종교). When people worship (奉拜) the same god or believe in the same god, it is also easy for them to unite and form one nation. Religion has a tremendously grand power among the forces that form nations. The two countries of Arabia (아라비아) and Judea (猶太) were destroyed quite (퍽) long ago, but the Arabian (아라비아人) and Jewish people (유태인) still exist. Although their states perished, the reason their nations could survive is that each has its own religion.

You all know this. Currently, there are very many Jewish people scattered and residing in various countries, and world-famous scholars like Marx (맑쓰) and Einstein (아인스타인) are all Jewish. Also, the financial power (資業勢力) in various countries around the world is controlled by Jews. The Jewish nation is naturally very intelligent, and adding to that their religious faith, even though they drifted and migrated to various countries, they could still perpetually maintain their nation. The reason the Arabian people can survive is also that they have the Mohammedan (모라메단) religion. Besides that, India (印度), which deeply believes in Buddhism, although its state was destroyed by Britain, its people (종족) will eternally not be extinguished.

The fifth force is "customs and habits" (풍속 습관). If among humanity there are particularly similar customs and habits, over a long, long time, they can also unite to form one nation. When we study the reasons why numerous dissimilar human groups sometimes unite to form similar nations, we naturally cannot help but attribute the achievement to the five types of forces: bloodline, livelihood, language, religion, and customs and habits. These five types of forces evolved naturally; they do not come from conquest by military force. Therefore, comparing these five types of forces with military force allows us to distinguish between nation and state.

In light of the principles of national survival, past and present, if we want to save China, if we want the Chinese nation to exist perpetually, we must advocate Nationalism. Only after first fully understanding this Principle can we deploy and magnify it to save the nation. Speaking of the Chinese nation, the total population is 400 million. Among them are mixed several million Mongols, over a million Manchus (滿洲人), several million Tibetans (西藏人), and over a million Muslim Turkic peoples (回敎의 突厥人); the total number of outsiders is merely 10 million.

Therefore, speaking by majority, the 400 million Chinese people can be completely called the Han nation (漢族). With the same blood flow, the same language and literature, the same religion, the same customs and habits, <74> they are completely one nation. Why is our nation like this in the current world, in such a position? Compared with the various peoples of the world, we have the largest population, the largest nation, and a civilization of 4,000 years, so we should rightly (맛당히) be on par with (並駕齊驅) the various countries of Europe and America (歐美). However, the Chinese people only have family and clan groups and lack national spirit. Although 400 million have united to create one China, in reality (其實은), it is like a plate of loose sand (一盤 散沙). Today, it has become the poorest and weakest (빈약한) nation in the world, placed in the most inferior (低劣한) position internationally, becoming the chopping block and knife (刀俎) for others, while we are the fish meat (魚肉). Our position at this time is most perilous. If we do not again unite with one mind (單心하여) to advocate Nationalism, so that the 400 million people unite to form one solid nation, China faces the danger of national ruin and ethnic extinction (亡國滅種). If we want to save (挽救하려면) ourselves from this dangerous ruin (危亡), we must advocate Nationalism and save the nation with national spirit.

If we are to advocate Nationalism to save China from its perilous ruin, we must first know where the danger to our nation lies. To know the state of this danger, comparing the Chinese people with the peoples of the Great Powers (列強) makes it clearest. Before the European War, there were 7 or 8 countries called Great Powers in the world. The largest was Britain; the strongest were Germany (德國), Austria (奧國), Russia (露國); the richest was America (美國); the newly risen were Japan (日本) and Italy (伊太利). After the European War, three countries fell away, and the currently remaining first-rate strong countries are only Britain, America, Japan, and Italy. Britain and Russia (露國) were both founded as nations. The national basis Britain used for its development is the Anglo-Saxon people; the local units are England (잉글랜드) and Wales (웰스). Only 38 million people can be called the pure British nation. This nation is currently the strongest nation in the world; the state it built is the strongest state in the world. Looking back (거실녀) over 100 years ago, the population was only 12 million; currently, it is 38 million. In 100 years, it increased threefold.

In our East (東方), there is an island nation; it can be called the Britain of the East. Japan was also formed by one nation; that nation is called the Yamato people (大和民族). From its founding until the present, it has not experienced annexation by external force; even with the strength of the Yuan Dynasty Mongols, they could not conquer it. Its current population, excluding Korea (朝鮮) and Taiwan (台灣), is 56 million. The exact population 100 years ago is difficult to ascertain, but calculating based on the recent population growth rate, it can be seen to have increased threefold; thus, the population of Japan 100 years ago can be roughly estimated at around 20 million. The spirit of this Yamato nation has not yet been lost. At the time when European culture was gradually spreading eastward (東漸하는), they used scientific methods from Europe and America to develop the nation. In the 50 years since the Restoration (維新), it suddenly transformed from a weak nation into the strongest nation in Asia, riding abreast (並駕各驅 - typo, likely 并驾齐驱) with the various countries of Europe and America, such that even Europeans and Americans do not dare to look down on (경시치 못한다) them. But our China's population is larger than any country's, yet the reason we are looked down upon by others now lies, for one, in the lack of Nationalism. Before Japan's Restoration, its national power was extremely weak, its territory was no larger than Sichuan (四川) province alone, and its population was insufficient even for Sichuan province; it too received foreign oppression and insult. However, because they possessed the spirit of Nationalism, they roused themselves to become great, and in less than 50 years, suddenly transformed from a weak nation into a strong nation. If we want to make China strong, Japan is an excellent (훌융한) model. (Continued in next issue) <75>

**Summary**

This article is the first part of a translated lecture by Sun Yat-sen on Nationalism, the first of his Three Principles of the People, delivered in 1924. Sun argues that Nationalism is crucial for China's salvation, defining it as "National Race-ism" (國族主義), rooted in natural forces like shared bloodline, livelihood, language, religion, and customs. He contrasts this with the state (國家), formed by military power ("Hegemonic Way"), citing Britain's empire as an example. He laments China's disunity ("a plate of loose sand") due to prioritizing family/clan over the nation, despite its large population and ancient civilization, leading to its weak international standing. He urges the 400 million Han Chinese to embrace Nationalism, using the rapid rise of Japan after the Meiji Restoration as a key example of how national spirit can transform a weak nation into a strong one.

From the perspective of Korean colonial history, this article is interesting as it reflects a prominent Asian nationalist leader's views during a period of intense imperialism. Sun's emphasis on ethnic unity (Han Chinese focus), the distinction between natural nation-building and forceful state-building (critique of empires like Britain's), and his admiration for Japan's success (despite later Sino-Japanese conflict) would resonate with or provide points of comparison for Korean nationalists under Japanese rule. Historians might find the specific framing of "National Race-ism," the analysis of factors constituting a nation, and the explicit comparison with Japan's model for modernization and strengthening particularly noteworthy in understanding contemporary Asian nationalist thought and its potential influence or contrast in colonial Korea.

**Named Entities**

孫逸仙	손일선	Son Il-sŏn (Sun Yat-sen)
孫中山 先生	손중산 선생	Son Chung-san Sŏnsaeng (Mr. Sun Yat-sen)
雲從學人	운종학인	Unjong Hagin (Translator's pen name)
三民主義	삼민주의	Sammin Chuŭi (Three Principles of the People)
中國	중국	Chungguk (China)
國民黨	국민당	Kungmindang (Kuomintang/Nationalist Party)
廣東	광동	Kwangdong (Guangdong)
英國	영국	Yŏngguk (United Kingdom/Britain)
香港	홍콩	Hong K'ong (Hong Kong)
印度	인도	Indo (India)
앵클로 색손	앵클로 색손	Aeng K'ŭllo Saekson (Anglo-Saxon)
美國	미국	Miguk (United States/America)
秦	진	Chin (Qin Dynasty)
漢	한	Han (Han Dynasty)
王道	왕도	Wangdo (Kingly Way)
覇道	패도	P'aedo (Hegemonic Way)
뉴질랜드	뉴질랜드	Nyujillaendŭ (New Zealand)
오스트랄리아	오스트랄리아	Osŭt'ŭrallia (Australia)
新加坡	싱가포르	Singgap'orŭ (Singapore)
실론	실론	Sillon (Ceylon)
아덴	아덴	Aden (Aden)
말타	말타	Mal T'a (Malta)
加拿大	캐나다	K'aenada (Canada)
亞細亞	아세아	Asea (Asia)
蒙古族	몽고족	Monggojok (Mongol people/tribe)
馬來族	마래족	Maraejok (Malay people/tribe)
日本族	일본족	Ilbonjok (Japanese people/tribe)
滿洲族	만주족	Manjujok (Manchu people/tribe)
漢族	한족	Hanjok (Han people/tribe)
蒙古	몽고	Monggo (Mongolia)
元朝	원조	Wŏnjo (Yuan Dynasty)
中央 亞細亞	중앙 아세아	Chungang Asea (Central Asia)
아라비아	아라비아	Arabia (Arabia)
歐羅巴	구라파	Kurap'a (Europe - Note: text uses 歐羅巴, pronounced 'Ouropa' but standard Korean term was 구라파)
日本	일본	Ilbon (Japan)
漢唐	한당	Han-Tang (Han and Tang Dynasties)
裡海	이해	Ihae (Caspian Sea)
羅馬民族	나마민족	Namaminjok (Roman people - Note: text uses 羅馬, pronounced 'Roma' but Korean reading is 'Nama')
黑海	흑해	Hŭkhae (Black Sea)
아라비아人	아라비아인	Arabiain (Arabian people)
유태인	유태인	Yut'aein (Jewish people)
맑쓰	맑스	Makssŭ (Marx)
아인스타인	아인스타인	Ainsŭt'ain (Einstein)
모라메단	모라메단	Moramedan (Mohammedan/Islam)
印度人	인도인	Indoin (Indian people)
滿洲人	만주인	Manjuin (Manchu people)
西藏人	서장인	Sŏjangin (Tibetan people)
回敎	회교	Hoegyo (Islam)
突厥人	돌궐인	Tolgwŏrin (Turkic people)
歐美	구미	Kumi (Europe and America)
德國	독국	Tokkuk (Germany - Note: text uses 德國, usually read 독일에 in modern Korean, but older 독국 was common)
奧國	오국	Oguk (Austria - Note: text uses 奧國, older term)
露國	노국	Noguk (Russia - Note: text uses 露國, older term)
伊太利	이태리	It'aeri (Italy)
大和民族	대화민족	Taehwaminjok (Yamato people)
朝鮮	조선	Chosŏn (Korea)
台灣	대만	Taeman (Taiwan)
四川	사천	Sach'ŏn (Sichuan)
東方	동방	Tongbang (The East/Orient)
西半球	서반구	Sŏban'gu (Western Hemisphere)
東半球	동반구	Tongban'gu (Eastern Hemisphere)
잉글랜드	잉글랜드	Inggŭllaendŭ (England)
웰스	웰스	Welsŭ (Wales)

**Glossary**

諸君	제군	Gentlemen, Everyone
더부려	더불어	Together with (older spelling)
간명하계	간명하게	Simply, concisely (older spelling)
곳	곧	Namely, that is (older spelling)
잇스면	있으면	If there is (older spelling)
밋	및	And (older spelling)
하여곰	하여금	To make/cause (older grammatical form)
適存케	적존케	To survive/exist appropriately
잇나니	있으니	Because there is (older spelling/form)
드럿다	들었다	Heard (older spelling)
만타	많다	Many, much (older spelling)
빗춰서	비추어서	In light of, comparing with
國族主義	국족주의	National Race-ism (Sun Yat-sen's term)
업섯다	없었다	Did not exist (older spelling)
어대	어디에	Where (older spelling)
잇슬	있을	To have, that exists (older spelling)
往往히	왕왕히	Often, frequently
깁흔	깊은	Deep (older spelling)
드려 박혓기	들여 박혔기	Because it was deeply embedded (older spelling/phrasing)
밧더보지	받아보지	Did not receive/experience (older spelling/form)
갈너야	갈라야	Must divide/distinguish (older spelling)
民族	민족	Nation, people, ethnic group
覇道	패도	Way of the Hegemon, rule by force
王道	왕도	Way of the King, rule by virtue/natural way
天然力	천연력	Natural force
조곰도	조금도	Not even a little (older spelling)
改變할 수 업는	개변할 수 없는	Cannot change (older spelling)
飛禽走獸	비금주수	Flying birds and running beasts (classical term for animals)
棕色	종색	Brown color (used for race)
갓지 안으면	같지 않으면	If not the same (older spelling)
水草	수초	Water and grass (related to nomadic life)
所以	소이	The reason why (classical Sino-Korean term)
빗치고	비치고	Shining on, reaching (older spelling)
밋쳣고	미쳤고	Reached (older spelling)
가티	같이	Like, as (older spelling)
奉拜	봉배	Worship
퍽	퍽	Very, quite
깁히	깊이	Deeply (older spelling)
마츰내	마침내	Finally, eventually (older spelling)
석기여	섞이어	Mixed (older spelling)
맛당히	마땅히	Appropriately, rightly
並駕齊驅	병가제구	Ride abreast, be on par with (idiom)
其實은	실상은	In reality, actually (Sino-Korean term, 실상은 more common now)
一盤散沙	일반산사	A plate of loose sand (idiom for disunity)
빈약한	빈약한	Poor and weak
低劣한	저렬한	Inferior
刀俎	도조	Chopping block and knife (metaphor for victim)
魚肉	어육	Fish meat (metaphor for victim)
單心하여	단심하여	With one mind, unitedly
危亡	위망	Danger of ruin/destruction
挽救하려면	만구하려면	If one wants to save/rescue
열강	열강	Great powers
거실녀	거슬러	Going back against (time) (older spelling)
東漸하는	동점하는	Gradually spreading eastward
경시치 못한다	경시하지 못한다	Cannot disregard/look down upon (older contraction)
훌융한	훌륭한	Excellent, splendid (older spelling)


---------------------------


잡지명	삼천리 제5권 제4호
발행일	1933년 04월 01일
기사제목	孫逸仙과 民族主義, 三民主義의 全風貌
필자	孫中山 先生(述), 雲從學人(譯)
기사형태	논설

孫逸仙과 民族主義, 三民主義의 全風貌
						孫中山 先生(述), 雲從學人(譯)
第一編 民族主義
第一講 民國13年(1925년)1월 27일

諸君. 오늘은 諸君으로 더부려 三民主義를 이야기하려고 한다. 三民主義는 무엇인가? 가장 간명하계 말하면 三民主義는 즉 救國主義이다. 그러면 主義는 무엇인가? 主義는 곳 일종의 사상이요 일종의 신앙이오 또 일종의 역량이다. 무릇 사람이 어떤 사물에 대하여 그 중의 도리를 연구하는데 처음에 사상이 생기고 사상이 뚤린 다음에는 신앙이 생기고 신앙이 잇스면 곳 역량이 생기나니 그럼으로 主義는 먼저 사상으로부터 신앙에 이르고 다음에 신앙으로부터 역량을 산출한 뒤에야 완전히 성립되는 것이다.
어찌하여 三民主義는 救國主義라고 하는가? 三民主義는 中國의 국제지위의 평등과 정치지위의 평등과 밋 경제지위의 평등을 촉진하여서 中國으로 하여곰 영구히 世界에 適存케 하는 것임으로 三民主義는 곳 救國主義라고 한다. 三民主義가 救國主義라면 한번 물어보자. 오늘날 우리 中國은 응당 구하여야 될 것인가를. 만일 구하여야 될 것이라고 인정한다면 곳 三民主義를 신앙하여야 될 것이오 三民主義를 신앙하면 곳 一大 勢力을 발생 할 수 잇나니 이런 위대한 세력이라야 中國을 구할 수 잇다.
오늘은 몬저 民族主義를 말하려고 한다. 이번 國民黨을 개조하는데 쓴 바 방법은 선전에 치중한 것이니 國人에 대하여 보편적으로 선전하려면 무엇보다 가장 필요한 것이 主義를 설명하는 것이다. 근 10여 년 이래에 中國의 思想 잇다는 사람은 三民主義에 대하여 모다 귀가 젓도록 드럿다. 그러나 철저하게 그것을 이해하자면 許多한 사람이 아직 만타. 그럼으로 오늘 먼저 民族主義를 가지고 諸君에게 상세히 이야기하려고 한다.
民族主義는 어떠한 것인가? 中國의 역사상 사회의 諸般의 情形에 빗춰서 가장 간단히 말하자면 民族主義는 곳 國族主義라고 한다. 中國人의 가장 숭배하는 것은 家族主義와 宗敎主義이다. 그리하야 中國에는 다만 家族主義와 宗敎主義가 잇슬 뿐이오 國族主義는 업섯다. 방관하는 외국인들은 말하기를 中國人은 一盤 散沙라고 한다. 그 원인이 어대 잇는가? 곳 일반인민이 다 못 家族主義와 宗敎主義만이 잇슬 뿐이오 國族主義가 업는 까닭이다.
中國人의 가족과 종교에 대한 단결력은 비상히 강대하여 往往히 종족을 보호하기 위하여서는 身家와 性命을 희생하려고 한다. 廣東의 兩性의 機鬪와 가튼 것은 兩族의 사람들이 얼마나 만흔 생명과 재산을 희생하더라도 끗치지 안으려고 하는 것이니 이것은 모다 종족관념이 너무 깁흔 까닭이다. 이러한 主義가 깁히 人心에 드려 박혓기 때문에 그것을 위하여 능히 희생하는 것이다. 그러나 국가에 대하여서는＜72＞ 한번도 극대한 정신으로써 희생하여본 때가 업다. 그래서 中國人의 단결력은 다만 종교에 끗치고 아직 國族에는 확충되지 못하엿다.
내가 말한 民族主義는 곳 국가라는 것이다. 그는 中國에 잇서서는 적당하니 外國에서는 不適한 것이다. 外國人은 민족과 국가를 구별하여 말한다. 英文中에 민족이라는 명사를 「네이슈ㄴ」이라고 한다. 이 「네이슈ㄴ」(NAion)이라는 글자는 두 가지의 해석이 잇스니 하나는 민족이오 하나는 국가이다. 한 글자가 두 가지 해석이 잇스나 그 해석은 비상히 명백하여서 混雜되지 안는다. 中國에서도 한 글자가 두 가지로 해석되는 것이 매우 만타. 즉 사회라는 2자 가튼 것은 곳 두 가지 용법이 잇스니 하나는 일반의 人群을 가르쳐 말하는 것이오 하나는 일종의 조직된 단체를 지칭하는 말이다. 본래 민족과 국가는 상호의 관계가 대단히 만허서 구분하기 難하나 그러나 그 중에 실상 일정한 한계가 잇서서 우리는 반듯이 어떤 것이 국가이고 어떤 것이 민족인 것을 갈너야 한다. 내가 말한 민족이 곳 國族이란 것이 어찌하여서 中國에서는 적당하고 外國에서는 부적당한가? 中國은 秦, 漢 이후로 모도 한 민족이 국가를 조성하엿고 외국에서는 한 민족으로써 여러 국가를 조성하기도 하고 한 국가 안에 여러 민족이 잇기도 한 까닭이다. 英國가튼 나라는 이 세계에서 가장 강한 국가로 彼國內의 민족은 백인으로써 本位를 삼고 棕色人과 黑色人의 민족들을 결합하여 비르소 一大 뿌리텐帝國을 이루은 것이다. 그럼으로 민족이 곳 國族이라는 말은 英國에서는 부적당하다. 그리하야 香港가튼 곳은 英國의 영토이나 그러나 그 중의 민족은 幾十萬의 中國의 漢族이 석기여 잇다. 그래서 만일 香港의 英國族는 곳 英國民族이라면 맛지 안는 것이다. 또 印度가튼 곳도 현재 英國의 영토이니 英國의 국족이라면 그 중에 곳 3억 5천만의 印度人도 잇는 것이 다. 그런데 만일 印度의 英國國族가 곳 英國民英이라고 하면 그것도 맛지 안는 것이다. 諸君은 英國의 基本民族이 「앵클로 색손」人인 줄을 다 알 것이다. 그러나 「앵클로 색손」人은 英國에만 잇는 것이 안이라 美國에도 다수의 「앵클로 색손」人이 잇다. 그럼으로 外國에서 민족은 곳 國族이라고 말할 수 업는 것이다. 그래서 民族과 國家은 일정한 한계가 잇다. 우리는 그것을 명백하게 분별하려고 한다. 무슨 방법이 잇는가? 가장 적당한 방법은 민족과 국가는 무슨 힘으로 되엿는가 하는 것이다. 간단히 분별하여 말하면 민족은 天然力으로 조성된 것이오 국가는 무력으로 조성한 것이다. 中國의 정치역사로써 증명하면 中國人은 말하기를 王道는 자연력에 順隨하는 것이라 하엿다. 환언하면 자연력이 곳 王道이니 王道로써 조성한 단체가 곳 민족이다. 무력은 곳 覇道를 써 조성한 것이 곳 國家이다. 香港은 幾十萬의 香港人民이 英國人을 환영하여서 된 것이 아니오 英國人이 무력으로써 제거하여서 엇은 것이다. 또 英國이 印度를 차지한 것도 香港과 가튼 것이다.
現在 英國의 영토는 全世界에 확장되여서 영국 속담에 「英國은 해질 때가 업다」고 하는 말이 잇다. 다시 말하면 매일 주야로 일광이 빗치는 곳에 모도 英國의 영토가 잇서서 가령 우리 東半球의 사람이 해 도들 때부터 치면 처음에 뉴질랜드, 오스트랄리아, 香港, 新加坡에 빗치고 다음에 西으로 기우러져서 실론, 印度에 빗치고 다시 더 西으로 기우러저서 아덴과 말타에 빗치고 더 西으로 기우러저서 英本國에 빗치고 다시 西半球로 도라서 加拿多가 잇고 도로 도라서 香港 新加坡에 이르는 것이다. 그럼으로 每晝夜 24시간의 일광이 빗치는 곳에 반듯이 英國의 영토가 잇는 것이다. 英國과 가티 이런 큰 영토는 하나도 覇道로써 造成 안은 것이 업다. 녜로부터 이제까지 국가를 조성한 것이 하나도 覇道 안인 것이 업다. 그러나 민족을 조성하는 것은 그와 달라서 완전히 자연력으로 인하야 되는 것이오 조곰도 억지를 가할 수 업다. 香港의 幾十萬 中國人이 단결하여서 한 민족을 이루는 것은 자연히 그러케 되는 것으로 英國이 아모리 覇道를 쓰더라도 도모지 改變할 수 업는 것이다. 그래서 王道인 자연력으로 인하야 결합된 단체가 민족이오 覇道인 人爲力으로 인하야 결합된 단체가 국가이니 이것이 국가와 민족의 구별이다.
