잡지명	개벽 제57호
발행일	1925년 03월 01일
기사제목	一大 轉換期에 선 宗敎界의 昔今 (The Religious World Standing at a Great Turning Point: Past and Present)
기사형태	소식 (News/Report)

The Religious World Standing at a Great Turning Point: Past and Present

Buddhism with Nothing Particularly New
When one speaks of religion in Chosŏn (Korea), the listener likely thinks at once of Christianity, Ch'ŏndogyo, or Buddhism. However, Buddhism, having historically been pushed into the mountains for several hundred years and having little connection with the general populace, further fell under the control of government authorities with the implementation of the Temple Ordinance (寺刹令) immediately after the annexation. It has lost any significance and is daily becoming secularized and degenerate, which is lamentable for the historically significant Buddhism of Chosŏn. Looking at the numbers, at the end of Taishō 7 (1918), there were 1,350 temples and 7,961 monks and nuns. However, after the Kimsin Year (己未, 1919), by the end of Taishō 12 (1923), this decreased to 1,198 temples and 7,222 monks and nuns. Nevertheless, it is very encouraging that in recent years, some monks within the religion have gained an understanding of social work and are putting effort into areas like education. Especially among young monks, many have awakened to the ideas of the times and are planning fundamental reforms for the sake of the church and society.

Christianity After the Kimsin Year (己未), Standing at a Great Turning Point
At the end of the year before last (1923), there were over 358,000 Christian believers in Chosŏn, an increase of more than 92,000 compared to the end of the Musin Year (戊午, 1918). Of course, this figure of 350,000 believers includes denominations from the American, British, French, Japanese, and even Russian systems. Among these many Christian denominations, the most relatively influential and, in various senses, most present in the thoughts of many Chosŏn people are the Presbyterian Church and the Northern and Southern Methodist Churches. According to recent statistics, Presbyterian believers number over 186,000, Southern Methodists over 12,000, and Northern Methodists over 42,000. Divided this way, one gets the impression that the number of Christian believers in Chosŏn is unexpectedly small. <47>

This was not necessarily limited to Christianity, but immediately after Taishō 8 (1919), the vast majority of Chosŏn people held feelings of boundless wonder and admiration for religious organizations. Thus, the number of believers increased markedly, and the influence of the churches expanded accordingly. The newly established Government-General authorities also, as a measure to appease the feelings of missionaries and general believers, revised the Missionary Work Regulations in April of Taishō 9 (1920), changing the requirement for establishing churches and mission stations from needing permission to simply requiring notification.

Since the Kimsin Year (己未, 1919), various changes occurred in the thoughts and actions of the Chosŏn people. First, they came to find "the self," and concurrent with finding the self, they came to distrust everything that came from other countries or other peoples. Furthermore, they learned how untrustworthy the nations and governments of capitalism or imperialism, which only know money and flaunt power, are. Unfortunately, among these untrustworthy nations, the United States also played a part. Consequently, not only non-Christian believers among the Chosŏn people but also a majority of Christian believers came to distrust Western missionaries unlike before. Some more radical individuals even pointed to Christian missionaries as a type of magician standing on the side of the wealthy and powerful Western capitalist class. Thus, the atmosphere of self-governance (自治) became strong within the Chosŏn Christian church, and today we even see mutual disputes arising from this issue. The recent dispute at the Taegu Namsŏngch'ŏn Church (大邱 南城町敎會), which startled the public, is likely one example of this. Perhaps sensing this trend, missionary headquarters, whether Presbyterian or Methodist, have recently reduced missionary expenses for Chosŏn by a certain amount and are instead reportedly focusing more effort on missionary work in China.

However, issues like foreign missionaries and self-governance are rather peripheral. The truly fundamental issue for the Chosŏn Christian Church is likely the question of the church's ideology. Of course, one might say, what is there to question when the church's ideology is clearly written in the Bible, and its maintenance should be the focus? Or even if it becomes a question, isn't it something that cannot be helped? But if it is a fact that Christ's teachings themselves cannot exert any effect on their own and only produce efficacy through us humans, then it is a clear fact that even the Gospel of Christ, like a flower, will cultivate a different atmosphere depending on the life environment of the person propagating or believing in that Gospel. Looking at our Chosŏn Christian Church from this perspective, the initial propagators were nothing more than a type of favor-peddler (售惠師) dispatched by a few wealthy Americans, <48> and the vast majority of Chosŏn people who believe in and lead this religion are merchants in urban areas, landowners in rural villages, doctors in hospitals, founders of schools, etc.—in other words, people generally from middle-class or higher life environments. It is thus imaginable without saying how materialized, vulgarized, and ritualized the entire thought and atmosphere of this church must have become. If Chosŏn Christianity is to truly observe the future destiny of Chosŏn, embody the sacrifice of the Cross, and realize on this earth the Kingdom of Heaven—which, as shown by Lord Jesus, the rich cannot enter—it must mobilize entirely for the single task of transforming the church's whole ideology and atmosphere, leaping forward beyond the issue of national self-determination and self-governance, beyond the issue of liberal church administration reform. Could the Christians who were pioneers in Chosŏn's enlightenment movement 20 or 30 years ago possibly lag behind in the future Chosŏn reconstruction movement? Since the Kimsin Year (己未), discerning individuals within the Christian church have already shown signs of focusing on this point. Although they have not yet appeared in any formal shape, their latent power spreads moment by moment today. A certain Christian believer in Britain said:
"Old forms, old systems, old sentiments will perish, and a new, brilliant social organization will come under the inspiration of the spirit of love and sacrifice. It is the pre-promised new Jerusalem. No matter how much we religionists speak of individual improvement, lament the harm of drinking, and praise immediate charity, until we remove the causes of forced poverty, it will be nothing more than adding pages to the record of futile, unrealistic efforts that achieve nothing (計不入*)."

Ch'ŏndogyo, Gradually Deepening
Firstly, since the Kimsin Year (己未), Ch'ŏndogyo lost its third leader, Teacher Son Ŭiam (孫義菴), who had been like the sun of the church. Following this, a major disturbance arose within the organization itself. Consequently, for a time, the saying "Ch'ŏndogyo is no longer viable" circulated among people, both in good and bad senses. However, it was unlikely that a religious group with over 60 years of bloody history and more than several million believers would be so easily shaken. In just one or two years, their faith was renewed, the disturbance subsided, and they recovered the state of the church during Son Ŭiam's time. As proof of this, perhaps, at the end of last year, they even built and presented to the world a memorial hall (a building worth about 50,000 won) commemorating the centennial of the birth of the first patriarch of the religion, Teacher Ch'oe Suun (崔水雲).

Observing closely, it seems that in modern Chosŏn, no group has endured more persecution while continuing more vigorous movements than the Ch'ŏndogyo community. <49> Its predecessor, Tonghak (東學), initiated a struggle for social reform as early as 30 years ago in the Kap'o year (甲午, 1894). Although ultimately suppressed by the government forces of Han (Korea), Japan, and Ch'ing (China), its spirit was not broken, and its truth was not buried. Whether in the Kapchin year (甲辰, 1904) or the Kimsin year (己未, 1919), whenever the time came, whenever the opportunity arose, they never hesitated to do what needed to be done as a people, as human beings. For reference, let us introduce the principles and social view they adhere to:
"Human nature and Heaven (한울) are one. What is Heaven? It refers to the eternally limitless creative potential (開闢性) that stretches across the chords of heaven, earth, and all things. Therefore, only by realizing the Heaven-nature within oneself can humans form conscious relationships not only between people but also with all existing facts in the universe and all things. When these relationships are formed, people and people, and people and things, will finally align on one line, each achieving a new life, unheard of in the past or present, incomparable to the past or present (今不聞 古不聞 今不比 古不比), with a greatness like the universe itself."
"However, today's human environment and social organization fundamentally attempt to strip away human Heaven-nature while severing relationships between people and even with all things, fostering conditions of mutual isolation and exploitation. This is unacceptable from the perspective of Ch'ŏndogyo principles."
This seems to be the principle, conviction, and goal of those who believe in Ch'ŏndogyo. In other words, the purification and deepening of Tonghak principles—this appears to be the entirety of recent Ch'ŏndogyo, Ch'ŏndogyo after the Kimsin year (己未). The accompanying increase in new Tonghak followers—this too could be called an unusual phenomenon. <50>

**Summary**

This 1925 article from *Kaebyŏk* magazine surveys the state of major religions in Korea—Buddhism, Christianity, and Ch'ŏndogyo—during a "great turning point," largely influenced by the aftermath of the 1919 March 1st Movement. Buddhism is depicted as declining under government control and secular pressures, though hopeful signs exist among younger monks seeking social relevance. Christianity shows growth but faces internal tension due to rising nationalism, distrust of Western missionaries linked to imperialism and capitalism, and calls for self-governance; a segment within Christianity is urged towards radical ideological transformation focused on social justice. Ch'ŏndogyo, despite internal conflict after its leader's death, is portrayed as resilient, deepening its core Tonghak principles of human divinity and interconnectedness, critiquing exploitative social structures, and attracting new followers committed to social change. For historians, the article is valuable for its contemporary perspective on how Korean religions navigated colonialism, the rise of nationalism, internal debates about identity and foreign influence (especially in Christianity), and the growing engagement with social critique and reformist ideas in the mid-1920s. It clearly shows religion as a site of both struggle and adaptation under Japanese rule.

**Named Entities**

基督敎	기독교	Christianity
天道敎	천도교	Ch'ŏndogyo
佛敎	불교	Buddhism
朝鮮	조선	Chosŏn (Korea)
寺刹令	사찰령	Temple Ordinance
大正	대정	Taishō (Japanese era name)
己未	기미	Kimsin Year (1919)
米國	미국	United States (America)
英國	영국	Great Britain
法國	프랑스	France
日本	일본	Japan
露國	러시아	Russia
長老敎會	장로교회	Presbyterian Church
南北監理敎會	남북감리교회	Northern and Southern Methodist Churches (combined term)
總督府	총독부	Government-General
大邱 南城町敎會	대구 남성정교회	Taegu Namsŏngch'ŏn Church
中國	중국	China
孫義菴	손의암	Son Ŭiam (Son Pyŏnghŭi's religious name)
崔水雲	최수운	Ch'oe Suun (Ch'oe Cheu's religious name)
東學	동학	Tonghak
甲午	갑오	Kap'o Year (1894)
韓	한	Han (Korea)
淸	청	Ch'ing (China)
甲辰	갑진	Kapchin Year (1904)

**Glossary**

宗敎界	종교계	Religious world/circles
轉換期	전환기	Turning point, transitional period
昔今	석금	Past and present
別無新奇	별무신기	Nothing particularly new or remarkable
山間	산간	Mountainous area, among the mountains
一般民衆	일반민중	General populace, common people
倂合	병합	Annexation
官邊	관변	Government authorities, official circles
操縱	조종	Control, manipulation
俗化	속화	Secularization
退化	퇴화	Degeneration, decline
寒心된	한심된	Lamentable, pitiful (older form of 한심한)
僧尼	승니	Buddhist monks and nuns
社會事業	사회사업	Social work, social enterprise
時代思想	시대사상	Ideas of the time, contemporary thought
敎會	교회	Church (used for Buddhist temples/organizations here too initially, then Christian churches)
革新	혁신	Reform, innovation
깃거운	깃거운	Joyful, happy (older spelling of 기쁜)
信徒	신도	Believer, follower
宗派	종파	Denomination, sect
比較的	비교적	Relatively
料外에	요외에	Unexpectedly, contrary to expectation (older form)
團軆	단체	Organization, group (軆 is older form of 體)
驚異	경이	Wonder, amazement
讚嘆	찬탄	Admiration, praise
現著히	현저히	Markedly, significantly
擴張	확장	Expansion
宣敎師	선교사	Missionary
눅기어 주는	눅기어 주는	Appeasing, softening (older phrasing)
布敎規則	포교규칙	Missionary Work Regulations
届出	계출	Notification, report (Japanese term 'todokeide')
自己	자기	Self
밋지 못하게 되엿다	믿지 못하게 되었다	Came to distrust (older spelling/form)
權力	권력	Power, authority
資本主義	자본주의	Capitalism
帝國主義	제국주의	Imperialism
過激한	과격한	Radical, extreme
富	부	Wealth
資本階級	자본계급	Capitalist class
魔術師	마술사	Magician, sorcerer
指目케 되엿다	지목케 되었다	Came to be pointed out as (older spelling/form)
自治	자치	Self-governance, autonomy
濃厚하게	농후하게	Strongly, richly (often figurative)
紛爭	분쟁	Dispute, conflict
緣起하는	연기하는	Arising from, originating from
宣敎費	선교비	Missionary expenses
減削하고	감삭하고	Reduced, cut back
枝葉問題	지엽문제	Peripheral issue, minor problem
根本問題	근본문제	Fundamental issue, core problem
思想問題	사상문제	Ideological issue, question of thought
聖經	성경	Bible
把持	파지	Holding fast to, maintaining
敎示	교시	Teaching, instruction
作用	작용	Action, effect, function
效用	효용	Efficacy, utility
福音	복음	Gospel
傳播하는	전파하는	Propagating, spreading
生活環境	생활환경	Life environment, living conditions
雰圍氣	분위기	Atmosphere (older Hanja usage)
갓지 아늘 것은	같지 않을 것은	Will not be the same (older spelling/form)
派遣	파견	Dispatch, sending
售惠師	수혜사	Benefit-peddler, favor-seller (likely derogatory term for missionary)
지내지 못하엿고	지내지 못하였고	Was nothing more than (older form)
指導하는	지도하는	Leading, guiding
多大數	다대수	Vast majority
市街地	시가지	Urban area, town area
地主	지주	Landowner
設立者	설립자	Founder
中産級	중산급	Middle class
物質化하고	물질화하고	Became materialized
野俗化하고	야속화하고	Became vulgar/coarse
儀式化하엿슬	의식화하였을	Would have become ritualized (older spelling/form)
運命	운명	Destiny, fate
正觀하고	정관하고	Observing correctly, contemplating rightly
十字架	십자가	Cross (Christian)
犧牲	희생	Sacrifice
軆現하야	체현하여	Embodying (older form of 체현하여)
主예수	주예수	Lord Jesus
啓蒙運動	계몽운동	Enlightenment movement
先驅된	선구된	Became a pioneer/forerunner
改造運動	개조운동	Reconstruction movement, reform movement
落後할	낙후할	To lag behind
具眼者	구안자	Person with discerning eyes, insightful person
着眼한	착안한	Focused on, paid attention to
形迹	형적	Traces, signs
뵈엿다	뵈었다	Were seen, appeared (older form)
潛勢	잠세	Latent power, hidden influence
刻一刻	각일각	Moment by moment
情想	정상	Sentiments, feelings
滅亡하고	멸망하고	Perish, be destroyed
靈感	영감	Inspiration
豫言	예언	Prophecy (likely meant by 約束되엿던 - 'promised')
宗敎家	종교가	Religious person, religionist
個人的 改善	개인적 개선	Individual improvement
飮酒	음주	Drinking alcohol
慈善	자선	Charity
高調할지라도	고조할지라도	Even if emphasizing highly
强制的 貧乏	강제적 빈핍	Forced poverty
除去하기까지는	제거하기까지는	Until removing
空然한	공연한	Futile, vain
計不入	계불입	Doesn't enter the calculation; achieving nothing, fruitless (*Note: this seems like a specific term or possibly error, context suggests futility)
非現實的	비현실적	Unrealistic
太陽	태양	Sun (used metaphorically for the leader)
일헛다	잃었다	Lost (older spelling)
自軆	자체	Itself, the body itself (older form of 자체)
紛擾	분요	Disturbance, turmoil, factional strife
動搖	동요	Shaking, wavering, disturbance
信仰	신앙	Faith, belief
更新되고	갱신되고	Was renewed
終熄되야	종식되어	Came to an end, subsided (older form)
在世時	재세시	While alive, during one's lifetime
敎况	교황	State of the religion/church
挽回하는	만회하는	Recovering, restoring
表證	표증	Proof, evidence
紀念舘	기념관	Memorial hall
建物	건물	Building
迫害	박해	Persecution
繼續해온	계속해온	Has continued
運動	운동	Movement
氣魄	기백	Spirit, vigor
꺽기지	꺾이지	Not broken (older spelling)
眞理	진리	Truth
무치지 아니하며	묻히지 아니하며	Was not buried (older form)
機會	기회	Opportunity
躕躇치 안엇다	주저치 않았다	Did not hesitate (older spelling/form)
信奉하는바	신봉하는 바	What is believed in, adhered to
主義	주의	Principle, doctrine, -ism
社會觀	사회관	Social view, view of society
紹介하면	소개하면	If introduced
性	성	Nature (human nature)
한울	한울	Heaven (Ch'ŏndogyo term)
天地萬有	천지만유	Heaven, earth, and all things; the universe
琴線	금선	Chord, string (metaphorical)
永遠旡極	영원무극	Eternal and limitless (旡 is older form of 無)
開闢性	개벽성	Creative potential, world-opening nature
意識	의식	Consciousness; to be conscious of
實現함으로	실현함으로	By realizing
새는	새는	Between (older form of 사이에는)
宇宙	우주	Universe
現存한	현존한	Existing
一切	일체	All, everything
關係	관계	Relationship, connection
맷는	맺는	Forming, tying (older spelling)
線	선	Line
偉大	위대	Greatness
今不聞 古不聞 今不比 古不比	금불문 고불문 금불비 고불비	Unheard of today, unheard of in the past; incomparable today, incomparable to the past (phrase indicating unprecedented newness)
周圍環境	주위환경	Surrounding environment
社會組織	사회조직	Social organization
剝盡하려는	박진하려는	Trying to strip away completely
斷絶하야	단절하여	Severing, cutting off (older form)
各自	각자	Each individual
孤立	고립	Isolation
互相	호상	Mutually
搾取	착취	Exploitation
形勢	형세	Situation, condition
助成하며	조성하며	Fostering, promoting (older form)
容認할 수 업는	용인할 수 없는	Cannot tolerate, unacceptable (older spelling)
信念	신념	Conviction, belief
標的	표적	Target, goal
십다	싶다	Seems, appears to be (older spelling)
醇化	순화	Purification, refinement
深化	심화	Deepening
伴한	반한	Accompanying (older spelling of 동반한)
尋常치 아는	심상치 않은	Unusual, extraordinary (older spelling/form)
現像	현상	Phenomenon
-e 

---------------------------


잡지명	개벽 제57호
발행일	1925년 03월 01일
기사제목	一大 轉換期에 선 宗敎界의 昔今
기사형태	소식

