**Header Section:**
Magazine Title: 삼천리 제9권 제1호
Publication Date: 1937년 01월 01일
Article Title: 伯林警視廳에 被逮記, 日本密偵의 嫌疑을 입어 (Account of Being Arrested by the Berlin Police Headquarters, Under Suspicion of Being a Japanese Spy)
Author: 獨逸醫學博士 鄭錫泰 (German Medical Doctor Chŏng Sŏk-t'ae)
Article Type: 회고·수기 (Memoir/Personal Account)

**Body Text Translation:**
Account of Being Arrested by the Berlin Police Headquarters, Under Suspicion of Being a Japanese Spy
						By German Medical Doctor Chŏng Sŏk-t'ae

Looking at recent newspapers, one sees that the Soviet Union has the "GPU" and Germany has the "Gestapo." Because of such systems, dozens of Germans have already been arrested in Moscow alone and their whereabouts became unknown. Last year, many Englishmen also unexpectedly lost their lives in Moscow, leading even to international issues. Also, receiving reports just the other day that a certain Nakayama, a Japanese national from the mainland, was sentenced to death by a military tribunal in Vladivostok under suspicion of being a spy by the Soviet GPU, one realizes that the number of those who have disappeared without a name, their locations unknown, suffering wrongful deaths, must be countless. It was just before Christmas in Taishō 11 (1922), with heavy snow falling just like these days, that I was arrested by the Berlin Police Headquarters under such terrifying suspicion. Recently, there are amicable terms between Japan and Germany like the Japan-Germany Pact, and also the solid foundation of the Nazi national administration, but at that time, the Empire had collapsed, and communists, social democrats, democrats, and all sorts of demons were rampant in broad daylight. Although Ebert had become President, it was much like Spain nowadays, no different from the Popular Front, a time when the government would round up rebels or foreign spies almost daily, stand them up on street corners, and execute them by firing squad. Moreover, at that time, concerning Germany, which had transferred its culture (engineering, medicine, law) and military regulations entirely to Japan over several decades, enabling Japan to become the great nation it is today, Japan had attacked even Qingdao during the Great War due to the difficult situation. As such, even when Japanese people walked meekly down the street, quick-tempered Germans would purse their lips and glare, making it impossible to even touch them. Of course, surveillance was so strict that if a Japanese person merely moved residences, they had to report in person to the relevant police station within 24 hours, or face punishment.

In the midst of such scrutiny, experiencing a danger that seemed like a falsehood from over 100,000 *ri* <146> away by land and sea, feels like a nightmare now as I write this experience down, but it seems true that I was half out of my mind at the time.

It was probably only about a week after arriving in Berlin. Of course, while I had no difficulty with specialized books in German, it was a time when I faced considerable difficulty with conversation for a while. However, I had already established my lodging in Charlottenburg, reported it to the local police, and was commuting daily to the Berlin University research lab, living a truly gentle and simple, fixed lifestyle without deviation. From anyone's perspective, there should have been not the slightest reason to suspect me of being a spy.

One deep night, perhaps around 4 a.m., just as I was finding my sole comfort in sweet dreams of my distant hometown, resting my body weary from the day in a warm bed, <147> I heard violent pounding on the door and the rough voices of men. According to Western customs, no matter how urgent the matter, it was etiquette never to wake a sleeping person; even if someone was taking a brief nap, it was common to wait until they woke up. Yet now, during the prime sleeping hours, this unusual commotion surely meant either thieves or a fire. Startled, I got up, opened my room door, and saw two rough-looking men, with the landlady standing behind them, looking at me with a worried expression, chattering something I couldn't understand the reason for at all. One of the men showed me a bronze badge; I didn't know what it was, but it said "Polizei," so it was probably proof that he was a Berlin police detective. One man stood me in a corner of the room, first searched my body to see if I had a six-shooter or anything, then rummaged through every nook and cranny, meticulously checking for any documents or evidence. When they were about to drag me away, not only did I still not know what was going on, but I was also scared and angry, wondering where they were taking me in this dark night. I asked why they were taking me, but communication failed between us, so we started communicating through writing (筆談). The detective wrote that I was a spy and had to go to the Police Headquarters. This was utterly unexpected. I showed them my passport, stating that the German Consul in Yokohama, Japan, had certified me as someone coming here for medical research, a person without greed, and proved that I was not such a person, but they paid no attention and were about to use physical force, demanding I come along immediately.

At that moment, I didn't know under what suspicion they called me a spy, but if I couldn't clear myself of this charge, I would inevitably face a wrongful, brutal death. If only a fellow countryman were here to witness this scene, they could go to the Japanese Embassy, explain this unjust situation, and negotiate. But what could I do if such a wrongful death occurred in a foreign land, ten thousand *ri* away? Suddenly, the scenes I had witnessed recently on the streets, of spies and rebels being shot, vividly appeared before me. <148> The sound of German army rifles, corpses falling dead, blood, bullets – spinning like images in a revolving lantern (步馬燈).

At that point, I screamed, "I won't go!" and resisted with all my might. But it was all useless. Powerlessly gripped on both sides, I was taken out onto the still-quiet, cold dawn street, my heart pounding like a startled bird's, overwhelmed with excitement, wondering what would happen next. In an instant, we arrived at the basement of the Berlin Police Headquarters. People went into this basement daily, but few came out. It was a living hell (生地獄). If I entered here, it would be eternal separation (永決終天). They stood me before the iron gate of a basement cell holding heinous criminals, grim and gloomy (悽慘하며 陰酸한), and told me to go in. There seemed no other way, but feigning ignorance, I gathered my last courage, struggled violently, and cursed indiscriminately in Korean, Japanese, and German, but they couldn't understand. Fortunately, the chief guard wasn't present, and lacking the key immediately, I was held by several detectives. I must have resisted in a way unimaginable now. I grabbed whatever my hands could reach and threw it, even hitting them with chairs, turning the place into a scene of carnage (修羅場). But in the end, it was futile. Firmly held, I resigned myself to fate (萬事休), waiting only for Heaven's will. As time passed and morning came, it must have been time for the senior officers to arrive. Someone in uniform, who seemed equivalent to a chief of the special affairs section here, appeared. As soon as he arrived, I acted even more foolishly, shouting and thrashing about. Whether this was my tactic (述策) or just good fortune, I was interrogated on the spot. He sat me down in front of his desk and said jokingly, "We saw through you as a spy long ago and have definite (的確) evidence. We arrested you early this morning before you could go elsewhere, so struggling further is useless."

"A spy? That's unthinkable for me. Didn't your diplomat clearly certify the purpose of medical research, as written in the passport?" I explained with all my might, but he acted as if it were utterly absurd, implying he wouldn't be fooled by such foolish tactics.

"Alright, I'll tell you the evidence for you being a spy. Why do you have two or three names? On this passport, it's written as (TEY) Tey, but in your correspondence, it's (CHUNG) Chŏng?"

"That's something you wouldn't know. I am originally Korean. As you know, due to the Japan-Korea Annexation, my name is Chŏng in Korean, but since this passport was issued in Tōkyō, Chŏng becomes Tey in the national language (Japanese), hence it turned out like this," I explained earnestly and detailedly.

However, he retorted,
"Absolutely absurd nonsense. Then, Christianity must exist in Korea and Japan <149> too. The person who gave birth to Jesus is Mary. So, if you translate this Mary into Japanese or Korean, what is she called? The German President is Ebert; what is that translated into Japanese? What is America's Washington or France's Napoleon translated into Korean?" he pressed relentlessly, like an iron demon (쇠귀신).

At this question, I lost even the courage to argue. How could proper nouns (固有名詞) be translated? Nevertheless, I stubbornly insisted, making all sorts of illogical excuses, emphasizing only that I was not a spy until the very end. He observed my every move closely, looked me up and down several times, then smiled, seeming to have sized me up. He likely concluded that a person like me wouldn't have the courage to be a daring military spy. After a moment, he said,

"You've been through trouble. You may leave. But because the times are so chaotic, it's standard practice to arrest and investigate all suspicious foreigners," and shook my hand. At that moment, more than joy, it felt like a heavy burden had been lifted. My winter underclothes were soaked enough to be wrung out. Startling someone has its limits; it felt as though several years had been taken off my life (減壽).

Is someone now calling me a coward? If so, perhaps it's because I haven't fully expressed the circumstances of that time. Just now, newspaper extras report that Chiang Kai-shek is dead in Xi'an, or maybe alive. Even the writing I've produced is chaotic; the world can certainly not be called simple.<150>

**Summary**

Dr. Chŏng Sŏk-t'ae recounts his harrowing experience of being arrested in Berlin in 1922 under suspicion of being a Japanese spy. Mistaken identity arose because his Korean name "Chŏng" (鄭) was rendered as "Tey" (the Japanese pronunciation) on his Japanese-issued passport. During a terrifying interrogation at the police headquarters basement, known as a place few left, he desperately argued his innocence. The German police officer mockingly challenged the idea that proper nouns could be "translated," highlighting the absurdity from his perspective. Ultimately, the officer seemed convinced Chŏng lacked the mettle for espionage and released him, leaving the author deeply shaken. From a historical perspective, the article reveals the precarious position of Koreans under Japanese rule traveling abroad with Japanese passports, the intense anti-Japanese sentiment and political paranoia in post-WWI Weimar Germany (even before the Nazis), and the potentially fatal consequences of bureaucratic misunderstandings regarding identity in a volatile international climate. Historians might find the specific details of the interrogation, the description of Weimar Berlin's atmosphere, and the reflection on Korean identity versus imposed Japanese identity valuable.

**Named Entities**
伯林	베를린	Pŏllin
日本	일본	Ilbon
獨逸	독일	Tŏk-il
鄭錫泰	정석태	Chŏng Sŏk-t'ae
소聯	소련	Soryŏn
게페우	게페우	Kepeu (GPU)
獨乙	독일	Tŏk-il
게스따포	게슈타포	Kestapp'o (Gestapo)
모스코	모스크바	Mosŭk'o
英國	영국	Yŏngguk
中山某	나카야마 모	Nakayama Mo (A certain Nakayama)
海參威	해삼위	Haesamwi (Vladivostok)
大正11년	다이쇼 11년	Taishō 11 (1922)
日獨協定	일독협정	Il-Tok Hyŏpchŏng (Japan-Germany Pact)
나치스	나치스	Nach'isŭ (Nazis)
帝國	제국	Cheguk (German Empire)
에벨트	에베르트	Ebelt'ŭ (Ebert)
스페인	스페인	Sŭp'ein (Spain)
人民戰線	인민전선	Inmin Chŏnsŏn (Popular Front)
靑島	칭다오	Ch'ŏngdo (Qingdao)
샐롯덴불크	샬로텐부르크	Saellott'enburŭk'ŭ (Charlottenburg)
伯林大學	베를린대학	Pŏllin Taehak (Berlin University)
西洋	서양	Sŏyang (The West)
伯林警察	베를린경찰	Pŏllin Kyŏngch'al (Berlin Police)
駐日橫濱獨乙領事	주일요코하마독일영사	Chu-Il Yokohama Tŏk-il Yŏngsa (German Consul in Yokohama, Japan)
橫濱	요코하마	Yokohama
日本大使館	일본대사관	Ilbon Taesagwan (Japanese Embassy)
朝鮮	조선	Chosŏn
東京	도쿄	Tōkyō
예수	예수	Yesu (Jesus)
마리아	마리아	Maria
米國	미국	Miguk (USA)
와싱톤	워싱턴	Wasingt'on (Washington)
佛國	불국	Pulguk (France)
나포레온	나폴레옹	Nap'oreon (Napoleon)
蔣介石	장개석	Chiang Kai-shek
西安	서안	Sŏan (Xi'an)

**Glossary**
警視廳	경시청	Metropolitan Police Headquarters
被逮	피체	Being arrested
嫌疑	혐의	Suspicion
密偵	밀정	Spy, secret agent
밧다	받다	To receive (older spelling of 받다)
檢擧되여	검거되어	Being arrested (older spelling/form of 검거되어)
行方不明	행방불명	Missing, whereabouts unknown
報導	보도	Report, news
어굴한	억울한	Unjust, unfair (older spelling of 억울한)
쏘다지는	쏟아지는	Pouring down (older spelling/form of 쏟아지는)
破滅되다	파멸되다	To be ruined, destroyed
百鬼가 晝行하며	백귀가 주행하며	All sorts of demons rampant in broad daylight (idiomatic)
옴기다	옮기다	To move (older spelling of 옮기다)
難局	난국	Difficult situation, crisis
攻略	공략	Attack, capture
삐죽거리며	삐죽거리며	Pursing one's lips (often in discontent)
진집	진줒	Glaring, staring intently (dialectal/older term?)
옴기기	옮기기	Moving (residence) (older spelling)
出頭하여	출두하여	To appear (at a police station, court, etc.)
罰	벌	Punishment
物色	물색	Scrutiny, searching (for someone suspicious)
忽然한	홀연한	Sudden, unexpected
거진말	거짓말	Lie, falsehood (older spelling)
只今	지금	Now (older spelling using 只)
밧을 지음에	받을 즈음에	Around the time of receiving (older spelling/form)
낫잠	낮잠	Nap
낫빗	낯빛	Facial expression, complexion (older spelling)
銅牌	동패	Bronze badge/plaque
六穴砲	육혈포	Revolver (lit. six-hole gun)
搜査	수사	Search, investigation
낫낫치	낱낱이	One by one, thoroughly (older spelling)
끌를고서	끌고서	Dragging (older spelling/form)
曲節	곡절	Circumstances, details, reason
疏通	소통	Communication, understanding
筆談	필담	Communicating by writing
慾心	욕심	Greed
虐殺	학살	Massacre, brutal killing
觀景	광경	Scene, sight
步馬燈	보마등	Revolving lantern (often used metaphorically for flashing images/memories)
발악	발악	Desperate struggle, frantic effort
웅켜들니어서	움켜들려서	Being gripped, held tightly (older spelling/form)
生地獄	생지옥	Living hell
永決終天	영결종천	Eternal separation (idiomatic phrase for death)
悽慘	처참	Ghastly, gruesome, miserable
陰酸	음산	Gloomy, dismal, sinister
重罪囚	중죄수	Serious criminal, felon
辱說	욕설	Abuse, curses
看守長	간수장	Chief guard, head jailer
붓들니여서	붙들려서	Being caught, held (older spelling/form)
述策	술책	Tactic, scheme, stratagem
신문	신문	Interrogation (here, not newspaper)
的確한	적확한	Definite, certain, precise
몰으는	모르는	Not knowing (older spelling)
아다십히	아시다시피	As you know (older spelling/form)
씨운	쓰인	Written (older spelling of 쓰인)
쇠귀신	쇠귀신	Iron demon (metaphor for being persistent, stubborn, relentless)
固有名詞	고유명사	Proper noun
흘터보드니	훑어보더니	Scanning, looking over (older spelling/form)
우슴	웃음	Laughter, smile (older spelling)
減壽	감수	Shortening of one's lifespan
어수선한	어수선한	Disorderly, chaotic, messy


---------------------------


잡지명	삼천리 제9권 제1호
발행일	1937년 01월 01일
기사제목	伯林警視廳에 被逮記, 日本密偵의 嫌疑을 입어
필자	獨逸醫學博士 鄭錫泰
기사형태	회고·수기

伯林警視廳에 被逮記, 日本密偵의 嫌疑을 입어
						獨逸醫學博士 鄭錫泰
近者 新聞紙上으로 보면 「소聯」에는 「게페우」 獨乙은 「게스따포」 이러한 制度가 있어 모스코에서만 발서 獨乙人만 數十人이 檢擧되여 行方不明하게 되고 昨年에는 英人도 모스코에서 만히 不意의 生命을 일어 國際問題까지 나게 되였다. 또 日前에는 소련 게페유에게 日本 內地人 中山某가 海參威에서 스파이嫌疑로서 軍事裁判所에서 姓刑宣告를 밧었다는 報導를 받을적마다 性名없이 行方不明으로 不知居處가 되여 어굴한 죽엄을 가진 數는 헤아릴 수가 없을 것이다. 이러한 무시무시한 嫌疑를 밧어 내가 伯林警視廳에 붓잡히기는 大正11년, 요사이 같지 함박눈이 쏘다지는 크리스마스 직전이였다. 近者에는 日獨協定이란 日獨의 親和한 條件도 있고 또 나치스의 堅固한 國政의 基礎도 있으나 그때는 帝國이 破滅되고, 共産社會, 民主 등 百鬼가 晝行하며 「에벨트」가 大統領이 되기는 하였으나 요사이 맛치 「스페인」모양으로 人民戰線과 별다름이 없시, 政府에서는 反逆者나 外來의 密偵같은 것은 매일같이 거리거리 모통이에 세워놓고 銃殺하여버리는 때이다. 그때는 더구나 日本人이라면 數十年을 두고 文化(工, 醫, 法)며 軍規는 전부가 獨乙서 日本으로 옴겨다가 今日의 大國으로 만들게 한 관계에 있는 獨乙에 대하야 難局으로서 大戰時에 靑島까지 攻略한 터이라 當時는 日本人이 行길을 溫順히 지나는 것을 가지고도, 性急한 獨乙사람은 입을 삐죽거리며 진집을 었어 건듸리지도 못하게 하든 판이다. 물론 日本人으로서 宿所를 옴기기만 하여도 24時間이내에 所管警察署에 自身이 出頭하여 보고를 하지 않으면 罰을 당하리만치 여간 監視가 심하지 않었다.
이러한 物色이 忽然한 판에 水陸 10萬里<146> 박게서 거진말같은 事實의 危險을 一場의 惡夢같이 只今은 經驗談으로 쓰기는 하나 當時에는 半精神이 빠젓든 것은 事實인 듯하다.
아마 伯林 到着된지 不過 1週日 前後일 것이다. 勿論 獨語로서는 專門課書籍에는 不自由는 없었스나 會話로서는 當分間 困難을 밧든 때이다. 그러나 발서 宿所를 「샐롯덴불크」에 정해노앗노라 所管警察에 보고도 하고 每日 每日 伯林大學硏究室에 단이면서 脫線이 없이 그야말노 溫順하고도 單雅한 一定한 生活方針에서 누가 보나 나를 密偵으로 볼만한 嫌疑는 조금도 없었을 것이다.
