Magazine Title: 삼천리 제9권 제1호
Publication Date: 1937년 01월 01일
Article Title: 天涯萬里에 建設되는 同胞村 (Compatriot Villages Being Built at the Ends of the Earth)
Author: 松花江人 (Songhwagang-in), Anonymous (for Koma Village section), 遠洋學人 (Wŏnyang Hagin)
Article Type: 기행문 (Travelogue)

**In Yingkou, Where the North Wind Blows**

By 松花江人 (Songhwagang-in)

This is the "Safety Village" (安全農村) in Yŏnggu, Pongch'ŏn Province. It is located about 35 Korean *li* from Yŏnggu City. Speaking of its area, the first village is 2,956 *chŏngbo* (actual cultivated paddy field area 2,477 *chŏngbo*), and the second village is 2,400 *chŏngbo*. This whole area is near the famous Liao River (遼河), a vast tidal flat facing the Liaodong Bay (遼東灣) to the southwest. In the future, it is said the total area will become 6,000 *chŏngbo* (actual cultivated paddy 4,800 *chŏngbo*), and the plan is to accommodate 2,200 households and 11,000 farmers in this village alone.

Please forgive me for listing a few more numbers. Looking at the results from last year, the cultivated area for 1,350 farm households was 2,477 *chŏngbo*, yielding over 42,000 *sŏk* of rice, which is an average of 1 *sŏk* 1 *tu* 3 *sŭng* per *tanbo*.

The income and expenditure are as follows. Per farm household, the cultivated area is considered 2 *chŏng* 4 *tanbo*. The income is 593 *wŏn* 60 *chŏn*, expenditure is 420 *wŏn*, leaving a net profit of 173 *wŏn* 60 *chŏn*. After deducting the annual installment repayment of 122 *wŏn* 70 *chŏn*, the pure profit is 50 *wŏn* 90 *chŏn*.<112>

Wherever they go, Koreans are said to have a genius for reclaiming paddy fields. Whether reclaiming tidal flats or developing rice paddies, our Korean farmers always take the lead. The results are very good. Perhaps within a year or two, the fields across the plains of Manchuria (滿洲) will all be turned into vast rice paddies by Korean hands, becoming like the Kyojŏnyŏng or Nae plains in Hwanghae Province or the Kokhyang plains in Chŏlla Province on the Peninsula (半島).

Now, as for how many Koreans have entered the entire area of Manchukuo (滿洲國), official statistics say 830,000, but the actual number is likely over 1.2 million.

After the Manchurian Incident, Safety Villages (安全農村) are being established here and there. Those already completed, besides this Yŏnggu Village where we are, include:

Hadong Village (河東農村) (Near Ugimiha Station (烏吉密河驛), Pin'gang Province (濱江省))
Ch'ŏllyŏng Village (鐵嶺農村) (Near Ch'ŏllyŏng Station (鐵嶺驛), Pongch'ŏn Province (奉天省))
Suhwa Village (綏化農村) (Near Suhwa Station (綏化驛), Pin'gang Province (濱江省))
Samwŏnp'o Village (三源浦農村) (Near Sansŏng Town (山城鎭), Yuha County (柳河縣), Pongch'ŏn Province (奉天省))

These five villages have a total area of 11,300 *chŏngbo*, of which the actual paddy field area is about 9,200 *chŏngbo*. The number of Korean farmers settled here reaches 25,000, in 4,100 households.
...
It is said that our farmers accommodated in these Safety Villages will be allowed to become owner-farmers in the end by repaying the land price, construction costs, and all other expenses in long-term annual installments.

Anyway, here we are, hundreds of *li* across the Amnok River (鴨綠江). We rise watching the sun emerge from the far-off horizon and return home with hoes on our shoulders when the evening sun disappears again into the distant horizon. Still, it's a village where over 1,000 people live, filled with folks from all Eight Provinces.

What is most unsettling is when the north wind (朔風) blows through the treetops, and the cold winter moon shines upon the vast, desolate mountains and rivers; truly, the dreams on such nights are chaotic.<113>

**Seeking Koma Village Outside Osaka**

Where is Koma Village (高麗村)?
I want to go to Koma Village.
Beyond the distant mountain ridge,
If I follow the clouds,

Will the place where ancient ancestors lived
Be there?
With a longing heart,
Crossing ten passes,
I go to Koma Village.

Singing this song, I grabbed a walking stick (스텍기), took a car from Shinjuku outside Osaka City (大阪市), and headed towards Komagawa Station (高麗川驛). The fare was 1 *wŏn* 8 *chŏn* for third class, closer than going from Seoul (京城) to Kaesŏng (開城). Isn't the fare between Kyŏngsŏng and Kaesŏng 1 *wŏn* 15 *chŏn*? The place I reached in a couple of hours was even named Komagawa Station, making my heart pound naturally, feeling greatly moved as if returning to a long-lost nation. Then, during the reign of the 28th king, Pojang-wang (寶藏王), it was defeated and fell due to the allied forces of Silla and Tang China. At that time, the people who lost their homeland (住土) crossed the sea, sought refuge here, established a place of peaceful dwelling (安佳の地), and formed a town. In the "Shoku Nihongi" (續日本紀), in the entry for the second year of Reiki under Empress Genshō (元正天皇), it is recorded:

In the 5th month, on the day of Shinbi (辛未), 1,799 Koma people (高麗人) from the seven provinces of Suruga (駿河), Kai (甲斐), Sagami (相摸), Kazusa (上總), Shimōsa (下總), Hitachi (常陸), and Shimotsuke (下野) were moved to Musashi Province (武藏國), and Koma County (高麗郡) was established there.

From this, we know that Koma County (高麗郡) was established. At that time, a person named "Koma no Kishi Jakkō" (高麗王若光) was appointed to govern this county. Time flew by quickly, and now his descendants (孫孫) have succeeded as chief priests (祭主) of that shrine (神社), already spanning 58 generations, it is said.

I visited the shrine office (社務所) to encounter the scent (香氣) of the ancient ancestors and saw the actual objects (實物). There was what is called King Koma's sword, several Buddha statues (부처님 몇墓 - likely typo for 軀, meaning statues), 5 hammered copper plate Buddhas (銅板打出佛),<114> a mirror engraved with the seed syllable of Aizen Myōō (愛染明王), a single-pronged spear (獨槍), and besides these, manuscript copies of the Great Perfection of Wisdom Sutra (大般若沒羅蜜多經) and the genealogy of the Koma clan (高麗氏). Everything was objects that the elders of old had personally handled (어르만지시든). Unknowingly, tears welled up in my eyes. I felt a cozy (안윽한) feeling, like a wanderer (放浪兒) returning to his hometown. Now I will describe this place where our ancient ancestors lived most realistically (寫實的으로). Getting off at the station, before me lay a wide plain (平野). After walking for a while, I saw a wooded (욱어진) mountainside (산빛탈이) and looked up; this is said to be Shōden-in (聖天院). From there, I crossed the stream also called Komagawa (高麗川), and saw farmhouses dotted about, all with lush green bamboo groves.

Overall, this Koma Village (高麗村) is in a very good location (地帶). It has mountains behind it and the clean water of the Komagawa (高麗川) flowing in front. Looking at the shape of the mountains, I could see it was a natural fortress (要塞地) suitable for defense (防守하기에). In the middle of such a fine area lies the "Koma Shrine" (高麗神社) called Shōden-in (聖天院), completely enveloped in old trees (老樹). The enshrined deities (祭神) are Koma no Kishi Jakkō (高麗王若光), Sarutahiko (猿田彦), and Takenouchi no Sukune (武內宿彌). Who was Koma no Kishi Jakkō? Let's briefly delve into history.
The Koryŏ (高麗) of that time was Koguryŏ (高句麗), not the later Koryŏ that arose afterwards. The wooden plaque in the shrine's worship hall (拜殿) reads Koma Shrine (高麗神社). Koguryŏ arose from Puyŏ (扶餘), with Tongmyŏng Sŏngwang Ko Chumong (東明聖王 高朱蒙) as its founding ancestor, later moved its capital to P'yŏngyang (平壤), and then moved again to Shōden-in (聖天院). To the right of the mountain gate (山門), there is a stone pagoda called the tomb (墓) of King Koma. It is a magnificent five-story structure (五層), seven *ch'ŏk* five *ch'on* high. The base is square (四角四面), with bas-relief Buddha images (佛像半肉彫) on all four sides. This reminded me of the Five- (on page 103) story Stone Pagoda <115> in Puyŏ (扶餘) (this is a relic of the Paekche (百濟) period, called the Great Tang Pacification of Paekche Pagoda (大唐平百濟塔)). Everything looked the same (갔오이다).

Haha, it's clearly true
My ancestors came here,
Built houses, plowed fields (밧갈고), and lived.
It wasn't a lie.
When they erected that stone pagoda,
Did they know that a thousand years later, at this time,
Their descendants (則後에) would come seeking it?

Seeing with my own eyes that thousands of my ancestors lived in this fertile land (살진 땅), amidst this beautiful scenery, my heart was still overflowing with excitement as I turned back.<103>

**On the Pacific Island of Hawaii (布哇)**

By 遠洋學人 (Wŏnyang Hagin)

This is Honolulu Harbor (호놀루루港口), Hawaii (하와이). Before my eyes is the blue Pacific Ocean (太平洋). Following its waters east leads to North America (北亞米利加), and west leads to Korea (朝鮮) or China (지나). In such a place, about 1,800 of our compatriots (同胞) live together. This place is called the land of perpetual summer (常夏), and the climate is truly warm (땃뜻함니다). It never snows in winter, and even if it does, it melts immediately. Also, all kinds of fish are found in the sea, and sugar, fruits, etc., grow well in the fields. That's why people around the world all call Hawaii a paradise (樂園) on the Pacific. We, too, are fortunate to live in this paradise.

I don't have the leisure (餘裕) now to elaborately trace the history of when Koreans came to Hawaii and settled down. However, anyway (엇재든), when Koreans began migrating south during the era of the Development Companies (開發會社), some went to the United States (米國), some to Mexico (墨西哥), and a portion ended up in the Philippines (比律賓). At that time, several hundred are said to have first flocked to Hawaii. Since the Development Companies had immigration policies even before the Russo-Japanese War, a history of 40 or 50 years must have developed one way or another.

Since then, some have married American women, some have had mixed-race children, and mostly, the second generation (第二世)<116> are already young adults in their 20s and 30s, working in commerce and agriculture. Also, because they grew up in Hawaii, the compatriots here are all proficient in languages. There are many Koreans who don't know Korean, and even if they do, their accent (악센트) and pronunciation sound amusing.

There is a church (敎會) here. Initially, there was a church for Koreans run by Westerners, but as Koreans gradually gained economic strength, they broke free from Western hands and established a church run by Koreans. If there's an institution where our compatriots gather, this church is the largest. Currently, Rev. Pak Tongwŏn (朴東院氏), who was active in Seoul until a few years ago, and several others are providing guidance.

Next is the Korean school (朝鮮人학교). It's still fresh in memory that Mr. Min Ch'anho (閔찬鎬氏) and others visited the homeland a few years ago; it was founded under the leadership of Mr. Min Ch'anho and others. Currently, it teaches about 200 students (학동). Grand athletic meets are held in spring and autumn. At these times, many mothers (母매님네들이) come and enjoy themselves all day, much like a garden party.

The Korean town (朝鮮人市街) in Honolulu is not as large as Chinatown (中國人街). However, they naturally live clustered together on the streets, and the buildings are quite respectable. The standard of living is high, many have received education in an orderly manner (질서있게), and prominent figures like Mr. Sin Hŭng'u (申興雨氏) and other visitors heading to the United States often stop here for a day or two, or even just an hour. At such times, we take great pleasure (樂) in hearing news about Korea from their lips.

Photo on the previous page shows a hall where many Koreans gather. Top of this page shows Mr. Kim Kyu* (金奎*) visiting the main island, with compatriots staying behind on the left.<117>

**Summary**

This multi-part travelogue from 1937 describes visits to three distinct Korean communities abroad: an agricultural settlement in Yingkou, Manchuria, established post-Manchurian Incident; Koma Village near Osaka, Japan, founded by ancient Koguryŏ refugees; and the Korean community in Honolulu, Hawaii, formed through early 20th-century emigration. The articles highlight the Koreans' efforts to build new lives through farming (Manchuria), connect with ancient heritage (Japan), and establish community institutions like churches and schools while adapting to new environments (Hawaii). From a historical perspective, the articles offer valuable contemporary glimpses into the diverse experiences of the Korean diaspora during the Japanese colonial period. They reveal Japanese colonial policies promoting agricultural settlement in Manchuria ("Safety Villages"), the deep historical roots of Korean presence in Japan traced back to ancient kingdom refugees, and the establishment and adaptation of Korean communities in the West, including interactions with prominent figures and concerns about cultural/linguistic continuity among the second generation.

**Named Entities**

營口	영구	Yŏnggu
安全農村	안전농촌	Anjŏn Nongch'on (Safety Village)
奉天省	봉천성	Pongch'ŏn-sŏng
朝鮮	조선	Chosŏn
遼河	요하	Yoha
遼東灣	요동만	Yodong-man
滿洲	만주	Manju
半島	반도	Pando (Korean Peninsula)
黃海道	황해도	Hwanghae-do
較載寧	교재녕	Kyojŏnyŏng
全羅道	전라도	Chŏlla-do
穀鄕	곡향	Kokhyang
滿洲國	만주국	Manjuguk (Manchukuo)
河東農村	하동농촌	Hadong Nongch'on
濱江省	빈강성	Pin'gang-sŏng
烏吉密河驛	오길밀하역	Ugimiha-yŏk
鐵嶺農村	철령농촌	Ch'ŏllyŏng Nongch'on
鐵嶺驛	철령역	Ch'ŏllyŏng-yŏk
綏化農村	수화농촌	Suhwa Nongch'on
綏化驛	수화역	Suhwa-yŏk
三源浦農村	삼원포농촌	Samwŏnp'o Nongch'on
柳河縣	유하현	Yuha-hyŏn
山城鎭	산성진	Sansŏng-jin
鴨綠江	압록강	Amnokkang
松花江人	송화강인	Songhwagang-in
大阪市	오사카시	Osaka-shi
高麗村	고마무라	Koma-mura
高麗川驛	고마가와역	Komagawa-eki
開城	개성	Kaesŏng
京城	경성	Kyŏngsŏng (Seoul)
寶藏王	보장왕	Pojang-wang
續日本紀	쇼쿠니혼기	Shoku Nihongi
元正天皇	겐쇼 덴노	Genshō Tennō
駿河	스루가	Suruga
甲斐	가이	Kai
相摸	사가미	Sagami
上總	가즈사	Kazusa
下總	시모사	Shimōsa
常陸	히타치	Hitachi
下野	시모쓰케	Shimotsuke
武藏國	무사시노쿠니	Musashi no kuni
高麗郡	고마군	Koma-gun
高麗王若光	고마노키시 자코	Koma no Kishi Jakkō
神社	진자	Jinja
社務所	샤무쇼	Shamusho (Shrine Office)
聖天院	쇼덴인	Shōden-in
高麗川	고마가와	Komagawa
高麗神社	고마진자	Koma Jinja
猿田彦	사루타히코	Sarutahiko
武內宿彌	다케노우치노 스쿠네	Takenouchi no Sukune
高句麗	고구려	Koguryŏ
扶餘	부여	Puyŏ
東明聖王 高朱蒙	동명성왕 고주몽	Tongmyŏng Sŏngwang Ko Chumong
平壤	평양	P'yŏngyang
百濟	백제	Paekche
大唐平百濟塔	대당평백제탑	Taedang P'yŏng Paekche T'ap
太平洋	태평양	T'aep'yŏngyang
布哇	포와	P'owa (Hawaii)
하와이	하와이	Hawaii
호놀루루港口	호놀루루 항구	Honolulu Han'ggu (Honolulu Harbor)
北亞米利加	북아메리카	Puk Amerika (North America)
지나	지나	China
開發會社	개발회사	Kaebal Hoesa (Development Company)
米國	미국	Miguk (USA)
墨西哥	멕시코	Meksik'o (Mexico)
比律賓	필리핀	Pillyup'in (Philippines)
敎會	교회	Kyohoe (Church)
朴東院氏	박동원씨	Pak Tongwŏn-ssi
朝鮮人학교	조선인학교	Chosŏnin Hakkyo (Korean School)
閔찬鎬氏	민찬호씨	Min Ch'anho-ssi
中國人街	중국인가	Chunggugin'gae (Chinatown)
申興雨氏	신흥우씨	Sin Hŭng'u-ssi
遠洋學人	원양학인	Wŏnyang Hagin
金奎*	김규*	Kim Kyu*

**Glossary**

이외다	입니다	is/am/are (formal polite ending; older form of 입니다)
함니다	합니다	do/does (formal polite ending; older form of 합니다)
떠러저	떨어져	being distant from; separated from (older spelling)
町步	정보	a unit of land area (approx. 2.45 acres or 9917 sq meters)
實耕面積	실경면적	actual cultivated area
作付面積	작부면적	cultivated area; area under cultivation
1反步當	1단보당	per *tanbo* (*tanbo* is a unit of area, about 0.245 acres)
年賦償還金	연부상환금	annual installment repayment amount
일구어	일궈	to cultivate; to reclaim (land)
干瀉地	간사지	tidal flat; reclaimed land from the sea
니미	이미	already (older spelling)
나종날	나중날	in the end; later days (older form of 나중)
호미메고	호미 메고	carrying a hoe on the shoulder
도라옴니다	돌아옵니다	return (formal polite; older spelling/form)
너르나 너른	넓으나 넓은	wide and vast (older spelling/form)
비쵤 때에	비출 때에	when it shines upon (older spelling)
차저	찾아	seeking; looking for (older spelling)
스텍기	스틱	walking stick (loanword from English 'stick')
각가웁습니다	가깝습니다	is close/near (formal polite; older spelling)
일름조차	이름조차	even the name (older spelling)
두군거리며	두근거리며	pounding; palpitating (heart) (older spelling)
住土	주토	dwelling place; homeland
安佳의 地	안가지	place of peaceful dwelling (likely read in Japanese as *anka no chi*)
식혀	시켜	making someone do; appointing (causative, older spelling)
발너	빨라	fast; quick (older spelling)
孫孫	손손	descendants; grandchildren
어르만지시든	어루만지시던	(the things that) elders used to touch/handle (honorific, older form)
고입데다	고입니다	(tears) well up (dialectal/older form of 고입니다)
放浪兒	방랑아	wanderer; vagabond
안윽한	아늑한	cozy; snug (older spelling)
늣김	느낌	feeling; sensation (older spelling)
욱어진	우거진	wooded; overgrown (older spelling)
산빛탈이	산비탈이	mountainside; slope (older spelling)
흘느는데	흐르는데	(water) flows (older spelling)
防守하기에	방수하기에	suitable for defense
要塞地	요새지	natural fortress; strategic point
노여 있는데	놓여 있는데	is placed; is situated (older spelling)
싸여 있읍데다	싸여 있습디다	was enveloped; was surrounded (older spelling/form)
뒤저 봅시다	뒤져 봅시다	let's look into; let's investigate (older spelling)
옴겨	옮겨	moving (older spelling)
갔오이다	같소이다	is the same (formal, older form of 같소이다/같습니다)
밧갈고	밭 갈고	plowing a field (older spelling)
살었음이	살았음이	the fact that (they) lived (older spelling)
則後에	즉후에	descendants (archaic term, lit. 'following generations')
살진	살찐	fertile; rich (soil); plump
同胞	동포	compatriot; fellow countryman
땃뜻함니다	따뜻합니다	is warm (formal polite; older spelling)
엇재든	어쨌든	anyway; in any case (older spelling)
當철에	당초에	at the beginning; initially (older form of 당초)
처윰	처음	first; beginning (older spelling)
만코	많고	many; much (older spelling/form)
악센트	액센트	accent (loanword)
모히는	모이는	gathering; meeting (older spelling)
버서나	벗어나	breaking free from; escaping
멫 해	몇 해	several years (older spelling)
압장서서	앞장서서	taking the lead; leading (older spelling)
학동	학동	school children (traditional term)
母매님네들이	어머님네들이	mothers (honorific plural, older form)
만히	많이	many; much (older spelling)
밧은	받은	received (older spelling)
각금	가끔	sometimes; occasionally (older spelling)
들너	들러	stopping by; dropping in (older spelling)
이약이를	이야기를	story; talk (older spelling)
듯는	듣는	hearing; listening (older spelling)
樂	낙	pleasure; joy


---------------------------


잡지명	삼천리 제9권 제1호
발행일	1937년 01월 01일
기사제목	天涯萬里에 建設되는 同胞村
기사형태	기행문

天涯萬里에 建設되는 同胞村
朔風부는 營口에

松花江人
여기는 奉天省 營口의 「安全農村」이외다. 營口市에서 朝鮮里數로 35里쯤 떠러저 있는 곳이외다. 이 곳의 면적으로 말하면 제 1농촌이 2,956町步, (水田實耕面積 2477町步)요, 제2농촌은 2400町步외다. 이 一帶는 저 有名한 遼河강물이 흘너가는 附近으로 南西部에는 遼東灣에 마조 안저있는 一望無際한 干瀉地로서 將來에는 總面積 6,000町步(實耕水田4,800町步)가 되리라 하는데 압흐로는 이 農村에만 2,200戶에 11,000人의 農民을 收容할 計劃이라 함니다.
조곰 더 數字를 羅列하는 것을 용서하서요. 昨年 1年의 實績을 보면 1,350戶 農家의 作付面積이 2,477町步로 42,000여 石의 벼 추수를 하였스니 1反步當 平均 1石1斗 3升이었슴니다.
收支는 이러함니다. 農民1戶當으로 보면 作付面積을 2町4反步라 하고 그 收入 593圓 60錢, 支出이 420圓이며 差引利益이 173萬 60錢, 그 가운데서 年賦償還金이 122圓 70錢을 除하고나면 純利益이 50圓 90錢이 되옵니다.<112>
어데로 가나 朝鮮사람은 水田을 일구어 놓는 데에 天才가 있다 하야 干瀉地일구는데나, 논을 푸는데는 반드시 우리들 朝鮮農民이 앞장을 섬니다. 그 結果가 매우 좋읍니다. 아마 滿洲의 벌판에 있는 땅은 한해 두해 지나가는 사이에 朝鮮 사람 손으로 모다 一望無際한 논바닥이 되여 半島의 黃海道 較載寧 나머 네벌이나 全羅道 穀鄕벌같이 될 것이외다.
그런데 至今 滿洲國 一帶에 朝鮮 사람이 얼마나 드러가 있는가하면 確實한 統計에는 83萬名이라 하지만 아마 實相은 120萬名도 더 넘을 것이외다.
滿洲事變後 各 處에 安全農村이 작고 서고 있는데 니미 된 것만 우리가 있는 이 營口農村과
河東農村 (濱江省 烏吉密河驛附近)
鐵嶺農村 (奉天省 鐵嶺驛附近)
綏化農村 (濱江省 綏化驛附近)
三源浦農村 (奉天省 柳河縣 山城鎭附近)
의 다섯 農村이 있는데 그 農村의 全面的 이 11,300町步요, 그 중 實 水田面積이 약 9,200町步요, 여기에 收容되여 있는 朝鮮農民 數가 25,000名이요, 그 戶數가 4,100戶에 달하고 있읍니다.
...
이 安全農村에 收容된 우리들 農民은 適當한 時期에 土地代, 工事費, 其他 一切의 모든 費用을 長期間을 두고 年賦還償을 식히게 하야 나종날 自作農이 되게 한다고 함니다.
아무튼 여기는 鴨綠江을 건너서도 數百里, 먼- 地平線에서 솟는 해 바라보며 이러나되 다시 먼- 地平線으로 夕陽이 사라질 때 호미메고 다시 집에 도라옴니다. 그래도 1,000여名이 사는 마을이라, 여기에는 八道 온갓 곳에서 온 百姓들로 가득함니다.
가장 心散한 것은 나무끗에 朔風이 불고, 찬 겨울달이 너르나 너른 曠莫한 山川을 비쵤 때에 참으로 그날 밤의 꿈은 어지럽더이다.<113>

大阪市外에 高麗村차저

高麗村 어드메냐
高麗村 가고지고
저멀니 산허리너머
구름따라 가보면,

옛조상 사든곳이
거기에 있아올가
그리운 마음에
열고개너머
高麗村 가-네

나는 이러한 노래를 부르면서 스텍기 하나 집고, 大阪市外 新宿서 차 타고, 高麗川驛으로 향하여 갔음니다. 車費는 3等에 1圓 8錢이니, 서울서 開城가기만도 못하게 각가웁습니다. 京城開城間이 1源15錢이 아니오니까, 두어시간만에 다다른 곳이 일름조차 高麗川驛이라 저절로 가슴이 두군거리며 마치 멀니 길 떠나 있든 國勢가 대단히 떨리었음니다. 그러다가 第28代 寶藏王때에 新羅와 唐나라의 聯合軍때문에 敗하여 亡하고 말었는데, 그 때 住土를 일흔 백성들은 바다를 건너 이 곳으로 차저와서 여기에 安佳의 地를 정하고 한 邑을 이루었으니 「續日本紀」의 元正天皇의 靈龜二年이란 史記에
5月, 辛末, 以駿河甲斐相摸上總下總常陸下野七國高麗人一七九九人遷于武藏國置高麗郡焉.

