잡지명	동광 제10호
발행일	1927년 02월 01일
기사제목	規模의 人 - 尹致昊씨 (A Man of Scale - Mr. Yun Ch'i-ho)
필자	李光洙
기사형태	회고·수기 (Reminiscence/Memoir)

A Man of Scale - Mr. Yun Ch'i-ho
						Yi Kwang-su

I recall first seeing Mr. Yun 23 years ago from now. At that time, I was a 14-year-old boy, and he was a middle-aged gentleman of about 40. At the time, he held the position of *Oebu Hyŏpp'an* (外部協判, Vice Minister of Foreign Affairs) for Korea and was on his way back from America when he came to the private school where about 20 of us students were preparing for enrollment. Back then, I had resolved that after finishing my studies, I would first become the Minister of Education and then the Prime Minister, so I didn't regard a mere Vice Minister of Foreign Affairs as particularly great, only seeing him as someone short whose glasses gleamed intensely. "They say he speaks eight languages," one classmate exclaimed in admiration, as if he knew best. Among those, I heard praise that his English was even better than a Westerner's.

Mr. Yun indeed possesses a special talent for languages. I don't know which eight languages were referred to, but as far as I know, his English was such that he interpreted between the Great Monarch and the British and American ministers starting from the Kapsin Coup led by Kim Ok-kyun. Also, being a graduate of Emory University in America, it goes without saying. He was proficient enough in Chinese to consider marrying a Chinese woman, or perhaps because he did so, his Chinese is beyond question. He was originally good at Japanese, but he became even more fluent during the time he was dragged through the courts for the alleged plot to assassinate the Governor-General. It is said he mastered French while imprisoned in Taegu Prison for the same incident. Thus, apart from Korean, his fluency in English, Japanese, Chinese, and French—four languages—is certain.

However, Mr. Yun Ch'i-ho's fame, of course, does not stem from his linguistic abilities, nor from being the son of Yun Ung-nyŏl, the Minister of War (兵曹判書) whose influence was formidable during his prime. It's not because he was the founder of the Southern Methodist Church based in Songdo and its affiliated enterprises, nor due to his wealth, said to yield over 7,000 *sŏk* (石) of rice harvest annually. He is famous as a fighter during the Independence Club era and as the manager of the *Tongnip Sinmun* (獨立新聞, The Independent), whose chief editor at the time was Sŏ Chae-p'il.

At that time, Mr. Yun was an enlightened youth (開化黨) in his early 30s with a Western education, and Mr. Sŏ Chae-p'il was a comrade and close friend of the same age and similar aspirations (志趣).
However, due to the disturbance involving the Min clan's peddlers (褓負商), the Independence Club was shattered, and its comrades scattered, some imprisoned (刑獄), others exiled (亡命).

After that, Mr. Yun entered government service, starting as the supervisor (監理) in Wŏnsan and later becoming the Vice Minister of Foreign Affairs. After the Protectorate Treaty, he devoted himself entirely to the church and educational work. It is certain that the primary reason he became implicated in the Governor-General assassination plot was his withdrawal from government service. Mr. Yun, whose spirit resonated with Mr. An Ch'ang-ho (志氣相通), became the founding chairman of the Ch'ŏngnyŏn Haguhoe (靑年學友會, Young Men's Study Association) and the principal of Taesŏng School (大成學校) in P'yŏngyang. The Ch'ŏngnyŏn Haguhoe was the detached force (別動隊) of the Sinminhoe (新民會, New People's Association), arguably Korea's first <8> most organized political society, and Taesŏng School in P'yŏngyang was the primary project and headquarters for the educational revitalization aspect, one of the Sinminhoe's three major initiatives (political association, industrial promotion, educational promotion). Being recommended as the leader for such endeavors became the second reason he was implicated as the ringleader (首謨者) in the plot to assassinate Governor-General Terauchi.

Upon his release from Taegu Prison, Mr. Yun delivered a lecture titled "Awakening at Fifty" (50而覺) at the YMCA Hall (靑年會館) in Chongno. Although I did not hear the lecture directly, its gist was reportedly: "Rash actions bring us no benefit. Only strength can save Korea; strength comes from the moral and intellectual cultivation of the youth, and thereafter from steady efforts in education and industry." This caused great dissatisfaction among the youth of the time, who were extremely politically agitated and held radical tendencies. The disappointment among the youth was as great as their expectations of him had been.

After this lecture, Mr. Yun led an even more reclusive (隱遯的) life. However, he is by no means someone who would forget the welfare of Korea. Even while living reclusively, he has continuously strived for Songdo Higher Common School (松都高普), Hosudŏn Girls' Higher Common School (好壽敦女高普), and the YMCA.

Nevertheless, the general sentiment among the youth towards him remained one of dissatisfaction. They criticized him as someone who, despite having the reputation, talent, wealth, and position to do greater things, indulged only in personal comfort and forgot worldly affairs. I was one such person.

Then, during the Kimi Year (1919), while I was wandering in Shanghai, I met Mr. An, Mr. Yun's former comrade.
"Although Yun may be a cautious, conservative figure (守成의 人物), I firmly believe in his will (志) and sincerity (誠) to love Korea and work for Korea," he repeatedly emphasized. Hearing this, I and others who heard him regained respect and consideration for Mr. Yun.

From that time on, I developed a kind of curiosity to know more about Mr. Yun and, since returning to Korea, have tried to understand his thoughts and personality. Being naturally disinclined to visit others, I have only visited him once at his residence in Kongp'yŏng-dong, otherwise merely exchanging a word or two upon encountering him at meetings or on the street. However, during this time, I gained various insights about him.

First, he always carries some book. Second, on Saturdays, he takes his wife and children to dine at the YMCA restaurant. Third, on Sundays, he attends church services (宗橋 禮拜堂). Fourth, when his young child is sick, unless it's serious, he never calls a doctor but personally carries the child to the hospital; the only times he rides a rickshaw are when carrying a sick child and when going from Kaesŏng Station to his North Village (北村) home; otherwise, he walks. Fifth, on rainy days, he wears long boots and carefully picks his way across dry ground to avoid splashing mud. Sixth, he rarely wears Western clothes, but even with Korean attire, he always wears a Western-style overcoat. Seventh, even for sums of 2 or 3 *wŏn*, he invariably uses a bank check. Eighth, in his vest pocket, he keeps a knife with a wooden handle and sheath, its handle tied with a cord, along with his watch chain, key chain, wallet chain, notebook cord, and handkerchief cord (?), all securely fastened askew through a buttonhole of his vest <9>. And so on, and so on.

The points listed above are facts I have witnessed on various occasions, and I trust that astute readers can sufficiently infer an aspect of his character from these alone.
However, if I were to stop after merely providing the readers with the above facts, I feel I would not be doing justice (쩌스티쓰) to Mr. Yun. Therefore, I believe it necessary to also list facts I have heard from reliable sources.

First. It is said that Mr. Yun strictly budgets for his household annually, monthly, and weekly. For example, his eldest son, Yŏng-sŏn, an agricultural science graduate from America (米國 農學士), receives 200 *wŏn* per month. This covers the living expenses for the son, his wife, and children, and also includes Mr. Yun's lunch expenses when he stays in Songdo, where his son-in-law (春府) resides. Furthermore, income from Yŏng-sŏn's ranch, apiary, and management of the Songdo High Weaving Factory naturally goes into the family's general account. The weekly dinner at the YMCA is, of course, included in the budget.

Second. Mr. Yun annually assists several students studying in America with travel and tuition fees, but the conditions are interesting:
(1) The student must be studying theology, science, or practical industry (實業).
(2) The student must have secured more than half of the travel or tuition fees.
(3) The student must not beg (哀乞).
The reasons given are: (1) Koreans must first learn how to make a living. (2) Those who do not exert their own utmost effort and instead rely unreasonably on others have no future prospects (將來之望). (3) Those lacking the self-respect (自尊心) to beg, bowing 100 or 1,000 times, cannot become significant figures. Mr. Yun's sons also all majored in agriculture.

Third. It is said that Mr. Yun reads through all sorts of periodicals and newly published books issued in Korean. About ten years ago, I saw an essay I had published in a certain magazine (about Korean Christianity) translated and published in an English-language magazine, and furthermore, he had written a rebuttal to it. From this, I understood Mr. Yun's "respect for others' opinions," and it is said he approaches the writings of young juniors with this attitude.

Fourth. He invariably takes a walk before meals (食前 散步) and meticulously follows scientific and regular patterns in diet (飮食), lodging (居處), labor (勞役), and rest (休息), making him an astonishing hygienist (衛生家). His mental and physical health (心身의 健康), which makes him look barely over 50 rather than his unbelievable 64, is said to stem from this.

Fifth. He deeply loves promising juniors (有爲한 後輩), to the point of showing them respect (尊敬). And so on, and so on.

I have not drawn any conclusions (斷案) about Mr. Yun's character above, intending to leave that to the reader's own judgment (判斷).
"He's weak (弱해서)."
This is a common assessment of Mr. Yun. It means he has the intention to act but cannot due to weakness (弱して) and fear (㤼). However, during his time as supervisor (監理) in Wŏnsan, it is said he arrested a Westerner and had him flogged (볼기를 때리었다), for which the people of Wŏnsan still praise him as the "strong-boned supervisor" (硬骨監理). Whether the strong principles (硬骨) of his youth have truly softened (軟化) or not, we can only wait to see in the future. I will just add one word (一言): I believe Mr. Yun will yet have "his day" again.

Do not seek to live long, but to live well. Measure not the length of life (生命) by years (歲月), but by deeds (事業).
- Watkins -<10>

**Summary**

Yi Kwang-su reminisces about Yun Ch'i-ho, a prominent Korean figure known for his complex history involving the Independence Club, government service, educational work, and imprisonment related to an alleged assassination plot. Yi initially viewed Yun critically after Yun's post-prison lecture advocating gradual self-strengthening over radical action. However, Yi's opinion softened after hearing An Ch'ang-ho vouch for Yun's patriotism. Yi then details Yun's meticulous, disciplined, and somewhat eccentric personal habits (linguistic talent, regular routines, careful budgeting, specific conditions for supporting students) and notes his reputation for being "weak" despite past instances of firmness. Yi concludes by expressing belief that Yun may yet play a significant role again. From a historical perspective, the article offers a contemporary (1927) view of Yun Ch'i-ho by a major intellectual figure, Yi Kwang-su, revealing the debates and disillusionment surrounding formerly radical figures adapting to colonial realities. It highlights the tension between gradualist self-strengthening advocated by figures like Yun and the more impatient or radical sentiments among younger Koreans, providing insight into the differing strategies within the nationalist movement during the 1920s. Yi's personal observations also paint a vivid picture of Yun's daily life and character.

**Named Entities**

尹致昊	윤치호	Yun Ch'i-ho
李光洙	이광수	Yi Kwang-su
韓國	한국	Korea
米國	미국	United States
金玉均	김옥균	Kim Ok-kyun
英	영	Britain
米	미	America
에모리大學	에모리대학	Emory University
中國	중국	China
總督	총독	Governor-General
大邱	대구	Taegu
朝鮮	조선	Korea (Chosŏn)
尹雄烈	윤웅렬	Yun Ung-nyŏl
松都	송도	Songdo (Kaesŏng)
南監理敎會	남감리교회	Southern Methodist Church
獨立協會	독립협회	Independence Club
徐載弼	서재필	Sŏ Chae-p'il
獨立新聞	독립신문	Tongnip Sinmun (The Independent)
閔씨	민씨	Min clan
元山	원산	Wŏnsan
安昌浩	안창호	An Ch'ang-ho
靑年學友會	청년학우회	Ch'ŏngnyŏn Haguhoe (Young Men's Study Association)
平壤	평양	P'yŏngyang
大成學校	대성학교	Taesŏng School
新民會	신민회	Sinminhoe (New People's Association)
寺內 總督	데라우치 총독	Governor-General Terauchi (referring to Terauchi Masatake)
鍾路	종로	Chongno
靑年會館	청년회관	YMCA Hall (Ch'ŏngnyŏn Hoegwan)
松都高普	송도고보	Songdo Higher Common School
好壽敦女高普	호수돈여고보	Hosudŏn Girls' Higher Common School
基督敎靑年會	기독교청년회	YMCA (Christian Youth Association)
上海	상해	Shanghai
公平洞	공평동	Kongp'yŏng-dong
開城驛	개성역	Kaesŏng Station
北村	북촌	North Village (Pukch'on)
永善	영선	Yŏng-sŏn (Yun Yŏng-sŏn, Yun Ch'i-ho's son)
松高織工場	송고직공장	Songdo High Weaving Factory (likely associated with Songdo Higher Common School)
왓킨쓰	왓킨스	Watkins

**Glossary**

外部協判	외부협판	Vice Minister of Foreign Affairs (historical title)
붙어	부터	From (older spelling)
잇는	있는	Being, existing (older spelling)
맞후고	마치고	Finishing, completing (older spelling)
하였던 고로	하였던고로	Because (I) had done (older grammatical form)
만콤	만큼	As much as, to the extent that (older spelling)
及其	및 그	And its
이요	이고	And is/being (older form)
齒齡	치령	Age (Sino-Korean term)
志趣	지취	Inclination, aspiration, purpose (Sino-Korean term)
褓負商	보부상	Peddler, pack merchant (historical term)
刑獄	형옥	Imprisonment (Sino-Korean term)
亡命	망명	Exile, seeking refuge abroad (Sino-Korean term)
投身하였다	투신하였다	Devoted oneself to
志氣相通하여	지기상통하여	With spirits communicating/resonating (Sino-Korean phrase)
別動隊	별동대	Detached force, special unit
本據	본거	Headquarters, base
首謨者	수모자	Ringleader, chief plotter
듯지	듣지	Hear (older spelling)
救濟할 者	구제할 자	One who will save/rescue
크었던 이만콤	컸던 이만큼	As much as it was big (combined older spelling/form)
隱遯的	은둔적	Reclusive, hermitic
결ㅎ고	결코	Never (older spelling, using ㅎ ending)
쑤 있는	수 있는	Can do (older spelling/form)
耽하여	탐하여	Indulging in
일찌언정	일지언정	Even though (it is)
志와 誠	지와 성	Will and sincerity
듯고	듣고	Hearing (older spelling)
원악	워낙	Naturally, by nature (older spelling)
일쯕	일찍	Early (older spelling)
交할	교할	To exchange
다리고	데리고	Taking (someone) along (older spelling)
얘가	애가	Child (colloquial, older spelling)
곪아	골라	Choosing, selecting (here: picking dry spots)
좀처름	좀처럼	Rarely, seldom (older spelling)
빗그러 매어	비스듬히 매어	Tied askew/diagonally
臚列한	나열한	Listed, enumerated (Sino-Korean term)
聰明하신	총명하신	Wise, intelligent (honorific)
足히	족히	Sufficiently, enough
斟酌하리라고	짐작하리라고	Will guess/infer
다	그만두다	To stop, quit (obsolete verb form)
쩌스티쓰	저스티스	Justice (English loanword transliteration)
豫算	예산	Budget
春府	춘부	Father-in-law (respectful term)
當然히	당연히	Naturally, of course
年年	연년	Year after year
旅費와 學費	여비와 학비	Travel expenses and tuition fees
補助한다는데	보조한다는데	(It is said that) helps/assists
哀乞하지	애걸하지	To beg, implore pitifully
爲先	우선	First of all, primarily
將來之望	장래지망	Future prospects (Sino-Korean term)
自尊心	자존심	Self-respect, pride
幹行되는	간행되는	Being published/issued
定期刊行物	정기간행물	Periodical publication
新刊書	신간서	Newly published book
通讀한다고	통독한다고	(It is said that) reads through
譯載하고	역재하고	Translating and publishing
反駁文	반박문	Rebuttal, counter-argument
尊重함	존중함	Respecting (noun form)
食前 散步	식전 산보	Pre-meal walk
飮食, 居處, 勞役, 休息	음식, 거처, 노역, 휴식	Food, lodging, labor, rest
規則的으로	규칙적으로	Regularly, methodically
衛生家	위생가	Hygienist, person meticulous about hygiene
만콤	만큼	As much as (older spelling)
넘을락 말락	넘을락 말락	Barely over, just about
여긔서	여기서	From here (older spelling)
有爲한 後輩	유위한 후배	Promising/capable junior
斷案	단안	Judgment, conclusion
弱해서	약해서	Because (he is) weak
㤼	겁	Fear (Hanja used phonetically or for meaning)
붓들어다가	붙들었다가	Having caught/arrested
볼기를 따리었다	볼기를 때리었다	Struck the buttocks, flogged (older spelling)
硬骨監理	경골 감리	Strong-boned/principled supervisor
稱頌	칭송	Praise, acclaim
壯年 時	장년 시	Prime of life, middle age
軟化하여	연화하여	Having softened
一言	일언	One word
좋이	좋게/잘	Well (older adverbial form)
生命	생명	Life
長短	장단	Length
歲月	세월	Time, years
定하지	정하지	To decide, determine
事業	사업	Deed, work, enterprise


---------------------------


잡지명	동광 제10호
발행일	1927년 02월 01일
기사제목	規模의 人 - 尹致昊씨
필자	李光洙
기사형태	회고·수기

規模의 人 - 尹致昊씨
						李光洙
내가 氏를 처음 본 것은 지금붙어 23年 前이라고 기억한다. 그 때에 나는 14歲의 少年, °는 40歲 가량의 中年 紳士였다. 當時 韓國임 外部協判으로 米國으로 돌아오는 길이라 하여 우리 留學生 20餘 名이 入學準備하고 잇는 私塾에 오았을 제다. 그 때에 나는 學業을 맞후고 가면 爲先 學部大臣을 하고 다음에는 總理大臣을 하려고 결심하였던 고로 外部協判쯤을 그리 크게는 보이지 아니 하였고 다만 키가 적고 眼鏡이 몹시 번적거리는 이라고만 보았다. 『저이가 八國말을 한 대』
하고 어느 동무가 가장 잘 아는 듯이 驚嘆의 語를 發하였다. 그 중에도 英語는 洋人보다도 더 잘 한다고 칭찬하는 말을 들었다.
氏는 과연 語學에 特別한 天才가 있는 이다. 8國語는 무엇 무엇을 가리친 것인지 모르지마는 筆者가 아는 限에서도 英語는 甲申年 金玉均 革命 때붙어 大君主와 英, 米 公使 사이에 通譯을 하였다 하고 또 米國 에모리大學 出身이니까 말할 것도 없지마는 中國 여자를 夫人으로 삼으리 만콤, 또 혹은 그리 하였기 때문에 漢語는 말할 것도 없고 日語는 본래도 잘 하였으나 總督 暗殺陰謀事件으로 裁判所에 끌리어 다니는 동안에 더욱 熟達하였고 法語는 同 事件으로 大邱監獄에 在監한 동안에 通하였다 하니 朝鮮語를 除하고 英, 日, 漢, 法 4個 國語를 能通하는 것은 確實하다.
그러나 尹致昊씨가 有名한 것은 물론 語學으로가 아니요 또 그가 한창적 서슬이 푸르던 兵曹判書 尹雄烈씨의 아들으로도 아니요 또 松都를 根據로 한 南監理敎會 及其 附帶事業의 創建者로도 아니요, 또는 每年 秋收 7,000石을 넘긴다는 그의 財産으로도 아니요 그가 有名하기는 獨立協會 때의 鬪士로 當時 徐載弼을 主筆로 한 獨立新聞의 經營者로이다.
그 때에 氏는 30歲 內外의 西洋敎育을 받은 靑年 開化黨이었었고 徐載弼씨는 그와 같은 齒齡, 같은 志趣의 同志요, 親友였었다.
그러나 閔씨네 褓負商바람에 獨立協會는 부서지고 그 同志이던 이는 혹은 刑獄에 혹은 亡命에 四散하여 버리고 말았다.
그 후 氏는 元山 監理를 筆頭로 外部協判을 지나기까지 官界의 人이 되었다. 保護條約 以後에는 全然히 敎會와 敎育事業에 投身하였다. 氏가 總督 暗殺 陰謀事件에 걸린 것도 官界를 물러난 것이 第1 原因인 것은 물론이다. 氏는 安昌浩씨와 志氣相通하여 靑年學友會의 設立 委員長이 되고 平壤 大成學校의 校長이 되었었다. 靑年學友會는 朝鮮 最初의＜8＞ 가장 組織的인 政治的 結社라 할만한 新民會의 別動隊였었고 平壤 大成學校는 新民會의 3大 事業(政治的 結社, 産業振興, 敎育振興)의 하나인 敎育事業의 第 1期 事業이요 아울러 本據였었다. 이러한 事業에 首腦로 推薦된 것이 둘째 理由가 되어 寺內 總督 暗殺 陰謀事件에도 首謨者로 걸리었던 것이다.
