**Header Section:**
Magazine Title: 삼천리 第五卷 第九號
Publication Date: 1933년 09월 01일
Article Title: 英國汽船 船長 申君, 大西洋航行의 優秀船 船長으로 (British Steamer Captain Mr. Sin, as Captain of an Excellent Ship on the Atlantic Route)
Author: Not specified
Article Type: 소식 (News/Report)

**Body Text Translation:**
British Steamer Captain Mr. Sin, as Captain of an Excellent Ship on the Atlantic Route
The Great Spirit of a Korean Man Expressed
Navigation Calliage
This is Britain's top merchant marine academy. Do you all know Mr. Sin Sŏngmo (申性模), who graduated from this Merchant Marine School and is serving as the captain of the excellent ship, the MG Maru, owned by the major shipping company "Ppuryugŭ, Wana" (뿌류그, 와나) in London?

That ship is a 10,000-ton class vessel, an excellent passenger ship that regularly sails the Atlantic (太西洋). Occasionally, perhaps once every few years, it takes the London-Yokohama route and visits the East (東洋).
A Korean man, Mr. Sin, sailing across the waves of the Pacific and Atlantic as the captain of a large ship belonging to a British company, the pride of the world. This name must surely deliver a very pleasing melody to our ears.
What kind of person is he?

About ten years ago, there was a Korean youth who graduated with excellent results from the Chinese Naval Academy (中國海軍士官學校). He was one of the brilliant talents whom Sun Wen (孫文) highly praised. A Naval Academy! Doesn't that path itself already strike us as unexpected?
Then came 1918. He took off his naval officer's uniform and rushed busily through the wide streets of Shanghai (上海), finding them too narrow, just as all the residents seemed to do in those times!
He experienced many hardships here and there. Accordingly, the deeds accomplished by his own hands shone in various ways.
However, the storm passed. Watching all this unfold, he resolutely made up his mind about something. When the moonlight sank and shattered on the waters of the Huangpu Bund (黃浦灘), he went unnoticed to the Shanghai Pier (上海埠頭) and boarded an Italian (伊太利) steamer bound for Europe (歐羅巴).
That man was Mr. Sin Sŏngmo (申性模).

He went to London and studied while working hard. Thousands of miles away in a foreign land, studying diligently among foreign students, he faced many unknown persecutions and hardships. Upon arriving in London, he was first busy preparing foundational knowledge, then entered the London Merchant Marine School (倫敦商船學校). This Merchant Marine School is a renowned institution, counted among the best in all of Europe (全歐羅巴)—perhaps the best in the world. Its difficult entrance exam is famous throughout Britain (全英國).
He completed the six years of coursework and practical training without being overshadowed in the slightest by students from other countries. Brilliant students from Britain, America, France, and Germany gather at this school. Among these talents, the Korean youth raised Korea's reputation (聲價).
Everyone was astonished.
He received his glorious graduation certificate. He wept at the London Docks (倫敦埠頭). Students from other countries would return to their homelands and become government shipbuilding engineers, build warships... But where was Sin's path?
After tearfully bidding farewell to his classmates from various nations, he turned back and hid his lonely shadow in the foggy streets of London.
The "Ppuryugŭ Wana" (뿌루그·와나) Merchant Shipping Company is as famous as the Ōsaka Shōsen (大阪商船) or the Nippon Yūsen Kaisha (日本郵船會社). In Britain, Ppuryugŭ Wana and the "Hwait'ŭssisŭt'ŏ" (화잇씨스터) company are the most famous.
Hearing of his brilliant reputation, this famous Ppuryugŭ Wana company invited Mr. Sin Sŏngmo with generous terms and humble entreaties (厚弊低辭). At first, he served as the Chief Officer (즉 일등운전사), the captain's second-in-command, on the MG Maru. Then, owing to his truly amazing character and talent (才操), he soon (未幾) became the captain.
The young captain, cutting through the white waves across the Atlantic (大西洋)—is he now in triumph, or in despair?

His hometown is Miryang (密陽), Kyŏngsang Province (慶尙道). It is said that the renowned Mr. Yi Yusŏk (李有石) of the Yŏngnam region had promised to provide his school expenses, but as the promise was not fulfilled, he consistently supported himself through hard work and study.
His father-in-law is an official currently serving as the Chief of the Postal Bureau in the Nanking Government (現南京政府 郵務局長). Is Sin 38 years old this year?
Mr. Sin Sŏngmo! When are you coming back?
(There are many stories about Mr. Sin, but due to circumstances, they are withheld for now.) <87>

**Summary**

This 1933 news report from the magazine *Samch'ŏlli* celebrates Sin Sŏngmo, a Korean man who became the captain of a major British passenger ship (the MG Maru, owned by "Ppuryugŭ Wana" line, likely the Blue Funnel Line) operating on the Atlantic route. The article traces his path from graduating the Chinese Naval Academy, enduring hardships in Shanghai, studying arduously at the prestigious London Merchant Marine School, and rising through the ranks from Chief Officer to Captain based on his talent and character. It highlights his exceptional achievement as a Korean succeeding in a high-profile international position during the colonial period and expresses a longing for his return. For historians, this article is interesting as it showcases Korean aspirations and achievements on an international stage despite the limitations of colonial rule. It reflects a sense of national pride projected onto an individual succeeding abroad and provides insight into the networks (Chinese Naval Academy, Nanking Government connections) and challenges (financial hardship, discrimination) faced by Koreans seeking opportunities outside the Japanese empire. The mention of specific shipping lines and the London Merchant Marine School offers concrete details about international maritime operations and education in the era.

**Named Entities**

英國	영국	Yŏngguk (Britain)
申君	신군	Mr. Sin
大西洋	대서양	Taesŏyang (Atlantic Ocean)
朝鮮	조선	Chosŏn (Korea)
倫敦	런던	London
뿌류그, 와나	뿌류그, 와나	Ppuryugŭ, Wana (Prob. Blue Funnel Line)
MG 丸	MG 환	MG Maru (Ship Name)
太西洋	태서양	T'aesŏyang (Atlantic Ocean)
橫濱	횡빈	Yokohama
東洋	동양	Tongyang (The East/Orient)
申性模	신성모	Sin Sŏngmo
中國海軍士官學校	중국해군사관학교	Chungguk Haegun Sagwan Hakkyo (Chinese Naval Academy)
孫文	손문	Sun Wen (Sun Yat-sen)
上海	상해	Sanghae (Shanghai)
黃浦灘	황포탄	Hwangp'ot'an (Huangpu Bund)
歐羅巴	구라파/유로파	Yurop'a (Europe)
伊太利	이태리	It'aeri (Italy)
倫敦商船學校	런던상선학교	London Sangsŏn Hakkyo (London Merchant Marine School)
英米法德	영미법덕	Yŏng-Mi-Pŏp-Tŏk (Britain, America, France, Germany)
뿌루그·와나 商船株式會社	뿌루그·와나 상선주식회사	Ppuryugŭ Wana Sangsŏn Chusikhoesa (Ppuryugŭ Wana Merchant Shipping Co., Ltd.)
大阪商船	오사카상선	Ōsaka Shōsen
日本郵船會社	일본우선회사	Ilbon Yusŏn Hoesa (Nippon Yūsen Kaisha / NYK Line)
화잇씨스터 회사	화잇씨스터 회사	Hwait'ŭssisŭt'ŏ Hoesa (White Star Line Company)
慶尙道	경상도	Kyŏngsang-do (Kyŏngsang Province)
密陽	밀양	Miryang
嶺南	영남	Yŏngnam (Region southeast Korea)
李有石	이유석	Yi Yusŏk
南京政府	남경정부	Nanjing Chŏngbu (Nanking Government)

**Glossary**

汽船	기선	Steamer, steamship
船長	선장	Ship's Captain
航行	항행	Sailing, navigation
優秀船	우수선	Excellent ship
萬丈意氣	만장의기	Great spirit, high morale (literally 'ten thousand *jang* spirit')
商船學校	상선학교	Merchant Marine School
소유	소유	Owned by, possession
客船	객선	Passenger ship
각금	가끔	Sometimes, occasionally (older spelling of 가끔)
몃	몇	Several, how many (older spelling of 몇)
차레	차례	Time(s), turn (older spelling of 차례)
항로	항로	Sea route, shipping lane
就하야	취하여	Taking up (a route/position) (older conjugation form)
갈느고	가르고	Cutting through, parting (older spelling/form of 가르고)
깃분	기쁜	Pleasing, happy (older spelling of 기쁜)
멜로듸	멜로디	Melody
일홈	이름	Name (older spelling of 이름)
안되면 안된다	아니면 안 된다	Must be, cannot be otherwise
엇던	어떤	What kind of, certain (older spelling of 어떤)
海軍士官學校	해군사관학교	Naval Academy
수재	수재	Brilliant talent, genius
意表	의표	Expectation (as in 'outside of expectation')
버서	벗어	Taking off (clothes) (older spelling of 벗어)
다라다녓다	달아다녔다	Ran around, rushed about (older spelling/form of 돌아다니다 or 달아나다 + 다니다)
거류민	거류민	Resident(s)
하든	하던	Used to do, which was done (older spelling of 하던)
처처	처처	Here and there, everywhere
풍상	풍상	Hardships, trials and tribulations (lit. wind and frost)
격것다	겪었다	Experienced, underwent (older spelling of 겪었다)
그만치	그만큼	To that extent, accordingly (older spelling of 그만큼)
빗낫다	빛났다	Shone, glittered (older spelling of 빛났다)
폭풍우	폭풍우	Storm, tempest
지낫다	지났다	Passed (older spelling of 지났다)
바라보든	바라보던	Watching, looking at (older spelling of 바라보던)
단연히	단연히	Decisively, firmly
결심한바	결심한 바	What was decided, resolution
잠기여	잠기어	Sinking, being submerged (older spelling/form of 잠기어)
바서질 때	부서질 때	When it breaks/shatters (older spelling of 부서질 때)
아모도	아무도	Nobody, anyone (older spelling of 아무도)
부두	부두	Pier, wharf
실엇다	실었다	Loaded, boarded (a ship) (older spelling of 실었다)
엿다	였다	Was (copula past tense, older spelling)
고학	고학	Studying while working, supporting oneself through school
이역만리	이역만리	Thousands of miles away in a foreign land
형설의 공	형설지공	Diligent study under hardship (lit. 'firefly and snow merit')
닥는	닦는	Polishing, cultivating, studying diligently (older spelling of 닦는)
박해	박해	Persecution
고난	고난	Hardship, suffering
만헛고	많았고	Was much/many (older spelling of 많았고)
업시	없이	Without (older spelling of 없이)
마첫다	마쳤다	Finished, completed (older spelling of 마쳤다)
수재	수재	Genius, talented person
성가	성가	Reputation, fame (聲價)
경탄	경탄	Astonishment, admiration
탓다	탔다	Received, got (a certificate) (older spelling of 탔다)
도라만 가면	돌아가면	If one just returns
어듼가	어딘가	Somewhere (older spelling of 어딘가)
작별	작별	Farewell, parting
도라서	돌아서	Turning back (older spelling of 돌아서)
