Magazine Title: 東光 第33號
Publication Date: 1932년 05월 01일 (May 1, 1932)
Article Title: 間島는 어데로 가나, 間島問題 特輯 (Where is Jiandao Headed, Special Feature on the Jiandao Problem)
Author: 柳光烈 (Yu Kwangryŏl)
Article Type: 논설 (Editorial/Argumentative Essay)

Where is Jiandao Headed, Special Feature on the Jiandao Problem
						Yu Kwangryŏl

An Overview of Jiandao
Recently, when one thinks of Jiandao (間島), one associates it with the Communist Party and the "Terror" Movement, but beyond that, the entire Jiandao area has historically had an inseparable relationship with Koreans. So, what kind of area is Jiandao? The vast region northeast of Baekdu Mountain (白頭山)—collectively referring to the three counties of Yanji (延吉), Helong (和龍), and Wangqing (旺淸)—is called Jiandao. Regarding the name Jiandao, there are various conflicting theories; it is unknown whether it is an inherent Korean word that Koreans have used since ancient times, whether the area was regarded as an island (島) and thus called Jiandao (間島, middle island), or whether it takes the character "墾" (gan, cultivate) from cultivation (起墾). In any case, in this area spanning about 100 *ri* north-south and 250 *ri* east-west, while only around 100,000 Chinese live there, 500,000 Koreans reside. In Yongjeongchon (龍井村), which can be called the central city of Jiandao, tens of thousands of Koreans live, forming a city completely centered around Koreans.

A Glimpse of History
In ancient times, during the Goguryeo (高句麗) period, the entire territory of Manchuria was owned by Koreans. Even after Goguryeo was annexed by the allied forces of Silla (新羅) and Tang (唐), surviving retainers of Goguryeo went to Manchuria and founded the state of Balhae (渤海國). After Balhae fell 226 years after its founding and the peninsula was unified under the Goryeo (高麗) Dynasty, Goryeo, in order to subjugate the Jurchens rampaging in the Jiandao area, dispatched Yun Gwan (尹瓘) with a large army of 160,000 in the 2nd year of King Yejong's reign. He developed the land over 700 *ri* north of the Duman River (豆滿江) and erected a stone monument on Seonchun Pass (先春嶺, present-day Anxian County [安縣] in North Manchuria [北滿]), inscribing "Territory of Goryeo (高麗之境)." Ancient records state, "There were inscriptions on all four sides of the monument, but the barbarians scraped them all off (碑之四面有書 皆胡人剝去)," <30> giving a glimpse into the mindset of the barbarians (胡人) conquered by Koreans.
As Yi Taejo (李太祖) rose to power along the banks of the Duman River, he paid close attention to this region. After ascending the throne, Yi Taejo had Tong Duran (佟豆蘭) pacify the Jurchens (女眞), bringing over 1,000 *ri* of Yanbao (?) into the state register. Afterwards, as the Jurchens grew powerful, seven commanderies (7鎭) were established during the reign of King Sejong (世宗) to govern them. During King Sejo's (世祖) time, Sin Sukchu (申叔舟) subjugated them. During the reigns of King Seongjong (成宗)
and King Jungjong (中宗), there were also campaigns to conquer the Jurchens. During King Seonjo's (宣祖) time, Sin Rip (申砬), the magistrate of Onseong Fortress (穩城府使), repelled them and received their surrender.
Thus, even after the founding of the Yi Dynasty, the Jurchens in Jiandao sometimes served Joseon as vassals and sometimes rebelled and were executed. During King Seonjo's reign, the "Noraci" (노라씨) clan among the Jurchens grew powerful, annexed various tribes, founded the state of Manchu (滿洲國), later became the Qing (淸) Dynasty, conquered China, and received the surrender of King Injo (仁祖) of Joseon. While annexing both China and Joseon, the Qing, wanting to include Baekdu Mountain—considered the mountain of the Qing Dynasty's origin—within its own borders from Joseon's territory, dispatched Muk Wangdŭng (穆枉登) in the 5th month of the 38th year of King Sukjong's reign (1712 AD). He arbitrarily erected a boundary monument (定界碑) on Baekdu Mountain, inscribed: "West is the Yalu (鴨綠), East is the Tumen (土門). Therefore, on the watershed ridge, this stone is erected as a record (西爲鴨綠, 東爲土門故, 於分水嶺上, 勒不爲記)." The failure to carefully examine whether the downstream course of this Tumen River (土門江) encompassed the Jiandao area subsequently became a long-standing diplomatic issue between Joseon and Qing (韓淸國交問題). This is because if one follows the downstream course of the Tumen River, the entire Jiandao area falls within Joseon's territory. Furthermore, around 60 years ago, during the *sasa* and *gyeongo* years (corresponding to 1869-1870), a great famine struck Hamgyeongbuk-do (咸北) in Joseon, leading to hundreds of thousands migrating to Jiandao. The Qing government demanded that the Joseon government promptly repatriate the Joseon immigrants, but the majority of immigrants refused. The border issue became even more complicated, and although Joseon held several negotiations with Qing, each side stubbornly insisted on its own territory and did not yield. <31>

**Summary**

This 1932 article by Yu Kwangryŏl provides an overview of Jiandao (Gando), a region northeast of Baekdu Mountain heavily populated by Koreans despite being nominally Chinese territory. It recounts the historical connection of the area to Korea, starting from Goguryeo and Balhae, through Goryeo's expansion under Yun Gwan, and Joseon's interactions with the Jurchens. The author emphasizes the 1712 Baekdusan boundary monument erected by Qing official Muk Wangdŭng, arguing the ambiguity surrounding the "Tumen River" mentioned on the stele is the root of the ongoing border dispute, as Korea traditionally understood it differently, placing Jiandao within its borders. The article notes the large-scale Korean migration in the mid-19th century further complicated the issue. From a Korean colonial history perspective, the article is interesting as it clearly articulates the Korean nationalist view of Jiandao's history and territorial rights during a period of Japanese rule. It highlights the long-standing Korean presence and historical claims, framing the border dispute and the significant Korean population as key factors, implicitly challenging both Chinese sovereignty and potentially Japanese indifference or manipulation of the issue.

**Named Entities**

間島	간도	Jiandao
白頭山	백두산	Baekdu Mountain
延吉	연길	Yanji
和龍	화룡	Helong
旺淸	왕청	Wangqing
龍井村	용정촌	Yongjeongchon
高句麗	고구려	Goguryeo
新羅	신라	Silla
唐	당	Tang
滿洲	만주	Manchuria
渤海國	발해국	Balhae State
高麗	고려	Goryeo
尹瓘	윤관	Yun Gwan
豆滿江	두만강	Duman River
先春嶺	선춘령	Seonchun Pass
北滿	북만	North Manchuria
安縣	안현	Anxian County
李太祖	이태조	Yi Taejo
佟豆蘭	동두란	Tong Duran
女眞	여진	Jurchen
世宗	세종	King Sejong
7鎭	7진	Seven Commanderies
世祖	세조	King Sejo
申叔舟	신숙주	Sin Sukchu
成宗	성종	King Seongjong
中宗	중종	King Jungjong
宣祖	선조	King Seonjo
穩城府使	온성부사	Magistrate of Onseong Fortress
申砬	신립	Sin Rip
노라씨	노라씨	Noraci (Nurhaci) clan
淸國	청국	Qing State (China)
仁祖	인조	King Injo
肅宗	숙종	King Sukjong
穆枉登	목극등	Mukedeng (Muk Wangdŭng)
鴨綠	압록	Yalu River
土門江	토문강	Tumen River
韓淸國交	한청국교	Joseon-Qing diplomatic relations
咸北	함북	Hamgyeongbuk-do (North Hamgyeong Province)
柳光烈	유광렬	Yu Kwangryŏl

**Glossary**

어데로	어디로	Where to (Older spelling of 어디로)
잇다	있다	To be, to exist (Older spelling of 있다)
特輯	특집	Special feature/edition
槪觀	개관	Overview, general survey
聯想	연상	Association (mental)
不可分	불가분	Inseparable
地帶	지대	Zone, belt, area
總稱	총칭	General term, collective name
名義	명의	Name, designation
諸說	제설	Various theories/opinions
區區	구구	Various and conflicting, trivial
古來	고래	Since ancient times
固有	고유	Inherent, intrinsic
看做	간주	To regard as, consider as
起墾	기간	Cultivation, land reclamation
取함인지	취함인지	Whether it takes/adopts (Older verb ending)
何如間	하여간	Anyway, in any case (Archaic form of 하여간)
僅僅	근근	Barely, merely, only just
內外	내외	Around, approximately, inside and outside
反하야	반하여	Contrary to, as opposed to (Older spelling/form of 반하여)
居住	거주	Residence, dwelling
宛然히	완연히	Completely, entirely, just like
形成하엿다	형성하였다	Formed, constituted (Older spelling of 형성했다/형성하였다)
一瞥	일별	A glance, a glimpse
古昔	고석	Ancient times
全土	전토	Entire territory
所有	소유	Possession, ownership
倂合	병합	Annexation, merger
遺臣	유신	Surviving retainer/official (of a fallen dynasty)
創建	창건	Founding, establishment
建國	건국	Founding of a nation
半島	반도	Peninsula
統一	통일	Unification
跳梁	도량	Rampaging, running wild
征服	정복	Conquest, subjugation
大兵	대병	Large army
거느리고	거느리고	Leading, commanding (Modern form unchanged)
開拓	개척	Pioneering, developing (land)
同時	동시	Simultaneously, at the same time
色이다	새기다	To engrave, carve (Dictionary form based on context, archaic verb ending)
古記	고기	Old records
胡人	호인	Barbarians (term used by Koreans/Chinese for northern peoples)
剝去	박거	To scrape off, peel away
心事	심사	Mindset, thoughts and feelings
엿볼 수 잇엇다	엿볼 수 있었다	Could glimpse, could peek into (Older spelling)
沿岸	연안	Coast, bank (of a river)
勃興	발흥	Sudden rise, emergence
用心	용심	Attention, care, caution
卽位	즉위	Ascension to the throne
식혀	시켜	To make someone do, order (Older spelling of 시켜)
鎭撫	진무	Pacification, suppression
版籍	판적	State register, census record
旺盛	왕성	Prosperous, vigorous, powerful
設하야	설하여	Establishing and... (Older spelling/form of 설치하여)
統治	통치	Rule, governance
討代	토대	Subjugation (Archaic term)
征伐	정벌	Conquest, punitive expedition
擊退受降	격퇴수강	Repelling and receiving surrender
臣事	신사	To serve as a vassal
謀叛被斬	모반피참	Being executed for treason/rebellion
一族	일족	Clan, family
建設	건설	Construction, establishment
發祥	발상	Origin, cradle (place of)
自國	자국	One's own country
境界	경계	Boundary, border
시기어	시키어	Making someone do, ordering (Dialectal/Older form of 시키어)
自意	자의	One's own will, arbitrarily
定界碑	정계비	Boundary monument/stele
下流	하류	Downstream
句括	포괄	To encompass, include (Used here for 포괄)
詳審히	상심히	In detail, carefully examining
國交問題	국교문제	Diplomatic relations issue
版圖	판도	Territory, domain
距今	거금	From the present time back to, ago
大凶	대흉	Great famine
移住	이주	Migration, emigration/immigration
達하니	달하니	Reached, amounted to (Older verb ending)
刷還	쇄환	Repatriation
不肯	불긍	To refuse, not consent
複雜	복잡	Complicated, complex
數次	수차	Several times
談判	담판	Negotiation, talks
自領	자령	One's own territory
固執	고집	Stubbornness, persistence
讓步치 않엇다	양보치 않았다	Did not yield, did not make concessions (Older spelling/form)


---------------------------


잡지명	동광 제33호
발행일	1932년 05월 01일
기사제목	間島는 어데로 가나, 間島問題 特輯
필자	柳光烈
기사형태	논설

間島는 어데로 가나, 間島問題 特輯
						柳光烈
間島의 槪觀
