**Header Section:**
Magazine Title: 동광 제33호
Publication Date: 1932년 05월 01일
Article Title: 讀書室 (Reading Room)
Author: 요한 (Yohan)
Article Type: 문예평론 (Literary Criticism)

**Body Text Translation:**
Reading Room
*Nosan Sijo Collection* (*鷺山時調集*)
By Yi Ŭn-sang (李殷相)

If we were to grant the honor to this *Nosan Sijo Collection* of having perfected the *sijo*, the only classical poetic form possessed by the Korean people (朝鮮人), in both its Form (型) and Thought (想), I know there would likely be many who would immediately protest that this is excessive praise. However, if my immediate impression is not mistaken, there is likely no other *sijo* writer or *sijo* collection revealed up until today that displays such a refined style and unified conception as this one. Collections by deceased poets are exceedingly rare, and among those rare ones, it is even harder to find someone who could be called a systematic *sijo* writer; most treated it merely as an avocation (餘技), capturing only one or two inspirations. Of course, one might think that among them, many composed works but the majority were not transmitted, yet this also serves as counter-evidence that the recognition of *sijo* was very weak.

Now, Nosan (鷺山) is deeply versed in other fields as well, but he is also a devoted scholar (篤學者) concerning *sijo*. Therefore, the reason why his *sijo* collection today appears to be the orthodox perfection of the Korean Classics (朝鮮 古典) can be seen in his profound research in this field over the years. Not only can one find such classical refinement (古典的 整齊) in its form, but also in its thought, one can find the pinnacle of the so-called "*sijo*-like" sentiment, to the point that, from our perspective, it could even be seen as excessively classical. This should be called an outflow of classical taste, naturally "infected" (感染) while he immersed himself in reading countless old *sijo*.

Hoisting two or three sails to the river wind, the boat enters the port (浦口) at a slant.
Turning back at sunset, the mundane world (塵寰) is just as it was.
Drunken guests gather at the riverbank (江頭), coming and going.

Gazing upon the spring pond (春塘), the colors of spring have arrived,
But on the closed window of Kyŏngch'un Hall (景春殿), only spiderwebs are tangled.
A visitor passing through the corridor (廻廊) is moved to tears.

I shall live in Kŭmgang (金剛), I shall live in Kŭmgang!
Taking the clouds and mist with me, I shall live in Kŭmgang.
Famous temples (名刹) corrupted by the red dust (紅塵), would I even acknowledge them?

These are merely examples picked here and there as they came to hand, but they are exceedingly classical, exceedingly perfect classical forms. In this sense, it would not be an overstatement to call Nosan the most representative successor and perfecter of the classic Korean *sijo*. Consequently, for us who look towards a new era, it is this very point of excessive perfection that we regard with dissatisfaction. The *sijo* of the new era must possess a new cadence and new conception.

The experimental composition (試作) of two-stanza *sijo* is a very interesting matter; I welcome it as one of the efforts to break away from the classics. In any case, this *sijo* collection can be called an unparalleled textbook for those wishing to learn *sijo*. At this time when many are interested in *sijo*, and from the perspective that sees a high possibility of this becoming popularized as a type of people's poetry (민중시가), I wish to widely recommend this *sijo*. Here, let me select a couple of gems from the many jewels as samples (見樣) and put down this brush.

Looking out the train window, both the mountains and I were all going;
Getting off and looking back, the mountains are gone, only I have come.
Leaving everything behind, only it goes on – is this human life (人生)?
(Behold the profound humor)

They say this waterfall is the Milky Way (銀河), perhaps it is true.
Sitting upon a rock, I gaze down at Komu Pond (姑姆潭);
The bright moon (明月), unable to forget the Milky Way, has come down together.
(The heart that takes the moon's heart as its own)

Mount Kŭmgang (金剛) at dusk, peak after peak is cloud;
That old Zen monk (老禪), where is he going up the tiered stone path (層層石逕)?
My true nature (本性) delights in clouds, so I follow the clouds.

The sense of desolation contained in the three verses of "After Waking from a Dream" (꿈 깬 뒤) is, I think, an artistry difficult to find easily, but let's leave the text itself for the reader's direct enjoyment. (Yohan)
(List Price 70 Chŏn [錢], Published by Kyŏngsŏng Hansŏng Book Company Ltd. [京城漢城圖書株式會社 發行], Postal Transfer Kyŏngsŏng [振替京城] 7660番) <80>

**Summary**

This 1932 article reviews Yi Ŭn-sang's (pen name Nosan) *sijo* collection, praising it as the pinnacle of classical *sijo* form and sentiment, calling Yi the representative successor and perfecter of this traditional Korean poetic genre. The reviewer highlights the collection's refined style, unified conception, and deep classical roots, providing several examples. However, the reviewer also expresses a degree of "dissatisfaction" with this very perfection, arguing that the *sijo* of the "new era" requires new rhythms and ideas, welcoming Yi's experiments with two-stanza *sijo* as an effort to evolve. The collection is recommended as an essential textbook for aspiring *sijo* poets and potentially as a form of "people's poetry." From a historical perspective, the article reveals the strong emphasis on preserving and mastering traditional Korean cultural forms like *sijo* during the Japanese colonial period, viewing it as a key element of national identity ("the only classical poetic form possessed by the Korean people"). Simultaneously, it reflects the tension between classicism and the perceived need for cultural adaptation and innovation to suit the "new era," possibly hinting at navigating modernity under colonial constraints. The promotion of *sijo* as potential "people's poetry" (민중시가) is also notable for its nationalistic undertones.

**Named Entities**

鷺山	노산	Nosan
李殷相	이은상	Yi Ŭn-sang
朝鮮	조선	Chosŏn
浦口	포구	P'ogu
塵寰	진환	Chin'hwan
江頭	강두	Kangdu
春塘	춘당	Ch'undang
景春殿	경춘전	Kyŏngch'unjŏn
金剛	금강	Kŭmgang
紅塵	홍진	Hongjin
名刹	명찰	Myŏngch'al
姑姆潭	고모담	Komudam
老禪	노선	Nosŏn
京城漢城圖書株式會社	경성한성도서주식회사	Kyŏngsŏng Hansŏng Toso Chusik Hoesa
京城	경성	Kyŏngsŏng
요한	요한	Yohan

**Glossary**

時調	시조	Sijo (traditional Korean poetic form)
型	형	Form; type; style
想	상	Thought; idea; conception
고전적	고전적	Classical
영예	영예	Honor; glory
과찬	과찬	Excessive praise; flattery
항의	항의	Protest; objection
端的	단적	Direct; frank; immediate
정제한	정제한	Refined; polished; purified
통일된	통일된	Unified
구상	구상	Conception; plan; idea
故人	고인	Deceased person; the late
드무나	드무나	(Older form) Rare, although it is rare (Modern: 드무나)
체계잇어	체계있어	(Older spelling of 체계 있어) Having system; systematic
칭할	칭할	To call; name; designate
여기로서	여기로서	(Older form) As an avocation; as a side skill (Modern: 여기로서)
착상	착상	Idea; inspiration; conception
태반	태반	Majority; most part
엷은	엷은	Thin; weak; light (here: weak recognition)
반증	반증	Counter-evidence; disproof
조예	조예	Attainment; knowledge; deep understanding
篤學者	독학자	Devoted scholar; assiduous learner
금일	금일	Today; the present day
정통적	정통적	Orthodox; traditional; authentic
평소	평소	Usually; ordinarily; in normal times
整齊	정제	Orderliness; neatness; refinement (often used with 고전적)
정취	정취	Sentiment; atmosphere; mood; flavor
극치	극치	Pinnacle; zenith; climax
차라리	차라리	Rather; preferably; sooner
탐독	탐독	Reading avidly; devouring books
감염	감염	Infection; being influenced (metaphorically here)
流露	유로	Outflow; expression; revealing
밭비	밧비	(Older form/dialect?) Slanting; diagonally (referring to rain or boat's movement)
고대로다	고대로다	(Older form of 그대로다) Is just as it was; remains the same
오락가락	오락가락	Coming and going; back and forth
얽혓구나	얽혔구나	(Older spelling of 얽혔구나) Is tangled; has become entangled
살으리랏다	살으리랏다	(Archaic/poetic form) I shall live; will live (Modern: 살리라/살 것이다)
더리고	데리고	(Older spelling of 데리고) Taking someone/something along
썩은	썩은	Rotten; decayed; corrupted
아는 체나 하리오	아는 체나 하리오	(Rhetorical) Would I even pretend to know/acknowledge them?
과언	과언	Exaggeration; overstatement
모름직이	모름지기	(Older form of 모름지기) Necessarily; by rights; ought to
격조	격조	Cadence; tone; style; dignity
試作	시작	Experimental work; trial composition
脫却	탈각	Breaking away from; escaping from; shedding
뵈	보아	(Older form/dialect of 보아) Seeing; regarding
교과서	교과서	Textbook
보편화될	보편화될	To become universalized; popularized
견지	견지	Viewpoint; standpoint
추천코저	추천코자	(Older form of 추천하고자) Wishing to recommend
주옥	주옥	Jewels; gems (metaphor for excellent poems)
두어	두어	Two or so; a few
見樣	견양	Sample; example (often pronounced 'kyŏnyang')
내다 볼 제	내다 볼 제	When looking out
나려서	내려서	(Older spelling of 내려서) Getting off; descending
물러보니	물러보니	Stepping back and looking
하노라	하노라	(Archaic/poetic ending) it is; I say/think
유모어	유모어	Humor (loanword)
銀河	은하	Milky Way
구워보니	굽어보니	(Dialect/older form of 굽어보니) Looking down upon
못닞어	못 잊어	(Older spelling of 못 잊어) Unable to forget
나려	내려	(Older spelling of 내려) Coming down; descending
老禪	노선	Old Zen monk
層層石逕	층층석경	Tiered/layered stone path
本性	본성	Original nature; true character
뵈메	보매	(Older grammatical form) As I see; because I see (Modern: 보매/보기에)
적막감	적막감	Feeling of desolation; loneliness; silence
뵈실	보실	(Older honorific form of 볼) To see; look at (for the reader)
정가	정가	Set price; list price
진체	진체	Postal transfer (system)


---------------------------


잡지명	동광 제33호
발행일	1932년 05월 01일
기사제목	讀書室
기사형태	문예평론

讀書室
鷺山時調集
李殷相 著

