**Header Section:**
Magazine Title: 東光 第33號 (Tonggwang No. 33)
Publication Date: 1932년 05월 01일 (May 1, 1932)
Article Title: 至急電報 (Urgent Telegram)
Author: 一記者 (One Reporter), 金東仁 (Kim Tongin), 車相瓚 (Ch'a Sangch'an - attributed source)
Article Type: 잡저 (Miscellaneous writing/column)

**Body Text Translation:**
Urgent Telegram
World War Prediction?
(Q). German General Ludendorff predicted that a World War would break out on May 1, 1932. What is the reason for this? (Yu Hyŏng)
(A). According to General Ludendorff, a scientific analysis of the existing military armaments of European nations indicates that war would break out on May 1, 1932. The basis for specifying this date, according to General Ludendorff's opinion, is that Jews hold great power in various European countries, and in the secret spells of Judaism, the sacred number promising fortune is "15". Therefore, the time when various organizations in which Jews hold worldwide influence can achieve victory is the year when the sum of its digits equals 15, that is (1+9+3+2=15) 1932. The recent Great European War also adds up to 15 (1+9+1+4=15). Furthermore, May 1st is considered most likely because it is a worldwide Jewish festival day. (One Reporter)<33>

Compendium of the Eight Views
(Q). Please tell me about the following. (Haeju Student, list omitted)
(A).

Eight Views of Kwandong
Kyŏngp'odae Pavilion in Kangnŭng, Chukchŏru Pavilion in Samch'ŏk
Mangyangjŏng Pavilion in Uljin, Ch'ŏngganjŏng Pavilion in Kansŏng
Samilp'o Lagoon in Kosŏng, Ch'ongsŏkchŏng Pavilion in T'ongch'ŏn
Wolsongjŏng Pavilion in P'yŏnghae, Naksansa Temple in Yangyang

Eight Views of Kwansŏ
Yŏn'gwangjŏng Pavilion in P'yŏngyang, Kangsŏllu Pavilion in Sŏngch'ŏn
Inp'ungnu Pavilion in Kanggye, Paeksangnu Pavilion in Anju
T'onggunjŏng Pavilion in Ŭiju, Hwanghakru Pavilion in Samdŭng
Naksan East Pavilion in Yŏngbyŏn, Mujindae Pavilion in Kaech'ŏn (or Ŭigŏmjŏng Pavilion in Sŏnch'ŏn)

Eight Views of Hsiaohsiang
Returning Sails from Distant Shores, Night Rain on the Hsiao and Hsiang
Wild Geese Landing on Flat Sand, Autumn Moon over Lake Tung-t'ing (Dongting)
Sunset Glow over a Fishing Village, Spring Warblers at Huangling
Evening Snow over the River Village, Clearing Mist over a Mountain Market

Eight Views of Tanyang
Todam Sambong Peaks, Sŏngmun Gate, Sainam Rock, Oesang Sŏnam Rock, Chung Sŏnam Rock, Ha Sŏnam Rock, Kudam Pond, Oksunbong Peak

Eight Views of Hansan
These became famous after Yi Mogŭn (李牧隱) of Koryŏ composed the "Eight Views of Hansan Poem". They are as follows:
Pines at Sungjŏng Rock (崇井岩松), Sunlit Stone Wall (日光石壁)
Deep Cave at Lonely Rock (孤石深洞), High Peak at Hoesa Temple (回寺高峰)
Evening Drum at Wŏnsan Mountain (圓山戌鼓), Returning Sails at Chinp'o Port (鎭浦歸帆)＜34＞
Encouraging Farming at Ab'ya Field (鴨野勸農), Watching Fishing at Ungjin (熊津觀釣)

Critique of People by the Eight Provinces
Kyŏnggi: Beauty in a Painting (美人畵中) (Beauty in a Mirror (鏡中佳人), Painting Eyebrows Facing a Mirror (對鏡畵眉))
Ch'ungch'ŏng: Clear Wind and Bright Moon (淸風明月)
Chŏlla: Willow Swaying in the Wind (風前搖柳)
Kangwŏn: Sleeping Buddha Beneath a Rock (巖下睡佛)
P'yŏngan: Ferocious Tiger Emerging from the Forest (猛虎出林) (Ferocious Tiger of the Blue Mountains (靑山猛虎))
Hwanghae: Ox Plowing a Stony Field (石田耕牛)
Hamgyŏng: Dogs Fighting in the Mud (泥中鬪狗)
Kyŏngsang: Great Mountain, Lofty Peak (泰山喬岳)
(Ch'a Sangch'an)

To Mr. Kim Tongin
(Q). How far behind is the Chosŏn literary world compared to the world literary scene? (Anju . Yi Hanmin)
(A). I think the ratio between world culture and Chosŏn culture can be applied here as well. (Kim Tongin)

Beekeeping Master
(Q). I intend to start beekeeping soon. Please provide the name and address of someone knowledgeable in both the theory and practice of beekeeping, whom a beginner could consider a master beekeeper (養蜂大家). (Yi Sihwa)
(A). If you inquire with Mr. Sŏng Chubok (成周復), who operates Samsan Mirwŏn (三山密園) at 174 Sŏngbuk-ri (城北里), outside Tongsomun Gate (東小門), Kyŏngsŏng (京城), you can learn everything about beekeeping.

Music Teacher
(Q). I want to learn the violin ("payoring") and piano ("p'iano"). Are there places that teach them in Seoul (Sŏul)? (A Female Reader in Kyŏngsŏng)
(A). Ms. Kim Chŏngsun (金楨洵), a graduate of Tokyo Musashino Music School (東京 武藏野音樂學校), has organized the Taedong Music Association (大東音樂協會) at 143 Kwansu-dong (觀水洞), Kyŏngsŏng-bu (京城府) and is currently teaching. Please inquire there for details. (One Reporter)＜35＞

**Summary**

This article from the May 1932 issue of *Tonggwang* magazine features a Q&A format addressing diverse reader inquiries. Topics include a prediction of World War II based on General Ludendorff's interpretation of Jewish numerology, detailed listings of the famous "Eight Views" scenic locations in Korea (Kwandong, Kwansŏ, Tanyang, Hansan) and China (Hsiaohsiang), stereotypical characterizations of people from Korea's eight provinces attributed to Ch'a Sangch'an, a question to prominent writer Kim Tongin about the status of Korean literature, and practical advice on finding experts for beekeeping and Western music (violin and piano) instruction in Kyŏngsŏng (Seoul).

For historians, the article is interesting for several reasons. It reflects the circulation of international news and even anti-Semitic conspiracy theories (Ludendorff's prediction) within colonial Korea. The provincial stereotypes offer a glimpse into contemporary social perceptions. Furthermore, it documents the growing interest in Western cultural pursuits like music and provides specific names and locations related to literature (Kim Tongin), traditional culture (Eight Views), and modern services (beekeeping, music schools) in 1930s Kyŏngsŏng.

**Named Entities**

獨逸	독일	Germany
루덴돌프	루덴돌프	Ludendorff
柳亨	유형	Yu Hyŏng
歐洲	구주	Europe
猶太人	유태인	Jew/Jewish people
猶太敎	유태교	Judaism
海州生	해주생	Haeju Saeng (Student from Haeju)
關東	관동	Kwandong
江陵	강릉	Kangnŭng
鏡浦臺	경포대	Kyŏngp'odae
三陟	삼척	Samch'ŏk
竹西樓	죽서루	Chukchŏru
蔚珍	울진	Uljin
望洋亭	망양정	Mangyangjŏng
杆城	간성	Kansŏng
淸澗亭	청간정	Ch'ŏngganjŏng
高城	고성	Kosŏng
三日浦	삼일포	Samilp'o
通川	통천	T'ongch'ŏn
叢石亭	총석정	Ch'ongsŏkchŏng
平海	평해	P'yŏnghae
月松亭	월송정	Wolsongjŏng
襄陽	양양	Yangyang
洛山寺	낙산사	Naksansa
關西	관서	Kwansŏ
平壤	평양	P'yŏngyang
練光亭	련광정	Yŏn'gwangjŏng (Note: older spelling/pronunciation '련' likely used)
成川	성천	Sŏngch'ŏn
降仙樓	강선루	Kangsŏllu
江界	강계	Kanggye
仁風樓	인풍루	Inp'ungnu
安州	안주	Anju
百祥樓	백상루	Paeksangnu
義州	의주	Ŭiju
統軍亭	통군정	T'onggunjŏng
三登	삼등	Samdŭng
黃鶴樓	황학루	Hwanghakru
寧邊	녕변	Yŏngbyŏn (Note: older spelling/pronunciation '녕' likely used)
樂山東臺	락산동대	Naksan Tongdae (Note: older spelling/pronunciation '락' likely used)
价川	개천	Kaech'ŏn
無盡臺	무진대	Mujindae
宣川	선천	Sŏnch'ŏn
依劒亭	의검정	Ŭigŏmjŏng
潚湘	소상	Hsiaohsiang (China)
丹陽	단양	Tanyang
島潭三峯	도담삼봉	Todam Sambong
石門	석문	Sŏngmun
舍人巖	사인암	Sainam
外上仙巖	외상선암	Oesang Sŏnam
中仙巖	중선암	Chung Sŏnam
下仙巖	하선암	Ha Sŏnam
龜潭	구담	Kudam
玉筍峯	옥순봉	Oksunbong
韓山	한산	Hansan
高麗	고려	Koryŏ
李牧隱	이목은	Yi Mogŭn
崇井岩	숭정암	Sungjŏng Am
日光	일광	Ilgwang
孤石	고석	Kosŏk
回寺	회사	Hoesa
圓山	원산	Wŏnsan
鎭浦	진포	Chinp'o
鴨野	압야	Ab'ya
熊津	웅진	Ungjin
八道	팔도	Eight Provinces (of Korea)
京畿	경기	Kyŏnggi
忠淸	충청	Ch'ungch'ŏng
全羅	전라	Chŏlla
江原	강원	Kangwŏn
平安	평안	P'yŏngan
黃海	황해	Hwanghae
咸鏡	함경	Hamgyŏng
慶尙	경상	Kyŏngsang
車相瓚	차상찬	Ch'a Sangch'an
金東仁	김동인	Kim Tongin
朝鮮	조선	Chosŏn (Korea)
安州	안주	Anju
李한民	이한민	Yi Hanmin
李時華	이시화	Yi Sihwa
京城	경성	Kyŏngsŏng (Former name for Seoul)
東小門	동소문	Tongsomun (East Small Gate)
城北里	성북리	Sŏngbuk-ri
三山密園	삼산밀원	Samsan Mirwŏn
成周復	성주복	Sŏng Chubok
東京	동경	Tokyo
武藏野音樂學校	무사시노음악학교	Musashino Music School (Musashino Ongaku Gakkō)
金楨洵	김정순	Kim Chŏngsun
京城府	경성부	Kyŏngsŏng-bu (Kyŏngsŏng Prefecture/City)
觀水洞	관수동	Kwansu-dong
大東音樂協會	대동음악협회	Taedong Music Association

**Glossary**

將軍	장군	General (military rank)
豫言	예언	Prediction, prophecy
勃興	발흥	Sudden rise, outbreak
理由	이유	Reason
如何	여하	How, what (interrogative, classical)
軍備	군비	Military preparedness, armaments
科學的	과학적	Scientific
分析	분석	Analysis
根據	근거	Basis, grounds
意見	의견	Opinion
勢力	세력	Power, influence
秘呪	비주	Secret spell, incantation
幸福	행복	Happiness, fortune
約束	약속	Promise
神聖	신성	Sacred, holy
數字	수자	Number, digit (older form of 숫자)
團體	단체	Organization, group
勝利	승리	Victory
各個	개개	Each one, individual
合	합	Sum, total
祭日	제일	Festival day, holiday
有望	유망	Promising, likely
全集	전집	Complete collection
左記	좌기	The following (written below/to the left)
略	략	Omission, abbreviation (older spelling)
말슴	말씀	Words, speech (older spelling of 말씀)
잇다	있다	To be, to exist (older spelling of 있다)
젓다	졌다	To fall behind, to lose (older spelling of 지다/뒤떨어지다 contextually)
비추다	비추다	To compare with, to shine upon
얼마나	얼마나	How much
뒤떠러지다	뒤떨어지다	To lag behind, fall behind (older spelling)
比例	비례	Proportion, ratio
準하다	준하다	To conform to, be based on
생각하다	생각하다	To think
養蜂	양봉	Beekeeping (apiculture)
學術上	학술상	Academically, from a scholarly perspective
實驗上	실험상	Experimentally, from a practical perspective
初學者	초학자	Beginner
可히	가히	Admirably, possibly, can (adverb derived from 可)
師하다	사하다	To take as a teacher, learn from
敎示	교시	Instruction, teaching, guidance (noun)
經營하다	경영하다	To operate, manage (a business)
音樂	음악	Music
敎授	교수	Teaching, instruction (noun); Professor
바요링	바이올린	Violin (loanword, older transliteration)
피아노	피아노	Piano (loanword)
가르치다	가르치다	To teach
곳	곳	Place
卒業하다	졸업하다	To graduate
組織하다	조직하다	To organize, form
實地	실지	Actual practice, on-site
詳細	상세	Details


---------------------------


잡지명	동광 제33호
발행일	1932년 05월 01일
기사제목	至急電報
기사형태	잡저

至急電報
世界大戰 預言?
(問). 獨逸 루덴돌프將軍의 豫言에 1932年 5月 1日에는 世界大戰이 勃興되리라 하니 그 理由如何? (柳亨)
