잡지명	개벽 제53호
발행일	1924년 11월 01일
기사제목	慶尙道行, 나의 秋收 (Journey to Gyeongsang Province, My Harvest)
필자	石溪
기사형태	기행문 (Travelogue)

慶尙道行, 나의 秋收
						石溪

Land of a Thousand-Ri Darkness
While those who own land harvest their rent in autumn, I, having none, decided to undertake a mental harvest instead and boarded the 10 p.m. train from Yongsan bound for Pusan on the night of October 3rd, when there was no moon and raindrops were splattering down. It wasn't that there were no fellow passengers, but there was no one worth talking to. It was like traveling a thousand ri alone. Inside the train car, a few electric lights hung dimly, but outside the window was a completely dark land. Leaning against the seat back, like a Buddhist monk chanting, I closed my eyes tightly and contemplated something unseen for a while, then drifted off peacefully. Even when asleep, the shouts of station workers with booming voices yelling "OO Station, OO Station" would jolt me awake. Peeking outside, I'd see kerosene lamps standing tall here and there, flickering bluish-black like goblin fires (독가비불). As soon as the train wheels turned, the goblin fires would retreat, and the dark land would approach again. Traveling like this, sometimes asleep, sometimes awake, unaware of the passage of time, we eventually passed 46 stations and arrived in Pusan. The land of darkness that had accompanied me for a thousand ri was gone, replaced by a bright world.

To Pusan and Tongnae
Upon disembarking in Pusan, I sought out Mr. Im T'ae-gil of the Kaebyŏk Branch Office. We discussed the actual state of affairs regarding related matters and promised new plans.
Mr. Im seemed busy with various public and private matters, having not a moment to spare, but on this day, he set aside all his pressing business for my sake and suggested we go to Tongnae Hot Springs. Like a novice monk hearing the scriptures, I readily agreed and followed him. A 30-ri tram ride from Pusan brought us directly to the Tongnae hot spring resort. Thanks to the hot springs, it had become a splendid town. The sound of automobiles was incessant, and people holding silk umbrellas filled the streets. At the resort, about ten large buildings with glittering signs like "Such-and-such Inn," "Such-and-such Hotel" stood in rows. Inside these buildings were bathing facilities (men's bath, women's bath, family bath), rental rooms, restaurants, and other amenities. Following Mr. Im, I entered the Tongnae Hotel. The proprietress greeted us. The bathtub was made of artificial marble, appearing clean, and indeed the water was pristine. Fresh water flowed in through a rubber pipe on one side, while cloudy water flowed out through an outlet (흠) on the other, constantly undergoing metabolism (新陳代謝), always remaining clear without a speck of dirt. According to Mr. Im, all ten or so bathing establishments draw water from the same source, so those closer to the source have higher temperatures, and those farther away have lower temperatures; this particular bath was situated appropriately in the middle, neither too cold nor too hot. It seemed logical. After bathing, we went to the dining hall, had tea, snacks, and rice for lunch, and then returned.
That night, following Mr. No Chin-hyŏn of the Kaebyŏk Branch Office, I went to see a music and opera performance held at a certain church. Being unfamiliar with music and opera, it was truly like a blind man looking at colorful paintings (盲人丹靑). I couldn't distinguish what was what, but I couldn't tell if it was absolutely necessary for the mixed choir to sing Christian hymns or for kindergarten children to sing the butterfly song in Japanese. Furthermore, the enactment of "The Flower Selling Girl," a story published in some magazine presented as a children's play, was particularly clumsy. After a few such performances, the host requested some form of donation. When a single slip of paper reading "Anonymous Association (無名會), One Envelope of Gold" was presented and posted, the audience began to slip out one by one through the back door like loaches escaping a fish trap. The meeting thus dispersed rather anticlimactically. I wondered if the audience consisted entirely of proletarians worse off than the Anonymous Association, but later learned that among them were some of Pusan's top plutocrats. That tells you something about the plutocrats of Pusan.

Northward and then Eastward
On the 5th, I went to Masan and met Mr. Yi Hyŏng-jae, the branch manager of the Tong-A Ilbo, and Mr. Yi Ŭn-sang of Ch'angsin School, hearing various beneficial stories.
The next day, following Mr. Yi Ŭn-sang, I visited Ch'angsin School and heard about the new construction to completely renovate both the elementary and secondary school buildings. I was greatly impressed. Who wouldn't be impressed by the raising of a large sum of money from private citizens to construct a large school building in these times of financial hardship? After visiting Ch'angsin School, I briefly toured the coast and departed immediately.
On the night of the 7th, I arrived in Taegu by train. Starting the next morning, I visited Sin'gu Bookstore, Muyŏngdang, Yumundang, and other related individuals, engaging in friendly conversation and asking for future cooperation. At night, I met Mr. Hong Chu-il and obtained research materials. Thus, my business in Taegu was concluded.
On the night of the 8th, heading east through Kyŏngju, I arrived in Kyŏngju. The next morning, I visited Mr. Son Su-mun, the branch manager of the Sidae Ilbo, explained the purpose of my visit, talked for a while, and promised to meet again later. Then, I went directly to Sungdŏk Hall, looked around the stele pavilion, sacred hall, and five tombs of the founding king of Silla, and immediately departed for P'ohang.
Upon arriving in P'ohang on the 9th, I visited Messrs. Kim Hwa-sŏp and Chŏng Hak-sŏn. As a result of various discussions about the cultural movement in P'ohang, I came to believe that considerable results would be achieved in the near future.

A Japanese Restaurant in front of Pulguksa Temple
On the 12th, I returned to Kyŏngju. Taking advantage of the next day being a holiday, I visited Pulguksa Temple and Sŏkkuram Grotto.
I sought out the head monk to hear the story of Pulguksa, but he had gone to the market. It was said there were no other monks. A temple attendant, who seemed like a novice monk having arrived just last month, told the story as he knew it: "Long ago, in Moryang Village (牟梁里) of this district, there was a son of a poor woman<60> named Tae-sŏng, who died young. On the day Tae-sŏng died, a mysterious spirit suddenly cried out from the air at the house of the then-chancellor Kim Mun-yang, saying, 'Tae-sŏng of Moryang Village is now being born into your house.' Indeed, Mun-yang's wife showed signs of pregnancy from that month and gave birth to a jade-like boy after ten months. For seven days, he kept his left hand tightly clenched. When they opened it, they found the characters 'Tae-sŏng' (大城) engraved on a golden slip (金簡), so they named him Tae-sŏng. When Tae-sŏng grew up, he supported his previous life's poor mother just as he did his current mother. He also established this temple and invited the monk P'yohun to pray for the longevity of both mothers." Changing the subject, he spoke of the wonders of the Tabo Pagoda (多寶塔) and Sŏkka Pagoda (無影塔 - Shadowless Pagoda) in front of the Taeungjŏn Hall. He claimed that if you go to Yŏngji Pond (影池), 5 ri away, the Sŏkka Pagoda, which we can see, casts no shadow in the water, while the Tabo Pagoda, which we cannot see well (or is hidden?), casts a shadow in the water. He even urged me to go test it myself if I didn't believe him. He also boasted about the value of the ancient stone structures, saying a certain Japanese doctor had appraised six long stones (長石), four flagpole supports (幢柱), and one stone lion (石獅子), each worth as much as ten thousand won. Listening to the monk's myth-like stories for a while, it was already lunchtime. Those with some money took kisaengs to the Pulguksa Inn and ate Japanese cuisine to their heart's content. I, like a commoner joining a feast on his designated day, pretended to eat lunch at a small Korean restaurant.
After lunch, I went to Sŏkkuram Grotto, saw the famous stone statue of the Sakyamuni Buddha inside the grotto and the various Buddha images carved in bas-relief (半肉彫) on the upper and lower levels of the surrounding stone walls, tasted the clear spring water emerging from the stone layers outside the grotto, and immediately turned back.
On the 13th, I met Mr. Son Su-mun, the branch manager of the Sidae Ilbo, discussed the unresolved matters from the previous day, and together with Mr. Son Sŭng-jo, visited the Kyŏngju Historic Relics Exhibition Hall. I glanced at the stone coffin, gold crown, Pongdŏksa Temple Bell, and various other ancient artifacts. Then, with Mr. Son Hwan-ju, I quickly passed through Ch'ŏmsŏngdae Observatory, Sŏkpinggo Ice House, Sungsindang Shrine, Sung'hyedang Shrine, and Kyerim Forest in a cursory manner (走馬看山).

People with No Land to be Buried In, Even After Death
On the 14th, while talking with Mr. Chu Nam-jin, the branch manager of the Sidae Ilbo in Kimch'ŏn, I heard shocking news. Behind the Public Common School, the body of a Korean woman in her twenties, tightly bound with both hands and wrapped in a straw mat, had been found buried, causing quite a commotion. Hearing this, I immediately rushed to the scene. The body had already been taken to the public cemetery, I was told. So, I went to the local police station and inquired. The response from the station was as follows:
"Are you going to publish this incident in the newspaper? The body was discovered around 9 a.m. today when students playing in the vegetable garden behind the school saw dogs tearing at a human corpse and reported it to the police station. We went there with a doctor and examined the body. It seems about a month has passed since death, and there are no signs of external trauma, so it doesn't appear to be a homicide. It seems likely she died of illness, and due to extreme poverty, the family couldn't afford funeral expenses<61> and did such a thing. However, that person is a violator of cemetery regulations, so we are currently searching for them."
How sad. People are all the same, yet some occupy vast plots of good land even after death, while others have no land to be buried in, not even the few won needed to wrap a body in a straw mat and bury it. When will such an unreasonable system disappear?

The Problem of So-Called Knowing People
If you ask what my gain from this trip was, there's nothing specific to show, but I did grasp the reason why cultural enterprises in Southern Korea (南鮮) are not developing smoothly. It's because of the so-called knowing people. These knowing people are the yangban among the middle class, those with a bit of money. Flattering others is their way of life; living off others is their talent. Thanks to having some money, they might finish middle school and perhaps study in Tokyo. Then they invariably claim that Japanese newspapers and magazines have much to read and are cheap, while Korean newspapers and magazines have little to read and are expensive. And for appearances, they pay in advance for Japanese newspapers and magazines, but for Korean ones, which they read merely for show, they don't even pay later. Take someone like Yun Sang-hyŏk of a certain township in Yŏnghae County; he's a graduate of OO High School, chairman of the local youth association, and one of the so-called knowing people. He subscribed to the Chosŏn Ilbo, but from the very first month for thirty-eight months, his unpaid bill for the 95-chŏn newspaper accumulated to 36 wŏn without paying a single penny. Only after facing a payment order did he manage to scrape together the money from his comrades, it is said. Such people are not just one or two. They are said to be everywhere. Because there are so many of these so-called knowing people, newspapers and magazines run by Koreans, regardless of which one, fail to develop. On the other hand, those related to Japanese management, like the Pusan Ilbo, Chosŏn Sibo, and Chosŏn Minbo, are said to be developing day by day. If this situation continues, what will become of the future of these knowing people, and what will become of the future of Southern Korea? While worrying for Southern Korea, I hope for their self-reflection.

**Summary**

The author, Sŏk'ye, recounts his ten-day journey through Kyŏngsang Province (South Kyŏngsang and North Kyŏngsang) in October 1924. Traveling initially alone by train from Yongsan to Pusan, he meets contacts associated with the Kaebyŏk magazine and other newspapers, visits cultural sites like Tongnae Hot Springs, Pulguksa Temple, Sŏkkuram Grotto, and historical relics in Kyŏngju. He observes local cultural events, notes the development of educational institutions like Ch'angsin School, and reflects on social issues, particularly the stark poverty highlighted by the discovery of an improperly buried woman in Kimch'ŏn. The author concludes by lamenting the attitude of the Korean elite ("knowing people") who disdain Korean publications while favoring Japanese ones, hindering the development of Korean cultural enterprises. Historians might find the article valuable for its firsthand account of travel conditions, cultural activities (including Japanese influence), social stratification and poverty, the state of Korean media and cultural movements, and critical commentary on the Korean intelligentsia during the colonial period.

**Named Entities**

慶尙道	경상도	Kyŏngsang-do
石溪	석계	Sŏk'ye
龍山	용산	Yongsan
釜山	부산	Pusan
開闢支社	개벽지사	Kaebyŏk Branch Office
任態吉	임태길	Im T'ae-gil
東萊	동래	Tongnae
東萊ホテル	동래호텔	Tongnae Hotel
盧震鉉	노진현	No Chin-hyŏn
無名會	무명회	Mumyŏnghoe (Anonymous Association)
馬山	마산	Masan
동아일보 支局長	동아일보 지국장	Tong-A Ilbo Branch Manager
李瀅宰	이형재	Yi Hyŏng-jae
昌信校	창신교	Ch'angsin School
李殷相	이은상	Yi Ŭn-sang
大邱	대구	Taegu
新舊書林	신구서림	Sin'gu Bookstore
茂英堂	무영당	Muyŏngdang
有文堂	유문당	Yumundang
洪宙一	홍주일	Hong Chu-il
慶州	경주	Kyŏngju
時代日報 支局長	시대일보 지국장	Sidae Ilbo Branch Manager
孫秀文	손수문	Son Su-mun
崇德殿	숭덕전	Sungdŏk Hall (Shrine)
浦項	포항	P'ohang
金和攝	김화섭	Kim Hwa-sŏp
鄭學先	정학선	Chŏng Hak-sŏn
佛國寺	불국사	Pulguksa Temple
石窟庵	석굴암	Sŏkkuram Grotto
牟梁里	모량리	Moryang Village
大城	대성	Tae-sŏng
金文亮	김문량	Kim Mun-yang
表訓	표훈	P'yohun
多寶塔	다보탑	Tabo Pagoda
無影塔	무영탑	Muyŏng Pagoda (Sŏkka Pagoda)
影池	영지	Yŏngji Pond (Shadow Pond)
孫承祖	손승조	Son Sŭng-jo
慶州古蹟진열관	경주고적진열관	Kyŏngju Historic Relics Exhibition Hall
奉德寺鍾	봉덕사종	Pongdŏksa Temple Bell
孫煥柱	손환주	Son Hwan-ju
瞻星臺	첨성대	Ch'ŏmsŏngdae Observatory
石氷庫	석빙고	Sŏkpinggo Ice House
崇信殿	숭신전	Sungsindang Shrine (typo in text: 崇信殿 instead of likely 崇信殿)
崇惠殿	숭혜전	Sung'hyedang Shrine
鷄林	계림	Kyerim Forest
金泉	김천	Kimch'ŏn
周南秦	주남진	Chu Nam-jin
南鮮	남선	Nam Chosŏn (Southern Korea)
尹相赫	윤상혁	Yun Sang-hyŏk
朝鮮日報	조선일보	Chosŏn Ilbo
釜山日報	부산일보	Pusan Ilbo
朝鮮時報	조선시보	Chosŏn Sibo
朝鮮民報	조선민보	Chosŏn Minbo

**Glossary**

賭租秋收	도조추수	Autumn harvest collected as rent (specifically, fixed rent amount).
업는	없는	Not having; lacking (older spelling of 없는).
밧겐	밖엔	Outside (older spelling/form of 밖에는).
섯는	서는	Standing (older spelling of 서는).
독가비불	도깨비불	Goblin fire; will-o'-the-wisp.
닥처온다	닥쳐온다	Approaches; closes in (older spelling of 닥쳐온다).
차젓다	찾았다	Found; looked for (older spelling of 찾았다).
제처노코	제쳐놓고	Setting aside (older spelling of 제쳐놓고).
좃타고나	좋다고나	Saying it's good; readily agreeing (older spelling/form of 좋다고나).
딸하섯다	따라섰다	Followed (older spelling of 따라섰다).
깁우산잡이	기부산잡이	Person holding a silk umbrella (possibly indicating a kisaeng attendant).
늘비하다	즐비하다	To be lined up in rows; numerous (older spelling/pronunciation variant of 즐비하다).
맛저	맞아	To greet; receive (older spelling of 맞아).
깻긋하다	깨끗하다	To be clean; pristine (older spelling of 깨끗하다).
흠	홈	Groove; outlet; hole (used here for water outlet).
밧그로	밖으로	Outward; outside (older spelling of 밖으로).
맑핫타	맑았다	Was clear (older spelling of 맑았다).
모다	모두	All; entirely (older form/spelling of 모두).
이악이	이야기	Story; talk (older spelling of 이야기).
논우고	나누고	Sharing; dividing (older spelling of 나누고).
어덧다	얻었다	Obtained; gained (older spelling of 얻었다).
맛첫다	마쳤다	Finished; completed (older spelling of 마쳤다).
차즈니	찾으니	Looking for; seeking (older spelling of 찾으니).
녜전에	예전에	Long ago; in the old days (older spelling of 예전에).
골	고을	Village; district (older word).
색이여	새기어	Engraved; carved (older spelling/form of 새기어).
잇슴으로	있으므로	Because there is/was (older spelling of 있으므로).
압헤	앞에	In front of (older spelling of 앞에).
듯다	듣다	To listen; hear (older spelling, note vowel harmony difference from modern 듣다).
半肉彫	반육조	Bas-relief carving.
走馬看山	주마간산	Looking at the mountains while riding a horse (idiom: giving something a cursory glance).
무든	묻은	Buried (older spelling of 묻은).
드른	들은	Heard (older spelling of 들은).
뜻는	뜯는	Tearing at; gnawing (older spelling of 뜯는).
다리고	데리고	Bringing someone along (older spelling of 데리고).
업스매	없으매	Because there isn't/wasn't (older grammatical form/spelling of 없으므로).
무들	묻을	To bury (older spelling of 묻을).
맛챤가지언마는	마찬가지건마는	Although it is the same (older form/spelling of 마찬가지지만).
조흔	좋은	Good (older spelling of 좋은).
업서질가	없어질까	Will it disappear? (older spelling/form of 없어질까).
만코	많고	Being many; much (older spelling of 많고).
빗싸다	비싸다	To be expensive (older spelling of 비싸다).
만흔	많은	Many; much (older spelling of 많은).
-e 

---------------------------


잡지명	개벽 제53호
발행일	1924년 11월 01일
기사제목	慶尙道行, 나의 秋收
필자	石溪
기사형태	기행문

慶尙道行, 나의 秋收
						石溪
千里同行의 어둑나라
토지를 가진 자는 賭租秋收를 하지마는 나는 그것이 업는 대신에 精神秋收나 좀 해볼가 하고 달도 업고 비ㅅ방울이 후둑후둑하는 10월3일 밤 10시 龍山發釜山行 火車를 탓다. 同乘의 客이 업는 것은 아니지만 가히 더불어 말할 만한 사람은 하나도 업다. 獨行千里나 마찬가지다. 車室 안에는 흐리멍덩하나마 전등불이 몃 개 달렷지마는 車窓밧겐 아조 깜깜한 어둑 나라이다. 나는 距床을 등지고 念佛僧 모양으로 눈을 딱 감고 보이지도 아는 그 무엇을 한참 생각하다가 호젓이 잠이 들기도 하고 잠이 들다가도 목구멍에 왕방울 단 역부들이 OO역 OO역하고 웨치는 소리에 번쩍 깨서 밧겔 내다보면 左右에 웃둑웃둑 섯는 석유등이 마치 독가비불 모양으로 검푸르게 번쩍번쩍하다가 火車 박휘소리만 나면 독가비불들은 고만 뒤로 달아나고 다시 어둑나라가 닥처온다. 이러케 자며 말며 가는 줄 모르게 간 것이 어느듯 46역을 지나 부산에 다달앗다. 千里同行하던 어둡나라는 간 곳 업고 밝은 세상이 대신한다.

釜山으로 東萊로
부산서 하차하는 길로 開闢支社의 任態吉君을 차젓다. 관계되는 일에 대하야 서로 실정을 말하고 새 계획을 약속하엿다.
任君은 公私間 여러 가지 일에 분주하야 寸暇가 업는 모양인데 이 날은 나를 위하야 百忙을 다 제처노코 東萊溫泉을 가자 한다. 나는 그야말로 聞齊僧으로 좃타고나 하고 딸하섯다. 부산서 電車로 30리를 가니까 거긔가 바로 東萊 온천욕장이다. 온천이 잇는 덕에 훌륭한 도회지가 되엿다. 자동차 소리가 끈일 새가 업고 깁우산잡이가 길에 널렷다. 浴場에는 무슨 여관, 무슨 ホテル라고 번쩍한 간판을 부친 큰 집이 십여채가 늘비하다. 그 집안에는 목욕장(남탕, 여탕, 가족탕) 과 貸間, 식당 등 설비가 잇다. 나는 任君을 딸하 同萊ホテル로 들어섯다. 주인 여자가 마저 들인다. 욕조는 인조 대리석으로 만들어서 보기에도 정결하거니와 사실 물도 깻긋하다. 一邊 고무관으로 새물이 들어오고 一邊흠(水出口)으로 흐린 물이 밧그로 나가는 때문에 늘 新陳代謝가 되어 언제던지 틔 한 점업시 맑핫타. 任君의 말을 들으니 십여 浴場이 모다 一源의 水를 인용하는 때문에 水源의 거리를 조차 水源이＜59＞近한 곳은 온도가 高하고 水源이 遠한 곳은 온도가 低한데 지금 이 탕이 其中 不寒不熱한 적당한 곳이라 한다. 이치가 그럴 듯하다. 목욕을 마친 뒤에 식당에 들어가서 茶菓와 밥으로 점심을 먹고 돌아왓다.
그날 밤이다. 開闢支社의 盧震鉉君을 딸하 某교회당에 열린 音樂歌劇대회 구경을 갓섯다. 音樂歌劇에 素昧한 나는 可謂 盲人丹靑이다. 무엇이 무엇인지 변별력이 업지마는 남녀합창에 기독찬송가, 유치원 아동들에게 나뷔노래를 日語로 식허는 것은 꼭 그리해야 될 것인지 알 수 업고 동화극이라고 어떤 잡지에 낫던 꼿팔이 소녀를 實演한다는 것은 더구나 서투룬 점이 여간이 아니다. 그 모양으로 몃 가지 하다가 사회자가 무슨 贊助를 請하는데 無名會 金壹封이란 紙片하나가 나와 붓트니까 會衆은 그만 하나둘씩 슬금슬금 통발에 미꾸리 빠지듯이 뒷문으로 빠저 나간다. 그만 저만 散會가 된다. 나는 그 會衆이 모다 無名會만도 못한 無産者들인가 햇더니 及 其 아고 보니 其中에는 부산 일류의 富豪들이 잇섯다 한다. 그만하면 부산 富豪들도 알아 둘 만하다.

北으로 또 東으로
5일 馬山와서 동아일보 支局長 李瀅宰씨와 昌信校의 李殷相氏를 맛나 여러 가지 유익한 이악이를 들엇다.
그 이튼날 李殷相氏를 딸하 昌信校구경을 가서 同校普通科 高等科校舍를 모다 一新하게 새로 건축하는 이악이를 듯고 나는 크게 감복하엿다. 오늘날 가티 錢慌한 이 때에 더구나 민간에서 거금을 내서 큰 校舍를 건축함에야 누가 감복치 아니하랴. 昌信校를 단여와서 海岸구경을 잠간하고 곳 떠낫다.
칠일 밤 차로 大邱에 왓다. 그 이튼날 아츰부터 나서서 新舊書林 茂英堂 有文堂과 기타 관계잇는 이를 歷訪하야 情談도 논우고 장래도 부탁하엿다. 밤에는 洪宙一氏를 맛나 조사자료도 어덧다. 그럭저럭 大邱서 볼 일은 끗을 맛첫다.
팔일 밤에 慶東綜으로 慶州에 왓다. 그 이튼날 아츰에 時代日報 支局長 孫秀文氏를 방문하야 來意를 말하고 한참 이악이 하다가 후일 다시 맛나기로 약속하고 그 길로 崇德殿에 가서 신라 시조왕의 碑閣 聖殿 五陵을 둘우 보고 곳 浦項을 향하야 떠낫다.
구일 浦項에 오는 길로 金和攝
