잡지명	개벽 제53호
발행일	1924년 11월 01일
기사제목	世界文壇의 二大損失 (Two Great Losses in the World Literary Scene)
필자	K·K 生
기사형태	문예평론 (Literary Criticism)

Two Great Losses in the World Literary Scene
						K·K Saeng

I. Regarding Anatole France

A certain person in Japan, speaking of Anatole France's socialist tendencies, declared them to be far more aristocratic, closer to the Encyclopedists who pioneered the French Revolution, rather than modern. However, France himself, during his lifetime, spoke of Napoleon, whom the French people respect immensely, saying, "Napoleon was an extremely simple man who spent his whole life indulging in the same fighting instincts he had as a child — *The Red Lily*." Or consider remarks like, "The colored races will remember the white race only through the memory of its crimes," or "The conscription system is a system that systematically trains for murder," or "Industrial struggles will always draw France into the vortex of a Great European War or a Great World War," or "We sing the praises of scientific development. But it is precisely the development of science that makes capitalism impossible," or his prediction that "The era of the victory of the international proletariat, the collapse of capitalism, and the rule of socialism is coming." Seeing these things, it seems to me that Anatole France's socialist tendency was indeed not aristocratic.

Anatole France did not believe that the victory of socialism would be completed in 5 or 10 years. Even if it were, he said it wouldn't mean the realization of a perfect world; rather, it would take at least 2 or 3 centuries for just the important parts of a socialist society to take shape. He also fairly recognized the achievements of capitalism in the history of civilization. The increase in productive forces, technological progress, the promotion of a world-state, etc., are contributions of capitalism. He argued that the decisive factor in social revolution lies in technological revolution (this point holds great interest). Nevertheless, he was an ardent advocate of class struggle. <119> Looking at this point too, his thought is one of social evolutionism and revolutionism. In past years, he had joined the French Communist Party and the Russian Communist Party. He also helped Henri Barbusse, participated in the "Clarté" movement, participated in the Third International, endeavored to establish the People's University of Paris, went to Rio de Janeiro as an exchange professor, and issued a declaration opposing Poincaré's occupation of the Ruhr. The phrase "growing stronger with age" (老而益壯) was heard during his lifetime.

A reliable person in Japan, evaluating France, said, "Anatole France stood at the pinnacle of the intellectual tendency (containing quite many elements of the 'intellectuel') and his writing style, in the sense of returning to ancient Greek civilization from the darkness of the Middle Ages, makes him a naturalist writer; if the spirit of Romanticism lies in lyricism, the final drop after removing all defects, then in some sense, he is also a Romantic writer. His writing always had the scent of faint powder, a light makeup even amidst naturalness. There is a consistent casual chat—causerie—in his poetry, fiction, and criticism. To conclude finally, France was already an old man when he was born, and today, now that he is dead, he is as young as an ancient." I think this is an insightful critique.

His debut work was the novel *The Crime of Sylvestre Bonnard*; his masterpiece is *The Gods Are Athirst* (Les Dieux ont soif); his collection of essays is *The Garden of Epicurus* (Le Jardin d'Épicure); another masterpiece is *At the Sign of the Reine Pédauque* (La Rôtisserie de la Reine Pédauque); his poetry collection is *Les Poèmes dorés* (The Golden Poems), etc. His historical works include *Penguin Island* (L'Île des Pingouins), *The Life of Joan of Arc* (Vie de Jeanne d'Arc), etc. With his vast knowledge, fluent writing, sharp wisdom, profound insight, and sensitive passion, he has vanished forever from the world literary scene. On October 12, 1924, at 11:30 PM, he drew his last breath. He was 81 years old. <120>

II. Regarding Valery Bryusov

In the same month of October, Russia's poetic sage Valery Bryusov passed away. Unlike most other writers who went into exile abroad after the revolution, he remained in Russia and, like Maxim Gorky, participated in the cultural movement of the Soviet Government, making no small contribution. According to reports, he initially held the position of Director of the Soviet Government's Literary Arts Bureau, planning initiatives, and was recently appointed professor at Moscow University and president of the University of Literature and Arts, besides exerting himself for numerous other literary schools.

According to his autobiography, he began writing poetry with clear consciousness from the age of 13. He stated that upon first encountering the poetry of Verlaine and Baudelaire in 1890, a new world unfolded before him. He also mentioned that his poetry from 1894 onwards bears the great impression received from these poets, and that those who subsequently exerted a great influence on him were Chekhov and Konevskoi, and that his friendship with Balmont evokes his most precious memories.

He stated, "What true modern poetry is, is poetry that expresses the new things we live through today," thoroughly denouncing the act of putting new things into old vessels. And regarding proletarian poets, he said, "The essence of the proletarian poet should be sought in the tendency to express the new experiences gained through revolution and the new organization of life."

According to a certain Japanese source, the great stimulus he threw into the recent poetry scene lies in his attempt at a scientific study of traditional poetry, going where previous critics could not, researching things like the rhythm, accent, tone, and color of words, and insisting that future poetry must be scientific. As a result, writers and critics centered around him started the magazine "Oboz." His works include poetry, criticism, novels, etc., such as *Theory of Art*, *Count A. Tolstoy*, *Streets and Crossroads*, *The Earth's Axis*, *The Fiery Angel*, and his recent poetry collection *Dali*. Unfortunately, as I do not know Russian, I have no choice but to savor his poems through translation. Born in 1873 and died in October 1924, by East Asian age reckoning <121> he passed away at the age of 51. Below, I will introduce one of his poems.

To Mother Earth
Earth, O my mother, help me!
With your silence, create my partner.
Your dark clods of earth
soften beneath my hoe's scraping and striking.

Good mother, this is the partner we fully saw,
the partner fully seen.
Leave this body in the lumpy ash,
we shall find the ring (指環) we gathered.

Grant me a happy marriage,
I shall offer an oath to your demands.
When you marry the quiet wind,
the morning dew comes near, the dawn comes near.

With eyes weakened, withered by fever,
leave this body to find the wedding ring.
Then I will kiss your shadowed lips,
and kneel upon your face. <122>

If I am driven far from you, mother,
to where there is asphalt or granite,
to a field recently carved out,
to a place soft for lying down.

This body, your son, is also ash fragments,
I grow up to sing with you,
Then from where, what, trembling, loving,
dreaming, do I come into the bosom of the fearsome night?
Spring emerges from the sky-colored rain,
The coming and going wind gathers and carries all sounds.
Sweet maiden, where do you hide your body?
On this day now, with no hope and no pain—.

Help me, weary me, O mother,
By striking your breast against the "new."
Otherwise, I think, my prayer
will make you acknowledge the grave.
From "Anthologie des Poetes Russie" — <123>
<119-123>

**Summary**

This article by "K.K. Saeng" commemorates the deaths of two major literary figures in October 1924: Anatole France and Valery Bryusov. It discusses France's socialist leanings, challenging the view that they were merely aristocratic, citing his criticisms of Napoleon, colonialism, war, and capitalism, and his involvement with communist parties and movements. It lists his major works. The article then turns to Bryusov, noting his decision to remain in Soviet Russia, his contributions to its cultural movement, his views on modern and proletarian poetry, and his focus on the scientific study of poetics. A translation of Bryusov's poem "To Mother Earth" is included.

From the perspective of Korean colonial history, the article is interesting for its engagement with major international literary figures, particularly those associated with socialism and revolution (France, Bryusov, Gorky, the Soviet government). The discussion of class struggle, technological revolution, proletarian art, and the critique of capitalism reflects the intellectual currents preoccupying Korean intellectuals under Japanese rule. The author's familiarity with international debates and figures (even citing Japanese critics) shows the desire to connect with global trends despite colonial constraints.

**Named Entities**

아나톨·프랑스	아나톨 프랑스	Anatole France
日本	일본	Japan
佛蘭西	프랑스	France
奈巴倫	나폴레옹	Napoléon
有色人種	유색인종	Colored races
白人種	백인종	White race
歐洲	유럽	Europe
佛蘭西共産黨	프랑스 공산당	French Communist Party
露西亞共産黨	러시아 공산당	Russian Communist Party
안티·빠르쀼스	앙리 바르뷔스	Henri Barbusse
클라르테	클라르테	Clarté
第3 인터내손날	제3 인터내셔널	Third International
巴里	파리	Paris
리오·데·짜-니로	리오데자네이루	Rio de Janeiro
포앙카레	푸앵카레	Poincaré
루-르	루르	Ruhr
古代希腦	고대 그리스	Ancient Greece
발레레·쁘류-쏘프	발레리 브류소프	Valery Bryusov
露西亞	러시아	Russia
막씸·꼬르키	막심 고리키	Maxim Gorky
쏘비엣트 政府	소비에트 정부	Soviet Government
모스코-	모스크바	Moscow
뻬르레인	베를렌	Verlaine
뽀드레-트	보들레르	Baudelaire
쳬호프-	체호프	Chekhov
코네푸스코이	코네프스코이	Konevskoi
빠리몬트	발몬트	Balmont
地球	지구	Earth
Anthologie des Poetes Russie	Anthologie des Poètes Russes	Anthologie des Poètes Russes (Anthology of Russian Poets)

**Glossary**

文壇	문단	Literary world, literary scene
損失	손실	Loss
傾向	경향	Tendency, inclination
貴族的	귀족적	Aristocratic
斷言	단언	Assertion, declaration
尊敬	존경	Respect
微兵制度	징병제도	Conscription system (微兵 is an older/variant form for 徵兵)
謳歌	구가	Singing praises, eulogizing
資本主義	자본주의	Capitalism
崩壞	붕괴	Collapse
社會主義	사회주의	Socialism
豫言	예언	Prediction, prophecy
公果	공과	Merits and demerits; achievements (here used for positive contributions)
階級鬪爭	계급투쟁	Class struggle
革命主義	혁명주의	Revolutionism
往年	왕년	Past years, bygone days
入黨	입당	Joining a party
信用	신용	Trust, credibility
作風	작풍	Writing style
自然主義	자연주의	Naturalism
浪漫主義	낭만주의	Romanticism
舒情主義	서정주의	Lyricism
文章	문장	Writing, composition, prose
批評	비평	Criticism, critique
閑談	한담	Casual talk, chat (used here for 'causerie')
傑作	걸작	Masterpiece
該博	해박	Erudite, extensive (knowledge)
慧智	혜지	Wisdom, intelligence
洞察力	통찰력	Insight, discernment
팟사온	파숑	Passion (loanword)
享年	향년	Age at death
詩聖	시성	Poetic sage, great poet
亡命	망명	Exile, seeking asylum
劃策	획책	To plan, devise (often with negative connotation, but here neutral)
被任	피임	To be appointed
自叙傳	자서전	Autobiography
明曢히	명료히	Clearly, distinctly (older spelling/Hanja)
展開	전개	Unfolding, development
追憶	추억	Recollection, memory
徹底히	철저히	Thoroughly (older spelling 히 instead of 이)
剌戟	자극	Stimulus, stimulation (剌 is an older/variant form for 刺)
從來	종래	Conventionally, traditionally, up to now
詩歌	시가	Poetry and song; poetry
액샌트	액센트	Accent (loanword)
토인	톤	Tone (loanword)
칼라-	컬러	Color (loanword)
露語	노어	Russian language (露 is abbreviation for Russia)
흙뎡어리	흙덩어리	Clod of earth (older spelling)
글그며	긁으며	Scraping (older spelling)
보드러워짐니다	부드러워집니다	Becomes soft (older spelling/ending)
재ㅅ	잿	Ash's (older genitive marker ㅅ)
내버려두서요	내버려두세요	Please leave (it) alone (older polite ending)
찻겟나이다	찾겠나이다	Will find (deferential/older ending)
싀집가실	시집가실	When you marry (older spelling)
아츰	아침	Morning (older spelling)
시드른	시들은	Withered (older spelling)
버러두소셔	버려두소서	Please leave (it) alone (archaic/poetic imperative)
얼골	얼굴	Face (older spelling)
무릅	무릎	Knee (older spelling)
꿀켓나이다	꿇겠나이다	Will kneel (deferential/older ending)
멸니	멀리	Far (older spelling)
쫏기어	쫓기어	Being chased (older spelling)
깍꺼내인지	깎아낸지	Since carving out (older spelling)
밧호로	밖으로	Outside, to the outside (older spelling)
두러눕기	드러눕기	Lying down (older spelling)
커나옴니다	커 나옵니다	Grows up (older spelling/ending)
어대로부터	어디로부터	From where (older spelling)
한울	하늘	Sky (older spelling)
날어뇨	날리뇨	Does it fly? (older spelling/ending)
어대다	어디다	Where (older spelling)
젓통이	젖통이	Breast (older spelling, possibly dialectal/poetic)
부다치는	부딪치는	Striking against (older spelling)
그러치	그렇지	So, like that (colloquial/older spelling)
墳墓	분묘	Grave, tomb
承認	승인	Acknowledgement, approval
-e 

---------------------------


잡지명	개벽 제53호
발행일	1924년 11월 01일
기사제목	世界文壇의 二大損失
필자	K·K 生
기사형태	문예평론

世界文壇의 二大損失
						K·K 生
一, 아나톨·프랑스에 對하야
日本의 엇던 사람은 아나톨·프랑스의 社會主義的 傾向을 말하되 그것은 現代的이라는 것보다도 佛蘭西革命의 先驅를 이룬 百科全書에 더 갓가운 훨신 貴族的인 것이라고 斷言하야 말한다. 그러나 프랑스가 生前에 저 佛蘭西사람들이 尊敬하야 마지 아는다는 奈巴倫을 가로처서 말하되『나폴레온은 어렷슬 때의 싸흠흉내 내는 그 本能을 한 평생 두고하여 온 至極히 單純한 사람이라―「붉은 百合」―』고 말한 것이다. 또는 『有色人種은 다만 罪惡의 記憶으로만 因해서 白人種을 記臆하리라』 한 말이나 『微兵制度는 組織的으로 殺人調鍊을 식히는 制度라』 고 말한 것이나 또는 『産業的 鬪爭은 언제든지 佛蘭西로 하여곰 歐洲大戰爭이나 或은 世界大戰爭의 過中으로 잇글어 드러가게 할 것이라』 고 말한 것이나 또는 『우리들은 科學의 發達을 謳歌한다. 그러나 科學의 發達이야 말로 資本主義를 不可能하게 한다.』는 말이나 國際 프로래타리아의 勝利 資本主義의 崩壞 社會主義의 支配의 時代가 온다.』 고 豫言한 말가튼 것을 볼진댄 果然 아나톨·프랑스의 社會主義的 傾向은 아리스토그라틱크한 것은 안이라고 내게는 생각된다.
