Magazine Title: 삼천리
Publication Date: 1941-09-01
Article Title: 上海財界의 三百萬圓覇者, 孫昌植 訪問記(上海 第一의 機械 王國인 上海精密機械工藝社長) (A Visit to Son Ch'angsik, the Three Million Yen Champion of Shanghai's Financial World (President of Shanghai Precision Machinery Works, Shanghai's Premier Machine Kingdom))
Article Type: 대담·좌담 (Interview/Roundtable Talk)

A Visit to Son Ch'angsik, the Three Million Yen Champion of Shanghai's Financial World (President of Shanghai Precision Machinery Works, Shanghai's Premier Machine Kingdom)

There is a Korean genius scientist who displayed genius-level talent and earned high praise for inventing various machines since his middle school days, obtained patents for various inventions during his university years, and received commendations from various fields. He is Mr. Son Ch'angsik (孫昌植), who is currently renowned as the foremost figure in Shanghai's industrial world. This reporter visited Mr. Son's factory, known as the precision machine kingdom of the East, and now presents this account to the readers.

Shanghai is a city particularly developed in commerce and industry. Commercially, it serves as the gateway to the East and is a special zone famous as a competitive market for people from all over the world. In this international market, a single Korean is lauded by figures both domestic and foreign as the number one person in Shanghai's industrial world. Moreover, he has achieved great success in business, receiving considerable support even from the army and navy, thus radiating a unique brilliance in Shanghai. This person is the young industrialist, Mr. Son Ch'angsik.

As the president of the Shanghai Precision Machinery Works (上海精密機械工藝社), which proudly displays its magnificent appearance on a bustling street of Shanghai's North Sichuan Road (北四川路), Mr. Son has numerous foreign engineers and workers under his command. His office sees frequent visits from prominent domestic and foreign figures, making him a focus of public attention. Furthermore, the samples displayed in the storefront window alone make passersby stop in their tracks.

Mr. Son had already invented dozens of types of machines and obtained patents while studying in the Precision Machinery Department at the Government-established Tokyo Higher School of Technology and Art (官立東京高等工藝學校 精密機械科). Various newspapers and magazines reported extensively on his talent at the time. It is still fresh in people's memory that in the 5th year of Shōwa (1930), he received the Tokyo Prefectural Governor's Award, as well as commendations from the Imperial Invention Association (帝國發明協會) and the former Tong-A Ilbo (東亞日報社).<100>

Just before reaching the North Sichuan Road bridge, as I opened the shop door of the imposing three-story Western-style building on the right, an Indian watchman gave a light nod. At that moment, Mr. Son, still in his work clothes, was instructing several Western engineers in fluent English. While waiting briefly, the reporter looked around. The interior was filled with lathes, and the office, with its many shelved books, felt like a library.

Soon, Mr. Son greeted the reporter with a very gentle manner of speaking, and I began to ask professional questions.

Reporter: "It's been quite a while since you came to Shanghai, hasn't it? Please tell us your success story, from when you first arrived until achieving your current great success."

Son: "I came to Shanghai (來滬) in the 7th year of Shōwa (1932), so it hasn't been that long. When I first arrived, I worked as a mere mechanic in a machine factory (機械工廠) run by Chinese," he replied. In reality, he was appointed as an engineer and factory manager at the Chinese machine factory and diligently engaged in practical research.

Reporter: "When did you open this factory you are currently managing?"

Son: "I opened it in March of the 11th year of Shōwa (1936)."

Reporter: "How much capital did you start with?"

In response to the reporter's question, Mr. Son stated that he started with a small capital of only 5,000 yen. Initially, the business mainly involved repairing various precision machines. By the 13th year of Shōwa (1938), <101> it showed a figure of 80,000 yen, and currently, it demonstrates tremendous growth amounting to over 3 million yen. Additionally, besides office workers and Japanese ('Naichi-jin') workers, there are four German engineers and White Russian engineers, along with nearly 30 other Chinese and Indian workers.

The budget for this year is 1.5 million yen, consisting of 500,000 yen for machine tools and 1 million yen for various precision machines and other tools. Currently, 450,000 yen has been invested in factory facilities alone.

Next, guided by Mr. Son, I decided to tour the laboratory and factory. The first thing that caught my eye was a microscope. It was a microscope equipped with an optical micrometer capable of measuring an error of 1/100,000th of an inch, said to be one of only two in Shanghai and worth 60,000 yen. Besides that, there were other microscopes and a balance scale capable of measuring 1/10,000th of a gram, among many other items lined up. Particularly, the precision measuring instruments Mr. Son uses for his own experiments are world-famous. First, there is a British-made Manchester vertical boring mill (currently valued at 80,000 yen, 9 horsepower motor diameter), a German-made tuner grinding spindle (which rotates 20,000 times per minute without generating heat), and an American-made planing machine (capacity <102> up to 8 shaku). The measuring tool section is equipped with 200,000 yen worth of instruments, including one set of Swedish-made Johansson gauge blocks (measuring errors of 1/100,000th of an inch), various German Leitz enlargers, highest-grade lamps, copy stands, and a German optical pyrometer (measuring temperatures from 700°C to 1,600°C) – all world-class items that amazed our eyes. In addition, various rare machines from countries including Switzerland, reportedly sold first in the East to Mr. Son Ch'angsik, were flawlessly arranged in each room on the 2nd and 3rd floors, truly boasting his status as a titan of Shanghai's industrial world, and then some.

Top authorities from the commerce and industry sectors of Tokyo, Osaka, and other places in Japan ('Naichi'), as well as professors from various universities and specialty schools and other experts, come to Shanghai to visit and observe Mr. Son's factory, which possesses such unique machinery in the East.

Mr. Son not only has a hobby of collecting various jewels and minerals but also shows great interest in collecting old coins. His collection reportedly includes leaf coins (葉錢) from the Tang Dynasty (唐朝), paper money from the Qing Dynasty (淸朝), Japanese currency (日貨) from the 3rd year of Shōwa (1928) onwards,<103> silver and copper coins from various countries around the world, and other old currencies, totaling as many as 30,000 pieces.

While guiding the reporter, Mr. Son said:

"In modern times, a nation's fate can be said to depend on the prosperity of its industry. I hope that our Korean youth will also pay attention to this field and make great contributions to society and the nation. However, it's a common mentality among us to dream of making a fortune overnight, which often leads to failure. Especially in a place like Shanghai, I believe one must adopt a continental business strategy.

For example, in the beer business, if Japanese ('Naichi-jin') or foreigners aim for a 10% profit on a cost price of 6 yen per dozen, Chinese people will sell at cost without even taking that 10% profit. You might ask what profit there is in selling at cost, but the common Chinese business strategy is to continue selling beer just because the empty boxes the beer came in are left over. In a special zone like Shanghai, where market competition is extremely fierce, I think one must employ such a continental business strategy, and I believe we Peninsula people (半島人) have much to learn from this point."

Mr. Son treats his workers very well, both materially and spiritually, and adopts ideal methods regarding hygiene and working hours, thereby further enhancing work efficiency.

"I don't treat the workers as mere workers, but as family or comrades working towards the same goal. Since there are people from various countries, I let them take days off on their respective national holidays, so the total number of holidays in a year adds up to 60 days. Nevertheless, work efficiency stems from how well the workers are treated," Mr. Son confesses from his experience.

The reporter jokingly asked:

"Now that you can be considered very successful, aren't you thinking of building a villa and dreaming of worldly pleasures? It's very rude of me to say, but it's what nouveau riche (成金) tend to do."

After laughing, Mr. Son also laughed and replied:

"This factory is my villa now, and the machines spread out here are my entire entertainment (誤樂). Therefore, I don't think there's any need to build a separate villa, show off, or covet other forms of entertainment." His words gave the profound impression of a man who never loses the attitude of a Christian believer.

"In that case, aren't you planning to get involved in social work?"

"Why not? That is my original intention. With assets still less than 5 million yen, I can't be considered hugely rich (成金). Rather than presumptuously seeking only honor, making noise about doing some social work, and showing nominal but meaningless results, I intend to embark on several <104> projects with a more solid foundation (基金) and substantial content. Since I am currently here in Shanghai, and especially under the banner of East Asian Co-Prosperity (東亞共榮), I plan to establish several churches, technical schools, and hospitals for the Chinese people. After accomplishing this work first on Chinese soil, I then intend to cooperate in meaningful projects in Korea (朝鮮) as well."

Mr. Son, who thus expresses his resolution, was formerly the council chairman of the Shanghai Korean Association (前上海朝鮮人會). After the Korean Association merged into the Japanese Residents' Association (日本民團), he is now active as the first chairman of its successor organization, the Kerim Club (鷄林俱樂部). Furthermore, as a central figure in the Shanghai Korean Christian community and a member (姜員 - likely 委員) of the Christian Alliance Refugee Relief Committee (基督敎聯盟難民救濟會), Mr. Son strives in various fields. We hold even greater expectations for his future.<105>

**Summary**

The article is an interview with Son Ch'angsik, a highly successful Korean industrialist in Shanghai in 1941. It highlights his journey from a talented inventor in his youth in Korea and Japan to becoming the president of the Shanghai Precision Machinery Works, a leading factory equipped with state-of-the-art machinery from around the world. Son discusses his business philosophy, emphasizing long-term strategies learned from Chinese merchants, his fair treatment of his multinational workforce, his simple lifestyle focused on his work, and his plans for future philanthropic projects like building churches, schools, and hospitals, first in China under the banner of "East Asian Co-Prosperity" and later in Korea. The article portrays Son as a model figure – a genius inventor, successful businessman, devout Christian, and active community leader.

From the perspective of Korean colonial history, the article is interesting as it presents a narrative of Korean success and capability within the Japanese-dominated sphere of influence in Shanghai. It showcases a Korean collaborating seemingly comfortably with Japanese authorities (implied by army/navy support and the merger of the Korean association into the Japanese one) and operating within the ideology of the Greater East Asia Co-Prosperity Sphere. Son's comparison of business practices, contrasting Korean/Japanese methods with perceived "continental" Chinese strategies, and his plans to build institutions "for the Chinese people" first, offer insights into inter-ethnic dynamics and the complex positioning of Koreans in occupied China during this period. The mention of his leadership roles in Korean community organizations, including one formed after merging with the Japanese Residents' Association, further illuminates the structured environment for Koreans under Japanese oversight.

**Named Entities**

孫昌植	손창식	Son Ch'angsik
上海	상해	Shanghai
上海精密機械工藝社	상해정밀기계공예사	Shanghai Precision Machinery Works
東京	동경	Tokyo
官立東京高等工藝學校	관립동경고등공예학교	Government-established Tokyo Higher School of Technology and Art
帝國發明協會	제국발명협회	Imperial Invention Association
東亞日報社	동아일보사	Tong-A Ilbo
北四川路	북사천로	North Sichuan Road
獨逸	독일	Germany
白系露人	백계로인	White Russian
中國	중국	China
印度	인도	India
英國	영국	Britain
美國	미국	United States
瑞典	서전	Sweden
라이쓰사	라이쓰사	Leitz Company
瑞西	서서	Switzerland
大阪	오사카	Osaka
朝鮮	조선	Korea/Chosŏn
唐朝	당조	Tang Dynasty
淸朝	청조	Qing Dynasty
日本	일본	Japan (referred to as 內地 'Naichi' and 日貨 'Ilhwa')
前上海朝鮮人會	전상해조선인회	Former Shanghai Korean Association
日本民團	일본민단	Japanese Residents' Association
鷄林俱樂部	계림구락부	Kerim Club
基督敎聯盟難民救濟會	기독교연맹난민구제회	Christian Alliance Refugee Relief Committee

**Glossary**

財界	재계	Financial world
覇者	패자	Champion, supreme ruler
訪問記	방문기	Visit report, travelogue
精密機械	정밀기계	Precision machinery
工藝	공예	Craft, engineering
天才的	천재적	Genius-like
稱頌	칭송	Praise, acclaim
特許	특허	Patent
表彰	표창	Commendation, award
第一人者	제일인자	Foremost person, number one figure
드날리다	드날리다	To make famous, to win fame
商工業	상공업	Commerce and industry
關門	관문	Gateway
마-켓트	마켓	Market (loanword)
國際市場	국제시장	International market
一介	일개	Mere, single
內外人士	내외인사	Domestic and foreign dignitaries/figures
陸海軍	육해군	Army and navy
後援	후원	Support, backing
大成	대성	Great success
異彩	이채	Unique brilliance, remarkable characteristic
實業家	실업가	Industrialist, businessman
繁華하다	번화하다	To be bustling, flourishing
雄姿	웅자	Magnificent appearance/figure
手下	수하	Subordinates, under one's command
技師	기사	Engineer, technician
職工	직공	Worker, mechanic
頻繁하다	빈번하다	To be frequent
世人	세인	The public, people of the world
注目	주목	Attention, notice
的	적	Target, mark (here: focus of attention)
店舖	점포	Shop, store
샘플	샘플	Sample (loanword)
官立	관립	Government-established
在學	재학	Attending school
當時	당시	At that time
府知事	부지사	Prefectural governor
記憶	기억	Memory
새로웁다	새롭다	To be new (older spelling: 새로을)
洋屋	양옥	Western-style building
숍·또아	숍도어(?)	Shop door (?) (loanword, unclear exact meaning/origin)
웻치맨	워치맨	Watchman (loanword)
目禮	목례	Nod (of greeting)
作業服	작업복	Work clothes
流暢하다	유창하다	To be fluent
旋盤機	선반기	Lathe
書籍	서적	Books, publications
圖書室	도서실	Library, reading room
이윽고	이윽고	Soon, presently, after a while
말씨	말씨	Way of speaking, tone
來滬	내호	Coming to Shanghai (Sino-Korean abbreviation)
成功談	성공담	Success story
機械工廠	기계공창	Machine factory/works
開業하다	개업하다	To open a business
資本	자본	Capital
修理	수리	Repair
數字	숫자	Number, figure
內地人	내지인	Japanese person (lit. 'inner land person', referring to Japan proper)
白系露人	백계로인	White Russian
豫算	예산	Budget
工作機械	공작기계	Machine tool
工具	공구	Tool
設備	설비	Facilities, equipment
實驗室	실험실	Laboratory
顯微鏡	현미경	Microscope
測定하다	측정하다	To measure
光學마이크로메-터	광학 마이크로미터	Optical micrometer
附屬되다	부속되다	To be attached, affiliated
市價	시가	Market price
天秤	천칭	Balance scale (for weighing)
즐비하다	즐비하다	To be lined up in rows
測定器	측정기	Measuring instrument
瑞典製	서전제	Swedish-made (瑞典 = Sweden)
誤差	오차	Error, margin of error
擴大器	확대기	Enlarger, magnifier
光學高溫度計	광학고온도계	Optical pyrometer
第一	제일	Number one, best
優秀하다	우수하다	To be excellent, superior
瑞西	서서	Switzerland (older name)
放賣하다	방매하다	To sell, release for sale
珍奇하다	진귀하다	To be rare and precious
빈틈없이	빈틈없이	Flawlessly, tightly packed, without gaps
工廠	공창	Factory, workshop
權威	권위	Authority, expert
專門校	전문교	Specialty school (short for 전문학교)
見學하다	견학하다	To observe, go on a field trip
寶石	보석	Jewel, gem
鑛物蒐集	광물수집	Mineral collection
古貨幣	고화폐	Old currency
葉錢	엽전	Leaf coin (type of old Korean coin, but used here for Tang dynasty coin)
紙幣	지폐	Paper money
日貨	일화	Japanese currency
無慮	무려	As many as, no less than
達하다	달하다	To reach, amount to
隆盛	융성	Prosperity, flourishing
如何	여하	How, whether, depending on
左右되다	좌우되다	To be determined by, influenced by
留意하다	유의하다	To pay attention, bear in mind
貢獻하다	공헌하다	To contribute
要望하다	요망하다	To desire, request
一攫千金	일확천금	Making a fortune overnight
普遍되다	보편되다	To be common, universal
心理	심리	Psychology
大陸的	대륙적	Continental (in scale or manner)
商業策	상업책	Business strategy
例컨대	예컨대	For example (older form of 예컨대)
原價	원가	Cost price
利益	이익	Profit
販賣하다	판매하다	To sell
箱子	상자	Box
共通되다	공통되다	To be common (to)
市場爭奪戰	시장쟁탈전	Market competition battle
極甚하다	극심하다	To be extreme, severe
特殊地帶	특수지대	Special zone
半島人	반도인	Peninsula people (referring to Koreans)
厚待하다	후대하다	To treat well, generously
衛生	위생	Hygiene, sanitation
理想的	이상적	Ideal
能率	능률	Efficiency
發揮하다	발휘하다	To demonstrate, display (ability)
同志	동지	Comrade
祝祭日	축제일	Festival day, holiday
待遇	대우	Treatment (of people)
告白하다	고백하다	To confess
農談	농담	Joke
別莊	별장	Villa, vacation home
娛樂	오락	Entertainment, amusement (written as 誤樂 in text, likely a typo or older variant)
成金	성금	Nouveau riche (Japanese loanword: なりきん narikin)
그렇다러거리며	거드럭거리며	Showing off, being arrogant (likely typo for 거드럭거리며)
基督敎信者	기독교신자	Christian believer
態度	태도	Attitude
感激	감격	Deep emotion, impression
社會事業	사회사업	Social work
本來	본래	Originally, essentially
資産	자산	Assets
主題넘게	주제넘게	Presumptuously, impertinently
名譽	명예	Honor, fame
有名無實	유명무실	Nominal but meaningless, existing in name only
基金	기금	Fund, foundation
內容	내용	Content(s)
充實하다	충실하다	To be substantial, faithful, solid
着手하다	착수하다	To embark on, start, commence
東亞共榮	동아공영	East Asian Co-Prosperity (Sphere)
旗幟	기장	Banner, flag (written as 旗帳 in text)
教會堂	교회당	Church building
創建하다	창건하다	To found, establish
有意義하다	유의미하다	To be meaningful, significant
協力하다	협력하다	To cooperate
決心	결심	Resolution, determination
披瀝하다	피력하다	To express, state, disclose (one's thoughts)
參事會議長	참사회의장	Council Chairman
合流되다	합류되다	To merge into, join
後繼團體	후계단체	Successor organization
理事長	이사장	Chairman of the board (of directors)
活躍하다	활약하다	To be active in, play an active part
重鎭	중진	Central figure, key person
聯盟	연맹	League, alliance
難民救濟會	난민구제회	Refugee Relief Committee
多方面	다방면	Various fields, many sides
期待	기대	Expectation, anticipation


---------------------------


잡지명	삼천리 제13권 제9호
발행일	1941년 09월 01일
기사제목	上海財界의 三百萬圓覇者, 孫昌植 訪問記(上海 第一의 機械 王國인 上海精密機械工藝社長)
기사형태	대담·좌담

上海財界의 三百萬圓覇者, 孫昌植 訪問記(上海 第一의 機械 王國인 上海精密機械工藝社長)
중학교 학생 시절부터 각종 기계를 발명하여 써 천재적 소질을 보여서 稱頌이 높았으며, 大學時代에도 諸發明品으로 특허를 맡고, 및 各 방면으로부터 表彰을 받은 조선인 天才科學者가 있으니 그는 현재 上海 공업계에서 제 일인자로 이름을 드날리는 孫昌植씨다. 기자는 東洋一의 정밀기계왕국이라고 일컸는 氏의 공장을 찾아 그 방문기를 독자 앞에 供하는 바이다.

上海는 특히 상공업으로 발달된 도시요, 그 중에서도 상업으로는 東洋의 關門이며, 및 세계 각국인의 경쟁 마-켓트로 유명한 특수지대이다. 이러한 국제시장에서 일개 조선인이 상해공업계의 일인자로서 내외인사에게 稱頌을 받으며, 더욱 육해군으로부터 상당한 후원을 받기까지 사업에 大成을 보아 上海에서 異彩를 날리고 있는 분이 있으니 그는 곧 젊은 實業家 孫昌植씨다.
氏는 上海 北四川路의 繁華한 거리에 번듯이 雄姿를 자랑하는 上海精密機械工藝社 社長으로서 그 수하에는 외국인 기사와 직공을 다수히 두었으며, 그의 사무실에는 내외국 저명인사의 출입이 頻繁하여 世人의 注視의 的일뿐 아니라 店舖위의 토-에 진열된 샴폴만도 지나가는 이의 걸음을 멈추게 한다.
