**Header Section:**
Magazine Title: 삼천리 제13권 제9호
Publication Date: 1941년 09월 01일
Article Title: 京城大和塾女敎師, 一週間の手記 (A Week's Diary of a Female Teacher at Keijō Yamato Juku)
Author: 金載璟
Article Type: 문예기타 (Literary/Miscellaneous)

**Body Text Translation:**

A Week's Diary of a Female Teacher at Keijō Yamato Juku
						Kim Chae-gyŏng (金載璟)

Month X, Day X
Having gotten ready early in the morning, I set off towards Yamato Juku. "How will it be?" I wondered as I walked, finally spotting it. Through the dense, gloomy green thicket, a stately grey Western-style building came faintly into view. As I climbed up, it was precisely the time for the morning assembly. I immediately observed the situation, but oh, the miserable state of the children was truly beyond imagination! Just one glance revealed the nature of their lives. Forgetting the heat, my head felt strangely blank, almost numb.
Soon, I warmly greeted the head teacher, Mr. Kim (金先生), and all the other teachers. Then, I addressed Mr. Kim, saying, "I am well aware of the reputation of Yamato Juku's work. I don't need money. I simply wish, out of passion and spirit, to become a good friend to the unfortunate children studying at your esteemed institution." After listening to various things, the teacher tactfully replied, "Well then, I shall inform you tomorrow."
He said something enigmatic like that. I went straight home that day, wondering what would happen, but perhaps by the grace of God, I immediately received a phone call with their acceptance.
My happiness at that moment is impossible to express. Suddenly, I felt a sense of attachment spring up for this place called Yamato Juku.

Month X, Day X
From today, to become a good guide for these young children, I shall truly build good habits that will form the foundation of my life. Whether this can be put into practice or not will likely be shown in the results later, but on this first day of social life, so far removed from my student life—that is, a life too simple—I vowed this much to myself.
Unexpectedly, letters of encouragement arrived from various people.

Month X, Day X
Today, filled with hope, I visited Chōsen Jingū (朝鮮神宮). Until yesterday, I went led by a teacher, but now, thinking of myself leading hundreds of young children, I was struck by an indescribable feeling, somewhat ticklish, somewhat amusing.
Again today, three or four letters arrived.

Month X, Day X
From the morning, "One, two, three, four," came the cheerful, energetic voices leaking from the radio <45>. With the promising morning sun at our backs, breathing in the fresh air, we vigorously moved our bodies along with those voices, together with the young children, using all our strength. What a pleasant morning it must have been!
Again today, [letters] came. I felt the weight of responsibility increasing.

Month X, Day X
Starting today, I began home visits. As I investigated, I truly couldn't help but feel tense, thinking, "Do people really live such miserable lives, lives one couldn't even dream of in human existence?" It was somewhat alarming that in a class of fifty students, all fifty families were in the same situation. Owning a single thatch-roofed house that looks like it could collapse any moment if the wind blew is, so to speak, the upper class among them; all the others are children of dugout-hut dwellers (土幕民). While visiting the homes of these children one by one, a thought occurred to me: I decided to observe the 'naked human,' that is, life stripped bare. What is the fundamental state of human beings? People wander around in a society stratified into various classes like rich, poor, student, laborer, gentleman. I thought I might see humans as they are, stripped of such things, perhaps at a swimming pool. People easily become arrogant if they are slightly above others in status or attend a higher-level school, but depending on one's self-cultivation, there seems to be room for caution. I experienced this on the train on my way home today. A man who looked like a laborer, wearing very dirty clothes, sat right in front of me. His body odor was so sickening it's impossible to describe. Yet, his face was masculine and dignified. Even this alone gave pause for thought. If his clothes hadn't been dirty, or rather, if he had worn clothes that suited his physique well, I probably wouldn't have felt so disgusted. Perhaps people in the world are all like that. People, especially women in general, tend to respect or despise others based solely on their clothes, judging by the fine titles bought with their wealth and status, but isn't this truly a mistaken way of thinking? Today's diary entry has become as long as a novel.
Especially today, despite the heat, I was able to visit about fifty homes together with Mr. Kanemitsu (金光先生). I thanked the teacher profoundly from my heart.

Month X, Day X
Today I met the Director (所長先生) for the first time; he was very gentle, yet also had a stern side. Also, in the afternoon, his wife came all the way in the heat, which made me feel slightly apologetic. Truly, I couldn't help but feel grateful from the bottom of my heart for everyone's kindness.
Again today, two or three letters arrived. It seems society holds great expectations.

Month X, Day X
The more one works, the more rewarding it becomes. It is through activity that both body and mind become focused. What a pleasant feeling we experience when entering a clean room! Looking at a tidy desk, one feels as if one's own mind and body have become well-ordered. Just as cleanliness and order cannot be achieved without work, what can come from just sitting idly? <46>
Now is my time to work.
Work with all your heart, as long as you have strength.
Today, too, after sweating together with the children while cleaning the classroom and toilets, my spirits somehow felt refreshed and clear.
Again today, various letters of encouragement arrived from unknown people. Reading letters has become a daily routine.

Month X, Day X
Dragging my tired body, I returned home. Soon after, according to a phone call from Mr. Kanemitsu, an article about me had been published in the Chōsen Shinbun (朝鮮新聞). It was so sudden that I was surprised. Anyway, when I looked at the newspaper, my own story was certainly written there, which quite took me aback. There was no need to go this far, especially since I've only been out in society for a few days. In any case, the results will appear in the end, but while my position becomes enjoyable on one hand, I can't help but feel pained on the other.
Still, [letters] came again.

Month X, Day X
Today again, reporters from both Keijō newspaper companies visited despite the heat. I felt the weight of responsibility growing day by day. In any case, I'll try my best, as long as I have the strength and ability.

Month X, Day X
Going to school as usual, I think of the innocent, lovely children. The children get attached to me like a mother or perhaps an older sister. Well, I think this can be great mental training for studying the psychology of becoming a future mother. When and by whom was the praise of maternal love first proclaimed? There is nothing strange, and certainly nothing praiseworthy, about a mother loving her child. It's a natural feeling that even birds and beasts possess. It is said that for the love of her child, a woman endures all sorts of things. In the same way, I intend to persevere through anything for these children.
Finally, I tried to write down my impressions of the teachers at Yamato Juku from when I first visited. They were generally like this:
First, Mr. Kanemitsu (金光先生)
At first glance, he looks enough like a king from somewhere. He has a well-defined, smart style, like the middle finger of a hand. Especially when he's smiling, if you look closely at his eyes, anyone would likely be charmed.
Mr. Eshiro (江城先生): At first glance, he seems to have a solid character. He feels like the ring finger of a hand. This teacher is the music teacher and possesses a beautiful voice, beyond description. No wonder he produced a voice far removed from an amateur. He also seems like a sentimental type; at first glance, the poetry of Saijō Yaso (西條八十氏) came to mind. He also had an intellectual side.
Mr. Tamagawa (玉川先生)
At first glance, he gave the impression of a great hero type. Like the thumb of a hand, he seemed the type who would eventually settle comfortably into a plush, round chair – a company president type. He was a bit stout and looked hot.
Mr. Hirahara (平原先生)
At first glance, he looked old for his age. Also, I thought he was a very serious person. I thought he might be a difficult person to socialize with. In terms of a hand, he resembles the index finger.
(End) <47>

**Summary**

This diary, written by Kim Chae-gyŏng, a new female teacher at the Yamato Juku in Keijō (colonial Seoul) in 1941, chronicles her first week. She expresses initial idealism and a desire to help the impoverished students, whose miserable living conditions (including many living in dugout huts) shock her during home visits. She reflects on social class, appearances versus inner character, and the nature of work and responsibility, spurred by encouragement letters and unexpected newspaper publicity. She also records her initial impressions of her male colleagues. The article offers a glimpse into the life of an educated Korean woman navigating the complexities of colonial society, working within a Japanese institution potentially aimed at assimilation (Yamato Juku). Historians might find interest in the firsthand account of poverty in colonial Seoul, the teacher's blend of naive idealism and nascent social critique, the mention of Chōsen Jingū visits (indicating state Shinto practice), and the description of the social dynamics and public attention surrounding her work.

**Named Entities**

京城	けいじょう	Keijō
大和塾	やまとじゅく	Yamato Juku
金先生	きんせんせい	Mr. Kim (Kim Sensei)
朝鮮神宮	ちょうせんじんぐう	Chōsen Jingū
金光先生	かねみつせんせい	Mr. Kanemitsu (Kanemitsu Sensei)
土幕民	どまくみん	Domakumin (dugout-hut dwellers)
所長先生	しょちょうせんせい	Director (Shochō Sensei)
朝鮮新聞	ちょうせんしんぶん	Chōsen Shinbun
江城先生	えしろせんせい	Mr. Eshiro (Eshiro Sensei)
西條八十氏	さいじょうやそし	Mr. Saijō Yaso
玉川先生	たまがわせんせい	Mr. Tamagawa (Tamagawa Sensei)
平原先生	ひらはらせんせい	Mr. Hirahara (Hirahara Sensei)

**Glossary**

身仕舞	みじまい	Getting dressed, preparing oneself
うつ蒼	うっそう	Gloomy, dense (vegetation)
しつくり	しっくり	Neatly, stately, harmoniously
洋館	ようかん	Western-style building
朝禮	ちょうれい	Morning assembly/ceremony
みじめ	みじめ	Miserable, wretched
窺う	うかがう	To peep, to spy, to get a glimpse of
氣の毒	きのどく	Pitiful, unfortunate
體良く	ていよく	Tactfully, plausibly, politely
謎見たいな	なぞみたいな	Enigmatic, like a riddle
承諾	しょうだく	Consent, acceptance
愛着心	あいちゃくしん	Feeling of attachment/affection
指導者	しどうしゃ	Leader, guide
實行	じっこう	Practice, execution, implementation
單純	たんじゅん	Simple, naive
方方	ほうぼう	Various people, here and there
激勵	げきれい	Encouragement
參拜	さんぱい	Worship, visit to a shrine/temple
引率	いんそつ	Leading (a group)
くすくつたい	くすぐったい	Ticklish, embarrassing
ラヂオ	ラジオ	Radio (older katakana spelling)
家庭訪門	かていほうもん	Home visit
土幕民	どまくみん	People living in dugout huts (specific historical term for impoverished dwellers)
裸	はだか	Naked, bare
本態	ほんたい	True nature, essence
階級づけられた	かいきゅうづけられた	Stratified, classified by rank
水泳場	すいえいじょう	Swimming pool
高慢	こうまん	Arrogant, haughty
修養	しゅうよう	Self-cultivation, discipline
穢ない	きたない	Dirty, filthy (older spelling of 汚い)
體臭	たいしゅう	Body odor
うんざり	うんざり	Tedious, boring, sickening
凜々しい	りりしい	Dignified, gallant
肩書	かたがき	Title, rank, social standing
輕茂	けいぶ	Contempt, scorn (likely 軽侮)
所長	しょちょう	Director, head of an institute
心つかひ	こころづかい	Consideration, kindness (often 心遣い)
整頓	せいとん	Orderliness, tidiness
便所	べんじょ	Toilet, lavatory
面喰ふ	めんくらう	To be bewildered, taken aback (often 面食らう)
無心	むしん	Innocent, artless
馴つく	なつく	To become attached to, to tame (often 懐く)
母性愛	ぼせいあい	Maternal love
讚美	さんび	Praise, adoration
不審	ふしん	Suspicion, doubt, strangeness
印象	いんしょう	Impression
王樣	おうさま	King (often 王様)
中指	なかゆび	Middle finger
スマート	スマート	Smart, stylish
スタイル	スタイル	Style
目許	めもと	Expression of the eyes, around the eyes
藥指	くすりゆび	Ring finger
美聲	びせい	Beautiful voice
素人離れ	しろうとばなれ	Professional (skill), unlike an amateur
センチ	センチ	Sentimental (loan word)
理智的	りちてき	Intellectual, rational
親指	おやゆび	Thumb
豪傑作	ごうけつさく	Masterpiece of heroism; here likely 'heroic type'
ふはつとした	ふはつとした	(Unclear, possibly typo for ふわっとした - soft, airy, plump)
丸椅子	まるいす	Round stool/chair
社長タイプ	しゃちょうタイプ	Company president type
人差指	ひとさしゆび	Index finger


---------------------------


잡지명	삼천리 제13권 제9호
발행일	1941년 09월 01일
기사제목	京城大和塾女敎師, 一週間の手記
필자	金載璟
기사형태	문예기타

京城大和塾女敎師, 一週間の手記
						金載璟

×月×日
朝早く身仕舞を濟ませて大和塾へと步を進めた。どうかしら？
といふ疑問を抱いて行く中にやつと見付けた。うつ蒼とした草木の茂みの間よりかすかに見ゆるしつくりとした灰色の洋館が目についた。やうやく登つて見ると丁度朝の朝禮の時間だつた。さつそく樣子を見たが本當に想像もしなかつた子供達のみじめなその姿！ちよつと見ただけて彼等の生活が窺はれた唯暑さも忘れて頭がボートなる位異樣な氣がした。
間もなく主任の金先生を始めとしてみなの諸先生方に親しく挨拶を合はしたそれがら金先生にこう申し上げた。大和塾の事業は世の評判を通じてよく判つてゐますお金はいりません。唯熱と意氣で貴塾に學ぶ氣の毒な子弟達のよき友達にしてもらひたいとう自分の希望を申し述ベたがいろ〱と聞いて居られた先生は體良くでは明日お報せしませう。
と謎見たいな事をおつしやつた其の日はその儘歸へつて來たかどうしだのか神のおぼしめしに依つてがすぐに承諾の御電話があつた。
其の時の嬉しかつた事は到底云い表はす事も出きない。何だか急に大和塾というものに愛着心が涌いて來た。

×月×日
今日からは幼き彼等の爲によき指導者になる爲には本當に自分の生活の基礎となる良き習慣を作らう。これは實行出來るか、出來ないかそれは後の結果に表はれるのであらうが今迄の學生生活つまり餘りにも單純そのものの生活からずつとかけ離れた社會生活の第一日にあたつてこれだけをと心に誓つた。
意外にも方方から激勵の御手紙が來た

×月×日
今日は希望に滿ち〱朝鮮神宮に參拜した。昨日迄は先生に引率されていつたが今になつては何百といふ幼なき兒童をつれて行く自分を思う時何だがくすくつたいやうなおかしいやうな知れない思いにうたれた。
今日も又手紙が三、四、通位來た。

×月×日
朝から、一、二、三、四とラヂオから＜45＞漏れ來る元氣なよい聲、望のある朝日を背にしながらそして新鮮な空氣を吸ひながら元氣よくその聲にしたがつて幼き子供等と共にある限りの力を以て身を動かす何と心地よい朝だつたでせう。
今日も又來た責任の重くなるのを感じた。

×月×日
