잡지명	삼천리 제13권 제9호
발행일	1941년 09월 01일
기사제목	月光を愛す(月愛三味の記) (To Love the Moonlight (A Record of Moon-Love Absorption))
필자	津田節子
기사형태	문예기타 (Literary/Miscellaneous)

To Love the Moonlight (A Record of Moon-Love Absorption)
						Tsuda Setsuko

When bathed in the light of the moon, everyone becomes sad.
*When I see the moon,*
*Sadness comes in a thousand forms—*
*Though the autumn is not for me alone.*
The ancients who sang this poem and we of the Shōwa era are the same.

*Seeing the moonlight, I become sad*
*Why do tears flow?*
*Within the moonlight lies a country*
*A nostalgic homeland of love*
*On evenings when moonlight streams*
*My thoughts grow ever more lonely*
*Seeing the moonlight, I become sad*
*Why do tears flow?*

This old poem, which I've loved since I was a girl, is one I still find myself humming on moonlit nights.
The sky's color is relatively bright, almost appearing a pale yellow, and within it is a mass of light, as if drenched, a crystallization of light that seems as if droplets might drip down—when I gaze fixedly up at it like this, my body and soul seem to become drenched too. And then, a pleasant sadness, making me want to be coddled, to silently take someone's hand, gently envelops me. And whenever I look up at a full moon like tonight's, I invariably recall the words "Gatsuai Zanmai" (月愛三昧 - Moon-Love Samādhi).

Gatsuai Zanmai (月愛三昧)—please look at these characters. I love these characters. The character for moon (月), the character for love (愛), and the word "sanmai" (三昧). It is said that this light of the full moon is the light that naturally flows from the unwavering body of the Buddha when he enters the meditative state called Gatsuai Zanmai <41> (月愛三昧).

King Ajase (阿闍世), deceived by a wicked friend, killed his father and imprisoned his mother. Out of shame and remorse, he suffered in body and mind.
*Like a pond where lotus flowers do not bloom*
*Like a tree that bears no blossoms*
*Like a king who has lost his country*
It is written that he was wasting away with grief. When a good friend named Jīvaka (耆婆) was telling him various things about the Buddha, the voice of his deceased father echoed from somewhere, commanding, "Go quickly to the Buddha and seek salvation." Upon hearing this voice, the king fainted and collapsed to the ground.
"At that time, the World-Honored One (世尊), being between the twin Sāla trees (娑羅雙樹)..."
He saw this Ajase. The gentle eyes of the Buddha must have been moist with tears. And to save King Ajase, he entered the meditative concentration (禪定 - zenjō) called Gatsuai Zanmai. Then, a cool, refreshing light began to overflow from his body, illuminating the fallen Ajase's form and enveloping his defiled, wounded flesh. As the suffering of his body and mind suddenly vanished, King Ajase, astonished, asked Jīvaka (耆婆) beside him:
"From where does this light come?"
Jīvaka replied:
"Great King, you should know that such an auspicious sign (瑞相) is indeed the radiant light emitted by the Tathāgata (如來) upon entering the Gatsuai Zanmai (月愛三昧)."
This is the story found in the Nirvana Sutra (涅槃經). I thought it was a truly beautiful story.
Cool, refreshing light, pellucid light. And the light of the moon, which holds shadows somewhere within it—this, it is said, is the radiant light the Buddha emits upon entering Gatsuai Zanmai. Moreover, it is said that the recipient of this is the wicked and inhuman Ajase.
The Buddha explains it thus:
"I entered Gatsuai Zanmai for the sake of Ajase alone. However, that Ajase refers to all ordinary beings (一切凡夫). Ajase means all people who suffer and are troubled. Ajase means all women (一切の女人)."
There are many poems praising the moonlight. There are many stories pledging oaths by the moonlight. But I believe there is no other story as beautiful, as fitting for the moonlight, as this one.

The faint crescent moon with its delicate brow is lovely, and the five-day moon floating solitarily is also beautiful, but it is the roundness, the beauty of the full moon that I can truly look up at with a sense of gratitude. Light that permeates even the depths of the heart; gazing at the moon while holding feelings that overflow the chest, one can weep with the feeling of crying on a distant mother's back, and at other times, one can gaze at the moon with the affectionate heart of a young child snuggling against its mother's cheek. The moonlight is a caress and a compassion. <42>
I make an effort to look up at the moon. It is because I want to make my heart cool and clear. When I join my palms towards the moon, close my eyes and pray, then raise my eyes and gaze at the moon once more, true love flows into our bodies through human sentimentality.
The ill-fated poetess Takeuchi Teruyo sang:

*This beautiful, pure light*
*Oh, Moon!*
*Is the wordless love*
*You show to humankind.*

*Traveling alone through the vast sky*
*Until you sink into the western woods*
*I scoop that light in the palm of my hand (たなごゝろ)*
*And quietly worship that light.*

Ah, I too spread open both hands to scoop this moonlight, and purify myself (みそぎ) within the moonlight meant for suffering women (苦しめる女人). <43>

**Summary**

This essay by Tsuda Setsuko reflects on the profound emotional and spiritual connection the author feels with moonlight, particularly the full moon. She describes the sadness and longing evoked by moonlight, linking it to classical poetry and a personal favorite poem. The core of the essay explores the Buddhist concept of "Gatsuai Zanmai" (Moon-Love Samādhi) from the Nirvana Sutra, where the Buddha emits a purifying, compassionate light to save the suffering King Ajase, who represents all troubled beings, especially women. The author finds solace, purification, and a connection to universal love and compassion by consciously bathing in and contemplating the moonlight, echoing the sentiments of the poetess Takeuchi Teruyo. From a historical perspective, this Japanese author's contemplative piece published in a prominent Korean magazine ("Samch'ŏlli") during the late colonial period is interesting. It highlights the presence of Japanese cultural and spiritual expression within the Korean public sphere and offers insight into personal solace sought through Buddhism and nature appreciation, perhaps as an escape or counterpoint to the harsh realities of the time, particularly focusing on female suffering and spiritual remedy.

**Named Entities**

津田節子	つだせつこ	Tsuda Setsuko
昭和	しょうわ	Shōwa
阿闍世	あじゃせ	Ajase (Ajatashatru)
耆婆	ぎば	Giba (Jīvaka)
世尊	せそん	Seson (World-Honored One / Buddha)
娑羅雙樹	さらそうじゅ	Sarasōju (Twin Sāla Trees)
如來	にょらい	Nyorai (Tathāgata / Buddha)
涅槃經	ねはんきょう	Nehankyō (Nirvana Sutra)
竹內てるよ	たけうちてるよ	Takeuchi Teruyo

**Glossary**

月光	げっこう	Moonlight
かなしく	かなしく	Sadly, sorrowfully (Classical/older adverbial form of 悲しい)
わがみ	わがみ	Myself, my own self (Slightly archaic/poetic form of 我が身)
一つ	ひとつ	One, single (Here implies 'alone' or 'unique to')
淚	なみだ	Tears (Older Kanji form of 涙)
何ゆゑか	なにゆえか	Why, for what reason (Archaic/literary form of なぜか)
ふるさと	ふるさと	Hometown, native place (Written in hiragana, common)
おもひ	おもい	Thoughts, feelings (Older kana spelling of 思い)
いよゝ	いよいよ	More and more, increasingly (Older kana spelling/iteration mark use for いよいよ)
好きだつた	すきだった	Liked, was fond of (Slightly older colloquial past tense form)
やつぱり	やっぱり	As expected, still, after all (Colloquial form of やはり)
淺黃色	あさぎいろ	Pale yellow, light yellow-green
したゝり落ち	したたりおち	To drip down, trickle down
仰いでゐます	あおいでいます	Am looking up at (Continuous form using older kana ゐ)
默つて	だまって	Silently
しみ〲と	しみじみと	Deeply, keenly, heartily
滿月	まんげつ	Full moon
月愛三昧	がつあいざんまい	Moon-Love Samādhi (A specific Buddhist meditative state)
禪定	ぜんじょう	Meditative concentration (Dhyāna in Sanskrit)
おからだ	おからだ	Body (Honorific form of 体)
おのづから	おのずから	Naturally, spontaneously
慚愧	ざんき	Shame, remorse
幽閉	ゆうへい	Confinement, imprisonment
愁ひ	うれい	Grief, sorrow, melancholy (Older noun form)
悶絶	もんぜつ	Fainting in agony, agony
救ひ	すくい	Salvation, rescue, help
世尊	せそん	World-Honored One (An epithet for the Buddha)
淸凉	せいりょう	Cool and refreshing
溢れはじめ	あふれはじめ	Began to overflow
怱ち	たちまち	Suddenly, in an instant
瑞相	ずいそう	Auspicious sign, wondrous omen
如來	にょらい	Tathāgata (Thus Come One - an epithet for the Buddha)
光明	こうみょう	Bright light, radiance (Often used in a sacred context)
透徹	とうてつ	Transparent, clear, pellucid
陰翳	いんえい	Shadow, shade, nuance
惡逆無道	あくぎゃくむどう	Atrocious and inhuman, tyrannical
凡夫	ぼんぶ	Ordinary person, common mortal (Buddhist term)
女人	んにょにん	Woman (Often used in Buddhist texts, sometimes with nuance of being harder to attain enlightenment)
たゝへる	たたえる	To praise, extol
誓へる	ちかえる	To pledge, vow (Potential typo for 讃える - tataeru - to praise? Or used in a specific sense here related to oaths by the moon?) Context suggests 'praise' fits better than 'pledge'. Assuming 讃える.
まどかさ	まどかさ	Roundness, perfection, harmony
ありがたい	ありがたい	Grateful, thankful, precious
しみ込んでくる	しみこんでくる	To soak into, permeate
餘る	あまる	To remain, exceed, overflow
遙か	はるか	Distant, far off
泣き伏す	なきふす	To fall down crying, prostrate oneself in tears
幼子	おさなご	Young child, infant
頰	ほお	Cheek
すりよせる	すりよせる	To rub against, snuggle up to
愛撫	あいぶ	Caress, stroke
哀憐	あいれん	Pity, compassion
つとめて	つとめて	To make an effort to, consciously try to
合掌	がっしょう	Putting hands together in prayer (Buddhist gesture)
眼	まなこ	Eye (Slightly literary/older term for 目)
祈念	きねん	Prayer
感傷	かんしょう	Sentimentality, sentiment
眞實	しんじつ	Truth, reality (Older Kanji form of 真実)
薄倖	はっこう	Unfortunate, unlucky, ill-fated (Often applied to women)
うるはしく	うるわしく	Beautifully, gracefully (Older adverbial form of 美しい)
淸き	きよき	Pure, clear (Classical/literary form of 清い)
おん身	おんみ	You (Archaic/poetic honorific pronoun, referring to the Moon)
人類	じんるい	Humankind, humanity
指し示す	さししめす	To indicate, point out
たなごゝろ	たなごころ	Palm of the hand (Older kana spelling/iteration mark use for たなごころ)
掬し	すくい	To scoop up (with hands)
拜しまつる	はいしまつる	To worship,拝む (haigamu) in humble language (謙譲語 - kenjōgo)
雙手	そうしゅ	Both hands
苦しめる	くるしめる	To torment, afflict, cause suffering to (Here modifying 'women')
みそぎ	みそぎ	Purification ritual (Often Shinto, but used here metaphorically)


---------------------------


잡지명	삼천리 제13권 제9호
발행일	1941년 09월 01일
기사제목	月光を愛す(月愛三味の記)
필자	津田節子
기사형태	문예기타

月光を愛す(月愛三味の記)
						津田節子
月の光に濡れると人間は誰でもかなしくなります。
月みれば千々にものこそかなしけれ
わがみ一つの秋にはあらねど
と歌つた古人も昭和の私達も同じこでとす。

月光を見ればかなしく
何ゆゑか淚ながるゝ
月光の中に國あり
なつかしき愛のふるさと
月光の流るゝ夕べに
わがおもひいよゝ淋し
月光を見ればかなしく
何ゆゑか淚ながるゝ

