Magazine Title: 삼천리 제10권 제1호
Publication Date: 1938년 01월 01일
Article Title: 해외활약의 中國公使들 (Chinese Ministers Active Overseas)
Article Type: 소식 (News/Report)

Chinese Ministers Active Overseas

Gu Weijun (顧維鈞) (France)
He is a prominent figure among Chinese diplomats, who gained fame for his arguments at the Paris Peace Conference. Born in Shanghai in 1888, he completed studies at a school run by foreigners in Shanghai, then studied abroad in America, learning international law at Columbia University. He was a star of the student debate society. Since returning to China in 1912, he pursued a diplomatic career. He was appointed Minister to Mexico in 1915 and signed the treaty restoring diplomatic relations with Russia in 1924. In May 1926, he was appointed Minister of Finance.<5> In 1927, he formed a cabinet and concurrently served as Minister of Foreign Affairs.
Even after the establishment of the Nanjing Nationalist Government, he remained active on the diplomatic stage, becoming Minister of Foreign Affairs in 1931. He participated as the Chinese representative on the Lytton Commission. Since 1932, as Ambassador to France, he has been the key figure in China's European diplomacy. During this time, he has attended all international conferences in Europe as the Chinese representative. It is fully imaginable that he is maneuvering behind the scenes regarding the current Sino-Japanese Incident.

Wang Zhengting (王正廷) (United States)
Born in 1882 in Ningbo, Zhejiang Province, he studied at Beiyang University in Tianjin and then at the Tianjin Anglo-Chinese College. After studying in Japan for two years, he studied in the United States at the University of Michigan and Yale University (Note: "콜대학" likely refers to Yale), receiving degrees. After graduation, he served as the general secretary of the Y.M.C.A. When the Xinhai Revolution occurred, he joined Li Yuanhong. When the Tang Shaoyi Cabinet was formed in Beijing, he was appointed Vice Minister for Industry and Commerce (Note: "강남부차장" likely refers to 工商部次長 Gongshangbu Cizhang). In 1918, he joined the Guangdong Government and was dispatched to America as its representative. In 1919, he was appointed as a delegate to the Paris Peace Conference. In 1920, he established a trading company and Huafeng Textiles (華豊紡績) in Shanghai, attempting large-scale activities typical of the Zhejiang financial clique, but did not achieve significant success. In 1922, concerning the retrocession of Shandong, he was appointed the <6> Chinese chief representative on the Sino-Japanese Joint Commission and worked on contact with Japan. In the same year, he served as Minister of Foreign Affairs and then Acting Premier. Later, in 1923, he began negotiations with Karakhan for the restoration of Sino-Russian diplomatic relations, putting forth all his effort until the preliminary signing in April 1924. Immediately after that, he became the general manager of the Liuheman Coal Mine Company (六河滿炭坑회사). After the fall of the Zhili clique, he served under Feng Yuxiang as Minister of Foreign Affairs and Minister of Finance. In 1926, he became Minister of Foreign Affairs for the Beijing Government. Then, at some point, he became a member of the Nanjing Government's Foreign Affairs Committee and served as Minister of Foreign Affairs from 1928-31. He held significant power as a member of the Kuomintang Central Executive Committee and the Central Political Council. Appointed Ambassador to the United States in the summer of 1936, he had not yet taken up the post, but as the situation between Japan and China rapidly worsened, he proceeded to his post in Washington.
He is often described as a merchant diplomat or a comprador diplomat.

Guo Taiqi (郭泰祺) (United Kingdom)
Born in 1888 in Guangji County (廣濟縣), Hubei Province, he went to the United States as a government-sponsored student in 1904 and studied political science at the University of Pennsylvania. Returning to China in 1912, he served as secretary to Li Yuanhong (黎元洪). In 1917, he resigned from his official post and followed Sun Wen, becoming his secretary. In 1918 (remainder omitted) <7>

**Summary**

This 1938 article from the Korean magazine *Samch'ŏlli* profiles three prominent Chinese diplomats active internationally: Gu Weijun (Ambassador to France), Wang Zhengting (Ambassador to the US), and Guo Taiqi (Ambassador to the UK). It details their educational backgrounds (often including study in the US), early careers during the turbulent period of the Chinese Republic, involvement in key diplomatic events like the Paris Peace Conference and negotiations with Russia, and their current roles representing China abroad during the Sino-Japanese War. The article highlights their experience and influence, particularly noting Gu Weijun's key role in European diplomacy and Wang Zhengting's complex career involving business and politics, labeling him a "merchant diplomat." For historians studying the Korean colonial period, this article is interesting as it shows Korean readership being informed about China's international diplomatic efforts during the war against Japan. The use of the term "支那" (China), common in Japanese and Korean sources of the era, and the neutral, biographical tone despite the ongoing conflict offer insights into how regional affairs were presented to a Korean audience under Japanese rule.

**Named Entities**

顧維鈞	구유균	Gu Weijun
佛國	불국	France
巴里平和會義	파리평화회의	Paris Peace Conference
支那	지나	China
上海	상해	Shanghai
아메리카	아메리카	America
컬럼비아 대학	컬럼비아 대학	Columbia University
맥시코	멕시코	Mexico
露西亞	노서아	Russia
南京國民政府	남경국민정부	Nanjing Nationalist Government
리튼컨미숀	리튼컨미숀	Lytton Commission
歐洲	구주	Europe
日支事件	일지사건	Sino-Japanese Incident
王正廷	왕정정	Wang Zhengting
米國	미국	United States
浙江省寧波	절강성영파	Ningbo, Zhejiang Province
天津	천진	Tianjin
북양대학	북양대학	Beiyang University
앙크로·차이니스·칼레지	앙크로·차이니스·칼레지	Anglo-Chinese College
日本	일본	Japan
미시칸 대학	미시칸 대학	University of Michigan
콜대학	콜대학	Yale University (presumed)
Y,M,C,A,	와이엠시에이	Y.M.C.A.
辛亥革命	신해혁명	Xinhai Revolution
黎元洪	여원홍	Li Yuanhong
北京	북경	Beijing
唐紹儀內閣	당소의내각	Tang Shaoyi Cabinet (assuming 阿 is typo for 閣)
廣東政府	광동정부	Guangdong Government
華豊紡績	화풍방적	Huafeng Textiles (tentative)
山東	산동	Shandong
日支共同委員會	일지공동위원회	Sino-Japanese Joint Commission
카라한	카라한	Karakhan (Lev Karakhan)
露支復交	노지복교	Sino-Russian Restoration of Relations
六河滿炭坑회사	육하만탄갱회사	Liuheman Coal Mine Company (tentative)
直隷	직례	Zhili Clique
馮玉祥	풍옥상	Feng Yuxiang
北京政府	북경정부	Beijing Government
南京政府	남경정부	Nanjing Government
外交委員會	외교위원회	Foreign Affairs Committee
國民黨 中央執行委員	국민당 중앙집행위원	Kuomintang Central Executive Committee Member
中央政治會議	중앙정치회의	Central Political Council
華盛頓	화성돈	Washington
郭泰祺	곽태기	Guo Taiqi
英國	영국	United Kingdom
湖北省 廣濟縣	호북성 광제현	Guangji County, Hubei Province (assuming 廣 for *)
펜실비니아 대학	펜실비니아 대학	University of Pennsylvania
孫文	손문	Sun Wen (Sun Yat-sen)

**Glossary**

公使	공사	Minister (diplomatic rank)
平和會義	평화회의	Peace Conference
論爭	논쟁	Debate, argument
勇名	용명	Fame for bravery/skill
날닌	날린	(Older spelling) Flew, gained (fame)
芳形	방형	Prominent figure, star (lit. fragrant form)
外人	외인	Foreigner
經營	경영	Management, operation
學敎	학교	(Older spelling) School
배웟다	배웠다	(Older spelling) Learned
花形	화형	Star figure, prominent person
귀국	귀국	Return to one's country
이래	이래	Since
復交	복교	Restoration of diplomatic relations
條約	조약	Treaty
조인	조인	Signing (of a treaty)
總長	총장	Minister (head of a government department)
되였다	되었다	(Older spelling) Became
내각	내각	Cabinet (government)
조직	조직	Organize, form
兼任	겸임	Holding concurrent positions
무대	무대	Stage, arena
등장	등장	Appearance, entry
부장	부장	Minister, head of a department (e.g., 외교부장 - Minister of Foreign Affairs)
위원	위원	Member (of a committee)
가입	가입	Joining, participation
이래	이래	Since
大使	대사	Ambassador
總探題	총탐제	(Archaic/Rare term) Key figure, overall leader (in a specific domain like diplomacy)
동안	동안	During
암중비약	암중비약	Making secret moves, maneuvering behind the scenes
사건	사건	Incident, event
수학	수학	Studying, learning
유학	유학	Studying abroad
학위	학위	Academic degree
총간사	총간사	General Secretary
이러나자	일어나자	(Older spelling) As soon as it occurred/broke out
가담	가담	Join, participate in
성립	성립	Establishment, formation
임명	임명	Appointment
파견	파견	Dispatch, sending
대표	대표	Representative, delegate
설립	설립	Establishment, founding
대대적	대대적	Large-scale
재벌	재벌	Chaebol, financial conglomerate
활약	활약	Activity, active role
볼랴고	보려고	(Older spelling) Trying to see, attempting
성과	성과	Result, achievement
환부	환부	Restitution, return
접촉	접촉	Contact, interaction
힘쓰다	힘쓰다	To strive, make efforts
대리	대리	Acting (as in Acting Premier)
국무총리	국무총리	Premier, Prime Minister
개시	개시	Beginning, start
가조인	가조인	Preliminary signing
전력	전력	All one's effort
