**Header Section:**
Magazine Title: 삼천리 제10권 제1호
Publication Date: 1938년 01월 01일
Article Title: 古典「舞踊」과 「音樂」을 부흥식히고저, 崔承喜·韓成俊 兩巨匠 會見 (Seeking to Revive Classical "Dance" and "Music," Two Great Masters Ch'oe Sŭnghŭi and Han Sŏngjun Meet)
Author: Not specified
Article Type: 소식 (News/Report)

**Body Text Translation:**
Seeking to Revive Classical "Dance" and "Music," Two Great Masters Ch'oe Sŭnghŭi and Han Sŏngjun Meet

"Ŏrhwa Manso—
Ŏrhwa Taesae-nira"

Could a Westerner, even if they died a hundred times, ever manage such a wonderful song tune? Likewise, who else could perform the "Monk's Dance" (僧舞), danced softly and gently as if crawling or embracing, wearing a peaked hat and a monk's robe (長衫), or the "Sword Dance" (劍舞), danced with spirit, the sword hilt fluttering gracefully? Only we can dance these, and even among us, the eyes of the young generation grow increasingly dim to appreciating them.

It is truly a regrettable thing that the classical music and dance, kneaded from the soil of this land over many thousands, many hundreds of years, are gradually hiding behind the awareness of the people of this era.
Therefore, those who have once been immersed in the fragrance of that art have all come to think, how can we revive this "song tune" and this "splendid dance danced flutteringly"?
In any era, in any place, it is not the masses of the time but only the artists who make such efforts to connect the fading light. Among artists, it is those with the most passion (熱) and sincerity (精誠) who carry this forward. And now, beautiful new light is heard on the first dawn of the new year. It is the appearance of Mr. Han Sŏngjun and Ms. Ch'oe Sŭnghŭi.

Meeting at Myŏngwŏlgwan—Researching by Actually Dancing
The very beginning of the matter was some time ago.
One cold winter evening.
The place: Myŏngwŏlgwan (明月舘).
Those gathered:
Ms. Ch'oe Sŭnghŭi (崔承喜氏)
Mr. Han Sŏngjun (韓成俊氏)
Mr. Kim Hyŏngjun (金炯駿氏)
Mr. Hyŏn Ch'ŏl (玄哲氏)
Mr. Ch'oe Sŭng'il (崔承一氏)
Mr. An Mak (安漠氏)
and others. That Ms. Ch'oe Sŭnghŭi is a dancer receiving the most respect in the world, pouring her creative genius through 'tansu' (dance) or new-style dance, needs no further mention. But more than that, it also needs no further mention that she achieved great significance by creating and presenting various types of Korean dance (朝鮮舞踊) intertwined with the sentiment of the Peninsula (半島情緖), old dances like "Ehera, Noara" and "Arirang," featuring them whenever she performed at the Kyŏngsŏng Public Hall (京城府民舘) or toured various other regions. Furthermore, as for Mr. Han Sŏngjun, it needs no further explanation that he is the sole great master who, skilled at playing the changgo (장고) from early on, also knows how to perform ancient dances (古무용) passed down from the very, very distant Three Kingdoms period. And Mr. Kim Hyŏngjun, who attended that night, is famous as a folk dancer (民俗무용가) deeply versed (造詣깁흔) in the southern arts buried in the Southern Korea (南鮮) region. Besides them, Mr. Hyŏn Ch'ŏl is also a folklore researcher, and Messrs. Ch'oe Sŭng'il and An Mak are also individuals striving to revive the classical arts of the peninsula.
These various people gathered in one place. They gathered, talked about the new and the old, showed each other, and thus strove to discover the good points. Now, to describe the scene that night, first:

Mr. Han Sŏngjun: "Until becoming 64 this year, I have solely researched Korean Dance (朝鮮舞踊) theoretically and practically, but the Korean (朝鮮) populace still lacks understanding of dance, so dancers have been recognized as a kind of lowly entertainer (藝人). Therefore, naturally, I lacked the courage to widely reveal myself as a dancer before the public, nor did I even have the opportunity to do so. Even the Korean populace, who so lacked understanding of dance, have come to reappraise Korean Dance thanks to Ms. Ch'oe Sŭnghŭi's astonishing dance, and the joy (깃붐) of that is indescribable. What I wish to entrust (願托) to Ms. Ch'oe Sŭnghŭi is for her to inherit the 50-odd types of Korean Dance I have researched to this day and ensure that Korean Dance lives on forever. If that does not happen, the Korean Dance I have researched will die along with my death."

Ms. Ch'oe Sŭnghŭi: "What I have researched and performed to this day is the modernization of Korean Dance, that is to say, I have created about 30 types of dance by learning good aspects from Western Dance (西洋舞踊) so that Westerners can also understand them. This is the Korean Dance I intend to introduce on my upcoming trip to Europe and America (歐米)."

After the long exchange of opinions between old master Han Sŏngjun and Ms. Ch'oe Sŭnghŭi ended, an actual mutual demonstration of dance began— Many people have seen Ms. Ch'oe Sŭnghŭi dancing on stage, but it is rare to see her dancing without makeup, still in Western clothes, tying a towel (수건) and explaining as she dances. Not only the Myŏngwŏlgwan office staff and the 'boys' (뽀이), but even guests and kisaeng (기생) engrossed in amusement in various rooms scrambled to watch, causing a commotion. Ms. Ch'oe Sŭnghŭi's "Dancing Girl" (舞女) seemed to strike a chord with old master Han Sŏngjun and Mr. Kim Hyŏngjun; both gentlemen repeatedly uttered exclamations of admiration. The "Crane Dance" (鶴춤) by old master Han Sŏngjun, over 60, and Mr. Kim Hyŏngjun's Southern Korean Folk Dance (南鮮民俗舞踊) "Tŏtpaegi Ch'um" (덧배기춤) also seemed to have many points to teach Ms. Ch'oe Sŭnghŭi; her whole body became eyes watching.

Establishment of a Music, Dance Research Society?—Ms. Ch'oe Sŭnghŭi Donates 600 Won
After the mutual dance demonstration ended, opinions soon aligned, and it was decided to organize the Korean Music and Dance Research Society (朝鮮音樂舞踊硏究會). Ms. Ch'oe Sŭnghŭi volunteered to contribute 600 won for the founding preparation fund. However, as Ms. Ch'oe Sŭnghŭi was leaving Tokyo (東京) on December 25th for Korean Dance performances (朝鮮舞踊公演) (Continued on page 42, lower section)<43> heading for Europe and America (歐米), she could not become a founding committee member but promised to support indirectly as an advisor during her trip and to be active on the front lines after her return. So, what is the news of the Society's founding thereafter? A sign for the Korean Music and Dance Research Society Founding Office has been hung at Mr. Han Sŏngjun's residence in Kyŏngun-dong (慶雲町) in the city, and the founding committee chairman, Mr. Hyŏn Ch'ŏl, is vigorously active. It is said that the recruited members already number over 60, and they plan to construct a hall and recruit research students by March of next year (明年) at the latest.
After Ms. Ch'oe Sŭnghŭi returns, the Society's headquarters will be in Seoul (서울), but the place of activity, meaning the performance venue, will be in Tokyo (東京), and Ms. Ch'oe Sŭnghŭi plans to actually perform in major theaters throughout mainland Japan (日本內地).<42>
<42-43>

**Summary**

This 1938 news report details a significant meeting at Myŏngwŏlgwan between the internationally renowned modern dancer Ch'oe Sŭnghŭi and the elderly master of traditional Korean dance, Han Sŏngjun. Driven by a shared desire to revive and preserve classical Korean dance and music, which Han feared would die with him due to lack of public appreciation, they discussed their respective approaches – Han's preservation of ancient forms and Ch'oe's modernization for international appeal. The meeting led to mutual dance demonstrations and the decision to establish the Korean Music and Dance Research Society, funded initially by Ch'oe's donation. Although Ch'oe was departing for an international tour, plans were underway, led by Hyŏn Ch'ŏl, to establish the society with Han Sŏngjun, aiming for a physical space and students by early 1939, with future performances planned in Tokyo upon Ch'oe's return.

From a historical perspective, the article is interesting as it captures the dynamic interplay between tradition and modernity in Korean arts under Japanese colonial rule. It highlights conscious efforts by prominent Korean cultural figures to safeguard and promote national heritage amidst assimilation pressures, showcases the generational dialogue about cultural preservation (Han entrusting his legacy to Ch'oe), and reflects the complex cultural positioning of Korean artists within the Japanese empire, planning activities in both Seoul and Tokyo.

**Named Entities**

崔承喜	최승희	Ch'oe Sŭnghŭi
韓成俊	한성준	Han Sŏngjun
明月舘	명월관	Myŏngwŏlgwan
金炯駿	김형준	Kim Hyŏngjun
玄哲	현철	Hyŏn Ch'ŏl
崔承一	최승일	Ch'oe Sŭng'il
安漠	안막	An Mak
朝鮮	조선	Chosŏn
京城府民舘	경성부민관	Kyŏngsŏng Pumingwan
南鮮	남선	Namsŏn
三國時代	삼국시대	Samguk Sidae (Three Kingdoms Period)
慶雲町	경운동	Kyŏngun-dong
朝鮮音樂舞踊硏究會	조선음악무용연구회	Chosŏn Ŭmak Muyong Yŏn'guhoe
歐米	구미	Omi
東京	동경	Tonggyŏng
서울	서울	Sŏul
日本內地	일본내지	Ilbon Naeji

**Glossary**

古典	고전	Classical
舞踊	무용	Dance
音樂	음악	Music
부흥식히고저	부흥시키고자	Seeking to revive (older causative form)
巨匠	거장	Great master, virtuoso
會見	회견	Meeting, interview
잇스랴	있으랴	Could there be? (older interrogative form)
곳갈	곳갈	Traditional peaked hat (often worn by monks or performers)
장삼	장삼	Monk's robe, long Buddhist robe
僧舞	승무	Monk's Dance
劍舞	검무	Sword Dance
출	출	(To) dance (verb stem)
연소한	연소한	Young (using Hanja 年少)
감상할	감상할	To appreciate
비저 지어낸	빚어 지어낸	Kneaded and created (older spelling)
안광뒤에	안광 뒤에	Behind the public eye/awareness (lit. 'behind the eye-light')
앗가운	아까운	Regrettable, pitiful (older spelling)
저저난	젖어난	Soaked in, immersed in (older spelling)
엇더케	어떻게	How (older spelling)
노랫가락	노랫가락	Song tune, melody
잇어내는	이어내는	Connecting, inheriting (older spelling)
빗	빛	Light (older spelling)
들니여온다	들리어 온다	Is heard, comes (older spelling, modern 들려온다)
딴스	딴스	Dance (likely loanword 'dance')
신식무용	신식무용	New-style dance
밧는	받는	Receiving (older spelling)
업지만은	없지만은	Although there isn't (older spelling)
半島情緖	반도정서	Peninsula sentiment/emotion
녯춤	옛춤	Old dance (older spelling)
갈래	갈래	Type, branch, kind
연출하여	연출하여	Directing and presenting
도라다니며	돌아다니며	Touring around (older spelling)
의의를	의의를	Significance (意義)
노은	놓은	Placed, achieved (older spelling)
업는	없는	Non-existent, without (older spelling)
일즉	일찍	Early on (older spelling)
장고	장고	Hourglass-shaped drum
전래하여오는	전래하여오는	Passed down through tradition
古무용	고무용	Ancient dance
업스리라	없으리라	There will not be (older spelling)
횃든	했던	Did, had done (older past tense form)
무처잇는	묻혀있는	Buried, hidden (older spelling)
造詣깁흔	조예 깊은	Deeply versed, profound knowledge (older spelling '깁흔')
그박게	그밖에	Besides that, other than that (older spelling)
살니려	살리려	Trying to revive (older spelling)
애쓰는	애쓰는	Striving, making effort
모엿다	모였다	Gathered (older spelling)
이약이하며	이야기하며	Talking about (older spelling)
보이며	보이며	Showing
조흔	좋은	Good (older spelling)
횃다	했다	Did (older past tense form)
광경	광경	Scene, sight
이론적으로	이론적으로	Theoretically
실제적으로	실제적으로	Practically
하야 왓스나	하여 왔으나	Have done... but (older spelling/form)
민중	민중	The populace, the masses
이해	이해	Understanding
천한	천한	Lowly, base
藝人	예인	Entertainer, artist (can imply low status)
인식되여	인식되어	Being recognized as
왓든	왔던	Was, used to be (older past tense form)
갓지 못하엿스며	갖지 못하였으며	Did not possess/have and... (older spelling/form)
그리할	그리할	To do so
그러케	그렇게	Like that, so (older spelling)
하야곰	하여금	Causing to, making (causative particle, older spelling)
재인식하게	재인식하게	To reappraise, recognize anew
되엿스니	되었으니	Became, so... (older spelling)
깃붐은	기쁨은	Joy is... (older spelling)
願托하는	원탁하는	Entrusting, requesting (likely 願託, older spelling 원탁)
계승하야	계승하여	Inheriting and...
살니도록	살리도록	So that it may live, revive (older spelling)
달나는	달라는	Asking for (older spelling)
죽엄과	죽음과	With death (older spelling)
배위	배워	Learning (older spelling)
西洋舞踊	서양무용	Western dance
창작하여	창작하여	Creating (as artistic work)
意見交換	의견교환	Exchange of opinions
끈난 후	끝난 후	After finishing (older spelling '끈난')
상호공개	상호공개	Mutual demonstration/disclosure
우에서	위에서	On top of (older spelling)
화장	화장	Makeup
양장한	양장한	Wearing Western clothes
수건	수건	Towel
동이고	동이고	Tying? Carrying? (meaning slightly unclear in context, older form)
사무원	사무원	Office worker, clerk
뽀이	뽀이	Boy (loanword: hotel/restaurant attendant)
유흥	유흥	Amusement, entertainment
심취하든	심취하던	Was engrossed in (older spelling)
기생	기생	Female entertainer/courtesan
다투어	다투어	Scrambling, vying
야단이다	야단이다	It's a commotion/fuss
심금	심금	Heartstrings (lit. 'heart zither')
울니엿든 모양	울렸던 모양	Seemed to have resonated/touched (older spelling '울니엿든')
연발	연발	Repeatedly firing/uttering
감탄사	감탄사	Exclamation of admiration
亦	역	Also (Hanja)
배위주는	배워주는	Teaching (older spelling '배위')
전신	전신	Whole body
되야본다	되어 본다	Becomes and watches (older spelling '되야')
義損	의손	Donation, contribution (Hanja)
자원하엿다	자원하였다	Volunteered (older spelling/form)
公演	공연	Public performance
향하는지라	향하는지라	As (one) is heading towards... (older grammar)
창립위원	창립위원	Founding committee member
고문으로써	고문으로서	As an advisor
간접으로	간접으로	Indirectly
후원하고	후원하고	Supporting, sponsoring
귀국후에는	귀국 후에는	After returning to the country
제일선에서	제일선에서	On the front line
활약하기를	활약하기를	To be active
약속하엿다	약속하였다	Promised (older spelling/form)
其후의	그 후의	After that (using Hanja 其)
同會	동회	The said society/association (using Hanja 同)
창립사무소	창립사무소	Founding office
간판	간판	Signboard
맹활동	맹활동	Vigorous activity
모집된	모집된	Recruited
회원	회원	Member
달한다 하며	달한다 하며	It is said it reaches...
느저도	늦어도	At the latest (older spelling)
明年	명년	Next year (using Hanja 明年)
회관	회관	Assembly hall, building for meetings/activities
건설하고	건설하고	Constructing
연구생	연구생	Research student
본부	본부	Headquarters
두되	두되	Place it, but... / Although it is placed... (older connective form)
행동장소	행동장소	Place of activity
즉	즉	Namely, that is to say
극장	극장	Theater
실제	실제	Actual, real


---------------------------


잡지명	삼천리 제10권 제1호
발행일	1938년 01월 01일
기사제목	古典「舞踊」과 「音樂」을 부흥식히고저, 崔承喜·韓成俊 兩巨匠 會見
기사형태	소식

古典「舞踊」과 「音樂」을 부흥식히고저, 崔承喜·韓成俊 兩巨匠 會見
「얼화만소-
얼화 대세니라」

이러한 멋진 노래곡조를 서양사람이 백번 죽은들 해여 볼 길 잇스랴, 마찬가지로 곳갈쓰고 장삼입고 기는 듯, 안는 듯, 연하고 부드럽게 추는 「僧舞」라거나 칼자루 나근나근 나붓기며 기개잇게 추는 「劍舞」라거나 이런 것을 어느 누구 출 길이 잇스랴, 이것은 오직 우리네만이 출 수 잇고, 우리네 중에도 연소한 이들은 그를 보아도 감상할 눈이 점점 어두어간다.

여러 천년, 여러 백년을 두고 이 땅 흙속에서 비저 지어낸 고전적 음악과 무용이 차츰 차츰 시대 사람의 안광뒤에 숨어버린다는 것은 참으로 앗가운 일이다.
