**Header Section:**
Magazine Title: 삼천리 제7권 제10호
Publication Date: 1935년 11월 01일
Article Title: 蒼松의 둘녀싸인 京城療養病院 觀光記 (A Tour Report of the Kyŏngsŏng Sanitarium Surrounded by Green Pines)
Author: 聖大峯人 (Sŏngdaebongin)
Article Type: 기행문 (Travelogue)

**Body Text Translation:**
A Tour Report of the Kyŏngsŏng Sanitarium Surrounded by Green Pines
						By Sŏngdaebongin

On the afternoon of October 7th, the air in Seoul city was as polluted as it could be. Leaving the office, I walked to the temporary office of the Kyŏngsŏng Sanitarium (京城療養病院) in Insadong, and perhaps like a single lotus flower, a nurse came out and asked me to come in. The office was bustling with activity; the Western doctor was out on a house call, while Dr. Ch'oe and the accountant, Mr. Ch'oe Yŏngch'an (崔永贊), were busy with brushes over the ledgers (帳薄). I suggested to Mr. Ch'oe that, since the office hours must be half over, we should take a walk out to suburban Ch'ŏngnyangni and see the newly constructed hospital. Mr. Ch'oe asked me to wait just a moment, then put aside his work and stepped out the door with me.

The time was 4:30 PM. We caught a streetcar in front of Pagoda Park, transferred at Tongdaemun, and rode the streetcar out towards the suburbs. Gradually, the polluted air cleared. Getting off at Ch'ŏngnyangni, we took a bus bound for Hoegi-ri, alighted at the last stop, and tapping my cane, crossed the Kyŏngwŏn Line (京元線) railway crossing. Here, the scenery was purely rural, just as it was: lush green forests (蒼林) grew thick, a clear breeze (淸風) blew, and there stood a splendid three-story house of white jade (白玉) built purely with white stone, its magnificent view reflecting brilliantly in the crimson evening glow – a sight unseen within the city of Seoul.

Following Mr. Ch'oe who was guiding me, we came upon a wide front yard where turf, planted not long ago, filled the space. There was also a fountain, and various flowers planted all around the left garden swayed in the autumn <148> breeze. As we entered the main gate, Mr. Ch'oe explained, "The floor below is for hospital management, like the dining hall and storage rooms, and from the 2nd floor upwards are the patient wards." Walking along the sparkling balustrade paved with unnamed stone, we looked into room after room. To the right of the entrance was the pharmacy, to the left was the accounting office, next to the accounting office was the nurses' station, and then the hydrotherapy room (水治療室), electrotherapy room (電氣治療室), and in one quiet corner, the third-class inpatient ward. Opposite the main entrance were the examination room and the X-ray room (x光線室). Two bright rooms on the east side (東便) were also third-class inpatient rooms (三等入院室).

Then we went up to the 3rd floor. These rooms were even quieter and designed to let in plenty of sunlight. The triangular room at the very back was the operating room, and the rest were filled with large and small inpatient rooms. "How many people can be admitted?" I asked. "Well, in special circumstances, we could probably accommodate 100 people. However, the 3rd floor is divided into special rooms, first-class rooms, and second-class rooms. And if there are many patients, each first-class patient will have one dedicated nurse assigned to them."

"This hospital is basically managed by the Seventh-day Adventist Church (第7日安息日 耶蘇再臨敎會). There are over 60 hospitals of the same affiliation worldwide. The Tokyo Sanitarium (東京위생병원), Mukden Sanitarium (奉天요양병원), Shanghai Sanitarium (上海요양병원), and Sunan Hospital (順安병원) in P'yŏngnam are receiving notably high praise. Anyone in the Sŏsŏn [Western Korea] region would know of the benefits brought by Dr. Russell when the Sunan hospital was first established in Korea. Now, this Kyŏngsŏng Sanitarium, you could say, has facilities beyond ordinary hospitals, such as light therapy (光線), heat therapy (熱), electrotherapy (電氣), massage (맛싸자), and hydrotherapy (水治療). Just because it's called a sanitarium (요양병원) doesn't mean it should be thought of only as a sanatorium for tuberculosis (肺結核) patients like the Haeju Sanitarium. It combines natural therapies (자연치료) with surgical procedures, including abdominal surgery, selecting the best academic methods."

Listening to this, we climbed to the 4th-floor rooftop. A vast plain (一望平野) stretched out; far off, Samgak Mountain, Seoul city, and Namsan were visible. The surroundings were encircled by green pines (蒼松), and a cool, clear breeze seeped through the pine forest (松林). Sparrows chirped, insect sounds cried out – wouldn't anyone's spirit (心靈) become clear, even someone from the midst of complexity, immersed in this nature? Flocks of birds hidden within the nearby Hŭigyŏngwŏn Royal Tomb fluttered back and forth.

"When will it open?" I asked. "We'll probably move everything from Insadong in November and install more facilities. And next spring (明春), we plan to hold a grand opening ceremony for the new building." "How much did the construction cost?" "It probably cost over 100,000 wŏn, and the land cost about 50,000 wŏn. We bought all the surrounding pine forest, and we plan to build doctors' residences within the pine forest in the future. We've started this large project, and permission for fundraising has been granted. Already, starting in Seoul, we are immensely grateful that many people approve of our work, beginning with the generous donations (喜捨) from certain philanthropists (某某 篤志家)." I raise my two hands and pray that this enterprise brings joy to the weeping and the light of health to the suffering, thereby contributing to Chosŏn society. <149>

**Summary**

This travelogue recounts the author's visit to the nearly completed Kyŏngsŏng Sanitarium in the Ch'ŏngnyangni/Hoegi-ri area outside Seoul in October 1935. Guided by an accountant, Mr. Ch'oe, the author describes the modern, three-story building with advanced facilities like hydrotherapy, electrotherapy, X-ray, and an operating room, set amidst serene pine forests. The hospital, run by the Seventh-day Adventist Church, aimed to provide modern medical care, including surgery and natural therapies, distinct from typical sanatoriums. The author notes the significant cost (over 150,000 wŏn), ongoing fundraising efforts, and expresses hope for the hospital's positive impact on Korean society.

For historians, this article offers insights into the development of modern healthcare in colonial Korea, particularly through foreign religious missions like the Seventh-day Adventists. It highlights the introduction of Western medical practices and technologies (electrotherapy, hydrotherapy, X-ray), the substantial investment involved, the blending of modern medicine with "natural therapies," and the perception of such institutions by contemporary Koreans. The mention of other Adventist hospitals in East Asia (Tokyo, Mukden, Shanghai, Sunan) places this development within a broader regional context of missionary activity and modernization. The contrast drawn between the polluted city and the clean suburban environment chosen for the hospital is also noteworthy.

**Named Entities**

仁寺洞	인사동	Insadong
경성료양의원	경성요양의원	Kyŏngsŏng Sanitarium
崔	최	Ch'oe (Doctor)
崔永贊	최영찬	Ch'oe Yŏngch'an
청량리	청량리	Ch'ŏngnyangni
빠고다공원	파고다공원	Pagoda Park
동대문	동대문	Tongdaemun
回基里	회기리	Hoegi-ri
京元線	경원선	Kyŏngwŏn Line
서울	서울	Seoul
第7日安息日 耶蘇再臨敎會	제칠일안식일 예수재림교회	Seventh-day Adventist Church
東京위생병원	도쿄위생병원	Tokyo Sanitarium
奉天요양병원	봉천요양병원	Mukden (Fengtien) Sanitarium
上海요양병원	상해요양병원	Shanghai Sanitarium
平南順安병원	평남순안병원	P'yŏngnam Sunan Hospital
順安병원	순안병원	Sunan Hospital
로셜	로셜	Russell (Doctor)
西鮮	서선	Sŏsŏn (Western Korea)
해주요양병원	해주요양병원	Haeju Sanitarium
三角山	삼각산	Samgak Mountain
남산	남산	Namsan
희경원왕릉	희경원왕릉	Hŭigyŏngwŏn Royal Tomb
朝鮮	조선	Chosŏn (Korea)

**Glossary**

둘녀싸인	둘러싸인	Surrounded by (older spelling/form of 둘러싸인)
탁해저 잇는데	탁해져 있는데	Being polluted (older spelling/grammar)
거름	걸음	Step, walk (here used for 'walk')
차지니	찾으니	Upon visiting/finding (older spelling of 찾으니)
더러오란다	들어오란다	Asks to come in (older spelling/pronunciation of 들어오라고 한다)
도라가는데	돌아가는데	Operating, running (lit. 'turning around', older spelling of 돌아가는데)
왕진	왕진	House call (by a doctor)
날니고 잇다	날리고 있다	Wielding, moving quickly (older spelling/grammar)
씨의게	씨에게	To Mr. (older form of the particle 에게)
햇슬 터인데	했을 터인데	Must have been (older spelling of 했을)
발하엿다	발하였다	Expressed, proposed (older form of 발하다)
기달니시오	기다리시오	Please wait (older spelling of 기다리시오)
하든이	하더니	After saying/doing (older spelling of 하더니)
것어치우고	걷어치우고	Putting aside (older spelling of 걷어치우고)
나와갓치	나와 같이	With me (older spelling of 나와 같이)
나섯다	나섰다	Stepped out (older spelling of 나섰다)
압해	앞에	In front of (older spelling of 앞에서)
乘換하야	승환하여	Transferring (older spelling/Hanja form of 승환하여/갈아타서)
달니는데	달리는데	Running (older spelling of 달리는데)
살아저간다	사라져간다	Disappears, clears away (older spelling of 사라져간다)
집행이	지팡이	Cane, walking stick
두루며	두르며	Tapping/Swinging (a cane); context suggests tapping or possibly looking around. Let's assume tapping. (Possible older form or dialect?)
욱어저 잇고	우거져 있고	Being overgrown, thick (with trees) (older spelling/grammar)
숙새하개	순수하게(?)	Purely (interpretation based on context 'purely with white stone', spelling is archaic/unclear)
이야말노	이야말로	Indeed, truly (older spelling of 이야말로)
엿다	였다	Was (older spelling of 였다)
따러가니	따라가니	Following (older spelling of 따라가니)
잔듸밧	잔디밭	Lawn, grass field (older spelling of 잔디밭)
밋헤층	밑층/아래층	Lower floor, floor below (older spelling)
살님사리	살림살이	Housekeeping, managing affairs (older spelling of 살림살이)
되엿고	되었고	Became, was made of (older spelling of 되었고)
엇슴니다	였습니다	Was (polite formal ending, older spelling of 였습니다)
거늘면서	거닐면서	Strolling, walking along (older spelling of 거닐면서)
올흔편	오른편	Right side (older spelling of 오른편)
모통이	모퉁이	Corner (older spelling of 모퉁이)
마진 편	맞은편	Opposite side (older spelling of 맞은편)
東便	동편	East side
올나가니	올라가니	Going up (older spelling of 올라가니)
드러오게	들어오게	To enter, to come in (light) (older spelling of 들어오게)
몃	몇	How many (older spelling of 몇)
잇슬가요	있을까요	Will there be? Can it hold? (older spelling/grammar)
한즉	하니	Upon asking/saying (older form/conjunction)
잇겟지요	있겠지요	There probably will be (older spelling of 있겠지요)
난휘엿습니다	나뉘었습니다	Was divided (older spelling of 나뉘었습니다)
만흐면	많으면	If there are many (older spelling of 많으면)
잇서	있어	Being, existing (older spelling of 있어)
되겟습니다	되겠습니다	Will be (older spelling of 되겠습니다)
同계통	동 계통	Same affiliation/system
임니다	입니다	Is/are (polite formal ending, older spelling of 입니다)
밧고 잇습니다	받고 있습니다	Is receiving (older spelling/grammar)
잇슬 때	있을 때	When there was (older spelling of 있을 때)
업스리다	없으리다	There likely isn't/wasn't any (older spelling/form of 없으리라)
맛싸자	마사지	Massage (early transliteration)
설비라	설비라	Facilities (as)
바이외다	바입니다	It is that... (formal statement ending, older form of 바입니다)
드르면서	들으면서	While listening (older spelling of 들으면서)
올어니	오르니	Upon climbing (older spelling of 오르니)
一望平野	일망평야	Vast open plain visible in one view
멀니	멀리	Far away (older spelling of 멀리)
둘녀싸혓고	둘러싸였고	Was surrounded by (older spelling of 둘러싸였고)
새여오는데	새어오는데	Seeping/filtering in (wind) (older spelling of 새어오는데)
버레	벌레	Insect, bug (older spelling of 벌레)
파뭇친	파묻힌	Buried in, immersed in (older spelling of 파묻힌)
안켓는가	않겠는가	Wouldn't it? (older spelling/form of 않겠는가)
함니가	합니까	Does it? (older spelling of 합니까)
만히	많이	Many, much (older spelling of 많이)
하렴니다	하렵니다	Plan to do (older spelling of 하렵니다)
더럿는가요	들었는가요	Did it cost? (older spelling of 들었는가요)
더럿슬 것이고	들었을 것이고	It probably cost (older spelling of 들었을 것이고)
됨니다	됩니다	Becomes, is (older spelling of 됩니다)
사위	사위	Surroundings (四圍)
지어려 합듸다	지으려 합니다	Intend to build (older spelling/form of 지으려 합니다)
나왓는데	나왔는데	Came out, was issued (older spelling of 나왔는데)
