**Header Section:**
Magazine Title: 大東亞 第14巻 第3号 (Greater East Asia Vol. 14, No. 3)
Publication Date: 1942년 03월 01일 (March 1, 1942)
Article Title: 來鮮した賓客の印象 (Impressions of Guests Who Visited Korea)
Author: 李光洙 (Yi Kwang-su), 崔貞熙 (Ch'oe Chŏng-hŭi), 朱耀翰 (Chu Yo-han) / 松村紘一 (Matsumura Kōichi)
Article Type: 回顧·手記 (Recollection / Memoir)

**Body Text Translation:**
Impressions of Guests Who Visited Korea

Dozens of politicians, influential figures, writers, and artists have kindly visited our peninsula. Among them, we will serialize these impressions, recalling the faces of those who left the deepest mark on the peninsula's intellectuals, continuing issue by issue (Continued in the next issue).
Old Master Tokutomi Sohō ......... Yi Kwang-su
Writer Shimaki Kensaku ......... Ch'oe Chŏng-hŭi
President Yamamoto of Kaizōsha ......... Chu Yo-han

A Record of Meeting Mr. Tokutomi Sohō
Kōyama Mitsurō (Yi Kwang-su)

The first time I met Mr. Tokutomi Sohō was in the summer of Taishō 5 (1916), twenty-seven years ago from now. At that time, Mr. Tokutomi was middle-aged at fifty-four, and I must have been a youth of twenty-five. This year, Mr. Tokutomi has reached the advanced age of eighty, and I hear there was a grand celebration party in Tōkyō several days ago.
Even when I first met him at the Pusan pier, Mr. Tokutomi already had white hair, and he also had a facial tic; one of his eyes and cheeks would twitch convulsively whenever he spoke.
The second time I met him was on the upper floor of the Kokumin Shinbunsha in Tōkyō, where there was a horizontal scroll by His Highness Yi T'aewang (King Gojong) with the seal 'Chuyŏn', and a map of Manshū (Manchuria) drawn in ink by Prime Minister Katsura when planning the Russo-Japanese War, displayed.<57>
After that, I visited him two or three times at Min'yūsha in Ginza, which was Mr. Tokutomi's workplace for his entire life. Mr. Tokutomi's reception room and study at Min'yūsha are literally filled with books. His own writings alone must amount to several hundred titles. It truly is a life of "serving the nation through writing" (文章報國). Moreover, these works are consistently centered on Tennō-ism (天皇中心主義). Just the *History of the Japanese People* (日本國民史), which he is currently writing, would likely take even us a year just to read through once.
Whenever Mr. Tokutomi met me, he always told me two things: Do not get involved in politics, and become centered on the Emperor.
The most recent time I met Mr. Tokutomi was in the spring of Shōwa 11 (1936).
"Write a history of Chōsen (Korea). Try writing an East Asian history from the Chōsen standpoint," he said. However, I remain unable to fulfill his expectations.
I once visited his so-called Sannō Sōdō (Sannō Hermitage) in Ōmori Sannō. Mr. Tokutomi was traveling, but I was able to meet his wife for the first time. Several hundred walking sticks were stood up there; they must have been mementos from his travels. The house at Sannō Sōdō is small, but the garden is spacious, and even the old trees were lush and dense.
Mr. Tokutomi is famous enough to be considered a specialty of Mt. Asō. He is an elder statesman of Japan. He doesn't partake in tobacco or alcohol, and his entertainment, it is said, consists of gazing at Mt. Fuji or the sea at Atami; otherwise, it's reading and writing. Now, his eyesight is failing, and he continues his writing by having a stenographer take dictation.
He is deeply versed in both Chinese and English literature, also composes Chinese poetry well, and is knowledgeable about Korean history too. After all, he has worked diligently for eighty years.
For Mr. Tokutomi's eightieth birthday celebration, I wrote and presented him with this:
"文名冠一世。三代勤皇人。八十春來意。千秋史筆年新"
(Literary fame crowns the age. A loyal servant across three reigns. Eighty springs bring purpose. A thousand autumns, the historian's brush renews the years.)

Writer Shimaki Kensaku
Ch'oe Chŏng-hŭi

I began to take an interest in Mr. Shimaki Kensaku seven or eight years ago, after reading his standalone book titled "Goku" (獄 - Prison).
While reading "Goku," "Rai" (癞 - Leprosy)—I've forgotten the others as it's been a long time—and other short stories collected in "Goku," the desire to meet the author, Shimaki Kensaku, welled up within me many times.<58>
It is usual for me, when faced with a good novel, good poetry, good painting—in other words, good art—to even develop affection for the creator. However, conversely, it is extremely rare for me to appreciate these works to the extent that my thoughts turn to the author.
In any case, it seems I was very fond of Shimaki Kensaku at the time I read "Goku." Every time I met a friend who understood novels, I recommended reading "Goku."

I met Mr. Shimaki Kensaku in person three or four years ago.
Taking the opportunity of his visit to Chōsen (Korea), there was a discussion meeting (座談會 - zadankai) hosted by a certain magazine company. That evening, due to some matter, I arrived later than the scheduled time, and professors from Keijō Imperial University (城大敎授) and others were already deep in conversation centered around Mr. Shimaki. I don't know what the discussion was about. Judging from the fact that not a single thing remains in my memory now, I suppose it must have been a stiff, formal conversation that I disliked.
Even though I don't remember his conversation, the impression of Mr. Shimaki, who was talking animatedly about something, is still clear. His appearance as he sat leaning on the armrest felt exactly like the image I had imagined of him, without the slightest difference. However, when the discussion meeting ended and everyone stood up, I received a different impression from the one I got when Mr. Shimaki Kensaku was seated. It was because his stature was exceedingly short. Wearing a hunting cap (ハンチシク), he was only about as tall as a fifteen or sixteen-year-old child. I felt a slight sense of disappointment.

Impressions of President Yamamoto of Kaizōsha
Matsumura Kōichi (Chu Yo-han)

I met President Yamamoto of Kaizōsha ten years ago. I believe it was certainly during his trip through Manshū (Manchuria) and Chōsen (Korea). I was a reporter for the Tōa Nippō (Dong-A Ilbo), and since the president of Kaizōsha was an advertiser for the Tōa Nippō, we invited him to Myōgetsukan (Myŏngwŏlgwan).
I think the details of that occasion are described finely in Mr. Yamamoto's own writings.
Apart from his statement that he wanted to introduce the works of Korean writers in "Kaizō" magazine, I don't recall any stiff political talk during that gathering. Topics ranging from Korean customs and habits eventually extended to the underworld, including Tōkyō's, and it ended up being an informal chat session.<59>
I thought Mr. Yamamoto's personality—that of a publisher, a writer, a dilettante, and also a politician—was revealed quite accurately. Moreover, it seemed to me that his characteristic, and also his shortcoming, lay in not being thoroughly committed to any one of these roles.
Although he launched "Kaizō" and took a role in introducing the leftist thought of the time, as far as meeting him in person went, he seemed to be neither left, nor right, nor center.
He didn't discuss the grand trends of the world or line up ideologies. An intellectual who enjoyed hobbies and savored culture—this seemed to be the final assessment of him.
He published the "History of the Korean Economy" (朝鮮經濟史) and discovered Chang Hyŏk-chu (張赫宙), showing considerable interest in Chōsen (Korea), but even this was nothing more than one of his hobbies.
He was perhaps the archetypal magazine journalist. Following his whims, drawn by his interests, he honestly dabbled in all sorts of fields, yet remained unbound and unconstrained by anything—that's how he was, I still think. (He is an executive at Hwashin, former name Chu Yo-han).<60>

**Summary**

This article compiles recollections from three prominent Korean intellectuals (Yi Kwang-su, Ch'oe Chŏng-hŭi, Chu Yo-han writing under a Japanese name) about their impressions of three Japanese figures: the influential nationalist writer Tokutomi Sohō, the novelist Shimaki Kensaku, and Yamamoto Sanehiko, the president of the publishing house Kaizōsha. Yi Kwang-su recounts Tokutomi's advice to avoid politics and embrace Emperor-centricism, while noting his vast knowledge and productivity. Ch'oe Chŏng-hŭi describes her initial admiration for Shimaki's work "Goku" (Prison) but her slight disappointment upon meeting him and finding him physically short. Chu Yo-han portrays Yamamoto as a multifaceted but non-committal intellectual, a publisher interested in Korean culture and writers (like Chang Hyŏk-chu) partly out of dilettantism, despite his magazine "Kaizō" introducing leftist ideas.

From a historical perspective, the article is revealing about the complex positions of Korean intellectuals under late colonial rule. Their writing in Japanese for a magazine titled "Greater East Asia," their interactions with influential Japanese figures, and the specific advice given (e.g., Tokutomi's emphasis on Emperor-centricism) highlight the pressures and realities of the period. Yi Kwang-su's mention of being asked to write a Korean history from a Korean perspective by Tokutomi, yet being unable to, hints at the constraints. Chu Yo-han writing under a Japanese pseudonym (Matsumura Kōichi) while discussing Yamamoto's superficial interest in Korea further illustrates the nuanced and often compromised roles intellectuals navigated.

**Named Entities**

德富蘇峰翁	とくとみそほうおう	Old Master Tokutomi Sohō
李光洙	りこうす	Yi Kwang-su (also used Japanese reading Kōyama Mitsurō 香山光郎)
島木建作	しまきけんさく	Shimaki Kensaku
崔貞熙	さいていき	Ch'oe Chŏng-hŭi
山本改造社長	やまもとかいぞうしゃちょう	President Yamamoto of Kaizōsha (likely Yamamoto Sanehiko)
朱耀翰	しゅようかん	Chu Yo-han (also used Japanese pseudonym Matsumura Kōichi 松村紘一)
香山光郎	こうやまみつろう	Kōyama Mitsurō (Japanese reading/pseudonym for Yi Kwang-su)
大正五年	たいしょうごねん	Taishō 5 (1916)
東京	とうきょう	Tōkyō
釜山埠頭	ふさんふとう	Pusan Pier
國民新聞社	こくみんしんぶんしゃ	Kokumin Shinbunsha (Newspaper company)
李太王殿下	りたいおうでんか	His Highness Yi T'aewang (King Gojong)
桂首相	かつらしゅしょう	Prime Minister Katsura
滿洲	まんしゅう	Manshū (Manchuria)
銀座	ぎんざ	Ginza
民友社	みんゆうしゃ	Min'yūsha (Publishing company founded by Tokutomi)
日本國民史	にほんこくみんし	History of the Japanese People (Tokutomi's work)
昭和十一年	しょうわじゅういちねん	Shōwa 11 (1936)
朝鮮	ちょうせん	Chōsen (Korea)
東洋史	とうようし	East Asian History
大森山王	おおもりさんのう	Ōmori Sannō (Place in Tōkyō)
山王草堂	さんのうそうどう	Sannō Sōdō (Tokutomi's residence name)
阿蘇山	あそさん	Mt. Asō
富士山	ふじさん	Mt. Fuji
熱海	あたみ	Atami
漢文學	かんぶんがく	Chinese Literature (Kanbun)
英文學	えいぶんがく	English Literature
朝鮮史	ちょうせんし	Korean History
獄	ごく	Goku (Prison - Shimaki's book title)
癞	らい	Rai (Leprosy - Shimaki's story title)
某雜誌社	ぼうざっししゃ	A certain magazine company
城大敎授	じょうだいきょうじゅ	Keijō Imperial University Professor
松村紘一	まつむらこういち	Matsumura Kōichi (Pseudonym for Chu Yo-han)
滿鮮	まんせん	Man-Sen (Manchuria and Korea)
東亞日報	とうあにっぽう	Tōa Nippō (Japanese reading of Dong-A Ilbo newspaper)
改造社	かいぞうしゃ	Kaizōsha (Publishing company)
明月舘	めいげつかん	Myōgetsukan (Japanese reading of Myŏngwŏlgwan restaurant)
改造	かいぞう	Kaizō (Name of the magazine published by Kaizōsha)
朝鮮作家	ちょうせんさっか	Korean writers
朝鮮經濟史	ちょうせんけいざいし	History of the Korean Economy
張赫宙	ちょうかくちゅう	Chang Hyŏk-chu (Korean writer)
和信	わしん	Hwashin (Department store in Keijō/Seoul)

**Glossary**

印象	いんしょう	Impression
我が半島	わがはんとう	Our peninsula (referring to Korea)
識者	しきしゃ	Intellectuals; knowledgeable persons
面影	おもかげ	Face; image; trace; reminder
偲ひつゝ	しのびつつ	While recalling; while remembering fondly (Classical form of 偲びつつ)
號を遂ふて	ごうをおうて	Issue by issue; in subsequent issues
翁	おう	Old master; venerable old man (suffix)
埠頭	ふとう	Pier; wharf
己に	すでに	Already (older Kanji usage)
痙瘴	けいれん	Spasm; tic; convulsion (痙攣 is more common now)
樓上	ろうじょう	Upper floor; upstairs
落欵	らっかん	Signature and seal (on artwork)
橫軸	よこじく	Horizontal scroll
應接間	おうせつま	Reception room; parlor
醫齋	いさい	Study (archaic term, combination of 醫 'heal/study' and 齋 'study room')
文章報國	ぶんしょうほうこく	Serving the nation through writing
一貫されてゐる	いっかんされている	To be consistent; to be permeated by (ゐる is old kana for いる)
執筆中	しっぴつちゅう	In the process of writing
囑望	しょくぼう	Expectation; hope placed in someone
いはゆる	いわゆる	So-called
草堂	そうどう	Hermitage; thatched cottage
鬱蒼としてゐた	うっそうとしていた	To be lush and dense (of foliage) (ゐた is old kana for いた)
國老	こくろう	Elder statesman
親ます	したしまず	Does not partake in; does not get familiar with (negative form of 親しむ)
造詣深く	ぞうけいふかく	Deeply knowledgeable; having profound knowledge
せられ	せられ	(Passive/honorific verb ending, archaic/formal) Is done; does
單行本	たんこうぼん	Standalone book; monograph
わき上つた	わきあがった	Welled up; sprang forth (old kana usage)
云はば	いわば	So to speak; in other words (old kana usage)
鑑賞	かんしょう	Appreciation (esp. of art)
心を走らせる	こころをはしらせる	To let one's thoughts run to; to think about
稀である	まれである	To be rare
すゝめた	すすめた	Recommended (old kana usage)
來鮮	らいせん	Visit to Korea
催し	もよおし	Event; gathering; meeting (hosted)
座談會	ざだんかい	Discussion meeting; symposium; round-table talk
定刻	ていこく	Appointed time; scheduled time
さかんに	さかんに	Actively; vigorously; animatedly
推して見れば	おしてみれば	Judging from; considering
堅苦しい	かたくるしい	Stiff; formal; rigid
風姿	ふうし	Appearance; figure; bearing
像想して來た	そうそうしてきた	Had imagined; had pictured
いさゝかの隔もなかつた	いささかのへだたりもなかった	There was not the slightest gap/difference
背	せい	Stature; height
ハンチシク	ハンチングぼう	Hunting cap (likely ハンチング帽)
途次	とじ	On the way; during the course of a journey
廣告主	こうこくぬし	Advertiser; sponsor
仕舞には	しまいには	In the end; finally; eventually
暗黑街	あんこくがい	Underworld; slums
出版屋	しゅっぱんや	Publisher (colloquial)
文筆家	ぶんぴつか	Writer; person of letters
物好き	ものずき	Dilettante; curious person; enthusiast (sometimes implies eccentricity)
如實に	にょじつに	Realistically; vividly; faithfully
徹底して居らぬ	てっていしておらぬ	Not being thorough; not being fully committed (居らぬ is negative form of 居る)
左翼思想	さよくしそう	Leftist thought/ideology
一はだ脫いだ	ひとはだぬいだ	Took a role; stripped down for action; made an effort
大勢	たいせい	General trend; situation; state of affairs
趣味	しゅみ	Hobby; interest; taste
總決算	そうけっさん	Final account; summing up
版版したり	はんぱんしたり	To publish (repetition might imply 'repeatedly' or just be emphasis)
關心	かんしん	Interest; concern
氣まぐれ	きまぐれ	Whim; caprice
趨くまゝに	おもむくままに	Following (one's inclination, etc.)
手を染めながら	てをそめながら	While dabbling in; while getting involved in
束縛されす	そくばくされず	Without being bound; unrestrained
こだはらす	こだわらず	Without being particular about; without getting hung up on
重役	じゅうやく	Executive; director (of a company)
舊名	きゅうめい	Former name


---------------------------


잡지명	대동아 제14권 제3호
발행일	1942년 03월 01일
기사제목	來鮮した賓客の印象
기사형태	회고·수기

來鮮した賓客の印象
我が半島ぬに親しく來られた政治家、舉者、作家、藝術家は何十と數へらる、其の中で半島識者に最も深き印象を與へた方方の面影を偲ひつゝ號を遂ふてこの印象記を連載することにする(次號繼續)
德富蘇峰翁.........李光洙
作家島木建作.........崔貞熙
山本改造社長.........朱耀翰

德富蘇峰先生に會ふの記
香山光郎

私が初めて德富蘇峯先生にお目にかゝつたのは大正五年の夏で、今から二十七年前であつた。富時先生は五十四歲の中老で、私は二十五の靑年であつたはすだが、今年先生は八十の高齡に達せられて、數日前東京で盛大な祝賀會があつたさうである。
釜山埠頭で初めてお逢した時にも先生は己に白髮であつたし、顏の筋肉にも痙瘴があつて片方の眼や頰が話されるたんびにびくくひきつゝてゐた。
二度目にお逢したのは東京の國民新聞社の樓上で、そこには珠淵と落欵のある李太王殿下の橫軸や、日露戰爭を計劃した時、桂首相がかいた墨の滿洲地圖などが揭げられてあつ＜57＞た。
その後は先生の一生の仕事場である銀座の民友社にも二三回お尋ねしたことがある。民友社の先生の應接間や醫齋は文字通り書籍で一杯だ。先生自身の著作だけで數數百種に上るであらう。實に「文章報國」の一生である。しかもそれらの製作は天皇中心主義で一貫されてゐる。現に執筆中の日本國民史だけでも、われらが一讀するのにも一年はかゝるだらう。
