Magazine Title	大東亞 제14권 제3호
Publication Date	1942년 03월 01일
Article Title	歷史劇 5幕, 어밀레鍾 (5-Act Historical Drama, The Emille Bell)
Author	咸世德(원작), 現代劇場(출연) (Ham Se-dŏk (Original Work), Hyŏndae Theatre Troupe (Performers))
Article Type	소설 (Fiction/Play Script Introduction)

歷史劇 5幕, 어밀레鍾
						咸世德(원작), 現代劇場(출연)
Intent

I attempted a historical examination of *Naisen Ittai* (Japan-Korea Unity) through culture. Could the fact that Silla's culture, along with Paekche's, was imported into Yamato Japan 1,000 years ago be one underlying factor in our nation [Japan] emerging today as the leader of the Greater East Asia Co-Prosperity Sphere? The play truly lacks dramatic appeal and does not seem to whet the director's appetite. This seems to be because, by focusing heavily on events, it is preoccupied with advancing the plot. I intend to write a truly dramatic play by bringing to the forefront the exchange of imperial envoys between *Naichi* [Japan] and Chōsen [Korea] at the time, the transport of bell-casting materials, and the bell-casting process itself, adding seasoning with the craftsman's toil, romance, and also orally transmitted legends.

** The story concerns the casting of the Divine Bell of Pongdŏksa Temple, which is preserved in present-day Kyŏngju. In the 13th year of T'ien-pao (Kap-o year), King Kyŏngdŏk of Silla, having expended 480,000 kŭn (斤) to cast the great bell of Hwallyongsa Temple, sought to pass down the great achievements and benevolent virtue of his father, King Sŏngdŏk, to posterity. He respectfully donated 120,000 kŭn of copper to offer a bell in dedication, but passed away before its completion. Thus, it reached his son, King Hyegong, during the Kŏn'un era, and in the year Kyŏngsul of the Ta-li era, it was successfully completed and enshrined in Pongdŏksa Temple. Pongdŏksa Temple was founded in the 26th year of K'ai-yüan (Mu-in year) by King Hyosŏng for King Sŏngdŏk. It is common knowledge that the bell is a masterpiece demonstrating the pinnacle of exquisite craftsmanship achieved by Silla after importing Tang artistry, stunning archaeologists even today. However, the mystery of how its divine bell sound could be produced remains unexplained. Legend holds that because a child was boiled and put in, the child resents its mother and cries "Emille, Emille." But I believe the mysteriousness of this bell sound stems not only from the excellent skill of the contemporary bell founders but also from the superiority of its materials. Historical records make no mention whatsoever of where the copper, brass, and charcoal were obtained, so we cannot know for sure. However, I believe the copper at that time was likely brought from the Beppu (別府) mines in Kyushu, *Naichi* [Japan] (the Dazaifu of the time). Currently, the only place producing copper in Chōsen is Kapsan in Hamgyŏngbuk-to. Of course, small amounts might have been produced elsewhere, but it is unlikely that 600,000 kŭn (480,000 plus 120,000) could have been supplied from within the Silla kingdom at that time. In the 11th month of the 5th year of King Hyegong, Kŭpch'an Kim Ch'o-jŏng (金初正) led a delegation of 187 people to the Tsukushi Dazaifu (筑紫大宰府), met with Japan's *Ingai U-chūben* Ōtomo no Sukune Hakumaro (大伴宿彌伯麻呂), and received a grant of copper upon their return. I interpret that because this copper was smelted using oak charcoal produced in the Kŭmgang Mountains (金剛山), the sound became so pure, bringing peace and rest, and I structured the play accordingly. That is, the souls of the nations met in the fusion of *Naichi* and Chōsen materials, and I believe a drop of today's *Naisen Ittai* flowed from as early as 1,000 years ago.
I did not hesitate to infuse these facts with my unrestrained imagination, longing, and ideals.

To briefly outline the plot: the curtain opens on the day of the completion ceremony for the great bell. On that day, the court and the populace, high and low, thronged to venerate this bell, into which the nation's lifeblood had been poured.<160> At court, palace ladies were dispatched, and all manner of celebratory preparations were made. The ceremony proceeded smoothly, and upon receiving the royal command, the Grand Bell-Casting Master (鑄鍾大博士), Taenaema A-chin (阿眞), struck the bell with a wooden mallet amidst anxiety and unease, but the bell fractured into two pieces.

Everyone turned pale in astonishment, and sounds of stifled weeping burst forth from all sides. The young King Hyegong and the Queen Mother, Lady Mallyŏl (滿月夫人), trembled with ominous premonitions and remorse towards the late king. This was already the fifth time today. When completed bells were struck, they either made no sound, fractured, or the bell hook crumbled, etc. The King was angered by the lack of talented personnel. Simultaneously, he issued a stern command to replace the bell master. The Supervising Master (檢校師), Taegakkan Kim Ong (金邕), petitioned the king to summon artisans from Tang China. Opinions among the elder statesmen were divided, with factions arguing for using Tang people versus using people from Sŏrabŏl [Silla's capital], debating back and forth. After leaving the royal presence, A-chin, lamenting that he would die without being able to display the skills he had honed for 50 years, wrote a final testament and hanged himself. His top disciple, Mich'uhol (彌鄒忽), pleaded tearfully with the Supervising Master to entrust him, just once as a trial, with his master's unfinished work. The Supervising Master stubbornly refused, but the king's sister, Princess Simuna (詩牟那), moved by his passion and admirable devotion to his master, and also drawn by burgeoning feelings of love, appealed to the King, entrusting this great national undertaking to a young man of just 22. Mich'uhol poured his heart and soul into the bell casting, forgetting to eat or sleep day and night, but again the bell casting failed when the earthen mold broke as the molten copper was poured. Court and populace alike were gripped by anxiety, believing misfortune would surely befall the country. The Master [Mich'uhol] agonized, unable to find the cause of failure in his master's or his own skills. The national treasury was depleted by the waste of materials. Great Master Cha'in (慈仁大師) brought up stories of the Western Pure Land and proposed the plan of sacrificing a child. The plan passed the royal court. The people devoted themselves to contributing vessels and donations, and the Master searched for a child. A young widow whose child was taken away cursed the Master, saying, "Your eyes will go blind before you see its completion!" While gazing into the heat of the molten copper, the Bell Master, hearing the sound of a child crying from within the furnace and the widow's chilling curse from behind, felt dizzy and his eyes were blinded by the searing molten copper.

The grief of Princess Simuna, who supported, encouraged, and loved him, was beyond compare.

It was decided to halt the work for the time being. Simuna contacted Princess Uhiko (彦姬), with whom she had formed a close friendship through the words of Minister of the Right Ch'amaro (眞麻呂) when she had been in Japan, and asked her to summon a court physician. Japanese medical skill, outstanding in the world today, was already highly developed back then, and Mich'uhol's eyes began to heal rapidly. The King was angered when he learned of this. The ministers also rebuked [the princess].

"For one of the *chin'gol* [true bone] rank of the nation to interact casually with a commoner is unacceptable, let alone affection!" Around that time, the Tang Emperor's younger brother had been earnestly requesting Simuna as his consort, so the King decided, following the Queen Mother's words, to have her marry into the Tang court. Simuna, believing her beauty was the cause, branded her own cheeks with a hot iron, making Silla's most beautiful face hideous. Thanks to the Japanese medical doctor's best efforts, the day Mich'uhol's eyes would open was near. Simuna panicked. When he opened his eyes (Continued on page 139)<161> "Emille Bell" Continued from page 137 how disappointed would he be upon seeing her ugly face?

Thinking this, she resolved to kill herself and went to the workshop at night for a final farewell. Work had continued, and the bell was nearing completion. The day his eyes were to open was also the day the bell would be finished. Hearing the pessimism and near resignation, wishing for others' happiness, at the end of Simuna's words, Mich'uhol repeatedly questioned her. The Princess confessed she was on her way to the river to die.

Mich'uhol calmly removed his eye bandage. Pushing away the Princess's hands that desperately tried to stop him, he plunged his eyes back into the scorching molten copper. "In my heart, only the Princess's beautiful face from before lies sleeping," he said.

At the completion ceremony, the bell sound still did not emerge. The Supervising Master drew his sword to strike down Mich'uhol. The Princess shielded him with her own body. Upon further investigation, they found a woman dressed in mourning clothes clinging to the bell clapper (鍾實, commonly called *pural*).

It was the mother of the child poured into the melt. After dragging her away and striking the bell again, its immortal, mysterious sound spread across the thousand-year blue sky of Silla. A sense of relief finally permeated the country. Listening to the bell sound, the Princess and the Bell Master departed on the road to exile on Kŏje Island.
<163>

**Summary**

This article introduces Ham Se-dŏk's five-act play "Emillejong," based on the legend of Silla's Divine Bell of Pongdŏksa Temple. Ham explains his intent to portray the bell's creation as a historical precedent for *Naisen Ittai* (Japan-Korea Unity), suggesting the copper was sourced from Japan (Kyushu) and smelted with Korean (Kŭmgangsan) charcoal, symbolizing a fusion of spirits that foreshadowed Japan's leadership in the Greater East Asia Co-Prosperity Sphere. The plot summary details repeated failures in casting the bell, the suicide of the master craftsman A-chin, his apprentice Mich'uhol taking over with Princess Simuna's support, the eventual child sacrifice leading to Mich'uhol's blinding (first by molten copper, then self-inflicted to preserve Simuna's beauty after she disfigures herself), his temporary healing by a Japanese doctor, and the final success of the bell casting only after the sacrificed child's mother is removed from the clapper, followed by the exile of Mich'uhol and Simuna. From a colonial history perspective, the article is revealing in its explicit framing of ancient Silla-Japan interactions and the bell's supposed material origins (Japanese copper, Korean charcoal) as a foundation for the contemporary ideology of *Naisen Ittai* and Japanese leadership in Asia. The author's interpretation directly serves the political narrative of the Japanese empire in 1942, highlighting perceived historical unity and Japanese superiority (in medicine), which historians would find a significant example of cultural production under colonial rule being used for ideological purposes.

**Named Entities**

咸世德	함세덕	Ham Se-dŏk
現代劇場	현대극장	Hyŏndae Theatre Troupe
新羅	신라	Silla
百濟	백제	Paekche
大和	대화	Yamato
我國	아국	Our Nation (referring to Japan)
大東亞共榮圈	대동아공영권	Greater East Asia Co-Prosperity Sphere
慶州	경주	Kyŏngju
奉德寺 神鍾	봉덕사 신종	Divine Bell of Pongdŏksa Temple
景德王	경덕왕	King Kyŏngdŏk
皇龍寺	황룡사	Hwallyongsa Temple
聖德王	성덕왕	King Sŏngdŏk
惠恭王	혜공왕	King Hyegong
奉德寺	봉덕사	Pongdŏksa Temple
孝成王	효성왕	King Hyosŏng
唐	당	Tang (China)
內地九州	내지구주	Naichi Kyushu (Mainland Japan, Kyushu)
太宰府	태재부	Dazaifu
別府	별부	Beppu
朝鮮	조선	Chōsen (Korea)
咸北	함북	Hamgyŏngbuk-to (North Hamgyŏng Province)
甲山	갑산	Kapsan
金初正	김초정	Kim Ch'o-jŏng
筑紫大宰府	축자대재부	Tsukushi Dazaifu
日本	일본	Japan
大伴宿彌伯麻呂	대반숙미백마려	Ōtomo no Sukune Hakumaro
金剛山	금강산	Kŭmgangsan (Diamond Mountains)
內鮮	내선	Naissen (Japan-Korea)
大奈麻	대나마	Taenaema (Silla rank)
阿眞	아진	A-chin
滿月夫人	만월부인	Lady Mallyŏl
大角干	대각간	Taegakkan (Silla rank)
金邕	김옹	Kim Ong
蘇羅伐	소라벌	Sŏrabŏl (Capital of Silla)
彌鄒忽	미추홀	Mich'uhol
詩牟那公主	시모나공주	Princess Simuna
慈仁大師	자인대사	Great Master Cha'in
西方淨土	서방정토	Western Pure Land
眞麻呂	진마려	Ch'amaro (Possibly Sanemaro/Manmaro - needs context, likely Japanese)
彦姬	언희	Uhiko (Possibly Japanese name)
眞骨	진골	Chin'gol (True Bone rank in Silla)
醫博士	의박사	Medical Doctor/Professor
巨濟島	거제도	Kŏje Island

**Glossary**

內鮮一體	내선일체	Japan-Korea Unity (Ideological term of the Japanese colonial period)
文物	문물	Culture and material objects; civilization's products
素因	소인	An underlying factor or cause
戱曲	희곡	Play; drama script
置重	치중	To place importance on; emphasize
汲汲	급급	Busy; hurried; engrossed in
勅使	칙사	Imperial envoy
鑄鍾	주종	Bell casting
樣相	양상	Aspect; state; appearance
技工	기공	Artisan; technician
勞心	노심	Mental toil; anxiety; effort
로-맨스	로맨스	Romance
口傳	구전	Oral tradition
傳說	전설	Legend
調味	조미	Seasoning; flavoring
銅	동	Copper
斤	근	Kŭn/Kin (Unit of weight, approx. 600g)
薨去	훙거	Death of a king or high noble
克成	극성	Successful completion
安置	안치	To enshrine; install peacefully
精巧	정교	Exquisite; elaborate; skillful
極致	극치	The extreme; the pinnacle
瞠目	당목	To stare in astonishment
周知	주지	Common knowledge
解明	해명	To clarify; explain
眞鍮	진유	Brass (older form of 놋쇠/신주)
숫	숯	Charcoal (Older spelling of 숯)
淸淨	청정	Pure and clean
融合	융합	Fusion; merging
魂	혼	Soul; spirit
于今	우금	From now; henceforth (Older usage, more commonly 지금)
奔放	분방	Unrestrained; free-spirited
憧憬	동경	Yearning; longing
理念	이념	Ideology; ideal
落成式	낙성식	Completion ceremony
朝野	조야	The court and the common people; the whole country
傾注	경주	To devote; concentrate (effort, resources)
拜	배	To bow; pay respects; venerate
萬般	만반	All sorts; everything
進捗	진척	Progress
博士	박사	Master; expert (here, related to bell casting); Doctor (medical)
焦燥	초조	Anxiety; impatience; nervousness
破裂	파열	To rupture; break apart; fracture
大驚失色	대경실색	To turn pale with astonishment/fright
暗淚聲	암루성	Sound of stifled weeping
幼君	유군	Young king
太后	태후	Queen Mother; Empress Dowager
不吉	불길	Ominous; unlucky
豫感	예감	Premonition; foreboding
罪悚	죄송	Feeling sorry; apologetic; remorseful (here, towards the deceased king)
震憾	진감	To tremble; shake (with emotion)
鍾鉻	종확	Bell hook (part for hanging the bell)
人材	인재	Talented person; human resources
檢校師	검교사	Supervising Master (Title)
輿論	여론	Public opinion
派	파	Faction; group
甲論乙論	갑론을박	Debate back and forth; arguments for and against
區區	구구	Various; diverse; petty
遺書	유서	Last testament; suicide note
哀乞	애걸	To plead tearfully; implore
頑强	완강	Stubborn; obstinate
戀慕	연모	Romantic love; affection
寢食	침식	Sleeping and eating
心血	심혈	Lifeblood; heart and soul (metaphorical for effort)
憂患	우환	Misfortune; calamity; trouble
愁心	수심	Anxiety; sorrow; worry
技藝	기예	Skill; artistry; craft
苦惱	고뇌	Agony; anguish; distress
浪費	낭비	Waste; extravagance
國庫	국고	National treasury
慈仁	자인	Benevolent; merciful
小兒	소아	Small child
犧牲	희생	Sacrifice
輸器獻納	수기헌납	Contributing vessels and donations
寡婦	과부	Widow
咀呪	저주	Curse
溶鏞	용용	Furnace; crucible (likely 熔鑪)
凄滄	처창	Chilling; desolate; sorrowful
眩氣	현기	Dizziness
炊熱	취열	Searing heat
侍醫	시의	Court physician
卓越	탁월	Outstanding; excellent
快差	쾌차	Recovery (from illness)
叱難	질난	To rebuke; scold
平民	평민	Commoner
配偶	배우	Spouse; consort
懇請	간청	Earnest request; plea
入室	입실	To marry into a family (specifically for a woman)
美貌	미모	Beautiful appearance
인두	인두	Branding iron; soldering iron
醜惡	추악	Ugly; hideous
唐慌	당황	To panic; be flustered (older spelling of 당황)
醜顔	추안	Ugly face
離別	이별	Parting; farewell
職場	직장	Workplace
眼帶	안대	Eye bandage; blindfold
灼熱	작열	Scorching heat; burning
鍾實	종실	Bell clapper striker (inside part)
俗稱	속칭	Commonly called;俗稱
素服	소복	Mourning clothes (usually white)
不朽	불후	Immortal; undying
安堵	안도	Relief; feeling of security
귀양	귀양	Exile


---------------------------


잡지명	대동아 제14권 제3호
발행일	1942년 03월 01일
기사제목	歷史劇 5幕, 어밀레鍾
필자	咸世德(원작), 現代劇場(출연)
기사형태	소설

歷史劇 5幕, 어밀레鍾
						咸世德(원작), 現代劇場(출연)
意圖

문화를 통한 內鮮一體의 역사적 考察을 해볼려고 했다. 新羅시대에 文物이 百濟와 함께 大和에 輸入이 된 것이 1,000년 후 오늘날 我國이 大東亞共榮圈의 盟主로 나서게 되는 한 素因이 되지 않었을가? 戱曲이 실로 연극적 魅力을 못가저 연출자의 食慾을 끄을지 못하는 듯 하다. 그것은 事件에 置重함으로 줄거리를 끌고 가기에 汲汲한 탓인듯 하다. 나는 當時의 內鮮 勅使 왕래와 鑄鍾資材運搬, 鑄鍾樣相 등을 前面에 내고 技工의 勞心과 로-맨스와 또한 口傳되는 傳說을 調味로 하야 실로 연극적 희곡을 써보고저 한다.
