**Header Section:**
Magazine Title: 大東亞 제14권 제3호
Publication Date: 1942년 03월 01일
Article Title: 新嘉坡와 共榮圈 (Singapore and the Co-Prosperity Sphere)
Author: 京城培材中學校長 申興雨(高靈興雨)
Article Type: 논설 (Editorial/Opinion Piece)

**Body Text Translation:**

Singapore and the Co-Prosperity Sphere
						By Shin Hŭng-u (Koryŏng Hŭng-u), Principal of Kyŏngsŏng Paejae Middle School

At the southern tip of the Malay Peninsula lies a small island, about 40 *ri* wide and 80 *ri* long, which is what we call Singapore. In 1819, Raffles, representing the British East India Company, acquired it.

Though a small island, it is no exaggeration to say it was the most important point for the British Empire in extending its commercial network across the Eastern Hemisphere. It became the center connecting the Indian Ocean, the Persian Gulf, the Red Sea, Africa, the East Indies, Australia, New Zealand, the South and North Pacific Islands, Japan, Manchuria, China, and French Indochina. Therefore, it can be called the supreme center of the British Empire.

From a political perspective, without Singapore, Britain could not maintain India, its East African territories, Australia, and New Zealand. Thus, after the abolition of the Anglo-Japanese Alliance at the Washington Conference, Britain felt the political and military importance of Singapore even more than its commercial significance, pouring enormous sums of money into it without stint, confident that it could defend against any powerful enemy.

Now that this center, Singapore, has collapsed, what results will arise not only for the fate of Britain itself but also for the various peoples of the aforementioned regions? This is what we want to know. In a word, a great historical dawn is breaking – the dawn of the Greater East Asia Co-Prosperity Sphere under the Nisshōki flag of the Empire of Japan. After hundreds of years of stagnation under the control of Britain (for the majority), and sometimes Holland, America, or a few other countries, they are now infused with vitality.

Among them, some have long histories, while others remain in a primitive state. Manchuria and China, we all know well, need no mention. Annam, Thailand, Burma, India, Java, Sumatra, and Luzon all have long histories but have groaned under the rule of Europeans and Americans, especially Britain, Holland, and America, for the past few hundred years. The native inhabitants of Borneo, Celebes, Australia, the Bismarck Archipelago, New Zealand, and other islands mostly live in a primitive state. Whether they had history or not, all<88> suffered political bondage and economic exploitation, with no progress in improving their own lives, reforming laws, or disseminating knowledge, remaining in darkness for hundreds of years. However, when this Co-Prosperity Sphere is established, it will be as different as night and day.

As for what policy the Empire of Japan will employ towards them, one example can be cited. Some years ago, an American newspaper reporter inspected the South Seas Mandate under Japanese administration. He went to Palau and observed Japan's political, hygienic, and educational facilities one by one. Then, he took a small boat alone to another small island and inspected it as well. Afterwards, he visited the elderly chief of that island. He asked him, "Since you are old, you must know the long history of this island. First came the Spaniards, then the Germans, and now you are under Japanese rule. Compared to the Spanish and Germans, which was better?" The chief replied, "We were so abused by the Spanish that it's beyond comparison; of course, the Germans were much better." Next, he asked, "What if the Germans came back again now?" The chief answered, "No, sir. Japan is the best of the three, so we want Japan to stay and definitely do not want the Germans to return." I read an article describing this published in an American magazine. This is the honest confession of a native living in a primitive state on a remote South Seas island.

If even primitive residents on remote South Seas islands receive such benefits of impartial benevolence in politics, law, hygiene, education, and economy within a short period, what can we expect for the various peoples who possess histories spanning thousands of years, have had frequent mutual cultural exchanges, and are closely related by blood and race, when they enter this Co-Prosperity Sphere? We can know just by imagining. Within this Co-Prosperity Sphere, what should we Peninsular people (Koreans) do? What position are we in? Regarding this, His Excellency Governor-General Minami has made a clear announcement. He stated that we have the glory of being a core people (中核民族) guiding the Co-Prosperity Sphere. That is, as loyal subjects of the Imperial Nation (皇國臣民), with a strong sense of kinship, Japanese and Koreans (內鮮人) bear the mission of guiding within the Co-Prosperity Sphere. We must each possess the qualifications worthy of being leaders. We must acquire the qualifications of leaders through morality, knowledge, training, and experience.

Next, with a firm will of self-sacrifice for the nation (挺身報國), whether it be Malaya, Burma, the Dutch East Indies, the Philippines, the Indian Ocean, or any remote island in the South Pacific, going there to guide the people living there so they may receive the benefits of coexistence and co-prosperity is our mission and simultaneously our glory. This is especially true for the youth. (End) <89>

**Summary**

The article argues that Japan's conquest of Singapore signifies the end of oppressive Western colonial rule (primarily British) in Asia and the beginning of liberation under the Greater East Asia Co-Prosperity Sphere. The author, Shin Hŭng-u, portrays Japanese rule as benevolent, citing an anecdote from Palau, and contrasts it favorably with European colonialism. He concludes that Koreans, as loyal "subjects of the Imperial Nation" and a "core people" alongside the Japanese, have the glorious mission to acquire leadership qualities and guide other Asian nations within the Sphere, requiring self-sacrifice and service throughout the newly expanded Japanese empire. From a historical perspective, this article is a significant example of collaborationist ideology articulated by a prominent Korean educator during the height of Japanese imperialism. It reveals the framing of Japanese expansion as liberation and the specific role envisioned for Koreans—as junior partners but nonetheless leaders—within the Japanese-dominated "Co-Prosperity Sphere," reflecting the propaganda efforts aimed at mobilizing Korean support for the war effort.

**Named Entities**

新嘉坡	신가파	Singapore
英國	영국	Britain/British
英國東印度商會	영국 동인도 상회	British East India Company
우라풀스	우라풀스	Raffles
馬來반도	마라이 반도	Malay Peninsula
印度洋	인도양	Indian Ocean
波欺灣	파사만	Persian Gulf
紅海	홍해	Red Sea
亞弗利加	아프리카	Africa
東印度諸島	동인도 제도	East Indies
濠洲	호주	Australia
新西蘭	신서란	New Zealand
太平洋	태평양	Pacific Ocean
日本	일본	Japan
滿洲	만주	Manchuria
支那	지나	China
佛領印度	불령 인도	French Indochina
華盛頓會議	화성돈 회의	Washington Conference
日英同盟	영일 동맹	Anglo-Japanese Alliance
大日本帝國	대일본 제국	Empire of Japan
日章旗	일장기	Nisshōki (Japanese flag)
大東亞共榮圈	대동아 공영권	Greater East Asia Co-Prosperity Sphere
和蘭	화란	Holland (The Netherlands)
米國	미국	America (USA)
安南	안남	Annam (Vietnam)
泰國	태국	Thailand
緬甸	면전	Burma
印度	인도	India
쟈바	자바	Java
수마투라	수마트라	Sumatra
呂宋	여송	Luzon (Philippines)
뽀니오	보르네오	Borneo
세레베쓰	셀레베스	Celebes (Sulawesi)
濠太利	호태리	Australia
비스막 群島	비스마르크 군도	Bismarck Archipelago
南洋群島	남양 군도	South Seas Mandate / Nanyō Guntō
바라오	팔라우	Palau
西班牙	서반아	Spain
독일	독일	Germany
南總督閣下	미나미 총독 각하	Governor-General Minami
內鮮人	내선인	Japanese and Koreans
馬來	마라이	Malaya
蘭印	난인	Dutch East Indies
比律賓	비률빈	Philippines
南太平洋	남태평양	South Pacific
京城培材中學校長 申興雨(高靈興雨)	경성 배재 중학교장 신흥우 (고령 흥우)	Shin Hŭng-u (Koryŏng Hŭng-u), Principal of Kyŏngsŏng (Seoul) Paejae Middle School

**Glossary**

小島	소도	Small island
획득(獲得)한	획득한	Acquired, obtained
商業綱	상업망	Commercial network (綱 used for 網)
느려놓는	늘여놓는	Stretching out, extending (older spelling)
중심지(中心地)	중심지	Center, central point
연락(連絡)한다	연락한다	Connects, links
최고(最高)	최고	Highest, supreme
유지(維持)할 수 없게된다	유지할 수 없게 된다	Becomes unable to maintain
폐기(廢棄)한	폐기한	Abolished, discarded
이후로부터	이후로부터 / 이후로	Since then, from after that time
군사적(軍事的)	군사적	Military
투입(投入)	투입	Input, investment
충당(充當)하야	충당하여	Allocating, covering (costs) (older spelling/form)
강적(强敵)	강적	Strong enemy
방어(防御)할 수 있다	방어할 수 있다	Can defend
자신(自信)한	자신한	Was confident
붕괴(崩壞)하게됨에	붕괴하게 됨에	Upon collapsing
흥폐(興廢)	흥폐	Rise and fall, fate
막론(莫論)하고	막론하고	Regardless of, irrespective of
서광(曙光)	서광	Dawn light, first light
빛이 인다	빛이 인다 / 비친다	Shines (older/dialectal form)
수단(手段)下에	수단 하에 / 수중에	Under the means/control of
침체(沈滯)되였다가	침체되었다가	Having stagnated (older spelling)
활기(活氣)를 띠우게 되였다	활기를 띠게 되었다	Came to be lively, took on vitality (띠우다 older form of 띠다; 되였다 older spelling)
가젔으나	가졌으나	Although possessing (older spelling)
지배(支配) 하에서	지배 하에서	Under the rule/control of
신음(呻吟)한였고	신음하였고 / 신음했고	Groaned, suffered (older spelling)
본주민(本住民)	본주민 / 토착민	Native inhabitants
기반(羈絆)	기반	Fetters, restraints (political)
착취(搾取)	착취	Exploitation
향상(向上)	향상	Improvement, progress
개선(改善)	개선	Improvement, reform
보급(普及)	보급	Diffusion, spread
암흑(暗黑)	암흑	Darkness
달은 것	다른 것	Different thing (older spelling)
방침(方針)	방침	Policy, course of action
위임통치(委任統治)	위임 통치	Mandate rule
시찰(視察)하였다	시찰하였다 / 시찰했다	Inspected
위생적(衛生的)	위생적	Hygienic, sanitary
시설(施設)	시설	Facilities, installations
일일이	일일이	One by one, individually
단독(單獨)으로	단독으로	Alone, independently
소정(小艇)	소정	Small boat
추장(酋長)	추장	Chief, tribal leader
낳았느냐	나았느냐	Was it better (older spelling)
훨신	훨씬	Much, far (more) (older spelling)
학대(虐待)	학대	Abuse, mistreatment
게제(揭載)된	게재된	Published, carried (in a publication) (older spelling)
토인(土人)	토인	Native (can be derogatory)
정직(正直)한	정직한	Honest
고백(告白)	고백	Confession
일시동인(一視同仁)	일시동인	Impartial benevolence, treating all equally
혜택(惠澤)	혜택	Benefit, grace
단기간(短期間)	단기간	Short period
이만하거던	이만하거든	If it is this much/to this extent
호상간(互相間)에	호상간에 / 상호간에	Mutually, between each other
빈번(頻繁)하였고	빈번하였고 / 빈번했고	Was frequent
혈통(血統)	혈통	Bloodline, lineage
제족(諸族)	제족	Various peoples/tribes
예상(豫想)만하여도	예상만 하여도	Even just by anticipating/imagining
반도인(半島人)	반도인	Peninsular people (Koreans)
지위(地位)	지위	Status, position
명백(明白)히	명백히	Clearly, distinctly
발표(發表)한	발표한	Announced, published
중핵민족(中核民族)	중핵 민족	Core people/nation
광영(光榮)	광영	Glory, honor
충실(忠實)한	충실한	Faithful, loyal
황국신민(皇國臣民)	황국 신민	Subject of the Imperial Nation (Japan)
동류(同類) 의식	동류 의식	Consciousness of being the same kind/group
지도(指導)하는	지도하는	Guiding, leading
임무(任務)	임무	Duty, mission
자격(資格)	자격	Qualification
갖어야 할 것이다	가져야 할 것이다	Must possess/have (older spelling)
도의(道義)	도의	Morality, righteousness
단련(鍛鍊)	단련	Training, discipline
경험(經驗)	경험	Experience
정신보국(挺身報國)	정신보국	Offering one's body to serve the nation; self-sacrifice for the country
구든	굳은	Firm, determined (older spelling)
공존공영(共存共榮)	공존공영	Coexistence and co-prosperity


---------------------------


잡지명	대동아 제14권 제3호
발행일	1942년 03월 01일
기사제목	新嘉坡와 共榮圈
필자	京城培材中學校長 申興雨(高靈興雨)
기사형태	논설

新嘉坡와 共榮圈
						京城培材中學校長 申興雨(高靈興雨)
馬來반도 남단에 廣이 약 40리 長이 약 80리되는 小島가 즉 우리가 말하는 新嘉坡이다. 1819년에 英國東印度商會를 대표하는 우라풀스가 이것을 획득한 것이다.
一個小島이나 英帝國이 東半球에 商業綱을 느려놓는 데에는 가장 중요한 지점이라 하여도 과언이 안이다. 여기가 중심지가 되여가지고 印度洋, 波欺灣, 紅海, 亞弗利加, 東印度諸島, 濠洲, 新西蘭, 南北太平洋諸島, 日本, 滿洲, 支那, 佛領印度를 연락한다. 고로 英帝國의 최고중심지라고 말할 수 있는 것이다.
정치적으로 볼때에 新嘉坡가 안이고는 印度와 東亞弗利加領地들과 濠太利, 新西蘭을 유지할 수 없게된다. 그리하야 華盛頓會議에서 日英同盟을 폐기한 이후로부터 新嘉坡의 상업적 중요성보다도 정치적 군사적 중요성을 더욱 느끼여 거대한 금액을 아낌이 없이 투입 충당하야 이만하면 어떠한 강적이라 할지라도 능히 방어할 수 있다고 자신한 바이다.
이제 이 중심지인 新嘉坡가 붕괴하게됨에 당하야 英自國의 興廢는 막론하고 이상의 말한바 各地 諸민족에게는 어떠한 결과가 生하느냐?를 우리는 알고싶어한다. 한마디로 말하자면 역사적 一大서광이 빛이 인다, 大日本帝國의 日章旗 下에 大東亞共榮圈의 서광이다. 幾百年동안 다수는 英國, 더러는 和蘭 혹 米國 기타 數個國의 手段下에 沈滯되였다가 이제는 활기를 띠우게 되였다.
저들 중에 더러는 긴 역사를 가진 자도 있고 또 더러는 원시시대의 그대로 있는 자도 있다. 滿洲, 支那는 우리가 다 아는 바이니 말할 것도 없고 安南, 泰國, 緬甸, 印度, 쟈바, 수마투라, 呂宋은 다 긴 역사를 가젔으나 과거 幾百年에 歐米사람 특히 英國, 和蘭, 米國 지배 하에서 신음한였고 뽀니오, 세레베쓰, 濠太利, 비스막 群島, 新西蘭 기타 諸群島에 있는 本주민들은 대개 원시적 생활에 있다. 저들이 역사가 있었거나 없었거나 모다가＜88＞ 다 정치적 羈絆과 경제적 착취를 당하였고 저들 자신의 생활향상이나 법률의 개선이나, 지식보급에 아모 발전이 없어 幾百年동안 암흑가운데에 있었다. 그러나 이 공영권이 건설되는 때에는 음과 양이 달은 것과 같이 달을 것이다.
日本帝國이 저들에게 어떠한 방침을 쓸가하는 데에는 한 例를 擧할 수 있다. 수년전에 어떠한 미국의 一신문기자가 일본위임통치 하에 있는 南洋群島를 시찰하였다. 그가 『바라오』에 가서 일본의 정치적 위생적 교육적 諸시설을 일일이 살피여 보왔다. 그 다음에는 단독으로 小艇을 타고 어떠한 小島에 가서 그곳을 역시 시찰하였다. 그 다음 그 섬에 사는 노인추장을 방문하였다. 그에게 묻기를 당신은 노인인고로 이 섬의 오래인 역사를 알 터인데 첨에는 西班牙사람, 다음에는 독일사람 지금에는 일본의 통치를 받으니 서반아와 독일을 비하면 어떤 편이 낳았느냐고 하니 그의 대답이 西班牙에게는 어찌도 학대를 받었던 지 무엇이라 비할 수 없었고 물론 독일이 훨신 낳었습니다고 말하였다. 또 그 다음 묻기를 지금 독일이 또 다시 온다면 어떻겠느냐고 물으니 대답하기를 안이올시다, 일본이 이 셋 중에 제일 나으니까 일본이 있기를 원하며 독일이 다시 오는 것을 결코 원치 안습니다고 하였다하는 기사가 어떤 미국잡지에 게제된 것을 나는 읽은 일이 있습니다. 이것은 원시 시대적 생활에 있는 土人의 정직한 고백이올시다.
南洋孤島에 원시적 주민에게도 一視同仁의 정치 법률 위생 교육 경제 등 혜택이 단기간에도 이만하거던 여러 천년의 역사를 가지고 모든 문화의 교환이 호상간에 빈번하였고 혈통과 인종이 서로 가까운 諸族에게는 이 공영권내에 드는 때에 어떠할 것인가 예상만하여도 알 것이다. 이 공영권 내에서 우리 반도인들은 무엇을 할 것인가 우리들은 어떠한 지위에 처하여있는가, 여기에 대하야 南總督閣下가 명백히 발표한 것이 있다. 우리들에게는 공영권 지도의 中核民族된 光榮이 있다고 하였다. 즉 충실한 皇國臣民으로서 강한 同類 의식을 가지고 內鮮人이 공영권 내에 지도하는 임무를 지게 된다는 것이다. 우리는 각각 지도자 될만한 자격을 갖어야 할 것이다. 道義와 지식 단련 경험으로써 지도자의 자격을 갖어야 할 것이다.
