Magazine Title: 大東亞 第14卷 第3號
Publication Date: 1942년 03월 01일 (March 1, 1942)
Article Title: 亞細亞主義와 東亞新秩序 建設, 孫文 汪精衛外 中國政客의 亞細亞論을 基調로하여 (Asianism and the Construction of the New East Asian Order, Based on the Asian Theories of Sun Yat-sen, Wang Jingwei, and Other Chinese Politicians)
Author: 上海興亞院文化局 平田在福(舊名 張在福) (Shanghai Kōain Cultural Bureau, Hirata Zaifuku [Former Name: Chang Chae-bok])
Article Type: 논설 (Editorial/Opinion Piece)

Asianism and the Construction of the New East Asian Order, Based on the Asian Theories of Sun Yat-sen, Wang Jingwei, and Other Chinese Politicians
						Shanghai Kōain Cultural Bureau, Hirata Zaifuku (Former Name: Chang Chae-bok)

Since the outbreak of the China Incident (支那사변), various theories and opinions regarding Japan-China relations can be seen in newspapers and magazines in Our Japan (我 日本), but it seems difficult for us to hear the assertions and theories from the Chinese side. Therefore, I will record a few passages regarding the views on Asia held by famous Chinese figures, as shown below, and simultaneously write about the significance of the New East Asian Order. (Author)

『We must advocate Greater Asianism (大亞細亞主義) and restore the status of the Asian peoples. Based solely on benevolence, righteousness, morality, and ethics (仁義道德), we must unite the various peoples and make all Asian peoples powerful. The reason we speak of Greater Asianism is that the issue is how the peoples suffering in Asia can stand against the powerful European peoples. Simply put, it concerns the problem of eliminating the discontent of the oppressed peoples.』(Sun Yat-sen's Lecture on Greater Asianism)

The era in which China is currently undergoing a revolution is vastly different from Japan's Meiji Restoration (維新) period. During Japan's Restoration period, the power of Europe and America had not yet fully advanced eastward, and there were no other obstacles in the lands of East Asia. When Japan sought to modernize its military and reform its politics, it was free from any restraint. That is why Japan's restoration could be fully established. However, when Our China (我中國) faced revolution 13 years ago, the great powers of Europe and America had already invaded East Asia, and China was surrounded by the hindrances of powerful nations, encountering numerous difficulties. Even if these difficulties were overcome, the same objective could not be achieved. For this reason, even today, in the 13th year of the revolution<128>, it has not yet succeeded. Japan is currently the strongest independent nation in the East and also one of the world's great powers. If Japan truly recognizes that China has become a colony of more than ten countries, I think it is impossible for an independent nation to seek friendship with a colony. If Japan sincerely wishes to be friendly with China, it must first immediately help China abolish the unequal treaties and restore its position as master, allowing China to attain the status of freedom. Only then can China become friendly with Japan. As we are accustomed to saying, China and Japan are nations of the same race and script (同種同文), fraternal countries (兄弟의 邦). In terms of thousands of years of history and status, China is the elder brother (兄) and Japan is the younger brother (弟). At this time, if the brothers mutually gather and achieve harmony within the family (一家 和睦), then the younger brother, Japan, must recognize that its elder brother has already been a slave for over ten years. He has suffered extraordinary pain until today and is still suffering. The cause of that suffering is the unequal treaties. Furthermore, you gentlemen who are the younger brother must share the worries on behalf of the elder brother, assist the elder brother in his struggle, abolish the unequal treaties, and liberate him from the status of a slave. Only after that can China and Japan truly become brothers again. (An excerpt from Sun Yat-sen's lecture in Kobe)

Looking at this passage, it is extremely thorough, viewing Japan and China as fraternal nations and Asia as Our home. It leads to the point of how we should mutually aid each other in the future to revitalize Our home.

『There is not the slightest doubt that what China currently seeks is the independent survival, freedom, and equality of the nation and people. Only by granting China national and ethnic independent survival, freedom, and equality can it share the responsibility for peace and stability in East Asia with Japan. China must adopt the same policies as Japan in diplomacy and national defense, and economically, based on the principle of equality and mutual benefit (平等互惠) with Japan, it must practice mutual exchange of resources (有無相通) and mutual supplementation of strengths and weaknesses (長短相補).』 (Wang Jingwei [汪精衛])

This passage shows no great difference from the Konoe Three Principles of neighborly friendship, joint defense against communism, and economic cooperation.

『Since the founding of the Republic, the Chinese government has been organized by the Han (漢), Manchu (滿), Mongol (蒙), Hui (回), and Tibetan (藏) five peoples. However, in reality, those in power have all been Han Chinese. Although it is said that a policy of republicanism, freedom, and equality is practiced towards these five peoples, this is merely empty talk on paper. In reality, a policy of restraint (羈絆策) is employed towards the Han, Mongol, Hui, and Tibetan four peoples, not only obstructing their self-reliant revival but also making it impossible to maintain peace in the border regions, leaving them exposed to the threats of imperialism taking advantage of the situation. <129> This amounts to cooperating with the aggressive policies of imperialism and does not constitute an attempt to resolve issues based on the principle of national self-determination (民族自決策). Rather, there is no choice but to liberate the four peoples, allow each to form an independent state, and have their own peoples defend their own nations.』(Chang Myŏng [强鳴])

Thus, Chang Myŏng proposes the liberation of the five peoples, the establishment of a Great Han State (大漢國), and the formation of an Asian International League (亞洲國際聯盟). The Asian International League would focus on common national defense, with Japan taking charge of defense with its navy, building an invincible Pacific fleet, while the other continental nations would build large armies to handle the defense of the four northern directions. This opinion of Chang Myŏng also advocates for the liberation and independence of the peoples within China to promote national development, and through this, achieve a great union (大同聯合) to prepare for any future contingencies.

『Regarding the relationship between Japan and China, since Japan is the nation in Asia where military power, culture, science, and technology are most developed, it is of no concern (無關之事) to receive assistance in technology and capital from Japan to develop China's natural resources and advance industry. This leads to coexistence and co-prosperity (共存共榮) and equality and mutual benefit (平等互惠), and is by no means one country becoming subordinate (**) to another.』 Chou *'s (周*) (Greater Asianism)

『The Japanese and Chinese peoples have close relations racially and culturally. Although there are differences in national character, they possess largely similar traits (大同小異的 性質), making mutual intimacy and harmony (相親相睦) by no means impossible.』(Yi Chi-sŏng [李至誠])

Let us briefly examine the general sentiment towards foreign powers among Chinese people today.

『We can divide recent foreign relations into five periods: 「Despising Foreigners (鄙視外人)」, 「Excluding Foreigners (排斥外人)」, 「Fearing Foreigners (畏懼外人)」, 「Relying on Foreigners (倚恃外人)」. When sea routes first opened and foreigners first came to Our Country (我國), the people regarded them with extreme contempt (鄙視). <130> During the Qing Dynasty (淸朝時代), when foreign envoys had an audience with the emperor, they were forced to perform the ritual of three kneelings and nine kowtows (三跪九叩首). Later, as transportation became convenient and Western material civilization spread to various regions along with missionaries, the general scholar-official class (士大부급) was astonished by its reality, eventually leading to a mentality of closing the gates, preserving the national essence (國粹), and rejecting European ways (歐風). The Boxer Rebellion (義和團事件) can be seen as its peak. Subsequently, as they were defeated in successive wars against foreign powers, their attitude completely changed to one of fearing foreigners (畏懼外人), gradually entering a state of self-deprecation and lack of self-respect. Then, this mentality further degenerated into a sycophantic mentality towards foreigners (媚外心理), and from this sycophantic thought, it advanced one step further to become a thought of reliance on foreigners (恃外思想). Consequently, money was deposited in foreign banks, shops sought to use foreign brands, and it reached a point where even major national affairs were expected to be resolved with the participation of foreigners. This became true for all matters related to politics, economy, and military affairs. The current Chungking Government (重慶政府) serves as a prime example, relying on Britain and America (英米) and looking expectantly towards the Soviet Union (蘇聯), with national self-reliance becoming entirely absent.』(Greater Asianism Magazine 「中文」 Vol. 4, No. 2)

From the above, we can sufficiently deduce how the Chinese people's psychological attitude towards foreign powers has changed over time. No matter how much the Chungking Government propagates anti-Japanese resistance thought (排日抗日思想), the people's hearts remain inclined towards relying on Westerners, exhibiting a state of extreme suspicion (疑視千萬之狀). Even those in the leadership of the resistance are psychologically wavering left and right. What their final outcome will be in the not-too-distant future, I leave to the judgment of you, the readers. As described above, I have briefly noted the Asian perspectives of several famous Chinese figures and the transformation of popular sentiment towards foreign powers. Now, the "Construction of the New East Asian Order" (東亞新秩序建設) that we are advocating and advancing, based on geographical and historical conditions, aims to rectify the ills of East Asia and establish eternal peace and prosperity in East Asia by forming an organic community system spanning national defense, politics, economy, and culture. Regarding the morality (道義) that forms the foundation of the new order, the countries of East Asia should avoid mutual confrontation, relate organically, become intimate (相親), and further contribute to the establishment of a new world order.

The New East Asian Order signifies, on one hand, the liberation of East Asia. Until this demand is fully realized, the self-defense capabilities of East Asians must be urgently strengthened. If "morality also lacks substantial power" (道義도 實力), the path of constructing the new order we are advancing will be nothing more than empty talk. Therefore, the urgent task at hand is to swiftly organize the joint defense posture of East Asia under the new order structure, thoroughly instill a sense of coexistence throughout East Asia, and secure the safety within its sphere. <131>

**Summary**

This article, written by a Korean collaborator working for a Japanese propaganda bureau in Shanghai, argues for Japan's "New East Asian Order." It selectively quotes Chinese figures like Sun Yat-sen and Wang Jingwei, emphasizing themes of Asian unity against Western oppression, Sino-Japanese brotherhood (with Japan positioned to "help" China), and the need for economic and military cooperation under Japanese leadership. It criticizes the Nationalist Chinese government in Chungking for relying on Western powers and portrays the Chinese populace as having shifted from despising foreigners to relying on them, suggesting they are ready for Japan's leadership. The article concludes by stressing the need to build a strong joint defense system under the New Order to achieve East Asian liberation and prosperity. From the perspective of Korean colonial history, the article is significant because the author, Chang Chae-bok (using the Japanese name Hirata Zaifuku), represents Korean collaboration within the Japanese imperial structure, actively participating in disseminating Japanese wartime ideology. Historians might find the strategic use of Chinese nationalist figures' words to justify Japanese expansionism and the portrayal of shifting Chinese public opinion (as interpreted through a pro-Japanese lens) particularly revealing about the nature of propaganda and collaboration during this period.

**Named Entities**

大亞細亞	대아세아	Great Asia
亞細亞	아세아	Asia
東亞	동아	East Asia
孫文	손문	Son Mun (Sun Yat-sen)
汪精衛	왕정위	Wang Chŏngwi (Wang Jingwei)
中國	중국	Chungguk (China)
上海興亞院文化局	상해흥아원문화국	Sanghae Hŭngawŏn Munhwaguk (Shanghai Kōain Cultural Bureau)
平田在福	평전재복	P'yŏngjŏn Chaebok (Hirata Zaifuku)
張在福	장재복	Chang Chae-bok
支那	지나	China (older, often derogatory term used by Japan)
日本	일본	Ilbon (Japan)
歐米	구미	Kumi (Europe and America/The West)
神戶	신호	Sinho (Kobe)
近衛	근위	Kŭnwi (Konoe - referencing Prince Fumimaro Konoe's principles)
漢	한	Han
滿	만	Man (Manchu)
蒙	몽	Mong (Mongol)
回	회	Hoe (Hui)
藏	장	Chang (Tibetan)
强鳴	강명	Kang Myŏng (Chang Myŏng)
太平洋	태평양	T'aep'yŏngyang (Pacific Ocean)
周*	주*	Chu * (Name partially obscured/omitted)
李至誠	이지성	Yi Chi-sŏng
淸朝	청조	Ch'ŏngjo (Qing Dynasty)
義和團	의화단	Ŭihwadan (Boxer Rebellion)
重慶政府	중경정부	Chunggyŏng Chŏngbu (Chungking Government)
英米	영미	Yŏngmi (Britain and America)
蘇聯	소련	Soryŏn (Soviet Union)

**Glossary**

亞細亞主義	아세아주의	Asianism
東亞新秩序	동아신질서	New East Asian Order
政客	정객	Politician
基調	기조	Basis, keynote
名士	명사	Famous person, notable figure
記錄	기록	To record, document
意義	의의	Significance, meaning
大亞細亞主義	대아세아주의	Greater Asianism
仁義道德	인의도덕	Benevolence, righteousness, morality, and ethics
蒙(하다)	몽하다	To suffer, receive (harm, kindness etc.)
歐洲	구주	Europe (Older term)
對抗(하다)	대항하다	To oppose, stand against
彼壓迫民族	피압박민족	Oppressed peoples
不平打破	불평타파	Elimination of discontent/grievances
維新	유신	Restoration (specifically, the Meiji Restoration)
東進(하다)	동진하다	To advance eastward
軍備	군비	Military preparedness, armaments
刷新(하다)	쇄신하다	To reform, renovate
何等	하등	Any kind of, whatsoever (older usage)
自由	자유	Freedom
임이	이미	Already (older spelling)
許多	허다	Numerous, many
成功(하다)	성공하다	To succeed
獨立國家	독립국가	Independent nation
植民地	식민지	Colony
親善(하다)	친선하다	To be friendly, amicable
廢除(하다)	폐제하다	To abolish, repeal (older spelling/hanja reading for 폐지)
奮回(시키다)	분회시키다	To restore, recover (less common term)
同種同文	동종동문	Same race, same script
兄弟	형제	Brothers
互相集合	호상집합	Mutual gathering
和睦(하다)	화목하다	To be harmonious, concordant
奴隷	노예	Slave
高痛	고통	Pain, suffering (common word)
分擔(하다)	분담하다	To share (a burden, responsibility)
助力(하다)	조력하다	To assist, help
奮鬪(하다)	분투하다	To struggle hard, strive
離脫(시키다)	이탈시키다	To make secede, break away from
如何히	여하히	How, in what way (older form of 어찌)
相扶相助	상부상조	Mutual aid, mutual assistance
復興(시키다)	부흥시키다	To revive, restore
獨立生存	독립생존	Independent survival
小毫	소호	Slightest bit, tiny amount (less common)
和平	화평	Peace
安定	안정	Stability
分擔(하다)	분담하다	To share (responsibility)
外交	외교	Diplomacy
國防	국방	National defense
同一	동일	Same, identical
方針	방침	Policy, course of action
經濟	경제	Economy
平等互惠	평등호혜	Equality and mutual benefit
有無相通	유무상통	Mutual exchange/sharing of resources (lit. having and not having communicating)
長短相補	장단상보	Mutual supplementation of strengths and weaknesses
善隣友好	선린우호	Neighborly friendship
共同防共	공동방공	Joint defense against communism
經濟提携	경제제휴	Economic cooperation
組織(되다)	조직되다	To be organized, formed
執政者	집정자	Ruler, person in power
擧皆	거개	Mostly, almost all
共和	공화	Republicanism
紙上空論	지상공론	Empty talk on paper, armchair theory
實際	실제	Reality, actuality
羈絆策	기반책	Policy of restraint/control (lit. bridle/halter policy)
採 取(하다)	채취하다	To adopt, choose (a policy, measure etc.)
自力更生	자력갱생	Revival through one's own efforts, self-reliance
阻害(하다)	조해하다	To obstruct, hinder
境界	변경	Border region
治安	치안	Public peace/order
不可能	불가능	Impossible
帝國主義	제국주의	Imperialism
威脅(하다)	위협하다	To threaten
放任(하다)	방임하다	To leave alone, neglect
侵略	침략	Aggression, invasion
協同(하다)	협동하다	To cooperate
民族自決	민족자결	National self-determination
解決(하다)	해결하다	To solve, resolve
차라리	차라리	Rather, preferably
解放(하다)	해방하다	To liberate
形成(시키다)	형성시키다	To form, shape
防衛(시키다)	방위시키다	To make defend
樹立	수립	Establishment
亞洲國際聯盟	아주국제연맹	Asian International League
提 案(하다)	제안하다	To propose, suggest
建設(하다)	건설하다	To construct, build
天然富源	천연부원	Natural resources
開發(하다)	개발하다	To develop
實業	실업	Industry, business
發達(시키다)	발달시키다	To develop, advance
技術	기술	Technology, skill
資本	자본	Capital
援助	원조	Assistance, aid
無關之事	무관지사	Matter of no concern, irrelevant matter
共存共榮	공존공영	Coexistence and co-prosperity
他國	타국	Another country
**되다	**되다	To become (subordinate - word obscured/censored)
種族的	종족적	Racial, ethnic
文化的	문화적	Cultural
密接(하다)	밀접하다	Close, intimate
民族性	민족성	National character
相違(하다)	상위하다	To differ
大同小異	대동소이	Largely the same, differing only in minor details
相親相睦	상친상목	Mutual intimacy and harmony
一般 的	일반적	General
對外感情	대외감정	Sentiment towards foreign countries/powers
鄙視(하다)	비시하다	To despise, look down upon
排斥(하다)	배척하다	To exclude, reject, boycott
畏懼(하다)	외구하다	To fear, dread
倚 恃(하다)	의시하다	To rely on, depend on
拜竭(할 時)	배알(할 시)	At the time of having an audience (with royalty)
禮	례	Ritual, etiquette (older spelling of 예)
強要(하다)	강요하다	To compel, force
交通	교통	Transportation, communication
便 利(케되여)	편리케 되어	Becoming convenient (older spelling/construction)
物質文明	물질문명	Material civilization
宣布師	선교사	Missionary (older term)
流布(하는데 따라)	유포하는데 따라	As it spread
士大夫級	사대부급	Scholar-official class
實狀	실상	Reality, actual situation
驚嘆(하여)	경탄하여	Being astonished
드듸여	드디어	Finally, eventually (older spelling)
關門	관문	Gate, barrier
閉(하다)	폐하다	To close
國粹	국수	National essence, uniquely national characteristics
保持(코저하고)	보지코자 하고	Trying to preserve (older form)
歐風	구풍	European ways/style
排斥(하는 심리)	배척하는 심리	Mentality of exclusion/rejection
其後	기후	Subsequently, afterwards (older form of 그 후)
次次로	차차로	Successively, one after another (older form)
蜂起(된)	봉기된	Having risen up (like bees), occurred (uprising/war)
對外戰爭	대외전쟁	Wars against foreign powers
失敗(하게되니)	실패하게 되니	As (they) came to fail
態度	태도	Attitude
一變(하여)	일변하여	Completely changing
輕視(하다)	경시하다	To slight, look down on
尊重(치 안는)	존중치 않는	Not respecting (older negative form)
墮落(하여)	타락하여	Degenerating, becoming corrupt
媚外心理	미외심리	Sycophantic mentality towards foreigners
事大思想	사대사상	Thought of relying on foreigners (closely related to 恃外思想)
金錢	금전	Money
貯蓄(하며)	저축하며	Saving, depositing
商店	상점	Shop, store
商標	상표	Trademark, brand
待望(할 것이라고)	대망할 것이라고	Saying that (one) should expect/hope for
參來(하여)	참래하여	Participating, coming to join in
實例	실례	Actual example
依存(하며)	의존하며	Depending on, relying on
企待(하여)	기대하여	Expecting, anticipating
全無(케 되다)	전무케 되다	To become entirely absent (older form)
如何(하였음을)	여하하였음을	How it was (older form)
넉넉히	넉넉히	Sufficiently, amply
推想(할 수 있다)	추상할 수 있다	Can infer, deduce
排日抗日思想	배일항일사상	Anti-Japanese resistance thought
宣傳(한다고 하여도)	선전한다고 하여도	Even if (they) propagate
依然	의연	Still, as before
疑視千萬之狀	의시천만지상	A state of extreme suspicion/doubt (literary)
指導層	지도층	Leadership stratum
輩等	배등	Group of people, folks (often slightly derogatory)
心理的	심리적	Psychological
左往右往(하는 편이니)	좌왕우왕하는 편이니	As (they) are wavering left and right
不遠(한 장래)	불원한 장래	Not-too-distant future
終局	종국	End, final outcome
讀者 諸位	독자 제위	Respected readers
判斷	판단	Judgment
一任(한다)	일임한다	To entrust entirely
變態	변태	Transformation, metamorphosis (here, change in sentiment)
略記(하였거니와)	약기하였거니와	Although I have briefly recorded
主張(하고)	주장하고	Asserting, advocating
進中(에 있는)	진행중에 있는	Being in progress
地理的	지리적	Geographical
歷史的	역사적	Historical
條件	조건	Condition
背景	배경	Background
時弊	시폐	Current ills, evils of the time
匡正(하여)	광정하여	Correcting, rectifying
永遠	영원	Eternity, permanence
平和	평화	Peace
繁榮	번영	Prosperity
確立(코저)	확립코자	Seeking to establish (older form)
諸般	제반	Various, all sorts of
亙(하여)	긍하여	Spanning, ranging over
有機的	유기적	Organic
共同體制	공동체제	Joint system, community structure
形成(함에 있다)	형성함에 있다	Lies in forming
基調	기조	Keynote, basis
