Magazine Title: 삼천리 제11권 제4호
Publication Date: 1939-04-01
Article Title: 감출 수 업는 것은(외 2편) (What Cannot Be Hidden (and 2 others))
Author: 露雀 (Nojak)
Article Type: 시 (Poem)

What Cannot Be Hidden (and 2 others)
						Nojak

What Cannot Be Hidden

If you go to gather herbs, gazing at the distant Mountain (山)
What do you see, using the spring pool as a mirror?
Hiding the short pine branch in the pine grove is useless
What cannot be hidden is the big girl's behind.

Seeing the Half-moon (半달), letting out a long sigh
Shaking out the fish trap at the front stream's stone weir
When the hedgehog wanders off alone and goes for a drink
The virtuous woman from the back house with a red face walks the dawn path.

What use is a hero who cannot see the signs of the times?
Amidst smallpox chaos (素症난리) and banishment of Shame (廉恥), planning a chicken theft
Old Mr. Kang with the yellow beard cannot sleep at night
Watching the Pleiades (좀星) for Heaven's Ki (天機), grumbling to himself <254>

Even if Red Peppers and Bellflowers are Spicy

My younger brother-in-law, the Master Carpenter (都片手), working on the Ch'ungju Guesthouse (忠州 客舍) crossbeam
How can I trust the young Husband (郞君) held in my arms?
The winding Outer West Village (外西村) path, full of puddles
Who can know the heart of the sister-in-law (싀뉘) like a drizzling rain?

Weaving Mokch'ŏn cotton (木川무명), a Ch'ŏngju woman (淸州나이), twelve-*sae* weaving (열누새 길ㅅ삼)
Setting the heddle (잉아) and grabbing the shuttle (북), my heart thumps
Thump-thump cries the loom frame (바듸), what is so sorrowful?
Twelve spools (가락고치) drain the marrow from my spine (등ㅅ골).

The unknowing mother-in-law (싀어머니) only winds skeins (꾸리)
Even if five hundred skeins are unwound and woven, will this sorrow be relieved?
When all this fine cloth (細木) is finished, who will wear it?
There’s nothing for the front house (압宅) baby's diaper cloth (기저귀ㅅ감), how absurd.

In July/August (七八月), pounding grain all night long
Coarse barley rice (꽁버리밥) after the first steaming, even that is precious <255>
The sister-in-law's (싀누이) malice earns her ill repute (陋名) for stealing grain husks (강피훌ㅅ다?)
With every glance, the thoughtless Husband (郞君) throws empty punches.

A Solitary Step

A solitary step, isn't the P'och'ŏng bridge (捕廳다리) frightening?
The *salp'uri* rhythm (殺푸리 長短) from the Restaurant (料理ㅅ집), it's Pokch'ŏng Bridge (福淸橋)
Deliberately getting soaked by the heavy snow, is it such a big deal?
The Half-Millennium (半千年) old bell, silently, Emillelle...

A solitary step, isn't the goblin's arm (독갭이 팔) frightening?
The jazz (짜쓰) from Chindan Street (진딴다 거리) makes my ears ring
Deliberately getting soaked by the heavy snow, is it such a big deal!
Over Sup'yo Bridge (水標다리), how many feet, how many inches deep is the ditch water (구정물)...

A solitary step, isn't the Hullyŏnwŏn site (訓練院터) frightening?
The late factory siren (공장싸이렌), the body is weary too
Deliberately getting soaked by the heavy snow, is it such a big deal!
Ogansu (五間水) is choked up, how can I get to Wangsimni (往十里)? <256>

**Summary**

These three poems by Nojak depict distinct scenes of Korean life in the late 1930s. The first, "What Cannot Be Hidden," offers vignettes of rural life, observing nature, simple actions, and subtle social commentary on hidden feelings or unseemly realities. The second, "Even if Red Peppers and Bellflowers are Spicy," delves into the arduous and often thankless life of a young wife and daughter-in-law, focusing on the physical toil of weaving and domestic chores, compounded by familial tensions and lack of appreciation. The third, "A Solitary Step," shifts to an urban setting, likely Seoul, portraying a lonely, perhaps anxious, walk through the snowy city at night, referencing specific locations and contrasting traditional elements (Emille bell) with modern ones (jazz, factory sirens), reflecting a sense of unease and displacement. For historians, the poems are valuable for their portrayal of everyday life and emotional landscapes during the colonial period, capturing both rural hardships (especially for women) and the emerging modern anxieties in urban spaces, grounded in specific locations like Ch'ungju, Ch'ŏngju, and various sites within Seoul. The blend of traditional Korean imagery with modern elements like jazz and factory sirens highlights the transitional nature of the era.

**Named Entities**

山	산	Mountain
半달	반달	Half-moon
忠州 客舍	충주 객사	Ch'ungju Guesthouse
外西村	외서촌	Outer West Village (Oesŏch'on)
木川	목천	Mokch'ŏn
淸州	청주	Ch'ŏngju
압宅	압댁	Front house (Apt'aek - colloquial)
捕廳다리	포청다리	P'och'ŏngdari (Police Bureau Bridge)
料理ㅅ집	요릿집	Restaurant
福淸橋	복청교	Pokch'ŏnggyo (Pokch'ŏng Bridge)
半千年	반천년	Half-Millennium (referring to the bell)
진딴다 거리	진단다 거리	Chindan Kŏri (Chindan Street - likely refers to a street known for entertainment/modernity, perhaps related to the Chindan Society or simply a lively area)
水標다리	수표다리	Sup'yodari (Water Level Marker Bridge)
訓練院터	훈련원터	Hullyŏnwŏn Site (Military Training Ground Site)
五間水	오간수	Ogansu (Ogansu Bridge/Drainage Channel)
往十里	왕십리	Wangsimni

**Glossary**

업는	없는	not having; lacking (older spelling of 없는)
바래기	바라보기	gazing at; looking toward (dialect/poetic form of 바라보기)
감처야	감춰야	must hide (older spelling/form of 감춰야)
궁둥	궁둥이	buttocks; behind (dialect/colloquial)
당싯	당기듯이	as if pulling; here likely 'letting out' (a sigh) (older form/spelling)
압내여을	앞냇물을	front stream water (older spelling/form)
통발	통발	cylindrical fish trap made of bamboo or wire
것네	걷네	walks (older spelling/form of 걷네)
廉恥	염치	sense of shame; decency
닭서리	닭서리	stealing chickens
좀星	좀성	Pleiades star cluster (older term)
홈자	혼자	alone (older spelling/dialect form of 혼자)
들ㅅ보남글	들보나무를	crossbeam wood (older spelling combining 들보 'beam' + 나무 'wood' + 를 'object marker')
都片手	도편수	master carpenter
郞君	낭군	husband (archaic term)
싀뉘	시누이	sister-in-law (older spelling of 시누이)
열누새	열두새	twelve-*sae* (a measure of fineness in weaving; older spelling of 열두새)
길ㅅ삼	길쌈	weaving (older spelling)
잉아	잉아	heddle (part of a loom)
바듸	바디	reed (part of a loom); loom frame (poetic usage)
설우	서러워	being sorrowful (older form/spelling of 서러워)
가락고치	가락고치	spool; bobbin (used for thread)
등ㅅ골	등골	spine; backbone (older spelling)
몰으는	모르는	unknowing; unaware (older spelling of 모르는)
싀어머니	시어머니	mother-in-law (older spelling of 시어머니)
꾸리	꾸리	skein; bundle of yarn/thread
풀ㅅ가	풀까	will it be resolved/undone? (older spelling of 풀까)
細木	세목	fine cloth; finely woven cotton/hemp
누를를	누구를	whom (older spelling/form of 누구를)
기저귀ㅅ감	기저귓감	diaper material (older spelling)
어이두	어이도	how; also how (absurdly) (older spelling/form)
자체방아	자체방아	treadmill mortar (for pounding grain)
애벌댓김	애벌데김	first steaming (of rice/grain) (older form/spelling)
꽁버리밥	꽁보리밥	rice mixed with whole barley (often eaten by the poor)
그것두	그것도	even that (older spelling of 그것도)
대전	대단히	very; greatly; precious (here, likely 'precious'/'important')
陋名	누명	ill repute; notoriety (can also mean false accusation, but context suggests ill repute)
싀누이	시누이	sister-in-law (older spelling of 시누이)
암상	암상	malice; ill will; spite
눈ㅅ결마다	눈결마다	with every glance (older spelling)
헛주먹질	헛주먹질	throwing empty punches; futile anger/action
철 없는	철없는	immature; thoughtless; out of season
호젔한	호젓한	solitary; secluded; quiet (older spelling of 호젓한)
안소	않소	is it not? (older interrogative ending)
맛는	맞는	getting hit by; being exposed to (snow) (older spelling of 맞는)
옷저즌들	옷 젖은들	even if clothes get wet (older spelling/form)
대수요	대수요	is it a big deal? (older interrogative form)
쇠북	쇠북	large metal bell; gong
독갭이	도깨비	goblin; Korean goblin (older spelling of 도깨비)
짜쓰	재즈	jazz (loanword adaptation)
저리네	저리네	rings; tingles (ears)
적즌들	젖은들	even if wet (older spelling/form)
구정물	구정물	dirty ditch water; slops
