**Header Section:**
Magazine Title: 개벽 제68호
Publication Date: 1926년 04월 01일
Article Title: 社告 (Company Announcement)
Author: None specified
Article Type: 사고·편집후기 (Announcement/Editorial Postscript)

**Body Text Translation:**
Company Announcement

⊙ Hamnam Branch Expansion
Previously, the Hamnam Branch was under the management of Mr. Yi Ŭng-bong, but due to circumstances, he has been dismissed. Now, under the management of Mr. Pak Hwa-sŏp, we have opened with a new organization as described below and are further expanding various operations concerning reader recruitment, article handling, and advertisement processing. We ask our esteemed readers for double the support as before.
Branch Location: Hamhŭng, Taehwa-chō Nichōme
Tong-A Sŏrim (East Asia Bookstore)
Telephone: 340
Postal Transfer: Kyŏngsŏng 11768
Branch Staff:
Branch Manager: Pak Hwa-sŏp
Reporter: Pae To-bin
Reporter: Pak Chae-bong

⊙ Yŏngdŏk Branch Newly Established
Location: Yŏngdŏk-ŭp, Namsŏk-tong
Region: The entire areas of Yŏngdŏk, Yŏngil, Yŏngyang, Uljin
Staff:
Branch Manager: Paek Hak-nae
Reporter: Pak Mu

⊙ Hoengsŏng Sub-branch Staff Additions
Reporter: O Kyu-sŏn
Reporter: Kwŏn Kwang-ch’ul (stationed in Anhŭng)

⊙ Pyŏngyŏng Branch Newly Established
Location: Ulsan, Pyŏngyŏng Nammun-t’ong
Region: The entire area of Ulsan-gun
Staff:
Branch Manager: Kim Nam-sŏk
General Affairs & Reporter: Kim In-sŏk
Advisor: O Ŭi-sang
Advisor: Kim Sŏng-jin
Advisor: Yu Ch’ang-sik
Advisor: Pak P’ung-ho

⊙ Chasŏng Sub-branch Newly Established
Location: Chasŏng-gun, Ŭpnae (Town Center)
Region: The entire areas of Chasŏng, Huch’ang
Staff:
Sub-branch Manager: Im Yong-hyŏp
General Affairs & Reporter: Chang Chin-sam
Field Staff: Yi Ch’an-jun
Field Staff: Hwang Un-gyŏng
Field Staff: Sin Sŏk-ho

⊙ Changsŏng Sub-branch Newly Established
Location: Changsŏng Station Front (Changsŏng Yŏkchŏn)
Region: The entire area of Changsŏng-gun
Staff:
Sub-branch Manager: Pan Chun-mo
General Affairs: Son Tong-sŏn
Reporter: Yi Kŏn-ok
Reporter: Hong Chong-hwi
Reporter: Na P’al
Advisor: Kim Chun
Advisor: Kim Kyu-hwan<47>

**Summary**

This company announcement from the magazine *Kaebyŏk* details the expansion and restructuring of its branch network in April 1926. It reports the change in management for the Hamnam branch, the establishment of new branches in Yŏngdŏk and Pyŏngyŏng (Ulsan), and new sub-branches in Chasŏng and Changsŏng. It also announces staff additions to the Hoengsŏng sub-branch, listing the names and positions of the personnel involved in each location, including branch managers, reporters, general affairs staff, advisors, and field staff. Historians might find this interesting as it documents the growing organizational structure and reach of a significant Korean cultural/intellectual magazine during the colonial period, showcasing its efforts to establish a nationwide presence. The list of specific individuals involved in local branches provides valuable data for social network analysis and understanding regional intellectual activities. The use of Japanese administrative district names like "Taehwa-chō" in Hamhŭng reflects the colonial reality.

**Named Entities**

咸南	함남	Hamnam
李膺奉	이응봉	Yi Ŭng-bong
朴華燮	박화섭	Pak Hwa-sŏp
咸興 大和町 二丁目	함흥 대화정 2정목	Hamhŭng Taehwa-chō Nichōme
東亞書林	동아서림	Tong-A Sŏrim
京城	경성	Kyŏngsŏng
裵道彬	배도빈	Pae To-bin
朴在鳳	박재봉	Pak Chae-bong
盈德	영덕	Yŏngdŏk
盈德邑 南石洞	영덕읍 남석동	Yŏngdŏk-ŭp Namsŏk-tong
迎日	영일	Yŏngil
英陽	영양	Yŏngyang
蔚珍	울진	Uljin
白鶴來	백학래	Paek Hak-nae
朴武	박무	Pak Mu
橫城	횡성	Hoengsŏng
吳奎善	오규선	O Kyu-sŏn
安興	안흥	Anhŭng
權光出	권광출	Kwŏn Kwang-ch’ul
兵營	병영	Pyŏngyŏng
蔚山 兵營南門通	울산 병영남문통	Ulsan Pyŏngyŏng Nammun-t’ong
蔚山郡	울산군	Ulsan-gun
金南石	김남석	Kim Nam-sŏk
金仁奭	김인석	Kim In-sŏk
吳義相	오의상	O Ŭi-sang
金成晋	김성진	Kim Sŏng-jin
劉昌植	유창식	Yu Ch’ang-sik
朴豊鎬	박풍호	Pak P’ung-ho
慈城	자성	Chasŏng
慈城郡 邑內	자성군 읍내	Chasŏng-gun Ŭpnae
厚昌	후창	Huch’ang
林鏞玐	임용협	Im Yong-hyŏp
張軫三	장진삼	Chang Chin-sam
李賛俊	이찬준	Yi Ch’an-jun
黃雲京	황운경	Hwang Un-gyŏng
申錫浩	신석호	Sin Sŏk-ho
長城	장성	Changsŏng
長城驛前	장성역전	Changsŏng Yŏkchŏn
長城郡	장성군	Changsŏng-gun
潘俊模	반준모	Pan Chun-mo
孫東鮮	손동선	Son Tong-sŏn
李建玉	이건옥	Yi Kŏn-ok
洪鍾輝	홍종휘	Hong Chong-hwi
羅叭	나팔	Na P’al
金俊	김준	Kim Chun
金圭煥	김규환	Kim Kyu-hwan
咸南支社	함남지사	Hamnam Branch
盈德支社	영덕지사	Yŏngdŏk Branch
橫城分社	횡성분사	Hoengsŏng Sub-branch
兵營支社	병영지사	Pyŏngyŏng Branch
慈城分社	자성분사	Chasŏng Sub-branch
長城分社	장성분사	Changsŏng Sub-branch

**Glossary**

社告	사고	Company announcement
支社	지사	Branch office
擴張	확장	Expansion
過般	과반	Recently, previously
經營	경영	Management, operation
事情	사정	Circumstances, situation
依하야	의하여	Due to, according to (Older grammatical form of -에 의하여)
解任	해임	Dismissal
今般	금반	This time, now
左記	좌기	As written below/on the left
如히	여히	Like, as (Derived from 如하다, meaning 'to be like')
新陣容	신진용	New lineup, new organization
開張	개장	Opening, establishment (of a business)
讀者募集	독자모집	Reader recruitment/subscription drive
記事	기사	Article (in a newspaper/magazine)
廣告取扱	광고취급	Handling of advertisements
關한	관한	Regarding, concerning (Older spelling/form of 관한)
諸般事務	제반사무	Various affairs/matters/operations
一層	일층	Even more, further, to a greater degree
愛讀 諸位	애독 제위	Esteemed readers (lit. 'love-reading everyone')
倍前厚援	배전후원	Double the previous support/assistance
位置	위치	Location
電話	전화	Telephone
振替	진체	Postal transfer (System for transferring funds)
職員	직원	Staff, employee
支社長	지사장	Branch manager
記者	기자	Reporter, journalist
新設	신설	New establishment, newly founded
地域	지역	Area, region
一圓	일원	The entire area/district of
分社	분사	Sub-branch, smaller branch office
增選	증선	Additional selection, appointment, election
總務	총무	General affairs manager/staff
兼	겸	Concurrently serving as, also holding the position of
顧問	고문	Advisor, consultant
外務員	외무원	Field staff, outside salesperson/agent (lit. 'outside affairs member')
邑內	읍내	Town center (lit. 'inside the town')
驛前	역전	In front of the station
-e 

---------------------------


잡지명	개벽 제68호
발행일	1926년 04월 01일
기사제목	社告
기사형태	사고·편집후기

社告
⊙咸南支社擴張
過般 咸南支社는 李膺奉 氏의 經營이옵든 바 事情에 依하야 解任되고 今般 朴華燮 氏의 經營 下에서 左記와 如히 新陣容을 開張하고 讀者募集과 記事 及 廣告取扱에 關한 諸般事務를 一層擴張하오니 愛讀 諸位는 倍前厚援하야 주심을 바라나이다
支社位置 咸興 大和町 二丁目
東亞書林
電話 三四○番
振替 京城 一一匹六八番
支社職員
支社長 朴華燮
記者 裵道彬
同 朴在鳳

⊙盈德支社新設
位置 盈德邑 南石洞
地域 盈德 迎日 英陽 蔚珍 各 一圓
職員
支社長 白鶴來
記者 朴武

⊙橫城分社職員增選
記者 吳奎善
記者 安興駐在 權光出

⊙兵營支社新設
位置 蔚山 兵營南門通
地域 蔚山郡 一圓
職員
支社長 金南石
總務 兼 記者 金仁奭
顧問 吳義相
同 金成晋
同 劉昌植
同 朴豊鎬

⊙慈城分社新設
位置 慈城郡 邑內
地域 慈城 厚昌 各 一圓
職員
分社長 林鏞玐
總務 兼 記者 張軫三
外務員 李賛俊
同 黃雲京
同 申錫浩

⊙長城分社新設
位置 長城驛前
地域 長城郡 一圓
職員
分社長 潘俊模
總務 孫東鮮
記者 李建玉
同 洪鍾輝
同 羅叭
顧問 金俊
同 金圭煥＜47＞
