잡지명	三千理 제6권 제7호
발행일	1934년 06월 01일
기사제목	八道名唱歌曲評 (Review of Famous Singers' Songs from the Eight Provinces)
필자	長安過客
기사형태	소식 (News/Report)

八道名唱歌曲評
						長安過客
Three Generations of Famous Singers: Song Man-gap

『*Pŏmbim chungnyu* 떠나간다 (Departing midstream on the Pŏmbim)
망망한 창해 중에 (Amidst the vast, blue sea)
탕탕한 물결이라 (The rolling waves)

백빈주 갈마귀는 (The seagulls of Paekpinju islet)
홍여안으로 나라들고 (Fly towards Hongyŏan)
산상에 뜬기럭이 (The geese floating above the mountain)
平沙에 떠러진다 (Descend upon the P'yŏngsa sands)』

Any connoisseur (*kaggaek*) who knows even a little about singing will recognize this passage as the most gracefully delivered part of the *Sŏsangp'algyŏng* (Eight Views of the Xiao and Xiang Rivers). Originally, there were said to be two types of *Sŏsangp'algyŏng*. One is the *tanga* (short song) version that begins, "The mountains and peaks resound, and the gloomy winds howl..." and the other is the one in the *ujo* (羽調 - a musical mode) style that appears within the *Sim Ch'ŏng Chŏn* (Tale of Sim Ch'ŏng). This passage, however, is from the one in *Sim Ch'ŏng Chŏn*, and its rhythm (*changdan*) and melody (*kokcho*) have become an eternal masterpiece that makes everyone tap their knees in appreciation. Hey there, friends! This melody was composed by an old *hwarang* (花郞 - literally 'flower youth', here meaning master performer/patron of arts) named Song U-ryong (宋雨龍), who lived far away in Tamyang (潭陽), Chŏlla Province.<149> And who is this Song U-ryong? He is none other than the grandfather of Song Man-gap (宋萬甲), the famous singer from the Eight Provinces about whom I intend to speak here. Man-gap's father, Song Hŭng-nok (宋興祿), was also famous as a master singer of Chŏlla Province, and Song Hŭng-nok had a cousin named Song Kwang-nok (宋光祿), who was also renowned for his excellent singing. Thus, Song Man-gap—Song U-ryong, Song Hŭng-nok, Song Man-gap—represents three generations descending from grandfather, father, to son, who for over 200 years have spread their fame as master singers of the Eight Provinces throughout the land. Isn't that magnificent? Others might boast of three generations serving as chief state councilors, but for us transient guests of life (*insaeng kwagaek*), for whom heaven and earth are but a cup of wine (*kŏn'gon chuilbae*), a family of three generations of master singers is more enviable than a family of three generations of councilors, I say.

Anyway, the grandfather taught the father, and the father taught the son, leading to Song Man-gap's generation. In his youth (*sonyŏn sijŏl*), when Song Man-gap was supposedly poor at singing, his teacher and father threatened him with a knife, shouting, "Such a mediocre talent disgraces the family name of master singers (*myŏngch'ang kamyŏng*)!" and making a fuss about killing him off. Because of this, Man-gap resolved himself and entered a temple deep in the mountains near that old town of Tamyang to study poetry and classics (*sisŏ*)—no, not the poetry and classics of the Four Books and Five Classics, but singing. He studied so diligently that eventually, they say, clumps of blood came out of his throat.

Thus emerged the renowned Song Man-gap. Even this venerable master cannot stop the flow of time and has become a white-haired old man (*paeksuhansin*) of seventy-one this year. His singing is truly that of a master singer. He taught many *kisaeng* (female entertainers), making his singing easy to learn and easy to listen to—in other words, he is an artist who popularized and made his art accessible (*taejungjŏk*). Until recently, his voice (*mokch'ŏng*) had deteriorated due to opium addiction, but these days he has completely quit opium and resumed his training. He has returned to the voice he had during his peak fame twelve or thirteen years ago. Indeed, at the recent master singers' competition held at the Seoul Public Hall, we were able to hear again the voice of a truly world-class master singer.
There isn't a *kisaeng* who hasn't learned Song Man-gap's style (*cho*). Famous female master singers like
Kim Ch'o-hyang (金楚香), Pak Nok-chu (朴綠珠), Yi Hwa-jung Sŏn (李花中仙), Kim Nok-chu (金綠珠), Pae Sŏl-hyang (裵雪香)
all learned from Song Man-gap and are recognized as master singers today. Not only the *kisaeng*, but<150> the styles (*cho*) of singing passed down today can all be considered Song Man-gap style (宋萬甲流) or Song Man-gap *cho* (宋萬甲調). That's right. Even if he were to die now, his name would endure for eternity (*man'go*).
Since he is already aging, I wish his voice could be preserved by recording much of it onto records soon. Anyway, accompanied by Han Sŏng-jun's (韓成俊) skillful *changgo* (drum) playing, I long to hear passages from the *p'ansori* (판소리 - narrative song) Song Man-gap prides himself on:
"*Ch'unhyang Chŏn* (春香傳), *Pak T'aryŏng* (박타령 - Gourd Song)"
When one says *p'ansori*, young boys and girls (*hongan sonyŏn*) may not know it well, but once it starts, one performance lasts at least 30 minutes or an hour before reaching its end. For example, *Sim Ch'ŏng Chŏn*, *Ch'unhyang Chŏn*, and the like are all such pieces.

Yi Tong-baek of the *Sae T'aryŏng* (Bird Song)

When he sings "A bird, a bird flies in. What kind of bird is flying in?" while dramatically fanning open his folding fan (*puch'aesal*) and craning his neck, it is truly a clear and mellow sound (*ch'ŏngsanhan nurŭmsori*). Originally from Ch'ungch'ŏng Province, perhaps because there are many birds at Osu-ryŏng (烏輸嶺 - Osu Pass), he sings the *Sae T'aryŏng* as skillfully as a blue jay or a cuckoo (*ch'ŏngjebi kujebi*). Yi Tong-baek (李東伯), too, was a young prodigy singer (*sonyŏn myŏngch'ang*), and this year he is sixty-seven or eight. Life is fleeting.
Yi Tong-baek has a face of jade bones (*okkol*). If times were different, his face is one that could belong to the high nobility (*tangsang hwajok*). His physique (*p'ungch'ae*) resembles Yi Mong-nyong stepping right out of *Ch'unhyang Chŏn*—a handsome man (*honam'a*), truly well-featured.
However, he learned from Song Man-gap's father, Song Hŭng-nok, yet he still lacks a disciple to carry on his legacy. Why is that? It's because this master's singing is so free and unrestrained (*punbang chajae*) that his rhythm changes every time he sings, making it impossible for others to learn. Even he himself, if asked to repeat a song he just sang, would render the melody (*mokch'ŏng*) differently.
Also, Yi Tong-baek spoils his singing by needlessly inserting his own improvisations (*chaejo*), turning it into a complete hodgepodge (*chapt'ang*) and thereby lowering its dignity (*p'umwi*). It's a regrettable matter.

Kim Ch'ang-hwan of the *Ch'undang Sigwa* (Spring Hall Examination)

Isn't there a section called "*Ch'undang Sigwa*" in the *Pak T'aryŏng*? That good part<151> in *Pak T'aryŏng* where the character struts around after passing the state examination (*changwŏn kŭpche*). It is said that only Kim Ch'ang-hwan (金昌煥) can truly perform this "*Ch'undang Sigwa*"; this master is the master singer of "*Ch'undang Sigwa*." He also received (*patatji*) his training from Song Hŭng-nok. He had a son named Kim Pong-i (金鳳伊) who was indeed a master singer, but it is a pity that, as the saying goes 'a genius dies young' (*ch'ŏnjae chosa*), he passed away in his youth. His most famous disciple is Im Pang-ul (林방울).

Chŏng Chŏng-nyŏl of *Ch'unhyang Chŏn*

Chŏng Chŏng-nyŏl (丁貞烈) can indeed be called the foremost master singer of our time. Well, just listen. He is dignified, refined (*koa*), like an aged nobleman (*kwigongja*), a scholar (*sŏnbi*), a gentleman (*kunja*). His face is handsome, and although his voice (*mok*) might seem unremarkable, its foundation (*pat'ang*) is so good (*chowa*) that listening to him is refreshing. This gentleman is also from Chŏlla Province.
His specialty is *Ch'unhyang Chŏn*, and whichever passage you hear, it's a masterpiece (*chŏlch'ang*). Lately, he is said to be teaching the famous *kisaeng* master singers like Kim Ch'o-hyang, Pak Nok-chu, and Yi Hwa-jung, whom Song Man-gap used to teach. They have found the right teacher (*sŏnsaeng*).

Kim Ch'ang-nyong of the *Chŏkpyŏkka* (Song of the Red Cliff)

Kim Ch'ang-nyong (金昌龍) performs the intricate *Chŏkpyŏkka*, which deals with sparing or killing Cao Cao (曹操), truly well. Passages like the one depicting the advance through Huarong Road (*Hwaryongno*) amidst flames are delivered as if spitting fire from his throat—urgent, intense, and magnificent. It's truly a fine voice (*mokch'ŏng*). He was likely born in Ch'ungch'ŏng Province. Is he sixty-two or three this year?
However, Kim Ch'ang-nyong also lacks a disciple to inherit his precious talent for future generations. Much like Yi Tong-baek, his singing is too unrestrained (*punbang*) for others to be able to learn.
Such a fine physique (*p'ungp'ae*), such a fine voice—truly regrettable, regrettable.

Female Master Singers in Full Bloom (*Paekhwa*)

Surveying the female master singers (*nyŏryu myŏngch'ang*), perhaps the first finger would point to Kim Ch'o-hyang (金楚香), a former *kisaeng* from the old days (*nyet kisaeng*), who, though getting older (*nŭlgŏtjiman*), is quite good (*kopttŭri*). Even saying she's older merely means she's just past her prime youth (*ip'al ch'ŏngch'un*); at thirty-four this year, her future is still bright (*ch'angch'anghada*).
Her singing, being from Taegu (大邱), is interesting (*chami itta*) no matter how much you listen. It's the kind of <152> singing you don't tire of (*silhŭn jul morŭnŭn*) even after listening for a long time. Her strengths (*tŭkchang*) are *Sim Ch'ŏng Chŏn*, *Sŏsangp'algyŏng*—all are good. Since she received (*patatssŭni*) her training from Song Man-gap, she inevitably follows his style (*ttara kal su pakke*).
Next is likely Yi Hwa-jung Sŏn (李花中仙), also a disciple of Song Man-gap. This *kisaeng* might be four or five years older (*nŭlgŏssŭlkka*) than Kim Ch'o-hyang. Approaching forty (*sasip katkkauni*), she is an older *kisaeng* (*nogi*), but when it comes to singing, she is like flowing water from a clear mountain stream (*ch'ŏngsan nyusu kyŏk*); she does everything well. Her voice (*mok*) is very beautiful (*ipsŭda*).
And then there's Pak Nok-chu (朴綠珠). Is she twenty-eight this year? As she occasionally performs on the radio, you might know her well; she studies very hard. Her forte is also likely *Ch'unhyang Chŏn*. Pak Nok-chu, given her age (*nai*) and passion (*yŏlsŏng*), will surely become a first-rate famous *kisaeng* (*myŏnggi*) in the future.
Oh dear, should I only count *kisaeng* from the southern provinces (*Namdo kisaeng*)? If we look for *kisaeng* from the western provinces (*Sŏdo kisaeng*), there's Son Chin-hong (孫眞紅) for *chapka* (雜歌 - miscellaneous folk songs). Though she's an older *kisaeng* of forty who no longer works as one, if you listen now, her voice is still the same old voice (*nyet moksori*). And Yi Chin-bong (李眞鳳) is also among the skilled ones. Is she thirty-four or five this year?
Promising newcomers (*sinch'ul*) are likely Kim Yŏn-su (金鍊守) and Chu Nan-hyang (朱蘭香), both from Chŏlla Province. They perform *tanga* (短歌 - short songs) well. Anyway, they are famous *kisaeng* who came out after studying singing diligently (*chŏngjŏng*) under Song Man-gap for several years.
Listening to all these master singers, accompanied by Han Sŏng-jun's *changgo* drum and the *kayagŭm* (가야금 - zither) of Sim Sang-gŏn (沈相健), Kim Chong-gi (金鍾基), and Chŏng Nam-hŭi (丁南希), while lying in a grass-roofed pavilion (*ch'odang*) cooled by a gentle southeast wind (*tongnamp'ung*), feels like it would grant ten thousand years of life (*mannyŏn suhal kŏt katta*).
Even if not ten thousand years, surely a thousand years of life (*ch'ŏnnyŏn su*) could be attained.<153>

**Summary**

This 1934 article by "Changan Kwagaek" reviews prominent Korean traditional singers (*myŏngch'ang*), primarily focusing on *p'ansori* masters. It highlights the esteemed lineage of Song Man-gap, tracing his family's artistry back three generations to his grandfather Song U-ryong. The author discusses the styles, famous pieces (like *Ch'unhyang Chŏn*, *Sae T'aryŏng*, *Chŏkpyŏkka*), and notable disciples of key male singers such as Song Man-gap, Yi Tong-baek, Kim Ch'ang-hwan, Chŏng Chŏng-nyŏl, and Kim Ch'ang-nyong. The piece also praises several leading female singers (*kisaeng*), including Kim Ch'o-hyang, Yi Hwa-jung Sŏn, and Pak Nok-chu, noting their training under masters like Song Man-gap and their contributions to the art. The author expresses deep admiration for these artists and laments the lack of successors for some, advocating for preserving their voices through recordings. For historians, the article offers valuable insights into the state of traditional Korean performing arts during the colonial period, the master-disciple system, the significant role of *kisaeng* in maintaining cultural traditions, regional distinctions in performance styles (Chŏlla, Ch'ungch'ŏng, Sŏdo), and early awareness of sound recording technology for cultural preservation.

**Named Entities**

宋萬甲	송만갑	Song Man-gap
長安過客	장안과객	Changan Kwagaek
宋雨龍	송우룡	Song U-ryong
潭陽	담양	Tamyang
宋興祿	송흥록	Song Hŭng-nok
宋光祿	송광록	Song Kwang-nok
全羅道	전라도	Chŏllado
八道	팔도	P'alto (Eight Provinces)
金楚香	김초향	Kim Ch'o-hyang
朴綠珠	박록주	Pak Nok-chu
李花中仙	이화중선	Yi Hwa-jung Sŏn
金綠珠	김록주	Kim Nok-chu
裵雪香	배설향	Pae Sŏl-hyang
서울 공회당	서울 공회당	Seoul Konghoedang (Seoul Public Hall)
韓成俊	한성준	Han Sŏng-jun
李東伯	이동백	Yi Tong-baek
忠淸道	충청도	Ch'ungch'ŏngdo
烏輸嶺	오수령	Osu-ryŏng
金昌煥	김창환	Kim Ch'ang-hwan
金鳳伊	김봉이	Kim Pong-i
林방울	임방울	Im Pang-ul
丁貞烈	정정열	Chŏng Chŏng-nyŏl
金昌龍	김창룡	Kim Ch'ang-nyong
曹操	조조	Cao Cao
大邱	대구	Taegu
南道	남도	Namdo (Southern Provinces)
西道	서도	Sŏdo (Western Provinces)
孫眞紅	손진홍	Son Chin-hong
李眞鳳	이진봉	Yi Chin-bong
金鍊守	김련수	Kim Yŏn-su (Note: 鍊 is usually read 'ryŏn', but sometimes 'yŏn' in names)
朱蘭香	주란향	Chu Nan-hyang
沈相健	심상건	Sim Sang-gŏn
金鍾基	김종기	Kim Chong-gi
丁南希	정남희	Chŏng Nam-hŭi

**Glossary**

명창	명창	Master singer (esp. of p'ansori)
가객	가객	Singer, connoisseur of song
잇스렷다	있었다	There was/were (Older spelling/form)
단가(短歌)	단가	Short song (a type of p'ansori-related song)
우조(羽調)	우조	Ujo mode (a primary melodic mode in traditional Korean music)
화랑(花郞)	화랑	Lit. 'flower youth'; used here metaphorically for a master performer/patron of arts
소릿개	소리꾼	(Likely means) singer, vocalist (colloquial/older term)
장단	장단	Rhythm, rhythmic cycle in Korean traditional music
곡조	곡조	Melody, tune
조부	조부	Grandfather
가명(家名)	가명	Family name/reputation
발심	발심	To make a firm resolution, become determined (Buddhist term)
백수	백수	White hair (metaphor for old age)
목쳥	목청	Voice, vocal chords (Older spelling)
긔생	기생	Kisaeng (female entertainer/courtesan)
대중적(大衆的)	대중적	Popular, for the masses
조(調)	조	Style, school, or melodic mode in music
요지음	요즈음	Nowadays, recently (Older spelling)
너허	넣어	To put in, include (Older spelling of 넣어)
십흔 걸	싶은 걸	I wish, I want to (Older spelling/form of 싶은 것을)
마추어	맞추어	To match, accompany (Older spelling of 맞추어)
듯고	듣고	To listen (Older spelling of 듣고)
판소리	판소리	P'ansori (Korean narrative musical storytelling)
홍안소녀(紅顔少年)	홍안소년	Youths with rosy cheeks (young boys and girls)
붓채살	부챗살	Ribs of a folding fan
누룸소리	구성진 소리	(Likely means) mellow, plaintive, or skillful singing voice (Interpretation based on context and potential dialect/older usage)
륙십	육십	Sixty (Older pronunciation/spelling)
옥골(玉骨)	옥골	Jade bones (metaphor for noble or refined appearance)
당상화족(堂上華族)	당상 화족	High nobility (associated with court rank)
풍채	풍채	Physique, appearance, demeanor
엇재	어찌	Why, how (Older spelling)
분방자재(奔放自在)	분방자재	Free and unrestrained, spontaneous
앗가	아까	A short while ago (Older spelling)
달너지거든	달라지거든	Because it becomes different (Older spelling/form)
재조	재주	Skill, talent, improvisation (Older spelling)
만늘어	만들어	To make (Older spelling)
잡탕	잡탕	Hodgepodge, mixture
품위(品位)	품위	Dignity, class
떨구어	떨구어	To drop, lower (Standard spelling, but possibly older nuance)
춘당시과(春堂試科)	춘당시과	Spring Hall Examination (a section/theme in p'ansori)
밧엇지	받았지	Received (Older spelling/form of 받았지)
천재조사(天才早死)	천재조사	A genius dies young (proverb)
앗가운	아까운	Regrettable, pitiful (Older spelling)
점잔치	점잖지	Is dignified/gentlemanly (Older spelling/form of 점잖지)
고아(高雅)	고아	Refined, elegant
귀공자(貴公子)	귀공자	Nobleman's son, young gentleman
선비	선비	Scholar (classical)
군자(君子)	군자	Gentleman (Confucian ideal)
업스나	없으나	Although there isn't/doesn't have (Older spelling)
원악	워낙	Originally, by nature, fundamentally (Standard spelling, pronunciation variant)
조와서	좋아서	Because it is good (Older spelling)
시언시언하단	시원시원하다는	Is refreshing, straightforward (Dialectal/Older form contraction)
절창(絕唱)	절창	Masterpiece song, outstanding performance
요지간	요즈음	Nowadays, recently (Variant of 요지음/요즈음)
맛낫서	만났어	Met (Older spelling/form of 만났어)
적벽가(赤壁歌)	적벽가	Song of the Red Cliff (a p'ansori piece)
살니고	살리고	Saving, sparing (Older spelling)
아기자기한	아기자기한	Charming, intricate, detailed
화룡로(華龍路)	화용로	Huarong Road (path in the story of the Red Cliffs)
가튼	같은	Like, such as (Older spelling)
녀류명창(女流名唱)	여류명창	Female master singer
휘휘	휘휘	Around, looking over
곱들이	곱절	(Likely means) Especially, particularly good (Interpretation based on context, possibly dialect or older usage related to 'double' or 'fold')
늙엇지만	늙었지만	Although old (Older spelling)
녯	옛	Old, former (Older spelling)
만치	만치	As much as, like (Postpositional particle, older form/dialect of 만큼)
자미잇다	재미있다	Is interesting, enjoyable (Older spelling/pronunciation)
실흔 줄	싫은 줄	That one dislikes/tires of (Older spelling of 싫은)
밧게	밖에	Only, inevitably (Older spelling/form of 밖에)
늙엇슬가	늙었을까	Might be older? (Older spelling)
갓가우니	가까우니	Because it is close/near (Older spelling)
노긔(老妓)	노기	Old kisaeng
드러선	들어서는	When it comes to, regarding (Older spelling/form)
청산류수격(靑山流水格)	청산유수격	Like flowing water from a blue mountain (metaphor for fluency)
몹시	몹시	Very, extremely
입부다	예쁘다	Is pretty, beautiful (Older spelling/pronunciation)
잇서	있어	Has, there is (Older spelling)
명긔(名妓)	명기	Famous kisaeng
앗불사	아뿔싸	Oh dear!, Oops! (Interjection)
남도(南道)	남도	Southern provinces/region
서도(西道)	서도	Western provinces/region
잡가(雜歌)	잡가	Miscellaneous folk songs
신출(新出)	신출	Newcomer, newly emerged
정정(丁丁)	정정	Diligently, carefully (Can also mean sound of chopping, or robust) - context suggests diligence in study
가야금	가야금	Gayageum (Korean zither)
동남풍(東南風)	동남풍	Southeast wind
초당(草堂)	초당	Grass-roofed hut, pavilion
만년수(萬年壽)	만년수	Ten thousand years of life, longevity
천년수(千年壽)	천년수	Thousand years of life, longevity


---------------------------


잡지명	삼천리 제6권 제7호
발행일	1934년 06월 01일
기사제목	八道名唱歌曲評
필자	長安過客
기사형태	소식

八道名唱歌曲評
						長安過客
三代名唱 宋萬甲

『범빔중류 떠나간다
망망한 창해 중에
탕탕한 물결이라

백빈주 갈마귀는
홍여안으로 나라들고
산상에 뜬기럭이
平沙에 떠러진다』

이 소리는 소상팔경 중에 가장 멋지게 너머 가는 대목인줄은 소릿개나 아러듯는 가객치고 다 알 것이다. 원래 소상팔경에도 두 가지가 잇스렷다. 하나는 「산악이 장명하고 음풍이 노호한데...」하는 단가(短歌)의 소상팔경이요 하나는 우조(羽調)인 심청전 속에 드러가는 것이렷다. 그런데 이것은 심청전에 드러가는 대목으로 그 장단과 곡조가 누구나 무릅을 툭 치게 만고의 명곡(名曲)으로 되엇스니 여보아라 벗님네야 이 노래 곡조야 말로 저-멀니 호남에도 전라도의 담양(潭陽)사는 송우룡(宋雨龍)이란 늙은 화랑(花郞)이<149> 지은 것이렷다. 이 송우룡이가 누군고 하니 바로 내가 여기 이약기하려하는 팔도명창 송만갑의 할아버지렷다. 만갑의 아버지도 송흥록(宋興祿)이라 하야 전라도 명창으로 유명하엿고 그 송훙록의 사촌아우에 송광록(宋光祿)이라고 잇는데 그이 또한 소리 잘하기로 유명하렷다. 이리하야 송만갑은-송우룡, 송흥록, 송만갑으로 조부, 아버지, 아들의 삼대를 내려오며 200여 년을 팔도명창으로 그 일홈을 천하에 떨치고 잇스니 그 아니 장쾌한가. 남들은 혹 삼대를 정승으로 내려온 것 다 하지만 건곤이 주일배(乾坤酒一盃)인 우리네 인생과객(人生過客)에게는 삼대 정숭 집안보다 삼대 명창 집안이 더 부럽단 말이야.
엇지됫든 조부는 아버지를 배워주고 아버지는 아들을 베워 주어 송만갑의 대에 왓는데 이 송만갑이 소년시때(少年時節)에 소리를 잘못한다고 그의 선생이든 아버지는 칼을 가지고 「이러케 용열한 졸재는 명창가명(名唱家名)을 더럽히는 터이니」 죽여 업새버린다고 야단을 첫대 그래서 만갑이는 발심하고 그 담양고읍 근방의 심산절벽의 절간에 드러가서 시서(詩書)를, 아니 사서오경의 시서가 아니라 소리를 공부하엿는데 엇더케 열심히 하엿던지 나종에 목구멍에서 핏덩어리가 다 나오더래요.
이러케 되어 일홈을 내인 송만갑. 이 어른도 가는 세월 막을 길 업서 올에 일흔 하나의 백수한신이 되엇다오. 소리야 가위 명창이지 긔생들을 만히 배워주어서 소리가 베우기 쉽고 듯기 쉽고 말하자면 대중적(大衆的)이요 통속화한 예술가이지 얼마 전까지 아편 때문에 목쳥이 못쓰게 되엇더니 요지음은 단연 아편을 끈코 다시 수업을 시작을 하여 십이삼 년 전 한창 일홈 날니든 시절의 그 목쳥으로 다시 도라가서 요일전 서울 공회당에서 하든 명창대회 때에도 가위 천하명창의 소리를 다시 들엇지요.
긔생치고 송만갑이 조(調)를 아니 배운 것이 업스니 유명 녀류 명창이라는
金楚香, 朴綠珠, 李花中仙, 金綠珠, 裵雪香
이 다 송만갑에게서 배워 오늘날 명창소리 듯는 이들이지 긔생 뿐 아니라 오늘 세상에<150> 전하는 소리의 조는 모다 송만갑류(宋萬甲流)요 송만갑조(宋萬甲調)라고 보아 올치 그이는 지금 죽어도 일홈이 萬古에 썩지 안을 걸요.
그는 이미 노쇠하여 가니 속히 레코-드에나 만히 너허 그 소리를 보존식히고 십흔 걸 아무튼 한성준(韓成俊)의 그 잘치는 장고에 마추어 송만갑이 자랑하는
「春香傳, 박타령」
의 판소리의 대목을 듯고 십흔 걸. 판소리라 하면 홍안소녀(紅顔少年)들은 잘 모를 듯하나 그것은 한번 하기 시작하면 적어도 한판에 30분이고 한 시간이고 길다라케 하여야 끗을 내는 것으로 이를터이면 심쳥전, 춘향전 둥 속이 모다 그러하지요.

새타령의 李東伯

「새가 새가 나라든다. 그 무슨 새가 나라드나」하면서 붓채살 쫙-펴며 목을 쑥 내밀어 새타령을 넝길 때는 그야말로 쳥산한 누룸소리렷다. 원래 충청도 출생이 되어 아마 오수령(烏輸嶺)에 새가 만허 새타령을 쳥제비 구제비가치 잘 하는 둣 리동백도 소년명창으로 올에 륙십 칠팔 인생이 덧업다.
리동백은 얼골이 옥골(玉骨)이렷다. 세월 잘 맛드면 당상화족(堂上華族)될 얼골이고 춘향전속 리몽룡이 그리 속에서 빠진 듯한 풍채가 호남아라 인물이 참 생겻겟다.
그런데 스승은 역시 송만갑의 아버지인 송훙록에게서 배웟는데 아직까지 자긔의 후대를 이을 제자가 업단 말이야. 엇재 그런고 하니 이 어른의 소리가 엇더케 분방자재(奔放自在)한지 그저 장단이 부를 때마다 달너서 남이 배워갈 수 업고 자긔 자신도 앗가 하든 소리를 다시 하라면 그 목청이 달너지거든.
그리고 『리동백은 공연히 소리 중에 자긔가 지어 넛는 재조을 피우다가 소리를 망치고 말어 아조 잡탕을 만늘어 노아서 품위(品位)를 떨구어 놋는 것이 애석한 일이야.

